Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Deoxys (Attack),Poison Jab or Zen Headbutt,Dark Pulse,45,1.733833445463165,0.82434064,1.8253311605891782,0.69648033,1.8438340386694063,1.155119,1.9909821521696731,0.5587579,1.5799672820246145,1.0514772,1.6293731681247843,0.8623935,1.6383802243137695,0.7060617000000001,2.0326352862198416,0.8421271,1.5238540701290484,0.6982067,1.6033355393778954,0.8408116,1.830896819382076,0.5595115400000001,1.5941423782525954,0.8577816,1.7457633172800935,0.7260257,1.83860032231631,0.5933882600000001,1.8432214790669106,0.5701751,1.667504874044644,0.8572404,2.063791494615306,1.3563722,1.8009576129159355,0.9549135,1.9197533790992003,0.75784737,1.6937780218660243,0.84382975,1.5178472140533203,0.8248003,1.832551882648184,0.8749829000000002,1.4102400782232787,0.45300025,1.835572676874704,0.7146462000000001
Bisharp,Snarl,Dark Pulse,50,1.6108684056793074,0.7937638,1.568624301261111,0.610119,1.5716449752721247,1.0430555000000001,1.5760713072419064,0.5043067,1.6330275517141286,1.0737545,1.4291779191981273,0.80270225,1.7201025414033426,0.7241478,1.655047054670471,0.7745182000000003,1.5301303504440673,0.7115517,1.5323135421015597,0.8800432,1.5079242364971208,0.52906245,1.5697007838673878,0.88987267,1.6268489914071724,0.7171456,1.5293429000918632,0.5664832,1.713288688751356,0.5669254,1.6159003929424225,0.8640204,1.5178030237444062,1.0306801,1.5596834137831743,0.8097304700000002,1.5563787976892356,0.7366409300000001,1.556773849107271,0.83517814,1.5514369850060787,0.8266542,1.5996973115069502,0.86490804,1.674783653846154,0.52076715,1.5472162207001272,0.6843351000000001
Mewtwo,Confusion or Psycho Cut,Shadow Ball,40,1.43597650473933,0.79845965,1.4365220165540125,0.5893784,1.5035749760067754,1.085078,1.4285827282932215,0.4812198,1.4550393734249003,1.0169944,1.3577022263279823,0.8270977,1.2669979236631101,0.61271304,1.4185020762192089,0.7016917,1.4840224005397245,0.7535153,1.390692327999227,0.8842781,1.2840139160346942,0.45279664,1.4890145152979681,0.91528046,1.4770711228415054,0.7124122,1.4975945137836224,0.5876314600000001,1.4692020083903843,0.5449277,1.405723318765462,0.8292949,1.5020342800057298,1.120729,1.5295502430998957,0.88536,1.4923856381554013,0.759516,1.4660617729821541,0.86823326,1.466075925137068,0.85929906,1.4584982768932937,0.8732894,1.622160144023908,0.5566264000000001,1.4605341705159853,0.7107388400000001
Mega Gengar,Shadow Claw or Lick,Shadow Ball,40,1.0,0.5308727,1.0,0.40537095,1.0,0.68812037,1.0,0.3347254,1.0,0.6935896,1.0,0.5821254,1.0,0.46873525,1.0,0.4848449,1.0,0.4712601,1.0,0.5756315,1.0,0.35101873,1.0,0.5826371,1.0,0.47471905,0.9999999999999999,0.3826013000000001,1.0,0.35942736,1.0,0.5661906,1.0,0.69991493,1.0,0.54339033,1.0,0.48266682,1.0,0.55851454,1.0,0.5543896,1.0,0.5658694,0.9999999999999999,0.34228098000000007,0.9999999999999999,0.4617771000000001
Mewtwo,Confusion or Psycho Cut,Shadow Ball,35,1.3926093488316504,0.83055514,1.4280719507064281,0.6099109,1.4783103297768256,1.1231762,1.4639549992077328,0.5160694,1.4463662057831705,1.0598108,1.3031977787013873,0.8596082,1.1947990683205583,0.6370729,1.4103819074222015,0.7111923,1.4784858897410504,0.7844209,1.403105487814273,0.9261465700000002,1.246069329272158,0.47313923,1.4931304784905466,0.9360693,1.4814663632261589,0.7642882,1.488758545987423,0.6227377000000001,1.4501041466155122,0.5608732,1.404544507862965,0.84327066,1.4788461070298407,1.1657732,1.5465120052237586,0.9226023,1.5065332084635485,0.8050921,1.4318466829204934,0.87949175,1.4235282398698774,0.8716498000000003,1.4857375206331482,0.9108479,1.5328666176254921,0.5584824,1.441392362944555,0.72982675
Giratina (Origin),Shadow Claw,Shadow Ball,40,1.323221817868672,0.74991804,1.4064147411829808,0.5805815,1.3666422154640745,1.0023625,1.3580748313387971,0.47691795,1.445536107474787,1.023032,1.2711318515726722,0.7688952,1.3822695984364202,0.6680433,1.3801137776414814,0.7057903,1.350408201349253,0.67695,1.2905740165307915,0.83350337,1.3760482569757304,0.50528425,1.3724215343969,0.8459738,1.3597964288537552,0.66937363,1.3809586870827681,0.5505298400000002,1.42540275183314,0.53095025,1.3739149240288462,0.8314814,1.3091879013860317,0.98345643,1.3667900393113375,0.7876126,1.3825076003603385,0.7077451,1.3429265022606394,0.78883934,1.3291965859559822,0.7811917,1.3642018101877404,0.8222329,1.4740661017737227,0.5101470400000001,1.3756464742718815,0.6686652300000001
Cacturne,Sucker Punch,Dark Pulse or Grass Knot,35,,0.9792564,,0.754607,,1.2470293,,0.6261099,,1.3425348,,0.9831609,,0.92112535,,0.80410796,,0.8608529,,1.0663813000000002,,0.66909456,,1.0792496,,0.9286951,,0.7011100000000001,,0.71029335,,1.0781436,,1.2607807,,0.98662317,,0.88536394,,0.9146496,,0.9072238000000002,,0.9492354,,0.6286746,,0.88429046
Weavile,Snarl,Foul Play,45,1.4227549787226357,0.7235547,1.439890491664769,0.56717265,1.392993673615082,0.95276374,1.4148468803986924,0.46812478,1.4739875845033803,0.9980803,1.2847739028017033,0.7444117,1.5472771204100602,0.6686696000000001,1.5056431540002413,0.7034315,1.3626480524303521,0.6621588,1.331155673016986,0.79823375,1.394270972057541,0.4951241600000001,1.4538988879200565,0.8274588,1.5208793042998263,0.67286295,1.391255928552564,0.5313295000000001,1.561540879230251,0.52654094,1.4619998666706746,0.79552794,1.4248762164258728,0.9682661,1.4289395514124985,0.756398,1.4316663759732584,0.67760634,1.3634029121507818,0.77194095,1.3669439303617446,0.76620215,1.468297197317635,0.8078856000000002,1.454554189012727,0.4872941,1.3902410883607417,0.6406088500000001
Shadow Absol,Snarl,Dark Pulse or Payback,40,1.3130383944505517,0.70453376,1.5055727962518681,0.5555951,1.3162551421284003,0.899013,1.2858149378055492,0.43212506,1.3032570836891741,0.9077535,1.2205136319659375,0.71126074,1.3866496779318587,0.6552666,1.5302168633756588,0.6925618,1.2282918234056532,0.6045843,1.1989804147021237,0.7380772,1.3348308068604342,0.46773088,1.2948632553820467,0.7655593,1.3890670466472568,0.6670999,1.4501189537834076,0.5090586000000001,1.4045558341125906,0.49352714,1.346904960475137,0.7422597,1.3705517251829071,0.948655,1.2558818428459702,0.69516915,1.3752349537398914,0.66057825,1.3292569816696302,0.7209677,1.29884125142786,0.70985776,1.4109812189863662,0.79731226,1.2939399580039121,0.44049838000000013,1.3167757002186888,0.6024539500000001
Crawdaunt,Waterfall or Snarl,Night Slash or Crabhammer,35,1.7547275598601202,0.9835372,1.8781381668491806,0.78950393,1.7369636814507199,1.296606,1.7787738580544792,0.63114977,1.8069445633017085,1.2998531,1.604224829048821,1.0248107,1.8501375081666587,0.91872483,1.9248595211581603,0.9688356,1.7054519322533344,0.8971117,1.6954353497316221,1.1016858000000003,1.8035750465861342,0.67298263,1.7828663464022099,1.1003237,1.8572876439694952,0.9031366,1.7907779239921213,0.7313243000000001,1.8706985056466026,0.69687057,1.7675192064905678,1.068087,1.7518156752767777,1.2952913,1.744468471432853,1.0308105,1.9600868229461264,1.0026911,1.7030299309778965,1.0480602,1.6835646918796312,1.0357027000000003,1.8459406723544307,1.0903666,1.8202781329565527,0.6508689,1.774295516488584,0.86936957
