Attacker,Fast Move,Charged Move,Level,"Alakazam, Tier 3","Alakazam, Tier 3","Banette, Tier 3","Banette, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Drifblim, Tier 3","Drifblim, Tier 3","Dusclops, Tier 3","Dusclops, Tier 3","Espeon, Tier 3","Espeon, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Gothorita, Tier 3","Gothorita, Tier 3","Grumpig, Tier 3","Grumpig, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hypno, Tier 3","Hypno, Tier 3","Jynx, Tier 3","Jynx, Tier 3","Kadabra, Tier 3","Kadabra, Tier 3","Lampent, Tier 3","Lampent, Tier 3","Marowak (Alola), Tier 3","Marowak (Alola), Tier 3","Metagross, Tier 3","Metagross, Tier 3","Metang, Tier 3","Metang, Tier 3","Raichu (Alola), Tier 3","Raichu (Alola), Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Wobbuffet, Tier 3","Wobbuffet, Tier 3","Xatu, Tier 3","Xatu, Tier 3"
Deoxys (Attack),Poison Jab or Zen Headbutt,Dark Pulse,50,1.6766281812755583,0.78119683,1.8339883933608692,0.6690853,1.8271583653216412,1.1096821000000001,1.9884027143555276,0.5158462,1.549094034989818,1.0270127,1.639014595234236,0.8137242,1.6946561655306966,0.6906697,1.974459754805524,0.7841860000000003,1.4520988469876068,0.6580494,1.6395153379248328,0.8208181,,0.5275289,1.5814484410593477,0.83085203,1.676581849474079,0.69836694,1.843015059989422,0.55631644,1.825521328533196,0.5426612,1.6294597297492925,0.8301506,2.0222435878448928,1.2704207,1.8511697868209238,0.9290518000000002,1.889756335815815,0.7268895000000001,1.5982729075199058,0.78896356,1.5099605565311363,0.78149176,1.7933752079868313,0.8293226,1.4269044327867084,0.43899623,1.7195990265345769,0.6771717700000001
Chandelure,Incinerate or Fire Spin or Hex,Shadow Ball,40,1.2848201002169408,0.6991428,1.3507821414191135,0.5426131,1.3467615365613936,0.90563256,1.3176527815027999,0.45564285,1.3027012016202022,0.9034279,1.2734117774778115,0.7449117,1.427474127170859,0.6361034,1.3706799307098099,0.6549916,1.2490897427747791,0.60552305,1.2479069075291935,0.7460937,1.3691134791209032,0.48062634,1.282609593099121,0.7581564,1.2294697826305814,0.5891137,1.319270803337308,0.5031044000000001,1.3016537937383368,0.4757526,1.284330639151539,0.7399172,1.2718874055695528,0.8819391,1.217020122573604,0.6815041,1.3242099959932563,0.631582,1.3009464486374962,0.7145296,1.2437978087884622,0.70499986,1.3792622899044809,0.75970095,1.2784036759250577,0.4359901000000001,1.3253143984108806,0.6084744300000001
Gengar,Shadow Claw or Lick,Shadow Ball,40,1.4151032863824176,0.7261563,1.4788371229662856,0.54342747,1.3652850580205056,0.8991224,1.3196687555612563,0.44356874,1.3210502758162226,0.90974945,1.497095299837704,0.79050416,1.4597189757862459,0.6273099,1.4276354722673474,0.6510289,1.3715327636045864,0.63449746,1.294527467013972,0.7661741,1.4776663944811985,0.47795078,1.3509050163114156,0.7721318,1.362338781571217,0.6411436,1.3869904569626437,0.5190636000000001,1.3794531012573374,0.48554283,1.338911026025119,0.7431776,1.4491472072611107,0.9411621,1.3487526125322011,0.7109258,1.3588839618364377,0.6445261,1.364017287960111,0.75105745,1.337866629117178,0.7494243,1.3156771563228715,0.7452087,1.3356981519139974,0.4508584700000001,1.4050378406503532,0.6142628000000001
Shadow Cacturne,Sucker Punch,Dark Pulse,35,1.4966976194956088,0.8429922,1.6632708034317356,0.6506832,1.4819089777080972,1.0736502,1.5404684461474196,0.519341,1.5563144431235227,1.0949606,1.369798335290297,0.8542709,1.6822371915486574,0.79455954,1.678452473379801,0.78380066,1.3884983953962524,0.7255958,1.3733955151087838,0.8748300000000002,1.617564530777948,0.56759274,1.4926137170505063,0.8954067,1.6362791490920787,0.7987973,1.6032270469513277,0.6063247300000001,1.6532763823999599,0.6045919,1.5735181836727021,0.90014684,1.5110051168341891,1.0952834,1.4797140460249818,0.847316,1.4899753288694098,0.7462017,1.4713588947578498,0.8826997,1.5851055353678334,0.8561592700000002,1.6472990349427483,0.93542814,1.4712530177107743,0.5229938,1.5275335579212368,0.7496991
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,30,1.487393438910757,0.83987343,1.5533701741506518,0.6577475,1.3748300622144873,1.039139,1.4925265318206,0.52294844,1.4053285573068142,1.0377226,1.3410454222082187,0.89654464,1.4273698656590192,0.75775236,1.3394766741354995,0.7552430600000002,1.3198882727913823,0.7059776,1.4159674921425192,0.8879812,1.5437345999054157,0.57378936,1.3720779787313109,0.88268167,1.410571161384964,0.7317208,1.5164369117338472,0.6047335,1.4458346120389611,0.5509935,1.4309856909480465,0.8724112000000003,1.3913541442533297,1.1035737,1.3738493766394138,0.8087069,1.4688205214625034,0.754573,1.4030426666653748,0.84999067,1.3768898105708023,0.8420408,1.4590204388730932,0.86658615,1.420513590559437,0.50587773,1.3876399139724114,0.7102293
Weavile,Snarl,Avalanche or Foul Play,30,1.4074450231342075,0.8247856,1.4041397613612259,0.637883,1.3836032999304844,1.0956368,1.4063876541058655,0.53021437,1.4623615462349162,1.0995018,1.194274371349172,0.8387693,1.3825379092207846,0.7583781,1.5064985220209581,0.8073656000000002,1.3069094797586618,0.7370002,1.3445191959319929,0.8994279,1.3823491892144322,0.555092,1.3919152452995909,0.9091298,1.490505832177602,0.7591474,1.3891799851655993,0.6032452,1.5405784627489785,0.59513223,1.5312502770091048,0.9101333600000002,1.3852965909986505,1.125916,1.393463948568251,0.84948844,1.4563720910336144,0.7708857,1.36235212645496,0.8607954,1.385719547304069,0.8521167,1.5269023296666393,0.9350632,1.4946755968242948,0.5386168,1.3510134298965855,0.7168323
Shadow Alakazam,Counter or Confusion or Psycho Cut,Shadow Ball,40,1.6327615397458584,0.7753189,1.6397375691570109,0.59921366,1.5282936377315226,1.0417643,1.5431100152472723,0.46918213,1.4489504031604679,0.98338175,1.4460890927203094,0.8214675,1.493076143217615,0.6384683,1.5081604532042567,0.7132318,1.3857166236478347,0.6898583,1.4095123503489542,0.8658491,1.475863349971676,0.4803393,1.4342859035158295,0.8615004,1.5106671016776494,0.6961273,1.661329540448422,0.5816802000000001,1.5011932226288052,0.5043041,1.4115973638510557,0.7874404,1.5706196458888997,1.0460482,1.411168639597961,0.78129965,1.5794409318378184,0.70982707,1.5160474752869726,0.82661575,1.480984445313733,0.82153666,1.5595824815088934,0.8475352,1.4656796979565978,0.4871570000000001,1.545088682755545,0.6982382000000001
Houndoom,Snarl or Fire Fang,Foul Play,40,1.5130209170753046,0.8020753,1.5663299357990552,0.6301392,1.5695373979022489,1.0953447,1.4913494573974733,0.5243763,1.5726717841123787,1.0932516,1.3881596726498333,0.8312645,1.6774339527233089,0.741071,1.6737838162649603,0.7948211,1.4722767380638342,0.7350978,1.4101561150261144,0.89802146,1.547520255484775,0.55184263,1.4844575281218135,0.90033674,1.5952124738591411,0.7403088,1.5259040802598538,0.5935979500000002,1.5543245259327823,0.56874716,1.5153576258305959,0.8858003,1.5366048441303808,1.0742924,1.463302115506695,0.8390217,1.5408707681222134,0.7547163,1.5403341064053764,0.86187696,1.4659051057419996,0.84723943,1.6316704878062593,0.91448,1.5874853959949922,0.5374104000000001,1.5155893786195676,0.7105396000000002
Chandelure,Fire Spin or Hex,Shadow Ball,45,1.2654455049208417,0.67665446,1.3339295059121434,0.52786016,1.3152568690647795,0.865415,1.3246785359101076,0.42395455,1.3050749232350245,0.8867334,1.2952921942016955,0.7288747,1.4123385597575273,0.6145533000000001,1.347077286466481,0.6283147,1.2453598219741013,0.5973937,1.289822919025342,0.7366639,1.3503571390120128,0.4668071300000001,1.29975227617419,0.72930986,1.251726804031708,0.570147,1.2936944798177592,0.4934784000000001,1.3416242937180494,0.46378854,1.307029298767983,0.705358,1.2752673128981493,0.84365815,1.2331552608058973,0.651462,1.2918678942395292,0.6075388,1.2809748790533138,0.69392365,1.2327429561334227,0.6856761,1.3506439126900271,0.7163202000000001,1.2867757704275207,0.43570346,1.328178646629386,0.5792452700000001
Gengar,Shadow Claw or Lick,Shadow Ball,45,1.374992585106123,0.6978504,1.3830381585549265,0.51566756,1.3631785468232298,0.87725043,1.3446314245851645,0.43123698,1.3098057969937844,0.8793071,1.4302555954555098,0.7438875,1.4970328005950138,0.5999108000000001,1.4041451935823528,0.6304237,1.365340811378996,0.6146847,1.3230621413902628,0.7455042,1.4101570636942764,0.4642608000000001,1.3653658703437173,0.7569712,1.3824230179371662,0.6141446,1.354809444937436,0.49850196000000013,1.3912172514947105,0.46388718,1.3660582693520804,0.7251925,1.4638349120032041,0.9201461,1.3678951827257033,0.6924672,1.3335318233080797,0.6203128,1.3069928036758303,0.7147596,1.2979291620423579,0.7133813,1.2992866648747277,0.7076286000000002,1.293470868376615,0.42564976,1.3809841058770835,0.5880241400000001
Absol,Snarl,Dark Pulse or Payback,35,1.5272288373692506,0.85126513,1.6964490620398749,0.67581594,1.537258956885986,1.1178876,1.5342121260137422,0.5339517,1.5455278091303966,1.117195,1.3840887792497585,0.87003136,1.569594718681566,0.7989557,1.7039311992638344,0.8407251,1.4376323204806036,0.757266,1.4249357539807934,0.9117458500000002,1.5442376052298752,0.5852539,1.5387571986224595,0.9506722,1.5986555596049938,0.81641024,1.6827223021710893,0.6297495000000001,1.643146741218631,0.60406363,1.5953569101425458,0.9178357,1.5703826691521028,1.156713,1.494147554821431,0.8653741,1.6249772880241924,0.81166196,1.5421343501884732,0.9078225,1.5043627832135764,0.8925473000000003,1.672120205918778,0.9688543,1.5316847410290284,0.5427993,1.509688379155584,0.7396885
Mega Houndoom,Snarl or Fire Fang,Foul Play,35,1.1431973652010137,0.6553261,1.1745080344890544,0.5182905,1.1902231357900017,0.884185,1.1806987222886447,0.4233144,1.224379232603537,0.8913685,1.0426408421212325,0.6767421,1.2004925211200783,0.6006313,1.2776858660947126,0.6417012,1.144304142963347,0.5984571,1.1154358722256832,0.7370360500000002,1.1587706262994721,0.45074996,1.182228612960988,0.74459976,1.1546840450674987,0.5928712,1.1408056957887944,0.48386790000000013,1.2234149296599672,0.47251156,1.169931569276309,0.71346414,1.1690242287161046,0.87025756,1.1517477297627021,0.67559135,1.1923923570843986,0.62059176,1.1688689603966365,0.70572275,1.1326508375920865,0.6961160000000001,1.2376768894786117,0.73078173,1.2411055349188669,0.44413182,1.1566677046779847,0.5886276
Yveltal,Snarl,Dark Pulse,35,1.3130038960794828,0.78830093,1.4169828785150433,0.6244959,1.400247203831625,1.0726992,1.4052341510493944,0.5152729,1.4877277626411445,1.0873544,1.2486203959335191,0.8196798,1.3437671813842242,0.71827143,1.3967811263936383,0.7476167,1.3923500677598435,0.73049045,1.3405559842448482,0.8861785000000002,1.3547058512925345,0.5393918,1.406179929037734,0.89167655,1.408827390636213,0.7253052,1.3697440289426948,0.5841498400000001,1.468173075441962,0.5656912,1.4237713879817493,0.8816254,1.3389042495959393,1.0601732,1.404890165004402,0.8368962,1.4466053298489872,0.75801957,1.3830383066512246,0.84176576,1.3604412461209412,0.8342662000000002,1.4633016164082764,0.87142295,1.462457793276726,0.5232241,1.3803856068448026,0.70499086
Shadow Honchkrow,Snarl,Dark Pulse,40,1.2725171544434954,0.67365575,1.4188113350324438,0.5532691,1.268639221155921,0.8903625,1.2615541461420259,0.43232098,1.3006618638295393,0.8995102,1.1700112453221303,0.689381,1.3931676157225437,0.6339803,1.2811482611146106,0.6362869,1.2094036964237946,0.60168284,1.1725836346904124,0.7437223,1.2896590437731141,0.4595919,1.261586012109894,0.75544596,1.4476234560557595,0.65121514,1.3755648155694498,0.49949384000000013,1.3324287339105347,0.47969547,1.2701363081807544,0.7287339,1.270591703774094,0.9039279,1.2239683903855871,0.6900168,1.423530154721599,0.6701565,1.288241301159831,0.73296624,1.3266208887260795,0.7262632,1.3730273575589083,0.7916071,1.28698524041073,0.4346594000000001,1.2659967929868219,0.5876190000000001
Shadow Alakazam,Counter or Confusion or Psycho Cut,Shadow Ball,45,1.6614835875872027,0.7532499,1.6664514643504824,0.5735455,1.446505015136176,0.97066915,1.4654217872962187,0.45492747,1.4200285392368075,0.9441062,1.4425473879015287,0.7854676,1.5267793784400243,0.6054692000000002,1.461879032876352,0.6677605,1.4211187750276324,0.6887754,1.419485027018946,0.81786656,1.4544711538686588,0.4555420300000001,1.4793818670027676,0.8485593,1.5468986172774348,0.6759393,1.5069909312696268,0.5435358000000001,1.5112433657713087,0.48717022,1.392909135325309,0.74358743,1.5773917802281396,0.99884856,1.4470047424547228,0.75604993,1.5532070538589973,0.7045366,1.4894204780114106,0.79411787,1.4628322470012927,0.7877454,1.5351127079709792,0.8213718000000002,1.435816395659691,0.47991067,1.5598861329208524,0.6600346600000001
Shadow Sharpedo,Bite or Waterfall,Crunch,45,1.4079259529362542,0.709328,1.6540160773764179,0.5806102,1.422106135722408,0.9349232,1.4199845997197766,0.4574165,1.3931099565411187,0.9481792,1.3052162947141446,0.7244483,1.6624430939557893,0.6807084700000001,1.6706869437415623,0.698294,1.3309692983621266,0.6364146,1.3527227456599644,0.77766585,1.4495824347710484,0.4863262500000001,1.3950377513345624,0.77966416,1.5502696668969111,0.6738475,1.5456795945643056,0.5363261000000001,1.5985217188396619,0.5017219,1.4364645647738523,0.76661783,1.424324230116164,0.9532525,1.405603413558161,0.7426575,1.735982940248111,0.7204012,1.396153735765573,0.7542341,1.389096847822672,0.74433756,1.4883478992191206,0.8010035000000002,1.376861234270661,0.45975345,1.4387835376679783,0.6466339000000001
Giratina (Origin),Shadow Claw,Shadow Ball,50,1.3386647611820885,0.6996169,1.3984929423527512,0.54345644,1.3660741524064588,0.9247423000000002,1.3861730540496422,0.455043,1.4237114985496195,0.94435763,1.274302093243156,0.71595,1.4122565013329145,0.62264943,1.3759738413652218,0.6590132000000001,1.3779898142286038,0.6544822,1.3486845725905574,0.7794404,1.3635397239835882,0.4731368,1.3816684694773782,0.7857254,1.3711255148042936,0.63013434,1.4022880884113245,0.5192414,1.4710560308827063,0.4948557,1.3971620530322582,0.77465475,1.2757463199599752,0.9117758,1.3984379606801192,0.7369425000000001,1.3612666862684353,0.6597924000000001,1.394710973702046,0.75702995,1.3879996526504699,0.75228345,1.3874091835138718,0.7658316,1.5405600658107672,0.47769493,1.4074775928054626,0.6247451000000002
Shadow Weavile,Snarl,Foul Play,50,1.2270127441517868,0.6002721,1.2464598528766742,0.46234596,1.2048247861003838,0.7784812500000002,1.1897868181897222,0.38004386,1.214353674199121,0.7999691,1.1075350851363064,0.61134475,1.3383692481299054,0.55114836,1.348992904145254,0.5777354000000001,1.1449638531772421,0.53383327,1.1383606507122273,0.6535555,1.1893302159429653,0.39897597,1.2186388911394543,0.66916037,1.2705145670480895,0.5473078,1.1969069120062357,0.4338305,1.3088583645532617,0.42665985,1.245848468002042,0.65152216,1.219233979437849,0.8054813,1.219056409587192,0.6171014300000001,1.209287451168716,0.5541243600000001,1.1764747614535167,0.6251314,1.1852982381659947,0.62408507,1.2689320822127799,0.6644161,1.2409719225374907,0.38667783,1.1973453352730692,0.5227670000000001
Shadow Tyranitar,Smack Down or Bite,Crunch,50,1.2686018897157807,0.63966036,1.2767258276477078,0.50702024,1.2626242708531796,0.8467384600000002,1.257094954690236,0.4066721,1.35725699856616,0.9001869,1.191995350438019,0.6760753,1.3615797542617116,0.5847109,1.3104804183862844,0.6060204500000002,1.2609252272687126,0.5894721,1.2630562132682464,0.7375319,1.2328771269062935,0.43537647,1.299624925554468,0.73822916,1.3226009492723931,0.5761895,1.2613403668958607,0.47604263,1.3320947036394983,0.447281,1.2500181710764215,0.6972375,1.2018351720239762,0.841611,1.3078072989056242,0.6879861400000001,1.2607215800217653,0.6032820300000001,1.2735926642120197,0.69000673,1.2570860076030954,0.6840753,1.2761982570257033,0.695751,1.4006654574387745,0.4357046,1.263166290245205,0.5592528000000001
Krookodile,Mud-Slap or Snarl,Earthquake or Crunch,35,1.592992920624732,0.91693187,1.6102099521689677,0.7090512,1.6024734925371371,1.2180597,1.6006634879935466,0.5861734,1.6863335765731178,1.2277921,1.417675727698121,0.93161476,1.52189102228011,0.76419824,1.6749170044361659,0.8611001,1.5499376768834916,0.82667434,1.5165881449468486,1.0008035000000002,1.4581525436670981,0.5684303,1.6276527212200382,1.0359759,1.680849229311664,0.85149866,1.5584016389474733,0.6621876400000001,1.6976737178149686,0.6483155,1.6080931646307268,0.90905833,1.5225483721220356,1.1992936,1.5827999014567717,0.9387446,1.629843970701156,0.854094,1.634566860261561,0.98395264,1.5711075635671607,0.9660301000000002,1.6835386519659634,1.0215892,1.6656785792744302,0.599054,1.5622978493472222,0.7960464
Shadow Houndoom,Snarl or Fire Fang,Foul Play,45,1.290282646801469,0.6546893,1.3447438346058773,0.51599246,1.3180957042343864,0.8809234,1.2685440623719144,0.417629,1.3064231390684198,0.8812037,1.1853917737978226,0.67827964,1.4452533904290465,0.6113886000000001,1.5161279035723518,0.66062707,1.2233860003680372,0.5927905,1.2105609327284632,0.7198284,1.319155280456756,0.45228568000000013,1.2818048076652733,0.73805374,1.3719134510797597,0.59173644,1.2943674517237063,0.4810669400000001,1.3602748398141822,0.46892512,1.2971974626904357,0.7119825,1.3086110937939404,0.86970246,1.250219849215753,0.6762978,1.335547259974735,0.6238411,1.2826665511795063,0.7047277,1.2376884398245602,0.6915703,1.3982227345984128,0.7452439000000001,1.2957711326886923,0.4311869,1.280036120590223,0.5745871000000001
Mewtwo,Confusion or Psycho Cut,Shadow Ball,30,1.3689871537296583,0.8705551,1.379870593794418,0.635814,1.433972104936486,1.1696955,1.4647794543014578,0.5307623,1.4836321285388134,1.1419152,1.2810155327009674,0.89910257,1.170337750704176,0.6759717,1.3663265116419068,0.7669036400000002,1.4098308881483426,0.79212004,1.436211449839658,0.9628093,1.2415414475305422,0.49489242,1.4732370301264117,1.0059451,1.458555982509491,0.79606354,1.4538022558709391,0.63691586,1.4282952994219797,0.592555,1.4630484193664952,0.9226305000000002,1.3958241095251382,1.2058994,1.51152615327376,0.94131315,1.495025956486768,0.8230424,1.397224586304448,0.9217271,1.4089019113864847,0.9127922,1.4869783114478035,0.9262216,1.619668052564395,0.5787844,1.4579052451309706,0.791518
Sharpedo,Bite or Waterfall,Hydro Pump or Crunch,35,,0.93385226,,0.7404306,,1.147659,,0.59104633,,1.216102,,0.95023054,,0.87759995,,0.8804433,,0.82062167,,0.9824477000000003,,0.624516,,1.0316186,,0.85730577,,0.6790406000000001,,0.6166825,,0.97158724,,1.2159058,,0.9334249,,0.93015635,,0.95067984,,0.9360515000000003,,1.0085863,,0.596834,,0.8032776
Giratina (Origin),Shadow Claw,Shadow Ball,30,1.2862457059988341,0.81608844,1.3535911637985183,0.62829256,1.3272405293065983,1.0981854,1.4006041693486013,0.52650493,1.4533873700224345,1.1257318,1.208365305457427,0.8315585,1.2275049098758388,0.7191469,1.292712921494038,0.7568665000000002,1.327358951312933,0.7552028,1.3545086335437029,0.9034105,1.3526749542927314,0.5543657,1.3516728885376472,0.9230483,1.3447527400563886,0.7200928,1.332908049277263,0.5885953,1.3944426109190768,0.58515364,1.4213200285534466,0.9015304400000003,1.275370420456773,1.0926532,1.3447895316227645,0.85343665,1.3371357195953417,0.7625101,1.3234933153657702,0.8501995,1.3159622986880015,0.8428203,1.3869336846643063,0.89015317,1.4928751690015873,0.54491687,1.3013193343776757,0.7197273
Hoopa,Confusion or Astonish,Psychic or Shadow Ball,40,1.4735427602516522,0.726199,1.5771935617113066,0.5938376,1.3597435776544549,0.95800626,1.6270987012807756,0.4869464,1.446916557978229,0.9965891,1.2560871194974221,0.73817,1.4804259676328255,0.6569342,1.4119344271126877,0.68606615,1.2933038166589292,0.648664,1.3007124447224898,0.8064583,1.524132909036886,0.5062841,1.3628803044271343,0.820706,1.3427604633351686,0.6525721,1.6176931432434232,0.5391189500000001,1.4299932647993758,0.5185745,1.4039160066614367,0.805337,1.313143645212085,0.95382917,1.3217235826782674,0.7482554,1.3651575865384977,0.666774,1.322869731053945,0.7659242,1.3123171615427653,0.75869095,1.3362123365814835,0.7790835,1.4283264436174608,0.48913220000000013,1.4075012535533324,0.6489380600000001
Mega Absol,Snarl,Dark Pulse or Payback,50,1.2310879597292426,0.5944036,1.2574696382758281,0.47155854,1.199523249886552,0.7905860000000002,1.1968671744080095,0.3847197,1.2166823778073177,0.8018052,1.113254314487979,0.6096706,1.3604225098028142,0.55903614,1.267428267281813,0.5774674400000002,1.1517088576970058,0.54113567,1.1465572146783953,0.65466154,1.196173858195128,0.407849,1.180881741461626,0.66187024,1.3001646719269089,0.5593829,1.1975225621468142,0.44473895,1.3097178865397257,0.42634067,1.2241048897438203,0.6547689,1.1910234032671239,0.80016434,1.2144589245827573,0.6203601400000001,1.234582674315915,0.5625236000000001,1.2235048047591477,0.6368322,1.1932116323498196,0.6300821,1.2594230666556625,0.6637259,1.2374746129571692,0.38460824,1.1971478116316479,0.5210742000000002
Tyranitar,Smack Down or Bite,Crunch,50,1.5182476870666228,0.7676445,1.5078832093260968,0.5982183,1.5248519295374996,1.0385239000000002,1.498151963215484,0.48026165,1.605840111135041,1.0604542,1.4369069874415092,0.81327444,1.6281939506667695,0.6948728,1.5841833391324103,0.7362655000000001,1.4747279918440162,0.7013256,1.4718426384675796,0.84897095,1.482356722858538,0.51895803,1.5791128768669518,0.8989004,1.5125363958045563,0.69193214,1.4901720346296246,0.55822957,1.5838662223524336,0.5350993,1.4982117879694972,0.8337095,1.4593823819395781,1.0264646,1.5672428078936418,0.8213055000000002,1.5262456809922633,0.7397718000000001,1.5247826261091306,0.8304512,1.5112542019644548,0.82096475,1.5270805468691555,0.8307306,1.6641795905707197,0.51846355,1.506934745961072,0.6608128500000001
Chandelure,Fire Spin or Hex,Shadow Ball,50,1.2588740364100481,0.6485183,1.2933859863747232,0.49309185,1.3134514026988364,0.8432444000000002,1.325753287640765,0.40600747,1.291181928190914,0.8467723,1.2769480537313749,0.6795102,1.3541181559082127,0.5863054,1.3316596725004008,0.6130965000000002,1.2470432500615687,0.5735526,1.2822503518073554,0.6979299,1.3392612270024231,0.44706672,1.2941472108601981,0.72178435,1.2335514415247406,0.5517265,1.3046969351112103,0.46415016,1.291962893101099,0.43549812,1.2857396082854047,0.68859506,1.236457881329269,0.8013556,1.2368270942068615,0.6364922500000001,1.2990049253388274,0.5930130500000002,1.306364415113459,0.66607445,1.274152370660543,0.6596712,1.3292796138259508,0.69981676,1.3091542709569535,0.40718746,1.3180082346484299,0.5663184000000001
Trevenant,Shadow Claw,Shadow Ball,40,1.5589910649190015,,1.6012250495263167,,1.607336488849731,,1.6266526108723263,,1.6683178099679075,,1.5332480375308357,,1.7004330069634725,,1.6176329443357755,,1.5713563822893777,,1.5525387580396754,,1.694187043450255,,1.587788666925069,,1.6620541270023148,,1.6173921900547132,,1.6873899089055784,,1.6745122143591473,,1.5564118188683274,,1.5318954648355745,,1.5828694422332759,,1.64133790761307,,1.6367845184357985,,1.5988522205663707,,1.649756111366919,,1.6512325988502718,
Hoopa,Confusion or Astonish,Psychic or Shadow Ball,45,1.5019752858205855,0.713492,1.586516063104305,0.5694137,1.338596804159892,0.9101096,1.4776380229457629,0.4647972,1.4446118261397123,0.9556753,1.24945289027109,0.71649927,1.5059481244546615,0.6187559400000001,1.4112782639016692,0.67202127,1.3295036025593965,0.64258474,1.3344334414207744,0.7749558,1.5001115254860897,0.4831974000000001,1.3751107844659451,0.7835002,1.3764543761329893,0.6355216,1.3874396385673136,0.5135468000000001,1.416693344460821,0.48470765,1.4084738365971843,0.7720011,1.2928952304646626,0.9117195,1.3515260961164663,0.72449267,1.3562512700197444,0.6567359,1.294302700144471,0.7355464,1.293621376325828,0.72832024,1.344242642625995,0.7453469600000001,1.336021429551828,0.44890153,1.3782254822979103,0.6188697000000001
Shadow Alakazam,Counter or Confusion or Psycho Cut,Shadow Ball,50,1.6632190809860052,0.72469324,1.6518200496927802,0.5534682,1.443414038919102,0.9390575000000002,1.4606660069454989,0.45313254,1.4402738538158608,0.9234068,1.4248882644456065,0.7431512,1.520429405175323,0.58349824,1.449897725335436,0.6355037000000001,1.3823120003750569,0.6465565,1.4474009684190854,0.8092949,1.3962686535481543,0.43306395,1.4496140090296177,0.8100468,1.5418572659078935,0.6570017,1.515909862762019,0.5286747,1.4883021105436993,0.48513043,1.3777518569930602,0.73505586,1.497271840067328,0.9469815,1.4550039828091783,0.7363013600000001,1.5376157367836651,0.6655918400000002,1.5084722642930548,0.77564996,1.4851318384438743,0.7664892,1.551363643634656,0.7849203,1.537651142248355,0.47983035,1.5633915751173222,0.6528008000000001
Shadow Sharpedo,Bite or Waterfall,Crunch,30,1.3552064412827962,0.8217111,1.5569403190674023,0.656198,1.3912909821595483,1.0656593,1.4187093262086838,0.5111755,1.4331112275518316,1.0709596,1.2818944542791588,0.8543492,1.5203961969250508,0.78527045,1.5556062724031787,0.8115352400000002,1.3011016929621997,0.70853823,1.3671498566732256,0.87854147,1.4982038056466969,0.5617396,1.3944612345970802,0.87675714,1.5289907653986432,0.7703918,1.5005591502074707,0.600273,1.59284739911212,0.5776012,1.4534900735579752,0.8784219600000002,1.3463974951179543,1.1092883,1.3833590927699775,0.8326073,1.7003493379586085,0.82220083,1.398461390164309,0.8548414,1.4099729375772685,0.84365153,1.5558146406203834,0.91727793,1.4416056276257874,0.5187512,1.422654918069329,0.72542644
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,45,1.4484757549828753,0.7292952,1.5144089347231624,0.559619,1.3811199791255622,0.9099063,1.4094084518197136,0.4599579,1.3954433177327092,0.93444526,1.400444101699555,0.769544,1.5853352495951156,0.6522264000000001,1.4208208977111367,0.6585693,1.3543711086276544,0.6269539,1.3610806529309065,0.7731939,1.4899948298048526,0.4936672400000001,1.4019200432088519,0.77683634,1.442570552659106,0.6420094,1.4154584575065212,0.5154677600000002,1.4699226274521944,0.4908709,1.3988216956169888,0.7560275,1.387023927017561,0.9481909,1.393441302539887,0.72978437,1.4350457926785902,0.65424544,1.3839196442194965,0.74321365,1.3734378116613686,0.73720026,1.4022326598001609,0.7458306000000001,1.3121040513160827,0.43587422,1.4328448325651881,0.6225176000000001
Shadow Sharpedo,Bite or Waterfall,Hydro Pump or Crunch,50,1.4361540299331996,0.69412524,1.6413406517195073,0.55390394,1.4099070806353127,0.8958347000000002,1.410973035519315,0.43915653,1.4023458249931666,0.92831564,1.3302038968475718,0.70979136,1.5685279605351305,0.64455533,1.6426351284969243,0.6848319000000002,1.3336294122925627,0.62471217,1.3690356245091482,0.76223344,1.4442801951704711,0.471549,1.4088852207232738,0.7671141,1.518596401796593,0.6497915,1.5584739581883473,0.5120877,1.5196240199823072,0.48226386,1.3867893242747014,0.7384373,1.41238553173315,0.9242589,1.369525987956536,0.7015277000000001,1.7521852991294746,0.7053527000000002,1.3939437248441802,0.71401197,1.3663644082514812,0.70604163,1.4979631988629998,0.779819,1.438232279641817,0.44901454,1.4340670770974104,0.6075997400000002
