Attacker,Fast Move,Charged Move,Level,"Mewtwo, Tier 5","Mewtwo, Tier 5","Mewtwo (Armored), Tier 5","Mewtwo (Armored), Tier 5","Arceus (Ghost), Tier 5","Arceus (Ghost), Tier 5","Arceus (Psychic), Tier 5","Arceus (Psychic), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Ice Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Calyrex (Shadow Rider), Tier 5","Cosmoem, Tier 5","Cosmoem, Tier 5","Cosmog, Tier 5","Cosmog, Tier 5","Hoopa, Tier 5","Hoopa, Tier 5","Jirachi, Tier 5","Jirachi, Tier 5","Lugia (Apex), Tier 5","Lugia (Apex), Tier 5","Lugia, Tier 5","Lugia, Tier 5","Lunala, Tier 5","Lunala, Tier 5","Mew, Tier 5","Mew, Tier 5","Necrozma, Tier 5","Necrozma, Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dawn Wings), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Dusk Mane), Tier 5","Necrozma (Ultra), Tier 5","Necrozma (Ultra), Tier 5","Solgaleo, Tier 5","Solgaleo, Tier 5","Spectrier, Tier 5","Spectrier, Tier 5","Victini, Tier 5","Victini, Tier 5","Azelf, Tier 5","Azelf, Tier 5","Cresselia, Tier 5","Cresselia, Tier 5","Deoxys, Tier 5","Deoxys, Tier 5","Deoxys (Attack), Tier 5","Deoxys (Attack), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Defense), Tier 5","Deoxys (Speed), Tier 5","Deoxys (Speed), Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Mesprit, Tier 5","Mesprit, Tier 5","Uxie, Tier 5","Uxie, Tier 5","Blacephalon, Ultra Beast Tier","Blacephalon, Ultra Beast Tier"
Mewtwo,Psycho Cut,Shadow Ball,40,1.3533594947805914,2.1905205,1.4502924039182956,3.1181736,1.3233530876314719,2.5928435,1.2927874501457295,2.8159907,1.3042819859793169,2.8731754000000005,1.382237143940751,1.5247416,1.622646005696667,2.835933,1.569133409404706,0.817049,1.3396651585143384,1.4865466000000003,1.5735150273893355,2.6118848,1.3415493777695588,2.980419,1.3861351701589935,3.4044492,1.7163915229336792,1.4836302,1.4918208334432408,2.4232042000000003,1.6289894428913434,2.282513,1.79072099836778,1.7797368,1.8068920757877105,2.82753,1.561390542927668,2.4005897,1.6775113310858132,2.329421,1.3200312776192737,1.7405145000000004,1.4760513314801846,2.4092515,1.327040437789721,1.8139305,1.5083119810727899,2.9218345000000006,1.3879276837592827,1.4622247,1.2946028867283133,0.7197167,1.5455642525384965,3.8205152,1.5000443090332933,2.5894012,1.4552144796867428,2.4688299,1.4074275111535313,2.1541967,1.4462833787868103,2.8499568,1.4306486773713067,2.5813580000000003,1.344977335711221,2.5080206,1.498192326772991,3.0419123,1.310496478661896,2.6326644
Shadow Absol,Snarl,Payback or Dark Pulse,30,1.3805962262855256,2.3051918,1.4875083978601908,3.2523475,1.4461612891502185,2.7566662,1.455327645385588,2.7660542,1.3873636441249326,2.907658,1.3450925380147958,1.4545507,1.388142465573126,2.5013294000000004,1.325095862147617,0.70012635,1.1423062197585772,1.3650627,1.4962496729924926,2.5252402,1.278017146689294,3.0092704,1.3121244225039876,3.6526732,1.6613421045202954,1.495222,1.5119703159970341,2.5199256000000005,1.5542440148070085,2.354066,1.5647091313828636,1.7513126,1.5983234892954332,2.7895060000000003,1.482608203576521,2.5094926,1.656665589430567,2.3756247,1.1668676094084076,1.7990130000000004,1.46626259171843,2.4971290000000006,1.2770783675865918,1.7902364,1.4220132169605753,2.786572,1.5628874147805365,1.5103743,1.1746532163360963,0.69797045,1.3308509541775129,3.515651000000001,1.370962040015737,2.4716651,1.3678101806169292,2.5256722,1.20626966468296,2.2194386,1.5405158720405387,2.9861286,1.222767418234477,2.5985217,1.309244993537909,2.4617386000000003,1.2656676857843028,2.9166253,1.2242436849313658,2.8422625
Chandelure,Hex or Fire Spin,Shadow Ball,40,1.216502510419322,1.9252456,1.3620587777863742,2.8040497,1.2849348675628238,2.4380953,1.1714787770360098,2.4393516,1.1569139761552905,2.4447227000000002,1.370963797859515,1.3433008,1.3123167920472454,2.235372,1.2946933007303993,0.6540633,1.3613550329146555,1.2930443000000003,1.2551028689889576,2.047178,1.3188660817632032,2.746166,1.3371493554470877,3.1668746,1.324394580439594,1.157369,1.3338745280731952,2.0909905000000006,1.3162818436282218,1.868752,1.2751587629433359,1.366526,1.2691258636030565,2.1134005,1.3790409564698587,1.9821855,1.271591038940975,1.7811428,1.5991008979819124,1.6212047000000005,1.3000610371387984,2.1047688,1.2039702986538658,1.6035264,1.3047782984643401,2.4781299000000003,1.2830451438072097,1.2830485,1.6498624034969023,0.69189817,1.3320422843392745,3.1762528,1.2890014525760298,2.17104,1.3655772675957196,2.2615256,1.4142416372002273,2.0707924,1.3255439247861118,2.4744124,1.298353560311436,2.2280488000000003,1.1526310739287875,2.1341047,1.2733497706591619,2.5941315,1.3658776816670033,2.4599614
Tyranitar,Smack Down or Bite,Crunch,30,1.3617796480151907,2.4013646,1.4532359328145596,3.5819764,1.2999595708755203,3.041627,1.320068621833437,3.0595477,1.2892057763505542,3.136937,1.2561103895986219,1.6084017,1.6249397690285923,3.040807200000001,1.635358934780549,0.89988184,1.2480423149770796,1.552172,1.4768806104242689,2.7293625,1.2904521577746952,3.186647,1.3024550620988886,3.7634215,1.6232543217168307,1.5745093,1.5467793956700635,2.7300210000000003,1.601283709610192,2.5631363,1.6531618413449465,1.8505446,1.7355358425929226,3.036188600000001,1.6269696562369225,2.6989083,1.6361512701514345,2.5247135,1.2338851743197838,1.9438206000000005,1.4737028551195046,2.6756535000000006,1.3513061038169856,2.0275033,1.550115618637105,3.3510723,1.38191531126432,1.6001945,1.1998440677622377,0.76305366,1.5068096047642692,4.172113000000001,1.4321396383246894,2.7531848,1.5123571903556567,2.9471977,1.19438364664158,2.416138,1.4174790392528602,3.1222086,1.308306160748308,2.7375793,1.2973158727112497,2.6760647000000004,1.4585322161704963,3.4404016,1.2067510941313369,2.9071767
Shadow Tyranitar,Smack Down or Bite,Crunch,40,1.231964559408512,1.8786932,1.274821999582875,2.715559,1.1796385328606558,2.3591945,1.0827820209331358,2.3658998,1.1111859657874847,2.4241717000000005,1.0453561168240142,1.2362444,1.3630693653876373,2.3546026,1.3589528981520875,0.69170487,1.0440463413306844,1.1907697000000002,1.2994205036232906,2.1295323,1.1179897767458638,2.5324514,1.1995320607015287,2.9785373,1.3786277474624131,1.2092627,1.3294888519794064,2.1300013000000004,1.3567812383688642,1.933547,1.390710353209379,1.4435394,1.3825777242750965,2.2498977,1.3858682046302686,2.0341675,1.3629047744829743,1.9128058,1.1406611260293447,1.5077225000000005,1.3079202043711855,2.0635793,1.1320496642294766,1.5526516,1.3083996853033864,2.5477376000000005,1.1809299321283093,1.2267385,1.0077924857723959,0.58856374,1.2674076574303506,3.133088,1.2138001137542367,2.15755,1.3120934752171338,2.2835274,1.1923227606944222,1.905623,1.2130155129464513,2.4014482,1.29061594217894,2.1382800000000004,1.086734310840542,2.0912833,1.264640493107702,2.6101754,1.0317491320935914,2.2662942
Shadow Banette,Hex or Shadow Claw,Shadow Ball,30,1.4981699874674594,2.2228732,1.4489780717697405,3.1228416,1.4297338038934317,2.7053993,1.4405407538775068,2.7200315,1.6877624438346517,2.9684753,1.7667721975529997,1.5534651,1.2772752207191835,2.3974812000000005,1.2807872978577939,0.7117127,1.5595937367373112,1.4790192,1.4899390461302253,2.44078,1.4761879624002388,3.0521023,1.449813016511169,3.5918531,1.3817542229161195,1.2966981,1.4791066673758293,2.3539228000000003,1.3398889955112576,2.0611866,1.4445517951702298,1.4888822,1.4776571707307853,2.3996906000000005,1.2693027766721992,2.1363828,1.366357056819928,2.0369635,1.6778652764853736,1.8181229000000005,1.438427332706499,2.3882592000000002,1.389852482746098,1.8161794,1.4202510508079016,2.7802286,1.7011886628555781,1.4522307,1.6290359071922755,0.71802276,1.3750494291081168,3.464897000000001,1.3622123215090076,2.3658128,1.4166365995967225,2.5383122,1.6183306836664513,2.3535569,1.7064156778709583,2.9083283,1.4304343145132412,2.55392,1.3995232577450838,2.4900650000000004,1.3524243482507572,2.8844366,1.661506307345354,2.9127386
Shadow Alakazam,Counter or Psycho Cut or Confusion,Shadow Ball,30,1.4802775307815712,2.4838293,1.4625214354331888,3.3990068,1.397920021196307,2.8879795,1.5720468920249517,3.132637,1.4819392179016408,3.192453,1.7452412020672088,1.7498028,1.5320486801472857,2.8496335000000004,1.5213640743154284,0.8049459,1.7049985858671128,1.7069331,1.5430474825338714,2.737287,1.4788931809164787,3.3325796,1.4397225774714373,3.860499,1.8704164612842356,1.6637473,1.6469569708679344,2.6628907000000006,1.7499130523889896,2.5552533,1.9064897271118864,1.9557267,1.6475362741101507,2.9091544000000003,1.6470628993158107,2.6882355,1.696251423084387,2.532284,1.7053459352443885,2.0101223000000004,1.5810963655900356,2.6643302000000006,1.538244556557331,2.0249522,1.5135847016658133,3.0996363,1.6042001027575847,1.6554164,1.9487757370578778,0.852368,1.5430046476785544,4.051725000000001,1.59308493892843,2.781003,1.5373256038440088,2.7208183,1.5548801967007366,2.462944,1.6593956641338854,3.1750152,1.4254317194324004,2.7713523,1.42613081086889,2.6655738000000007,1.4727267282012646,3.2690558,1.548837656653863,3.048026
Shiftry,Snarl or Feint Attack,Foul Play,40,1.742062012594708,,1.7253912617651386,,1.670246368174003,,1.5265485309615292,,1.83800192206394,,1.4387659473494765,,1.7522972030799226,,1.7267726019241252,,1.4243197707613315,,1.7521267624662429,,1.5610099059177527,,1.6834762964199586,,1.9183700774631764,,1.8695419723117894,,1.9240462615401415,,1.871513966418001,,1.887001923479535,,1.9796293913267275,,1.9344146041431185,,1.5450441378809014,,2.0132243458234527,,1.6567556482750023,,1.746592748984668,,1.7637341152708774,,1.431827850854724,,1.669891064600329,,1.6462866297907806,,1.759445570875228,,1.635676191666772,,1.7138191826245817,,1.6372965058395426,,1.6442840362966133,,1.728800975655594,,1.5877997810818623,
Mega Houndoom,Fire Fang or Snarl,Foul Play,30,1.1212408168960122,1.9460402,1.1814045348205149,2.8425357,1.078659983160538,2.4197624,1.0975191651334955,2.420893,1.0,2.402242,1.0,1.2609066,1.2678926552246226,2.3698230000000002,1.2328399953610265,0.6824317,1.0,1.2003198,1.1499448495864353,2.104475,1.1522264094428836,2.6806834,1.1176362377779945,3.1340096,1.3446821331399301,1.2794415,1.2520834719300111,2.1816230000000005,1.3192950068395712,2.08333,1.3517522405536802,1.488576,1.386238171859345,2.3734598000000005,1.3663041897582577,2.1807609,1.3054633748369475,1.9879948,0.9999999999999999,1.5805684000000004,1.1987807405336557,2.1462052000000003,1.0827522073285174,1.5765537,1.1848718907397924,2.5242987,1.2464298550251849,1.2938886,1.086436873902438,0.60799664,1.2087342562353145,3.276101400000001,1.1780764999904874,2.1846125,1.209817130722039,2.3028786,1.004690152206888,1.9689043,1.1730843904255963,2.5072062,1.0,2.1968393,1.0696743249276497,2.1181664000000002,1.1372155746099857,2.5757012,1.0,2.3977602
Trevenant,Shadow Claw,Shadow Ball,30,1.5012708306820794,2.5912254,1.5175329169732488,3.7474756,1.4572936489627395,3.3076627,1.4741908833562654,3.2945707,1.7699953095737058,3.4870918,1.6954161313103528,1.7766019,1.701260128832301,3.1719587000000007,1.6606531111128693,0.92476875,1.7068367924475,1.7118953,1.6531660314764436,2.944785,1.4619479277808554,3.5026913,1.4606979897747887,4.04994,1.6415283275753871,1.5973309,1.7095506878926408,2.8875442000000002,1.6048420253613715,2.5808897,1.6451210766846864,1.8886448,1.668022358139785,2.9911551000000003,1.6376488300406216,2.7073689,1.6439302977293155,2.5512743,1.658270029498944,2.0794494000000006,1.7381095487600728,2.9629410000000003,1.657641183328327,2.2119303,1.6434758939309144,3.37641,1.4937026051597442,1.6723293,1.7766222371222022,0.8711784,1.5884433046111615,4.279637000000001,1.5768380004658709,2.925519,1.596576858724098,3.011342,1.6402635372317325,2.7377539,1.5869700727785303,3.3682678,1.3775963208187916,2.9774778,1.6342833447581306,2.9812548000000003,1.572442796438533,3.6299,1.7646246176976388,3.363664
Bisharp,Snarl,Dark Pulse,40,1.5708313279520143,2.4121566,1.57978033057649,3.451624,1.4879063757610544,2.8835714,1.371098746211277,2.8823671,1.3516892156326443,2.9840720000000003,1.3010565106898746,1.5048001,1.6672358655073987,2.8810751,1.6144477732966207,0.8194193,1.2972297415477432,1.4533609000000003,1.5555089952525814,2.5890276,1.3818125158382817,3.0835068,1.4822300836538604,3.6394544,1.7551061779745096,1.4789487,1.690059382719708,2.6534840000000006,1.7624120730162345,2.4201896,1.7296094391952241,1.7307919,1.7739260572594995,2.8007963,1.7941511856435932,2.527093,1.7665359809555223,2.3835998,1.4503410264786138,1.9154228000000004,1.7949095773660593,2.7179766,1.5125390691398928,1.9151524,1.575119624870199,3.077740000000001,1.5151246923730322,1.5489482,1.377463929672095,0.73733604,1.5832158326315395,3.930945,1.5510921760938392,2.6706939,1.6172483825554471,2.7354858,1.481404858584739,2.3338144,1.5296521415065407,3.0075808,1.4772007329261725,2.5861316000000003,1.3406292993834525,2.525741,1.5494002106529121,3.1604433,1.4252929255719569,3.0034182
Shadow Mismagius,Hex or Sucker Punch,Shadow Ball,30,1.354420956566122,2.3670359,1.3447769987307057,3.2774584,1.3826320284899623,2.953126,1.4778881327569828,2.9392698,1.324555712398261,3.0292695,1.571607293363231,1.6271538,1.3895300879901809,2.5977370000000004,1.3485609630385353,0.74368685,1.478827555883175,1.560762,1.4837670781421866,2.578399,1.419644472834251,3.1872516,1.3686122083470236,3.7379436,1.4313176540585377,1.324914,1.485460815184163,2.4925680000000003,1.4011434475220046,2.1331801,1.4540560280993549,1.5774083,1.4885650696008692,2.5013347000000006,1.3874281213146566,2.2673528,1.4366048829911424,2.1106179,1.4757541282793092,1.8720459000000005,1.470641723989821,2.5361970000000005,1.4848561057684964,1.9621583,1.4089148994439349,2.9287124,1.380487113563198,1.5232142,1.8494306461190586,0.79294276,1.3949550862087576,3.647683100000001,1.483297684333187,2.584286,1.4734580526835128,2.6662574,1.5991912151300447,2.4285576,1.441677080097579,2.9726834,1.3176851733289212,2.651494,1.3102525219879575,2.5705566000000006,1.3715419697155353,3.0910156,1.4923729005550463,3.032388
