Attacker,Fast Move,Charged Move,Level,"Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier"
(Boss weights),,,,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,35,1.4328049199289437,1.5647790000000004,1.5494948166367528,1.2673111,1.5135442555233887,1.5149084,1.304027429068178,2.0546615,1.4808358059250624,1.7757888,1.4502974552220176,5.2626805,1.4532509119411126,4.439049200000001,1.6679428961659704,4.5486226
Mega Alakazam,Psycho Cut,Shadow Ball,50,1.23405467987799,1.2420785,,,,,,,,,,,,,,
Darkrai,Snarl,Dark Pulse or Shadow Ball,40,1.123300557005768,1.3091105,1.1099595567809355,1.0492576,1.2270562122568913,1.282098,1.0822945940164757,1.7239815000000005,1.2935642507659129,1.5427812,1.2427916014887535,4.59201,1.1498301856061248,3.7401197,1.2189482330293884,3.6318622
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,40,1.2495165403887938,1.2838103,1.256908300624458,0.9770326,1.1181348480472386,1.0831333,1.1162871084486905,1.8061807000000005,1.2627625459724607,1.5637331,1.190109310103026,4.3953953,1.1512917489828398,3.631665,1.161295894931566,3.4907107
Mega Gengar,Shadow Claw or Lick,Shadow Ball,30,1.0,1.1485615,1.0,0.8668707,1.0,1.0599526,1.030255905253112,1.4959378,1.0,1.3236531,1.0,3.8403459,0.9999999999999999,3.174046500000001,1.0,3.2906263
Shadow Sharpedo,Bite,Crunch,50,1.3271711537019955,1.3466668,1.57862265213957,1.0966233,1.5439635181130247,1.3496964,1.389705489746077,1.7478181,1.4499378673511396,1.6046771,1.6866715297657247,4.9540815,1.4650900175469799,4.121591,1.4739807431320657,4.021638
Mewtwo,Confusion or Psycho Cut,Shadow Ball,40,1.2383953890004125,1.4827918,1.2723567963316842,1.1319498,1.2565948039193706,1.2658539,1.2906134984447675,2.0977328000000006,1.4638650944664116,1.7988174,1.3769119963320566,5.1286187,1.2758012693159673,4.332103,1.356145049540437,4.172306
Mega Alakazam,Psycho Cut,Shadow Ball,30,1.3091250058657538,1.4789062,,,,,,,,,,,,,,
Weavile,Snarl,Foul Play,40,1.2552434154916166,1.4609213,1.3117652991354296,1.1655897,1.3964808486899456,1.447948,1.3461753897947812,1.9605086000000005,1.411880960712608,1.7029853,1.3948659582501752,5.133011,1.2780220104198547,4.1366262,1.3502870466399794,4.054329
Gardevoir,Confusion or Charge Beam or Charm,Dazzling Gleam or Psychic or Shadow Ball,40,1.916318656248911,1.9425507,2.0325293591142684,1.5806301,1.5124528245484234,1.5171554,1.850116852853916,2.6628218000000006,1.7634432234127408,2.1530838,1.4818978909326284,5.477164,1.3530241882700524,4.5121107,1.7403904775393841,5.3843327
Mega Gengar,Shadow Claw or Lick,Shadow Ball,50,1.0,0.9452092,1.0,0.731335,1.0,0.89562273,1.0,1.2556641,1.0,1.1063757,1.0,3.194469,1.0,2.6394773,1.0,2.6860757
Shadow Weavile,Snarl or Feint Attack,Foul Play,40,1.0844472773334393,1.2462178,1.245601088749924,0.9985978,1.1511282323839116,1.2278631,1.1899288985167746,1.6904743000000004,1.201083824559228,1.4574788,1.1767383623712173,4.280591,1.0935028415152925,3.4819598,1.3651994562185028,3.592662
Shadow Shiftry,Snarl or Feint Attack,Foul Play,40,1.291838605289326,1.484476,1.4719926738008349,1.1742674,1.6896332041324926,1.5465169,1.3244817556543182,1.9560099000000004,1.4444483741591392,1.7597302,1.6012790603592424,5.2117,1.3217613224462446,4.188815,1.7133114901032833,4.2700114
Trevenant,Shadow Claw,Shadow Ball,40,1.5846568534887622,1.6465892,1.6297392113293594,1.2748257,1.662110479687245,1.5689354,1.3501564121675749,2.1045656000000004,1.628361102315485,1.9606681,1.5487483952748258,5.6052046,1.3339958013828421,4.581586,1.7271426525600024,4.6552753
Shadow Sharpedo,Bite,Crunch,45,1.260815280978461,1.3861537000000002,1.4575304218091354,1.1369208,1.609720235529009,1.4419979,1.4023332025507773,1.8686001,1.4216184493291812,1.6423801,1.6287238246530702,5.070277,1.4185595035244762,4.2683144,1.4935473999561426,4.1172113
Houndoom,Snarl or Fire Fang,Foul Play,40,1.3167753312818749,1.5378255,1.3382809155267066,1.2281458,1.4974905846920523,1.5679985,1.3661789744044621,2.0480620000000003,1.5515357163215704,1.875453,1.4562017908193536,5.3435388,1.3036498336608988,4.414772,1.492600694676742,4.400913
Incineroar,Snarl or Fire Fang,Dark Pulse,45,1.3864123505168973,,1.4052608031812293,,1.552578751392208,,1.4891350190578592,,1.645235383993904,,1.5960364053435754,,1.4802620507426147,,1.5383587053118752,
Shadow Absol,Snarl,Dark Pulse or Payback,30,1.2060017646578838,1.5479627,1.4627283359726053,1.274026,1.6636272841695123,1.6219794,1.2016052433691413,2.0668082,1.3142049166676872,1.7779926,1.3492536629409686,5.5786853,1.2013069802011487,4.484088000000001,1.5401358204996736,4.676665
Shadow Sharpedo,Bite,Crunch,35,1.3873766215172119,1.5919908000000005,1.531051575595952,1.2557857,1.560034030822723,1.6070818,1.275039319191769,2.0269623,1.4119780917624998,1.7391281,1.5350258730682425,5.5167403,1.4220607445119489,4.764970300000001,1.527682776980111,4.4246364
Shadow Alakazam,Confusion or Counter or Psycho Cut,Shadow Ball,30,1.6513595397781804,1.7173202,1.7350786191544918,1.3832301,1.566488990701796,1.5443555,1.4188910097709864,2.2419221,1.5135528722215383,1.9841609,1.6852593524019708,5.89628,1.4296417929533658,5.013658000000001,1.9857359750703338,5.00224
Gengar,Shadow Claw or Lick,Shadow Ball,30,1.3647980342476336,1.5793234,1.4051092071621623,1.1767938,1.3273386318531846,1.4611847,1.419304286964867,2.0493565,1.5807294957160678,1.7951182,1.4845293909445796,5.1601763,1.4134500860824755,4.418471000000001,1.4860686606326108,4.6517186
Shadow Skuntank,Bite,Crunch,30,1.5381127545849271,,1.4603059727617855,,1.586734936526082,,1.5934556810531453,,1.6634444071498873,,1.5539893701915182,,1.5567820190117896,,1.6254861880422258,
Shadow Banette,Shadow Claw,Shadow Ball,30,1.4038040273294814,1.6262505,1.60760525501238,1.2875776,1.4221823969887926,1.5209537,1.4311902898879172,2.0487063,1.3763458215995426,1.787894,1.4705841442816687,5.244138,1.380816116072985,4.403371000000001,1.7162162266871048,4.609592
Mega Gengar,Shadow Claw or Lick,Shadow Ball,35,0.9999999999999999,1.0835139000000003,1.0,0.8392857,1.0,0.9955016,1.0352880452499558,1.4462994,1.0,1.2460334,1.0,3.5876424,1.0386703169115157,3.049912700000001,1.0,3.061509
Shadow Absol,Snarl,Dark Pulse or Payback,50,1.214413497813656,1.2645242,1.4274728485214767,1.0312222,1.3316968910149976,1.2935703,1.359001276239823,1.7091669,1.3398687574520256,1.4816252,1.5356556471868672,4.512771,1.3306868739348225,3.699717,1.4008702994740565,3.7378802
Mega Alakazam,Psycho Cut,Shadow Ball,45,1.2890465178592714,1.2911266000000001,,,,,,,,,,,,,,
Shadow Alakazam,Confusion or Counter or Psycho Cut,Shadow Ball,50,1.583835953367077,1.4139242,1.6384026814137247,1.1048464,1.3637774832140077,1.228234,1.5587661340789027,1.8672906,1.56133037370471,1.6974484,1.5718866452101339,4.8196898,1.5784478134894682,3.9621513,1.4909592031845373,3.9568107
Shadow Weavile,Snarl,Foul Play,30,1.088755058372097,1.3931055,1.2816513276075836,1.1060023,1.1677750272669591,1.4093791,1.140117825865851,1.8574266,1.198594739130521,1.6121405,1.203739630602969,4.8046556,1.1226775696860603,3.933351500000001,1.2971728866856702,4.0700355
Shadow Shiftry,Razor Leaf or Snarl,Leaf Blade or Foul Play,30,1.3746003441441543,1.646178,1.4631204131746434,1.2886853,1.6796855626918967,1.7097167,1.3194055462542464,2.157472,1.5643179431317569,1.9930389,1.3895798269947468,5.6068907,1.3070004030676377,4.600967400000001,1.6978498915658702,4.889381
Gengar,Shadow Claw or Lick,Shadow Ball,50,1.3589196967684911,1.2899828,1.4097545131395557,0.9902052,1.3142706491206662,1.1971282,1.5383152176114467,1.7071424,1.4118182562088295,1.506417,1.5835342787132463,4.288955,1.5244092773529125,3.6134129,1.409455181127553,3.7082217
Shadow Skuntank,Bite,Crunch,50,1.54129336611545,,1.5536334718855977,,1.559075816864725,,1.6917310426759307,,1.686240623527925,,1.6884939648899793,,1.6014033382674,,1.65998322855099,
Shadow Banette,Shadow Claw,Shadow Ball,50,1.3831440883798398,1.278379,1.7081198785057778,1.0414089,1.3618002971011798,1.2591034,1.4841754436846384,1.6901655,1.396220463004099,1.4975076,1.6474745116757326,4.3330264,1.5687406085847164,3.6403642,1.475689472874055,3.561035
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,45,1.1636963045924602,1.2374302000000001,1.2765714705999447,0.93261737,1.1232693842711272,1.0379648,1.1452322815275584,1.7289616,1.226012688622815,1.4492517,1.2309592126454252,4.2358904,1.2529547826757796,3.4792514,1.1510680632933725,3.3593931
Krookodile,Mud-Slap or Snarl,Crunch,45,1.362413018804595,,1.346072057733725,,1.4839710744167849,,1.420553613178961,,1.6675015742080508,,1.57889467379389,,1.542880394524006,,1.5518780430298647,
Shadow Alakazam,Confusion or Counter or Psycho Cut,Shadow Ball,35,1.6243182024466563,1.6077229000000004,1.6348315452118352,1.3045211,1.4586307276838548,1.4430056,1.4199508724571204,2.1658564,1.5768843178671392,1.891991,1.8346801647506905,5.5502124,1.4682378751913006,4.769455000000001,1.8698529791447995,4.783716
Mega Absol,Snarl,Dark Pulse,50,1.1403921955772875,1.171313,1.3158252986757413,0.94379914,1.1387218444866503,1.1732683,1.2065461108931552,1.5647479,1.2539290934679974,1.4023879,1.281254716367621,4.1429334,1.2204427216444027,3.3705008,1.1521226824284387,3.339076
Shadow Skuntank,Bite,Crunch,35,1.4921804035025616,,1.476285886253671,,1.5751306105666694,,1.4789669490022934,,1.751471229036909,,1.6634651362929347,,1.5899788004837228,,1.6960491387768117,
Bisharp,Snarl,Dark Pulse,35,1.3536652754757548,1.6897321000000005,1.3555610147446495,1.3192129,1.4665569769785334,1.6539545,1.3206246461272741,2.2071476,1.5477405382063267,1.9595128,1.4473733049177064,5.6566634,1.2844138400832872,4.653194400000001,1.740886694142733,4.9351106
Shadow Banette,Shadow Claw,Shadow Ball,35,1.2887022528192946,1.4455479000000002,1.5922797138763316,1.1986445,1.4091157443897633,1.4377408,1.4518153742329183,1.9791929,1.421884760164795,1.7202022,1.6942499754983624,5.061644,1.4320718307664588,4.226797000000001,1.8721167750756627,4.4114876
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,50,1.5145568105989207,1.3515859,1.584385519749537,1.0997663,1.490085196538467,1.3140624,1.3972383168894127,1.781485,1.4479773034792471,1.5773741,1.4379805786883375,4.5632367,1.4335527872810303,3.8320713,1.3764182837704662,3.8238442
Shadow Tyranitar,Bite,Crunch,50,1.1086683330315803,1.1544869,1.1351288751291857,0.94927096,1.1205326666466082,1.140442,1.1967456731463573,1.6025702,1.2453642200668904,1.417771,1.2311995617075737,4.029161,1.2543721808249182,3.4450085,1.1384806039454916,3.2580097
Weavile,Snarl,Foul Play,45,1.254620530805178,1.4141307000000003,1.2441201617032696,1.1082513,1.3624760785996894,1.3844094,1.3960732015651434,1.9212701,1.4242341297299645,1.6410581,1.417532109832972,4.84445,1.4056149957033528,4.000013,1.3628818038973867,3.922153
Gardevoir,Confusion or Charge Beam or Charm,Psychic or Dazzling Gleam or Shadow Ball,45,1.6854719289987672,1.8757521000000004,1.920275294074719,1.516873,1.4706196737855075,1.473005,1.8768152205846118,2.5952094,1.771878075824376,2.0790777,1.5050151985278193,5.2343864,1.4411687391545338,4.313506,1.7605832724658663,5.1974616
Shadow Banette,Shadow Claw,Shadow Ball,45,1.3242756006460779,1.3468246000000001,1.5637687674671392,1.0754502,1.3689675520428355,1.2926841,1.411607146989882,1.7459298,1.3595673667211596,1.5274698,1.6406536105415688,4.474668,1.5005889066111997,3.7563317,1.624402935488179,3.7784467
Espeon,Zen Headbutt or Confusion,Shadow Ball,30,2.070064375341297,,1.9538171481688804,,1.6140349802836467,,1.9466674459397333,,1.884846108373257,,1.6787099797297544,,1.8430049845480243,,1.7959442303656297,
Houndoom,Snarl or Fire Fang,Foul Play,45,1.3144232758869359,1.4951272000000002,1.3494534386087298,1.1979778,1.482511328833502,1.4712727,1.447570943183647,2.0051703,1.573532012615804,1.815929,1.5148469371591278,5.170726,1.4188815595231554,4.3232307,1.4621509656080949,4.155813
Shadow Weavile,Snarl,Foul Play,35,1.0917982575704577,1.3209815000000003,1.2672705867378498,1.044968,1.176916087814304,1.3089616,1.1067813738554542,1.7520124,1.2036686013493314,1.5076365,1.205372752683597,4.548847,1.1328860892704493,3.661945600000001,1.3727334509154296,3.7867289
Mega Alakazam,Psycho Cut,Shadow Ball,40,1.2835708016490548,1.3394989,,,,,,,,,,,,,,
Incineroar,Snarl or Fire Fang,Dark Pulse,40,1.4152604830625024,,1.3936386035505521,,1.547811037066442,,1.4753264305325529,,1.654033281169838,,1.5759851394357838,,1.3690752917566285,,1.5218213541085266,
Darkrai,Snarl,Dark Pulse or Shadow Ball,45,1.1013983186428424,1.2447820000000003,1.1173242659639329,1.0047154,1.2157993294744818,1.2278208,1.141588771178538,1.6804389,1.3009001936096452,1.5040202,1.2710887066624184,4.337125,1.226142924368752,3.5404677,1.2363182079738306,3.5355954
Tyranitar,Bite,Crunch,35,1.2578039319150085,1.5558499000000003,1.26494819678962,1.2483052,1.3821951396240348,1.5426724,1.2418249252220463,2.127233,1.4548047309787435,1.8547863,1.3720922201464139,5.4121776,1.3294420952062689,4.555701000000001,1.4039479734708558,4.432829
Hoopa (Unbound),Astonish or Confusion,Dark Pulse or Shadow Ball,30,1.198730471522923,1.4906976,1.4430874018382926,1.2902402,1.1337254865782302,1.3663945,1.1248812444961298,2.0152667,1.2891496721187528,1.7871991,1.1488357417030013,5.271103,1.2249226299298879,4.382403000000001,1.2390586243875399,4.245007
Shadow Tyranitar,Bite,Crunch,35,1.039315345552924,1.2901137000000003,1.0750165335911057,1.0554966,1.143455397169451,1.2865403,1.122460838084998,1.8085341,1.2730145609822188,1.5909389,1.1573417358226556,4.597573,1.1423258946177828,3.8887088000000007,1.1592712879350933,3.666181
Mega Absol,Snarl,Dark Pulse,45,1.0604046708774792,1.2128426000000003,1.2150665194172074,0.98120147,1.1522705219737026,1.2144848,1.2065852738115692,1.6432599,1.2402851623507725,1.4336373,1.2383708804512406,4.250952,1.1996156302457612,3.5042553,1.206812034116559,3.5393069
Giratina (Origin),Shadow Claw or Dragon Tail,Shadow Ball,30,1.1361218803529676,1.5154893,1.1900378213058669,1.1930419,1.1866488370365553,1.4340745,1.0876355038213863,1.9915236,1.2636939490489534,1.7844335,1.1079346901990705,5.0849113,1.1296648100228592,4.284555000000001,1.1300369955643401,4.0491524
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,45,1.4128501486556628,1.4028945000000002,1.4850589269632515,1.1309302,1.5004420439982924,1.3602653,1.3735474491547643,1.857703,1.4361611826455811,1.6385907,1.4508237866762979,4.825926,1.4000998645608196,3.9575348,1.5156652250832223,4.016032
Bisharp,Snarl,Dark Pulse,40,1.3695637233886502,1.6284066,1.361506662136168,1.2773114,1.4417075612165364,1.5770253,1.420398559927506,2.1409173000000004,1.5541018107709226,1.9035894,1.4731449916392467,5.4998736,1.2764978338499549,4.5153995,1.4696735754067485,4.565934
Shadow Gardevoir,Confusion or Charge Beam or Charm,Psychic or Shadow Ball,50,1.7206900857795446,1.5338489,1.8508478290618318,1.2511722,1.3129288536301083,1.3423934,1.7299213907265407,2.1103995,1.4890131843598073,1.6844659,1.322494512142001,4.3192058,1.3576699767393985,3.54182,1.478395850273229,4.2477856
Hoopa (Unbound),Astonish or Confusion,Dark Pulse or Shadow Ball,50,1.187925036785948,1.2794261,1.2857322800442548,1.0491815,1.06804052446637,1.1356312,1.2593460134426078,1.7268373,1.3576068864409976,1.5255374,1.3577017132914757,4.4435472,1.3061832798148114,3.7128265,1.2443415148001722,3.5819614
Incineroar,Snarl or Fire Fang,Dark Pulse,30,1.4148255920824726,,1.4041758877058452,,1.5316894793995082,,1.360865849269107,,1.597642361460722,,1.3437732992652536,,1.3622116704072136,,1.4667714866943486,
Espeon,Zen Headbutt or Confusion,Shadow Ball,35,2.0182787624832352,,2.0384339049290796,,1.617716309396102,,1.8669804004552448,,1.9163147263863594,,1.8398784535675023,,1.8735479802677522,,1.8395373918652995,
Krookodile,Snarl,Crunch or Outrage or Earthquake,40,1.3910438205425153,1.6558229,1.356884144274719,1.3220346,1.4754823930334415,1.5051777,1.367169060493724,2.2375734000000005,1.719335541648064,2.0627728,1.5167918981606343,5.695186,1.4449897050240919,4.838988,1.6694672904659864,4.804053
Incineroar,Snarl or Fire Fang,Dark Pulse,50,1.5001974441663077,,1.4649671971226264,,1.5091258912521477,,1.5231199434916447,,1.6700148053846846,,1.652420117769617,,1.5254900340716695,,1.4881114895461793,
Shadow Gardevoir,Confusion or Charge Beam or Charm,Shadow Ball or Synchronoise,35,1.590198296143764,1.7435535000000004,1.767085471361652,1.4613162,1.4404407386616218,1.5464418,1.5167233816220669,2.3727999,1.5416178920629107,1.9269919,1.247147498231483,4.8695707,1.2328012539993607,3.9679306000000008,1.5524072291208775,4.9402585
Hoopa (Unbound),Astonish or Confusion,Dark Pulse or Shadow Ball,35,1.1518171730875406,1.4373049000000002,1.2289194544040503,1.1952714,1.1306963930035532,1.2862076,1.1017781997243368,1.9312348,1.3503428146448389,1.7202849,1.2958202876204912,5.0622334,1.236615430650196,4.0911436000000005,1.330582851205135,4.0203624
Bisharp,Snarl,Dark Pulse,30,1.3863617411171565,1.7845639,1.3563332005490818,1.4084016,1.4198780069010022,1.7120175,1.3623355257412137,2.3611872,1.4676635778022111,2.0306392,1.3271883182036863,6.0774913,1.2943598787160742,4.973407700000001,1.6203144523345883,5.137055
Zarude,Bite or Vine Whip,Dark Pulse,40,1.2440318205652072,1.5257362,1.275803992622901,1.2157382,1.35290213926523,1.5177641,1.2728867020626382,2.0331664000000003,1.4148712146965412,1.7779416,1.383629483790927,5.2174006,1.2334138751762842,4.348202,1.4262154680553532,4.343174
Mega Gyarados,Bite,Crunch,30,1.1041813933205427,1.4192578,1.0959058875687486,1.1474581,1.1807324198696563,1.4046298,1.02607278369777,1.8472204,1.2249815875948313,1.7515563,1.047165313157857,4.8252397,1.1117870300059625,4.111708600000001,1.1362472459767794,3.9489594
Giratina (Origin),Shadow Claw or Dragon Tail,Shadow Ball,35,1.1028851326846423,1.4229858000000002,1.1762625878302686,1.1286862,1.1962210528762593,1.388099,1.079834201691726,1.9216777,1.318080576804089,1.7246231,1.238407368627864,4.9287834,1.1448068569944196,4.122816000000001,1.2020341278486268,3.9249744
Gengar,Shadow Claw or Lick,Shadow Ball,40,1.3439989983135037,1.4864736,1.3539696075891952,1.0810155,1.303680355625424,1.2842586,1.410644777726146,1.8115168000000004,1.4143796489969587,1.6139203,1.6069453584335722,4.7813444,1.410039176976509,3.9709954,1.4390933049647505,3.9370408
Shadow Houndoom,Snarl or Fire Fang,Foul Play,30,1.1529675782969795,1.4664638,1.3340860777932917,1.1758083,1.5153900650446412,1.5371149,1.1345264676788456,1.9043527,1.33283021126067,1.7814575,1.3096448007991006,5.1711473,1.209168911156709,4.223211000000001,1.3453289972964524,4.159433
Shadow Honchkrow,Snarl,Dark Pulse,45,1.1000508218788188,1.2453033000000002,1.389670512499115,1.0525095,1.238685030335538,1.2721933,1.2177108215259194,1.701579,1.3275319626285906,1.5613211,1.5199972871251906,4.5922575,1.2651176320432054,3.6896656,1.4594360842130951,3.779865
Bisharp,Snarl,Dark Pulse,50,1.4612050761569042,,1.472837270652874,,1.4220619584346144,,1.5119152663367206,,1.5693929538824396,,1.5296875632683462,,1.4358656486710926,,1.4591452789955357,
Incineroar,Snarl or Fire Fang,Dark Pulse,35,1.3971958883402165,,1.436427431066752,,1.5752010256246953,,1.3637490777862293,,1.6761741884037786,,1.5408517445700076,,1.379211012248434,,1.5720198701832966,
Mega Gyarados,Bite,Crunch,50,1.1017089787182082,1.2267718,1.1886554030430299,0.9659187,1.080181157341593,1.164906,1.1471755875184646,1.6014906,1.2921810442557533,1.5166309,1.3092074232405417,4.371531,1.2214641015120091,3.5006058,1.1777802370095323,3.428016
Mega Banette,Shadow Claw,Shadow Ball,30,,,1.1746868547646019,0.999207,,,,,,,,,,,,
Zarude,Bite or Vine Whip,Dark Pulse,30,1.2487471198027553,1.6152989,1.2208776234463905,1.2751595,1.3708237254118198,1.614607,1.1786214751872044,2.135389,1.4034171722637714,1.9757429,1.1918382690768814,5.4584894,1.1802534322863552,4.578665000000001,1.3159108710417557,4.585175
Mega Absol,Snarl,Dark Pulse,40,1.0937787650567015,1.2769773,1.2305893423699323,1.030139,1.1634937067892646,1.274672,1.153595607485114,1.6942009000000005,1.2677788129108603,1.5016941,1.2544500782134957,4.5290833,1.1009041437770364,3.6320002,1.2165315626747932,3.7183654
Shadow Mismagius,Sucker Punch or Hex,Shadow Ball,40,1.4492825704118342,1.5023422,1.4863661751370059,1.1968913,1.4764123401529747,1.4187175,1.3587637623069655,1.9693193000000004,1.4540952781981415,1.7082262,1.4115206861211498,5.0289497,1.3425285721203202,4.254289,1.5350459034633408,4.197866
Absol,Snarl,Dark Pulse,30,1.3623349406744376,,1.6506266766586333,,1.7721504973903728,,1.4215211118215634,,1.542385125695328,,1.5387716591011378,,1.4052915542257154,,1.6821685630463215,
Mega Banette,Shadow Claw,Shadow Ball,50,,,1.2305582401950599,0.83840996,,,,,,,,,,,,
Mega Gengar,Shadow Claw or Lick,Shadow Ball,45,0.9999999999999999,0.9949810000000002,1.0,0.7605438,1.0,0.9243437,1.0,1.312209,1.0,1.161794,1.0,3.34941,1.0,2.7535825,1.0,2.7379596
Tyranitar,Bite,Crunch,50,1.3377840539155188,1.4012562,1.359040446589221,1.1218303,1.338891942293824,1.3686551,1.364051368045279,1.8818551,1.527714836487217,1.7442942,1.4087692535163399,4.729786,1.4596257017741634,4.0167327,1.3616612231620677,3.9040203
Shadow Cacturne,Sucker Punch,Dark Pulse,30,1.4850061616568895,1.7217546,1.5052283074912525,1.3611909,1.8062404394652831,1.7679543,1.342686754241359,2.270567,1.6519476448951602,2.0307639,1.4409118535638215,5.958487,1.3812011069287309,5.001283000000001,1.5833526768043058,5.0168095
Mega Gyarados,Bite,Crunch,35,1.0911281162522428,1.3711118000000002,1.1037410130022192,1.0782392,1.1240725242742502,1.3125093,1.0275182298070928,1.790725,1.2299891874804272,1.6186253,1.1857432154113292,4.7027936,1.1563267866593336,3.952655000000001,1.1742117353849753,3.6957803
Zarude,Bite or Vine Whip,Dark Pulse,50,1.2672668330821386,1.3882259,1.3697714089418858,1.1180161,1.2993699915100603,1.3793935,1.4059236558331245,1.9511323,1.469115076834841,1.6973109,1.4801789857677665,4.9944496,1.3367162850817063,3.9237094,1.3876371651274781,3.9280443
Mega Gyarados,Bite,Crunch,45,1.0217827107903283,1.2496138000000003,1.1340455349607756,1.0176872,1.107723797278997,1.2368106,1.146692966575845,1.7252713,1.263785552432652,1.5470749,1.2666986450742528,4.439301,1.231156045356837,3.5807495,1.1924554128627936,3.507227
Absol,Snarl,Dark Pulse or Payback,50,1.4341381884460906,1.4855162,1.6216942297582086,1.1792778,1.4487923747145184,1.489965,1.5565856486246414,1.9734644,1.598817252889657,1.7505995,1.6229724067186844,5.2425275,1.567956175962738,4.260329,1.478963564939364,4.2527094
Mewtwo,Confusion or Psycho Cut,Shadow Ball,35,1.3252392798935164,1.6171386000000005,1.4587961430420702,1.213866,1.3519953388126522,1.3302579,1.231068395376635,2.2076702,1.474097858616098,1.875645,1.3642678185903323,5.3295174,1.3678780144453908,4.493191700000001,1.3836413541306973,4.373097
Shadow Honchkrow,Snarl,Dark Pulse,40,1.1084150580386556,1.3023708,1.3767012900668605,1.0986348,1.306561107953259,1.326393,1.1616211993034786,1.7721754000000005,1.3501410744459483,1.6433088,1.4675759210313393,4.7926774,1.1478562192566906,3.8087485,1.4592030042414792,3.9597645
Shadow Cacturne,Sucker Punch,Dark Pulse,50,1.4089748319468345,1.4208776,1.5306546426340917,1.116658,1.6620229267624476,1.4516063,1.4720930340460485,1.9107388,1.559697490760665,1.6852993,1.6657906748746292,4.879727,1.4827711554539176,3.9935532,1.6707492245887683,4.072481
Mega Banette,Shadow Claw,Shadow Ball,35,,,1.1728617448769347,0.9561179,,,,,,,,,,,,
Shadow Absol,Snarl,Dark Pulse or Payback,45,1.1256386707811044,1.3008350000000002,1.4132840588595534,1.0854071,1.4575764294849607,1.3435103,1.2834104051908606,1.7577404,1.3353772741695746,1.5493165,1.5462614077283454,4.787654,1.3030829119354963,3.8794162,1.507642063019675,3.9706495
Alakazam,Counter or Psycho Cut,Shadow Ball,30,,2.021197,,1.5556947,,1.7856989,,2.562602,,2.2911308,,6.9719996,,5.594589700000001,,5.6779585
Shadow Alakazam,Confusion or Counter or Psycho Cut,Shadow Ball,45,1.4769367379323464,1.4647713000000002,1.4878249711252807,1.1619728,1.4012186290140378,1.2850968,1.5105510483524258,1.9094403,1.560542861138375,1.757516,1.6195685092689212,5.0293846,1.5645945130794816,4.285549,1.5721645350687297,4.1495724
Zarude,Bite or Vine Whip,Dark Pulse,35,1.2680437161032605,1.5672003000000005,1.2639445739674717,1.2382979,1.4344408137596643,1.5672673,1.196358785480209,2.083586,1.4756613628505288,1.9189304,1.3336998958038295,5.315367,1.2402162366444625,4.459408800000001,1.421043039011821,4.4775386
Espeon,Zen Headbutt or Confusion,Shadow Ball,50,,1.8822577,,1.3569245,,1.4146073,,2.6518393,,2.1762114,,6.2575316,,5.2644415,,5.099504
Shadow Skuntank,Bite,Crunch,45,1.445096864200038,,1.4522403087053617,,1.5735131000243658,,1.6103424724110977,,1.7381529655433297,,1.6332657759548823,,1.5524103287720805,,1.6614368459495243,
Tyranitar,Bite,Crunch,45,1.2379312627419434,1.4283011000000003,1.2436047401790247,1.1450162,1.3417137603175957,1.4026746,1.3589629251873863,2.036971,1.4894832697207125,1.7759188,1.4558892289892797,5.1635065,1.3999736246394896,4.131018,1.3609185024459654,4.022237
