Attacker,Fast Move,Charged Move,Level,"Mega Alakazam, Mega Tier","Mega Alakazam, Mega Tier","Mega Banette, Mega Tier","Mega Banette, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Metagross, Mega Tier","Mega Metagross, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Latias, Mega Legendary Tier","Mega Latias, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Latios, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier","Mega Mewtwo Y, Mega Legendary Tier"
(Boss weights),,,,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Hydreigon,Bite,Brutal Swing,45,1.036444355961908,1.2051117000000002,1.2316864427215164,0.98141867,1.1527608495832582,1.2020481,1.0691842898656951,1.5957527,1.25194532851761,1.5217583,1.2340502045168207,4.389114,1.1029347930496074,3.4625375,1.1312556614988403,3.379001
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,30,1.2439993711314046,1.3889606,1.2379521463064898,1.089718,1.123739902238189,1.1986208,1.1580433983750937,1.9766791,1.228132835080657,1.7002568,1.0584543120280243,4.8094826,1.1778012603951007,4.080531000000001,1.1294880726885022,3.8199375
Alakazam,Counter or Psycho Cut,Shadow Ball,45,,1.7602189000000004,,1.3527108,,1.4775174,,2.295502,,2.0125177,,5.700912,,4.8021,,4.806883
Mega Houndoom,Snarl or Fire Fang,Foul Play,40,1.0178436347928834,1.1852834,1.0350699298456274,0.9506089,1.1468203360980291,1.1973562,1.0491894060221065,1.5774102000000005,1.2363086220390695,1.4564186,1.1505066616322346,4.2175407,1.0,3.439101,1.1107420561630126,3.326293
Hoopa,Astonish or Confusion,Shadow Ball,30,1.333209641894604,1.5401123,1.5092670598959956,1.3716236,1.373044688227752,1.5328724,1.1970779367148572,2.0420501,1.3083053935825317,1.7920833,1.1506776035823258,5.1726747,1.2542794289027699,4.357442400000001,1.1957237147965432,4.249864
Chandelure,Fire Spin or Hex,Shadow Ball,50,1.359657073372794,1.2612303,1.4575072894943355,1.007175,1.3861510820608858,1.2273403,1.2632250342443079,1.568493,1.3481220624128976,1.4691112,1.3476073061825984,4.2878094,1.238274122195879,3.4945228,1.194231809103523,3.485086
Honchkrow,Snarl,Dark Pulse,30,1.3239702949256222,1.6747005,1.6198280035228054,1.4259801,1.456294607544275,1.726713,1.3043976453014796,2.2601545,1.5142617214034981,2.085699,1.5291770733417984,6.197241,1.3672144526312355,4.956409500000001,1.6550235021788662,5.1624823
Shadow Mewtwo,Confusion or Psycho Cut,Shadow Ball,50,1.1602635142888245,1.1899201,1.2846285986891077,0.90137964,1.1104261247208254,1.0020126,1.1941683742483984,1.6807694,1.2310836679842698,1.3861684,1.2613340065596623,4.1394067,1.2495550237157305,3.3663108,1.119940133015851,3.2496827
Weavile,Snarl,Foul Play,30,1.2812324120787006,1.5920296,1.4660609439164505,1.2746402,1.3723126119289388,1.5971134,1.3382577069708879,2.1809611,1.3577014600929131,1.8675869,1.2137058870770714,5.4771976,1.2775239667564566,4.516757000000001,1.575076964322559,4.6835976
Gardevoir,Confusion or Charge Beam or Charm,Dazzling Gleam or Psychic or Shadow Ball,30,1.9408718557691071,2.186648,2.0597215353978804,1.7819322,1.6550249701244477,1.731138,1.841353515248864,2.9584365,1.7017665568828004,2.3417668,1.3027114971392442,5.7003565,1.4079173839113124,4.9095070000000005,1.6964854988722673,6.0572796
