Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Hydreigon,Dragon Breath,Dragon Pulse,30,1.510570573677312,1.3771457247128234,1.5729562582450105,1.4079091231792407,1.4808784958368777,1.4209692623886565,1.546456849054712,1.4804078713164823,1.4690448011690749,1.4236029617442159,1.6870235002917437,1.3621998369123889,1.695108265153353,1.371709599655786,1.8369239215679913,1.3986778936593032,1.5377377197695417,1.5663836724819904,1.6092874510410633,1.5268379111273016,1.5468282423404502,1.5651221172688456,1.540779530203156,1.5315384282783289,1.480707784197777,1.4509171584453742,1.448109427520719,1.4425384781290167,1.5914000613922044,1.5106196639721197,1.5167811197960261,1.4553538922269684,1.5427999322438208,1.4673425504763324,1.57453142483591,1.556623097703486,1.6655706832032993,1.4809801048727376,1.491298074804039,1.4646384828983627,1.5489208484165695,1.5515486933060645
Hydreigon,Bite,Dragon Pulse,30,1.7991453632259125,1.6451635627634669,1.8846199904351886,1.6847701868268352,1.7805382229493179,1.7408449575442302,1.7780769027743217,1.7311852192591812,1.8544786310352943,1.840978420890514,2.0569637326544172,1.5762666106473397,1.9853008060401645,1.6037946397058458,2.162445442014033,1.624642794314228,1.5377377197695417,1.5663836724819904,1.8599099408442166,1.7922265711318257,1.5468282423404502,1.5651221172688456,1.540779530203156,1.5315384282783289,1.480707784197777,1.4509171584453742,1.448109427520719,1.4425384781290167,1.781229626633295,1.6967098858633052,1.7661361844536743,1.7400214398577853,1.8372142179213624,1.7525488485675116,1.750497008836882,1.7552679575702999,1.6655706832032993,1.4809801048727376,1.491298074804039,1.4646384828983627,1.7763253626750768,1.8050138755393825
Hydreigon,Dragon Breath,Outrage,30,1.410647822383527,1.2597374530228034,1.4676873074464873,1.292419660198889,1.3696122381028357,1.3051675426383347,1.4320086648495733,1.3515620832394204,1.3387971605218383,1.3029816030155186,1.5929440075073826,1.25260811669919,1.592106340569834,1.2610264995668004,1.7492611729721523,1.285205971693015,1.434793279355019,1.4314058031927872,1.4972898422581895,1.3935496783201802,1.4121644009071075,1.4356409682591011,1.4053880637734846,1.406914206771051,1.3654576627884616,1.3434600529873888,1.3396071193419739,1.335909539415473,1.4511720805850084,1.3749423915775547,1.4033262633006223,1.3327628072953286,1.4420575354314475,1.353232271048233,1.4377959509954639,1.4308629906041292,1.593964367757373,1.3631320394216924,1.3861060776470944,1.3547691604942302,1.426142058123944,1.4173605390060944
Mega Gyarados,Dragon Tail,Outrage,50,1.1076574843087306,1.0890369332545415,1.1252765967339038,1.1342358201621756,1.1094147742640517,1.1118359520661796,1.1309149733706136,1.1370842099706657,1.1511021162121864,1.1585823034037794,1.0286076124402839,1.0351812453920528,1.0716822111012478,1.0595012546390585,1.04746878575641,1.0360683830689617,1.2093291655550231,1.210019716563207,1.1546788040858553,1.1638298096598194,1.1755285389270578,1.236923381705758,1.1333077507479146,1.158563602059359,1.127394469091707,1.1521320896913994,1.1566844614876388,1.1775192815907387,1.1306106871032133,1.122609911158657,1.1202726787546502,1.140105925764,1.2187639053574046,1.220579800354434,1.1915666686154607,1.182475411362873,1.1819206730585279,1.1986548146919456,1.1856232452440314,1.1717606384175547,1.1802808128445639,1.2232151768056252
Mega Gyarados,Dragon Breath,Outrage,50,1.1693301502626214,1.1548096376918942,1.1799300466754836,1.1954139069868237,1.1823103208128762,1.2002386374959997,1.1608813211102649,1.170427681714246,1.165621280897297,1.1825813090486785,1.0690397138936074,1.0782610247161208,1.1207332443838802,1.1095435211950706,1.0822600243646818,1.084837946946256,1.2444486753744592,1.2438852279049586,1.2280739561476468,1.2471317507445794,1.2001960647637397,1.269425112536772,1.1893897754411409,1.2292874466660666,1.1796998158659542,1.210502117591629,1.1988250154136157,1.2237447799546461,1.170304549721448,1.1599846073601807,1.1724233932086985,1.1957273238711745,1.2646589795493184,1.277412684000833,1.2410156537109005,1.2315001136108645,1.2131982389669667,1.2319405489510555,1.2325501472230431,1.2205402113243229,1.2084367049376523,1.2663883087662209
Mega Gyarados,Dragon Tail,Dragon Pulse,50,1.1967901230343645,1.1806236977615183,1.2161663153570585,1.2286816277471493,1.1976848114111172,1.2018934594875506,1.2308996400724717,1.2371261321573896,1.2467755394305666,1.256367056657014,1.1195842349209275,1.1303019669708292,1.1662467884693535,1.1557458515896548,1.1404295290303892,1.1266024476014818,1.3086549898852866,1.3182467111886182,1.2567386775775105,1.2642214443871456,1.2763628492649275,1.344584267754972,1.2275696692679285,1.254928152961615,1.2254522479922028,1.253473590889004,1.2619084654072783,1.2842287630070266,1.226856719643286,1.2172969905244884,1.2214775383682208,1.239555224701657,1.3206890957746817,1.3251065671684565,1.2933071658339181,1.2763270956295683,1.2959867863577335,1.3084921302013672,1.2885815145310513,1.2697488316010648,1.2846219069092597,1.332770928973631
Mega Gyarados,Dragon Breath,Dragon Pulse,50,1.2739869510471042,1.2590089945028227,1.2844971089667123,1.3073333635473021,1.288390215566863,1.3042096094298417,1.2666142150566286,1.278697077428687,1.2677737436478964,1.2831515773594588,1.1697553409705688,1.182764700347225,1.2213418198032933,1.211598846509632,1.1869177495912913,1.1808131983333867,1.3551886433720013,1.3598638405537335,1.3372375812625514,1.36556311933645,1.3068327076486221,1.3825039582441276,1.2981256134709467,1.339363374306985,1.2884353743975423,1.3210754638036264,1.309537210702295,1.3403798967734761,1.2777380514783703,1.2654628170104,1.2888978166924983,1.311073824401919,1.387052304904276,1.393849601858959,1.3410155917976228,1.343252341626499,1.3311582743588786,1.3493965257105323,1.3470813528677283,1.328562534116509,1.3270059617106136,1.3854079378284283
Mega Gyarados,Waterfall,Outrage,50,1.269031903433884,1.270767584043694,1.460924544385501,1.5316344586269404,1.4550755392684211,1.5166740277990127,1.4510901583966007,1.502330521670084,1.4791823410458749,1.5268060776417745,1.3349021506196288,1.3808214662209193,1.387017434194165,1.4287362734146623,1.3731179743080102,1.402584746221699,1.5432738955970013,1.5789460218612232,1.5148107409982823,1.5953177131823055,1.5737715554628484,1.688993487044055,1.4867721740740627,1.5869615995679942,1.460765136947248,1.5268353075688994,1.5068394046549252,1.5622706121936376,1.6220960132191133,1.6623398706294816,1.4373020046201384,1.5152316863505042,1.559840023398663,1.6174573024001633,1.352240734390535,1.351102326108378,1.5392941069529844,1.5886858032973301,1.5169143911796243,1.5465439032276258,1.573397303252863,1.646480473516982
Mega Gyarados,Bite,Outrage,50,1.2783586078969995,1.2760778790943021,1.2821180393146268,1.319197767129931,1.2403682094478485,1.267961917833494,1.2556032870792806,1.2749145287328971,1.2834029963673963,1.3155885681239377,1.1494460692550965,1.1704139680991457,1.2063469119893453,1.2078821697034805,1.2089408453540134,1.2245832583437681,1.1986503606467773,1.1925594607156687,1.3154838866764407,1.353893312219331,1.1452058470380384,1.209558694431939,1.10299362072462,1.1314088547547538,1.1255224289988939,1.1492696447378046,1.1040877030386858,1.1168258453146536,1.2844349820535268,1.2809393237709321,1.2526996430847925,1.2851616621732243,1.3698459465527206,1.3983695893806518,1.3515306775426477,1.3592609040559123,1.1495578958275725,1.1598172741568105,1.1250491847945858,1.1068045310114636,1.3697667573077366,1.4421989410192384
Mega Gyarados,Dragon Breath,Twister,50,1.5636430815913795,1.555645284326765,1.5927037037924459,1.6135525657547638,1.5946910459728445,1.606401208643085,1.5721477481976394,1.5896126261470997,1.5785449490487353,1.583059075919578,1.4605184287088573,1.468024802571168,1.5156942281824968,1.4977510326093213,1.4721019412445198,1.4664515269864251,1.6726222080618771,1.6893262827460667,1.665405087059921,1.6803339549686247,1.6135908362652205,1.7030839975828636,1.598369368668633,1.6449721877504846,1.6049769483997427,1.6392544124349375,1.6336849309772246,1.663091826012782,1.5716874724983816,1.56447346265108,1.6073479762441647,1.6187668996429536,1.7204849086338787,1.7261776769845414,1.660190213509707,1.6598360695611596,1.652490339716439,1.6644894015577656,1.6616428260783125,1.6537507586155453,1.635721523840363,1.7232810664735025
