Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Shadow Hydreigon,Dragon Breath,Outrage,50,1.0529361955475118,0.9416093976935687,1.0045892435586257,0.9609764162300807,0.9846409927378995,0.9597216031455484,1.0022373767715336,0.9713468417176311,0.9804966303720766,0.9713306150520268,1.1800296692855985,0.9002776503913954,1.134611596196705,0.9196306650162583,1.2680030420227912,0.9309536245606558,0.9985581856991483,1.0350757758980194,1.0926479796417268,1.0015036618116635,0.9887363649561356,1.0202974461267382,1.0048991904357163,1.0027784050707096,0.987889221503701,0.9755276078543332,0.9807543027182978,0.9858224799799693,1.0180679150883791,0.9617484082941298,1.0019186243830134,0.9833171516892915,1.0453645807880367,0.9695468309472306,1.0094745004416628,1.0021606849448224,1.0577816601147922,0.9902368726555083,0.9981197430524068,0.9907501147362667,1.012615473115585,1.0334240361132603
Shadow Reshiram,Dragon Breath,Draco Meteor,40,1.156688574598339,0.9891664123913526,1.0167521332837741,0.985998986217689,1.038699651195101,1.0010616022322627,1.0284821179948962,1.0312728341157784,0.9983697151889629,0.9937664124017026,1.1393302511375032,0.9628103746490738,0.9641925600001564,0.9317941914110275,1.1889887649170825,0.9646899793802107,1.102397561485532,1.0667014898747775,1.0724168823066642,1.025183174332156,1.0696720671389481,1.0600586045492684,1.0714235275346087,1.0613034452598862,1.0044621054903247,1.021710928040874,1.0490723426960664,1.0607626913963883,1.15759274624103,1.0345119477576088,0.995275156876608,1.0237005614669432,1.0357312798752756,1.0035820935557038,1.0309064006565636,1.0444871665715707,1.1046989784701273,1.029997758015869,1.1691448364673003,1.051541472883867,1.0968884424810128,1.0738103969688397
Mega Latios,Dragon Breath,Dragon Claw,30,1.1502162782628016,1.0647686524025595,1.0818277710997202,1.0792101674321184,1.0738675765260421,1.08080045982273,1.1145512999369074,1.1408066543720985,1.1687089940550963,1.188236420661265,1.128634025496299,1.0316402284755897,1.0997350086759383,1.0232939004755097,1.1664811791203795,1.0326545356092935,1.1548895080331956,1.195774225943255,1.1938149052016733,1.1478702165393118,1.1561715852315697,1.1923648995331866,1.152186206599978,1.14569319602707,1.1198226362715373,1.141129504271941,1.0938243895857387,1.1077280011215846,1.17122242680167,1.1168660276713813,1.1267828200174486,1.1200505996398682,1.1169778833395858,1.117125411029045,1.1089138580224174,1.110805839341943,1.158463681408264,1.1551369254579573,1.1037148659673892,1.1076478618368835,1.198296091505686,1.1894614399021435
Mega Latios,Zen Headbutt,Dragon Claw,30,1.4113531344699104,1.3064224509939684,1.3042333389801846,1.3285457617491256,1.292742789341031,1.3303726113372039,1.1349060996083447,1.158774933716303,1.1871575595280495,1.2024800386043746,1.3918756540868866,1.2735797858025415,1.353354706976132,1.2860905021227758,1.463871229453704,1.278764814554257,1.503816648198306,1.6020968980940502,1.4060401232768596,1.3766011323433607,1.3752254535144124,1.4328635151304243,1.3894395815860843,1.402281847557713,1.4356224542418288,1.4853337273575384,1.4532781381101116,1.5095670436771946,1.3673517820898389,1.297430349983159,1.1529726631966395,1.146536504541692,1.3409819612033407,1.3635261395916918,1.3358613114275901,1.356150469430894,1.5048592007078385,1.5315747218771116,1.479182418181252,1.5143214594268208,1.4017633859109884,1.3970504654267741
Mega Latios,Dragon Breath,Outrage,30,1.152416397094579,1.019862608808365,1.0768570464472476,1.0351335267944968,1.0507800735842083,1.0345430918345784,1.0715660604009059,1.0769369041763828,1.1247675081734763,1.1197414865420074,1.2184277954985865,0.9884887611225304,1.1323737058582186,0.9905950396960284,1.256710612724073,0.9852429803829614,1.0976824358775528,1.1285321215699975,1.16914981021052,1.0899192949921257,1.1128566284931733,1.1246426836292474,1.1345802219669185,1.0967719649329022,1.0660498560259968,1.0752317799712479,1.0575958388274587,1.054889298090125,1.137673495977418,1.067726462910747,1.0897011220804933,1.0776419570008093,1.0726351568588615,1.0601188194992288,1.0844527180238486,1.0599135672953548,1.1707924483190602,1.0970779128782342,1.0995262910180226,1.049672496923157,1.1513997304834889,1.1179938371702216
Shadow Gyarados,Dragon Breath or Dragon Tail,Outrage,30,1.5685252179387679,1.4091347500829245,1.766482183028236,1.4930875350504553,1.4551418634097986,1.4178643219750044,1.4532958631096766,1.4225555329326567,1.4771988431895402,1.4232942541086724,1.7195949297128081,1.373716279809741,1.539379300638364,1.3713832610103185,1.415522379483249,1.330664390266338,1.5274119477209271,1.4890571229999854,1.5216532366671323,1.4418564966593759,1.488219238245679,1.4967998624768937,1.499563270958353,1.4492056043251331,1.6419936944588251,1.4809365739152027,1.6155280634353693,1.4598821122780046,1.464090345036312,1.3748700976729227,1.4697211571221225,1.4192870754944262,1.8160503328467184,1.6773687012749845,1.4535366942749763,1.4598213342010624,1.7153033824384392,1.567355542488805,1.6185340450012742,1.5177027657219506,1.4612936489597093,1.4553102275743297
Shadow Exeggutor (Alola),Dragon Tail,Dragon Pulse,45,1.3376673185239096,1.1683698751783282,1.3575408228867856,1.1581058410959697,1.367060907839301,1.2232543624646217,1.3771236129160553,1.2614415590473023,1.329711594567274,1.264185834024775,1.3525295466194156,1.1748191709295377,1.4569938335570827,1.1684848960049419,1.4776644823101766,1.1960335072009967,1.2566098670166785,1.2609950854664453,1.2872366845357026,1.2184958307920966,1.222872335686355,1.2283279779334113,1.299383809043311,1.2451133815329296,1.2955676194090566,1.2100949147101265,1.253635827883778,1.2250331467242774,1.240866657124339,1.187318065976229,1.4942390064930076,1.2799010851876578,1.1691856912471434,1.1585343023005867,1.403176787969224,1.254107393179474,1.4122261144408808,1.2668586503462356,1.281538911545042,1.2769408306073513,1.2511265450201465,1.2513146377221127
Shadow Exeggutor (Alola),Dragon Tail,Draco Meteor,45,1.405907332146089,1.1138400979959617,1.317913027714451,1.0979584618425358,1.266398886604853,1.1333181334731979,1.256567413585414,1.2160615879096526,1.2729668669370797,1.2012988881430702,1.3753619714441623,1.1059115754182491,1.5012626753513654,1.078738184749158,1.4989469408688718,1.1323881761493155,1.2008433796942175,1.20904269958783,1.1498321895197674,1.1339702354502392,1.1433704586322215,1.1507097062277947,1.213875681794309,1.1678002391728912,1.198070678213252,1.1279082552777637,1.2777396690006115,1.1755209047872903,1.2784126943888157,1.1384900213119225,1.3890669854417719,1.2251041960020508,1.1006037795748924,1.0887699644647502,1.4535747267170032,1.1990523376817386,1.400929430653921,1.210463830115514,1.2354511485493298,1.191854942536317,1.1983371063513095,1.1696190230792238
Shadow Exeggutor (Alola),Bullet Seed,Dragon Pulse,45,1.8681303397815943,1.5863653316340496,1.9676552157254428,1.5383133600817018,1.7834766828352753,1.5927532717906927,1.7518150686940137,1.6677822828069042,1.696520346778983,1.6701528844552769,1.9417529985243946,1.5509476732614695,2.132519879507736,1.533128476646859,1.963318474055657,1.5711357242294777,1.600610998595304,1.6283299912303828,1.6046577667514192,1.6226871851932136,1.5325050850531148,1.6007600457641677,1.6053716614667282,1.635070000016449,1.665633142634242,1.5559529098563047,1.5581589784252627,1.5829022030670892,1.5153158118893562,1.440892167904823,1.8938254391199287,1.7647454821046773,1.4802375361148885,1.5277534858239301,1.9418568871047643,1.6893724178293612,1.9300816359369377,1.613283125160419,1.5975329159779148,1.651384987718827,1.5549515622583312,1.603040501024025
Shadow Exeggutor (Alola),Bullet Seed,Draco Meteor,45,2.424910453492978,1.675008423289096,2.746467807772477,1.5654775872592757,2.0251561228691,1.636191286033883,2.112255606359325,1.8298503285766594,1.8902666881135415,1.7971138229981882,2.77501933452693,1.6393282332522428,3.329087817783795,1.6058519849534536,3.4448440476744215,1.6449242399272965,1.7659948913861916,1.6640176322056834,1.7086402920576025,1.634797389368725,1.6448949525770646,1.6551939343086084,1.7297825119921308,1.7104479404177981,1.849627081414796,1.6605382784828622,1.7349022123503346,1.6756050605713297,1.5820898790086608,1.4777760871903567,2.604718541144374,1.909301589739853,1.602809805392054,1.5709795581371164,2.4393902178967046,1.8416095612497883,2.5992776012755323,1.724598723103171,1.7971191565027338,1.7294221391525142,1.712017046826769,1.6395185526959983
Shadow Exeggutor (Alola),Dragon Tail,Outrage,45,1.2652290450304808,1.0779879831767696,1.2867447019729294,1.076151232503066,1.2908177715791025,1.1274530919621428,1.301720094412898,1.170262785917832,1.2552029347626639,1.1792747245593918,1.3026246421174286,1.0762833378541043,1.410266320570325,1.091599239636386,1.4335669686697023,1.0953448466717057,1.1432657108550814,1.145765686997554,1.1859302454363854,1.120484913929134,1.1347649921935723,1.1368344948200853,1.19697513734582,1.1508430621179797,1.2153895542349142,1.103790184297109,1.1765738146970337,1.1330633491301467,1.15227415932785,1.0897627271966213,1.3958003874404186,1.2029701358404707,1.0707319026883109,1.0748015908739335,1.3501263959564613,1.1576870154677943,1.3392168526058827,1.174992549125616,1.1966685026524186,1.1786449068964124,1.1475854508208105,1.146911642712729
Shadow Rayquaza,Dragon Tail,Outrage,35,1.1236322973660566,0.9886228737484823,1.1993744688871146,0.9926610133918063,1.2571002419837454,0.9885463060827233,1.117060486649278,0.9881821327696043,1.127387218763311,1.0227465804892246,1.2986284858702364,1.0358341374783104,1.24868150499347,0.9793261481636094,1.2812521993640575,0.9781784854565811,1.0260408863572004,1.0277506660641105,1.0496420630012095,0.9916100479326034,1.0353773997755815,1.038242586776084,1.0582133258637825,1.0183204131877366,1.2165703970428507,1.017289451741858,1.0442721136530853,1.0109394079937286,1.0246190053611217,0.9675833730832909,1.1743495011917962,1.016513679561435,1.0741657336719181,1.008171160045313,1.021894834637153,1.007444540960365,1.235180567623226,1.0554367804942417,1.0538285850960902,1.049048097381424,1.0199703757360417,1.0269726886905899
Shadow Salamence,Dragon Tail,Outrage,50,0.9376038570411853,0.8646086602280668,1.0039231428006135,0.8888693523350307,0.9059092452802633,0.8830503873052543,0.8988280500485555,0.8958051838836704,0.9130008863345515,0.911093498153509,1.091712354067069,0.8820126557515359,1.0320561745552292,0.8905206062492385,1.1418233936511069,0.8860117868246168,0.9199046307782713,0.9328488176882694,0.9697737278315948,0.9059179927568165,0.9246822005583731,0.9242841487324971,0.9244219655556257,0.9108124570115044,0.9109678684131631,0.8982819500080574,0.9036053645976158,0.8977540189991111,0.9207097187306192,0.877561429904296,0.905695544829062,0.8893830034312963,0.9216564585344308,0.9043907216657732,0.9133844742903788,0.9111287082404892,1.1038869572573173,0.9486151559781867,0.942353170712462,0.9133694489299551,0.9205008086000239,0.9215251531072238
Shadow Salamence,Dragon Tail,Draco Meteor,50,1.0114545158490675,0.8747048326532978,0.9969890879481899,0.8917824853225621,0.919799045708842,0.8873501790798036,0.9180809190371136,0.932808426219884,0.9429590885141137,0.9259807817763201,1.1700926464225336,0.9110759916472294,1.0176461785364521,0.8894946214395694,1.2357015631754673,0.8968624172843616,1.0035188535647217,0.9593095965279366,0.9435260835779654,0.9163615922943751,0.9506049916065833,0.9437364357092581,0.9302223429026772,0.920266929918207,0.9423665356117139,0.9171330749037402,0.904127441658363,0.9149047620780691,1.0145307241329227,0.9093535136365692,0.8975835192745372,0.902304948825961,0.9739455628337516,0.9244939322577835,0.9439142653233372,0.9314114095734024,1.1775709342889757,0.9912916806876854,1.0121118962938258,0.9410711451157178,0.9474198767333064,0.9443712804525131
Shadow Salamence,Bite,Outrage,50,1.1364505407006888,1.047513388702286,1.24149542627976,1.0637788162116057,1.1016270721556742,1.0898743418657764,1.0666898481556613,1.0667443665490555,1.0714895562053561,1.0767415247501493,1.382626358381945,1.007314834069295,1.239195584469799,1.0412943274850117,1.4515469128444483,1.0340506014042448,0.9791516239833546,1.003582668791421,1.1644355598809064,1.1165754708398115,0.9938914374571223,1.0037414251146333,1.0040143940816342,0.9936265406242606,0.9810902087383916,0.9742744797026671,0.979056470983766,0.9849083967851066,1.107703940077922,1.0482375692935573,1.0504791145194314,1.048527339100957,1.1142638698993172,1.113647578947523,1.07598979209256,1.101271283020894,1.1858636902603785,0.9829650312523075,1.0150330554491327,0.993233719547885,1.10812183142646,1.1388533447463551
Shadow Salamence,Fire Fang,Outrage,50,1.267362341114829,1.1610127309410252,1.3284614413256026,1.1356055937169762,1.1263507708667766,1.1203309422132315,1.0999906994748974,1.127253135994624,1.1736711703531235,1.1859768100163823,1.3936445960289292,1.0197664605803989,1.197979013547235,1.0446774438420603,1.3603290361585154,1.031246189579143,1.114291900097204,1.1764606354017721,1.1944051312221864,1.169034400035199,1.161483677254653,1.192565104664832,1.1478042293042483,1.1804048714381086,1.131321107347698,1.1484143364929664,1.131106272219461,1.1544613352039073,1.2181304996661102,1.1538676312133116,1.1207997473956743,1.1294914893742725,1.1511465271467483,1.1644263157063157,1.1841113370552647,1.2314573050016995,1.5660557759736655,1.1938291455041496,1.155952246287985,1.1519379410103017,1.1456376411599882,1.1797606463145291
Shadow Salamence,Splash,Outrage,50,1.319123804838933,1.23713259565314,1.4670628061235387,1.29257157970439,1.2429382583714932,1.2825710694372625,1.2151800768787548,1.2890328934157032,1.2507999888677512,1.282651333723591,1.7536581604660593,1.2850968659268178,1.4242676059427732,1.3075745534481886,1.739117061515811,1.294440882339533,1.2120522022605462,1.281598621778451,1.3503809618394316,1.315841760352834,1.2279098531846504,1.3134953457547864,1.2499094700762472,1.318468351185137,1.2257813353321194,1.2531979773950475,1.2112361870187842,1.2665168582944768,1.2684447026027659,1.2243029362096722,1.1999179429815319,1.2903559370878686,1.2699768658945743,1.2986744921869113,1.2351621955403513,1.2799794483296991,1.871567789099614,1.3541238495612102,1.297472843181645,1.3449266535507214,1.2383793935491407,1.2887711046794121
Shadow Salamence,Bite,Draco Meteor,50,1.5033781213468889,1.1866723640438872,1.3673023648310219,1.207596984673106,1.2813647557857297,1.2283856787182794,1.2645135811406578,1.283133511691151,1.2122228317704946,1.2056055589544554,1.7809350837815339,1.191847520518176,1.4635232671309326,1.1854298536982042,2.054431041932195,1.2241036340633566,1.1351932017697544,1.0824358072974527,1.2832924141279867,1.279713473098256,1.0698057643355,1.073915787013186,1.0676832493674655,1.0648606074164275,1.0726216732686065,1.0342286816765718,1.0311036718558426,1.0608549963929843,1.4507401207473536,1.2111062675809332,1.1813599276847908,1.1811277391453334,1.3523672223236767,1.3081921409446107,1.2655338423725098,1.2636662725739127,1.3276198329142714,1.0674939860430286,1.1665615521158474,1.0698283841342473,1.2989943536846293,1.3036899392115222
Shadow Salamence,Fire Fang,Draco Meteor,50,1.999978161843084,1.436600660418069,1.5716373624306428,1.3411119518796495,1.3569122973924583,1.3023581259598513,1.3696369974329992,1.3914296638712025,1.4049974834513934,1.4032289181859907,1.7800790225108905,1.1854325570705742,1.4499030540736078,1.16713740518532,1.9055127423948994,1.165975951708091,1.5038843274662552,1.4275620774326936,1.3846217309965707,1.392220010114425,1.426015032155984,1.3893296953999466,1.3927805528799326,1.4049478686283325,1.4223863564624875,1.391340097395277,1.3271182533025276,1.370616587355576,1.856057825905356,1.4812921861611632,1.3435045961777186,1.353814633851737,1.4455414302947283,1.3879916686355396,1.5320515751754997,1.5031176430994955,2.2082584540278467,1.4765099421861787,1.5166079551916734,1.3902270591422687,1.4119428767715108,1.4252766566623207
Shadow Salamence,Splash,Draco Meteor,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palkia,Dragon Tail,Draco Meteor,40,1.2635307509427645,1.0814106865675006,1.1125595576715754,1.1231805663752887,1.14837597829264,1.1137968357052572,1.1229199291819476,1.1304877636649993,1.2173031466999251,1.183822201005959,1.1205580769680912,1.0700404787783255,1.0717529087578868,1.0494006120179935,1.298020281271836,1.0510676477029905,1.172120614525411,1.2024604809572144,1.204929007217977,1.14384730379974,1.1795277150462542,1.1817342690914197,1.1794662036109043,1.16157646847056,1.1537727893552245,1.1572310987490673,1.2061538211604932,1.1718486955484253,1.2185133116725497,1.1047275654554172,1.1575620794167518,1.1315758032889767,1.1839682229398758,1.1734000594520053,1.1536421325869304,1.1316520399496308,1.2492616343774763,1.221617209958298,1.2661711868183823,1.20291961803688,1.1872217465861494,1.2050096007052467
Palkia,Dragon Breath,Draco Meteor,40,1.3139926430570361,1.1093686598899277,1.1446448042942852,1.1416396019688564,1.1923838255247095,1.1459535987987521,1.1395570883267798,1.1484131991488205,1.2354182871714512,1.1944322718230993,1.1535173120748767,1.0904655664873013,1.1215014705329778,1.091748399746053,1.3493043970830272,1.085790070653638,1.267199857522261,1.2870544138387008,1.269278963388665,1.1956022309256702,1.279283014062052,1.2786826083059974,1.2401236611734605,1.213369454440008,1.1676389584387967,1.1799063324056336,1.2357376780609537,1.2154886518391084,1.259456511158286,1.142362128935753,1.200195033121495,1.1901716698471967,1.2471673030137904,1.2225927357586175,1.1845299592601788,1.1704824556787166,1.3291122311609738,1.2953015747870271,1.3014302195446488,1.2333044938705096,1.2797977565872418,1.2808221684146646
Palkia,Dragon Tail,Outrage,40,1.1617322831159045,1.0710912516947215,1.1159247786372217,1.110756201769699,1.1222730147543714,1.0991004227921364,1.1145400722759726,1.111783094996904,1.16384625326715,1.1748021077686588,1.1237292898594466,1.035460616296144,1.0578505023660367,1.0414412613243855,1.2084168500351,1.0334672323066574,1.1409959378973633,1.1855415421611104,1.225068593475971,1.1261546175243469,1.1599362278523073,1.163943789526756,1.1609411728213306,1.145112300578616,1.1486704097144214,1.1426295048640702,1.1508530537683987,1.1530936388829154,1.1201220589644716,1.0821131503313923,1.123248591409221,1.1219578016859106,1.142264460010075,1.1445258776060314,1.1348583517075725,1.1198633096344048,1.2487980876123552,1.187710147232587,1.2025885549764717,1.1528574955531026,1.1631456114535934,1.1694022519624268
Mega Rayquaza,Dragon Tail,Outrage,30,0.9292627881026526,0.8421300012398437,0.8660121450978098,0.8623613358537017,0.8777907673467441,0.8648563118674827,0.8610380335617688,0.8757695625932322,0.906370311424659,0.8981715753122572,0.9948976178121068,0.8543942319068442,0.9624390191987034,0.8585718356608538,1.1046704688669102,0.8552718673192414,0.8715532971600527,0.9138032510989246,0.9407949477388001,0.8853285825738969,0.910519417015235,0.9213696965948881,0.9037465993999764,0.8939848182316574,0.8964081335268351,0.8861463476224498,0.8817841996737465,0.8802027249806383,0.9085635411568497,0.8659392453648611,0.8690256418335871,0.8616115604553441,0.8960502997769998,0.8843735107144051,0.905453560309768,0.8959841013778622,0.9336523679509611,0.9184868396151978,0.9005114355610611,0.8892677437440608,0.8887119302037396,0.9147892599336458
Latias,Dragon Breath,Outrage,40,1.4888830698531188,1.3655572614588936,1.4003020853093275,1.3815061248795668,1.3650968813140814,1.315236425458783,1.37642219133219,1.3736929759809051,1.4568535736641184,1.455171306911853,1.4866738857396897,1.3051149780400981,1.4661872438838925,1.307934720542263,1.3777192973411612,1.2996466014767678,1.418871380293495,1.4393681285564184,1.4670379755854166,1.405665295539313,1.44308566421197,1.4665648520499799,1.5021644347701644,1.452562084963479,1.405076362382871,1.4087674697551653,1.4090269645048255,1.4070155067647165,1.4424339368730426,1.3724218743620114,1.4415765188261778,1.3988356437307454,1.3548724372345926,1.3598183811049915,1.4293540755785994,1.4267558406553893,1.4498009101545544,1.4558231401304198,1.3620064067375228,1.3523249466695966,1.4271465768255858,1.4321552687078272
Kyurem (Black),Dragon Tail,Outrage,50,0.9652528254750855,0.9035893677763,0.9280356792644812,0.9070523838337049,0.9428781830272686,0.9240246099077453,0.9172667181128146,0.9261985737519073,0.955865586586961,0.9493028665068843,0.8810810830903552,0.863846112671491,0.9000468711345704,0.8765058546564778,0.8649566284683773,0.8590545852399799,0.9525041416960319,0.974246223616868,0.9776307095813854,0.9322426962823748,0.9510046681337895,0.9825937885047664,0.9170976188691384,0.9335206047516401,0.9362553950965667,0.9329535445279994,0.9365027598930253,0.9321368917911689,0.960690452379985,0.9164856605315711,0.9361409306316224,0.9181061765302485,0.9094183661133858,0.9198446972522369,0.9553414220966896,0.9460163979969461,0.9634877682599164,0.9556817234653217,0.9358181813138158,0.9361944299664928,0.9362060106524155,0.9616345417369393
Shadow Haxorus,Dragon Tail,Outrage,50,0.9421510745580842,0.8606530353629199,1.0614750435761728,0.8789312676902744,1.0409543484695347,0.8954591488583652,0.9677990125802869,0.9060662046567981,0.9756307527428494,0.928726131114305,1.063168623625953,0.8610691839395875,1.1595257327524326,0.8826871212761286,1.1679048175188909,0.8702971984902493,0.9283423503077739,0.9241583547333891,0.9600684776572641,0.8982599658933313,0.9142942271217158,0.9115570770679696,0.9717727580243821,0.9245304722195916,0.9898728552273508,0.8957736440257916,0.9437494405657885,0.9149351436083774,0.9336172117408307,0.8799497339429,1.020646990050094,0.9197676013945754,0.8897008770456836,0.8819373380272737,0.9316618045580024,0.9156627944628655,1.1026396209061298,0.9441734058903377,0.964707247602559,0.9422655118963553,0.9178203529565612,0.9253398030311268
Shadow Haxorus,Dragon Tail,Dragon Claw,50,0.9407509165987705,0.8891622460333052,1.0267551660661172,0.9050650931748326,0.9812908609862635,0.9182645777689613,0.9339596804082624,0.9189756686532924,0.973353594655011,0.9527846424024524,0.9990491512243572,0.8743681098511246,1.0478247384458201,0.8779647675893272,1.0352867345134216,0.8822860677314056,0.9671240344946476,0.9666366383824703,0.9464790214328339,0.9285824063989775,0.9395257339588259,0.947434727624063,0.9638323261267363,0.9443188096155116,0.949398892936524,0.9210358002388377,0.9500161586489755,0.9492938588641833,0.9340347428573949,0.9027903994295846,0.9510266645922653,0.9234979790997492,0.9171816387368396,0.925285492718599,0.9499660228776636,0.9413836927679188,1.0649631448005308,0.9590835569285067,0.9612850708467551,0.954579140592227,0.9500527706394968,0.9432324747368244
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,40,1.4039199089117391,1.3964902559552754,1.4314482858611217,1.4203819694793713,1.3983658101315928,1.3957769038910965,1.4158220086173696,1.4135111213891691,1.412041390266924,1.4294642322262563,1.3650181322921329,1.3355019935644328,1.3468066487508017,1.3290327583184862,1.3226244855262077,1.3478929230684393,1.366524745115252,1.4356257460600101,1.4355104690102027,1.464624268794833,1.4711125483021084,1.5266201023771477,1.466810472755369,1.4852764622903212,1.4250488438489908,1.4284816005787928,1.398005536928407,1.4291851626100203,1.4538998603670534,1.4044117518125705,1.4322581238089425,1.4053994174608144,1.402481349597266,1.429168336993661,1.4179471732918147,1.4492790066138415,1.4509274864979402,1.444046415276268,1.4291696114871266,1.4440949735806066,1.4474150128472232,1.4888218136370914
Mega Altaria,Dragon Breath,Dragon Pulse,45,1.4596471618044395,1.4451827038576852,1.484242964967107,1.4839767489745814,1.4567205166313215,1.4386819216197475,1.4627214565348476,1.4644374453105387,1.5640111379092223,1.5900528640304308,1.5670559202735657,1.398221903231144,1.557860059038516,1.4147883099307077,1.371115774639843,1.365896964308481,1.5400091905635664,1.5776885106187661,1.4889170893709027,1.4991820584689601,1.5320868554849132,1.5714941434758023,1.5152992046291163,1.512251794677898,1.5278987720965636,1.5303234056299124,1.5329848740593262,1.5394168972049889,1.459924051821353,1.438003718301465,1.6373150680974784,1.5045835737603974,1.4700958801377022,1.463643335000292,1.559306861397487,1.5336810441975008,1.575789017090579,1.5796606796314296,1.4938187281026334,1.468784800380471,1.4928639722532973,1.553331164500162
Mega Altaria,Peck,Dragon Pulse,45,1.74619306581155,1.7586626534105365,1.9167550442246346,1.955330414473626,1.7676611251421463,1.795287556518799,1.7471086678380303,1.8054807184474102,1.8460914721785764,1.8679258450721168,1.9669050886605681,1.743218896582106,1.8492975737128954,1.7602274857285216,1.6495545257793127,1.6985446704850862,1.8323082207536137,1.9708273082099226,1.8146402485081345,1.851593054652417,1.8760871741360126,1.9410583514103195,1.8160205183927902,1.8549752919692848,1.7708319573914564,1.8012597144533065,1.828092229253753,1.8740707194467692,1.74752102798225,1.7649927062313888,1.9679091412175032,1.8586086674531013,2.007108336030965,2.027872169369871,1.8674641922347128,1.8915429735196028,1.8292971069511232,1.8499564529742798,1.8394179257347356,1.8371544234568085,1.8313704158925546,1.9121553562241167
Mega Altaria,Dragon Breath,Outrage,45,1.3404638102491602,1.322400031559659,1.3449926285903027,1.354059164286722,1.327873416008494,1.32359072523207,1.3496802490641522,1.3472067562589323,1.4262278610940642,1.4491514962261205,1.4655189076910953,1.2818200857749922,1.475144180866108,1.302939350098488,1.2588706597550567,1.2496180238633934,1.4375637383849704,1.4667239013140259,1.3683951624793473,1.3796902439918177,1.4094813376847375,1.4393284113617983,1.3851856738774935,1.3898026412413678,1.4087343105048595,1.4073845741527835,1.403761623770425,1.4068688736844097,1.3383573171576681,1.3158225605979983,1.5103047203792217,1.3724860191251933,1.3625029073794341,1.3523492176990601,1.430320807186398,1.4099868947280578,1.4419693741658486,1.4440137627629188,1.3846654709642499,1.3528819068689806,1.3719273998523331,1.4240921573455367
Exeggutor (Alola),Dragon Tail,Draco Meteor,30,1.8736791437349245,1.5063964162880044,1.8032305937743283,1.4903517094589418,1.896335459464996,1.4933942541755554,1.724827849514711,1.638375027894593,1.7594818692932483,1.7041551590189847,1.8219423887385857,1.4534499359480737,2.062701219540007,1.4764462774914517,2.0894598335808015,1.5233446402247328,1.604069491152019,1.5887917746036826,1.5446444755845383,1.533655588501813,1.6271229212339553,1.5814252613803776,1.6367921834783654,1.578419886833483,1.6852389137649058,1.5538731689648728,1.7459414152318116,1.595133933758875,1.7158068994236477,1.5149502341886643,1.9376127709604807,1.6641662251999074,1.4931632031035562,1.471730626564611,2.039981472009405,1.6586603364172925,1.902127154833203,1.6268971291227743,1.6551972523707792,1.5882019370625726,1.5788427350792722,1.5544922700395896
Exeggutor (Alola),Dragon Tail,Dragon Pulse,30,1.8186986149174134,1.6222021496797339,1.8627956828962748,1.5899357609900377,1.9599537145309123,1.5937904242175278,1.8634613091173358,1.708546232966144,1.8818570053213093,1.7488381894623832,1.7934994463560072,1.5728713062875819,1.978026223509284,1.578613187817067,1.920133984317097,1.609444439263318,1.7024042474478156,1.6616975681656396,1.7443953857010102,1.6568469629618312,1.67319950336549,1.6966850327796594,1.7456720704199435,1.6759630891700363,1.7906349531839667,1.638113287849895,1.7078580614990742,1.6926952515725209,1.641490769451131,1.5923863245984295,2.0715847704799546,1.7462618432894754,1.5863157320368044,1.574336042723137,1.9353371536184285,1.7170605663101375,1.922559381038647,1.700640025456034,1.681401628715598,1.6884793692017344,1.6709466620193274,1.6866400157125403
Exeggutor (Alola),Bullet Seed,Dragon Pulse,30,2.4794837057158405,2.1193040652383237,2.5539896687599097,2.0660224837809356,2.946510296372314,2.1387317086337485,2.406145273084923,2.292875713982879,2.4810714034699597,2.377547858056281,2.641502345313695,2.142157255285213,2.9619576018225446,2.1526585033859944,2.6539357893147244,2.1234684388976914,2.1215336988599263,2.1967788766681755,2.163684433692074,2.1983384325566018,2.073788536212234,2.1450918558963292,2.183274158917673,2.191482009512868,2.3064681763660357,2.1302085416224656,2.1311549037662387,2.126636758792855,2.0561528751055413,1.9384331481029562,2.6773898778400755,2.3934307776839043,1.9910069655850786,2.0554470787129118,2.6280663324705866,2.2708039890194147,2.5816245615566324,2.186681166485316,2.181635909538814,2.263046106872864,2.1641548089107068,2.204555020902088
