Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Zekrom,Dragon Breath,Outrage,50,1.066604569993624,1.055018056754782,1.1008645525149467,1.0673614324609484,1.0824582879828,1.074014304933775,1.1268364790584005,1.1257361553269463,1.103528877743554,1.0085076697694662,1.1165331954276536,1.02567215444104,1.0149632928129981,1.0206005579513278,1.1094198124499761,1.1148203955572191,1.1531302650785846,1.108933478841393,1.0918941554252184,1.1352631989949913,1.1169442173526536,1.1049275302379344,1.07972349193506,1.090532906502119,1.1014677180153034,1.1082544560764562,1.1300917040414797,1.0669047272047374,1.1297861792846262,1.0453846715863238,1.0881084281748352,1.0582581198702055,1.086290011144495,1.1018432510032066,1.1082066314957972,1.0999021151079276,1.1131099608418031,1.1034568385996866,1.1117526615885787,1.1030199756688222,1.1101129953106417,1.1431498391635733
Haxorus,Dragon Tail,Dragon Claw,36.5,1.3303649213579503,1.1753521715899207,1.264381708328704,1.1840762530733266,1.2260400738120953,1.2040556992528577,1.2909949541667396,1.2615263114944713,1.3185728920692648,1.1353752491291762,1.3645340590033304,1.151965481733398,1.3568039135487662,1.1506046886285544,1.2816442291744132,1.2774132796442368,1.2411792411533813,1.2223482837240482,1.229206993762719,1.2326339081456759,1.2700655081812966,1.2315032855136376,1.255740399144455,1.229453130174016,1.2576401768732521,1.2380041613202293,1.2235802977617096,1.1794700440962758,1.2347153028922173,1.1556907117186166,1.2513594878591718,1.209785332275126,1.195819950814305,1.197936137229044,1.2368527818122141,1.2285623285831404,1.405422163129992,1.2741256313594844,1.2481374196807602,1.2329061455795944,1.2563517050781834,1.2565572842079717
Haxorus,Counter,Dragon Claw,36.5,1.737561144414733,1.480452012528159,1.5713631122411533,1.5057640069653753,1.6768052444906958,1.7012727196048087,1.690210814602303,1.672625800307269,1.4245861051819506,1.2133841443922224,1.4784188615700786,1.2280663506738432,1.4532466827580226,1.2221825302880127,1.7484705861276353,1.7919293409707866,1.537044255941612,1.5580364476364017,1.7969883278311862,1.8754317381736156,1.8243871635265334,1.8695393889177272,1.715105742025223,1.719143746169947,1.69299089129019,1.711194491533179,1.5237943388211403,1.4754995055407543,1.5459615712845747,1.4500211638912417,1.7112080040385182,1.7048905983006974,1.5020965283041883,1.5387428289233638,1.5264614253303317,1.5425663955779059,2.0675552579801915,1.762752965199815,1.6757042988265614,1.7268475467089877,1.5394916414370108,1.5652680497718603
Mega Charizard X,Dragon Breath,Dragon Claw,50,1.118301860081014,1.1375027012868448,1.1638714237884313,1.1489412818279618,1.1223762534412642,1.153432242881677,1.1703001980691208,1.1921044761545816,1.077465924821242,1.0792786761143347,1.0985155012485577,1.0911088628797774,1.1316559381627598,1.0781190943002157,1.1636028625051764,1.2086077022168416,1.2057825318508595,1.1870674952613398,1.1725698529854935,1.210693522106158,1.1854036976627182,1.1886907974834442,1.165188726692987,1.169069133301917,1.1761554357067479,1.1930547399749785,1.1979263823604074,1.144187261954283,1.2123474951935926,1.1265962988248859,1.1339023495221985,1.1399804113485514,1.1951884110477844,1.195558148874729,1.1787555731900294,1.1896245375409833,1.1572494112206342,1.1788150648510458,1.1529886755535774,1.1834277679334557,1.1910433473230368,1.2214458330549363
Mega Charizard X,Wing Attack,Dragon Claw,50,1.424141569402922,1.4715801683054006,1.3488015712951704,1.357987950174532,1.3241237466983835,1.3741483944863808,1.3603556093090128,1.3939923829002998,1.2485844534897625,1.281288107497633,1.2821535331561151,1.2984017225467752,1.339515311860338,1.2811510032749418,1.377836667327652,1.46008945958046,1.4071003648963345,1.4111664798519776,1.4148794340588762,1.4854953478511752,1.4036770423398055,1.418135804990202,1.3596929635615367,1.3837977799517533,1.3953883474277786,1.4264712902186714,1.4294993399110598,1.3850091299235692,1.460012976091948,1.3616236760239981,1.356129429519914,1.3798606474889568,1.5022537013282635,1.5340541858363863,1.4034653038433904,1.4419903986657865,1.375040253335934,1.4276469942210999,1.3313919350806942,1.3779793286703197,1.3947206808228754,1.4336082074122596
Mega Charizard X,Fire Spin,Dragon Claw,50,1.435714369102509,1.4940797019685963,1.4964289880590662,1.5166322921198045,1.4356268204800355,1.4969399038051996,1.4625675777028606,1.5002630465474227,1.206260212889019,1.2243094531127368,1.226656469986727,1.2372285389172681,1.2955704322752848,1.2341594668477964,1.4858938197763156,1.6031881384706115,1.5205921779844696,1.5431262700481263,1.5239133499611905,1.6063865961092072,1.514771240693512,1.5501466455520259,1.5020172029097423,1.5403116277192748,1.496666655590067,1.54266603308517,1.7096533504767915,1.6317189180924088,1.7735843037391754,1.617956238346274,1.4486891555413761,1.477353116295802,1.4829181123951551,1.5114343145363827,1.6545840546598718,1.7088986273560987,1.508848417467373,1.577080096951336,1.4659353648767397,1.5246844020630026,1.5212056849908386,1.5714946654614104
Mega Charizard X,Ember,Dragon Claw,50,1.4371034129838465,1.4887401391878352,1.5107526454319722,1.5291502689663472,1.4262909366243228,1.4881955110024094,1.4694971667011798,1.5099546360863165,1.2324385569868852,1.255361255625917,1.2654156728994272,1.267702215388719,1.3579345640716347,1.2914285174749773,1.5210054258750139,1.6438084037393852,1.5528367596401507,1.5683737268266071,1.5306074338995503,1.61316474523897,1.5126194366395105,1.5398255292740053,1.5191987048944235,1.5546927672478432,1.503049677968965,1.5462392913676841,1.6553101776741692,1.586518043491472,1.7190338960399068,1.5710576390476712,1.4668427282054919,1.485917111908049,1.5209406644735317,1.5541774770964638,1.6188745988130164,1.6699168778867617,1.4816391272146059,1.5490055021682512,1.4785994130804583,1.5377079315509166,1.5465194519258718,1.6008637857762806
Mega Charizard X,Air Slash,Dragon Claw,50,1.5371727912573483,1.6197581206965805,1.4465551749376646,1.4612027806777579,1.408037106022914,1.4669564632086032,1.4516506624867274,1.4885093730232593,1.3313854014285353,1.3727989916521148,1.363106368153866,1.3918126032093479,1.4460863209011978,1.3906878049676215,1.458105040214424,1.5683136439940535,1.4875899744876107,1.5151429793171485,1.5127016529501693,1.5984624036250756,1.4848597074044665,1.5237862821727841,1.450881494031927,1.474300351205653,1.466764636552768,1.4933510073666243,1.51678383406089,1.4497477954742815,1.5569829469153653,1.4320248620875105,1.4340673825977415,1.4586791051977541,1.6405811194687678,1.6849333994237783,1.4719202500376565,1.5080055194802608,1.481031397498616,1.541880635854828,1.4122177403073666,1.4677294424819156,1.4996375647515354,1.5431222883624711
Guzzlord,Dragon Tail,Dragon Claw,50,,,,,,,,,,,,,,,,,,,,,,,,,1.3937346111087638,,,,,,,,,,,,1.4762958006437639,,1.3985237934815002,,,
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,36.5,1.308401643157293,1.2844441410585863,1.3483369787731319,1.3349158381310107,1.3659019288953909,1.3879221090797982,1.308697140096992,1.273852729783058,1.304088617873918,1.25049077093625,1.3642375849593613,1.2505164404088258,1.4073426422536364,1.2864822472691393,1.3982790262826819,1.4457276379004604,1.4561127172984656,1.4038895108328484,1.445976479565712,1.4546332027108404,1.4256974916455156,1.4418714468033007,1.3139100139933857,1.3324591528594978,1.3494665061298166,1.3536421204472604,1.3742228593126047,1.2928222773842473,1.3861095836701307,1.2992487674020927,1.3221923534675,1.3278567822751588,1.4321244942629547,1.3584011599387549,1.3750605533967968,1.3907332805183592,1.3775477491947783,1.345702370815489,1.3760544717554601,1.3801711072966716,1.4299221896037044,1.4388531259556319
Shadow Dragonite,Dragon Tail,Dragon Claw,40,1.0925249434749833,1.0253349226084822,1.0371074558318194,1.0322483227618353,1.0129219205556408,1.0294473058222124,1.0405981319520539,1.0475676036466606,1.1551099014656006,0.9936960202417257,1.0678301662013943,0.9919748385845438,1.1553064547175307,0.9850965443707779,1.058775053257905,1.085443143765226,1.0814194887790876,1.0458145304964954,1.0680042326090136,1.0696933454854005,1.055935390890704,1.0492097988978495,1.033154558818452,1.0407246607986331,1.0429173400316167,1.0463757181526532,1.069910710765314,1.027483908093255,1.0686440195251237,1.0130617337524113,1.0135945503636439,1.0169866562158847,1.057515038454571,1.0496458233129022,1.0414665061992439,1.0480354165175958,1.2244125288029812,1.0943785867351066,1.0704374957811882,1.071916630424698,1.0677875932532348,1.073227807762392
Shadow Dragonite,Dragon Breath,Dragon Claw,40,1.1347782441683938,1.0620043657995342,1.0606971272726533,1.0586876675551176,1.0416339542341548,1.0634659454151345,1.0423486308984997,1.0523930325330535,1.1977619953189311,1.0196951442671136,1.113151165056114,1.0277545316546315,1.1934405818792502,1.0107704613771251,1.0896592811372787,1.1264926103431134,1.122347409466437,1.0930329185362264,1.1383270712452498,1.1614088361740276,1.094679260881039,1.103506545295863,1.0563172972223023,1.0722742754635484,1.077058057258319,1.0956273435249653,1.091008506983576,1.0472906844719758,1.1100555051477667,1.0437004163137673,1.0388420507427474,1.0478117362543007,1.1120046569512732,1.1155276843149955,1.07621382971036,1.0904614900739307,1.2758154958745633,1.133389162323167,1.0838374588559907,1.0860982487654869,1.1105363385305107,1.127389552339033
Shadow Dragonite,Dragon Breath,Draco Meteor,40,1.1537610451980411,1.045950297545567,1.0672093722343756,1.0295512642629259,1.071547682786739,1.0690865348226464,1.037074633708921,1.0201635214133051,,1.0463767383284985,1.205005828484227,1.0273052051502647,,1.02044809767282,1.148193944192589,1.0985793618161184,1.1025240266622425,1.0784579411208741,1.1320631138816053,1.1435924137978022,1.0946399000446245,1.0851265033783346,1.0771163003313464,1.043961240480266,1.0639359261965113,1.0880422463618247,1.180598340025738,1.0453895000693632,1.2032571359448416,1.0243902021750402,1.0335846903923047,1.0438540934307776,1.15638063687134,1.1139279366736934,1.0849393563867127,1.0796861032198708,1.399224571318777,1.1484188841247875,1.191544160594403,1.0684184765304614,1.1050280464462414,1.1015655149466883
Shadow Dragonite,Dragon Tail,Draco Meteor,40,1.1229181228805507,1.0129148912773784,1.042031387819024,1.0041465298562167,1.0353289802407133,1.0497088209475756,1.040953845036267,1.0324541136725243,1.305416704988786,1.0123080911463902,1.153628125547744,0.9948844109603739,1.3548099972467944,0.9895903574203002,1.1010699705858642,1.0621207860654243,1.0729107970038783,1.0286053413626677,1.05353034496602,1.0466927632134075,1.0410756764365354,1.0329480162020952,1.044863919082684,1.0275620781703818,1.0363499713880882,1.0488399450874937,1.1555080966417703,1.0294563343062533,1.1382310046276765,0.9944758017119505,1.0,1.0153862817732981,1.0910699633991703,1.0415190318068226,1.0471667732312107,1.0338067723750384,1.329494159569291,1.112630902193856,1.1826277733581925,1.0690090947562827,1.0586424102928582,1.0397063087968514
Shadow Dragonite,Dragon Breath,Outrage,40,1.1645367263110462,1.0072748031661045,1.045369595090886,1.0044604487190982,1.0437362080614048,1.0074254498675164,1.0155533081411172,1.0049630489531205,1.2525515097074087,0.9804315045841042,1.173802967042729,0.9923979928381428,1.2691005590808777,0.9838489419853306,1.0509188719364813,1.0530987766621043,1.121255404515524,1.035970961737707,1.0778066322404685,1.0906572860255244,1.0767965754427389,1.0483348133791126,1.0475487251953548,1.0196499075503702,1.0427704959684605,1.0387037488012876,1.0618857366530947,1.0015292941364433,1.0899079939328167,0.992615180679048,1.0292208325045575,0.9984103257926217,1.081718214396865,1.0528771022695746,1.0422223788726424,1.0395915068073207,1.282781003445086,1.0705749303568168,1.082989751254239,1.0388197560286239,1.0702094382615497,1.06158344568798
Shadow Dragonite,Dragon Tail,Outrage,40,1.122760340709569,1.0006760927791791,1.0162421120490674,0.99445215889471,1.0226956831878067,1.0074838783915845,1.0222120674519934,1.0157152917946366,1.2136922967123975,0.9895944560407943,1.139972726559926,0.9999402707970027,1.2722824143614337,0.9872711886624698,1.0354815587753168,1.0372838412879015,1.0975429030688117,1.0065968864745036,1.0327238432257553,1.0296172570534312,1.0458090813791756,1.0262445720231634,1.0277791619436751,1.0019605862227505,1.0259494135916312,1.016513469382459,1.0533661780457089,1.002320268610683,1.0580619732676806,0.9750962489090985,1.0108350713009846,0.9903371624420432,1.039599610218249,1.0104002428052232,1.0177824662835766,1.0141654041517452,1.246496641263718,1.0641780884107002,1.0810991071684506,1.0448477791096464,1.0379478372621136,1.0284392597401002
Shadow Dragonite,Dragon Tail,Dragon Pulse,40,1.2085471443185851,1.0820278154418632,1.11205974404705,1.0801459075647606,1.0942783337145712,1.0866320731820058,1.1100561942709486,1.1073435577063229,1.2822901468362,,1.1943922206079651,1.0617806296239907,1.3138550653044951,1.0662397624400086,1.1106663755755593,1.1291870765618206,1.172749994883142,1.0990235236985704,1.1196139185542464,1.1201004903977532,1.1300087839287474,1.1019680065722022,1.1131321653928747,1.0884254266224507,1.1043764330680381,1.1023456176515,1.1402775294362193,1.086553589247076,1.133702656485993,1.0546586927538377,1.082683277633029,1.079465657824859,1.1217111705467857,1.1003877240794953,1.097649179379305,1.0960020208493846,1.3201390464494027,1.160725753427661,1.1600173160066414,1.1336533106151927,1.1281403411216662,1.1237163926929958
Shadow Dragonite,Dragon Breath,Dragon Pulse,40,1.2546214754738447,1.1011550929408358,1.130600322681969,1.096428877133673,1.1228333477170283,1.09662078128321,1.1115583402949196,1.098865218185,1.323177175211278,1.0765173063398343,,,1.351713640207529,1.0664485264383907,1.1329621277706128,1.1617208402322572,1.200572017767366,1.133287374890774,1.189400867800149,1.1914827391206593,1.1696793372528111,1.138794768839095,1.130066385001306,1.116842357553463,1.131781944794544,1.1317702879921168,1.1512365940021911,1.0923160597327009,1.1709472808777448,1.0778173537064886,1.114498818707162,1.0957296871133064,1.1730545727520951,1.1497669687156784,1.1402506444066616,1.1263914456370023,1.3641959994647368,1.1763259764264884,1.169597216370253,1.1324979649531175,1.1656913088414511,1.156463473477768
Shadow Dragonite,Steel Wing,Outrage,40,,1.327706635889882,1.2345786896420272,1.2228445393554976,1.2292242607967787,1.2132532203417288,1.245061904265491,,1.2858609541113772,1.0214607938700468,1.201637318632275,1.028932120041363,1.3374286566123592,1.0388205459688304,1.2509558379311032,1.2684230607621074,1.3261176576710325,1.2510357807902808,1.2359419572829333,1.2701519829479733,1.2663742841908787,1.2720664486115494,1.2322264368682034,1.227082380422414,1.2316878095217296,1.2411372038875488,,,,,1.2006248149614234,1.2045793067954371,1.370455347979789,1.3677753228615006,1.3248365025118658,1.3802263319469772,,1.2590261060851462,1.2761240378412382,1.2655989079018382,1.2556975208149923,1.2803485033283961
Shadow Dragonite,Steel Wing,Dragon Claw,40,,,1.294406023174903,,1.2566041129547378,,,,1.2187288321181062,1.0476236852149972,1.1290442914845922,1.056144419131329,1.2329660828592652,1.0500632171447375,,,,,,,,,,,,,,,,,1.2567786646500334,,,,,,1.5540436324444888,,1.3299958050756426,,,
Shadow Dragonite,Steel Wing,Dragon Pulse,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Dragonite,Steel Wing,Draco Meteor,40,,,,,,,,,,1.0802125321719944,,1.0727013542022101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reshiram,Dragon Breath,Draco Meteor,45,1.1094868072438686,1.1125592008136767,1.157537907366574,1.111108974770204,1.1144250027161444,1.1303366650439626,1.2055500392223086,1.1841604138177624,1.069664355586218,1.06794862209236,1.1150266620302325,1.0800026519766133,1.1798344288326483,1.0677504630720296,1.2002217959677324,1.2347458921582386,1.1945690545243015,1.1653096132263903,1.2529611229935593,1.2477242913288642,1.176196493055221,1.180629286953187,1.1432647231398456,1.125212153156747,1.1715686158158967,1.1810376843324188,1.2940223662210815,1.1309756135074671,1.2943727698914411,1.1011689351513414,1.1767974261667358,1.1687082452861524,1.1897602004465881,1.1687245523921714,1.163930881078126,1.1679375546218835,1.14509029260168,1.1563401046493664,1.157496077083045,1.1635157164798264,1.1958555651355973,1.200532637601273
Garchomp,Dragon Tail,Outrage,32.5,1.209196880592951,1.2113928821429376,1.2577317310037028,1.2359879967631973,1.255551338200329,1.239338484092611,1.307436153487295,1.2902453906122124,1.3917954165966602,1.2096922108991717,1.3396586921302756,1.2185588190385421,,1.2284510111006954,1.2638196996199715,1.3138172904487986,1.3790441512758176,1.266763021566669,1.259730414880587,1.29459681988299,1.2871281370292884,1.2788206506452005,1.2625487037875969,1.253701606283277,1.2701558377345672,1.2818469776205743,1.3417167542852424,1.2664795408500389,1.2836227107170803,1.1921587732631722,1.237727913368795,1.239824240431003,1.2118382795221645,1.228305897102468,1.2665279042700437,1.2596358950895428,1.3386615272007072,1.277350422533347,1.340478184389888,1.2857188562312194,1.2973573783216432,1.3119243132201268
Latias,Dragon Breath,Outrage,35,1.4437172643416218,1.4178666820693333,1.4895226806378432,1.4504933037113235,1.4115428733260103,1.4155101477666312,,,,,,,,,1.418449731428642,1.4729837652306896,,1.4837283295947927,,,,,,,,,1.4758513559165196,1.3986170171033951,,,1.4803404512873433,,1.4768960247626053,1.471150528582709,1.4797072598713423,1.4729800284571113,,,,,,
Dialga,Dragon Breath,Draco Meteor,35,1.2475573714071482,1.2057328609690292,1.189533320231812,1.144424214939395,1.2349609252262919,1.2218763990936319,1.2016712996004182,1.185442509246606,1.159390898147985,1.1531218065638196,1.3962771439363022,1.1760510656450005,1.1722966235203691,1.125493982597864,1.2544888596470736,1.269360090765158,1.291068506622154,1.2249573707494892,1.2570156961871404,1.2835642068863227,1.299038608633206,1.266394317094188,1.2571219738426351,1.232417057009041,1.2645413731301842,1.2559364376189381,1.2493961354774747,1.2245812401876555,1.2559078755840953,1.230424809514915,1.1812141944199914,1.1708841348334669,1.3167578411058807,1.2168335523895994,1.340330034918204,1.3064362301642019,1.294199222833988,1.2757746737695923,1.2934228764235693,1.2689979062365053,1.2562463489298021,1.3033656240391092
Dialga,Metal Claw,Draco Meteor,35,1.5739192137951474,1.5540924948144723,1.4892868717393712,1.3975907189462975,1.4119649440027393,1.4098730240922703,1.486626749378646,1.4790997925911111,1.131159886820002,1.1274270114970606,1.36290573233107,1.1523075128694713,1.1650281724235385,1.1236956232488717,1.5207704804578166,1.5276463662234085,1.502069866174446,1.4484533627072997,1.4480783189896662,1.482568789068171,1.4897859216980194,1.467534653397874,1.4327165560948387,1.4295479346569644,1.443169897051446,1.4347724104268358,1.6415106089426306,1.5634108474624162,1.6426216818077888,1.5740235022848548,1.3942499693106751,1.3927621770974266,1.8922116403205116,1.6458001640992928,1.7814689491202873,1.6795224575821077,1.4888064702338346,1.4882608656085634,1.5178688058212355,1.4628936286157335,1.4708768509484833,1.5210457321419226
Mega Latias,Dragon Breath,Outrage,30,1.2168972622932575,1.2042461399828126,1.1950642914335463,1.1501217128877375,1.2110088053349823,1.199632335998646,1.2404911491546802,1.2087291924827133,1.2587903861149101,1.0996335626571427,1.2154855886464995,1.0991825135482123,1.1872224384457555,1.1419425466879192,1.230250138710299,1.259176527143748,1.2881375988334953,1.2263963211566544,1.2591280175551598,1.2776363530591293,1.3326101709811233,1.279240519149458,1.2342844511629376,1.2234093557731573,1.2434469913766562,1.2257301813128585,1.2629513177455383,1.1953824685728176,1.316615637166973,1.1889738240001546,1.2314510109752903,1.1947182194808614,1.1952417818993262,1.1863339020100143,1.2492445474524145,1.2373121783328824,1.2444185660277771,1.2524968960722467,1.2388214204365247,1.2400636235331248,1.2679553552479734,1.2637451485260827
Shadow Salamence,Dragon Tail,Outrage,40,1.174453603400672,0.9686095557063081,1.0993979801595144,0.9695387777611596,1.072187603601007,0.985551396852289,1.063538724895246,1.0028384875802312,1.2121226474909508,0.9650582457270217,1.2100239503244166,0.9504826988390599,1.2140670905162816,0.9556537536711097,1.0,0.9956080487510863,1.0258889126608883,0.975529120928661,1.0,0.9971762166785549,1.0383677096387522,0.9919764403657478,1.0620517978462702,0.9721265983737938,1.012791098971158,0.9803070190776493,1.0025939133141475,0.9440968720286166,1.0324946743075392,0.9437459644696206,1.0309664806926402,0.9750268982906538,1.0497217918055441,0.9904694907961461,1.0,0.9853141705252643,1.1828246538833584,1.0295207417658274,1.0323776652487349,1.005437990480203,1.0,0.9943287761469642
