Attacker,Fast Move,Charged Move,Level,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Sceptile,Fury Cutter,Dragon Claw,30,1.4424274269561586,1.2833775437786898,1.4997341488075244,1.2895675037404968,,1.4348956260440398,1.5528654455470299,1.4385086418798028,1.45365225549656,1.2891853669757996,,1.2753002044041926,,1.303289718610575,1.343641248827688,1.3654439259408486,1.3896832331811322,1.369154214181104,1.4140384676865247,1.4623997467562313,1.4487316293576853,1.429132987694275,1.3519062788406906,1.2312576219588571,1.2986113056109252,1.2751356659280682,1.3470885471074447,1.2909708921092882,1.5416961364375585,1.35823861074703,,1.4342654354175162,1.3162247756127727,1.3279816117666468,,1.4666225962059367,1.4134632905088167,1.3117097859091298,1.268513995050544,1.2687161897881176,1.415314525970543,1.4257827869259416
Mega Sceptile,Bullet Seed,Dragon Claw,30,1.7940108131002126,1.503191711557266,1.8945542749629742,1.515388494929138,,1.6435928179836965,1.709986759227856,1.6297468309648218,1.7967384177103203,1.4659029962197574,,1.4659603272117778,,1.501335736243255,1.5789017024790108,1.616660411018068,1.5557513261650473,1.5702161021829026,1.5176493925975463,1.5656957416578137,1.5307127906739022,1.5303093714744147,1.8743465281946092,1.5693399551020106,1.547579454426834,1.5518917328849524,1.456503442928321,1.3928156191306604,1.7556572399629014,1.570383977193316,,1.6603453878375745,1.4907155846193472,1.516663096361853,,1.6964901451309142,1.8205806439003247,1.5977861337417993,1.5648669691162946,1.6125165939926587,1.5577165047811665,1.5815699782774473
Shadow Salamence,Dragon Tail,Outrage,35,1.2344838822835908,1.0182573599010298,1.2455246687906416,0.9983839094582571,1.1533761604360133,1.0259501966656082,1.1308905751834815,1.0408255411522915,1.287437453522261,1.0179068200061216,1.2540980749169275,0.9816320211949621,1.2997230053929347,1.011580609346429,1.0449944770555866,1.034321526755295,1.0693185786973405,1.0208175035851712,1.0546790612161256,1.051033860348011,1.0761464166716994,1.0411518719661312,1.2151149883546353,1.0257560377392352,1.0753212464423676,1.0437383270441982,1.0363490546106553,0.9853474834331479,1.1557123989205307,1.0118559051986487,1.1916395057935538,1.0437046183659362,1.1057512650085999,1.0422537307235689,1.0479715573940065,1.0316927877311235,1.2262682153454716,1.072139717390041,1.0797554060122727,1.0764708819543354,1.0382685171425057,1.0527819156339606
Shadow Salamence,Dragon Tail,Draco Meteor,35,1.2625551912602848,1.0341268816416034,1.2786208313081746,1.0102674854932694,1.1359303862678447,1.0818225565942539,1.1315697366987316,1.0824106460147729,1.3956140520431726,1.0301455596222433,1.28076417759512,0.9836154108294041,1.4511332658654121,1.0386922406812564,1.0881133133609238,1.0851730707003042,1.035624833344643,1.0173464148962712,1.0984402343133777,1.0542994576118043,1.098018528496893,1.0679580115046436,1.2852069934316444,1.0546702207795722,1.183394362759797,1.0700689338989149,1.1307222591930368,1.0375779006902188,1.1953232932826232,1.0446554079730004,1.2236664257472605,1.0662368848267383,1.1495982212900644,1.0675552806277955,1.1349209725656075,1.060761071619776,1.291318614486899,1.0958516209814142,1.1227934497535288,1.1121381569518156,1.08398157378187,1.0693699550856306
Shadow Salamence,Bite,Outrage,35,1.6822239547389988,1.2235048431479536,1.7003610251798795,1.201639994963987,1.4022950232694669,1.1913735255665292,1.3162734608604756,1.1896227629958391,1.7270023209928675,1.1763125122267915,1.756566628577535,1.1808119175180973,1.6298263279322116,1.1531582824422815,1.1335587123211337,1.1115005986629365,1.2858577882728637,1.255090048329696,1.1375402441139952,1.1423349997877406,1.1683494109621457,1.1204134344761918,1.3745083617335327,1.1105925676455537,1.1646810279527484,1.1265948259515444,1.280025204170161,1.205437984580206,1.4364021545908032,1.2496133539222536,1.5121493621543842,1.2244956611530915,1.317222286932721,1.229287608445712,1.2625176928247022,1.2706738826886672,1.37102407175342,1.1512301543556438,1.1471128533283688,1.1524068725251562,1.2627873500589306,1.2928426317427306
Shadow Salamence,Fire Fang,Outrage,35,1.7527993335525798,1.2898454402558446,1.929747805572189,1.2953045650790964,1.5223374872885842,1.2983758713656384,1.4624952652564875,1.3409130896848866,1.7144431093360328,1.1824717352687473,1.6873282649665637,1.1804587550305563,1.5354034257106304,1.1661545364492152,1.3269799713276431,1.3236599402490423,1.3191591390294704,1.3309045244914897,1.3271671550379105,1.3756134426739859,1.3400148255233992,1.3477569258035307,1.656958901386667,1.2978528292264901,1.3227514885235616,1.3218014327528826,1.3991747272533341,1.3500351624926998,1.5808470709094011,1.4067984698395932,1.607524366011064,1.319173705517711,1.403763076777231,1.3223344979998333,1.3786217166836028,1.4208172075042076,1.730208233583309,1.3608455878931203,1.306005615219099,1.368439805609486,1.294736854506357,1.3490490766105818
Shadow Salamence,Splash,Outrage,35,2.5721409908852886,1.521762698571666,3.6516677817749947,1.5097197913641254,1.6715063471196163,1.5036005321129255,1.5436517408053994,1.494406846899032,2.308233301096731,1.5661871675666788,2.8749278091132866,1.5153034362970674,2.0058585410744616,1.5116013756875555,1.4191474836046096,1.4502482148861253,1.4995899772656254,1.5285722298769695,1.4281579608006738,1.5139549790020455,1.4576204811703635,1.5550753859888111,2.066864352885843,1.4965451978345552,1.513238989187498,1.4983671246102155,1.4442152827310402,1.418721886851873,1.6586205470287225,1.4965528922173237,1.7514661619831804,1.5606468981462336,1.575685195385084,1.5058080530644053,1.4517205124968855,1.4647552917499584,2.1436062190654277,1.584271767773464,1.5065078657143374,1.5694894921922316,1.4448080203966813,1.485141753668237
Shadow Salamence,Bite,Draco Meteor,35,2.0260945711156872,1.4420929491455572,2.0472948439473835,1.37511945278285,1.5373387036185189,1.4572025305248542,1.4341437862004456,1.3654067728412755,2.4265325148224295,1.3910292043223527,2.1274763999059103,1.3550292966310775,2.2288814565146735,1.3707047922401427,1.2150628758548534,1.2335718090791272,1.4185420071181727,1.421934862006811,1.252279429761279,1.2018240679062264,1.2612680675051267,1.2264789628666344,1.545317581353351,1.2278118383807208,1.3616536139489623,1.2184240562222877,1.6728317552504137,1.4595287649831372,1.8577003052108862,1.44576196851763,1.7275725367631853,1.435040316254314,1.5712602833046054,1.3928174591947229,1.5914280890104198,1.5117014768174133,1.5317668882521893,1.2579246072856625,1.255085829508534,1.2708008606838188,1.5230358189025426,1.488951320915333
Shadow Salamence,Fire Fang,Draco Meteor,35,2.2987759621131105,1.5434985053516703,2.5704436331689853,1.5531848898908327,1.829140695718379,1.6500117443567737,1.7400042076126656,1.6969081122489171,2.2304103698911124,1.3579604192868198,1.971430381921556,1.2945397951787891,2.1968212379484986,1.3390897901255672,1.6230336201447224,1.6720036687315285,1.524959380724932,1.5432870272303876,1.7087726534464895,1.6368258472162316,1.6645937409455391,1.6066932456099743,2.2887386813313144,1.5653010855372922,1.7314688356969477,1.6078546172040584,2.1458761237180672,1.7726492469585333,2.52002247015519,1.8057659980098093,2.0529342605119965,1.636141061922852,1.8444116584721126,1.5798277288121394,1.9583657972656796,1.8223364001338387,,1.6926494151089464,1.6531737638766155,1.6567920941857606,1.6196850053124072,1.5965409018318002
Shadow Salamence,Splash,Draco Meteor,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor (Alola),Dragon Tail,Draco Meteor,40,,1.332941843225086,1.4229671673777293,1.3480796780797186,,,,,,,,,,,,,1.4195955079663458,1.4016618901833575,,,,,,,,,,,,,,,1.3648254120946248,1.3575239856506816,,,,,,,,1.4410132635985589
Exeggutor (Alola),Dragon Tail,Dragon Pulse,40,,1.4266791859214867,1.515690766625729,1.4444558656516007,,,,,,,,,,,,,1.595980351427865,1.4920272403964538,,,,,,,,,,,,,,,1.4454856710746151,1.4560335334296275,,,,,,,,1.5312871576072442
Exeggutor (Alola),Bullet Seed,Dragon Pulse,40,,1.8827275220180046,1.9295365851358863,1.8932647672665082,,,,,,,,,,,,,2.0475370631096745,1.9925848655957612,,,,,,,,,,,,,,,1.8329349963237493,1.9090349410973193,,,,,,,,1.9753311776276055
Exeggutor (Alola),Bullet Seed,Draco Meteor,40,,1.931608948385144,2.0671615818774534,1.933324687315182,,,,,,,,,,,,,2.1499737048639487,2.019256769909818,,,,,,,,,,,,,,,1.9207899400445998,1.8915426215394835,,,,,,,,2.028822143506182
Latios,Dragon Breath,Dragon Claw,50,1.1354591290393572,1.1536929872987645,1.173436751542464,1.163594526275545,1.1427197695927571,1.1707820512713092,1.1965692626347484,1.2135778528628038,1.1686894727350778,1.0917304619321697,1.167857033482888,1.1009210677496404,1.1260076671532613,1.1012324084906704,1.1708235261331843,1.2149273416807163,1.211478585733889,1.195720807220845,1.2453436321927756,,1.2277547239465922,1.222267823350446,1.1625335270538033,1.1778874442043232,1.1643792169867355,1.18754787662377,1.1921428699898584,1.1468684990908653,1.2050018235364206,1.1373127453521963,1.189643353939492,1.1928393106947865,1.191196069259749,1.2125659970538554,1.1857890099863464,1.196820275572461,1.15830344365867,1.178519072273585,1.15547218789809,1.1778740394594125,1.2099605991567133,1.2333103490873314
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,50,,,,,,,,,1.2301474606825678,,,,,,1.2946097268573644,1.3646473479826162,1.3280190658426694,,1.348925312479855,1.4048324382626596,1.3306578147474597,1.3582585732014036,1.3085729688888799,1.3267972564182051,1.318486892189399,1.3683391329881336,1.2923630131959172,,1.2811862969892729,,1.260094884171595,,,,,,1.3881010001441572,1.3864434779047707,1.3299401090557041,1.3464531929970345,1.334782187944261,
Shadow Latios,Dragon Breath,Dragon Claw,45,1.0594380477099639,1.030064513280747,1.026892659900341,1.0300217728059375,1.0132117170975772,1.0382014180926773,1.008813179639117,1.0239823544423097,1.1123716226707496,0.9420591329593093,1.0239130208142155,0.9476604939974324,1.1255593227172245,0.9500179945993611,1.0594399025371706,1.1035086489830577,1.071184546753193,1.04687752970423,1.0594810494312759,1.0814744216980434,1.0898661355577806,1.0858008661263931,1.0139670588355327,1.0364698917195612,1.0376970968812673,1.0590120612038039,1.0652353041346452,1.0127899089532668,1.1087383221210667,1.013826169881136,1.0313389539108704,1.0304884493258524,1.0206254916824145,1.0232135646106977,1.051267731852179,1.0651131328056611,1.0643378349506714,1.0318779791863626,1.0549065666131487,1.0533407902916936,1.1045559633852042,1.0936017009127443
Shadow Latios,Zen Headbutt,Dragon Claw,45,1.2393990390632459,1.2157768814300376,1.2129250360646184,1.24811288174743,1.0386315883258022,1.0609598309482933,1.0695998333936332,1.0905296167346001,1.415702949447301,1.1503312836575297,1.2355824020826596,1.163313758806528,1.3953967538356764,1.1677717623290231,1.3534216641453798,1.4488979081075959,1.2832603443978532,1.2760938831749165,1.2677219538553375,1.3094795557542467,1.2639199304241406,1.2777206621362147,1.329864259329387,1.3957105139146326,1.3365448615206155,1.4021171179510694,1.2486814628859477,1.1943864860197466,1.306495563533136,1.1944573650744066,1.050754563519025,1.0541758816698408,1.231587699240462,1.2538003536990134,1.2183859084672333,1.255075363052827,1.4271470979438896,1.4093507284276765,1.376125363203085,1.3920129071750464,1.2949656759430008,1.2940481686290795
Shadow Latios,Splash,Dragon Claw,45,1.5342307018003125,1.5171555611383991,1.466273041746217,1.524292430025951,1.4357228979765913,1.5111757958442573,1.4637637283976592,1.534735682206374,1.9643286740008654,1.4431337099627668,1.5376085469665928,1.4765727948032552,1.835518819373554,1.4719526668760872,1.4945373873214838,1.6037579089167027,1.5726520739453624,1.589585708518999,1.5365618070452292,1.6269753878712376,1.5211321868481227,1.5671103435813287,1.4679242099785839,1.5396762272498163,1.4620738548628935,1.548386411079933,1.5348609674988547,1.485993494350179,1.632073248197396,1.4826614091387755,1.4410778747363509,1.4954103868430433,1.509763558860241,1.5575943139190813,1.50269052993078,1.5555757903871146,1.57942585557858,1.5529340157596596,1.5204029593172474,1.5223636318243419,1.568980877859069,1.576971754622501
Mega Charizard X,Dragon Breath,Dragon Claw,45,1.1430677472799653,1.1609759981965422,1.1744315674442107,1.1721543153398173,1.1561455942742282,1.181584122411668,1.1988612794444442,1.21581939718873,1.1274602003993712,1.1007512586824824,1.1233579084614125,1.1119879659773773,1.2297358017455657,1.1079377065374818,1.2441933559215819,1.2947893462293953,1.250357209812553,1.2108929556938088,1.2627553991183638,1.3071111604927141,1.212311117920601,1.2216502694513616,1.1751023404691614,1.1853342010611143,1.1979451114403499,1.2180258788398286,1.225933982889641,1.165137314080543,1.232664478557144,1.1500689964994542,1.1979213316081665,1.2078275831057073,1.2258124403137507,1.223158779110079,1.199714279068085,1.2125313889262088,1.182965656898248,1.1987647680880447,1.1955227119245886,1.2071109053546776,1.215557568804213,1.2435560662168443
Mega Charizard X,Wing Attack,Dragon Claw,45,1.462409939899522,1.5290370429204718,1.3563762966485187,1.3909159220645584,1.370310657089081,1.4201237109486173,1.4040064538740462,1.4291218684064422,1.3223789422840209,1.3138716442302605,1.316625591074763,1.3355246167937234,1.4724841346022677,1.3218574342313758,1.4273709830290724,1.512752594864701,1.4666469087170062,1.4606166759900385,1.4554090238008262,1.5286351513042422,1.44391685910395,1.4698242791268425,1.3799502137541837,1.4055632294522649,1.4263952309014765,1.4695453377616523,1.4721871120559027,1.4176344221991084,1.494348596963832,1.4019646390927565,1.3921338172728055,1.412123826010237,1.5680580322121105,1.5987637253111584,1.4480442789610632,1.4720384159505586,1.4104767877083015,1.4563018368344343,1.370779223381109,1.420461799218776,1.4814085275535782,1.518712850807784
Mega Charizard X,Fire Spin,Dragon Claw,45,1.4744710741438047,1.5473379904648588,1.5174163035554733,1.5567040442104247,1.4889988194198316,1.547335455417109,1.500309674631728,1.5469403533168207,1.292039293961064,1.2809110815673828,1.2773410969713386,1.2922461937836889,1.4637382901151117,1.2975260018050787,1.5463033039367615,1.6500467226987776,1.5977769712456262,1.6113647320639415,1.5676459073511446,1.6544212053921215,1.5716533478212544,1.6072308441383727,1.530589681697615,1.5728417176892482,1.5379635418471556,1.5889797222801105,1.7455223495128227,1.6711903379271609,1.8123291189380497,1.673359944351948,1.516607881018636,1.5480326993936313,1.5851890650933318,1.6119574407418198,1.6988910535932829,1.7553515404952196,1.5530280694758618,1.610878524790988,1.5300981969839078,1.5714681033178122,1.5616152544931623,1.6159699388277968
Mega Charizard X,Ember,Dragon Claw,45,1.473569855010165,1.5430485075412483,1.5274355010435305,1.5664536005550707,1.5242605454129559,1.5931767102562449,1.5139252167604496,1.5554901797999687,1.3296820407574588,1.3250730846180003,1.3176560827242945,1.3336390744536462,1.5047542756795793,1.3312129460556492,1.588280081868496,1.6968307777676885,1.6044050899604956,1.6165701395025092,1.5759101865104717,1.661398773507725,1.5628707702668947,1.590387872256579,1.544567398863603,1.5865799412589345,1.5415644388829364,1.59086026516219,1.6948779893817638,1.6315409638656226,1.7560788069643793,1.6229431877831917,1.5048562656441706,1.526566714653611,1.586904097448377,1.6127367837787883,1.6645596104133533,1.7151095020341607,1.5859289539220556,1.6455340617161978,1.537054035002498,1.592626919578584,1.590820954967652,1.6504296460757109
Mega Charizard X,Air Slash,Dragon Claw,45,1.58176998560996,1.6845856912931414,1.4636903288401772,1.4930279692832795,1.4559510652732077,1.5120914367300358,1.4930858593553578,1.534317161540722,1.410329055487384,1.4147244875049358,1.3971920324283962,1.4290217247057142,1.6215934728928,1.4250325527602639,1.534370383458672,1.6542869225095218,1.5765892971830808,1.5835288191055195,1.5586553342875396,1.6379042296216593,1.532647640147489,1.5756222125771855,1.5122005999820174,1.5485327532772315,1.4958854915903026,1.5356833447026714,1.5929222914672803,1.523572146536288,1.5871914580401452,1.4776177006212101,1.4694780714106126,1.5005677032765696,1.7114430963838996,1.753820838552531,1.50981993230756,1.5416304437138875,1.5192944554532852,1.5741431546164502,1.5124695282359093,1.5571710243845003,1.5444101242209578,1.5888093257357976
Shadow Latias,Dragon Breath,Outrage,32.5,1.4286709118142444,1.2438855075470092,1.293972767076456,1.277576376292951,1.289391005526411,1.2330106637642326,1.259402316168129,1.2437396431170862,,1.1828123330598213,1.4034694087655974,1.190678313064862,,1.169108743973489,1.3176667537246871,1.3068214437662273,1.3584962376895642,1.271970471663207,1.3116994742780954,1.3011935265609842,1.3564794633954795,1.306537729182876,1.2656909526898574,1.2573502169790118,1.2757391296229572,1.2784992600040286,1.311821746778049,1.2396555964475084,1.3810592331324896,1.2198720485278063,1.2697367807784388,1.2127962996879864,1.2467603617533272,1.2169930219219165,1.2955246340991622,1.2899587188798436,1.5362621026295127,1.2886342314575607,1.321029300668198,1.2981483153880367,1.3250173223347799,1.295424698880852
Mega Altaria,Dragon Breath,Dragon Pulse,40,1.5187703941102948,,,,,,,,,,,,1.4751459335072765,,,,,,,,,,,,,,1.5034318061817953,,,,,,,,,,,,,,,
Mega Altaria,Peck,Dragon Pulse,40,1.9837377816316164,,,,,,,,,,,,1.780357219298297,,,,,,,,,,,,,,1.8371870126079468,,,,,,,,,,,,,,,
Rayquaza,Dragon Tail,Outrage,45,1.0832880336217237,1.0694699859821117,1.0793202066687977,1.0576964105097373,1.0626485605272868,1.070895864003421,1.0988259251205326,1.0929703151039614,1.2382091247072207,1.0552752937138201,1.1805403125422858,1.0520957022557873,,1.046225875347619,1.07882023560933,1.1210411506927496,1.1739103267431605,1.074332589084093,1.1040504328256753,1.1095581703347357,1.0898350581212686,1.081180843891633,1.0900849833324664,1.0782089158482904,1.0847627289513355,1.084508811092128,1.1037273244256356,1.0369865235244016,1.1287167134157534,1.036423630455715,1.0535895350386753,1.0515441489735324,1.0962130395370533,1.0868822346899143,1.081174763758833,1.0808178779365578,1.2210197956443876,1.1280305824008796,1.1254246937104182,1.0836847956646487,1.1131457713391222,1.1126320170602908
Exeggutor (Alola),Dragon Tail,Draco Meteor,30,,,,1.4933942541755554,,,,,,,,,,,,,1.5446444755845383,1.533655588501813,,,,,,,,,,,,,,,1.4931632031035562,1.471730626564611,,,,,,,,1.5544922700395896
Exeggutor (Alola),Dragon Tail,Dragon Pulse,30,,,,1.5937904242175278,,,,,,,,,,,,,1.7443953857010102,1.6568469629618312,,,,,,,,,,,,,,,1.5863157320368044,1.574336042723137,,,,,,,,1.6866400157125403
Exeggutor (Alola),Bullet Seed,Dragon Pulse,30,,,,2.1387317086337485,,,,,,,,,,,,,2.163684433692074,2.1983384325566018,,,,,,,,,,,,,,,1.9910069655850786,2.0554470787129118,,,,,,,,2.204555020902088
Exeggutor (Alola),Bullet Seed,Draco Meteor,30,,,,2.240021844907443,,,,,,,,,,,,,2.2892350781077684,2.193768700278386,,,,,,,,,,,,,,,2.1644879539875284,2.0910021704758694,,,,,,,,2.2994958893430573
Mega Altaria,Dragon Breath,Dragon Pulse,36.5,1.5356914231396144,,,,,,,,,,,,,,,,1.6423933194299138,,,,,,,,,,1.5357129133396483,1.5008829325213304,,,,,,,,,,,,,,
Mega Altaria,Peck,Dragon Pulse,36.5,2.025228731893731,,,,,,,,,,,,,,,,1.9983792734600596,,,,,,,,,,1.8827041166794563,1.8729197904889578,,,,,,,,,,,,,,
Mega Charizard Y,Dragon Breath,Dragon Claw,50,1.1714846476418241,1.1601627190451136,1.1581387532466478,1.1553649713507441,1.1313633536408763,1.1584240274178361,1.1786107991303638,1.1916661910303321,1.1919118273352933,1.1184341465269325,1.1102560905868295,1.108807440217041,1.0972517586658057,1.0744640444850362,1.2333998592435156,1.2861197842249112,1.18631692059016,1.205058103201699,,,1.1784681420439764,1.1934173289665913,1.183067256160401,1.1851924088273202,1.1851549091463016,1.209360338505103,1.1916788463275574,1.1700734897850915,1.1596923275409552,1.1454797631737423,1.1644210614764618,1.1891714276148782,1.2867703120642375,1.2649228024161472,1.1852688500059745,1.1997755732130257,1.191155155436305,1.184535614559081,1.1749072631986774,1.2014091062222039,1.2287608484434978,1.3065330910029722
Mega Charizard Y,Wing Attack,Dragon Claw,50,1.4019360356686608,1.4109190666167541,1.2651224126420932,1.2733002948212078,1.2379386573113997,1.2827503188851213,1.2880388704163792,1.3091672417542348,1.319581728495025,1.241824697173835,1.2063324140827996,1.216820590632767,1.2009902040216265,1.1824113666783813,1.3309401452399434,1.4007528908736793,1.295041782773048,1.3113325928834367,,,1.287073501838445,1.3077132669987703,1.3003614084992805,1.314148915460218,1.2943351579657603,1.3337489695465772,1.30279613083824,1.2987934633284284,1.2631978448456314,1.2733483610714824,1.2582914678425108,1.2983119230160747,1.5459992438057661,1.5187716583692292,1.2984113848965388,1.3228117614354045,1.31920455892168,1.3174982776639437,1.2793588454187326,1.3144380912693483,1.3319173927012424,1.3999794841621604
Mega Charizard Y,Fire Spin,Dragon Claw,50,1.4321871346507946,1.4489924397614946,1.4151938393515597,1.4393452554713488,1.4192662751508682,1.4960013607254747,1.4817983487478814,1.5348412498873802,1.3054236082804667,1.2236050518500927,1.185483609980902,1.2023758430777005,1.198315024294302,1.1932212174891634,1.4805481528916817,1.5919264487944573,1.4664300805734607,1.5055976386220211,,,1.445911689792431,1.4922985530016573,1.502768114174222,1.5290727826413875,1.446795795554876,1.5057350149299376,1.6208016867976551,1.6552695968961015,1.568604117086335,1.625435253588301,1.4174953440847722,1.4742031771164639,1.5806327008810874,1.556054275492068,1.6251040474743939,1.686015303016406,1.5112830333300724,1.5332287539428622,1.4356342025960445,1.4713820164425007,1.49301286775565,1.5869204885899797
Mega Charizard Y,Ember,Dragon Claw,50,1.4703553300372239,1.484699641118207,1.4723382573731647,1.4960199506714777,1.4160935951221678,1.4842044406236883,1.4947660506036178,1.543239210799036,1.3872330311249244,1.2833897349964387,1.24327965017366,1.2673307540453504,1.2575066268377704,1.2449159681462283,1.5144705710227468,1.6291756308032705,1.4963772848099661,1.5361366008725172,,,1.4761755319411425,1.5205105793703628,1.5106174735220197,1.5402516859975681,1.4911126903177385,1.551986569675741,1.6347901314962499,1.665303720320484,1.5295772676259085,1.566891381636787,1.431503461821495,1.4866251655090061,1.6285187558583922,1.6003705461978457,1.5953625009143264,1.6459246867431379,1.5444231885688593,1.5632872151268573,1.4888573439070494,1.5332519417321615,1.5212319567077115,1.613395445214719
Mega Charizard Y,Air Slash,Dragon Claw,50,1.5046034414050289,1.532031539508936,1.3333651011334542,1.3512246440727664,1.3083497209702823,1.3609705838076462,1.3194641709045472,1.355175882454774,1.3739849240606052,1.291166717892631,1.249905139165785,1.2692751568000178,1.2635209299520902,1.259615931010102,1.3650274291309954,1.4558018959913677,1.3420667311029932,1.368078039829461,,,1.3348741827926642,1.3715682931660893,1.3701521563214512,1.3848051288250538,1.3500460232713027,1.3901522805637272,1.3615756844787392,1.3620382051492599,1.3212638435800246,1.3359261028973697,1.3062897689340005,1.351377802985694,1.6588753797046727,1.646589519912196,1.3519313448970236,1.3888448371004172,1.3923891567388895,1.3971038384050642,1.3521310739715267,1.3843017053708284,1.355386989458158,1.4262804011814028
Giratina,Shadow Claw,Dragon Claw,30,,,,,,,,,,,,,,,1.7387778142910162,1.8582663815004226,,,,,,,,,,,,,,,,,,,,,1.7920601600454025,,,,,
Shadow Gyarados,Dragon Tail or Dragon Breath,Outrage,35,,,1.3692157722598146,1.3441847639905113,1.3593500580794053,1.3507375483983408,1.4067456002852874,1.3726173567796103,,,1.3766715217458827,1.2873628427451718,1.2710094984722982,1.2619953424311727,,,1.427561874050445,1.360534095413616,1.379728444275103,1.4012902224949857,1.4131674099794171,,,,,1.3985589449422848,1.4288769009151165,1.3357367507892834,1.4248072002717995,1.3229074919571175,1.3351330078623753,1.3264663425086207,,,1.4078160383161817,1.3978479121560266,,,,1.3990917264440816,1.388866076683456,1.3911149423797802
Haxorus,Dragon Tail,Dragon Claw,32.5,1.3852678149708109,1.2318057657122876,1.4625494611706586,1.2525335822006156,1.30505359253031,1.262013667023885,1.344866806888975,1.2967386992344694,1.3606182396861104,1.1884108495105778,1.44297826747519,1.1951349260976,1.383533814930947,1.188756483109782,1.3180197865843182,1.2995499035950981,1.276506091553319,1.266710831655528,1.2825607179712406,1.287630834315579,1.3071992262247036,1.272637121992039,1.3004974616320601,1.248842500757698,1.3290635679193614,1.2954936120458969,1.2885480192597374,1.23397012924076,1.2839208971638172,1.2147817955513762,1.31370627919999,1.2619977536070626,1.2572069021647068,1.2530253280975394,1.2929181735547695,1.2817102782320786,1.443662444470045,1.3138829231336568,1.307139354400833,1.2944604806378504,1.309411989832627,1.317409245187151
Haxorus,Counter,Dragon Claw,32.5,1.7711318885108631,1.5179487542880936,1.8958342153442727,1.5597461731201518,1.7851617244011426,1.7557376000679246,1.7725988187551978,1.7271012709160096,1.4432566416569257,1.2449026094230142,1.534552257948491,1.2535059413181215,1.47464192253338,1.251665984785368,1.820298663457405,1.8415907602108903,1.5701831132566826,1.6038233409705593,1.8453254460198223,1.9310828424726278,1.880115586914719,1.9610158526649872,1.7883461450412936,1.763034432146472,1.7906707814651777,1.7805524659754552,1.5633083434230006,1.5140396716684394,1.5783611942593625,1.493588135983486,1.7764976882896757,1.7704403048319768,1.5512260047039836,1.584856438839576,1.5710735682753534,1.5858248489293911,2.1521434423101704,1.8316383671323475,1.7301415332340646,1.7802137038099834,1.6308998811966373,1.655091319040465
Hydreigon,Dragon Breath,Dragon Pulse,40,1.3441177659614763,1.3240482306704986,1.3867254842401824,1.3547054829127751,1.3424175164916745,1.3396521045021523,1.3364958039441182,1.3357009802511077,,,,,,,1.3761636545586935,1.4271859774177236,,1.3842063564983138,1.3595730284904481,1.4041139534067104,1.3622959375621988,1.3723136816622445,1.3722063445488422,1.3642538635764674,1.3618138026773405,1.36611078487888,1.398919018251781,1.318313168277114,,1.3008040567848436,,,,1.3818215021515525,1.3940797816265627,1.3762532684682662,1.4454317039720554,1.391208805868373,1.3691274526514479,1.373401898719546,1.3935698416173956,1.3930164188973926
Hydreigon,Bite,Dragon Pulse,40,1.5555969567362304,1.565502771230993,1.5573622477625886,1.537994997634516,1.5258406292182283,1.545491605368386,1.4819711108710654,1.4970433502030929,,,,,,,1.3761636545586935,1.4271859774177236,,1.60526739802265,1.3595730284904481,1.4041139534067104,1.3622959375621988,1.3723136816622445,1.3722063445488422,1.3642538635764674,1.3618138026773405,1.36611078487888,1.6410053031060978,1.545097243317686,,1.5348241112574592,,,,1.6408234470184524,1.6253048233892797,1.6290390785110775,1.4454317039720554,1.391208805868373,1.3691274526514479,1.373401898719546,1.653240433670142,1.6778695371111985
Shadow Flygon,Dragon Tail,Dragon Claw,40,,1.2912732287090547,,1.317734881284871,,1.3283191493343143,1.3650280169455469,1.330743355910729,,,,,,,,,1.3701587933708885,1.339327322499048,1.3478425800676401,,,,,1.3164846384762632,,,,1.3403052446046477,1.3492982001333234,1.2769797849112625,1.3775545826875446,1.306359156348817,1.2672753454591417,1.2908253944574415,1.3694023873936783,1.3573768830149502,,,,,1.3794017958679186,1.3797929936814923
Mega Ampharos,Charge Beam,Dragon Pulse,35,,,,,,,,,,,,,,,,,,,,,,,1.527450484539545,,,,1.5098950215351168,1.4235571617082383,,,,,,,,,1.5998786608819064,,,,,
Mega Ampharos,Volt Switch,Dragon Pulse,35,,,,,,,,,,,,,,,,,,,,,,,1.5180178620864873,,,,1.4814236979419384,1.4246365603051154,,,,,,,,,1.6613836640845934,,,,,
