Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Hydreigon,Bite,Dragon Pulse,30,1.7791048614491582,1.735124957520872,1.8136978460556272,1.7590044267675424,1.7660494843509107,1.8197149086699895,1.7377575513884318,1.7941274424989744,1.818901248596467,1.8809947297967111,2.002590505665086,1.670627027946675,1.903253002593629,1.6900643276383485,2.086245488617435,1.718509248334259,1.564519302494027,1.6464881460740963,1.858602629314899,1.92478076464462,1.585388106979659,1.6684876294531206,1.5329982582310238,1.599463060512699,1.4655296185765097,1.494414782715343,1.4725008414675191,1.5263509159974995,1.79220670484611,1.781964120254083,1.7359752784569409,1.8225394884930337,1.807320727003305,1.812529855814694,1.784527289342865,1.8496445029198072,1.5784918464686533,1.5026336627801562,1.4867703306042124,1.5240125600187704,1.7900156037250166,1.8762038224156952
Hydreigon,Dragon Breath,Outrage,30,1.395712593109656,1.327830487614464,1.4156850298939814,1.3489716433709478,1.3546145645713068,1.36271726530524,1.4034027447778954,1.396733722427329,1.3130797476506628,1.3295023484942998,1.55142730988443,1.3252836593576196,1.5232108686947545,1.328926108731214,1.6795942358411995,1.3601818434203221,1.4556534523951092,1.5031491551442686,1.498558555838981,1.4971020180218255,1.4479492263765317,1.5304830313316076,1.3977484139731404,1.4666139756830405,1.3499562568987369,1.380664731613589,1.3619906717314996,1.410249555224311,1.4590966431115129,1.442862937286729,1.3812580044242635,1.3953118329646446,1.4170097715847385,1.397856555605744,1.465950703540712,1.505703508305734,1.5009315414189033,1.3809440113080063,1.3811754641807081,1.406362859705668,1.4381366965820885,1.4715803492451573
Mega Gyarados,Dragon Tail,Outrage,50,1.1575318937884034,1.178460097173875,1.1535334337443335,1.2005070694358577,1.1521568118733172,1.192227926709808,1.172413723077173,1.2245169832624596,1.1812774595124977,1.2339870790665368,1.11729380263547,1.1556612372044415,1.12082207381682,1.1618553402805303,1.1174282516657414,1.1543977304275403,1.2702154571301931,1.322264624166225,1.2187259444855327,1.2813683908653193,1.2690739185176296,1.3396457503566686,1.1824132187975438,1.2452737035263406,1.1724246760148809,1.2203720207677529,1.2189758138193008,1.271323748617589,1.200336023756098,1.2319587245237802,1.1779189467147901,1.237231730508014,1.2055737353320617,1.247750455758151,1.247972986110661,1.286892949037857,1.2016671538680708,1.2535448527480009,1.218925797322071,1.2497207450242096,1.2406452189987776,1.2857767574068
Mega Gyarados,Dragon Breath,Outrage,50,1.2215784784665265,1.2541804054116112,1.2090579038806222,1.2676919351376736,1.2280497803855435,1.2870238707027164,1.2031411826345482,1.2667020019251622,1.196127091812134,1.2595473964251636,1.1612108740475489,1.2135334173205383,1.16877302625622,1.2221788497485848,1.1544194197667963,1.210475517073848,1.3069761407984777,1.3689322277596998,1.2958130197877833,1.3730849923777038,1.2952835920967167,1.3748459515006752,1.2405357528806995,1.3212906889522689,1.2269800907567148,1.2880732594742652,1.2624051545896042,1.3263489926431695,1.2437381619537753,1.2806542602081636,1.2328632553265804,1.3106832382504754,1.2512567876280754,1.3129051860565628,1.2999559274358192,1.3442618169562708,1.233793769495765,1.2939406329671306,1.2674269137806577,1.3133605684115752,1.2702426031386347,1.3311567627736864
Mega Gyarados,Dragon Tail,Dragon Pulse,50,1.2504367313574032,1.2769969782415018,1.2477008510474359,1.3008037160631305,1.243821108599806,1.2887967522672428,1.2756515699820885,1.3350229273027825,1.2793275180141146,1.3373140845592821,1.2155790863758442,1.263887257304659,1.2178447323571844,1.266512001319954,1.2159759335091618,1.2558084050527485,1.374197035707722,1.4450589723354341,1.3262191900744118,1.391899234751634,1.3775621574980428,1.4562483214189794,1.2809757296571131,1.348851746218751,1.2744499407219656,1.3275025550876907,1.32910900610665,1.3871750733278838,1.3038559005101755,1.3356683821367836,1.2844263010827803,1.3481706252183023,1.307816292907071,1.3557318289793943,1.3536272368446636,1.3895885048382601,1.3176028950864196,1.3684620963474696,1.3248832742267023,1.3575440380886947,1.3503185346412634,1.4009362235009988
Mega Gyarados,Dragon Breath,Dragon Pulse,50,1.3300164405705521,1.3674550180478888,1.3183144894540932,1.3867395105055467,1.3384673721604374,1.3985125091263486,1.3126601763513706,1.3846872423470733,1.3012226332134078,1.3666643625684065,1.270141738535139,1.3338653423153735,1.2752808423560373,1.3336344813848249,1.2655534251804554,1.3175666296501944,1.4229294818434395,1.4963708500448643,1.4109587490377795,1.5034753143253892,1.4099775808242714,1.497317127526443,1.3536977628227675,1.4396059618505979,1.3397833285638363,1.4054355913494951,1.379562436889936,1.4542001250180314,1.3571117585987473,1.3992226427170664,1.3550956649978654,1.4379414561260526,1.3716776774369657,1.4347299084584164,1.4036204315222534,1.4648780551036678,1.3535278315343884,1.418324076506655,1.3851630568400348,1.4307745157802918,1.394873629704722,1.456264845900792
Mega Gyarados,Waterfall,Outrage,50,1.3260064109040477,1.374936855350533,1.4995734672798953,1.620793149058968,1.5116958626665402,1.6263394319793907,1.5041285391104449,1.6166835219911215,1.5180823945537862,1.625783533902277,1.4503449281585334,1.539983715664154,1.449369903035693,1.5621897554664406,1.4643101922543034,1.562452283453637,1.6204624814866866,1.728699149198387,1.5969427799495872,1.756433670928109,1.6991335188582029,1.8292580719508873,1.55084821182623,1.7057363953434168,1.519381873185888,1.6162691631576795,1.5862037793912582,1.6869606193200941,1.7261220328134825,1.8242759488112648,1.5104275817906625,1.6434756665502386,1.5439981282232094,1.6510111169243067,1.4159477869739647,1.4706723010415383,1.5652458270274672,1.6609864533341228,1.5608180851696805,1.6495689650333478,1.653865648946003,1.7306816939483387
Mega Gyarados,Bite,Outrage,50,1.335962599998163,1.3861825729952146,1.3152562957146763,1.3991850931859333,1.2884025937955796,1.359643827095817,1.3013610166806788,1.379754521491554,1.317129340836826,1.4012115061047365,1.2483948586868021,1.31886714493464,1.2578075482859712,1.3309462822971223,1.2892230011104944,1.3661615942531928,1.2590436860142051,1.3124463519313303,1.3882390231385748,1.4906268395393416,1.236155635175058,1.3100093905298507,1.1506587785580187,1.2160874190035047,1.1704525571317608,1.2230342177343527,1.1628734913689474,1.2115324325623886,1.3639717784699197,1.4140553192597802,1.317171673070206,1.4091449334419994,1.3552313886569027,1.437862534892714,1.4150857794686662,1.4837838888852881,1.1682805984066664,1.2184885532338456,1.1566219072862254,1.1899113456665802,1.439816333224008,1.5159565480982338
Mega Gyarados,Dragon Breath,Twister,50,1.636187624567172,1.6921645526603415,1.6364326821294715,1.7110254580411048,1.6566646875587288,1.7225540138471032,1.628987908843156,1.7221592686007643,1.619147730912794,1.686090776975652,1.5874189327683779,1.6567954695519378,1.5842647795616382,1.650014990331739,1.5691000659355914,1.6362871321488064,1.756556145338969,1.8591539550923772,1.7557091754335654,1.850036979457534,1.7415051895534641,1.8445210163105694,1.667320006611094,1.7680883343857403,1.6687281795511222,1.7458157883978578,1.7197076501418473,1.8046795210847717,1.6737853094730417,1.7296273969136422,1.6896660457173904,1.7782483409011525,1.704106535295666,1.7768523603560276,1.7384714597740631,1.8122768016280923,1.680875371413982,1.7496318237490334,1.7091493472450023,1.7868636214122051,1.7193814166592127,1.811413578222368
Mega Gyarados,Dragon Tail,Twister,50,1.535488670701801,1.572030823773616,1.5432761015092837,1.5944765388658448,1.5326910379672731,1.5789971743660618,1.5800242066828314,1.6496001429656435,1.5934146061846493,1.6493839628017386,1.5148908503907026,1.5646471929774817,1.509059593108069,1.5564230050283003,1.5007092413936702,1.5487619725152695,1.6979838055804801,1.7779440222267866,1.6393106727242541,1.6982891340769475,1.705356411560447,1.7934997723796517,1.5756970254315223,1.6527226264689554,1.585962961448837,1.6445656350925963,1.6507419339327787,1.716387940568351,1.6031179878763522,1.6482244326110498,1.59773402025847,1.6614589397291109,1.6145374664071308,1.6692901871451828,1.6727223234018833,1.7252691342981767,1.628136436127896,1.683842057938731,1.6324106412143298,1.6842482231525109,1.6657622469364024,1.7345279624715506
