Attacker,Fast Move,Charged Move,Level,Reshiram,Reshiram,Zekrom,Zekrom,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Sceptile,Dragon Breath,Dragon Claw,35,1.1644516289023392,1.1184731394142013,1.1719761581968582,1.1238687710170558,1.1250879372539628,1.1300107603599647,1.1626924654668924,1.1947277357410047,1.2007136522879696,1.2352717543404155,1.1817161745583584,1.1119244277190183,1.201767853082676,1.1097252040797847,1.1847411160466408,1.1136911785119379,1.2187565539832002,1.2906087501756738,1.1860104448100464,1.2470076826709735,1.1926030053505068,1.2753463353123922,1.1293824984002,1.1836167769221968,1.1612035485057848,1.194911082948367,1.143199499927874,1.1833764485262297,1.1889938265402948,1.1947467914010665,1.2223580548763922,1.2000329879302984,1.1141816338401644,1.1711765871919773,1.2778094639350317,1.2593767620924097,1.2310407732071298,1.1956597755419962,1.1718268495660462,1.227462299174977,1.2017352932407048,1.2637824622081755
Rayquaza,Dragon Tail,Outrage,40,1.1647087998383496,1.126118463954738,1.1593783079217674,1.1397559682476202,1.1173311646301811,1.1348071866564884,1.134475027719901,1.1477176266078557,1.1120820169064616,1.1414373526922545,1.3243094347877165,1.162910197153887,1.2052186475702582,1.1416254348705297,1.3166947182121045,1.1260193989450307,1.16919384655301,1.2185814207413972,1.220401340316665,1.1995796416766034,1.1805934129147404,1.2358623001655247,1.119720130357211,1.164586573546301,1.0988757614161317,1.1278492293855527,1.1325671971919027,1.1716670673654854,1.1647781610606889,1.142784047988509,1.1088359141537625,1.1536509876974423,1.1116599345528047,1.1411469182300011,1.1649577745947592,1.187476910513251,1.2213590328990458,1.1637949535801904,1.1617242745825769,1.1694603390576395,1.153304113618971,1.1885566057425683
Drampa,Dragon Tail,Outrage,30,1.5491628167565235,1.5077289050947398,1.6810892820124272,1.5272256293880127,1.757687337534364,1.5224079922698373,1.7687002717159532,1.5765008346431748,1.6841098144470332,1.6230211448783267,1.74791078452421,1.5332350331965505,1.8581954859986276,1.5215186715145466,1.8006381003609107,1.5235329330927263,1.5846444903298342,1.6444600598912442,1.6791767919943248,1.6258056238962764,1.5302620776880629,1.605898700373526,1.5652146274690952,1.570179304733289,1.7350034749192593,1.5508605535341973,1.5925700822233975,1.602206087416454,1.5445873382676356,1.5432830600116845,1.7677407148678541,1.6137598478674273,1.554718599806973,1.525283609929516,1.5808796365309705,1.5969142723814092,1.7258983315510397,1.5906980917739435,1.584837942303396,1.6126073938859158,1.5750519295944025,1.592474432749933
Exeggutor (Alola),Dragon Tail,Dragon Pulse,50,1.3998622298557086,1.3708184465038529,1.3303472985343785,1.37409029284911,1.3705172789427904,1.3869122756248742,1.3860417605894082,1.4460467156486456,1.435195550505272,1.4684411595121607,1.4984728371606926,1.394413095522618,1.412773372341731,1.3805532136655485,1.5941729421154915,1.3958456239589119,1.4319066820899233,1.5204116712251758,1.499811329298296,1.4857402683652061,1.4168461915020467,1.4961952163536172,1.3961973496293973,1.4491878101598952,1.3844290912064103,1.4157524222231308,1.3841361734865605,1.43286435543588,1.4384086688919402,1.4253863528956465,1.5503332751193386,1.4660757946210268,1.3628419810937547,1.4117973931608656,1.4188773162400916,1.4668937267889897,1.428439672748667,1.4198689366551835,1.4023685312479302,1.4235963999402759,1.436834729717642,1.4936740312273273
Exeggutor (Alola),Bullet Seed,Draco Meteor,50,2.557250842694049,1.9599676699394728,1.7854567936113654,1.8588882997947138,1.861307774567964,1.8136445355831965,2.003056296783679,2.0629150369801756,1.9266200901632988,1.979400518590701,2.434591251017771,1.936950859383545,2.2561314481062884,1.9037801793608282,4.069698691699056,1.9602976644919492,1.9792564404709136,1.9838228775905125,2.0118334264108797,1.9880231838558255,1.8284752103345352,2.0294268348200086,1.85190513927795,1.9099090127009286,1.7722840439883898,1.8368014390253875,1.9497908352166176,1.9676741837765062,1.9528375959602724,1.7643517123071026,2.7433078161990143,2.0987794465789573,1.7923660103532653,1.8550965297388287,2.0934111516549896,2.0830087302564633,1.943720837295699,1.9146987430203775,1.8412675425449867,1.8779899928488273,1.9087033006350815,1.9581581641273342
Exeggutor (Alola),Bullet Seed,Dragon Pulse,50,1.9103373531599879,1.8453373990833692,1.7077562911283029,1.8229036146125523,1.7352485776201143,1.8117086686590795,1.7661618192378143,1.8902474686551887,1.7507392783564248,1.8606658394391937,1.9112989795959705,1.8391800310293565,1.7938577870246102,1.808159971991219,2.1898511243753473,1.814599528039978,1.7863158236127175,1.9318147911914465,1.920109278070427,1.9510663668060315,1.8000407621376884,1.9519482968474104,1.736066907660817,1.8673564523852912,1.7121425943338375,1.8060177425289237,1.7347425109390777,1.8641034764629512,1.7651424658859602,1.7515377831362962,1.956979857957853,1.9661412853650015,1.7331775685749473,1.8435961511589742,1.8457849129242794,1.9532377131524197,1.8208674528493882,1.83938634824663,1.7372858998409229,1.8312603913723404,1.7957700984923024,1.922458431477782
Exeggutor (Alola),Dragon Tail,Draco Meteor,50,1.4117600595167024,1.2695904552844035,1.2325034443663743,1.2700108054955759,1.2804811726962935,1.2841982367645077,1.2997749915723378,1.354447165665501,1.3661998900776537,1.3913867749255664,1.4736979620275215,1.3164933586645227,1.3808409475499357,1.3060059921084455,1.6281232648528596,1.2918842830372017,1.3739721732738024,1.4412103652933481,1.374767935036904,1.393480295231914,1.3587144307491281,1.4008403857545852,1.2899473231426428,1.3539753440099676,1.2767670986468256,1.3349674992845755,1.3007452998028561,1.3388700293311535,1.4344939735274307,1.3501568482981121,1.471965110412543,1.3673157527069506,1.2926146057082692,1.3169477039862996,1.3490028582354123,1.3688808809327828,1.3189238892733053,1.3270320923881873,1.4020598071540915,1.3572274555633765,1.3616585666438077,1.4128030054563343
Exeggutor (Alola),Dragon Tail,Outrage,50,1.310794750039035,1.266765248858804,1.2313403400887555,1.264564028523573,1.2570877842472987,1.2764264960974985,1.2694678997453424,1.319885627485145,1.3273089593455911,1.3474178364180152,1.4337061447037427,1.2771739790896166,1.3317913748246935,1.2850114791734994,1.5473152935868963,1.2751748160744032,1.331769386276905,1.3989881190473616,1.405011848520067,1.3684399197017494,1.2970397926083386,1.3776135863633505,1.2803781884755072,1.3358456902872011,1.26315522668738,1.305773271738686,1.277022647497235,1.317784295811896,1.336139113090786,1.306523996115074,1.4348658167423447,1.3598449567275972,1.25602396914168,1.291535734363677,1.3099111419331004,1.3504319759415648,1.3405038279229309,1.308547424431362,1.3069581920218958,1.309797331052143,1.3231064333064988,1.376059711579554
Exeggutor (Alola),Dragon Tail,Dragon Pulse,45,1.4720997088457617,1.4340108562873701,1.4218839720928356,1.435778848746911,1.4426665735321755,1.4566483890227697,1.4529249064834107,1.481570835008712,1.4647456106928143,1.5061991482704091,1.588601775073624,1.4319845420334356,1.4378384142844782,1.4111153812876391,1.642481607440311,1.4452821349250418,1.5048702176192688,1.5896714630112105,1.5478544367802214,1.5273949858874316,1.4918961441684429,1.5699842094335776,1.469065589679913,1.512472082960753,1.4100257552839215,1.4386214790891625,1.4564966100879932,1.5070731355483964,1.460439993897243,1.4499332045800446,1.576391314471999,1.4987168665347148,1.38633018012602,1.4325916634441342,1.5086427594610183,1.5337868054520354,1.5305910061387378,1.487398751530984,1.4809259028495796,1.5077422389569393,1.4759533677211605,1.5211445381993103
Exeggutor (Alola),Bullet Seed,Draco Meteor,45,2.632258420051985,2.026650256711702,1.8816715679709701,1.904541059965914,1.9333805658252963,1.8796785529561053,2.171932432487318,2.1623878511695156,1.9940916738880479,2.0242360228341756,3.287870195209489,2.0044093282508926,2.315386519164485,1.9559183640618365,4.156744516935037,2.026638846474181,1.9563161479335358,2.1147101112420406,2.050061883990159,2.025500732042323,2.001057148897994,2.10849585807157,1.907707433666572,2.009270364076333,1.863954866931033,1.9094231634029681,1.9647256815886904,2.011115064672789,2.005302700469987,1.8245755048729027,3.0837287033802925,2.2612231730508014,1.855171270825954,1.912806397837058,2.258122638391092,2.173610255944935,2.0829515894483275,1.9680991004658632,2.056302293651622,1.9920034846530448,2.0307105161155667,2.0434519017661033
Exeggutor (Alola),Bullet Seed,Dragon Pulse,45,2.000297583511669,1.886247784196846,1.7880875373560108,1.8783712137194937,1.8238311205576094,1.8897803190188946,1.852993140086023,1.9629710860108929,1.8045447495220401,1.896400717529917,2.2595832506288915,1.8978016146607635,1.8562557974353453,1.8691857131071836,2.2448943295391453,1.9002203636868409,1.8509356655603721,2.033418017102518,1.9688919747030325,2.008743000316967,1.8516524856332512,2.022908702335442,1.7996224048277938,1.9386482008077401,1.7653260291893218,1.8318024610604637,1.8386901957013029,1.9347444342934075,1.826402610789228,1.7882752641116952,2.0497050490938022,2.1064733962044473,1.779143337157044,1.9016699758553792,1.9636304126617883,2.018351686099643,1.9564349438114939,1.9022344043130275,1.8151292768110037,1.8944545294315098,1.8588210739735829,1.9758788276335013
Exeggutor (Alola),Dragon Tail,Draco Meteor,45,1.4715486282685966,1.336436529294525,1.3082428136116222,1.3259168618932915,1.343894119388439,1.34809016083994,1.3303379594091294,1.4023447177850072,1.37682206404494,1.4139292855384678,1.5915163471237084,1.3426394396892205,1.4064935300118513,1.3268415471632053,1.6989823362021101,1.3552822216823988,1.511101501605388,1.5082777483486665,1.3781375937693388,1.4384103361357221,1.408291856905849,1.4694864923037656,1.3456288379307277,1.4044082435255778,1.3185789624299906,1.3443767630105066,1.3667932874933884,1.4139866326874067,1.468764303336794,1.3735166393158957,1.4845490355881554,1.4320375868358752,1.3144942465610976,1.3415082751381897,1.453552054235179,1.4476022580707884,1.462034368050442,1.434832803578895,1.4534921185545426,1.4199725403951444,1.387807229394635,1.424689664768379
Exeggutor (Alola),Dragon Tail,Outrage,45,1.367778318653159,1.3146872158490774,1.3221046683776896,1.3244675679196027,1.319333223567683,1.3329125650070432,1.3457473813324234,1.3569328183320946,1.3742029786932728,1.385072983717331,1.5210197558969956,1.3145287062054662,1.3578986975514449,1.3127144170773077,1.6078285501110496,1.316649170599667,1.3680976421876518,1.4385141782251,1.4479155660875735,1.4144227431210663,1.3749221424122424,1.4439777751110958,1.3355342060542363,1.3854670356448149,1.308930951310249,1.32564490413311,1.3378698850795787,1.3787103909217675,1.351991396601062,1.3427144616735696,1.4738182559087203,1.4024527496410137,1.2850657559086078,1.3242950778119709,1.4197296018562326,1.4236378012975481,1.4335016336664805,1.3691447950238853,1.3802391882015754,1.3793657796742793,1.360873411053798,1.392697059145075
Mega Latias,Dragon Breath,Outrage,45,1.070755072237479,1.1071227164598583,1.0802523606063552,1.116860792562003,1.1044536581066091,1.1282728042296364,1.0829485039376474,1.1312237777859007,1.1074035734878092,1.1571737818344894,1.013797126341331,1.0519498669302407,1.031769442661478,1.0502186173883823,1.0336119690449752,1.0759690796779569,1.150770261943114,1.2092301704846433,1.138057899264939,1.1801050518467089,1.1478808450334002,1.212144069394682,1.106434374298101,1.167786173490361,1.092566943297494,1.1317313274191572,1.1256777419820165,1.1686647112564312,1.090841771139169,1.133116387763228,1.0914372065044435,1.1338752086001473,1.0661783582307809,1.1129370322589032,1.1409641521540466,1.182745591123267,1.090166178848552,1.1282381933831882,1.0896748068790465,1.1466944630614428,1.1488913404295498,1.1874037190534403
Mega Altaria,Dragon Breath,Dragon Pulse,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Altaria,Peck,Dragon Pulse,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Altaria,Dragon Breath,Outrage,50,1.284579846983293,1.3231242594854744,1.2820692982665343,1.3400135389740833,1.3197490025462304,1.3617376900317821,1.343838465068863,1.403953081275156,1.2834942830264386,1.3241520637414734,1.4036631653994323,1.3093051611622641,1.4054250916019935,1.30926161046466,1.2685660744031095,1.333764228206552,1.415137133652609,1.513386882303975,1.411030443904427,1.488513727680256,1.4351072482318945,1.5264372939273938,1.3908067653527825,1.4699174037047553,1.3212199010670047,1.352901353174441,1.348867625138241,1.4051295859979804,1.372258875976348,1.4185933145040952,1.3412843947685023,1.3913411534132805,1.3374365106960995,1.386430918113015,1.3715900473780065,1.4180217899942316,1.3123235436686636,1.3701327654661777,1.3538786411200285,1.3889205097203186,1.417056759792083,1.475138396096087
Duraludon,Dragon Tail,Outrage,50,1.2152759535990154,1.2454659845513745,1.2114886817478852,1.2408488092857548,1.2401389699657897,1.247262095426265,1.2213002562821622,1.2608960534171632,1.2110281448412363,1.250844648703692,1.166959001551468,1.210387947971142,1.2543627901735859,1.2137681669741864,1.1597506593559135,1.1924711965574681,1.2848942173598121,1.3433173695419507,1.2808212458303776,1.324234374292485,1.3009560054628884,1.3676363864936372,1.2115507676920925,1.280181127021999,1.2230800049057684,1.2429042148726546,1.2535057941049188,1.2894359763427417,1.2406960864209935,1.2660895095839333,1.201051732836574,1.2618586758256685,1.290895560704386,1.264385222062269,1.2959213434354564,1.3225852447647626,1.2469815097816475,1.2781488320117225,1.2429580034195404,1.2774913192397979,1.2823180973394157,1.3242493813172724
Duraludon,Dragon Tail,Dragon Claw,50,1.2395510530231362,1.2898757313298492,1.243591460539761,1.2904458505245895,1.272411734280644,1.3033423640527473,1.2578763103491692,1.3181472952281155,1.2467899977408599,1.2995021461832332,1.1975366903910267,1.2395984817489865,1.2562179694841111,1.2472398674412006,1.1854893982509718,1.230883016379789,1.3400482156949654,1.410899341628739,1.3264191810182182,1.3886163645419831,1.349000089524321,1.4338843841012425,1.2639903037289113,1.3304169650841007,1.2587220473406648,1.3072548137852091,1.2979275857094772,1.3638043948646439,1.2686459693894638,1.3104517156561766,1.2572743237474289,1.321799685644429,1.3074620851463463,1.3166162435129611,1.3258582807811212,1.3844521067333804,1.2897056810150564,1.339450177797677,1.2831437767397165,1.3416868459960731,1.3244978482761363,1.3836329844857231
Shadow Exeggutor (Alola),Dragon Tail,Dragon Pulse,40,1.3328820595718103,1.2515388925117334,1.3452566809700364,1.246989045905928,1.405261433506131,1.2632013983478607,1.3445248626189519,1.2947630709995004,1.376024621256824,1.3487193709474565,1.3800812596460386,1.2927595467931607,1.4178177698813046,1.2462680110344937,1.4395171085508052,1.2494425839811216,1.3072334353142128,1.3543313045264374,1.3248984951624834,1.331226510497638,1.295083590953853,1.3609677769587254,1.2726610076832778,1.2998978670746333,1.350610359347533,1.2807522178161155,1.2909400394287636,1.3122527287589556,1.2579698657765572,1.2606174948182383,1.4690810920945394,1.3411340086156711,1.210532643982205,1.2402795966580984,1.4332689528229126,1.3361083925828467,1.4038218174955874,1.3225492227595828,1.2722688302051164,1.307539715951381,1.2917598417762406,1.3463629406561515
Shadow Exeggutor (Alola),Dragon Tail,Draco Meteor,40,1.3931923179367542,1.1797532995949558,1.3077970181235128,1.1676062616837861,1.3645683133177333,1.1851397266835306,1.3085803755285057,1.2595537197467233,1.2950521456774555,1.2939975992420079,1.3893677869911654,1.2120467627793554,1.511717610319787,1.170088956049152,1.5236565623264855,1.203200912687396,1.2309791245500048,1.2884920163025264,1.1838294114983472,1.2358534707862285,1.2330146648457039,1.2724206043082151,1.1904969762721058,1.2220479982370416,1.3725244266383223,1.2218617390948858,1.2892840313506755,1.2536404289080154,1.292783489809512,1.2023380257581,1.4006796483874724,1.295845946365506,1.1369419196760786,1.177055136175011,1.4983278350649099,1.3137350850017175,1.3801595553762984,1.2597242933421153,1.2191840029278271,1.2452313353832614,1.2389357663217946,1.2720017492073903
Shadow Exeggutor (Alola),Bullet Seed,Dragon Pulse,40,1.8461842262369461,1.6911597490746437,1.8937520753339339,1.6320444401230616,2.0155867223477872,1.6755743155030676,1.7658551741784552,1.7720388444152013,1.7393474793727008,1.7327807993310247,1.9957729590906699,1.7350250948906885,2.1690466752651476,1.6794302466664117,1.9421480254025543,1.6565558196835093,1.6335174754867514,1.7673992713592284,1.6696187342459965,1.784968227853833,1.613513981984659,1.7587414785227344,1.6061440794687394,1.7188335657104596,1.8602526470708476,1.6427783001512613,1.585811415107948,1.6646035485887387,1.5928958698475426,1.5656585953983724,1.932304400977995,1.8385362091046686,1.5145533895083012,1.6298171443055416,1.9254882008671925,1.801504948441581,1.8482031518847295,1.6553287499398708,1.6093113431967876,1.7147344467608108,1.58054801872447,1.7024856634564736
Shadow Exeggutor (Alola),Bullet Seed,Draco Meteor,40,2.414135216804284,1.820404676837165,2.5704054170572728,1.6887228417903,3.1854923072573387,1.7375586456249241,2.376068688493296,1.9766949754887029,1.8721941983929757,1.849984658077438,2.9766732965247935,1.9715874796952157,3.750132297223066,1.774233531259369,3.038611361743476,1.7603219565519157,1.7728716446308688,1.8179068334396384,1.7766403030806153,1.8060955730306554,1.7289774989190414,1.8166141901763249,1.7171341755414953,1.8036399157509313,2.5988144393115573,1.7570581742365399,1.7683396643746694,1.8117709284993027,1.673433656705032,1.6000107914606057,2.5792219699615786,2.0068134629564947,1.6426693616786199,1.658754943472991,2.4612679935965156,1.9273936911420626,2.4097709166663583,1.7851811834183777,1.7698815509849422,1.7739454826929273,1.747637079221205,1.7637277994772256
Shadow Exeggutor (Alola),Dragon Tail,Outrage,40,1.2608613389421088,1.1567548701746007,1.2668040132601226,1.1464208859772553,1.3454557852318634,1.157079634979319,1.2636903819050984,1.2034762583616625,1.304065103701281,1.2447744737383377,1.3446790324998077,1.2076617395073381,1.3663556592023534,1.1697187250370733,1.4016171571349252,1.1610303303720158,1.2014875514859298,1.2403498340558479,1.2216578871900141,1.2271859387499435,1.1964449320662784,1.2518090579565215,1.1839261422148013,1.2034097988278023,1.2969216303503537,1.176534074649442,1.2066759628792614,1.2124883396643746,1.1732457364427624,1.1552370214080252,1.4108767997826677,1.2512928357977258,1.1172687656996902,1.1516594146148071,1.35830994678886,1.2375025114880323,1.3163522059122816,1.2138243706776293,1.1798839870987008,1.2071403953689142,1.1965671804963376,1.2292157388910423
Hydreigon,Dragon Breath,Dragon Pulse,45,1.3851612369922022,1.3536210586257886,1.3142014298477507,1.3639819260199635,1.2939391066739179,1.306455717044111,1.3109482440001137,1.3653523575115853,1.3074909044316239,1.334197651168515,1.433060037348651,1.3287511696771084,1.4301339874081211,1.3350168113049234,1.4030247952526376,1.3112593697945587,1.4048258937741211,1.4783213154452384,1.410653102501019,1.4429686202888927,1.3946498741897573,1.4831570466116948,1.3607771425665454,1.4254768675280867,1.341837210253056,1.3893642941825763,1.3602500360628935,1.4224147713612538,1.3855826086309357,1.3826056539811187,1.3434771219001047,1.3630515775992549,1.3034715610163488,1.346278706264278,1.400139995203868,1.4559468795976434,1.371392705299888,1.3922242655901367,1.3537955662729593,1.4145434868758582,1.3783654849578102,1.4407306916326266
Hydreigon,Bite,Dragon Pulse,45,1.643404943192777,1.590910844347291,1.5211734511358612,1.6096482618562338,1.5248694038228383,1.5618338181316223,1.4868630007351358,1.5701851648775653,1.4475904751949773,1.4910536360356472,1.6598700493796157,1.5171755184049454,1.6495018984399994,1.5404849623833217,1.6796853310660746,1.555479160882843,1.4048258937741211,1.4783213154452384,1.6378956424614735,1.72239370292666,1.3946498741897573,1.4831570466116948,1.3607771425665454,1.4254768675280867,1.341837210253056,1.3893642941825763,1.3602500360628935,1.4224147713612538,1.6233482553185155,1.6178799617461328,1.5453244459968176,1.5952017114914425,1.5023315969570628,1.578132057752113,1.629971936146632,1.717666616977011,1.371392705299888,1.3922242655901367,1.3537955662729593,1.4145434868758582,1.6244968544083007,1.7242712464096523
Hydreigon,Dragon Breath,Outrage,45,1.2792968211835374,1.2413585973162375,1.2037432144606517,1.2475944471860765,1.1861908159412986,1.2096291085199764,1.1975586179446251,1.2456084772128198,1.2033748857785436,1.2330884807450442,1.3490073441544501,1.2054439101850014,1.3209460207208639,1.2126534496878187,1.292485077734592,1.1956920634369796,1.2874563518232234,1.3390730911017177,1.3054088116764524,1.329747332196278,1.2758053855545841,1.3575201382103135,1.2480834184441045,1.3017159179037747,1.2228690568660316,1.2680659008217163,1.2507746309563879,1.3084752608549308,1.2776233482553185,1.2607123852477011,1.2282594985834594,1.2537620794038886,1.1939628699277611,1.2346480182238269,1.2919645345483535,1.3267656571024882,1.2494810379980092,1.2736289597448298,1.2416085984711984,1.2931385789486092,1.2613773020463739,1.3236828766510629
Mega Latios,Dragon Breath,Dragon Claw,50,0.9430348007384479,0.982719950035361,0.9390287528917084,0.9907135112723884,0.9463711642310334,0.9864073536333262,0.9504758075325023,1.0107752230792038,0.9663354384923779,1.0195230179416197,0.9186775660994155,0.9669128220916056,0.9111244358504347,0.9653894367458303,0.9017407863686842,0.9702140303997779,1.0120906801007556,1.0890195781667225,1.0011282507961905,1.0586162136054216,1.04260595774833,1.1217416480475126,0.9720215114825378,1.0361321710239144,0.9426891786926128,0.9914852213727976,0.975481079001779,1.0438120882819637,0.9801065005525972,0.9999423215036598,0.9682660961695191,1.0180317848410758,0.9742078257167832,1.0313100162805586,0.991133637088359,1.054150922607281,0.9610704493230368,1.0186437793014642,0.9546209261049236,1.0144516554908545,1.0130892393929456,1.0757526064183984
Mega Latios,Zen Headbutt,Dragon Claw,50,1.1065128539544624,1.1618358330960625,1.1044207135296178,1.1670338822916457,1.132779848357091,1.1858981075404011,0.9830431374460324,1.0328597596390117,0.9825801741898285,1.0256909765892377,1.0741058805896389,1.1371651482806253,1.0701084736622888,1.1421324903870724,1.0593181739311495,1.1503071210438647,1.3342234138009317,1.4609658273964605,1.1875462243219175,1.2687802816476235,1.2070830880938368,1.3081446179692455,1.1360635173562406,1.2260930553848632,1.2541204366133847,1.32794570949675,1.2756647593402894,1.381543491849786,1.1804332213254145,1.2075718841518097,0.9900745139131447,1.0258664182869561,1.142778223696824,1.2116765075764715,1.190448567965727,1.2719374428839012,1.2630036521603991,1.3639523998061063,1.2523521969367835,1.3525775093936323,1.1963087748591192,1.2697854239343251
Mega Latios,Dragon Breath,Outrage,50,0.9067167537680134,0.9217447211073045,0.9042933958058533,0.9309493976257263,0.9068937817759084,0.9298630756667847,0.916771250908766,0.9407504883982567,0.9268991108428617,0.9606504975166317,0.9131299546712145,0.910148543929224,0.8749906939215714,0.9142150599512663,0.8720198847862299,0.9112906024430872,0.958878282396947,1.0095263834985566,0.9766689810272743,1.0026715771361296,0.9854037261165302,1.040956424512902,0.9399661817118495,0.9807324753037501,0.9048362699807858,0.9321221536323127,0.9351079482617685,0.9734096263884213,0.9460799089051877,0.9400069214195608,0.9385987891489114,0.9563079714363333,0.9294606618160784,0.9633118750588993,0.9480559462314717,0.9883888237162245,0.9371824711101902,0.961117627686854,0.9159888769515573,0.9537374138800108,0.9727183279167536,1.0037468817396662
Mega Charizard Y,Dragon Breath,Dragon Claw,50,1.166092012087034,1.2233492840544835,1.159653490321835,1.2244020745083866,1.180378225821205,1.2378106076859239,1.159055370756215,1.242442519282085,1.1943037633230267,1.2662851979108012,1.2094765112633323,1.2148985469673463,1.1309148931460984,1.194960833985597,1.1412257946973905,1.1899617400055527,1.295616263607961,1.4054766975492157,1.2470567370534165,1.3267587882812855,1.2943635868395438,1.4041413569982304,1.196326181203304,1.2820563892408685,1.1870504067699603,1.2518049139446465,1.2153502909073424,1.2965677741982016,1.2030673796473053,1.2526578623232898,1.216374141343579,1.2885231109558737,1.2341800740261724,1.280324571294873,1.237379367558704,1.3040488427711272,1.1725257260842699,1.2267817695401682,1.1922801014411242,1.261618410284217,1.2908554220459763,1.3733563910671158
Mega Charizard Y,Wing Attack,Dragon Claw,50,1.2731283925898031,1.342705989327406,1.389150108330138,1.4752455085645935,1.289754707033816,1.3555459094832532,1.2680869815972349,1.35792383017956,1.3047892087276995,1.3797083685972762,1.3381490948420784,1.3385744319723896,1.2293742089833335,1.3045411650606553,1.2509087833148251,1.2978683717379236,1.3980216430092647,1.5058691257391812,1.3614364632544942,1.4429497532187223,1.40208039284034,1.518052484109433,1.3069730089376905,1.3964918823394796,1.3049441968848372,1.377180000817628,1.32752031543011,1.4127806895225272,1.3158511671522823,1.3812102064890168,1.3152966973260372,1.3986615632398027,1.4848551810196633,1.531035424025685,1.354777660394968,1.4254233882728091,1.2985197094552843,1.3539219096321569,1.2987102068675955,1.377265333203108,1.40002186509238,1.4715803492451573
Mega Charizard Y,Air Slash,Dragon Claw,50,1.3317413227770787,1.4013501474140544,1.4903878787656417,1.5900754550140985,1.3582601146552111,1.431179431912866,1.3400307863516547,1.4344104494888572,1.3366085247139827,1.4135777700599852,1.3931046774931846,1.3881646905368565,1.2742124039461795,1.3574801755377905,1.3153651617157136,1.3693694475291507,1.4340147674079198,1.5438124993243314,1.410758758093973,1.5016263414486892,1.4432996759981485,1.5669327634253147,1.355445888620019,1.4537795539206755,1.375065614651895,1.443790523690773,1.384276578352647,1.469386930807328,1.3739241099835895,1.4415716832073708,1.3647640392750418,1.448989987192921,1.5921606348442947,1.6513198301102594,1.410075765922834,1.4864476865144434,1.3720495021295018,1.432062231037073,1.3722797197458807,1.4492272355272953,1.4247095421250882,1.4992198137491677
Mega Charizard Y,Ember,Dragon Claw,50,1.544340861706329,1.6535834014530157,1.4567991150134014,1.5486825183959434,1.5003983162614485,1.5893317766568376,1.4505428226779251,1.5677990195481148,1.5142578724293851,1.6146699126353377,1.4056460465926446,1.3853007538594282,1.2680532891202385,1.3570033018972325,1.3087650957801222,1.3609366324264298,1.5913125263510663,1.7343855742100085,1.572902359138454,1.6894668920652651,1.5746813791316903,1.7187945835880967,1.4986883759169716,1.6176901854920391,1.5171350312742733,1.611729692163035,1.5294052026734624,1.6428946482665767,1.6521261037989663,1.7685287518001271,1.4979576590212287,1.5957450421081227,1.5636485349122118,1.6080512398896432,1.6641022483488992,1.7692055920306433,1.5234939001150782,1.6009959260095246,1.5113515042721801,1.6060557072981254,1.5990339604639374,1.6959062583857598
Mega Charizard Y,Fire Spin,Dragon Claw,50,1.5833536926991008,1.7087906536734112,1.4190147369347983,1.5083022530100367,1.4423256347697666,1.5246964397677625,1.4537859495639953,1.572118450284916,1.5010022827432032,1.6026602219352404,1.3240299275306548,1.3180711568764862,1.2084581689259477,1.2862871664651188,1.2477855184619657,1.2994191594947253,1.5557518297099489,1.6931471011124202,1.541213228080238,1.6550344890042716,1.5696623028322065,1.7112821597075791,1.4680273089033637,1.581865260820369,1.5085793712440212,1.5971546543477373,1.4839236428331009,1.5921815646487474,1.6386218932687333,1.7556459805530438,1.483896553731517,1.5823776535879224,1.5173383074068416,1.56641395513585,1.6955233941059427,1.8108476839219396,1.4905587768407889,1.5718804000725253,1.456285229628981,1.5410563752648012,1.5693670055755986,1.668077958993013
Mega Charizard Y,Dragon Breath,Outrage,50,1.152311323787393,1.1640879157214103,1.1376352292177665,1.1583417875481798,1.1384111588425379,1.171583668866969,1.1014731147421135,1.1696214253512203,1.154796626800147,1.2001893294399693,1.270157941854389,1.148422404329527,1.0903041729461735,1.1273312984041834,1.0985997362576347,1.1169315657967798,1.2191003340504427,1.2989870379779678,1.1894744388933332,1.2473397431059725,1.2376089768132008,1.3182722948893042,1.1564371289205695,1.214057474138333,1.142985160050693,1.1754417235599526,1.158851757465019,1.2119824974755973,1.185908957284422,1.195206358775132,1.15550898435984,1.2070259440369464,1.230400774707616,1.2203984674827526,1.1805678879519867,1.224151117045064,1.1453093605574078,1.1664323166241752,1.1607026784902381,1.1910014223760979,1.2305475217905524,1.2897919834620393
