Attacker,Fast Move,Charged Move,Level,"Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
Nidoqueen,Poison Jab,Sludge Wave,40,1.7121061127713848,1.75572310863252,1.7595013055904207,1.693975341433212,1.7657214894046434,1.698601065838646,1.8807198399055232,1.8138263543978328,1.878471299263282,1.8267737989725246,1.9128846246464248,1.8810456677863832,1.7670856755969366,1.7620002341256424,2.120307301637926,1.9077252001091227,1.8613036312125528,1.866290395936361,1.7564212617271429,1.7474164181731289,1.7168506288966319,1.6698822813517566,1.838663697522358,1.864336437291687,1.834696500287702,1.881369701859007,1.79023848949459,1.858756732142569,2.123708779994332,2.081485639466962,1.8164939355081204,1.8825511490253801,1.8361355117608316,1.9039628486717786,2.131710706549569,2.1693918054257777,1.8719433495271767,1.8606319323271645,1.8395846531810223,1.8544790965443048,2.074781218492243,2.001774482287806,1.7986529224752819,1.841807558584054,1.8195469218464624,1.900853474352216,1.8089172648064877,1.9138367639676719,1.8135063512014535,1.828434052391814
Drapion,Poison Sting,Sludge Bomb,50,1.5702268562502102,1.5970372475168466,1.4746730313680882,1.472480417431721,1.4763003870158162,1.472911663179285,1.6299776399637256,1.6496786701379191,1.6279985081151318,1.635255324865951,1.5239385901526887,1.545746145600989,1.6374758953608015,1.625288009647726,1.6576780888485505,1.656424768905001,1.6523942612855478,1.655616361965957,1.5802500686462195,1.606725365442434,1.393402832859973,1.4116010954791753,1.5921310053631972,1.6336813685262424,1.641975976538765,1.706508172047104,1.6187414638401894,1.6985027977549136,1.7258290082719532,1.7943559995732592,1.6206950532247966,1.6624990583087145,1.6348022999161425,1.7120082072888647,1.856930492561528,1.9495888222041555,1.5981396072478797,1.6650081549796332,1.6826934916489762,1.737085363071776,1.7362430444342292,1.8294415393943568,1.6444691318252151,1.7381219756158715,1.6298419810754965,1.7017132218929403,1.6411220167912504,1.743312953347893,1.5639549688960697,1.6568039524877884
Shadow Vileplume,Acid,Sludge Bomb,45,1.1658075972529425,1.1884778996930363,1.2674625777830748,1.1540066457210045,1.2724242672965986,1.1563017408216836,1.1714019198490992,1.1901258885036456,1.2001235216503776,1.2009981191021422,1.1893990963747725,1.1901346132953232,1.278270987884746,1.2080372662642789,1.359422707054319,1.2747626015850528,1.3441150507463697,1.2793498921331203,1.1646782177169248,1.1762784852927641,1.318638298340649,1.1235014399436531,1.2881953318148724,1.2587544613455068,1.2262549066689703,1.2423801132944559,1.1849698384617835,1.2473377444781073,1.407529635467648,1.4171465815897089,1.2042237993132336,1.2193908614227356,1.1826952974064693,1.2539326592477935,1.4004420361207217,1.4572639126006077,1.1980364555722998,1.2010647950761426,1.2077354778130172,1.2360708963777283,1.372506660070821,1.3799587509938065,1.2052174623262013,1.2467891892782286,1.2841314372824186,1.26767374647518,1.2385227444494138,1.2826513741094774,1.2010366569529511,1.2359248552289623
Sneasler,Poison Jab,Gunk Shot,40,1.2717195884282237,1.2376568564220225,1.3569917159903548,1.1975199148800901,1.3664477169150697,1.2087401139851282,1.2762875958169606,1.2446506115273026,1.2380916707105303,1.2003381605701247,1.2771500041828914,1.2431791079765893,1.4295692744280581,1.2701302873518165,1.5499258132418643,1.3977422148609033,1.3957779545873867,1.3029345069514933,1.2356927221913492,1.2222293596318639,1.4243658490299136,1.1889792840840123,1.3559208412067394,1.2777382365286512,1.2089934062861,1.2495816245704605,1.1983312632980712,1.2361451551288802,1.6374364705690445,1.479843465204398,1.2162404686665895,1.2404852727583495,1.1822629667073223,1.2174191086010178,1.4243185140484522,1.4614793131729962,1.2227999914271883,1.231396674675575,1.1900445255765888,1.2113996728220313,1.5528735362285813,1.5381700244448693,1.2069335879043803,1.2402983204615472,1.2765853559662448,1.261395041666672,1.262486291873157,1.2870689210094657,1.2404214758929606,1.2188473761145358
Sneasler,Poison Jab,Sludge Wave,40,1.3842854783594158,1.3417599670555445,1.4602773610045743,1.2918595885567612,1.4718618623223243,1.3051503336560217,1.3920847432767225,1.3559645968772944,1.3474619108157642,1.3013580162743785,1.386451893772988,1.3477262429628554,1.5289875516293656,1.3929268272188438,1.6783298877992012,1.5312922117815126,1.502928187250607,1.4105810254886317,1.345009699046501,1.3245579395273983,1.535382699685652,1.2930143070997582,1.4859510028676157,1.3801324237484276,1.3134908506454623,1.3431868128650262,1.3119752181385502,1.3455466168469628,1.7664119776813885,1.6069826535237128,1.3257100352293798,1.3526453627070811,1.277280634231215,1.3352484115107717,1.5637096308326068,1.5875458999224217,1.3282683643304087,1.3315760150520783,1.2926729501887038,1.3167995332730054,1.7021844513690583,1.675522847791974,1.3118354080391044,1.3397263706596256,1.38457673103762,1.3679843398636498,1.382843023519818,1.3957019151878272,1.35966235529208,1.3216073789543439
Shadow Nidoking,Poison Jab,Sludge Wave,45,1.3121631780519714,1.335453455688524,1.4885661981871574,1.2964983866562125,1.4883304038812653,1.3055232745299679,1.5627598854194062,1.4002746377149586,1.57235529318345,1.3978449482452306,1.5751504527129476,1.4149846861362252,1.318505606181101,1.315343183415801,1.61178974876852,1.4996356536336997,1.5268666579800365,1.4015982334187438,1.3171849696936089,1.305911046052852,1.4777618022634855,1.285308414215246,1.3819929233730623,1.357875110209865,1.4563894859289692,1.4189639552912963,1.3577349210798113,1.3531280323224348,1.588098617124939,1.582806179383268,1.3632008107050657,1.3556973740381586,1.384607212342238,1.3850667645633252,1.57240087558661,1.6065534204764158,1.5227694307128137,1.4146107205478988,1.4290959440039288,1.3944992889924073,1.588528414261375,1.5834707507898234,1.3629274354366498,1.3697407069494147,1.3908002728387998,1.361158879852276,1.3211475887070538,1.3896030039381124,1.3666264801969588,1.3633157526610853
Vileplume,Acid or Razor Leaf,Sludge Bomb,45,1.3806158108997677,1.4205527126929496,1.3834497898750346,1.3662758811436575,1.384125621158302,1.370640391837461,1.389235118865874,1.4054546410136826,1.4344087203076814,1.4197450160217207,1.439505521029348,1.4286122543821926,1.4636445120960884,1.4515112441890163,1.625156776755633,1.5187625887520662,1.4968341730606298,1.4986316190730464,1.4031570714078578,1.4141882204242626,1.368263475464858,1.3189926809686663,1.462007567846875,1.4301890678558817,1.4386047234329773,1.503714921251715,1.416901328520407,1.4848608201263878,1.6511252942735977,1.680937734656703,1.3946500594176825,1.4528652121822856,1.3965408250994529,1.4686810718927954,1.6723700988543417,1.7390797593866585,1.435989786989721,1.464673191515066,1.443695821095803,1.4941952295899776,1.6190554735316476,1.6278778975251604,1.4094245748378789,1.4720946322917094,1.4423031504876345,1.454659792415189,1.4673630726855738,1.532386790932949,1.4201237833034226,1.4681693001437037
Muk,Acid or Poison Jab,Gunk Shot,45,1.4699742920638958,1.4934744618589457,1.5153652566198532,1.465611094371488,1.5186407514206692,1.4702073156971769,1.5411357582673428,1.5435558429415115,1.5012336123264982,1.5054454599777822,1.4695381665390546,1.492031742074023,1.5291076072071559,1.514901682769423,1.5938447106611247,1.556945772375114,1.5432840929223255,1.5526505050375943,1.5088666268460829,1.551316601756034,1.3617215895990138,1.3452575269903875,1.5289442629056482,1.5273697598854106,1.5130468712252874,1.5778934156565383,1.550459279168895,1.6280236438325855,1.7256898066960802,1.7491230493626844,1.4744159691400678,1.5504320439115709,1.5214230353055578,1.6093516892088593,1.7969779076587065,1.8754054744724467,1.4822911067394713,1.5389299216508021,1.5118886109511085,1.5426857240341225,1.77559180741782,1.7327298057562777,1.5414084502254866,1.60511531448431,1.5041152244897067,1.5882240577677276,1.5176871380914556,1.6207423942056067,1.5025491363128123,1.5843917381445107
Salazzle,Poison Jab,Sludge Wave,40,1.5044403524792005,1.491881548108348,1.7514313665769368,1.4565566279504802,1.7463344052537975,1.4702774112293986,1.4913014701216696,1.4887553615291056,1.5085097594135128,1.4858986400587129,1.7024498477315413,1.5650052387380053,1.5604144875658448,1.4999642020280988,1.8078593731896089,1.6745318497629658,1.7833566890069272,1.6365400963127148,1.4581594648791307,1.46184960836032,1.6695946013051157,1.4306887034816598,1.483469651252763,1.496608715271503,1.5259519047612076,1.5499612737353936,1.488932065563141,1.5402541487113937,1.7997063093669836,1.74757871436295,1.5248215646899386,1.515643902174274,1.4903425979766844,1.5544726094777777,1.7627494163680648,1.7847928020958201,1.4943933009530581,1.497041422676606,1.5519426436192059,1.5263114690704018,1.8162506160196366,1.8079018482821965,1.4945611111295407,1.5382897282965127,1.612190716732954,1.5873706988729683,1.5956761939832909,1.6065305733993607,1.4598478230284004,1.4822747206595197
Salazzle,Poison Jab,Poison Fang,40,1.6554422566045424,1.649669224918125,1.77260594027541,1.5969750694870866,1.7796645731210006,1.5949513778818787,1.6581119479442874,1.6597546689423264,1.660738803845213,1.6569848685978288,1.7880959554495754,1.7035227960705457,1.7134131777744548,1.6840801354291375,1.8989327636188624,1.8130063474370135,1.8762163501076419,1.7949373633616168,1.6198180191608642,1.619653345256402,1.741156002708903,1.572515100686003,1.6799202006138274,1.6540401811657295,1.6925832797705416,1.7281011758435958,1.6747338423673055,1.7442898948923182,1.9845190871827338,1.9198045523452478,1.6860513649055757,1.6844466622005525,1.6721789618467684,1.7441496412430253,1.9443512294211198,1.9932505288017013,1.6761574422782035,1.6714064185282422,1.734673968187401,1.719097694648973,1.9680473621682624,1.9518535906615961,1.6585988642581044,1.727377071123564,1.7545158939377008,1.7327317657717132,1.7587979271259495,1.7773305681742548,1.6047180550745663,1.6464684243917458
Salazzle,Incinerate,Sludge Wave,40,2.0394380112523054,2.097161618820699,2.657177690388263,2.124882005693266,1.8817374981590258,1.616502189132435,1.5260452630805073,1.5727037899890524,1.9293241200085023,1.992885473773707,3.1140221385682167,2.763255308115421,2.1364557682676413,2.1734193037167846,2.788829001034581,2.522635573532723,2.423104980291172,2.23506086025804,1.9584843838996986,2.01958217655307,2.4659323611666966,2.1799626921859736,2.4265072214348242,2.6575101416929336,2.4777323978512413,2.5282504073944474,1.493224185196237,1.5858041313466429,2.6727094554306263,2.514474456101865,1.9905437993780384,2.0053909902218017,1.4899288497470287,1.572540819050226,2.2895744553774917,2.4110824956764074,1.9919901961129463,2.0070726004110626,1.5616933456222843,1.5681105625880731,2.4952179877589824,2.545239862668497,1.518866244584794,1.5841419642561974,2.0907775277197316,2.1511974413601194,2.078395090142403,2.1281987443573525,1.892198316516832,1.989406014030783
Salazzle,Incinerate,Poison Fang,40,2.0939059330438576,2.1531842385767552,2.3390948788002155,2.124200208334604,1.8544546161709103,1.7131633267562933,1.6665511404178839,1.726894443268717,2.0467677030988694,2.119715579368676,2.7424537144293737,2.644436198322656,2.21664570010531,2.2412887477075194,2.4537544663657687,2.392774166104391,2.333494225343728,2.2687878849203766,2.0667768857299436,2.1561386665187836,2.3111073487455216,2.0985949376364417,2.4942816718619567,2.5950680432559787,2.5315970447980156,2.6415631648069766,1.6696201081550033,1.7609749979284552,2.5742425509062246,2.516752145745223,2.104382732500541,2.1441636201772245,1.6511233036643949,1.7576248617184491,2.4339176560858458,2.5691887377394864,2.141023398525612,2.176704792825471,1.7438874706585468,1.7475925838543618,2.507073511652621,2.522570340042839,1.6536749879158228,1.740974395434481,2.1651276401432233,2.202369212678922,2.1525794604829613,2.249826607357571,2.0122438174638995,2.125226909429623
Shadow Weezing,Acid,Sludge Bomb,30,1.6356326528188314,1.6088371761353795,1.758451732654032,1.544593454281666,1.7554438178940406,1.5515030573807094,1.6275361794746626,1.5975287897724404,1.6260519994064546,1.6010196150776623,1.5834843582681637,1.5704931840404286,1.617028634809234,1.5753988740099012,1.8771193164267854,1.7474603966939073,1.7774736273793108,1.6959825637795691,1.577384064911403,1.582851654460541,1.701460518111294,1.4735945685577718,1.6353957030758084,1.5995410893715123,1.5917511409240717,1.6334624940885714,1.5694646630717632,1.6342856702997561,1.8855638968644721,1.8346303180384085,1.6123533898051086,1.5807426359741463,1.5277404322021528,1.588382913050678,1.8353568844416925,1.8655908626721316,1.5611883497961578,1.5464871823805746,1.5751402261096281,1.5571930430985355,1.8567691140395144,1.8709407709274168,1.571048891554234,1.6088531855515678,1.6445825629220692,1.5947173851605607,1.536758058325864,1.598969254607579,1.563092541300903,1.5647598663678703
Skuntank,Poison Jab,Sludge Bomb,45,1.50009925677776,1.525397291176229,1.4106614902733536,1.417117656155853,1.4109715227880701,1.4164443860887685,1.4894581173852874,1.5029444925602047,1.5240387569230276,1.5202324452875289,1.456634871807508,1.4846217774179504,1.4920611954243514,1.48603723702735,1.5195451379522373,1.5415987828859083,1.5827348848790739,1.6091255534028333,1.5048204087810164,1.504792603692377,1.3045466063149225,1.3297724623291467,1.4928430521866896,1.5252037694961138,1.5313219711888304,1.6071831730353925,1.519598019226047,1.6087512608499508,1.6412530938206122,1.6723373304196478,1.5103272144326239,1.5572250605720137,1.4881401121980395,1.5751358618598499,1.7125528271349602,1.819231573859425,1.4584982503249855,1.5021889698426647,1.5400702268327815,1.594028904350283,1.5850277084588122,1.6791435522749834,1.4987623635567326,1.5862268208615151,1.5245918610959555,1.5397804178764578,1.5301703197826855,1.6408579623456496,1.4862442439869914,1.5248834063064545
Weezing (Galarian),Fairy Wind,Sludge,45,2.1027000064871637,2.149732079232975,2.0667135280703444,2.073419614760449,2.069256834024474,2.0765315218792337,2.129496243122708,2.14722343470018,2.2501157012861492,2.2836786191241996,2.1027314756699154,2.1146257931663004,2.1826363030801335,2.1895690234969365,2.4109058084568433,2.255703092239562,2.2419148362315786,2.2744058504808473,2.1341753422779455,2.156779415915987,2.0653128995276595,2.0092555535602936,1.9023385342711039,1.9447397311631918,2.224731112344235,2.3057542910018904,2.174548573079339,2.2715486293770533,2.4317351690944973,2.460149883676404,2.1394458480932474,2.2363673478976187,2.120711381545169,2.229155875727703,2.5230430910152504,2.6153032487239734,2.143461832243295,2.201712017642698,2.1456920590238213,2.209092213761857,2.415900588656192,2.3843250895344297,2.114382214483439,2.215519657535747,2.1737738642546147,2.268279384981217,2.2134245715568888,2.3284153063249287,2.103148338070624,2.211288966414907
Shadow Drapion,Infestation or Poison Sting,Sludge Bomb,50,1.355455090399374,1.3621339223490587,1.2515347524736407,1.2471816824234272,1.252132641535099,1.2482845600287702,1.355346514151957,1.3679668056423229,1.3685221115785506,1.3655952901355128,1.3695323768310703,1.3883979938317208,1.396320325317235,1.3896787655754268,1.383816426022751,1.402847797467705,1.4127146937897812,1.431358166444116,1.3532618026246925,1.3355176887732527,1.1790869691608599,1.1833102357191383,1.3797623637187522,1.3826686386750815,1.3849921998421666,1.4596114525789936,1.355056025281749,1.4334946647727693,1.4813090942133396,1.5080703039565178,1.3859079240587746,1.421064682242983,1.3391623937699009,1.4015597175918328,1.515806609849925,1.6251681215716824,1.3368524014464827,1.3746461630708107,1.384057221801701,1.434299715457358,1.4364851017964797,1.5296805139573735,1.3270846029025525,1.3862873892305538,1.407998943949125,1.4190769586812397,1.364864772399997,1.4620033739253546,1.352686613992987,1.3742469727635287
Shadow Nidoking,Poison Jab,Sludge Wave,35,1.4716922797810792,1.449208114965778,1.7057275872642659,1.43281591153602,1.7095070630483111,1.440887754761503,1.735209790911844,1.5220176859964392,1.6917443422672642,1.4949133142703601,1.7320831584718028,1.5684828544087461,1.4402534151092534,1.4200779198684843,1.7952430749076669,1.6472216242553122,1.666839689189063,1.5222171806630878,1.4685875284549652,1.4396950374848796,1.6761511832125304,1.4133139560321277,1.5079265147476613,1.4942027081748062,1.5568695927812488,1.5200240776340814,1.4660848984626196,1.4621451753537964,1.747648006499942,1.734684666839933,1.5029779721194574,1.457802712232914,1.519218394489759,1.4915015920809567,1.6584301647224233,1.7240105182664638,1.601005600677079,1.5306122408013825,1.5229746335162808,1.4558847221179063,1.7489572863760587,1.748833974406716,1.5045250523269103,1.4754437702587377,1.522096440587709,1.4764012013220134,1.4272472930531601,1.495645947464051,1.4747138276452136,1.4430131844970637
Naganadel,Poison Jab,Sludge Bomb,50,1.0502888465165632,1.0622988486259113,1.0265821541344613,1.0335000359360447,1.0300864885235101,1.0325328741388762,1.058760351121626,1.069814189691368,1.0820957774043611,1.0622804182090164,1.0876722470433933,1.071262818883029,1.06937261349252,1.0730846099454132,1.2121566669915236,1.114821305134704,1.1079688351169918,1.1220553182117328,1.0627836590803448,1.0592474833891552,1.0400012830516658,1.0004908075253394,1.1093224282287943,1.100524639672656,1.0692763825422877,1.1282994191792375,1.0571283849000777,1.1096538656531267,1.2266668181113967,1.2298663709626005,1.0617642150830997,1.0839472215449246,1.048239183414834,1.109478212574377,1.2397247326454968,1.2893501083386667,1.0443833847794672,1.0656951904736052,1.0613698811432073,1.0939112174465877,1.2305840190280741,1.2287936905759835,1.0663749022223006,1.1239757087895563,1.0825215498136709,1.0977133137457618,1.081823381476876,1.1422906676503135,1.079454949953897,1.0863739061240276
Beedrill,Poison Jab,Sludge Bomb,35,1.8511739023626106,1.8378648355245606,2.0027556978380585,1.7675747652199882,2.0170552050850525,1.7705923557815564,1.7825120826534278,1.779045361295113,1.808152749760376,1.7736690341649657,1.8924056865615793,1.883078613464879,2.0301469570054844,1.897080715678579,2.079372178748143,1.9749627909136778,2.0053041107524026,1.9418505859392334,1.8304511934044172,1.8072044448090172,2.039853785794256,1.77711869274751,1.8991127853971794,1.8731495250622106,1.8068356432439874,1.8410037935633872,1.7619509255993253,1.8355625266112354,2.3357507441149874,2.1806025628800296,1.8835321483279208,1.8561454165758728,1.7826047669421836,1.8658090500974303,2.106420261337864,2.177710335140011,1.8130194757849265,1.823331400744908,1.7967415944607021,1.84445839872658,2.261897480214983,2.1415880708922814,1.7538489324146782,1.8111385302564937,1.9930902560448713,1.9793800678607618,1.9133182966404438,1.8918910092726966,1.8708633323494808,1.8090715650729294
Shadow Drapion,Infestation or Poison Sting,Sludge Bomb,30,1.657052034260747,1.6253133932458337,1.5727523721438894,1.5031993813332984,1.5677474822195938,1.5027709854834816,1.5515715141117474,1.5510996896926912,1.6550528776935138,1.6569924082310339,1.5866783471727741,1.598535574352386,1.6502252682344336,1.6482206969139959,1.7064032552447865,1.5867627955524866,1.874231620824574,1.7316376889445588,1.562126080287386,1.574774699834055,1.5002865392580256,1.4252341904816357,1.6995843795679155,1.6919244083913065,1.6504114574106257,1.691776635104883,1.6096468925850176,1.6601691859516525,1.8122131542803936,1.7842893490253737,1.6478993398845345,1.651133958319326,1.5360499151973974,1.6167587787517872,1.7918449818750175,1.9053592310451393,1.6164236910758945,1.6298498998284263,1.5826484551185704,1.5946370231551423,1.6424009070920662,1.6996000860302665,1.555745066845735,1.6128409517999553,1.721932003511446,1.683128676438045,1.6532934027443,1.7052682749624757,1.6458477060918713,1.6090540880560757
Toxicroak,Poison Jab,Sludge Bomb,30,1.5811809149366922,1.5652349588581904,1.721388060423046,1.5278428781671913,1.729533811881373,1.5247223549040736,1.5819270390516942,1.578520035079165,1.5354231218091912,1.5431134674692901,1.5050291195603127,1.5291599676500065,1.6640053004019615,1.572283126735295,2.0655136053060406,1.760790135388533,1.7378719436879144,1.6227519054667423,1.5766357152127342,1.5664216198813317,1.7387551124106257,1.5154945264962245,1.621502700352466,1.6053180233711128,1.5371638538270187,1.5532960150746926,1.5550711637824277,1.6080521428525072,1.9812142071967924,1.8569922332773958,1.5617216870895543,1.5915847429000527,1.4965843795345573,1.5697486092448825,1.8542214221069626,1.8754623934767687,1.5284881383602373,1.5155060111282257,1.5610796426227063,1.531936986829956,1.9849373565111816,1.904130129853554,1.5370384875020624,1.586983108396349,1.6162227477104463,1.6176273518202957,1.5644477903090466,1.5878181638356756,1.570633512613017,1.538787595556224
Skuntank,Poison Jab,Sludge Bomb,35,1.6155537252072822,1.6082642113424543,1.5058492460171313,1.4901396559705484,1.508298954524278,1.4924367049584986,1.5596728960737454,1.579382953897919,1.6548113688043669,1.6432994718246312,1.5981489045691564,1.6370476004460486,1.6363160871136162,1.6297862377632228,1.6220956887424363,1.630514653771549,1.7890306324422909,1.7116344154815155,1.6537836679379214,1.662236414884272,1.404148524772426,1.41053633707002,1.6874617262597116,1.6846219124067332,1.6587548078401286,1.7308938226849528,1.6828103758649737,1.7369355720202473,1.828363469265627,1.8265859484774845,1.6281165121212884,1.6701961391062317,1.6042692609281177,1.6984231555339462,1.8754537772972155,1.981151454486174,1.6144440077745763,1.6440365750234347,1.6111043945657966,1.6593532329834926,1.6569642523498782,1.7395707389340112,1.6410836502221136,1.7179770772647236,1.7199297146315,1.6860530855428149,1.6313330301942681,1.7121206277840015,1.6553952232559217,1.6673482445710668
Mega Gengar,Lick,Sludge Bomb,50,0.8923257306887769,0.916272068653141,0.8811046302198179,0.8693631609087278,0.8807062949524644,0.8704515161616373,0.9433473976164618,0.9538792927448462,1.0081942177430028,1.0232219900621218,0.9488184214033786,0.9491426708974038,0.9550261791374254,0.9414452803827229,0.9168612871453816,0.8674705410644784,0.939847749648008,0.9640585355785549,1.0790468631277181,1.1293505047085723,0.7930920149360097,0.7550617461903699,0.9294517855540377,0.9444363789983902,0.9703870357057625,1.008043862436109,0.9336687650771844,0.9894769459350259,0.9537894442210412,0.9566639104651761,0.942290525330078,0.9935629223941073,0.9496074807766903,1.011305513946115,0.9468066121345181,0.984552887187121,0.9415541160890859,0.9713696505547837,0.9692667701045667,1.007623263420146,0.958424332332672,0.9200137487083575,0.9470894998153158,0.9999738044745388,0.9286665343609731,0.9840316692107931,0.9414288517892566,1.0193890918455384,1.0692857211641016,1.14480999786904
Mega Gengar,Hex,Sludge Bomb,50,0.914893625702079,0.9478699957890102,0.9078155873817342,0.9114271813372313,0.9074940413428775,0.9109443994249588,0.9427046185612946,0.9602098025855293,0.9851936843540581,1.007821567361409,0.9485132986232298,0.9527018335712254,0.9538406446949994,0.9594763504900006,0.9721574685272324,0.9356932739530717,0.9569171552304341,0.9869620073547589,1.0361609413986577,1.0839267717175267,0.8570278483948298,0.8425628500711181,0.9487807801069414,0.9831567165155102,0.9639091711700896,0.9906841005623728,0.9515133293517417,0.9822842563668113,0.9827225380638761,0.9954458090194196,0.955420901577262,0.9914633153527678,0.9522105388122191,1.005244245105608,0.9726590346027729,1.025228565376731,0.9396238438053499,0.965354322392437,0.959930415349611,0.9966002445318867,1.0037553392570138,0.9926421217264886,0.9335754194262322,0.9841682610993489,0.9555428495336609,0.99375516271227,0.9406359575597015,1.0024763890539015,1.0019624532202147,1.0685368362344747
Mega Gengar,Shadow Claw,Sludge Bomb,50,0.932163307704579,0.9615609938225973,0.9241473389852675,0.9131036815425863,0.9223394332338123,0.9163924372246619,0.9645886278900737,0.9769662104919037,1.1054988790811273,1.1231433853755177,0.9792514355589561,0.9768943265428041,0.9960633165980691,0.9860133525284129,0.9335866656014588,0.8616930674682165,0.9865523510884974,1.0077347103180478,1.1925272091277714,1.2533874646804128,0.7928060796248979,0.7457464018856027,0.9693638989702396,1.001152540817029,1.0005129948945752,1.0379553264353243,0.9862798545798342,1.0371723393783194,0.9332543721910931,0.9385892340050561,0.9792368817341053,1.0170537254117318,0.9882847265333466,1.0379640040741542,0.9552651547664932,0.9933114947994502,0.9796266330572925,1.0074427815784113,0.9947098131332999,1.033975706519296,0.946862192967962,0.9244658582145723,0.9773323401802901,1.0200568663513605,0.9811999339583344,1.0276871344087724,0.9920421330125285,1.0429645196666135,1.1744711222648117,1.2745223530466117
Mega Gengar,Sucker Punch,Sludge Bomb,50,1.0362692289890356,1.080131476810747,1.0219333093988685,1.0293234260334447,0.9584202494309999,0.9564217536501968,0.9966559820451457,1.0086651950213652,1.1016234274049626,1.1131491203092854,1.0706742416494877,1.070406683046141,1.087423769600109,1.0846004491667072,1.1200200320814142,1.0589866116713593,1.075223494328305,1.1126138152685154,1.0416755146155792,1.0930035541989342,0.9287715746613938,0.9147778562461397,1.0721075005056555,1.1058710570696066,1.0769791756649718,1.1383872816797682,1.0009999258922848,1.0618714899771202,1.146837090960529,1.160380015363718,1.0533897443541052,1.0946956656279037,0.9790637195336348,1.028741843940527,1.1832524968154403,1.252815842543235,0.9776871579715319,1.022223562496074,1.0191754685209171,1.0408787344651191,1.1499264089725016,1.130327066271396,1.011856670046701,1.0720130682825508,1.0809689035864807,1.1543002963792925,1.0841843050267383,1.1609341866843161,1.0592312491047995,1.0907952547609072
Mega Gengar,Lick,Sludge Wave,50,1.1266890028794212,1.1333218217533232,1.1589352935665722,1.0709699099812815,1.1585684207343443,1.074022857757911,1.2062488044200619,1.179218515772368,1.3262244484638,1.3103964323097346,1.2088390748081104,1.1671387461301788,1.2358820453372679,1.1756377995734861,1.1818293222274006,1.0247925408371663,1.1869475217482326,1.1898008548638086,1.4268163520108819,1.4941331648083087,0.9861590130487426,0.9156891450339592,1.1885783632752394,1.1842180049215763,1.1659788301300589,1.2067567082821498,1.1471154364257683,1.2089085925858174,1.1416195010728476,1.1472184600672886,1.1609947824227347,1.1937032647728074,1.17374230897486,1.249466911862005,1.1170021047629521,1.1737886679614868,1.1673858749094619,1.1826828619923722,1.1876452763157268,1.2065337451490796,1.1637922925121256,1.1022043599136413,1.162568368809859,1.210231642145525,1.1758305849113266,1.2042802901676812,1.1847163482980774,1.2452354034496895,1.4620218546591521,1.5043324321752263
Mega Gengar,Shadow Claw,Sludge Wave,50,1.1538159550408276,1.1549722205688242,1.1505364774896532,1.1006062844370994,1.1470903632344467,1.1082855281374073,1.1683548285657053,1.1652260733681266,1.4385949011225232,1.4267812583968655,1.1983680605245044,1.1676841590229452,1.2298311521318266,1.1900666268169628,1.117593650953604,0.9930467829149404,1.2007807434216824,1.2050819862843554,1.5722372736841013,1.6204385886876422,0.9252698233495539,0.8654233815497706,1.2453550639206934,1.2086134247974107,1.1980778888402472,1.232271332022448,1.1687605492181636,1.2229288365194368,1.0837388993880794,1.05767024063369,1.2097816815325633,1.219259409419829,1.1476648471095658,1.21134487172992,1.088621159966227,1.1296438025680784,1.1905359248670888,1.210114963379333,1.1771723983306606,1.2046975921231582,1.1133662539797282,1.063504079594995,1.1466353449018416,1.2040548581693689,1.1860705581046709,1.2324734617827477,1.1937209470130745,1.2582261823823124,1.6616277912491466,1.7201411416730192
