Attacker,Fast Move,Charged Move,Level,"Zacian (Hero), Tier 5","Zacian (Hero), Tier 5","Arceus (Fairy), Tier 5","Arceus (Fairy), Tier 5","Arceus (Grass), Tier 5","Arceus (Grass), Tier 5","Shaymin, Tier 5","Shaymin, Tier 5","Tapu Bulu, Tier 5","Tapu Bulu, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Tapu Koko, Tier 5","Tapu Koko, Tier 5","Tapu Lele, Tier 5","Tapu Lele, Tier 5","Xerneas, Tier 5","Xerneas, Tier 5","Mega Audino, Mega Tier","Mega Audino, Mega Tier","Mega Gardevoir, Mega Tier","Mega Gardevoir, Mega Tier","Mega Altaria, Mega Tier","Mega Altaria, Mega Tier","Azumarill, Tier 3","Azumarill, Tier 3","Bellossom, Tier 3","Bellossom, Tier 3","Gardevoir, Tier 3","Gardevoir, Tier 3","Granbull, Tier 3","Granbull, Tier 3","Grotle, Tier 3","Grotle, Tier 3","Kirlia, Tier 3","Kirlia, Tier 3","Ludicolo, Tier 3","Ludicolo, Tier 3","Meganium, Tier 3","Meganium, Tier 3","Mr. Mime, Tier 3","Mr. Mime, Tier 3","Tangela, Tier 3","Tangela, Tier 3","Togekiss, Tier 3","Togekiss, Tier 3","Togetic, Tier 3","Togetic, Tier 3","Wigglytuff, Tier 3","Wigglytuff, Tier 3"
Drapion,Poison Sting,Sludge Bomb,40,1.6707295230366166,1.7015543398331752,1.5578314430344138,1.5551440108009067,1.5594456285234868,1.5586321423836114,1.7223285795838452,1.7177450237803347,1.7403449783235545,1.7366209609823982,1.7476733257211308,1.7532709050028676,1.734204893087803,1.7153470164462328,1.752091842528107,1.7698863560161804,1.7581165847531652,1.765124351949586,1.6840613298611633,1.67036890266563,1.4872118938352585,1.4848174456373961,1.7304794979422968,1.7349754928794083,1.7160333324060504,1.7876396963977987,1.693547995159906,1.7810586415406797,1.9300279975728307,1.9851475005053003,1.7660288007672862,1.8124748983580956,1.7164021390067017,1.802425721162389,2.0020195802680347,2.114342903711256,1.694545906880861,1.746121281442624,1.7522837262326199,1.8162053051525084,1.8228999546655646,1.920893931106352,1.7141719443242296,1.80961255510518,1.7664123737552884,1.7840681281100548,1.7226877818991144,1.8210444861761745,1.7196664422761916,1.782040132958875
Muk (Alola),Poison Jab,Gunk Shot,50,1.4193932285163022,1.447027956502185,1.3790970203652184,1.333121638401987,1.3768322497517556,1.33002368172402,1.438580409304311,1.4447630005812457,1.447556156230825,1.4558882530108403,1.4608464535841608,1.4699198392528932,1.4889698506257678,1.4976064278884387,1.5058025873299188,1.460634735286258,1.5479732163028872,1.5124228869269412,1.4420578538399713,1.4487036551367978,1.2707716804192088,1.2858623006404788,1.4760371941997554,1.5223586913973257,1.4835848954390856,1.555824569289267,1.4570974437969957,1.5310761119440055,1.6397090674718215,1.6886067846693755,1.4609121161038525,1.5278084474366151,1.4589210220471642,1.5241060754656202,1.6852698904015433,1.7585881932883223,1.4539052955084582,1.5087807084069942,1.4881278624233114,1.5174398589209046,1.5386501632226948,1.6085916750303202,1.4567602978851222,1.5263006752480899,1.5008801065390098,1.5679574254475164,1.4812069745207679,1.5822156376215073,1.4476802985098758,1.5047112756254963
Slowbro (Galarian),Poison Jab,Sludge Bomb,30,1.7024321242532567,1.725538893583633,1.6669482157732358,1.6537407962723374,1.6718123745329703,1.6544831440217078,1.687579338905192,1.7054773294696377,1.7157000830161744,1.711632691528741,1.663143244526507,1.6772689258187632,1.7460709999248354,1.7385706917284698,1.764468416416314,1.7710160269799866,1.8682744151406776,1.8045060887477724,1.696925072988358,1.7131103303606536,1.8329434520478227,1.5774666601171978,1.7071037789306296,1.7178371648680357,1.7238908841740619,1.7999660321611013,1.7113527133309818,1.7946017887579957,1.9122001647054032,1.9070132855866784,1.761038971033171,1.783829803779888,1.715258041124158,1.80781690577497,1.9292605131261296,2.0513459027292074,1.7328910182566915,1.7674208270280243,1.7410592156384255,1.7988986292756433,1.939025832561073,1.9043802111371742,1.7016557778202401,1.7769869514417156,1.7228811920956797,1.7360836240402437,1.7335155692597084,1.8392909904871977,1.6523705459785296,1.7104458948780337
Muk (Alola),Poison Jab,Gunk Shot,30,1.8005762469078874,1.8106639451103446,1.6858306966638041,1.6429171773348918,1.685382173769831,1.6451684270652764,1.7681145374271063,1.7358130869691113,1.811827599067973,1.7716649354920213,1.7299535453474997,1.7214713216033732,1.7625033049815695,1.7181763799456307,1.8228447249141546,1.789384553639017,1.7710971201927814,1.7582317358573318,1.7877681486932957,1.7495218256466898,1.5052857433902034,1.4836774622848572,1.7946214542528403,1.7699265481427207,1.7483770657058062,1.8203372186489293,1.7505464877999233,1.8201153695627994,1.8986868090626767,1.912015282789776,1.729452701175636,1.7618810253053712,1.6965762508856446,1.7715792944030282,1.9697506823589923,2.046811181320645,1.670266413706962,1.7111992727192322,1.6858143584723542,1.7177291481283035,1.8424147940942208,1.92617603388659,1.7176494289269228,1.7960433382825933,1.7682539201976015,1.7852278341245802,1.6992572263521983,1.7902808991909174,1.725691929417685,1.7500053736170385
Nidoking,Poison Jab,Sludge Wave,50,1.5088469544806469,1.5411372084079988,1.550533764039208,1.4869875882826684,1.5586150050568,1.4942435976944237,1.6555231396049803,1.59281801674048,1.5899163020505396,1.527920545099439,1.5730712841425842,1.5417814879773524,1.4980357733392127,1.4809056955954567,1.7902182770022208,1.5966629186281895,1.584716182114844,1.5715336884437168,1.5514409159196458,1.5340899244294663,1.4384271423943085,1.3902352655071422,1.5563341338551298,1.5390099944174318,1.6049479940673412,1.6109274135101221,1.5072206723999777,1.5662971997094253,1.7624686532171914,1.7542323027689215,1.5110418062327406,1.5785282641045104,1.5101749890168719,1.5620145967849868,1.7701885409381126,1.804299310411902,1.6075164287001178,1.5795181388154362,1.5330299533412608,1.5516750210873154,1.7558136335499601,1.7029629302035527,1.552130313113988,1.5596220209555378,1.5331839484885272,1.5815506167416646,1.5200757578113775,1.6164455223643854,1.5325922772831642,1.5247906407070513
Mega Gengar,Lick,Sludge Bomb,40,1.000863731165409,1.0225084180128816,1.0,0.9705788124687169,1.0,0.971771902094237,1.000934309889858,1.0095349624021726,1.086705140185042,1.084058167468087,1.0,0.9964197720940037,1.0,0.9972666349204266,1.0,0.9478858207123455,0.9999999999999999,1.0167838355779513,1.1489301395222378,1.1907028564144453,1.0354290022823824,0.8276365705156337,1.0,1.0041400825680504,1.0,1.0533974061455436,1.0285533555173496,1.0844674756934998,1.0081350666409026,1.0093179096546896,1.0,1.0279508149578651,1.011571547611576,1.0555587482031903,1.0303706295326733,1.0755647758830522,0.9999999999999999,1.0118705183048982,1.0191795589435486,1.0540778302723104,1.0412020439247032,1.0138397517741582,1.0034691994302611,1.0663342770967257,1.0,1.0332204843594273,1.0009153265411108,1.0574021396807587,1.1395875871019172,1.1698796941648975
Mega Gengar,Hex,Sludge Bomb,40,1.0,1.0315146956017438,1.0194567277213054,0.993707113421971,1.0153913381593591,0.994412630149729,1.0229909859952613,1.0333230276309906,1.0780015961563914,1.0917353588745093,1.0137353498633517,1.0336278646238761,1.0264122846668537,1.0325310328704804,1.0378227029309333,1.004377100251027,1.0238695339173256,1.0451201790534577,1.1025911492782807,1.1456712444933794,1.1054949640222111,0.9265754894721315,1.026492234785034,1.0429293488037454,1.0101554504472188,1.0500226574270242,1.02139729719654,1.0716875775697228,1.0590255732276912,1.0753376676053719,1.0108773241548474,1.0377938178068356,1.0206592447691198,1.0729947001209088,1.0467186879386214,1.0782968554534704,1.01401254768086,1.0424371620016182,1.0241524797873092,1.0483831941426263,1.0757599352208804,1.086296395588255,1.0,1.052455387655619,1.0252753050995378,1.048637172246747,1.0,1.0692380925129836,1.1101487193697963,1.1736900094291458
Mega Gengar,Shadow Claw,Sludge Bomb,40,1.0286719488468783,1.0563258073923476,1.021111417280678,1.0005408009779413,1.017848762103022,1.0040729713388732,1.0511147617175136,1.0608491106649287,1.1869008498129128,1.186074618306069,1.0224262443327417,1.023905635341618,1.0414050162972857,1.0349252956181556,1.009619848548671,0.9274812671269748,1.0709672822931093,1.0897745464460735,1.2655478391941608,1.3084236709880088,1.0,0.805776443547203,1.0428972698058405,1.0529134845054737,1.065308477757654,1.1216789116821546,1.0535075815513146,1.114018870450507,1.0,1.0006658681146552,1.0602969993057811,1.0944348272674913,1.0403695170372698,1.0893329063587205,1.0,1.0402262008229104,1.034431017618054,1.0642646797508277,1.0597567468938613,1.1009077248120012,1.0,1.0006540144168403,1.0483334898582708,1.0944561786853169,1.0484942615719481,1.0771965236016208,1.0683675525916214,1.125173314887881,1.3159590797200023,1.417212152028635
Mega Gengar,Sucker Punch,Sludge Bomb,40,1.1182112183324073,1.1549656472722836,1.1308202975367108,1.1003973229922248,1.0499063438647145,1.0220352521255116,1.061471707215256,1.0678241635843382,1.2178935548167429,1.2129364064022716,1.131816573435424,1.1353255500244122,1.1554092980109794,1.156862971924606,1.1827451977413315,1.1270116429373,1.1657748669282832,1.1861457244915747,1.1127968491674072,1.1487914991910722,1.2774715319556365,1.0099201635864032,1.1604101242304432,1.1756724066412738,1.1489933550415155,1.2227336716452002,1.0708523639983816,1.1319508244747447,1.2182756020518313,1.242498913973071,1.1524209364097138,1.179506205441801,1.0523731874058115,1.118097453804699,1.2043248652171683,1.2571583644010793,1.044670277500304,1.0777137410989912,1.0652400770953923,1.0932764341119467,1.2180963196131,1.2120872236266886,1.0617900316040925,1.1057297981063625,1.1624307335435597,1.2200489052131478,1.1492309764167346,1.234787322649651,1.108660496475859,1.1816006911119932
Mega Gengar,Hex,Sludge Wave,40,1.332271073501378,1.3463430507358307,1.3677482714848386,1.2943429109260947,1.370441014717012,1.3114003897603654,1.3707338322441613,1.3387214741177016,1.4290677724795369,1.4189726848714053,1.3333274459814644,1.3270957127470844,1.4077443099353875,1.3577341978716204,1.3996688984316987,1.25423313675898,1.3402213930869333,1.3295376665415743,1.547652337803329,1.5549224827248374,1.5519489635331485,1.1911778521661427,1.3487656618510058,1.3670964237921865,1.3075711677469513,1.3394724955673434,1.2906507155469686,1.3276207001111313,1.3168277713995917,1.322830877940481,1.3148585113906168,1.3158039694414092,1.241920765711166,1.3029491494408623,1.2721770181034417,1.3386438263931204,1.2777218970050808,1.277279498547347,1.306101765806133,1.3241782787669092,1.3850669781350304,1.3759598561917374,1.2891440692946328,1.3332579551504824,1.336258939774696,1.3574222916791479,1.289014277601154,1.34292803723261,1.4873814641474339,1.5166201491241498
