Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latios, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Dragonite,Dragon Tail,Outrage,35,1.2405999144746853,1.4764489364413222,1.2597339490862032,1.3327258126229535,1.2895755934125912,1.2195223646491924,1.2115342318996358,1.2498126275708548,1.268531207156667,1.252482217487819,1.1620983022886515,1.2242752520922557,1.2833809167711463,1.2579744384190243,1.2942449886584122,1.2729224283625273
Dragonite(Unscaled),Dragon Tail,Outrage,35,2.7473693,2.6627228,2.48229,2.4813814,2.4466157,2.1418753,2.732189,2.408778,2.4802756,2.534263,2.4328263,2.3183634,2.4006138,3.630833,2.8470545,0.7505261
Dragonite,Dragon Breath,Dragon Claw,35,1.3060452940982568,1.411894452909018,1.2509427235646002,1.2840928255266546,1.3621651195390319,1.2967970415010768,1.2789630214957066,1.3092032408049492,1.3515214699088223,1.318091340068293,1.2157306036101085,1.3141104016508967,1.3470130638295235,1.2514967674009496,1.340087977880699,1.3489925444956568
Dragonite(Unscaled),Dragon Breath,Dragon Claw,35,2.8923013,2.5463011,2.464967,2.3908324,2.5843344,2.2775946,2.8842509,2.5232422,2.642541,2.667016,2.5451043,2.4884808,2.5196402,3.6121368,2.947899,0.7953777
Dragonite,Dragon Breath,Outrage,35,1.2759889259619002,1.5609070033106285,1.3082019043510806,1.3808281545298944,1.308684181189848,1.251426801822512,1.2563943475106734,1.2794435439671836,1.2900640240437693,1.284372472684982,1.196133017355049,1.2770347230411088,1.3150576186925393,1.289571768022863,1.3338990413678602,1.3006443748529004
Dragonite(Unscaled),Dragon Breath,Outrage,35,2.82574,2.8150399,2.5777955,2.5709424,2.482869,2.1979098,2.8333552,2.465886,2.5223773,2.5987895,2.5040772,2.418272,2.4598663,3.7220309,2.9342847,0.7668712
Dragonite,Dragon Tail,Dragon Pulse,35,1.3557139625269075,1.5621440115085181,1.3491538007726516,1.3924640004502966,1.3922303911685774,1.3103820703605162,1.3249405360535096,1.3543798036155341,1.3821759562102587,1.3486511069232046,1.2580258337659467,1.3165639019299062,1.3778855055024788,1.3705362807021726,1.395679441064157,1.3791004803236697
Dragonite(Unscaled),Dragon Tail,Dragon Pulse,35,3.002295,2.8172708,2.6584907,2.592607,2.641375,2.3014543,2.987937,2.6103115,2.7024777,2.7288504,2.6336484,2.4931269,2.5773883,3.955715,3.070188,0.8131296
Dragonite,Dragon Breath,Dragon Pulse,35,1.399339775277043,1.6506393085041555,1.404196169729572,1.4427188927518808,1.4144332869234573,1.3549422654635699,1.3726372725869875,1.3866544029498502,1.415789781091186,1.3922141844557683,1.2843345989151445,1.3873858369331928,1.424693569574713,1.3904493971319356,1.4467927295645262,1.410756493794435
Dragonite(Unscaled),Dragon Breath,Dragon Pulse,35,3.0989065,2.9768689,2.766951,2.6861758,2.6834989,2.3797164,3.0955002,2.6725147,2.7682006,2.8169956,2.6887252,2.6272397,2.6649446,4.0131893,3.182626,0.83179426
