Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Suicune, Tier 5","Terrakion, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Swampert, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Poliwrath, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Whiscash, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Shadow Shiftry,Razor Leaf or Snarl,Leaf Blade,40,1.1739714312180145,1.179176081980284,1.1750111846148639,1.2823875663865123,1.10577725655741,1.1144197233180468,1.1843712839811307,1.188868176517085,1.2452107448625247,1.114479439233675,1.2390178492840804,1.2952558584776428,1.1720839622670758,1.130639044249445,1.070310056773076,1.1895118223664953,1.1238073078036328,1.1462107160320731,1.1208631899016106,1.0476984590720821,1.1543556341067922,1.1155050469153152,1.1626427793150933,1.1835740215688402,1.1449502248729495,1.1480490310723377,1.1040892382983765,1.1315193631648741,1.1781043864729726,1.142858544889003,1.161376159075058,1.1628900593554383,1.1030259998297123,1.1629178033862975,1.14722106808917,1.0979689171528015,1.1550454325781088,1.2059200380924144,1.1462849464177636,1.157426915245717,1.0392454965760538,1.1226013969206634,1.0963919650630516,1.1198071370039842,1.1665762115556624,1.1482977661537488,1.1772840710396666,1.1065116733609988
(Unscaled),,,,2.8781977,2.8883529,2.8811615,2.5040855,2.348188,1.8256006,2.8425882,2.8061066,3.7279062,2.6232383,2.4873743,3.172687,2.9110284,1.7460582,2.84747,1.6944132,0.6196669,0.71391386,0.6683186,0.96251345,1.2074538,0.65900666,0.8464887,0.8740042,0.5513988,0.5821837,0.6946185,0.47537112,0.89205706,0.5473113,0.8354879,0.7877344,0.92627215,0.68337846,0.5839263,0.6315145,0.6749374,0.86012834,0.51151526,0.4280649,0.7808942,0.8538202,0.8346437,0.75966406,0.8229196,0.7470371,0.8477612,0.4053482
Carnivine,Vine Whip,Power Whip,40,1.4569534695060251,1.4581963341412643,1.4624694079882414,1.420391109731806,1.3693085108411887,,1.387278517983969,1.416532020244563,1.4087929990138939,,1.3984831463388647,1.4160802874943346,1.4455420114721378,1.4185901297465429,1.3734914013447521,1.4554747374620998,1.3476570167987063,1.3848134219038333,1.373127101140706,,,1.38205226716323,,,1.381535019045377,1.3950704683626929,,1.3755103958647,1.4080947974223244,1.3961735179687982,,,1.3490181368267309,1.361049575077474,1.41171100227202,1.3429369359564132,1.390951031114847,,1.3939154455529326,,,,,,1.4238923548975155,1.3524399055067042,,1.3584632208463523
(Unscaled),,,,3.571978,3.5718038,3.5860174,2.7735615,2.9078133,,3.3295822,3.3434656,4.217638,,2.8075068,3.4686425,3.5901983,2.1907442,3.6540585,2.073267,0.74309754,0.86252683,0.81873184,,,0.8164747,,,0.66533613,0.70745,,0.57787603,1.0662051,0.66862303,,,1.1328454,0.79980886,0.71854955,0.7724118,0.8127861,,0.62201726,,,,,,1.0044341,0.8798439,,0.49764556
Venusaur,Vine Whip,Frenzy Plant,40,1.2208091435895632,1.224290672215629,1.2239981256339139,1.2225898376816,1.2133209309089117,1.2285316017183887,1.2765976329142088,1.2413520857806557,1.235838461105258,1.2035118420208526,1.2165146537017921,1.2091468537201189,1.2396904423987956,1.2426500389267474,1.2659659241261516,1.2156139760934137,1.2292140581893785,1.1979486903171208,1.210648256152794,1.204115258499791,1.2429377261775139,1.2056198136204566,1.1751978407656707,1.2300736994730412,1.1857877854018903,1.2415880672126396,1.2217986107443142,1.2317297257269888,1.2411760078909984,1.1930882185890572,1.1784669151181173,1.2302872022577123,1.2323375077626761,1.2260430700881375,1.210054418148373,1.1763721818792867,1.2151732626163196,1.2659076551415627,1.213761982858274,1.236666543731234,1.2430121899384905,1.245650614162035,1.2232849533125807,1.21500105470569,1.1999701168540164,1.2261334857680557,1.2044633856645564,1.2518931574772243
(Unscaled),,,,2.9930286,2.9988596,3.0012789,2.38732,2.5765638,2.0125344,3.063939,2.9299853,3.6998475,2.8328009,2.4421983,2.9617658,3.0789382,1.919038,3.367996,1.7315947,0.67778814,0.7461387,0.72185326,1.1062125,1.3001105,0.71224374,0.8556297,0.90834165,0.57106584,0.629618,0.7686733,0.51747125,0.9398147,0.57136613,0.8477829,0.8333888,1.0348622,0.72047347,0.61590797,0.6766094,0.7100724,0.9029148,0.54162604,0.45737103,0.9340055,0.9474081,0.93124276,0.8242425,0.84647614,0.79767394,0.867333,0.45860577
Simisage,Vine Whip,Solar Beam or Grass Knot,40,1.3230853782030996,1.3278137651987147,1.3286838369366756,1.3488028342665404,1.2569153931036576,1.2695420631347623,1.3424016346108176,1.3882893815523223,1.265998237554911,1.284713858013008,1.3367380856871836,1.289254717168312,1.3090057084481868,1.3122118091635566,1.3202166503283697,1.3624636265927956,1.2358461268379595,1.2696155729812024,1.2694692777484744,1.27153069163895,1.3300542324120854,1.2770608590889814,1.2785603474597118,1.3029245648524352,1.294955227033077,1.2949681230982812,1.3273124613465808,1.2664396555887585,1.3435496360154429,1.297185322599775,1.2829469673353464,1.3203945357035354,1.2909992253697653,1.2577888508982114,1.3100025587830504,1.2331695139890895,1.292617086263713,1.3359367598850045,1.301357860066605,1.3344636723633,1.2464737056426591,1.289611686138173,1.2650242727236913,1.2679336450820275,1.2959107650702033,1.2435238146358853,1.3111596723284336,1.2531228963627858
(Unscaled),,,,3.2437768,3.252436,3.2579713,2.6337729,2.6691394,2.0797162,3.221874,3.276804,3.7901397,3.0239325,2.6835513,3.1579874,3.251092,2.026463,3.5123255,1.9407763,0.68144506,0.7907762,0.7569255,1.1681466,1.3912342,0.75444895,0.93088514,0.962138,0.62364,0.6566874,0.8350555,0.5320535,1.0173317,0.6212179,0.9229453,0.89442694,1.0841237,0.7391286,0.66678077,0.7092773,0.7553258,0.9528634,0.5807146,0.4935405,0.9366065,0.9808437,0.9630174,0.86015135,0.91415405,0.8089874,0.9441649,0.45905626
Shadow Vileplume,Razor Leaf,Solar Beam,40,,,,1.1904662041727896,1.2132282564875745,1.1526896751695879,,1.3318927363041,1.1592298525143034,1.1942970006954774,1.2605177757362491,1.1498249374537501,1.2552621365774927,1.2171250620584237,1.2901348135028505,1.3060241031519992,1.1429959869394175,1.1223110087909878,1.2279737393575048,1.2155160177521724,1.220489979857516,1.2017943470601078,1.169710752865544,1.2468911356825676,1.183620037328698,1.2568661840597743,1.266153650255303,1.2160447101552747,1.2291928641657515,1.1903943605386378,1.2101007855575925,1.148467058373882,1.1190507236927891,1.1430339027941605,1.179257055455257,1.119349175829382,1.216836425605437,1.2061571202451096,1.232938320908259,1.2302239789851794,1.1773320920674277,1.1932677853759976,1.1593831243582957,1.1540035994134923,1.2020007815264888,1.1626149601103932,1.2561377177113537,1.1546326288497415
(Unscaled),,,,,,,2.324593,2.576367,1.888293,,3.14369,3.470497,2.8111112,2.5305362,2.8164587,3.1176126,1.8796195,3.4322953,1.8603804,0.63024753,0.699028,0.73218364,1.1166863,1.2766302,0.70998377,0.8516347,0.9207604,0.57002187,0.63736564,0.7965785,0.5108817,0.9307411,0.57007605,0.87054014,0.77796435,0.939729,0.67169386,0.60023236,0.6438117,0.71104425,0.86029744,0.55018324,0.4549883,0.88465315,0.90756714,0.8825966,0.78286254,0.8479086,0.7563513,0.90454364,0.42297634
