Attacker,Fast Move,Charged Move,Level,[Average],[Average T5/Mega only],"Arceus (Water), Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3"
(Boss weights),,,,,,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.333333333,8.75,8.75,8.75,8.75,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
Zarude,Vine Whip,Power Whip,40,1.009992569,1.006828779,1,1.008762755,1,1.036037054,1,1,1,1.023670229,1,1,1.05368286,1.028210865,1,1.021797662,1.023856727,1.046624324,1.049014369,1.029864727,1.015370036,1.048671665,1.009577651,1.003300764,1,1.011907255,1.058847847,1.046004585
Shadow Tangrowth,Vine Whip,Power Whip,40,1.01633206,1.017917811,1.032465026,1,1.016304895,1,1.058888841,1.010576394,1.014723948,1,1.00535109,1.041378788,1.046749411,1,1.005941878,1,1,1,1,1.023760421,1.00784356,1.025731544,1,1,1.007511354,1,1,1
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.045500193,1.049924939,1.146235371,1.005642554,1.032702456,1.027046113,1.086040882,1.020576269,1.037773118,1.053417947,1.015643646,1.075061223,1.034140472,1.009656929,1.016041259,1.00503013,1.030884252,1.013874545,1.034336356,1,1,1,1.024458728,1.023343399,1.045976349,1.001795953,1.012748697,1.074539036
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.070476857,1.074561715,1.065675478,1.023758276,1.042138988,1.032721389,1.130671343,1.048556206,1.24809178,1.042614932,1.028683257,1.077760329,1.050793688,1.027089268,1.07712882,1.025876066,1.103751704,1.042700825,1.080240596,1.031132969,1.004498359,1.047619209,1.025040681,1.017746959,1.073000065,1.009407425,1.063987202,1.077255463
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,40,1.097863598,1.101335904,1.119015547,1.093123524,1.103874072,1.103082478,1.08821238,1.10854144,1.092226856,1.0948286,1.079468817,1.131358377,1.090751,1.05990303,1.062959558,1.082848841,1.058565359,1.117204119,1.075563001,1.073215149,1.054470241,1.096004369,1.089127329,1.054528442,1.050444829,1.057618321,1.104633812,1.123157744
Shadow Exeggutor,Confusion or Bullet Seed,Seed Bomb or Solar Beam,40,1.111542947,1.120254134,1.202245404,1.113457211,1.063914066,1.043239583,1.170548098,1.092004851,1.154568757,1.119769215,1.154426519,1.086647846,1,1.008780704,1.135482075,1.100635204,1.077934498,1.070190599,1.070582418,1.079324313,1.049637248,1.039328031,1.089673177,1.016960602,1.055290902,1.048737179,1.054062402,1.098253563
Shadow Victreebel,Razor Leaf,Leaf Blade,40,1.125827162,1.129657901,1.310256391,1.064734914,1.09819868,1.090807594,1.118333831,1.092800866,1.185698285,1.121566254,1.084390241,,1.112585573,1.077847666,1.12902722,1.091235998,1.119218757,1.104623353,1.145536521,1.063959215,1.066137555,1.110473573,1.094576371,1.080697423,1.130911114,1.090642688,1.103885453,1.18030933
Shadow Shiftry,Razor Leaf or Snarl,Leaf Blade,40,1.131920906,1.131154091,1.215032363,,1.109299983,1.104063374,1.161968993,1.110604845,,1.133795805,1.110542035,1.106077669,1.126201729,1.121217597,1.132207699,1.099276883,1.174508295,1.135547215,1.157223127,1.124426014,1.148299983,1.149837478,1.11835562,1.069251145,1.164730284,1.109237088,1.142837206,1.193128573
Shadow Magnezone,Charge Beam or Spark,Wild Charge,40,1.139405509,1.141911112,1.122512001,,1.161833335,1.150419024,1.18750419,1.145057337,1.114793681,1.150272518,1.141103298,1.106455593,1.138904036,1.093302489,1.085856291,1.13866119,1.102345042,1.157420578,1.111103639,1.105047527,1.08271494,1.187112243,1.129140104,1.077784673,1.12266544,1.104194154,1.182705581,1.206627541
