Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,9.375,9.375,18.75,18.75,18.75,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231,1.9230769230769231
Victreebel,Razor Leaf,Leaf Blade,40,,,,,,,,,1.3418764032941088,,1.2890086844432795,,,1.2394857873273695,,1.2997920558370382,,
Victreebel(Unscaled),Razor Leaf,Leaf Blade,40,,,,,,,,,0.6846032,,0.56067383,,,0.7315341,,0.59018904,,
Cobalion,Metal Claw,Sacred Sword,40,,1.2883771898269019,,1.207686806427599,,,,,,,,,,,,,,
Cobalion(Unscaled),Metal Claw,Sacred Sword,40,,2.9547207,,3.5901425,,,,,,,,,,,,,,
Toxicroak,Counter,Dynamic Punch,40,,,,,,,,,,,,,1.2366820124674394,,,,,
Toxicroak(Unscaled),Counter,Dynamic Punch,40,,,,,,,,,,,,,1.000587,,,,,
Gyarados,Waterfall,Hydro Pump,40,1.2327770377171765,,1.1500713194372119,,,,1.1429666922887225,1.1538106536990074,1.2314737736520291,1.158308612169158,1.1654264331487907,1.183546838499638,,1.150547601829643,,1.1554358392491633,1.1879219695900463,
Gyarados(Unscaled),Waterfall,Hydro Pump,40,3.02237,,2.8102953,,,,1.0701628,0.89729345,0.6282776,0.7576053,0.50691986,0.92950064,,0.67904353,,0.52464205,0.84335166,
Torterra,Razor Leaf,Frenzy Plant,40,1.2238709672945787,1.3150887110832976,1.168508708624035,,,,1.1731402675651796,1.1696982653173083,1.175372096510373,1.1743580919047854,1.163275777991675,1.1746232707431241,,1.214780251023566,,1.1600835300382633,1.1960412492009873,
Torterra(Unscaled),Razor Leaf,Frenzy Plant,40,3.0005352,3.01598,2.8553486,,,,1.0984144,0.9096489,0.59965545,0.76810265,0.5059844,0.9224925,,0.7169531,,0.5267524,0.84911585,
Weavile,Ice Shard or Snarl,Avalanche,40,1.2141550835365245,,1.2914939473113973,,,,1.0293058430783122,1.1878871499878003,,1.1529943887556786,,1.1700496516338281,,,,,1.109901053415042,
Weavile(Unscaled),Ice Shard or Snarl,Avalanche,40,2.976715,,3.1558733,,,,0.96374184,0.923794,,0.75412947,,0.9189006,,,,,0.7879616,
Entei,Fire Fang,Iron Head,40,,,,,,,,,,,,,,,1.328633460038013,,,
Entei(Unscaled),Fire Fang,Iron Head,40,,,,,,,,,,,,,,,0.74650294,,,
Omastar,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Omastar(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Chandelure,Hex or Fire Spin,Energy Ball,40,,,,,,,1.467881807881148,,,1.5356280607777524,,,,,1.3620094554190498,,,
Chandelure(Unscaled),Hex or Fire Spin,Energy Ball,40,,,,,,,1.3743817,,,1.0043955,,,,,0.7652555,,,
Metagross,Bullet Punch,Meteor Mash,40,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,1.0
Metagross(Unscaled),Bullet Punch,Meteor Mash,40,,2.2933662,,2.972743,1.9361323,0.5715839,,,,,,,0.80908996,,0.5618577,,,0.684832
Mamoswine,Powder Snow or Mud-Slap,Avalanche,40,1.136256620521773,,1.3031709372730664,,,,1.071172282211725,1.0843075526414683,,1.1048048372194856,,1.1062520770946216,,,,,1.0147735311194517,
Mamoswine(Unscaled),Powder Snow or Mud-Slap,Avalanche,40,2.7857332,,3.184407,,,,1.0029415,0.8432424,,0.72261053,,0.86879706,,,,,0.7204269,
Leafeon,Razor Leaf,Leaf Blade,40,1.2634307606946937,,1.2637568554542948,,,,,1.2051033444744017,1.2277303166409732,,1.2076493580071581,1.1986112465776482,,1.197373361464311,,1.2163414336562979,,
Leafeon(Unscaled),Razor Leaf,Leaf Blade,40,3.097523,,3.0880954,,,,,0.93718266,0.62636775,,0.52528536,0.9413315,,0.7066797,,0.5522971,,
Floatzel,Waterfall,Hydro Pump,40,,,,,,,,,,,1.324865052975626,,,1.2384912628373566,,,,
Floatzel(Unscaled),Waterfall,Hydro Pump,40,,,,,,,,,,,0.5762701,,,0.73094714,,,,
Blaziken,Counter,Focus Blast,40,,,,,,,,,,,,,1.190738790035165,,1.2038544635056172,,,
Blaziken(Unscaled),Counter,Focus Blast,40,,,,,,,,,,,,,0.9634148,,0.6763949,,,
Exeggutor (Alola),Bullet Seed,Solar Beam,40,1.3506026346628741,,1.2771831615330518,,,,,1.259733829511112,1.2432409123384036,,1.2056667622988537,1.260800573704676,,1.1789761155529832,,1.1969778722920679,1.1902102519851716,
Exeggutor (Alola)(Unscaled),Bullet Seed,Solar Beam,40,3.3112402,,3.1209037,,,,,0.9796676,0.634281,,0.524423,0.990172,,0.6958218,,0.5435048,0.8449762,
Meganium,Vine Whip,Frenzy Plant,40,,,,,,,,,1.3568590516941454,,,,,,,1.3573744637872796,,
Meganium(Unscaled),Vine Whip,Frenzy Plant,40,,,,,,,,,0.6922471,,,,,,,0.61633515,,
Kingdra,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Kingdra(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Tornadus,Air Slash or Bite,Grass Knot,40,,,1.3282185773475716,,,,,,,1.1768680233072815,,,,,,,,
Tornadus(Unscaled),Air Slash or Bite,Grass Knot,40,,,3.245613,,,,,,,0.7697443,,,,,,,,
