Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
Krookodile(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Shadow Salamence,Fire Fang or Bite or Dragon Tail,Hydro Pump,40,,,1.156173751800166,,,,1.1525208640026214,1.1877684846469274,,1.1056620415962766,,1.228236997455009,,,1.3159146573485492,,1.2814987936069155,
Shadow Salamence(Unscaled),Fire Fang or Bite or Dragon Tail,Hydro Pump,40,,,2.7050366,,,,0.9510616,0.86501366,,0.6628612,,0.8931172,,,0.6246265,,0.76992345,
Jirachi,Confusion,Doom Desire,40,,,,,1.1592787865723877,,,,,,,,,,,,,
Jirachi(Unscaled),Confusion,Doom Desire,40,,,,,2.0872352,,,,,,,,,,,,,
Haxorus,Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Haxorus(Unscaled),Unknown,Unknown,40,,,,,,,,,,,,,,,,,,
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.1796959216098988,,,,,,1.168418805013856,1.1243134566277053,,1.1646865667459307,,1.1531209766076997,,,,,1.1816570328322673,
Darmanitan (Galarian Standard)(Unscaled),Ice Fang,Avalanche,40,2.77095,,,,,,0.9641806,0.8188014,,0.6982473,,0.8384963,,,,,0.7099386,
Kingler,Bubble,Crabhammer,40,1.1692976361379184,1.4163910598310252,1.2480862270838136,,,1.342257873671334,1.1562648600123218,1.1346681626363047,1.204940100044187,1.1914548121548878,1.1573631029333655,1.1532432340998562,1.3136085430448734,1.0695098903890794,1.2773992208244962,1.1467078886177036,1.2125834055704467,1.3179685556360805
Kingler(Unscaled),Bubble,Crabhammer,40,2.7465258,2.7444894,2.9200792,,,0.6436552,0.95415115,0.8263424,0.5710676,0.71429527,0.46194065,0.8385852,0.8879289,0.5901916,0.60634434,0.48890877,0.72851914,0.7798072
Shadow Magmortar,Fire Spin,Brick Break,40,,,,,,,,,,,,,,,1.4666466443767006,,,
Shadow Magmortar(Unscaled),Fire Spin,Brick Break,40,,,,,,,,,,,,,,,0.6961746,,,
Latios,Zen Headbutt,Solar Beam,40,,,,,1.3468642820798973,,,,,,,,,,,,,
Latios(Unscaled),Zen Headbutt,Solar Beam,40,,,,,2.4249754,,,,,,,,,,,,,
Empoleon,Waterfall or Metal Claw,Hydro Cannon,40,1.1542981555370502,1.3423629364766927,1.2592602708085594,1.3711197226686025,1.2172541340960568,1.3556245603783859,,1.1993123135044124,1.2334781861396469,,1.2170852750468517,1.220359021709025,1.3448484484012673,1.185140015914215,1.318515827531736,1.2302804728226426,,1.3223978558448442
Empoleon(Unscaled),Waterfall or Metal Claw,Hydro Cannon,40,2.711294,2.6010478,2.9462225,3.3694184,2.1916175,0.65006495,,0.87342066,0.5845929,,0.48577768,0.8873887,0.9090454,0.6540002,0.6258612,0.52454066,,0.7824279
Shadow Sharpedo,Waterfall,Hydro Pump,40,,,,,,,1.194892906117926,,1.2376414471259123,,1.2263201898118918,,1.3640975056674247,1.0647539285839194,,1.1993051389135811,1.2770612876981193,
Shadow Sharpedo(Unscaled),Waterfall,Hydro Pump,40,,,,,,,0.98602706,,0.58656603,,0.48946363,,0.92205673,0.5875671,,0.51133406,0.7672574,
Zacian (Hero),Metal Claw,Iron Head,40,,,,,1.536077916972445,,,,,,,,,,,,,
