Attacker,Fast Move,Charged Move,Level,Arceus (Ghost),Arceus (Ghost),Arceus (Psychic),Arceus (Psychic),Articuno (Galarian),Articuno (Galarian),Calyrex (Ice Rider),Calyrex (Ice Rider),Calyrex (Shadow Rider),Calyrex (Shadow Rider),Cosmoem,Cosmoem,Cosmog,Cosmog,Deoxys,Deoxys,Deoxys (Attack),Deoxys (Attack),Deoxys (Defense),Deoxys (Defense),Deoxys (Speed),Deoxys (Speed),Jirachi,Jirachi,Lunala,Lunala,Mew,Mew,Necrozma,Necrozma,Necrozma (Dawn Wings),Necrozma (Dawn Wings),Necrozma (Dusk Mane),Necrozma (Dusk Mane),Necrozma (Ultra),Necrozma (Ultra),Solgaleo,Solgaleo,Spectrier,Spectrier,Victini,Victini,Azelf,Azelf,Cresselia,Cresselia,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Lugia,Lugia,Mesprit,Mesprit,Mewtwo,Mewtwo,Mewtwo (Armored),Mewtwo (Armored),Uxie,Uxie,Blacephalon,Blacephalon,Hoopa,Hoopa,Mega Banette,Mega Banette,Mega Metagross,Mega Metagross,Mega Alakazam,Mega Alakazam,Mega Gengar,Mega Gengar,Mega Slowbro,Mega Slowbro,Mega Mewtwo Y,Mega Mewtwo Y,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Alakazam,Alakazam,Banette,Banette,Braviary (Hisuian),Braviary (Hisuian),Claydol,Claydol,Drifblim,Drifblim,Dusclops,Dusclops,Espeon,Espeon,Gengar,Gengar,Golurk,Golurk,Gothorita,Gothorita,Grumpig,Grumpig,Haunter,Haunter,Hypno,Hypno,Jynx,Jynx,Kadabra,Kadabra,Lampent,Lampent,Marowak (Alola),Marowak (Alola),Metagross,Metagross,Metang,Metang,Raichu (Alola),Raichu (Alola),Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Wobbuffet,Wobbuffet,Xatu,Xatu
(Boss weights),,,,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,0.5208333333333334,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.0416666666666667,0.0,1.0416666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,4.375,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Elite Tier,Elite Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Golurk,Mud-Slap,Poltergeist,40,1.939902092163041,1.9197518863346188,1.863991550596907,1.8308046182736986,2.369892244496255,2.4195537696762455,2.102333594864157,2.0685734092925707,3.314992463792935,2.2970810493639404,2.0176058076159813,2.127018502116472,2.0004457516279905,2.1528263943998436,1.8860349156374976,1.8943962542538797,1.7706948717743989,1.7521164848626052,1.9650175101155336,2.0447261139477226,1.912215101392521,1.94835332309575,1.6714759292439212,1.6349719556634303,2.2894224926030837,2.213450184134237,2.145009606538391,2.0857479281293534,2.0599677109264376,2.1895039220958825,2.4678655882604743,2.600835669672335,1.6306209920541137,1.711013323906572,2.0363703009266034,2.089796486642071,1.8687125497743904,1.6844799603070597,1.9860362839861276,1.8529551158651067,1.6274666205177097,1.6035034051519808,1.8192103260686288,1.801704383630892,2.0729891726851926,2.046420752730954,2.144219962129541,2.147646804816308,2.1099671866276113,2.1232940687632937,2.04889951622378,2.03083659428254,2.516167144819165,2.039684602084484,2.6917242000755297,2.6666623052725127,1.9146976528688522,1.8944260200663567,1.9230754620266517,1.9291068816298025,1.993094719098343,2.0073764192699604,2.0404142625225132,2.059329187193459,2.2314268475637595,1.520538842867393,3.512521328613717,2.3652566310512793,2.324510823992418,1.8211246881913161,1.5286141195028062,1.421878686712891,2.406269360211344,1.819509845462926,1.8022274325815422,1.4020543853785519,2.1717446114547068,2.089174947974464,2.4451167290218474,1.9908047319073043,1.9163055104665991,1.9205596283556439,2.065592299054423,1.821447924389527,1.937069423760574,1.9635609312970896,2.145590913916366,2.107876648477402,2.7563479103675688,2.650900011588584,1.9775277079950788,1.999902080928629,2.932226274502702,2.8691730876933716,2.0299905315485787,2.120152603142344,2.0574979905937454,1.9582257145086093,1.6348514375481602,1.6353855394818841,2.0637183788406617,1.999984092226025,1.9025068986867264,1.955112493525766,1.9583075137458565,1.9384955909980623,1.6967355552634307,1.6964711599950466,2.0248012230245496,2.062356643082415,2.068546368106246,2.0745116648116015,2.1111075785215183,2.064286309973487,1.7385882353569266,1.7113678934149381,1.648400495377047,1.6627779164282837,1.5854175901933705,1.5757395831826833,1.5714849200135734,1.628508768385119,1.6410185848085128,1.626430559505713,2.1614514244715988,2.0711289516273683,2.0395290976336717,2.0038484792627598,2.1341320847802443,2.068093237227649,2.0431877555496185,2.177271607473408,2.715704344297413,2.7922474393115646
Shadow Gardevoir,Charm or Confusion or Charge Beam,Shadow Ball,40,1.5688746634631066,1.5149827125542927,1.516324528298369,1.4449260001388968,1.339492638601353,1.3231488971258623,1.539880267286908,1.489370716263792,2.2462190775310846,1.5287107667947566,1.6189918405999861,1.7015687219370685,1.5966597148027233,1.7158781117602042,1.7074303741308594,1.5098164215242105,1.5646835950410225,1.3861184936612285,1.6247098289941297,1.6676339441101176,1.568303884627554,1.6059218983667798,1.7037520615526005,1.689068436984218,1.8158526461202302,1.4645885288853322,1.6474886344163955,1.6460179413487555,1.759375084097108,1.8479778646223997,1.909536199395586,1.943938983911489,1.833916258383297,1.8424845615264998,1.516264973849685,1.527150201845868,1.809803528959738,1.6382794350152514,1.893829825241721,1.4299579719361277,1.6422080241936936,1.5982963356086528,1.40722181060794,1.3898874217316093,1.5896325785834275,1.592644088863556,1.3563784647199604,1.37985788810406,1.4082146674012472,1.3348273856913784,1.3124272440197284,1.3145651681816626,1.4219063985514955,1.2982560615652496,1.4270134317699994,1.442750626930939,1.4313133747189482,1.4496813927070917,1.521860760601157,1.5100154740993796,1.6009959768633237,1.618446128769496,1.5831018249242488,1.6174122020594697,1.9978413019372514,1.4216195942860872,1.9048531300656972,1.538915441872984,1.7984333841012219,1.4624446248214404,1.5740345679305727,1.3844102823247055,1.6524285684075812,1.390663316575043,1.7188052068602069,1.2859119222944808,1.4883289257586567,1.494552698807261,1.4596542944245972,1.4483638934239134,1.2550311535756236,1.2593128976511447,1.2640149961906986,1.1501020225054908,1.570129657976416,1.5475155298292864,1.673837623430096,1.6719470991858396,1.5157795008480737,1.4766029856406906,1.5661603828069215,1.585837260661377,1.5302447877115828,1.5202034140316187,1.604399122641303,1.6630810789773391,1.4725477070109263,1.4870063520868206,1.584460462777666,1.4179838394700106,1.6129014106933848,1.564696277773538,1.486310647141385,1.520815621641861,1.4828780786784304,1.4915350175081392,1.4179654360387486,1.3997240162531057,1.5824241504111136,1.621894642765624,1.589154531999382,1.5921113705762315,1.598429924251225,1.5841231809643206,1.623784665544282,1.6220833374486243,1.5872483227816299,1.6137740643525402,1.6816503442651032,1.5948170962688437,1.5851102117895604,1.615102825746589,1.6303519050654638,1.639585857892414,1.4716769774590235,1.4904549865883543,1.4419314693572034,1.4694580956505714,1.4970338330785244,1.4850830074224857,1.6552872452750345,1.7378656668205028,1.4834033164500233,1.501130480525352
Shadow Darkrai,Snarl,Brutal Swing,40,0.8946058691158068,0.8782368509054553,0.8568241467981247,0.8434449308941554,0.8150134954581877,0.826107864856605,0.8624127477290982,0.8508632322038678,0.7894955578444341,0.7867751223357978,0.9698794490220523,1.0235979615007094,0.9417086507527019,1.007877199116155,0.9632865735172824,0.8583801277844927,0.8234199754407432,0.7408097975442495,0.9450427649174267,0.9766599721579301,0.9117671530618744,0.9317250816824558,0.9396608476967894,0.9311756499267192,0.8319757653442431,0.7814678603568452,0.9597815128395142,0.9552417545914567,1.046980482585127,1.0860278895695978,1.031350996023385,1.0569910577834283,1.037201470713819,1.0645556703559462,1.0571005319643367,1.047431047068948,0.9589720042150288,0.9190414792090876,0.7803539848384234,0.7907460662519058,1.0165825436618705,0.9323060962501706,0.7890482183037433,0.7932517813957541,0.9293171592290886,0.9346499572264035,0.9355141405459233,0.9622278401481381,0.8950357159184349,0.9026342746388946,0.9350999153579052,0.9359382429985318,0.9772438573257668,0.9245792394410061,0.880711820024578,0.8863830343013525,0.8263913325489939,0.8211655355962054,0.9067942831152992,0.8696783928257775,0.9365350786655917,0.941088184020128,0.9197732153557311,0.9229332478356733,0.8796290522470811,0.7908208205596504,0.7879354819857454,0.7845079618410135,0.9481754724499559,0.7999118857357486,0.7667143749702587,0.7632204450379201,0.7988783511032824,0.7665493925739809,0.8573850964427128,0.7766191158926083,0.9065935293933591,0.9213411229109112,0.8566001405039404,0.8189537476748873,0.8865209920975464,0.9001968988884199,0.8518635964275173,0.8141641183192381,0.9235377154231711,0.8999532398071856,0.9710070546975446,0.9653161001435633,0.9095248259078602,0.9271600172775255,0.8974987746628603,0.924390332393436,0.8918552161915945,0.9431542993498566,0.9372460129808406,0.9820408078040721,0.8312630433368154,0.8663098237387356,0.9956862341910867,0.9252200012795768,0.9326978323864996,0.9356505364953994,0.8705007780669809,0.8927182723426621,0.8305062882990547,0.8745176347782466,0.9081644591533143,0.9297513635794034,0.91949586050487,0.9541078961426012,0.9680012950815576,0.9380527892153686,0.8994507339484767,0.9150354703244947,0.959860882693915,0.9746024161608418,0.9345878437995592,0.9771734245434777,0.9079742818517035,0.9042020072500467,0.8966533363827743,0.9412621530250534,0.9403768744176924,0.9514523611043005,0.8979851500037851,0.9391822953999386,0.9020596769010767,0.9210639239083196,0.953434357619476,0.9482389785474674,0.9448734060791353,1.0161197259714638,0.9169696683986095,0.9460838148458354
