Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Omastar,Rock Throw,Rock Slide,30,1.9608376244071295,1.8997069809987497,1.9712202302433568,1.8938280489333592,1.5379922593582214,1.5363386284489597,1.8665279877735677,1.87244051389744,1.9947847455751506,1.8435755199021062,1.9655808781710313,1.9028004655575783,1.8483047993181907,1.8450537081203084,1.943059801280613,1.9297058161065337,1.867306841682861,1.8893206442839943,1.8159524954788144,1.8665705115857918,1.9724625779555267,1.9752318894618328,1.8549570977005971,1.936041984008877,1.8883390963124544,1.9363067341273719,1.9019522413202785,1.9060608136065753,1.8423103992804652,1.9453413000815514,1.9664280290305294,1.928104561950835
Unscaled: Omastar,Rock Throw,Rock Slide,30,3.6898162,3.5747833,3.336882,3.2058725,3.275334,3.2718124,2.5139377,2.521901,3.4898424,3.2253044,2.4928336,2.4132128,1.8932796,1.8899494,1.7978052,1.7854495,0.9952358,1.0069687,1.0276319,1.0562762,0.7327704,0.7337992,0.8879969,0.9268135,1.0999241,1.1278644,1.1349481,1.1373998,0.63301754,0.66841894,1.0700208,1.0491673
Rhydon,Mud-Slap,Earthquake,50,1.5571138879868056,1.55598063743789,1.52734108845214,1.5102219387734004,1.4897242306561551,1.3201053504135274,1.546680913216623,1.5754742687468948,1.4662570066405898,1.449527894866324,1.5597971113888531,1.5146723099608614,1.4763270342749868,1.4820198119166326,1.5974637620070977,1.5968284704019826,1.4597920275507912,1.5243310128865242,1.481471780627873,1.5156353321503029,1.5942491348862509,1.5702819927888074,1.5294886985090939,1.593016876826241,1.485936036167966,1.547080486394179,1.5579760070572861,1.556874667698248,1.4932679099404675,1.5958832110015886,1.5934584643340994,1.5438828369822424
Unscaled: Rhydon,Mud-Slap,Earthquake,50,2.930107,2.9279745,2.5854833,2.556504,3.1725416,2.8113184,2.0831509,2.1219313,2.565192,2.5359247,1.9782013,1.9209721,1.5122505,1.5180818,1.4780444,1.4774566,0.77803886,0.8124368,0.83835214,0.857685,0.592264,0.5833602,0.7321901,0.76260203,0.86553144,0.901147,0.92968786,0.92903066,0.5130866,0.5483452,0.8670715,0.8400952
Mega Aerodactyl,Rock Throw,Rock Slide,35,1.3447615473448167,1.3369451210734065,1.2889639308880045,1.2993020676627993,1.1633198124338524,1.082244048893869,1.328910799728315,1.3238660004615206,1.2858181204598023,1.2846239392295966,1.3204563290606757,1.286467645348954,1.2965434092233679,1.2863276883591566,1.3376890473479224,1.3638731561088078,1.2845980964549746,1.3211351098565283,1.273026679677408,1.3044474611206318,1.2940801282841563,1.3535367994877419,1.3150886246447786,1.3853915351828934,1.2665353093132616,1.332054999782826,1.2938327660424567,1.3371124534350216,1.2684190501491226,1.324372395644084,1.297668045467343,1.3272481348700822
Unscaled: Mega Aerodactyl,Rock Throw,Rock Slide,35,2.5305119,2.5158033,2.1819584,2.1994588,2.4774253,2.304765,1.7898467,1.7830521,2.2495172,2.247428,1.6746591,1.6315532,1.3280922,1.3176279,1.2376893,1.261916,0.68466413,0.7041376,0.72039485,0.7381756,0.48075113,0.5028393,0.62955344,0.66320854,0.7377344,0.77589846,0.7720662,0.7978924,0.43582857,0.45505413,0.7061188,0.72221464
Arcanine (Hisuian),Snarl,Rock Slide,30,2.040630579398988,2.029351853490393,1.8183118716550246,1.79253387375545,2.105824019881136,1.7607552100807622,1.9310962359349846,1.9828759261222686,2.0167641506931875,1.9710373897845948,1.8315265682191584,1.7825277448866843,1.9234289044675903,1.9656416419269904,2.1170765259427675,2.201098326020671,1.890789744628895,1.9647490967049843,1.910313180232108,1.984751137762475,1.7333797433477034,1.8084276275646414,1.968881523810797,2.0871266781362463,1.7757267474050287,1.8226876593503358,1.9141241192364422,1.9932553186672313,1.8955050123278583,2.0414398051361085,1.9601100369681284,2.017567028163848
Unscaled: Arcanine (Hisuian),Snarl,Rock Slide,30,3.839967,3.8187432,3.0780387,3.0344017,4.484598,3.7497337,2.6009016,2.6706412,3.528295,3.4482968,2.3228202,2.2606778,1.9702317,2.0134716,1.9588132,2.0365539,1.0077517,1.0471705,1.0810298,1.1231536,0.64395106,0.67183137,0.9425343,0.9991401,1.0343294,1.0616833,1.1422114,1.1894312,0.6512952,0.70143837,1.0665829,1.0978478
Shadow Raikou,Thunder Shock,Wild Charge,40,1.8527249374799093,1.818744001278381,1.906980221292507,1.901562039040402,1.0114245441444931,0.976782347734219,1.9600599145088209,1.9733803050727758,3.2241443644614596,2.988384455478052,2.1506746303369217,1.886654423479039,3.1652704735667014,3.0693631856046815,1.9750511324359272,2.005859965215677,1.861686679171844,1.9172885248346911,1.999574830082238,1.8908852475934426,1.8873311212578356,1.9968515232343833,1.9586788899296368,2.0073298217146047,1.9032897651997323,1.9863310867986892,1.8872147052198676,1.9609114350714951,1.8531021974021349,1.9743767044355058,1.9433172518177162,1.9098592211920216
Unscaled: Shadow Raikou,Thunder Shock,Wild Charge,40,3.4863746,3.4224308,3.2281365,3.2189646,2.1539466,2.080172,2.6399114,2.657852,5.6405864,5.2281284,2.7275774,2.3927357,3.242291,3.14405,1.827405,1.8559107,0.99224037,1.021875,1.1315422,1.0700357,0.70114404,0.7418309,0.93765014,0.9609401,1.1086326,1.1570027,1.1261538,1.1701307,0.6367256,0.6783955,1.0574452,1.0392392
Aurorus,Rock Throw,Meteor Beam,45,1.5523378679829274,1.5690548148374888,1.8007914342165132,1.6061437138299017,1.3565691422310877,1.3094555466248925,1.6613873205408403,1.64224676735179,1.6354609749896427,1.5546579698507537,1.5982958151464226,1.5650994088118937,1.6090058603989132,1.5964648214984776,1.6557740852038663,1.6449599694956274,1.5358063189139166,1.607317358039736,1.579489456810971,1.5955041903799914,1.6173629801840257,1.6916321032113355,1.5927761702355219,1.670496532805699,1.5726972304566165,1.6553727040289463,1.560318431194033,1.6230279938109822,1.5854675190031382,1.696589809139312,1.627655453221608,1.6518134708360501
Unscaled: Aurorus,Rock Throw,Meteor Beam,45,2.9211197,2.9525769,3.0483801,2.7188804,2.8889723,2.7886384,2.2376435,2.211864,2.8612115,2.719848,2.027027,1.9849259,1.6481578,1.6353116,1.5319957,1.52199,0.8185529,0.8566668,0.8938195,0.9028821,0.6008508,0.6284418,0.7624868,0.79969275,0.9160683,0.9642253,0.93108565,0.9685062,0.54476637,0.58294797,0.8856796,0.89882505
Golurk,Mud-Slap,Earth Power,50,1.5647439988338547,1.5394573927287352,1.538231623554865,1.5223254345078647,1.4869964627906984,1.3117601867040203,1.5856139841307035,1.6088480073985836,1.573095586170819,1.5113368908029525,2.2186154905523994,1.6461711153551286,1.5635506226978924,1.5429231509675077,1.7121986363819117,1.6936303532342374,1.5085424057315553,1.5196730454328193,1.6248581618310507,1.5459581113973455,1.581091836592963,1.5779370341255192,1.5628473356623431,1.6027700789362203,1.5067767037728013,1.541899298914319,1.5325700251657384,1.5469543014717408,1.5405643244934086,1.565524348484107,1.6292896517909585,1.5455112650245046
Unscaled: Golurk,Mud-Slap,Earth Power,50,2.944465,2.8968818,2.6039188,2.5769928,3.1667325,2.7935464,2.135588,2.1668808,2.7521043,2.6440585,2.8137429,2.0877445,1.6015965,1.5804671,1.5842022,1.567022,0.8040218,0.8099542,0.91949326,0.8748444,0.58737606,0.58620405,0.7481594,0.76727104,0.87767076,0.89812905,0.9145274,0.9231109,0.52933764,0.5379139,0.88656884,0.8409813
Shadow Sudowoodo,Rock Throw,Meteor Beam,50,1.5957715220221802,1.516942135562699,1.639653457035272,1.4549129897314523,1.4568131908432158,1.2816849623690496,1.5808891159862806,1.5422799855425884,1.6481301449479482,1.4207008103878906,1.5414942266176654,1.484202589930145,1.5451843297052814,1.5135666819286306,1.5313332347647823,1.5304305543486674,1.4536183913351224,1.4646034156113958,1.4857788967989263,1.5013916097682345,1.5279816209021428,1.5181291384221836,1.4792248257629372,1.5193975295561708,1.4493224257629804,1.487360216782553,1.4533625765857767,1.4727300280561677,1.4467189055361291,1.517317310663396,1.523887960622217,1.4777630717140524
Unscaled: Shadow Sudowoodo,Rock Throw,Meteor Beam,50,3.0028512,2.8545136,2.7756057,2.462877,3.1024537,2.7294977,2.1292243,2.0772235,2.883376,2.4854922,1.9549888,1.8823291,1.5827833,1.5503963,1.4168575,1.4160223,0.77474844,0.78060323,0.8407895,0.8496246,0.5676456,0.5639854,0.708128,0.7273593,0.84420466,0.866361,0.8672621,0.8788192,0.49709237,0.52134997,0.8292151,0.8041165
Aerodactyl,Rock Throw,Rock Slide,45,1.6089749404691398,1.5786995874224017,1.5891572437196073,1.5870819249666914,1.3855631391320324,1.3188692594305818,1.6382859769934703,1.6268033527653067,1.583244983432822,1.5788468274516727,1.6210987061072772,1.5953295059376251,1.5705369250038805,1.5766825827148008,1.6275094450720264,1.6529966568833057,1.5934004184965924,1.6129881228959666,1.559697320015819,1.5964190302238201,1.571694643137281,1.6337497780620784,1.598864336152822,1.66804988180874,1.5339220608076847,1.5814338736129836,1.5520553695513888,1.6134291978973268,1.5479696250140753,1.6455757559600654,1.564521660059352,1.582035944870516
Unscaled: Aerodactyl,Rock Throw,Rock Slide,45,3.0276968,2.970726,2.6901257,2.6866126,2.9507184,2.808686,2.2065294,2.191064,2.7698605,2.762166,2.0559466,2.023265,1.6087528,1.615048,1.505844,1.5294259,0.84924936,0.8596892,0.8826193,0.9033998,0.583885,0.6069385,0.7654013,0.7985215,0.89348245,0.92115724,0.92615485,0.96277833,0.5318821,0.56541955,0.8513257,0.860856
Shadow Tyranitar,Bite or Smack Down,Stone Edge,45,1.2342112424725196,1.2585635080781765,1.3579489770854234,1.2319870354457663,1.0439336806477897,1.026098921932759,1.2656762537602488,1.2883682725738916,1.2207896594834406,1.2043010758834383,1.212752653731025,1.181449497008735,1.2276922641367602,1.2251164416259166,1.2299886386775214,1.2582959702322976,1.201436209758635,1.2523770859747354,1.2126895725929039,1.2443272684476208,1.2742832925994025,1.2886116801850056,1.2529902931928685,1.31129756373095,1.2022973058580493,1.2578835442725043,1.2281567763615975,1.2745914189341587,1.2240105008200965,1.2723249019069656,1.2596568851944447,1.2507464930264833
Unscaled: Shadow Tyranitar,Bite or Smack Down,Stone Edge,45,2.3224833,2.3683083,2.2987363,2.0855079,2.2231786,2.1851974,1.7046791,1.7352419,2.135751,2.1069045,1.5380647,1.4983647,1.2575657,1.2549272,1.1380401,1.1642313,0.64034057,0.667491,0.6862506,0.7041541,0.4733966,0.4787196,0.599826,0.6277386,0.7003169,0.7326949,0.7328755,0.76058435,0.4205698,0.43717062,0.68543524,0.6805867
Lycanroc (Midday),Rock Throw,Stone Edge,45,1.7013644336608946,1.6411085055648316,1.7815590995322426,1.5891628557227249,1.511476079239987,1.3835456399266588,1.6521179306656024,1.6441553655025603,1.729194541565189,1.5561624141346428,1.678232250025961,1.6194445274551945,1.5910581812750346,1.5770138226533756,1.694776104562211,1.66631486772576,1.5896767088024535,1.6004561153178103,1.5602838283105203,1.5799829437238309,1.6457376559716186,1.6496800486933683,1.6100794083167542,1.6700861638935518,1.5862833943623695,1.6199501684428868,1.5809944353706096,1.5933304751912332,1.5695759802907936,1.62660895379372,1.6361913308305662,1.6229266900477153
Unscaled: Lycanroc (Midday),Rock Throw,Stone Edge,45,3.2015512,3.0881643,3.0158236,2.6901352,3.2188647,2.9464219,2.225159,2.2144346,3.0251968,2.72248,2.1284058,2.0538487,1.6297734,1.6153873,1.5680821,1.5417485,0.8472647,0.8530099,0.8829512,0.89409876,0.611392,0.6128566,0.77077013,0.7994963,0.923982,0.9435923,0.9434236,0.95078486,0.53930604,0.55890256,0.89032435,0.88310647
Shadow Swampert,Mud Shot or Water Gun,Earthquake,45,1.6044417788478427,1.5067327305237543,1.5165804564531598,1.4904022931944363,1.2863108652369226,1.2358629606914706,1.5640873491408562,1.5540388835480416,1.5820866413578594,1.4682804613385254,1.5920931380089944,1.5294546540658187,1.5808214711426851,1.54705540092919,1.5884307973114997,1.6112761125600978,1.4932298020982993,1.5616050718672443,1.4845362555430244,1.4911820536590588,1.5366447637670688,1.5487388057957854,1.48388646620248,1.584174612233234,1.428839468598445,1.4865505784467614,1.5364867177249963,1.5575973420518565,1.4543828499565905,1.5130036589366183,1.575287828010359,1.535680602428326
Unscaled: Shadow Swampert,Mud Shot or Water Gun,Earthquake,45,3.0191665,2.835302,2.5672677,2.5229533,2.7393491,2.6319144,2.1065948,2.093061,2.767834,2.568732,2.0191605,1.9397197,1.6192876,1.5846999,1.4696867,1.4908242,0.7958605,0.8323031,0.8400863,0.8438471,0.57086396,0.5753569,0.7103596,0.7583691,0.8322737,0.8658894,0.9168646,0.9294619,0.4997257,0.5198678,0.85718405,0.835632
Shadow Luxray,Spark,Wild Charge,30,2.42963300591028,2.1770383404301654,2.499456817171926,2.2610082985576208,1.546664383313673,1.1975813769679773,2.6231486093056673,2.362615829321758,3.8150877927836064,3.285407656386755,3.0008980142365496,2.3027000273685787,4.190786589907774,3.6912363459929534,2.4367922680753327,2.3147024721252034,2.3394950178642038,2.2336332981068217,2.4466215602498993,2.2892827139624314,2.2758066292709116,2.230009086399612,2.415181790608035,2.2777490434821845,2.204968288306786,2.190102428863504,2.2776609583090264,2.151201493035428,2.2848844250010254,2.2236141385750976,2.4505860944264057,2.2694852689837477
Unscaled: Shadow Luxray,Spark,Wild Charge,30,4.5719743,4.096653,4.231081,3.8274353,3.2938023,2.5503893,3.532994,3.1820948,6.674432,5.7477655,3.805867,2.9203825,4.292761,3.7810552,2.2546284,2.1416655,1.2469023,1.1904802,1.3845221,1.2954854,0.8454628,0.828449,1.1561852,1.090394,1.284355,1.2756959,1.359144,1.2836821,0.7850859,0.76403344,1.3334727,1.2349277
Krookodile,Mud-Slap or Snarl,Earthquake,45,1.5931974888762093,1.553186384349377,1.546396438280194,1.4979066637633904,1.4787720250315466,1.3556216477829084,1.6759747393255566,1.6804333570627341,1.5631459621904344,1.5124361297096194,1.729358899522938,1.501671328366408,1.6732805640353283,1.64105276311512,1.6265888234503232,1.6515312062412917,1.4943744995701054,1.5327133279578895,1.6502787283920552,1.5642630370420894,1.5201382889940216,1.5610628880279713,1.6109099014111927,1.6357994182767388,1.4698761661942346,1.5305376661230736,1.5347050013425716,1.575970420826763,1.5381617039798887,1.6233293829045259,1.6384512272845224,1.5735207419207107
Unscaled: Krookodile,Mud-Slap or Snarl,Earthquake,45,2.9980075,2.9227164,2.6177402,2.5356567,3.1492176,2.8869545,2.2572906,2.2632957,2.7346976,2.6459816,2.1932468,1.9044837,1.7139965,1.6809845,1.5049922,1.52807,0.7964706,0.8169044,0.93387854,0.885203,0.5647318,0.5799353,0.7711677,0.7830827,0.85617685,0.8915111,0.9158014,0.94042563,0.5285121,0.5577757,0.89155406,0.8562225
Shadow Luxray,Spark,Wild Charge,35,2.272046187094166,2.0941797367787127,2.2779247663132365,2.0708600459758926,1.5001686453717233,1.1464838719568642,2.3851512608211562,2.1692715549231676,3.6562900403959295,3.197185888952806,2.593463538169784,2.1847824552824155,3.7256377564717726,3.245966399598568,2.3665698490042204,2.2072476201963505,2.1515008323494773,2.0625771078329973,2.360889209484364,2.1523962018154013,2.2007175876152774,2.1613251543175145,2.258241427686919,2.196939895002377,2.0648799113724143,2.1011354336432198,2.145173117995458,2.0848087613523463,2.1862585030964654,2.1260415058994644,2.378175351983775,2.203324338172
Unscaled: Shadow Luxray,Spark,Wild Charge,35,4.2754345,3.9407334,3.8560715,3.5055523,3.1947842,2.4415712,3.2124467,2.9216886,6.396618,5.593423,3.2891412,2.7708344,3.8162937,3.3249505,2.1896555,2.0422435,1.1467053,1.0993108,1.3360069,1.2180225,0.8175672,0.8029329,1.0810554,1.0517094,1.202756,1.2238742,1.2800848,1.2440637,0.75119805,0.7305075,1.2940708,1.1989266
Shadow Donphan,Mud-Slap,Earthquake,35,1.638509495736188,1.567977575828013,1.6224123792045868,1.5393307491338908,1.5554244104115071,1.3229707956366044,1.6674771489437152,1.6092778243555126,1.8998573978875593,1.4833536555252433,1.9255927907174233,1.5682831054339992,1.8491021962584433,1.5558993999021802,1.835080223128073,1.647522535667333,1.5173085068508765,1.4926649958699143,1.7140200398875116,1.5568126145758707,1.5606703176643635,1.537920778956075,1.5882973105534894,1.5710229622765584,1.4876603117382279,1.5085352808145414,1.542893657222067,1.4985000619293913,1.5144817446504557,1.5453508809943242,1.6781547324570463,1.5545318485313826
Unscaled: Shadow Donphan,Mud-Slap,Earthquake,35,3.0832736,2.9505498,2.74642,2.6057794,3.3124578,2.8174207,2.2458456,2.1674597,3.3237686,2.5951023,2.442119,1.9889636,1.8940964,1.5937591,1.6978977,1.524361,0.80869395,0.79555947,0.9699492,0.88098687,0.57978946,0.571338,0.7603427,0.7520732,0.8665358,0.8786951,0.9206878,0.8941969,0.52037567,0.5309823,0.9131585,0.8458898
Shadow Donphan,Mud-Slap,Earthquake,40,1.530242909930203,1.4926599640941587,1.524758326469952,1.469855036642836,1.4772228260606706,1.2629850714450161,1.561119243652831,1.5450949933340878,1.705848504289724,1.420448735946707,1.8404500968150652,1.4923242215389847,1.7670653976782942,1.5161190745587618,1.5967320634418325,1.5666629271141768,1.4313166976012668,1.4375566215757931,1.6290122097632158,1.4715038963306384,1.4924045279319842,1.4988532444713096,1.5129871472749163,1.5015318907510011,1.412403947725107,1.4588732739175079,1.4457505653706832,1.4387319568747547,1.4432880831169212,1.4704729917939716,1.5599730512709493,1.4745541808387628
Unscaled: Shadow Donphan,Mud-Slap,Earthquake,40,2.8795424,2.8088205,2.5811112,2.4881709,3.1459184,2.6896741,2.1025972,2.0810149,2.9843533,2.4850512,2.3341374,1.8926293,1.8100634,1.5530108,1.4773674,1.4495461,0.7628621,0.76618785,0.921844,0.8327114,0.5544287,0.5568244,0.72429055,0.71880674,0.8227003,0.84976786,0.8627198,0.8585316,0.49591354,0.50525427,0.8488506,0.8023704
Shadow Magnezone,Spark,Wild Charge,40,1.9338541981366226,1.9129309122106273,2.21338513546962,1.9631459164525147,1.296227720227776,1.0372399878344303,2.302338697247004,2.1394564096258804,3.2591864843286293,3.00688969176726,2.2143681962450876,1.9831791659435531,3.4859946911795285,3.1046997411974426,2.292307308209593,2.1350897125127157,2.0031496535746935,1.9888824940182945,2.1327677006577583,2.0866920755466505,2.0294979589248223,2.0229247202720817,2.117129251689312,2.0223441642595312,2.0732423972367915,2.034125500465851,2.0238731226223567,2.0118068204512016,2.017288629042686,2.01570792395328,2.1171744117921643,2.033490926305591
Unscaled: Shadow Magnezone,Spark,Wild Charge,40,3.63904,3.5996675,3.7468188,3.3232138,2.7604682,2.2089236,3.1009104,2.881532,5.701892,5.260503,2.8083563,2.5151525,3.5708194,3.1802464,2.1209445,1.9754798,1.0676372,1.0600331,1.2069149,1.1808411,0.75395906,0.7515171,1.0135028,0.9681277,1.207627,1.1848421,1.2077017,1.2005014,0.69314003,0.6925969,1.1520486,1.1065127
Raikou,Thunder Shock,Wild Charge,30,2.436641516210053,2.344657389263885,2.4735200881946966,2.453088320759887,1.3141283593427868,1.2838608938406615,2.510655287840004,2.524572848517032,3.9341454665011932,3.6505957873730943,2.8838257850804108,2.4960550531850094,3.872916717512762,3.73919809280771,2.590397196675819,2.596247758970495,2.371430970342654,2.443259282608094,2.679583043672337,2.538388107682852,2.481269193121469,2.614533076529579,2.5144085548914634,2.5928288110936846,2.4613662938770844,2.5579043346038155,2.41543797586696,2.5140574523429833,2.426768662836649,2.538464207039916,2.432551359528831,2.4258904437866122
Unscaled: Raikou,Thunder Shock,Wild Charge,30,4.5851626,4.412071,4.1871753,4.1525884,2.7985897,2.7341316,3.3814821,3.400227,6.8827214,6.386656,3.657391,3.1656036,3.9671564,3.830184,2.3967505,2.4021637,1.2639235,1.3022065,1.516353,1.436452,0.9217922,0.97129977,1.2036866,1.2412276,1.4337023,1.489934,1.4413594,1.5002084,0.8338373,0.87221587,1.3236592,1.3200347
Shadow Omastar,Rock Throw,Rock Slide,40,1.5072522455233417,1.4772971785754694,1.523148922123237,1.4326805963279068,1.202910270190875,1.210364146749976,1.4489212774911342,1.4568300134446805,1.5682719902654683,1.4458265160820065,1.4995409001762832,1.4529983101814818,1.455110398669183,1.4529388392251348,1.503098532668774,1.4932156303783088,1.4483068524712737,1.4747777516666927,1.3942457863823339,1.438369623570883,1.501351627514251,1.513636275052067,1.4609124081187244,1.5220544306473405,1.4459308033909355,1.4806065351685365,1.454000287601736,1.4546555443010323,1.4158767191473873,1.487881120313709,1.520203644473783,1.4912805130402886
Unscaled: Shadow Omastar,Rock Throw,Rock Slide,40,2.8362796,2.7799115,2.5783868,2.425242,2.5617378,2.5776117,1.9514831,1.962135,2.7436655,2.5294492,1.9017818,1.8427545,1.4905176,1.4882932,1.3907335,1.3815894,0.7719175,0.78602594,0.7889917,0.813961,0.55775255,0.5623163,0.69936156,0.7286312,0.8422291,0.8624271,0.86764264,0.86803365,0.486495,0.5112357,0.8272103,0.81147194
Luxray,Spark,Wild Charge,30,2.7046748538106793,2.6389914925698887,2.799049586596221,2.531744738688004,1.5307799286134447,1.3822579434130093,2.985790796378282,2.756682617932002,4.5988192398760965,4.008424602191093,3.0243455767575087,2.626227377457012,4.734319503520828,4.107836806975857,2.9245894382068136,2.707563752885184,2.7207314356046695,2.66235374078822,2.9262717192733443,2.636291521659456,2.751523094410588,2.7214461318844765,2.728900833814482,2.669048595867776,2.5563733009569565,2.6089204770685734,2.589930885927804,2.5677485839988363,2.662532167143389,2.6646781228034953,2.9200124084709866,2.7019383090223843
Unscaled: Luxray,Spark,Wild Charge,30,5.0895357,4.9659357,4.7382317,4.285738,3.2599745,2.9436796,4.0214195,3.7128446,8.045557,7.0126715,3.8356042,3.3306937,4.8495197,4.2077928,2.70596,2.5051582,1.4500934,1.4189793,1.655952,1.4918547,1.0221916,1.011018,1.3063674,1.2777152,1.4890422,1.51965,1.5454842,1.5322474,0.9148456,0.91558295,1.5889084,1.4702446
Luxray,Spark,Wild Charge,35,2.592445743869646,2.5356305398082886,2.591500757147831,2.4572755839702762,1.4372113066168195,1.3195527627107733,2.662978660467918,2.5389794011578406,4.409437026888855,3.804233730281034,2.91910184068081,2.5272877975169896,4.552864156480364,4.000718516341854,2.831841619360247,2.6043127632007286,2.4720326354168574,2.455453941218162,2.829330150626074,2.526763085637986,2.4849632683991514,2.5241980975088363,2.5726780159242777,2.584188608016952,2.4537832308380874,2.5130923291574696,2.461388562027686,2.49694563504372,2.5288833815779244,2.571868152554092,2.772886572020221,2.552477063073699
Unscaled: Luxray,Spark,Wild Charge,35,4.878348,4.7714357,4.386893,4.1596766,3.0607092,2.8101416,3.5866392,3.4196305,7.714236,6.655443,3.7021296,3.2052143,4.663649,4.098068,2.6201456,2.4096258,1.3175421,1.308706,1.6010936,1.4298735,0.92316455,0.9377403,1.2315811,1.2370914,1.4292853,1.4638318,1.4687794,1.4899973,0.8689239,0.88369346,1.5088507,1.3889161
Excadrill,Mud Shot or Mud-Slap,Drill Run or Earthquake,45,1.3662911820990946,1.3820829288572143,1.5864168730603885,1.446806835207132,1.3884174555918911,1.248356758284249,1.6945675710270853,1.5418186877790026,1.4921835202532954,1.385596329247403,1.6321978435200137,1.4563369456019735,1.5975464033668738,1.448474275455345,1.571046957971321,1.529535871819381,1.451685145341024,1.4439785413784871,1.5854058923673338,1.54233232736882,1.4598993034406325,1.4669291770116566,1.5633857346616655,1.5188425027302224,1.4104573821384787,1.444194784974582,1.4288102835199765,1.4288694226952359,1.4205507610408306,1.450228133116364,1.5370247309353913,1.484870376319227
Unscaled: Excadrill,Mud Shot or Mud-Slap,Drill Run or Earthquake,45,2.5710254,2.6007416,2.6854868,2.4491549,2.956797,2.6585214,2.2823324,2.0766022,2.61055,2.4240775,2.070023,1.8469887,1.6364195,1.48372,1.4536024,1.4151945,0.77371806,0.7696106,0.89716756,0.8727926,0.542353,0.5449646,0.74841714,0.7270936,0.82156646,0.8412179,0.85261106,0.85264635,0.488101,0.49829814,0.8363634,0.8079839
Arcanine (Hisuian),Snarl,Rock Slide,35,1.8901054127606725,1.891042357212158,1.6831800350685215,1.6807292437701744,2.036609827486796,1.678775481052529,1.8543090542066822,1.908542465380765,1.8626674437342412,1.8925052838461096,1.706734838686633,1.68806017964858,1.8362020944360866,1.8789825183802533,2.00363125677929,2.094877094095355,1.843514921078072,1.9150041957543376,1.8505437615768678,1.9206280569027905,1.650112619026828,1.745711739436643,1.8603636480616048,1.9387961035738128,1.6634816199565208,1.7241238059937616,1.8452830357524552,1.9122840848234415,1.8198140552048585,1.919285291846623,1.8297632025616728,1.9107233300572422
