Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,8.333333333333334,0.0,17.5,0.0,17.5,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0,1.875,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Unscaled: Swampert,Water Gun,Earthquake,35,3.7433949,3.5426395,3.1267626,3.0881753,3.8663735,3.7025747,2.5702713,2.5648992,3.8455427,3.6424322,2.6002195,2.5054233,2.2563581,2.2526724,1.857021,1.8420123,0.96751714,1.0128319,1.0973558,1.1001112,0.7498689,0.7580816,0.9198582,0.9597319,1.0905671,1.1363388,1.1439502,1.1469362,0.6458636,0.6896676,1.1341804,1.0952357
Golem (Alola),Rock Throw,Stone Edge,35,1.956571819574184,1.8865265198430976,1.8430743923588857,1.8167773137077845,1.9707234639923699,1.5919961089711587,1.9061535621869183,1.890300971361079,1.852724335963901,1.7702583825897844,1.9277540489687026,1.8638922975862584,1.8159409098408428,1.7835690151542516,1.8799671740785462,1.8678001185416524,1.7330200753594065,1.7977442836658275,1.7652465649769546,1.7923223431209592,1.8948433901584139,1.9301846555808784,1.8108641122202827,1.8823424596984097,1.8208141260258037,1.8719816894006909,1.7651577485131122,1.829063249708238,1.7674281154330025,1.8393211370331586,1.8796304804386486,1.854378727411327
Unscaled: Golem (Alola),Rock Throw,Stone Edge,35,3.681789,3.5499809,3.1199567,3.075441,4.1968856,3.3903415,2.5673075,2.5459564,3.2413101,3.0970373,2.44486,2.3638678,1.8601282,1.8269686,1.7394291,1.7281716,0.92366374,0.9581604,0.99893785,1.0142598,0.70393485,0.71706414,0.8668889,0.9011067,1.060592,1.0903962,1.053319,1.0914532,0.607288,0.63199043,1.0227904,1.0090498
Landorus,Mud Shot or Rock Throw,Earth Power,30,1.685965299097635,1.6250635908997937,1.642727239753398,1.6452210957914584,1.57522102451582,1.3741875239802541,1.6931931813760737,1.692420787905193,1.8966309593598842,1.6113132152397922,1.876165500499234,1.609504868429363,1.855783226743647,1.6797497493490887,1.759816217207043,1.7030729394309223,1.5918173174659238,1.619944678896974,1.8101902591203893,1.650228648111634,1.6303916648461205,1.6551083891511469,1.6751002056335744,1.683748555509785,1.5707679014452458,1.6199741348363719,1.5881289258152254,1.6233953303713917,1.5933247114819584,1.6266134357517,1.6693423657396822,1.6116063493440345
Unscaled: Landorus,Mud Shot or Rock Throw,Earth Power,30,3.1725738,3.0579717,2.780809,2.7850306,3.354617,2.9264927,2.2804813,2.279441,3.318124,2.8189654,2.3794332,2.0412428,1.90094,1.7206231,1.6282601,1.5757587,0.8484056,0.8633969,1.0243711,0.9338502,0.60569096,0.61487323,0.8018966,0.8060367,0.9149445,0.94360626,0.94768095,0.9687254,0.5474661,0.5589041,0.9083633,0.87694657
Landorus,Mud Shot or Rock Throw,Earth Power,35,1.5720774717177597,1.5374033528592537,1.5330285877801764,1.52913923332476,1.4379727112395388,1.2710508891107022,1.5941007344234603,1.6197385845694747,1.617380149749366,1.4930344001016986,1.7915428963241813,1.5453700620551571,1.6000522291090886,1.5565970246003986,1.6061663275130336,1.619592401748122,1.5153269100063465,1.5439007053276466,1.619608355949569,1.5352671908426243,1.5434795903787744,1.5913172393840456,1.551554722678768,1.6056769405467461,1.5167085763807757,1.572474803097021,1.5179310264273351,1.5601648436221283,1.5189082020209383,1.5980214542015343,1.5838608281184186,1.5482087107760365
Unscaled: Landorus,Mud Shot or Rock Throw,Earth Power,35,2.9582648,2.8930166,2.5951111,2.5885272,3.0623307,2.7068512,2.1470184,2.1815488,2.8295794,2.6120386,2.2721112,1.9599043,1.6389863,1.5944737,1.4860964,1.4985188,0.8076378,0.82286704,0.91652244,0.8687945,0.5734031,0.5911748,0.74275345,0.7686626,0.8834559,0.91593874,0.9057919,0.930994,0.5218966,0.5490799,0.861849,0.8424491
Thundurus (Therian),Volt Switch,Thunderbolt,50,1.943285393513747,1.9406588561922857,1.923431365379092,1.9421982582468977,1.0191380448885472,1.0059297525230713,2.0082453726926577,2.0357580385200342,3.224035303682825,3.074494227781096,2.2982613659041755,1.9815336607102094,3.187126842540463,3.1320056075514504,2.043177348601083,2.0491094028777694,1.9173932193420289,1.9536235228669785,2.0253196991507556,1.953613184437862,1.8869907715816525,1.9892108829635335,1.947869611936607,2.0180217649059276,1.88638350040851,1.9679221154016184,1.8710768660634427,1.9489962905543041,1.873493651030037,1.9770615136800271,1.9761609234607578,1.9630520869092833
Unscaled: Thundurus (Therian),Volt Switch,Thunderbolt,50,3.6567872,3.6518447,3.255985,3.2877536,2.1703734,2.1422448,2.7048101,2.7418656,5.6403956,5.378776,2.9147532,2.5130656,3.2646792,3.2082167,1.8904384,1.895927,1.0219308,1.0412408,1.146111,1.1055329,0.7010176,0.7389924,0.93247557,0.9660585,1.098785,1.1462798,1.1165239,1.1630206,0.6437321,0.679318,1.0753169,1.0681838
Aerodactyl,Rock Throw,Rock Slide,30,1.91452660338213,1.872423143691759,1.8362792017628542,1.7606722872551648,1.617887012249669,1.5387727284445127,1.881531265044336,1.8727207970227475,2.033001745887014,1.8053661789950313,1.8845564811845554,1.8172072269763508,1.7629254353808772,1.79740621458061,1.8858517814320195,1.849226431416391,1.7744143697901937,1.7819752832779137,1.7649207957569242,1.7599369773069529,1.819102397446376,1.856380027492846,1.768168825081113,1.8242963045282001,1.7520927245342908,1.8108885025347554,1.7283783429826494,1.7811182874501426,1.7268707612573615,1.8017977482701317,1.8324970908457388,1.794311215919892
