Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Victini,Victini,Volcanion,Volcanion,Entei,Entei,Reshiram,Reshiram,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Flareon,Flareon,Lampent,Lampent,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Torracat,Torracat,Typhlosion,Typhlosion
Landorus,Mud Shot or Rock Throw,Earth Power,30,1.6250619637215271,1.6354550335118512,1.5873316952501122,1.6558240499394021,1.5596848216177905,1.4478663271226422,1.5966270896245736,1.6590964019406065,1.773950048947824,1.6215240977014749,1.7345727086211948,1.6212452371980068,1.7397229882860499,1.6710946672855855,1.6561194867013818,1.7010937535529937,1.5557288921682302,1.6199430800042163,1.6686323564450798,1.6485187832578827,1.6241777186323287,1.6551030592647482,1.640867963056413,1.6837497506190515,1.5614143382104724,1.6199785881694813,1.5839366579737706,1.6234030334127305,1.5864780902550686,1.6266187050359713,1.5933592822408293,1.611612996479346
Unscaled: Landorus,Mud Shot or Rock Throw,Earth Power,30,868737,874293,764878,797882,897870,833499,627591,652146,877048,801688,621402,580803,509711,489604,436987,448854,147592,153684,168078,166052,107402,109447,139820,143474,161889,167961,168241,172433,97029,99484,154328,156096
Landorus,Mud Shot or Rock Throw,Earth Power,35,1.5272387843325783,1.5550770968991015,1.4857677684989956,1.5498273371739746,1.4347807960755565,1.3417107599092541,1.5126884828009046,1.5881960857143584,1.5426634897775908,1.5050808650415448,1.6619966782509177,1.5556030091138744,1.520564262894902,1.5506034459219618,1.5365494084028772,1.6176410396343543,1.493823126383472,1.5439021819331715,1.5098582320705265,1.535273211023747,1.5405810032210745,1.591316708757391,1.5375479691589113,1.6056729764936453,1.513363104136727,1.5724867622804564,1.5176290047732472,1.5601645687601795,1.512753433616743,1.5980379332897319,1.5387220335133238,1.5479934336186338
Unscaled: Landorus,Mud Shot or Rock Throw,Earth Power,35,816442,831324,715938,746806,825966,772388,594597,624277,762699,744118,595402,557287,445501,454302,405437,426834,141719,146470,152085,154645,101874,105229,131016,136821,156907,163037,161198,165716,92520,97736,149036,149934
Thundurus (Therian),Volt Switch,Thunderbolt,50,1.8931380673304814,1.961128871446556,1.865787857154716,1.9547195889296567,1.033819488113064,1.0629974603681944,1.9058749901417802,2.0018698816759226,3.0694452310256386,3.067181899822817,2.12825021982163,1.9886195201607837,3.0565525762498975,3.1283551320208614,1.954904457633157,2.0431323949640343,1.8584905660377358,1.9535258775166016,1.876667857993805,1.9535978079580654,1.8863247992499281,1.9892025950065781,1.929715647040875,2.0180258417340484,1.8816851689316267,1.9679401240342973,1.8710846662963556,1.9490006307841494,1.8689502943100065,1.9770765206017005,1.9207078476516928,1.962666611602672
Unscaled: Thundurus (Therian),Volt Switch,Thunderbolt,50,1012047,1048394,899056,941909,595143,611940,749148,786881,1517546,1516427,762435,712413,895521,916558,515825,539105,176315,185331,189033,196782,124737,131540,164433,171958,195095,204038,198741,207017,114305,120918,186034,190098
Aerodactyl,Rock Throw,Rock Slide,30,1.8205212622080222,1.8644430186293344,1.7501618713993992,1.7778833861836536,1.6125671821204361,1.6095567977709606,1.784564190366675,1.8504628911169172,1.8480170063349002,1.7900178801142386,1.7693059219249396,1.8180211866180964,1.7098920077546897,1.7922787592496519,1.7903525327633385,1.838479963010968,1.69996837778012,1.7645725729946242,1.7095246604717655,1.759947581605909,1.7988567453536377,1.8563672932387678,1.7649364518665431,1.8242949853892103,1.7335480946364328,1.8109007436270868,1.7286874982347458,1.781127314836608,1.7195716154349248,1.801814911706998,1.7770940665104227,1.7943153308485706
Unscaled: Aerodactyl,Rock Throw,Rock Slide,30,973227,996707,843340,856698,928313,926580,701464,727367,913667,884992,633845,651297,500971,525109,472406,485105,161276,167405,172197,177276,118953,122756,150392,155450,179736,187756,183616,189186,105169,110199,172124,173792
Gigalith,Smack Down,Meteor Beam,35,1.562595050010569,1.5921730232871356,1.5309817707900986,1.566456510550695,1.4918200231380954,1.4155077352807317,1.5166546671992225,1.5849015322853515,1.5414195678028495,1.5282724249803803,1.5279124621418303,1.5498862510293234,1.5295237965213118,1.5631263140649319,1.5767295025429962,1.6158787548036475,1.4882786971645408,1.5332033308738273,1.5502442220633785,1.5481693272972759,1.54392305714761,1.6085260181166543,1.5588832427738202,1.626327586813909,1.4874470732342473,1.5479692518397776,1.51201785024996,1.5575566999632826,1.5297089601046436,1.5947351209941139,1.5928533817896486,1.561952156271617
Unscaled: Gigalith,Smack Down,Meteor Beam,35,835343,851155,737725,754819,858802,814871,596156,622982,762084,755584,547367,555239,448126,457971,416039,426369,141193,145455,156153,155944,102095,106367,132834,138581,154220,160495,160602,165439,93557,97534,154279,151286
Landorus (Therian),Mud Shot,Earthquake,35,1.4999466878169503,1.4699048050177053,1.5223029734530906,1.5258018860093305,1.5185486924891518,1.3231724899856516,1.5027793819468647,1.541347281548211,1.5655577220249026,1.4833557171867542,1.7722536253122863,1.5123449036274057,1.582949922180051,1.5263495617508123,1.5744896953710652,1.5702829509364744,1.4263834721197428,1.4731948982818592,1.520113573187197,1.5117147168612501,1.4870174059007666,1.5241883043234987,1.4595416084777786,1.497600075107674,1.4149169085946316,1.4666911005873784,1.4365779489158985,1.4701318997900523,1.4881131458469588,1.5768476128188358,1.4694033472025771,1.4533900492478604
Unscaled: Landorus (Therian),Mud Shot,Earthquake,35,801852,785792,733543,735229,874189,761716,590702,605862,774018,733377,634901,541790,463779,447196,415448,414338,135321,139762,153118,152272,98332,100790,124369,127612,146700,152068,152589,156153,91013,96440,142322,140771
Gigalith,Smack Down,Meteor Beam,40,1.4836612188474467,1.5030893007125126,1.439553483970581,1.4819492636926603,1.3285783273171967,1.3265337673752853,1.4720242804771633,1.5398284796971555,1.429219828318541,1.4539647737477852,1.509609345559603,1.5188934946754316,1.4911940583786145,1.5167005706796275,1.5045933101393911,1.5459217318143577,1.4133867397491302,1.4882997786444607,1.454799062822651,1.4896453816217934,1.5079317071695373,1.5701150815854341,1.5006395887854855,1.5588715071997747,1.4629392077622707,1.5306083081760398,1.4518485741453815,1.4882457610363689,1.468557880967953,1.5319162851536952,1.4858193006184375,1.4860877375925334
Unscaled: Gigalith,Smack Down,Meteor Beam,40,793146,803532,693669,714098,764828,763651,578613,605265,706612,718846,540810,544136,436896,444369,397005,407910,134088,141195,146539,150049,99715,103827,127871,132833,151679,158695,154211,158077,89817,93692,143912,143938
Shadow Mamoswine,Mud-Slap,High Horsepower,45,1.2032185593738718,1.1904891065439303,1.306659140338353,1.2004694270582572,1.2062295674287877,1.0694160236522754,1.3287099342870154,1.2133878439882668,1.3229342804669864,1.1665419373629662,1.313528451199598,1.208134098173038,1.3015454768861099,1.1784670835267455,1.2586010869318054,1.2344369405219395,1.1427321597976177,1.1677137135026878,1.2035183861488365,1.1925184655706458,1.1859905938572746,1.2237512665023365,1.2248418631397355,1.2368004130922063,1.1205138839324464,1.1713139340862837,1.163627291299886,1.1707918694747546,1.1429692609548725,1.175833878351864,1.2184251009219778,1.1891448217475247
Unscaled: Shadow Mamoswine,Mud-Slap,High Horsepower,45,643225,636420,629632,578463,694395,615635,522280,476950,654064,576743,470565,432808,381332,345272,332097,325721,108411,110781,121228,120120,78426,80923,104370,105389,116176,121443,123597,124358,69904,71914,118013,115177
Electivire,Thunder Shock,Wild Charge,50,2.081808947841979,2.1408133755590764,1.967963989839457,2.0535047233244237,1.113939486584421,1.1456223487598884,2.0904793766043457,2.203997730701422,3.2689864968730027,3.225224715010396,2.2156513000879285,2.1137154740470905,3.2662261420418863,3.320717172268793,2.068198528018434,2.169497691975351,1.9747022240961314,2.0615262991462,2.072472400921293,2.1292987054245094,2.0502517882256868,2.1140835059809153,2.0712818767530012,2.1653542383025663,2.0380494015296917,2.1310751246612205,2.018057373113532,2.094071570464238,2.0334859385219097,2.181131458469588,2.0722198705307826,2.1383482866493906
Unscaled: Electivire,Thunder Shock,Wild Charge,50,1112908,1144451,948291,989510,641266,659505,821711,866332,1616200,1594564,793746,757228,956952,972917,545719,572448,187340,195577,208756,214480,135577,139798,176496,184512,211307,220952,214352,222426,124368,133398,200709,207114
Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,50,1.3303727924547362,1.3688791534399452,1.30716135673136,1.3298752345060019,1.1134861049830285,1.1312756872813432,1.2949223172286064,1.363026715139427,1.3679500974911205,1.278096455530295,1.2763834805789334,1.3190526036650894,1.280902711410862,1.3309737050487398,1.3223957978033973,1.3799410297807189,1.2658690840096973,1.326162116580584,1.2891251687713445,1.3292133269795885,1.3260997777004855,1.3791794577101637,1.3332903028951661,1.4144417974205208,1.298695035734609,1.351993132782284,1.276283457450314,1.338401574135967,1.2694244604316547,1.3279267495094833,1.284842603012689,1.306565348916444
Unscaled: Tyrantrum,Dragon Tail or Rock Throw,Meteor Beam,50,711200,731785,629874,640819,641005,651246,508999,535769,676320,631896,457258,472544,375284,389954,348930,364114,120093,125813,129851,133889,87691,91201,113611,120526,134650,140176,135563,142161,77638,81216,124446,126550
Shadow Golem,Mud-Slap or Rock Throw,Earthquake or Stone Edge,50,1.3673789299028971,1.3771079356587421,1.325058522736706,1.3437629704646956,1.283554581238687,1.2127923095363,1.3311445965507678,1.3929804387480187,1.3139133178534155,1.3106669848949442,1.3231671063099275,1.3534089798880653,1.3255945717172268,1.3349568577123665,1.3731723400868636,1.4113172794870046,1.305565510698851,1.3422894487193,1.3233758240012707,1.3364109284409498,1.3405870521874574,1.3874362968227805,1.3403668540446656,1.3846569104927768,1.3200875763158146,1.3724790463054946,1.3494920775393768,1.344276339945583,1.312230215827338,1.3729234793982996,1.3780521800179648,1.3444046377649526
Unscaled: Shadow Golem,Mud-Slap or Rock Throw,Earthquake or Stone Edge,50,730983,736184,638498,647511,738909,698173,523237,547543,649604,647999,474018,484852,388378,391121,362328,372393,123859,127343,133301,134614,88649,91747,114214,117988,136868,142300,143339,142785,80256,83968,133474,130215
Lycanroc (Midday),Rock Throw,Stone Edge,30,1.8003786100297987,1.8148327587464717,1.9479230654292499,1.8420902993375725,1.773453378127204,1.5976577021022313,1.797386236144431,1.849867581848664,1.8886699945793317,1.791844321647883,1.953040516964647,1.8409356725146198,1.7977295688501762,1.8258744504819375,1.861022049404613,1.9075122601966181,1.7486033519553073,1.814778117423843,1.7673139544118814,1.784230799777619,1.7989928470972523,1.860752793866348,1.7991221790613887,1.8818579760829002,1.7278575631022075,1.7798246544689962,1.7661956184038337,1.824246589528983,1.7210595160235447,1.8138325703073903,1.74977544214667,1.773594061348173
Unscaled: Lycanroc (Midday),Rock Throw,Stone Edge,30,962459,970186,938634,887637,1020931,919730,706504,727133,933766,885895,699667,659506,526706,534952,491053,503320,165890,172168,178018,179722,118962,123046,153305,160355,179146,184534,187600,193766,105260,110934,169478,171785
Shadow Swampert,Mud Shot or Water Gun,Earthquake,30,1.6876729138568651,1.663181109903533,1.7510397124499861,1.757253083857686,1.533187185803076,1.532813710537561,1.6572443286615972,1.6930010456073044,1.9549073227562883,1.738483102887517,1.6454270122402266,1.6766040000558275,1.7665879365426098,1.7990641127160527,1.738317757009346,1.7682538599722584,1.6006324443975966,1.6462633076841993,1.6569474227622905,1.6834743070447145,1.7568920410724818,1.8033178580610039,1.737522150896011,1.783983288542559,1.6264117822937663,1.6938397584899836,1.6361787661108862,1.6880725307624955,1.6674296926095487,1.7678548070634401,1.743694312233499,1.7481441713040875
Unscaled: Shadow Swampert,Mud Shot or Water Gun,Earthquake,30,902208,889115,843763,846757,882616,882401,651418,665473,966514,859513,589466,600635,517582,527097,458676,466575,151852,156181,166901,169573,116178,119248,148056,152015,168628,175619,173790,179302,101980,108122,168889,169320
Shadow Hippowdon,Bite or Thunder Fang,Earth Power,40,1.6644007430034775,1.722954355418295,1.5231102551757343,1.5886847741271397,1.4509184017343149,1.3832759513196704,1.620062939962806,1.7153912886410412,1.6857792412682744,1.738189820470708,1.6152605060782426,1.5995422127315104,1.726036234060563,1.8121979357234526,1.6356352942068204,1.7508470336766948,1.5926320227679982,1.6770633498471592,1.6462751171471686,1.706447065364149,1.5996642823657508,1.6748529345048164,1.6846651253946088,1.761345366208588,1.5667672958401249,1.6625707699578514,1.6225086379769715,1.675908752836175,1.6090909090909091,1.7389797253106605,1.7705173606450748,1.7079095986867239
Unscaled: Shadow Hippowdon,Bite or Thunder Fang,Earth Power,40,889767,921069,733932,765530,835256,796316,636803,674274,833456,859368,578659,573028,505701,530945,431582,461982,151093,159103,165826,171887,105781,110753,143552,150086,162444,172377,172338,178010,98412,106356,171487,165423
Krookodile,Mud-Slap or Snarl,Earthquake,30,1.806418786839186,1.8162693817844429,1.885189597064732,1.759210067570933,1.7609706187877165,1.5974944152419597,1.8287773517896166,1.8303673872283264,2.0091787283274405,1.7205948980995298,1.9539700484305433,1.7533754832586637,2.039797395079595,1.8447867460339131,1.9982377151692932,1.8988751695962285,1.701296511015073,1.734404975229261,1.8303153045826384,1.8086728615677865,1.7570281428160963,1.7782448924040104,1.7576956026804051,1.822194317635047,1.652202428603119,1.6905411791938734,1.7206379393129159,1.748467759398213,1.741056245912361,1.7915958142576847,1.8191560754514389,1.7927047090039956
Unscaled: Krookodile,Mud-Slap or Snarl,Earthquake,30,965688,970954,908405,847700,1013745,919636,718843,719468,993346,850669,700000,628138,597628,540493,527259,501041,161402,164543,184364,182184,116187,117590,149775,155271,171302,175277,182761,185717,106483,109574,176198,173636
Shadow Zapdos,Thunder Shock,Thunderbolt,45,1.8406489495629337,1.889928112730014,1.869156027426826,1.9516523334384808,1.0098962259890145,1.0400678161598405,1.8838281947628048,1.9711020599227116,2.862323120363104,2.821522479591589,2.001512931094642,1.9129422601850687,2.862009529530623,2.874662097588947,1.8642851187363092,1.9460058667030493,1.8443554337514492,1.9511858332454937,1.8733718529108092,1.9159022317528394,1.8741512544044037,1.9683034161537647,1.8791235873302743,1.966741383154757,1.8395848805470625,1.9239590667528281,1.8079215191541842,1.8823634634757147,1.8315729234793983,1.9316710268149118,1.8718626428652552,1.9367624436024242
Unscaled: Shadow Zapdos,Thunder Shock,Thunderbolt,45,983987,1010331,900679,940431,581371,598740,740482,774787,1415144,1394972,717032,685302,838523,842230,491914,513477,174974,185109,188701,192985,123932,130158,160122,167588,190730,199478,192032,199939,112019,118141,181303,187589
Rhydon,Mud-Slap,Earthquake,35,1.723042273755254,1.7452351067272494,1.7013700961267082,1.738490528447861,1.6835709099247143,1.5667252646463101,1.7090438671697115,1.7654583245351372,1.6863455797283193,1.6900146438944668,1.7472511828497257,1.7552903739061256,1.7089329110122056,1.721896076236245,1.7669311988842653,1.811276349000614,1.6368398861600084,1.6952250447981447,1.6745790644110872,1.6894805813676435,1.7199328564731502,1.7710163775764816,1.7035007217378038,1.7688678691718205,1.651932369479461,1.7155216481322517,1.6739693269438978,1.7299208224672133,1.6498855461085677,1.7126062786134728,1.7713536450643734,1.7471323704017263
Unscaled: Rhydon,Mud-Slap,Earthquake,35,921116,932980,819829,837716,969188,901923,671779,693954,833736,835550,625944,628824,500690,504488,466226,477927,155287,160826,168677,170178,113734,117112,145157,150727,171274,177867,177804,183747,100907,104743,171568,169222
Mega Manectric,Thunder Fang,Wild Charge,40,1.8926142985145542,1.9365659845824907,1.8639221855129249,1.9363658625670315,1.039504997620181,1.0657611773330045,1.8856879002119198,1.9708069493452869,3.183018341275556,3.016205370506711,2.031637566469874,1.9561808259710531,3.1234913851950963,3.0573034704966826,1.9563067057780203,2.013973213270573,1.8275640349952567,1.9124064509328553,1.8888789611627352,1.917401318402033,1.8668471274970888,1.9308451918278464,1.8967621551208178,1.974569011043175,1.8588748179512156,1.9277784743588506,1.8429535761695397,1.9127823229803138,1.8660071942446044,1.9548397645519948,1.8764880184189063,1.9265308650897717
Unscaled: Mega Manectric,Thunder Fang,Wild Charge,40,1011767,1035263,898157,933065,598416,613531,741213,774671,1573697,1491224,727824,700792,915133,895741,516195,531411,173381,181430,190263,193136,123449,127681,161625,168255,192730,199874,195753,203170,114125,119558,181751,186598
Shadow Sudowoodo,Rock Throw,Meteor Beam,35,1.66399295156822,1.6821508940546628,1.8749854730795412,1.6998945760629556,1.6173441913305098,1.4897546180650854,1.6642124999681993,1.6953364896596814,1.7989579372335174,1.6673469470311728,1.6578877583776466,1.6868316375664698,1.669306173715971,1.6920514430822162,1.724462029394153,1.757339063601428,1.60189733319279,1.6504479814482975,1.6312445397506155,1.644120800571837,1.6299091142800974,1.6840473634067779,1.6480031920761404,1.7038879956813087,1.5866262863977005,1.628630125095244,1.625107092085071,1.668141634578269,1.6118868541530411,1.669375408763898,1.6744065994197632,1.698276841116285
Unscaled: Shadow Sudowoodo,Rock Throw,Meteor Beam,35,889549,899256,903488,819118,931063,857613,654157,666391,889412,824343,593930,604299,489080,495744,455020,463695,151972,156578,164312,165609,107781,111361,140428,145190,164503,168858,172614,177185,98583,102099,162178,164490
Excadrill,Mud-Slap,Drill Run or Earthquake,30,1.5612482159124708,1.6151140974247409,1.7540882904720005,1.6367066226155098,1.5215417058960452,1.4502166156539986,1.7657279945455424,1.6898667677505195,1.599424761935583,1.5716701321186721,1.723703052380354,1.6442043852670658,1.7026936624525573,1.660527537339923,1.6796583062358355,1.7248334356595494,1.5563718773057869,1.615157584062401,1.6025037725359383,1.639732745611945,1.5962617387753868,1.6780135194398658,1.6569222283507998,1.7043926253652697,1.5602955218410315,1.6008140353584552,1.5800578061892163,1.6150616191381792,1.576324395029431,1.654283845650752,1.6285245258473833,1.6401189382285226
Unscaled: Excadrill,Mud-Slap,Drill Run or Earthquake,30,834623,863419,845232,788670,875912,834852,694060,664241,790762,777040,617508,589028,498862,486508,443198,455118,147653,153230,161417,165167,105556,110962,141188,145233,161773,165974,167829,171547,96408,101176,157734,158857
Aurorus,Rock Throw,Meteor Beam,30,1.7847291460510637,1.8053151311199112,1.9767880563810538,1.8295182873175835,1.6462477026928435,1.5781344997342246,1.8251393507058484,1.8866393774184438,1.7865551249585359,1.7938710042799006,1.9117447556839593,1.8315175368811845,1.7884526117467165,1.8161913278540809,1.8073917426533568,1.870276887160713,1.7563929587857066,1.835574997364815,1.8200500357398142,1.8626399809387657,1.8303567377924297,1.885523311204198,1.8198472028259263,1.9057633404137964,1.765820159913581,1.847947068411763,1.7413879134225219,1.8125064725985482,1.7792347939829953,1.8623446697187704,1.788389068420455,1.8184436850201844
Unscaled: Aurorus,Rock Throw,Meteor Beam,30,954093,965098,952543,881579,947702,908491,717413,741587,883280,886897,684873,656132,523988,532115,476902,493495,166629,174141,183330,187620,121036,124684,155071,162392,183082,191597,184965,192519,108818,113901,173218,176129
Shadow Luxray,Spark,Wild Charge,40,1.9886697581497492,2.034028137609033,2.0286678398884335,1.9871229226503746,1.1444845520207616,1.1039546687882378,2.0879938332065544,2.0380667204310647,3.2737841926845253,3.0619675407156897,2.0982623623497885,1.9798182807854958,3.310764410343227,3.1095861890069085,2.110250812924938,2.1014052800327443,1.931717086539475,2.009918836302308,2.096259232785323,2.043622428718926,2.0383202020354774,2.093275061623845,2.01262747767307,2.1191512832850217,1.9486694765675483,2.041000761952527,1.9414406356797875,2.028808947720233,1.9809189012426422,2.0801667756703726,2.013679961179884,1.9911002818588228
Unscaled: Shadow Luxray,Spark,Wild Charge,40,1063117,1087365,977542,957523,658850,635518,820734,801109,1618572,1513849,751692,709260,970001,911059,556815,554481,183262,190681,211152,205850,134788,138422,171498,180575,202040,211613,206214,215494,121153,127223,195039,192852
Aurorus,Rock Throw,Meteor Beam,35,1.701973673134588,1.7645827526670121,1.9456859196785816,1.7714230571281524,1.5363191667506262,1.5387545729006347,1.7092244951955489,1.7611283400284425,1.7243023923754661,1.7223586378750981,1.6624963363061591,1.7140420661837568,1.721175900390465,1.7675709253747645,1.7234880354124504,1.8079450621916002,1.6587435437967744,1.7284810793717718,1.6832558970693352,1.7355253752680486,1.741300830220636,1.804210080602477,1.7186044055344967,1.7924563730034855,1.6435316017399522,1.7251859067717323,1.705630925369762,1.769180074752629,1.6853499018966644,1.7666939175931982,1.7297768875765305,1.7728197239228967
Unscaled: Aurorus,Rock Throw,Meteor Beam,35,909853,943323,937556,853585,884419,885821,671850,692252,852502,851541,595581,614047,504277,517870,454763,477048,157365,163981,169551,174816,115147,119307,146444,152737,170403,178869,181167,187917,103076,108051,167541,171710
Aerodactyl,Rock Throw,Rock Slide,35,1.698494351714501,1.7413723117097872,1.6834376504573907,1.741534955921173,1.511914729517053,1.5108707358678695,1.6815095414846606,1.7543077240105527,1.7145370992144076,1.7174395838221372,1.6842998506608604,1.7295007606526258,1.6658520601807607,1.7312139912077111,1.7324169452213658,1.7980952164388961,1.6581954253188573,1.7139453989670075,1.6695357795250576,1.712552616948614,1.7004551847203109,1.7640449438202246,1.718181924868855,1.791165459858469,1.6276656282250364,1.694418456612108,1.6733573721720627,1.736134517073538,1.6465336821451928,1.7366088947024199,1.6603239827787357,1.6917104597499408
