Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Shadow Groudon,Shadow Groudon,Groudon,Groudon,Keldeo,Keldeo,Shadow Kyogre,Shadow Kyogre,Kyogre,Kyogre,Manaphy,Manaphy,Shadow Manaphy,Shadow Manaphy,Phione,Phione,Shadow Phione,Shadow Phione,Shadow Regirock,Shadow Regirock,Regirock,Regirock,Shadow Suicune,Shadow Suicune,Suicune,Suicune,Shadow Terrakion,Shadow Terrakion,Terrakion,Terrakion,Ting-Lu,Ting-Lu,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Tapu Fini,Tapu Fini,Mega Sharpedo,Mega Sharpedo,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Slowbro,Mega Slowbro,Mega Swampert,Mega Swampert,Primal Kyogre,Primal Kyogre,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Gigalith,Gigalith,Golduck,Golduck,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Kabutops,Kabutops,Lanturn,Lanturn,Lapras,Lapras,Lumineon,Lumineon,Marowak,Marowak,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Shadow Onix,Shadow Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Prinplup,Prinplup,Quagsire,Quagsire,Rhydon,Rhydon,Samurott (Hisuian),Samurott (Hisuian),Sandslash,Sandslash,Sandygast,Sandygast,Seadra,Seadra,Sealeo,Sealeo,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Wailmer,Wailmer,Walrein,Walrein,Whiscash,Whiscash,Shadow Croconaw,Shadow Croconaw,Shadow Golett,Shadow Golett
(Boss weights),,,,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,5.833333333333333,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.14705882352941177,0.0,0.14705882352941177,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Shadow Tier 5,Shadow Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3,Shadow Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Chesnaught,Vine Whip,Frenzy Plant,35,1.4433304598778156,1.4986069987381783,1.4463544513328233,1.499782937988975,1.444449990251511,1.4934653928641062,1.5560246549715682,1.4827178561671452,1.483381114932916,1.5044353907081331,1.4739471860510527,1.5383163400094186,1.500843582986102,1.4388103615888228,1.4687672182357985,1.4902699499962468,1.4663259240790827,1.5497608839794976,1.482582864752045,1.581817190239269,1.5283103893732912,1.6224819225320704,1.4705500514514083,1.5291089334003398,1.5086949441753172,1.5678852373870638,1.4217462871195088,1.471889695656593,1.3738636549415442,1.4511423315160787,1.476371968401493,1.548882362223489,1.465139799488431,1.528646105900685,1.474334636850298,1.5271859220167812,1.4985026396377779,1.5599695643188607,1.4443316754228495,1.5061451110854922,1.4137879569275964,1.477096174051049,1.5517786186915326,1.612638675431686,1.4210440762738357,1.4445964363863708,1.4835582847801485,1.555416125246259,1.465406028917931,1.5183889069080638,1.451871297792138,1.5275893017411597,1.5159246915101818,1.4395008570497037,1.5070445527148526,1.5429328444422121,1.4516024498525553,1.502003737429383,1.501614297128508,1.5457139595936538,1.4927019882772095,1.540547063555913,1.5002984800477568,1.5664921706387473,1.509417033421767,1.5770185710860334,1.4455108520952842,1.5087940519280274,1.5144956144115072,1.5971437889424809,1.53540675547098,1.6028663177925784,1.4510959677860173,1.5133739044877283,1.4384704415954415,1.5199074074074073,1.4431782265144864,1.5022300263388937,1.4884793270641496,1.5531180572051364,1.4245372607167253,1.4896956166802726,1.4720639354121856,1.548547895493328,1.469221164561041,1.5189640589127722,1.5063904283198006,1.575267431370022,1.4478972773448593,1.4960879578509008,1.4711776106399248,1.5440692733059513,1.432619832970735,1.4938451821180434,1.485195336854612,1.5658239909654499,1.4047250516715635,1.4459047389543342,1.4818312726550473,1.547206911961865,1.4707512869433743,1.5349724612117066,1.503674547020518,1.5863498426344047,1.4814599040438658,1.5479323737719901,1.4714063061982976,1.5353874435519321,1.5229092208720516,1.597259947581606,1.509705289292967,1.6022230673737237,1.4639778111637582,1.5197734889633654,1.448425026189358,1.5013817144095654,1.4490486595960135,1.513839293645295,1.4910531848299808,1.5821630623501481,1.50929931595489,1.5882233314845629,1.4432313415837825,1.4879811707539292,1.4630056155128544,1.546273142054927,1.50596073265947,1.5901650297320773,1.5139405075096395,1.5739062652245932,1.4753365094555517,1.539704995110991,1.4482182492255908,1.5524403034220347,1.5030161981009122,1.5791100353751628,1.5513044815719148,1.6245265606675254,1.4704602691748734,1.5116669525107644,1.5569374822661495,1.6085879126075853,1.4830901560373855,1.5619133699506362,1.4838871770561743,1.5514576913960654,1.4896851472299752,1.5690626512724912,1.5156507785838587,1.6119736931317377,1.4311396671202388,1.468320552216345,1.5762477427287047,1.6531102316824835,1.48732146626328,1.5729543375782733,1.585307627904872,1.6836829362116172
Exeggutor (Alola),Bullet Seed,Solar Beam,35,1.633248691328411,1.6383662531389378,1.64778955916111,1.6486609303996127,1.6402729576915578,1.6399126535387014,1.7160026771504802,1.6726756981563615,1.6224206885106134,1.6350386103527161,1.62276352414609,1.6698573020242666,1.7268377921354168,1.602034349360932,1.8354459692758798,1.6130769955585933,1.5606678988323335,1.6313186882675066,1.6015663434980156,1.6641246439482855,1.547782520376871,1.6455129286537977,1.5864189221528227,1.6439098882427547,1.5856247294044465,1.6232615320975525,1.6096275840185625,1.6317040702243224,1.5842955742527505,1.6213491023198603,1.5366239320368027,1.6154591798944355,1.6117119924734662,1.6525257989592217,1.6349899388739133,1.6497475226849918,1.6280290078343698,1.6761624739324026,1.61461404173323,1.6469082988850277,1.6412687060103055,1.6696245572399853,1.7506834218014784,1.7327099665500008,2.1169840575179744,1.6158124413879338,1.8501121264199187,1.7777722471392043,1.648836625152113,1.6691484354614115,1.605932507628792,1.6268533476934124,1.7750150562785774,1.5661038371876532,1.5740117534783264,1.5993897232407452,1.6352225714810373,1.632975793123562,1.5711595219071537,1.6061115006440885,1.5890817147454315,1.6491437765774049,1.5605570096891217,1.6879505900720944,1.621524205836627,1.6922351048442612,1.6713925440029271,1.675319160056972,1.5734392969326627,1.7031016666952745,1.62075404376784,1.7108705994291151,1.5540240147222273,1.6162746205564564,1.6029647435897434,1.6530537749287748,1.5898419666374013,1.6291571553994733,1.5049254544692385,1.5899367026702251,1.574079936024524,1.63675591023441,1.537548802740089,1.6114333479444234,1.5963105675120497,1.6536390854288898,1.6357348455556988,1.6691476564849421,1.4957882449443165,1.5860649272801843,1.5821820380149714,1.6573762913177221,1.5510141062530705,1.6254052915994106,1.5422376980719235,1.5948921853494418,1.5748287655362256,1.5568943304941005,1.6066934803118327,1.6542728040121157,1.5851722524208933,1.6425177292199142,1.556872972559626,1.6341954231162412,1.547840986977382,1.6283870230751658,1.6002877352835392,1.649935392771983,1.5693233261853705,1.6425780319275674,1.5388462725230883,1.605753568173827,1.6560152548249163,1.650768519588582,1.5207257161434815,1.5367644402702019,1.5844658814333175,1.6245891737284373,1.5879386301628733,1.6554974193014989,1.5872989462007765,1.6125531521538177,1.60775947156632,1.6250246754232784,1.65336272703343,1.6993507063262263,1.5759241760444407,1.6388912750909144,1.6029982878857478,1.659790370401303,1.6114590051386606,1.6532028210622673,1.56933095929169,1.6574184736213078,1.6099795196425246,1.6123999255259727,1.619191356007152,1.6800607540422587,1.5715588131753069,1.5521244234223663,1.6926889246193133,1.7305684290173082,1.5752326655476208,1.6523177163516454,1.5916473097890496,1.6216070158805405,1.5178231180414654,1.6075206245558382,1.5837909914796482,1.6329920672587972,1.5384920384604988,1.5658235034378352,1.5412840511776231,1.6108464287086486,1.5302047421374796,1.6150355308520368,1.7238702962007557,1.8448623085103977
Tsareena,Magical Leaf,Grass Knot,45,1.3410697999825094,1.374970328448459,1.331997126661149,1.3783968643128193,1.330646909728992,1.374866055761357,1.4070233560051555,1.383442900828637,1.3962873534417395,1.366429006088493,1.309350603604397,1.3736221241208204,1.3351313838680166,1.3330245771809128,1.3147457570274357,1.3554977776996995,1.3417163959334921,1.4191603567860351,1.3494652549199615,1.4398430247949472,1.3354909976636216,1.4061808879162323,1.361627120874913,1.4264274774451384,1.3426988013919319,1.395659512268156,1.312863634222706,1.3609085928610563,1.267091216303937,1.336012894204628,1.308011374432003,1.3735641067753872,1.3339899450210215,1.3759303795607563,1.3125650176544288,1.3622783704772392,1.344022770398482,1.4170928288274747,1.3173800622539897,1.3804801627167773,1.32718949168121,1.387116699496543,1.4051367489355842,1.4625958404904278,1.2960550171928729,1.3426245701781807,1.3994241731986419,1.426523137863101,1.357577117327591,1.402775711669353,1.3182238377311077,1.3822069646383057,1.2895158477711899,1.3088473227795157,1.3638053141795168,1.392536038977347,1.3212352960238505,1.3630815429318297,1.302917149053435,1.346992352471179,1.3287438225491321,1.3967130214917824,1.3400720944115352,1.4200303072048492,1.3805719059147477,1.449666246413019,1.296181839564087,1.3481229337898053,1.3166377727046465,1.3807995331193463,1.367090865842055,1.447871075166508,1.264754113295556,1.3271049323105515,1.295690883190883,1.3511663105413105,1.2984986830553116,1.3476382791922739,1.3221456816689257,1.3994578506853719,1.3375039568165537,1.3879929360411842,1.330971773412573,1.3897695185475896,1.3155082367788624,1.372017775868319,1.3261266486231043,1.3819972505047902,1.284238255986371,1.363394012051614,1.3307818139791256,1.3933518251809178,1.2937469296090955,1.3427187872833182,1.2885056524756784,1.3635700589363229,1.2882670794212785,1.3319863197797819,1.362242415214261,1.4122945528576394,1.3027376795421,1.360488138521905,1.3270226107394976,1.4137547994494217,1.3093100297007083,1.3604980580306147,1.3292171202493706,1.3748684543553265,1.3288539432928284,1.3892542292113415,1.3347661043219932,1.3907087552114354,1.3127470241534729,1.3524211256211718,1.2992540548350973,1.3434057002492503,1.2956350263817087,1.3580184405478868,1.3236207731465623,1.381825268404455,1.3368459974117213,1.398317618783509,1.3279022093994381,1.362144104471946,1.3521540756339387,1.426022198824252,1.3237598908073955,1.3930456528171502,1.3356718308486797,1.4115894823290323,1.314685751139035,1.364179166579982,1.3130808068489475,1.3751189053391546,1.3549618320610686,1.4049152857940792,1.3838367331244112,1.449329975198508,1.3133242464999144,1.3481942175243495,1.391128345786437,1.4386361486806014,1.3519432663561148,1.4301407415500442,1.3191467172315714,1.3673382318084855,1.323566065524806,1.3771023657730217,1.3602730128596288,1.4460189391371165,1.2613385479089132,1.3066116372746035,1.3877319706458677,1.4221193376109424,1.3288046154928586,1.41566171814536,1.3820062000769353,1.4492227275812912
