Rank,Raidboss,raid_move1,raid_move2,defender_name,defender_move1,defender_move2,estimator,effective_deaths,effective_combat_time
1,Registeel,Metal claw,Hyper beam,Charizard Mega Y,Fire Spin,Blast Burn,2.5099413,18.43288520917529,713068
2,Registeel,Metal claw,Hyper beam,Moltres Shadow Form,Fire Spin,Overheat,2.7912881,21.99472668073705,792949
3,Registeel,Metal claw,Hyper beam,Entei Shadow Form,Fire Fang,Overheat,2.8671339,21.305167831939567,814414
4,Registeel,Metal claw,Hyper beam,Machamp Shadow Form,Counter,Dynamic Punch,2.8971295,31.72036374008793,821389
5,Registeel,Metal claw,Hyper beam,Charizard Mega X,Fire Spin,Blast Burn,2.9127893,21.143403802903343,827379
6,Registeel,Metal claw,Hyper beam,Reshiram,Fire Fang,Overheat,2.9344034,21.479946642033532,833828
7,Registeel,Metal claw,Hyper beam,Chandelure,Fire Spin,Overheat,2.9768162,15.120933471389948,887090
8,Registeel,Metal claw,Hyper beam,Houndoom Mega,Fire Fang,Flamethrower,2.9953482,22.3588313948756,850853
9,Registeel,Metal claw,Hyper beam,Lucario,Counter,Aura Sphere,3.0011566,22.0179731545736,852462
10,Registeel,Metal claw,Hyper beam,Hariyama Shadow Form,Counter,Dynamic Punch,3.049708,33.111862218064815,866842
11,Registeel,Metal claw,Hyper beam,Arcanine Shadow Form,Fire Fang,Flamethrower,3.0718775,32.16555059074877,874231
12,Registeel,Metal claw,Hyper beam,Charizard Shadow Form,Fire Spin,Blast Burn,3.1028407,33.288023720706995,881395
13,Registeel,Metal claw,Hyper beam,Magmortar Shadow Form,Fire Spin,Fire Punch,3.1572433,34.04168264030747,896937
14,Registeel,Metal claw,Hyper beam,Houndoom Shadow Form,Fire Fang,Flamethrower,3.168197,34.39122284647219,899483
15,Registeel,Metal claw,Hyper beam,Ho Oh Shadow Form,Incinerate,Fire Blast,3.1978686,22.83432217903892,908342
16,Registeel,Metal claw,Hyper beam,Conkeldurr,Counter,Dynamic Punch,3.231988,24.375234627530823,918237
17,Registeel,Metal claw,Hyper beam,Salamence Shadow Form,Fire Fang,Fire Blast,3.263989,31.881468402057116,928543
18,Registeel,Metal claw,Hyper beam,Excadrill,Mud Slap,Earthquake,3.285429,19.72778793927103,954616
19,Registeel,Metal claw,Hyper beam,Machamp,Counter,Dynamic Punch,3.3307061,28.634760509711803,946744
20,Registeel,Metal claw,Hyper beam,Emboar,Ember,Blast Burn,3.3471372,27.251700436080775,951269
21,Registeel,Metal claw,Hyper beam,Mamoswine Shadow Form,Mud Slap,Bulldoze,3.3575811,36.32344060855802,953178
22,Registeel,Metal claw,Hyper beam,Moltres,Fire Spin,Overheat,3.3722522,24.404856233303214,957947
23,Registeel,Metal claw,Hyper beam,Darmanitan,Fire Fang,Overheat,3.376698,37.201195754010016,957098
24,Registeel,Metal claw,Hyper beam,Breloom,Counter,Dynamic Punch,3.412151,36.98566197521301,969176
25,Registeel,Metal claw,Hyper beam,Blaziken,Counter,Blast Burn,3.4220853,36.62360713932954,972050
26,Registeel,Metal claw,Hyper beam,Entei,Fire Fang,Overheat,3.4427152,24.93041829240912,977994
