Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Suicune (Apex), Tier 5","Suicune (Apex), Tier 5","Suicune, Tier 5","Suicune, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Brionne, Tier 3","Brionne, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Mega Ampharos,Charge Beam or Volt Switch,Zap Cannon,30,1.334307461799216,1.2832854581913644,1.352931849056759,1.3783527271481157,1.270462226932124,1.2925802453636637,1.236651472852896,1.2746638694677086,1.272432925690043,1.2853687228606523,1.2828610380262864,1.2968999534273256,1.418940897118039,1.4136425396774246,1.3300801982400847,1.2611791489724824,1.3021105853871764,1.2756110182648013,1.31099627685287,1.300332303091477,1.3499434741082819,1.3320396773579641,1.2925281758096607,1.2911588325400694,1.3082137444705293,1.2948343993618807,1.2640232027205074,1.343535528190545,1.2274782507098074,1.261364218433103,1.2534238798044381,1.2896018045682858,1.3716668620854224,1.325536002375942,1.245883935373622,1.2982635385440393,1.3030304622996047,1.335688244436849,1.2557885724541213,1.276377702086937,1.2133566590024674,1.2648973161607062,1.2211204060547076,1.2384399183644277,1.262653273963385,1.2987712997035459,1.259328682149835,1.2850616426507102,1.228272897055564,1.2680267705274082,1.357711641129614,1.4002493057219905,1.2660856943993883,1.2898741830886598,1.2762793740886,1.2972146899049697,1.253301780587297,1.2739660342142327,1.2730021211741591,1.2844759959705878,1.2189024523162997,1.2674822922890094,1.2728805587369552,1.2702074536505212
Roserade,Poison Jab or Razor Leaf,Grass Knot,35,1.479547663036526,1.30088132173549,1.3651382854452603,1.3726831589066584,1.3255901132327428,1.3408784835913712,1.2731853892333918,1.2827314826252494,1.312591715086959,1.3199321212380675,1.3154493295349385,1.308129411551233,1.396891362199928,1.3993103353225007,1.3530501324544884,1.2787672550916678,1.2409390162716443,1.2244980159961565,1.326594625919516,1.3213780090116942,1.3203611731027858,1.2984955518567751,1.3191530950253674,1.2982234534952453,1.3879672149819373,1.3525977793039778,1.2627677865256093,1.323589400007997,1.315364750127103,1.3084000878819064,1.2564955645616254,1.2791610794244168,1.3501398669052853,1.320197058606151,1.2940390292877493,1.3051076381283158,1.359520406884489,1.3492290517180918,1.3127838400335687,1.2949580472932776,1.2756744146107213,1.2821709036511473,1.301519000860647,1.2980996814147256,1.276668254309943,1.3240564398709773,1.326969240050169,1.3330067392233484,1.2431969616482865,1.2843581432723385,1.3789255837657783,1.4096420462083485,1.3225863972743985,1.3062664772026338,1.362266005797416,1.3365573002262658,1.3544252260477856,1.3339996366465268,1.32561488419384,1.3177831015248611,1.2228767232529394,1.2706684946622835,1.3224046722519311,1.2932432231760604
Mega Manectric,Thunder Fang,Wild Charge,40,1.0115802031124626,0.9967817147907386,1.0707995227640645,1.1114522457103921,1.0239627517007162,1.0527838612329476,1.0,1.0262605924352102,1.0096268994780544,1.0354074040294028,1.0178104068758203,1.031029836753703,1.1392501176661873,1.1461907082429184,1.0092994083701088,1.0159779999117173,1.0214271075603785,1.0379309297872046,1.0148788912710798,1.0450388250484022,1.027734098195697,1.0296984632239705,1.0275165282324457,1.0304555286214583,1.019824216184815,1.0359984806822833,1.0079200543789382,1.0377748910909628,1.0,1.0293388410510103,1.0,1.0492045991923094,1.0091483024432317,1.0241274358280246,1.000890808923026,1.0173496971673124,1.0,1.0453472999769562,1.0092313946522324,1.0119285784702,1.0032053214053758,1.0310520702050932,1.0045013419644975,1.0193851610493703,1.0048385265088404,1.0362963050851481,1.0032990139211138,1.0442685675270686,1.004355269203362,1.0137413048505437,1.0938321678252183,1.118270985647033,1.0,1.03140076973571,1.0076856138092865,1.012035640046382,1.0046980361831737,0.9975847863590273,1.0197279661631315,1.0200710303664902,1.0098398039234846,1.0181020698613128,1.0038669284176502,0.9990783797678725
Shadow Zapdos,Thunder Shock,Thunderbolt,35,1.0991274362448105,1.0669049279447165,1.1159941121688501,1.1471980794317147,1.100431921019059,1.1259487838019027,1.0907129700543243,1.1143556148484874,1.0976864124047776,1.108532321286602,1.1232411194377407,1.1204142427706505,1.1767933049354282,1.196546443305205,1.1607051887904178,1.0747943179077168,1.1063105029640619,1.0912370745062983,1.1075668457066716,1.1261731106875488,1.112945424247861,1.099128385343689,1.1173863518281069,1.1092166449362018,1.1111893668600161,1.1060688696098178,1.069842685320905,1.1422570965196897,1.103147704677849,1.1204710233119881,1.097399537956361,1.121381664522805,1.1303290177003222,1.1109389919694377,1.1011692925768362,1.1219823077802575,1.1410895223729145,1.145105414204133,1.1034224290891528,1.0884667935802521,1.0729638745804733,1.1071903941186445,1.1132508350295307,1.1107170662252301,1.0813718593901755,1.1181985446791634,1.114637553679733,1.1429333000697073,1.1063661977596135,1.1134740566149526,1.176403673863992,1.1956497874060859,1.079605963547973,1.1042774094601038,1.1194007653187692,1.108323504165977,1.1134915939571524,1.097342705989587,1.1156469126193331,1.0991588102133032,1.0899297445332163,1.1030461403979082,1.1021102383473111,1.0852243924864193
Shadow Cacturne,Poison Jab or Sucker Punch,Grass Knot,40,1.429096109203656,1.2215244354918422,2.095045716543505,1.6127072120240398,1.2241805769514678,1.2665585952645604,1.2591941102354425,1.2934635719050325,1.5224237934441878,1.3359475792801092,1.3016754307972394,1.29812303653838,2.0712221829909123,1.7088398882948561,1.3414466203006135,1.2906131468118498,1.3264671068817049,1.260937560695515,1.6805635564883947,1.3536161677006655,1.6512469675101056,1.3845065987658207,1.4634503418678504,1.405679102828176,1.3966554604080463,1.1969692375790748,1.3057620804429895,1.3192583360396022,1.3493139411775417,1.303063675013049,1.2293861310680436,1.2397224111865042,1.549147643590999,1.4144364663824158,1.3759637886557756,1.373622297016637,1.3650387597026545,1.3192764089020927,1.363775221696067,1.3211708722466515,1.2779675791128262,1.274157193007892,1.3230521550088061,1.273294000471776,1.3706831499068604,1.3346579758734722,1.3650679773680139,1.318266357690194,1.3620995588668245,1.3000983166387154,1.6515848188516997,1.555879280511504,1.3796535123189697,1.4101430270686839,1.1184235387434442,1.134904113783252,1.22437108016913,1.117366898498605,1.20009515405888,1.1862697576619945,1.2773056446619517,1.261282466528526,1.3133338408288706,1.2640968739160685
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,35,1.3241610599845333,1.2448945244816436,1.5368683892221593,1.4839943964858036,1.2578135725096489,1.3152731056243316,1.253534448918865,1.3020617332751385,1.2981212934424426,1.3272223291205567,1.271685144526501,1.3130375182208027,1.725270076275121,1.5860066423053771,1.319632084857002,1.285143925389035,1.3530318623828672,1.3333293446380103,1.556278709434227,1.3498215600650205,1.3163917567869767,1.3007876181688913,1.281915765470327,1.317927381609763,1.261072056804942,1.268143584931315,1.3118877859014606,1.3349482200552567,1.2960168245591832,1.3141561199207032,1.3300048422451383,1.347004167262079,1.3514580240342549,1.355922760745213,1.2955647416750364,1.2995315553854867,1.3945417613889732,1.3655359337600566,1.2996740225098884,1.318952030619848,1.271379637083552,1.2922413177996483,1.3467143959267525,1.3027802085533258,1.3100145260884821,1.3445723787359762,1.356936714202487,1.352983379158271,1.3109779358704055,1.3002386299668525,1.4282841084827713,1.469692013355711,1.2961164442291906,1.318685083058047,1.2175926194411422,1.2745928573366123,1.3292289918804474,1.2618911150759082,1.2584979672460135,1.2796154344312094,1.2523161152282318,1.27718341117895,1.3310328258430066,1.2947660693069045
Tapu Koko,Volt Switch,Dazzling Gleam or Thunderbolt,50,1.1650409590024768,,1.2342361203861916,,1.1967351075603545,,1.1987046827690897,,1.2068668904784297,,1.2005714527650257,,1.249685352392337,,1.188857823507326,,1.2067665537181265,,1.2177864963595062,,1.1482110502406018,,1.1672274230548354,,1.2202299368255884,,1.1894914262475902,1.2495921872211446,1.1904609609183745,1.2312694067251673,1.2001066963539848,1.2534315290332427,1.2106890728632969,1.2427037236003755,1.1643346708299345,1.1935261212200772,1.1984339756300946,1.2463455571576885,1.1775433136103295,1.1993594496968245,1.1707524315013973,1.2179472221567584,1.1567251928998796,1.1935556679137787,1.1929924589769363,1.248112303444395,1.201344334657518,1.2646593690214516,1.1758729788328084,1.2195833585630507,1.2418783924054178,1.2886336499454167,1.19225268775444,1.2268972827750695,1.1701376644651202,1.2153142012994769,1.171165572724266,1.1957254724759743,1.1851869669575483,1.199296187558751,1.1770105520211012,1.220266854741658,1.1812805581742292,1.1944496765810142
Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,30,1.5166474306048163,1.4061919465828612,1.5761344010314844,1.5751761027483688,1.418339140352696,1.4413664268789084,1.407716453514067,1.424514058738433,1.4449701334843508,1.4596516437926208,1.4449450260988428,1.4446793320147822,1.6172535483454726,1.6098328384440084,1.4759426109971328,1.401829137197554,1.4145779967789798,1.4239100257494097,1.4990521503585392,1.473122396739961,1.3792529118315495,1.3415772146334324,1.4394481973793374,1.3841784216362956,1.4015110394757038,1.357216950914011,1.385313649249998,1.4628337512202592,1.4101217012006717,1.4224833750377288,1.450684364224621,1.4673491063075466,1.5219121046081712,1.4598840300114775,1.3899716242326206,1.4078611385184778,1.5022637269395904,1.4752002451871267,1.4591673158311933,1.4352722126902384,1.419605692214559,1.4206299377721852,1.460614300144307,1.407818544783545,1.4536046564842797,1.4665559271356488,1.4545802438866162,1.4434692467283348,1.3978900516688921,1.4199854770996876,1.5649664840158295,1.5554352274682832,1.433940867117786,1.3599891865383062,1.3686829944647991,1.3542865302836569,1.379530513151377,1.3369500047360174,1.3613926586687106,1.3265543523199603,1.3758541053947486,1.4050162298048248,1.438441442648289,1.4085237991699477
Shadow Magneton,Spark or Thunder Shock,Discharge,50,1.146248913429,1.109687525438117,1.4349644948911948,1.2904128153808205,1.2094303938520203,1.2093265659144408,1.1880491115667884,1.2049020294103923,1.198870649473692,1.1851976415771495,1.1515335958338626,1.1599029836753703,1.68230016239898,1.4435649395842636,1.2331312270964068,1.1827502609980431,1.174671546567497,1.1670524985232151,1.261423427524489,1.201562613491493,1.2380787417685875,1.173316167466412,1.2799317056243147,1.1912957308695715,1.168436297452538,1.1708606497796823,1.1712157535081535,1.2064838496699328,1.165773172397123,1.1839664203066471,1.1962658580317487,1.22003284295544,1.1456632319250504,1.1651973745089346,1.1944712102028034,1.2039770537784504,1.164570295927788,1.195752142882601,1.1692514145442492,1.1621740615415406,1.2006345967331487,1.1963678064727266,1.173594096350437,1.1683235762884807,1.1728439606558267,1.2073718627801613,1.1770921978034559,1.197314896348506,1.1949613515256,1.1761523028038212,1.3147942706060238,1.322318344458952,1.2437823965981762,1.2184192242026597,1.1619971496194141,1.1684782578194497,1.196197272985601,1.1512602620182266,1.1959087242955884,1.1792939671962674,1.1844064037976534,1.171441454449637,1.2031387140052667,1.1632755127098715
Luxray,Spark or Snarl,Wild Charge,30,1.4174023430686218,1.3902362510611328,1.5295477120295495,1.5213166877946775,1.4176737025122574,1.4403885448439853,1.3903329188318196,1.4288770989286095,1.4000756638561065,1.4205509734043409,1.3719557982979804,1.3884933316397816,1.6066465133289871,1.5967483051508193,1.4852076143882467,1.380096892846559,1.3983767647186205,1.4245041329878645,1.4378469708885713,1.4054993907463578,1.5253927219063221,1.4375381894349284,1.5649542916288393,1.4440628314015898,1.4432433598051313,1.4193645422534371,1.3853127325318877,1.4242980231071478,1.406424395949474,1.415642767670465,1.4062075928171587,1.4455546591792616,1.4258803743208643,1.4104795053443362,1.4245048484412193,1.4192074803311778,1.4136539073988268,1.4560690794363258,1.4153745455042896,1.3868657523793322,1.420613419933955,1.4282760683534204,1.4059634153714067,1.4064781197327072,1.3553431428217901,1.4165148235597222,1.4160920263971994,1.4406102364833921,1.4218746061535146,1.4036571805753741,1.5361608409480176,1.5235775271727834,1.4191360196409017,1.4226807637654606,1.432555698874845,1.4002568366886572,1.4114794852803023,1.385568655949292,1.4138346782400533,1.3910285829203772,1.400001735698375,1.3923695487710401,1.4665175651031064,1.376589251713462
