Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Suicune (Apex), Tier 5","Suicune (Apex), Tier 5","Suicune, Tier 5","Suicune, Tier 5","Urshifu (Rapid Strike), Tier 5","Urshifu (Rapid Strike), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Tapu Fini, Tier 5","Tapu Fini, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Mega Swampert, Mega Tier","Mega Swampert, Mega Tier","Brionne, Tier 3","Brionne, Tier 3","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Corsola, Tier 3","Corsola, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Feraligatr, Tier 3","Feraligatr, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Kabutops, Tier 3","Kabutops, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Omastar, Tier 3","Omastar, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Politoed, Tier 3","Politoed, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Quagsire, Tier 3","Quagsire, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3","Whiscash, Tier 3","Whiscash, Tier 3"
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,2.272727272727273,0.0,2.272727272727273,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0,0.39473684210526316,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Cacturne,Sucker Punch or Poison Jab,Grass Knot,35,1.5599923457348828,1.4032728259435612,1.569361250833512,1.4025531912747662,1.574137597556274,1.405176245422207,1.8844767258459674,1.7194651069618547,1.4417490046078805,1.4816717155110914,1.4524117966775043,1.4867212541237438,1.4995372667629656,1.4756011704130774,1.4270539313856836,1.4492054156279872,2.318277944015292,1.8594471379680089,1.6633935913437579,1.4670574613011917,1.561329484422677,1.5089884758838488,1.6340139024997442,1.5119348025924553,1.4854612801536806,1.4409980129521744,1.7693081634644283,1.6279840554708553,1.8469855133197,1.4929721295870497,1.6921684453512342,1.6039948257699101,1.6263547033676424,1.6275317838462968,1.3889552595664039,1.3245190488301868,1.7249942848865794,1.5922187745417316,1.5126753045544705,1.4980638782025717,1.4792523039726464,1.4443375356361465,1.3769194333597439,1.3670359819150455,1.475582256806015,1.4761146218446815,1.2773161180788553,1.2854100779254198,1.595555331632064,1.5014655311685012,1.5510488989862845,1.6386301164429309,1.563443748527302,1.5582840716164015,1.5425681227144452,1.4834010964494202,1.5252442592307374,1.5172076024163208,1.466978667752667,1.4659117739774201,1.4702867948203742,1.4689699556189362,1.5991085912925251,1.5620108458275404,1.3416308719055792,1.3232988306998998,1.598238994913408,1.5882135147706458,1.4710184299114615,1.4567241251494354,1.6545085067564562,1.6051456528414487,1.5091900226651116,1.4646802553207752,1.496611180640256,1.4936526098191998,1.4282275929215693,1.4461961445757678,1.4104545521468719,1.4863782082014696,1.5447594824398192,1.4982994895754858,1.6089492549899416,1.563435492370743,1.4905999540891495,1.5738283335638608,1.557058614191766,1.4777972568390658,1.540414258313693,1.4823754751801095,1.6827316154389045,1.6958605329883423,1.5836713594149123,1.5918965910343588,1.6361090290854778,1.6145381512357333,1.560789216845026,1.5853004888802036,1.2668206536012565,1.3002192952684661,1.3950185704966107,1.274161202724937,1.3174858392039317,1.3064051238017667,1.3826071463273009,1.4697656684029767,1.5241907684326736,1.4931354955282539,1.4618849613241247,1.4689564230763628,1.5252119550229524,1.4948421045108833,1.5423153757982644,1.6414893419445573
Victreebel,Razor Leaf or Acid,Leaf Blade or Solar Beam,45,1.4086109724387486,1.3176483799426917,1.4077518857953912,1.3139203350967414,1.4036933089237624,1.3128185937267278,1.2614190528348876,1.3001044856645467,1.273994542504427,1.312114392272232,1.2938213236833347,1.3192711132335642,1.271099584902309,1.3009090247659432,1.244237113837658,1.2697056445012447,1.2665067278058721,1.2948115186319107,1.4408349238712594,1.2841062685288016,1.34035629864097,1.3175482463242512,1.287880246556838,1.2987582458325955,1.265195649393478,1.2778654826302593,1.3065930636265017,1.281027483148566,1.242089690144335,1.2719174338636254,1.2748547420781893,1.2924788358986175,1.285376546873388,1.3045176705978903,1.292314649965326,1.332200306972184,1.3266129429582412,1.2887558592229613,1.2279527894720428,1.3051234386111699,1.2457318234325216,1.2675852902819893,1.2460937159747472,1.2585166146195257,1.2750468444291236,1.279335159886183,1.2977217543314208,1.3176158254070722,1.314582076339502,1.317248242681411,1.2645053330205918,1.340696640241057,1.2530471835613655,1.2965515672707202,1.282516675425298,1.3097138409775277,1.2494954319544957,1.2748301986672732,1.2441658259470862,1.2608709098967361,1.2443383341765646,1.2956091014822522,1.2866493027661663,1.269996780432558,1.2828365183416026,1.2761622936469943,1.261053007192245,1.2801967925962636,1.2867563683803018,1.2902690387326707,1.2689749629118303,1.292295955291847,1.2453789269543725,1.272846449060533,1.2456864851261114,1.2996413711130534,1.2401502872465355,1.2814957736113484,1.227058567203054,1.3034560849595676,1.275614130501646,1.3185803786535013,1.25847944645393,1.2926041653799951,1.2292188075368247,1.2769592126982552,1.270482760431343,1.281719207683138,1.2632059183327675,1.3199215262039252,1.2934601151752692,1.341571179304125,1.250293836932393,1.282410705717719,1.2723820898866456,1.2816527814927339,1.246773562270915,1.2582312733859506,1.3076710555335966,1.3182528394198971,1.306413685637903,1.3003560310751225,1.2605417195212063,1.2785965229064475,1.2172399004789762,1.2977802098526234,1.265287160845014,1.2877341822951298,1.236412458503756,1.3115634311870474,1.2847279067087036,1.2854805945613486,1.238926786875043,1.2935916984058462
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,30,1.409969970951533,1.3041556947951503,1.4043025632226265,1.3033087869893492,1.4035597958746904,1.3013403390130047,1.375772590658397,1.3749361134450817,1.3080947864649308,1.3293322131102128,1.3331453367810489,1.3490531206376997,1.3116236962924,1.3249503501598077,1.3129660096722526,1.31272458366985,1.4171869181922003,1.4106842068475176,1.4338048948407964,1.3015884380680847,1.4261913786693035,1.354576129818413,1.3390037209864916,1.312279441180796,1.3242156511155305,1.332951555991363,1.3790539722394064,1.3467969640705582,1.3543635662525597,1.3309365536736386,1.2866573801159313,1.251511024117597,1.3646999627889222,1.3123002577927974,1.294962813253774,1.2540361306100047,1.4643973068020686,1.3344728251283682,1.250104162405771,1.3200581415610395,1.2658840430135445,1.2769812735872916,1.299105435270803,1.314028913838028,1.3077879129662526,1.3064650429385687,1.2717869003280078,1.2778219392838015,1.3856293252951666,1.3291556834254854,1.2794518800662096,1.3499048032275376,1.2832312677234672,1.2997469891207811,1.3433751113677828,1.3191740292533385,1.348382198300553,1.320354945665779,1.340564186542538,1.3186113102980086,1.3330068323594664,1.3339685968366148,1.3465656963652812,1.3005363441949953,1.3402494939143832,1.2998757023115617,1.3120426783442913,1.3161068308243622,1.3310200589461176,1.3023923363270797,1.3257850061734286,1.3127133220085552,1.3472220964988617,1.298525046075393,1.3001718477460806,1.3117560686814873,1.2617059433535396,1.3119799851755083,1.2517999630561085,1.3134800539484741,1.324089714001611,1.3139754854388255,1.3181745626519161,1.3121771146470258,1.2446868774162043,1.2838462052200417,1.3201391415182675,1.315721124979028,1.3118330658192943,1.3325682514291048,1.390520889446894,1.3820520746400546,1.2737946858937699,1.3085265765252632,1.3050150186382747,1.301168265091849,1.3030390179658353,1.2358382515681976,1.248053177876517,1.2349255559625134,1.2477506209476887,1.2092376230045232,1.2353913309517421,1.2037774234032952,1.2354304643475302,1.2991017963846867,1.3407176847576485,1.322400309326873,1.3035417681648747,1.3311711854613022,1.3531980910732597,1.3250533944286982,1.263513518303104,1.3342693112793
Zarude,Vine Whip,Power Whip,30,1.0835991742896216,1.0843019665716018,1.0843677035520778,1.0856726618177457,1.0852923900042277,1.0855615600461694,1.158453030837355,1.2016184364904887,1.092577101370515,1.134650274562593,1.1353641467004818,1.2118135361027145,1.1302578222455992,1.1729676670694549,1.101435809811885,1.136125002302802,1.209243858589293,1.2227068217877963,1.1264776612217167,1.135714647034099,1.1298059743753737,1.1594298914169352,1.1861229848496695,1.2046114969384014,1.1740865389840056,1.201762010688428,1.1342893291750271,1.156910021376676,1.1360246943734678,1.11720698042747,1.080369644049247,1.1013851922489961,1.1258550101229832,1.1629922575702816,1.1224528302391403,1.1692267740293723,1.1233847414354592,1.143092891285733,1.127161669135845,1.1935951244249683,1.1160249725025133,1.160533221900567,1.150942358119003,1.2116024743470473,1.1222745700173062,1.1819706531783887,1.141755273197784,1.2104518298612528,1.1602351856064725,1.1807269669274618,1.158173460127162,1.2143940722097206,1.1237999397948548,1.1952828877714252,1.1439717019347224,1.191546623481572,1.1182503703283087,1.16074233499756,1.1496707983824306,1.1866205673842185,1.1262693255109413,1.1980820634616878,1.1137956752141969,1.1705675118034642,1.1355230549748614,1.2007219238708338,1.1258788686873682,1.1806184112772928,1.1260378150172872,1.1912406725229694,1.1201563713833638,1.181683790726419,1.1348052314407322,1.1836017216468233,1.1618335783067046,1.1996388695799167,1.1067505805672393,1.1663673480885737,1.1631520191643032,1.2344407015281234,1.1758183762956917,1.210227396907347,1.1341736392585824,1.1948522897632363,1.1383361805602947,1.2028956681397311,1.141268130647297,1.1785735800510597,1.1532771343720154,1.2074637065026532,1.1730819765661824,1.2219015469079297,1.1259495021458084,1.1922482251435198,1.1165239062670254,1.1675749233367438,1.092203880372437,1.1665933337134688,1.1210731217125345,1.1725757026415011,1.1103442546626376,1.1490335546999262,1.0907804846428115,1.137446530152514,1.134753386834137,1.206769497643368,1.1384259204575404,1.2017926635617302,1.1409610457296298,1.2092328434982607,1.1391070703984745,1.1773529980154487,1.1337044637585,1.2092261452864042
Shadow Vileplume,Razor Leaf or Acid,Solar Beam,50,1.2569376570804984,1.130312389379189,1.2512401032855218,1.1283936973188553,1.2432177704186789,1.132994088558415,1.0819559001898984,1.0874353861252908,1.1272632579774318,1.1150534722176433,1.0867072681161205,1.1065237901534737,1.0856134103513486,1.0808131602092923,1.1125798775581934,1.1037378205945831,1.1109967486735,1.121500693195459,1.3281307035284649,1.129239437538535,1.2441510067205164,1.1468581653505767,1.1174338592802449,1.095069859902249,1.0773381667832813,1.0602656892765456,1.1453482471558791,1.111624648010946,1.1004966552689988,1.107128130666732,1.096170944592654,1.1025142101897238,1.1292245978080844,1.1187873397696781,1.1781113962955265,1.1611789170712423,1.2239575091170838,1.108096394256114,1.0491052347258805,1.0930484988468916,1.0853778582023876,1.0795785229911599,1.0311698483964753,1.066853662585518,1.1234200616279966,1.1012958381579172,1.122640682562988,1.1162460006276405,1.144200580772363,1.109109537327359,1.0961679263060904,1.1601010913672873,1.0802724016273162,1.086290001858754,1.1196086757155224,1.1124760998055083,1.1002197277109482,1.0917206368477177,1.1131083623653206,1.0891137164508353,1.097277891519363,1.1062317864186428,1.1510869826751284,1.1107864052454393,1.120094803935331,1.0939802759497548,1.1094796608778397,1.10040328144851,1.1006254978076473,1.085190245362164,1.1005143970286073,1.0975459265666418,1.1080055961982203,1.097691399616937,1.0525875328136713,1.0750437199768645,1.077694421800806,1.1117739212189184,1.0346804903961346,1.0784512071534063,1.0806330335050671,1.0921078151471533,1.1001244650344182,1.110318723284158,1.0513738037358586,1.070545233318723,1.1138426353593456,1.0967407228647874,1.0772965830864984,1.10357951341274,1.1223662326789563,1.142742905504465,1.0769459939455568,1.0889845679224024,1.102147155827254,1.0785242784620135,1.1029694310089886,1.0832841555979855,1.0966791973848613,1.1192853815924604,1.1245504844339984,1.1180485283697779,1.0964568729664734,1.0908437931073873,1.0228563351395796,1.0708863733012286,1.1109377402512517,1.1113471136753172,1.0500345565991775,1.0978616991487908,1.1436937077760068,1.1032009070722395,1.0782981987173899,1.07599440568165
