Rank,Raidboss,raid_move1,raid_move2,defender_name,defender_move1,defender_move2,estimator,effective_deaths,effective_combat_time
23,Pidgeot Mega,Air slash,Hurricane,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3160188,41.70618088538531,606378
26,Pidgeot Mega,Steel wing,Hurricane,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3733823,44.89482438759235,613768
21,Pidgeot Mega,Air slash,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.177368,32.02696713527268,588364
18,Pidgeot Mega,Steel wing,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1462615,33.275698137402316,580263
15,Pidgeot Mega,Steel wing,Feather dance,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0477512,24.549042403014315,568607
15,Pidgeot Mega,Air slash,Feather dance,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0356717,23.534349506961906,576652
26,Pidgeot Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3548026,40.92241197889607,622783
30,Ampharos Mega,Volt switch,Power gem,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.9892929,61.621716482973916,768828
28,Ampharos Mega,Charge beam,Power gem,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.7665844,50.575154805633936,725650
24,Ampharos Mega,Charge beam,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.541399,38.323486107222124,687043
23,Ampharos Mega,Volt switch,Thunder,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.5247226,44.19106802419086,671394
23,Ampharos Mega,Volt switch,Thunder punch,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.4593434,34.624690551259434,664824
22,Ampharos Mega,Charge beam,Thunder punch,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.4609284,34.19151972156796,666718
29,Ampharos Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.80559,48.94334757092867,740358
24,Aerodactyl Mega,Bite,Earth power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.7092,44.48613696949954,725775
27,Aerodactyl Mega,Rock throw,Earth power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.8011096,51.59772072342684,730628
23,Aerodactyl Mega,Steel wing,Earth power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.6928136,47.276991867381454,714637
30,Aerodactyl Mega,Bite,Ancient power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.762741,48.5115748976958,734204
29,Aerodactyl Mega,Rock throw,Ancient power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.8809378,59.58789645164912,738956
30,Aerodactyl Mega,Steel wing,Iron head,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.7683203,58.54051690587273,707445
30,Aerodactyl Mega,Rock throw,Iron head,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.8437662,63.52649838439429,722000
12,Salamence Mega,Bite,Fire blast,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.6354666,53.38145626824468,678133
9,Salamence Mega,Bite,Draco meteor,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.615664,50.58827913460086,679202
3,Salamence Mega,Fire fang,Draco meteor,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3236468,43.39486571273229,607456
4,Salamence Mega,Dragon tail,Draco meteor,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3358483,42.29616737147773,613388
6,Salamence Mega,Dragon tail,Fire blast,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3840473,46.58715342793835,617829
6,Salamence Mega,Fire fang,Fire blast,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.3910937,47.951186477690364,618569
3,Salamence Mega,Fire fang,Hydro pump,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1984193,44.84014825077042,565267
4,Salamence Mega,Dragon tail,Hydro pump,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.2011962,44.05605569363284,567522
3,Salamence Mega,Bite,Hydro pump,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0092673,34.73716960996926,538836
4,Salamence Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.2435327,40.8313493832424,587786
27,Rayquaza Mega,Dragon tail,Outrage,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.774914,77.86641455319236,664457
28,Rayquaza Mega,Air slash,Outrage,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.739057,76.27086837275112,657003
12,Rayquaza Mega,Dragon tail,Ancient power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1551397,51.594862573110966,536801
12,Rayquaza Mega,Air slash,Ancient power,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.1680207,51.37306404851991,540793
4,Rayquaza Mega,Air slash,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.7568082,33.463537556768124,456642
3,Rayquaza Mega,Dragon tail,Aerial ace,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,1.7604244,33.94248436534961,456439
9,Rayquaza Mega,Random,Random,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.0847852,47.32639535584495,525664
22,Altaria Mega,Dragon breath,Dazzling gleam,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.889783,48.00522261241993,772997
16,Altaria Mega,Peck,Dazzling gleam,Darmanitan Galarian Standard Form,Ice Fang,Avalanche,2.817528,44.87466966756003,755895
