Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Arceus (Water),Arceus (Water),Keldeo,Keldeo,Manaphy,Manaphy,Phione,Phione,Terrakion,Terrakion,Urshifu (Rapid Strike),Urshifu (Rapid Strike),Groudon,Groudon,Kyogre,Kyogre,Regirock,Regirock,Suicune,Suicune,Tapu Fini,Tapu Fini,Mega Sharpedo,Mega Sharpedo,Mega Swampert,Mega Swampert,Mega Blastoise,Mega Blastoise,Mega Gyarados,Mega Gyarados,Mega Slowbro,Mega Slowbro,Alomomola,Alomomola,Azumarill,Azumarill,Blastoise,Blastoise,Boldore,Boldore,Brionne,Brionne,Claydol,Claydol,Cloyster,Cloyster,Corsola,Corsola,Crawdaunt,Crawdaunt,Dewgong,Dewgong,Donphan,Donphan,Feraligatr,Feraligatr,Floatzel,Floatzel,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Kabutops,Kabutops,Lapras,Lapras,Lumineon,Lumineon,Marowak,Marowak,Nosepass,Nosepass,Octillery,Octillery,Omastar,Omastar,Onix,Onix,Piloswine,Piloswine,Politoed,Politoed,Poliwrath,Poliwrath,Quagsire,Quagsire,Rhydon,Rhydon,Sharpedo,Sharpedo,Slowbro,Slowbro,Slowking,Slowking,Starmie,Starmie,Stunfisk,Stunfisk,Sudowoodo,Sudowoodo,Vaporeon,Vaporeon,Walrein,Walrein,Whiscash,Whiscash
(Boss weights),,,,1.5151515151515151,0.0,1.5151515151515151,0.0,1.5151515151515151,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,4.545454545454546,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0,0.38461538461538464,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Virizion,Double Kick,Leaf Blade,50,1.5425810268281628,1.5714073793042698,1.4064589212750527,1.4175983027216246,1.545544050156133,1.5760696034557826,1.3270447250541872,1.3867464644790686,1.533014895549304,1.6098261265834843,1.5079677786533576,1.6133075879647238,1.206849048024554,1.2286780234967525,1.3450548480665092,1.4152420355776383,1.31393135185331,1.3316171921575686,1.5094751230164725,1.5354502123901137,1.2873696207006307,1.327438669030709,1.5030229221741438,1.5698589460198658,1.6046645126752819,1.6583984541330594,1.3445892586650834,1.3817189443056515,1.4844894136999498,1.5204438396106703,1.487904331716158,1.534223306471543,1.3575265535972065,1.3770440210875798,1.5897739051451234,1.6702504315987408,1.5550372637106267,1.634759600206102,1.67540157079039,1.7626430108409155,1.5441555771984423,1.605841892612377,1.3858087557227026,1.46760936479806,1.5755309853019293,1.6843444222004833,1.6283455787029981,1.7244829293368813,1.3575340400813205,1.4031048648871018,1.585790093231445,1.7078560011588186,1.3872363292582104,1.4927765847349619,1.4139882176580103,1.4906887536003417,1.4860540741899297,1.5633813375251793,1.4902108837733747,1.5673219423084197,1.525484291811415,1.6235952954177795,1.5160433854396915,1.6047905359887498,1.6083983145622032,1.7409541386628429,1.5196313244558541,1.6002592540529337,1.5324227376087995,1.620217968106534,1.524876397843433,1.6124979437397609,1.415139068601651,1.4739285420013502,1.580711496926539,1.667947708421957,1.5219998314354481,1.611645167166938,1.4685299941868277,1.5373625292240876,1.550595612976633,1.6574385815340045,1.5606975954250488,1.6371901798534063,1.6048570378279545,1.6761619276298796,1.4094261708965186,1.4462589364530267,1.5458943669248024,1.6355409568179524,1.4640976911580448,1.5544622492023976,1.6463414558836917,1.746011666267532,1.3934544989835151,1.4791050182193692,1.3366159058588398,1.4374636973957045,1.6449288080097832,1.7246074569337173,1.5512680027946517,1.6210917663724578,1.6034048145893047,1.6670871883214282,1.5998122379760347,1.6961170624263124,1.4164415427379276,1.4799776475038646,1.5603946525945471,1.6555084784520668,1.3960496300989709,1.4588863739591695,1.6935607542219526,1.7709706826644376
Leavanny,Razor Leaf or Bug Bite,Leaf Blade,35,1.6397380321275574,1.6081917559004302,1.6390840978229197,1.609895448891731,1.642832265137879,1.6122318656457348,1.3910814555098039,1.411844683920731,1.602996970231633,1.6459316781279734,1.5584938586482315,1.589492293376223,1.3988644499442597,1.407882739599267,1.3709314648573547,1.4003578711637266,1.4721680421042633,1.3765216989185225,1.6481519748629183,1.6115367538122878,1.5266820611773637,1.5426229036506294,1.5793879463312441,1.5931570844384384,1.5925782293386144,1.5979754865200448,1.5303767664395593,1.5147855744604308,1.5840425925416226,1.482957291758387,1.5563112462928277,1.591637011087638,1.5082723367283193,1.5167946061020332,1.5108990104275868,1.50583746560557,1.5733875004323579,1.6030131412547426,1.6005885100525843,1.6300126953466834,1.583999441925158,1.618222317745898,1.6124637357839948,1.6373713023000434,1.5770525019111377,1.675900478085313,1.5226427767472694,1.5614138968251627,1.5677853054158244,1.5724553671096655,1.6483411996276698,1.6954737021842659,1.5125492317051845,1.5599083210661011,1.6313631289602963,1.6311983733050546,1.5373701440989296,1.5537421361010515,1.5597867561671581,1.5706166439602562,1.5492444057104888,1.5973795492776957,1.6393767752060129,1.628272166462708,1.4940517210695998,1.563163860431938,1.5726860841249481,1.6087288127940713,1.5846888311589777,1.6245996537664387,1.6305559959877334,1.6386970125529323,1.5843764317981264,1.6123662474288039,1.5894812778169425,1.6225448934487694,1.5382441917180605,1.5917153686860568,1.5650728919559767,1.6433562217074011,1.6048752330014797,1.6415808930951425,1.614803432578463,1.622623175569622,1.5838749671492522,1.6605604271280199,1.5651071740701872,1.6214100525012805,1.5603075342299433,1.6282274802295684,1.4875436105380584,1.5468215230588127,1.593475446778969,1.5947377856372438,1.448982484947568,1.5112328035524412,1.5387263113084886,1.5347157092014139,1.568704884399696,1.5910028001293592,1.5329163582695982,1.4942913387285226,1.5427503452782274,1.5302021177064618,1.5691036035579518,1.6638290548050254,1.631413274487508,1.640325199841303,1.5376142480211081,1.6138686015831134,1.5967952439401107,1.6174491832234041,1.578584120807198,1.6291419517774444
Venusaur,Vine Whip,Frenzy Plant,40,1.4122895714548742,1.3888650232758253,1.4130367820496976,1.3909738261291222,1.4115912844946383,1.3902204951788115,1.2200204602071707,1.2458481429821877,1.40813870039282,1.3975826258641983,1.379315788034494,1.4372916181575972,1.2278873364431,1.2391072749790102,1.2018660132663503,1.220680765915296,1.3159305794585487,1.1753341523884038,1.4163905769061247,1.3636506769578955,1.3295154088972554,1.330110815814348,1.370690908950905,1.3760103799250865,1.4009773652088295,1.4087480064776206,1.391594553888774,1.392465631205856,1.3158743002423472,1.2890285397876575,1.3705312165599077,1.3527438046266866,1.3604864061347397,1.3327265291260137,1.4489421243968519,1.4256557948057917,1.4351784693561187,1.4473896163302828,1.3979044585771503,1.4504520905920066,1.4253702234548429,1.4467169720459852,1.3972391789117995,1.4284804367956907,1.3973258762795435,1.4944915714573512,1.3798735230745325,1.412541358409239,1.413046164069176,1.3902062776001025,1.4344181679507388,1.5033870848729565,1.3711645425810182,1.4457198957967694,1.3769311141134672,1.4066707060776655,1.3614121514951578,1.4058726591247281,1.358939304254469,1.3955346062409355,1.3511284987116263,1.4297936862040301,1.4233000098048543,1.4332331964667395,1.3347702085928994,1.3778751784309633,1.3935594047723177,1.4349641746641295,1.3693797049938317,1.4093257637601577,1.3718387830602417,1.4114673707998533,1.3848594734930706,1.4209221529362295,1.3939043330152099,1.4412335713057371,1.3707655290850536,1.420608571324281,1.4104611515797987,1.4908078785296033,1.4340657139054251,1.492169999783785,1.4019995390649296,1.4564427961604516,1.3785036940652946,1.4561997847396784,1.3938107662964294,1.3873789280302051,1.409528501370563,1.4696437552861217,1.3322214965312893,1.3863759850119493,1.3997388990569837,1.4719878290809922,1.3137441309043472,1.3199463394221465,1.3715960172715473,1.4252196766800622,1.450704291269615,1.4662675597002899,1.4057039936401672,1.3796555584450416,1.3936179217963378,1.3885768596759582,1.3905508372943078,1.4693706864225555,1.3525447020036705,1.40675551420998,1.4035451187335093,1.4829238346525944,1.375772824987634,1.388402397739469,1.4491421605227535,1.4831226273690628
