Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Keldeo,Low Kick,Close Combat,45,1.4053457350179441,1.3779626676043484,1.4032354426520859,1.3710543695872777,1.3167743892392612,1.376331341249762,1.3595945790141186,1.3059682785912519,1.361751234186171,1.3059207905941308,1.3261701574963172,1.3066757089782342,1.3726155179577941,1.3676518036597602,1.3725138395317715,1.3999144455443502,1.4728765881507102,1.4002551784608535,1.3950502811977683,1.400323726506048,1.3948422753967658,1.40817950620056,1.3558994737971903,1.408941432028605,1.3811511969342127,1.3261519504685462,1.3806941559023207,1.4344334069354407,1.44374028393234,1.435113426405472,1.3286813069280243,1.352695358215719,1.3323035567785657,1.3009074889224077,1.300853465217911,1.3007876472009308,1.290603005644841,1.2705942765673954,1.2879064781340923,1.3498519013473487,1.3558421771339295,1.366837003795187,1.2704022528111687,1.2854818733867184,1.2757765800167602,1.343772766414014,1.3898557101022657,1.343772766414014,1.316262354598462,1.3757563785202598,1.3119293249653305,1.2468266146173326,1.2822090710428176,1.2574476379433202,1.3619257205277895,1.4443806445814724,1.3619257205277895,1.4242148305348752,1.5261916646454148,1.4242148305348752,1.377274170377886,1.4319173506686949,1.3767193054661575,1.314771466406119,1.3653656786154704,1.3112664338123694
Chesnaught,Vine Whip,Superpower,35,1.6405157942556186,1.6269452465767564,1.5765829127729436,1.6335379156197372,1.600186841171111,1.556255761860773,2.053911720896324,2.0836172980552328,2.056666235764206,2.034422957135091,2.0812204167390402,2.036327010709718,2.11672065688152,2.143312596195626,2.0001179195244427,2.1517535580902223,2.2637117212145377,2.0861223659406556,2.222319758995286,2.235046830845909,2.0377736722791995,2.1425134001666755,2.2104164061884015,2.1407499718063137,1.6453861090912694,1.6312297281465071,1.5310833564786226,2.0699660032371456,2.0681264558311567,2.071330884421112,2.051220677797816,2.076472501132919,2.051759842176491,2.068235620906403,2.1179693024538673,1.8936842837449235,1.9811822388021367,1.9464745944662973,1.9840156268484375,2.3010112406698604,2.215860960194101,2.181539160949299,1.855443030193418,1.8994475777451634,1.7144516657478361,2.0816872700714373,2.156402629922697,1.9784070052353446,1.6057012896795042,1.6740535150538516,1.4946699822424045,1.731806339066094,1.7986234704215374,1.67926584833604,2.144426376892967,2.2942935510136064,2.0549209055808264,1.7312134622336224,1.8276434321326978,1.6376583300252925,1.9110945870856915,1.990222634309344,1.8197327550449958,1.6530250655334673,1.7080184428738108,1.506323426499679
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,40,1.3652233445012598,1.40977767101303,1.3756011943464976,1.4188806462738948,1.4496170352750124,1.4184472508435497,1.4711142788265015,1.4977938026909279,1.4717204770672547,1.3778336397305257,1.4231615294135473,1.3777486373388013,1.431413212316563,1.4389504544705396,1.4313730098792774,1.4904887455718807,1.5409059478377678,1.489864510494629,1.4916609997788386,1.4558033362460445,1.4907273566228143,1.44060135930282,1.4529492064471097,1.425537094155873,1.3587630451554378,1.3637263445108274,1.3594183199535481,1.4549216567042762,1.4850930468746053,1.4546481751898581,1.404413840345273,1.4491203416624268,1.4092028886499748,1.4217456859713096,1.4810630231101212,1.4232516758423541,1.357734316954377,1.3913027379418839,1.364789008861626,1.3273088420945276,1.3920364491473391,1.3470489313582832,1.3242141074340177,1.3766424980018734,1.3437041719647083,1.4070816427887425,1.4603282506838555,1.4070816427887425,1.327855136778952,1.3845418156161509,1.3334857465371983,1.2666076869618947,1.297159199588164,1.3189278854280901,1.4368445214043382,1.529386356172045,1.4368445214043382,1.4216100765786026,1.5185471453653674,1.4216100765786026,1.3807617720237981,1.4358866922201596,1.3972795099053639,1.3227518010829973,1.373155194261638,1.3254399502758334
Sneasler,Rock Smash,Close Combat,35,1.7327079384856525,1.5491920489214053,1.74451089809259,1.8278649018421822,1.6070056394554695,1.8341329112265734,1.8043047388789317,1.609638379666994,1.8026095453047355,1.4833165077170514,1.4852128867900258,1.4832611347304423,1.5030387438265242,1.4894949830446365,1.504759099332731,1.555237059402453,1.5759584599287593,1.5554883002105362,1.545646796224228,1.543801251855401,1.545853029584207,1.714006993047009,1.5024700808904332,1.7157008930169744,1.5321783762447807,1.4888624345261043,1.5321952995486285,1.5784436354388254,1.5439376369512896,1.5784858261204953,1.5543003629668697,1.5434142007773712,1.5542082456724964,1.4829525870364169,1.4949784132438277,1.487636540022791,1.4027978980471503,1.3981468896006053,1.4142361579160603,1.6523351905016652,1.5433364262095008,1.6877715165486438,1.568775412392824,1.4977714106344495,1.5617873305061565,1.5015974715951739,1.499622536465273,1.5015974715951739,1.5118487267965068,1.4981006345941412,1.5165111239464653,1.5164257072293963,1.5111908623366923,1.5646852373517857,1.5246447628185371,1.5835517407803608,1.5246447628185371,1.5439388483873675,1.6237232582686,1.5439388483873675,1.5097401612956216,1.5351196735742965,1.5542817191116314,1.4424144946834816,1.4876662030182612,1.4775084182413143
Groudon,Mud Shot,Earthquake,45,1.2507742908052144,1.2442145487068619,1.0623660799357484,1.2314802943545675,1.2227506119798963,1.0435647259011673,1.2386667179091215,1.218466849043222,1.0472024531160653,1.214760971331559,1.2110239261817857,1.032796691376619,1.2186525355385542,1.2376769236065626,1.0044270718065855,1.2450797294032643,1.3445900926667582,1.0308071832420747,1.2302458001517602,1.231824730003074,1.0367481772905798,1.2334285816578028,1.2306960602114847,1.0013719323762722,1.2251188945966311,1.2472770534574737,1.0269165893220735,1.2678219839557512,1.2591147872865414,1.0672072716187244,1.3040241656429694,1.2953273038751707,1.073468920923176,1.2243458888680046,1.2431550556838258,1.0224899703755639,1.2336422131885936,1.1823997538760123,1.055408925219216,1.2897314315939654,1.2886370389075794,1.1133376662452303,1.2046203891842768,1.2211577333668067,1.0166878703014204,1.2777294720909256,1.3334791232801821,1.0359560696656527,1.2344870142442337,1.297040500675275,1.050003219231047,1.1605498988618168,1.1802210742304813,1.0022224718041617,1.3116972074212454,1.3687431762645532,1.0909459401569328,1.317496983733806,1.4037698466483575,1.1102596763565178,1.2542402072838013,1.2918209368092006,1.0950005992399154,1.259380499105367,1.318310944933139,1.022437442221038
Buzzwole,Counter,Superpower,50,1.2061484969456326,1.2245974679316407,1.211407420321958,1.259468146974386,1.2271074575437053,1.2647702477393832,1.247464628148645,1.2293989143587183,1.2506608529772452,1.2206349280364894,1.2189776242618393,1.2206214733721994,1.2056360957726138,1.2094716256001345,1.2057878699810862,1.2733688477793814,1.3184066904565417,1.2796441228090703,1.2043153818537093,1.213323242235773,1.2040126095393169,1.2087928448449912,1.2191493340694328,1.2089387886331362,1.221996880520692,1.2179337220052115,1.22174564028295,1.250794043787359,1.2684062112094157,1.2493249490932794,1.2457581222415044,1.257477729562171,1.2479117503955173,1.2415814067323894,1.259395939039859,1.2450830518088478,1.1415959100822533,1.1422169381973442,1.14057498673109,1.3220942942738387,1.264647145857368,1.3446303912623208,1.2020492883870562,1.213014299006459,1.202517553639194,1.2376844562686657,1.2693641124997377,1.2417376200659578,1.2020636215877798,1.245051704019259,1.2040847031322097,1.1165381340973095,1.1564958619016277,1.1182002923175227,1.250114837396985,1.3254166652332118,1.2559601280598973,1.2992743504330069,1.364017807076194,1.2992743504330069,1.2797050067318416,1.328576564913561,1.2811855811812145,1.2191741349173166,1.2533206205384035,1.2173275437261173
Conkeldurr,Counter,Dynamic Punch,35,1.2305641157870466,1.2415711607726632,1.2295936287509128,1.2509598244860398,1.2657215171413578,1.2517983625895452,1.269473495422535,1.2717412535534898,1.26907236016924,1.2228492646273086,1.2645855846823941,1.2244897622147952,1.2318316722235245,1.2209561981006838,1.2314515504587482,1.295433071868328,1.3191264942668592,1.2951913326915092,1.28402398467193,1.2746808572233765,1.284722365822768,1.260441652640719,1.2469328889998237,1.2574378033606468,1.2395352383630571,1.2377275014833051,1.239129153622707,1.277209579053211,1.2801628425571763,1.2776504758873097,1.2288837176808947,1.261405388428955,1.22897280561458,1.1982845431392515,1.2281480875464774,1.1999873541956887,1.1869947057470362,1.1865848740611227,1.1873602921091277,1.2274303618326412,1.2551422437646809,1.2987594185794233,1.174987960777653,1.2128924445292617,1.18024691329707,1.2173558612132316,1.2578176204533758,1.2173558612132316,1.1950638889948815,1.2595278215529362,1.1996244504043434,1.161304439155522,1.1625143216803695,1.1884970793163312,1.2551675179188517,1.3153082173527069,1.2551675179188517,1.2913512319039995,1.3616279279354717,1.292919080046262,1.247430578330285,1.3112847391287785,1.2586680117118252,1.201649083166989,1.247706854939325,1.2037959164250778
Golem,Mud-Slap,Earthquake,35,1.9822469458443035,1.6777143510558608,1.6718046510949955,1.6783153188594053,1.6344303018000548,1.4183216519526989,1.7016996423509574,1.6297359965434637,1.436576305255962,1.6938680634648258,1.6910440897205588,1.38844898127305,1.610223931578769,1.5708593977228837,1.3502209875937452,1.63358894710148,1.6608507844602014,1.3680098459880587,1.7780777798324965,1.7348623197353625,1.4688687473942654,1.8500960307087606,1.6465797475699115,1.5704886974841001,1.6241904538177758,1.5877805247290284,1.335818399977664,1.7393942226556383,1.6802941726331533,1.4490815315975363,1.730196049095427,1.6655415167699845,1.4624254792726816,1.673983340332251,1.6764861509744489,1.378999185271907,2.3071630367065583,1.8669370630891449,1.898491946882364,1.669629455120021,1.6684278059289517,1.4173180304017623,1.691855086182941,1.5771224154091952,1.4767718988551644,1.625819833040767,1.6376977827313077,1.3645193604087116,1.6345576445360772,1.6203140980731054,1.3724433478804146,1.619809552795588,1.6105755236014008,1.4017731093177836,1.665939178570585,1.7023199298482175,1.3795178153603165,1.6221101359743162,1.694593343734561,1.3337206000088278,1.7075035225932027,1.7002143327883725,1.4618590086029566,1.54642770806722,1.5833614543810246,1.3147881332806581
Buzzwole,Counter,Superpower,30,1.433330597047263,1.446132574133532,1.4589126308000766,1.4886939552246947,1.4732151274026848,1.487042754067581,1.494450605185038,1.4779055345345031,1.502171538775981,1.3941691079353569,1.4130343444634978,1.3950137888451215,1.4252774511448891,1.4181269072568088,1.4271920135885385,1.525449887325016,1.5241480533577139,1.5235506659129883,1.4877847894231748,1.4750585053241174,1.4905271889498937,1.4541826390799484,1.4168230042655388,1.4526555971189823,1.404621918295258,1.3898320690121893,1.4045677189917452,1.4948386311692294,1.491397648437934,1.4920071395728385,1.4664417933073386,1.4663353947411537,1.4617104265030731,1.469230623627437,1.4689369740132174,1.474034993667605,1.3576498571307245,1.345381247519403,1.3592998702449635,1.578829955725644,1.4946355753267138,1.5943737753706324,1.3943361121506175,1.4126683584464421,1.40296249164365,1.448592318397352,1.4578683793891456,1.4516042245065934,1.4062628159611326,1.453867617393178,1.406461448147751,1.3379286010808769,1.3382571995551988,1.3484639722294518,1.476296180433008,1.543975430098864,1.4787866214892003,1.5138525422287912,1.5833548941429298,1.5138525422287912,1.4582124542409165,1.5069250597065083,1.4686980463427401,1.4123094322037542,1.4403665504884355,1.4106734569218888
Shadow Mamoswine,Mud-Slap,High Horsepower,40,1.3768562513675546,1.1482974020178425,1.1685893266425584,1.1564056320146445,1.0956058384182856,0.9604499163000412,1.1410882266966202,1.0854788432714582,0.9483962858537052,1.1330198542272127,1.1134882475207473,0.9454514394450733,1.0943523181480208,1.0513507504245276,0.928329290786688,1.0565030191875278,1.1133585047013297,0.8856856090966584,1.229204392581507,1.1496877648199209,1.02710861892774,1.2289568376563735,1.068400693582408,1.0418524955957333,1.0996771041081022,1.0627470257200295,0.9123649448596638,1.2026783924760793,1.1304349766645951,1.0006880196990904,1.1671326730151352,1.1229348569987196,0.97319572204812,1.0799835040718282,1.0867330151400425,0.9182176619081507,1.4798920939043256,1.1571421420398633,1.2481418370096011,1.2285908960302487,1.1451345156512645,1.05222206311462,1.0701603673731857,1.0568304624036218,0.9151886530945819,1.1079731167762228,1.103219820449681,0.9253022891921311,1.0625766404616361,1.046534428583244,0.9235262836519164,1.0736468048422132,1.0386707410705351,0.9139607874403893,1.1117011236981265,1.1261962258307159,0.934201034509751,1.0811172724012317,1.1383299202678185,0.90137905918609,1.1052689615936622,1.0927289267507538,0.9417907214350271,1.0846190884331812,1.078375858357941,0.9187713256353768
Terrakion,Double Kick,Sacred Sword,45,0.9770203946342203,0.994671925608875,1.069210505010878,0.9730408088232895,0.9944303838542672,0.9740690506709937,0.9789710282147945,0.9979779261479768,0.9783332925722898,0.9858944602532701,0.9849968349966601,0.9865090032590402,0.9690954771857746,0.9859128486646443,0.9688889178636186,1.0294051844037926,1.0577535222491854,1.029672003467786,0.9986798465381174,1.024619008878551,0.9989615071105411,0.94588017447828,0.9675021366180712,0.9459198254103124,0.9808952673757132,0.9792562789464444,0.9808992931836771,1.0359780827408953,1.0559461491950086,1.0364714863415039,0.9966388934054529,1.0064236047784765,0.996674380202077,0.9728619773745965,0.9970603970632967,0.9737762954915982,0.9569033672753712,0.9510008348492669,0.9570611318516274,0.9552096836441168,0.97603052331954,0.9624765940903925,0.9573186487124082,0.9841799629493577,0.9977528314106322,0.981769829570147,1.012960155311582,0.981769829570147,0.9664133511370586,1.0105029775071668,0.9780170899651672,0.9404405538623593,0.9408495339057277,0.977180431515248,1.0118342252720691,1.058605174867418,1.0118342252720691,1.0567083590986783,1.1201441165671746,1.0567083590986783,1.0204706942965112,1.0550684505969974,1.0199343766836466,0.9785333356954007,1.0200408441700457,0.9791982629589517
Keldeo,Low Kick,Close Combat,30,1.6120400956114473,1.5814673246483653,1.619336601095422,1.5721541384648048,1.5112875359558293,1.5804687477417607,1.575652706591527,1.5034280969367495,1.5793686230803006,1.507467387253799,1.5210337689730193,1.5061089033156565,1.6008446972413353,1.5477444259578048,1.601598192708868,1.569699315575403,1.6180954324840928,1.5690937523084267,1.56435447796393,1.5088325265772606,1.5575072231895155,1.5213785621336435,1.4690669305200716,1.5279751504621206,1.6159359446239676,1.55713618633646,1.616365997832102,1.545645643748958,1.5257022095790531,1.547257984649666,1.5023858379242574,1.5159327061526318,1.505850004605865,1.5292168421171333,1.544671648929459,1.5318215441125411,1.4969736011025334,1.4664446088853984,1.5142978951412074,1.5527288971415767,1.5593308172588136,1.5749641114090251,1.4967156634440124,1.5316884144891796,1.512694025300086,1.500793220471527,1.5450023343729646,1.497458448071546,1.4566988036848771,1.5204001612039728,1.4674173255559968,1.405328374233893,1.4095108032138826,1.443774357397845,1.5753603127894056,1.659956606144087,1.5753603127894056,1.6194697587824405,1.7282353029671031,1.6194697587824405,1.5384612785862566,1.606241858635292,1.546237461675461,1.4775244654703747,1.5321018859227906,1.4844044368840634
Shadow Torterra,Razor Leaf,Earthquake,40,1.379756695770167,1.3530998270038215,1.1704046537729025,1.391716832405297,1.35976781268739,1.20238186594449,2.1579835162339593,2.0836099843594056,1.8219656372756252,2.1139800956456622,2.084352147714145,1.777592844955249,2.0287978121639196,2.0323861227362685,1.6462903787161092,2.0679902704179725,2.1691476199286504,1.7472724296888678,2.141404320777952,2.1045190353273098,1.7874122420138236,2.6287502476917255,2.356033719800789,2.1593614002177204,1.2889505400789123,1.2803376221483254,1.090529238306323,2.0863626411198304,2.093632870330603,1.7367389887373619,2.0607145705448464,2.078622296218307,1.7492400323214239,1.9724918085623142,1.9718790221122648,1.7597600956294364,2.0369616248682716,2.0022353262539565,1.727243233230788,2.5921567646018913,2.2921388697008465,2.0963978185155967,1.6495623503268624,1.6876256176301696,1.4005661158309093,1.9944803692954711,2.037131865437523,1.6869409454757556,1.3021172079934584,1.3472039083850937,1.108758719291585,1.5420399630942416,1.5960109352665794,1.35272455954005,2.05235694596947,2.168391540785384,1.7236474741922772,1.3723554324653706,1.4489343756133832,1.1407726665609796,1.734894234366067,1.7902053876862658,1.4184001197973073,1.314372128727694,1.353701186136497,1.0941971551440544
