Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Excadrill,Mud-Slap or Metal Claw,Earthquake or Drill Run,50,1.2746974788183636,1.2821146591354182,1.1161145354470305,1.1886609559296635,1.2415258721921603,0.994215904833743,1.1874586561094937,1.236822841639048,0.9935276873948564,1.1804631644389183,1.217992954098021,0.9926190722895728,1.1784991604598098,1.236559668858287,0.9898722135773843,1.192826715350677,1.259580861098433,0.9867488209341245,1.2014663539194068,1.2681053976993413,1.0020099161481524,1.1757205496883028,1.21346464734783,0.9988000915279021,1.1998264142693265,1.2160720894427477,0.9973632880667054,1.2330343768089471,1.2508686628851537,1.0394304458424226,1.204641591906516,1.2654132224121826,1.0021106156476374,1.1868885746699331,1.2360081221946368,0.9931972509495076,1.2587347884386713,1.3257614364557018,1.0473939301939779,1.237203326573616,1.2557782372330517,1.0258575703329877,1.211048715199044,1.235469756628656,1.0142437315302189,1.1810351966873704,1.2211801242236024,0.9907971014492752,1.1725483800826266,1.2210045662100457,0.9864209610784953,1.1870035685507079,1.2116150569816968,1.0005525497870382,1.2084396597554492,1.2666533758639023,1.0018607123870282,1.2118595416925801,1.2686615956242326,0.9631153422953644,1.218448275862069,1.2638314176245211,1.023793103448276,1.1649763415618237,1.2157686241426109,0.997652496056927
Sirfetch'd,Counter,Close Combat,50,1.2782473355459811,1.3165371374384136,1.2995959512667754,1.2942799112310228,1.295764994044549,1.292191723519243,1.3009818439459113,1.2884535957851897,1.2997679705312501,1.2498238524505234,1.2871930369909854,1.2500362656719513,1.276152343229452,1.2846030994306707,1.275319978596338,1.273219990871748,1.331431614179218,1.2739654647801613,1.3355661053134262,1.3174838827478688,1.3346053906765736,1.3148001733821233,1.3146066997680177,1.3219066080540833,1.2910840415710167,1.3036854700314378,1.2891967247875946,1.3129734562545936,1.3414629476062612,1.3129984961342844,1.266096198248057,1.3100357791212085,1.262917055889455,1.2409961197612667,1.2719064961115405,1.2426937242070997,1.3027602184465144,1.3317864255225331,1.3027782897994442,1.2958378196278413,1.316351470073388,1.3837185491488702,1.2249117952831965,1.271834248806883,1.2290518913874542,1.2721842650103519,1.3099999999999998,1.2697412008281572,1.2153185475103283,1.266547075451185,1.2325614263970428,1.2299067572234375,1.2550132381719812,1.248163923103488,1.2664274322169058,1.3286948431685273,1.26217437533227,1.2576902836913364,1.3240683155527917,1.2580092171777577,1.286963601532567,1.3190613026819924,1.2859961685823755,1.2381799508491362,1.2686791622345304,1.2370061988775995
Shadow Golem,Mud-Slap or Rock Throw,Earthquake,35,1.8287307509946609,1.5120431260178524,1.573037992949762,1.4260222124038013,1.423184763453523,1.182643346610601,1.4086908635458535,1.4248691266491387,1.1732413945944857,1.3506320588540048,1.4253324353262184,1.1320312230166132,1.3481416331978178,1.3940426474115715,1.1251868207566318,1.389692682184695,1.4286474973375933,1.1516773162939298,1.609525682261893,1.479853083697347,1.3617357472927232,1.6114305699472227,1.4577157835402321,1.3237948361148266,1.3613493854037844,1.3584466316070904,1.1431028646913717,1.443410608365971,1.451766563512182,1.2143973416485372,1.4681358725346776,1.4529253397253998,1.2319452033064844,1.3910758619555748,1.4232275858667238,1.1559412045181763,1.8819976796382838,1.6072805866684015,1.5723595042666465,1.3663722776724554,1.3954665856381328,1.1604695251243502,1.4865073387961592,1.40547360407338,1.241236830687874,1.3962215320910971,1.4172774327122153,1.162743271221532,1.348032180908893,1.3827679930419656,1.1404000869754294,1.4300218717624036,1.435443766547715,1.2619891792333373,1.3575757575757574,1.4339580010632642,1.1334396597554492,1.3345851472675374,1.4016409127876384,1.1294630754756096,1.4043295019157087,1.4194061302681993,1.2129022988505747,1.3493746102776656,1.380268128965998,1.1686076367237648
Excadrill,Mud-Slap or Metal Claw,Earthquake or Drill Run,30,1.6390339936918923,1.4968603764249935,1.4458698385866542,1.3860039344614812,1.427344339297744,1.1630970360502173,1.4007007894374546,1.4485925448360852,1.1638107902097667,1.3685662971022001,1.443767485234691,1.142007736676683,1.3658693597557852,1.4299368345952064,1.1534503154169922,1.3873459607485168,1.4583067092651758,1.151004107713373,1.5156411084736716,1.501598381954296,1.2695703470651853,1.3524047468007092,1.4014186824818944,1.1337739818916137,1.3930715850168383,1.4128943379179457,1.1697030999145241,1.442566617126983,1.486648588855486,1.1863217447788168,1.3875513333450835,1.4452121190757354,1.155595114299311,1.373567517798129,1.4365864586244883,1.1432975452557506,1.6635836938568243,1.5655827469179309,1.3917435602733834,1.468613553343418,1.5041450058459445,1.2680216927477261,1.4308524136576102,1.43841018672386,1.190024885599915,1.3739440993788818,1.4228053830227743,1.146128364389234,1.3619373776908024,1.4033702978908458,1.1527940856707979,1.3791872913548981,1.410498445953724,1.1964314492920456,1.3821637426900584,1.4544391281233386,1.152870813397129,1.3605144397135978,1.4549984850659397,1.157537195617854,1.4146168582375478,1.4527681992337165,1.2244348659003832,1.3848439276675346,1.420285735245571,1.1535781095257307
Gallade,Confusion,Close Combat,40,1.4668350203055105,1.5100806035993322,1.4707621266156796,1.91383831748853,1.9031537850292228,1.913680401442748,2.343040962771191,2.3029059088604367,2.3375625824779136,1.8373795461610196,1.876152730287017,1.8372672952716473,2.2579510298974714,2.2782742579961335,2.258853099943211,2.2801878898524266,2.4361440742431157,2.281481058877225,1.9766942427349468,1.9665533660126129,1.9777223759428066,2.2982172522654083,2.331969096310793,2.301007737084241,1.8425677517750392,1.8426204333321479,1.8428114039766672,2.3522345146755788,2.408780454753674,2.354203827566551,2.575230889895483,2.6963379276309993,2.578299874861202,2.1785423620131206,2.254365268574999,2.171412834382861,1.8293413714711166,1.9394898818494946,1.8361289716315903,2.677660565306136,2.736958919854413,2.9852100906947094,2.151341694021726,2.2107192265817504,2.1662218911418725,2.5697929606625256,2.6328157349896477,2.5697929606625256,1.8255599043270276,1.8792454881495977,1.8139160687105893,2.168780937032347,2.224484862438126,2.233129964314493,2.6204811270600743,2.725438596491228,2.6204811270600743,1.8686711636288253,1.9917794893874885,1.8686711636288253,2.2417624521072796,2.2987931034482756,2.247873563218391,1.8218006088838352,1.8786358801305798,1.8220848769394418
Toxicroak,Counter,Dynamic Punch,35,1.5304520810571236,1.5201653301449216,1.5264961141231526,1.623182075520829,1.578841265814704,1.624809954758733,1.6314408324854688,1.5629098711581662,1.6290046909575666,1.4063344040341244,1.464723862812144,1.4046938141125274,1.4012920103246018,1.4913288516853334,1.4013289131901092,1.4729727673817132,1.5359234748212385,1.4760307317815307,1.4693961824234167,1.5388513560964647,1.4694481509052348,1.4909299941771883,1.5066906524339538,1.4922080362242136,1.4219200056896082,1.474655561394428,1.4235794747385349,1.4518578854263482,1.5017505821772028,1.4518917629106356,1.4606561855579252,1.5133246382431218,1.4545600754357828,1.468253152693971,1.5311385047927526,1.4676941352493384,1.437836353056408,1.5021739837574681,1.43861703550298,1.4537906161031,1.477174394102532,1.4423365282355818,1.4184935207393643,1.4445865634132566,1.417961427320132,1.459648033126294,1.5137784679089026,1.459648033126294,1.4164274842357034,1.462133072407045,1.4207545118504021,1.4449982732819155,1.4764360538736043,1.5488546103372856,1.438184476342371,1.5282429558745347,1.438184476342371,1.5062431229966993,1.588703375910954,1.5062431229966993,1.4990708812260536,1.517595785440613,1.5261973180076627,1.4287312474782672,1.478322268275685,1.4625316362836078
Shadow Flygon,Mud Shot,Earth Power,50,1.2917602919045952,1.3414149951555383,1.1210146570739452,1.3565005132271488,1.3700325743843373,1.1117407220123208,1.3658594324512185,1.360765529352903,1.114374410272425,1.26860774358443,1.2875401512796603,1.0722377646530585,1.2855523231378918,1.3190334729491746,1.092029596098137,1.2959493382017344,1.3752548303666514,1.0918644454586948,1.4126241274210993,1.3805932834248635,1.1836509965307527,1.3797738219038176,1.337724936330438,1.178356627680493,1.2908601449533044,1.3182361161048837,1.0798889472776148,1.3641785372880633,1.4036899945059558,1.1357058373851294,1.316563706223452,1.3592849463313184,1.0887626240372246,1.2733019845119284,1.3131751368770657,1.0658263593166835,1.3375764870012758,1.356486350707132,1.1027067272418418,1.2830295864241976,1.3285255669245049,1.0796468653186866,1.2537021422899663,1.2988564084512808,1.056328227965193,1.3174534161490683,1.3476086956521738,1.1077329192546583,1.2610676233963904,1.3134485757773429,1.0756142639704283,1.236675492114654,1.293024058938644,1.1193392425463335,1.3151913875598085,1.3995746943115364,1.0982721956406167,1.317251112280534,1.3947041094579726,1.1108851998915628,1.3416570881226053,1.3845114942528736,1.11227969348659,1.3014341781902212,1.3310072259105747,1.06539999266405
Buzzwole,Counter,Superpower,45,1.3113113030571648,1.357937702282051,1.3068337834216333,1.3433884415534236,1.3693068325569129,1.3450801591928139,1.3300006379970921,1.3678254708586435,1.3342584291168442,1.2652643940178911,1.3164887921804305,1.264870652436708,1.2595891070941658,1.3145702763819611,1.2600134900475022,1.331032253156854,1.4015441959531416,1.3286551042142096,1.309136620925039,1.3617174880964087,1.3085354720002247,1.289244913411256,1.3315095964772918,1.2830946848705493,1.2647142881602151,1.2999147875813766,1.265316174950183,1.3483489145212153,1.3939951422633399,1.348117663867601,1.3157904013254138,1.3790868392759577,1.3190025909018808,1.280600039460055,1.327732197760642,1.2906870159977641,1.266874125798302,1.3078093544551306,1.2610840643195593,1.3645095021369074,1.3357157483799798,1.3513148420934427,1.2698102473006492,1.3179626552280226,1.2715763881498703,1.3180641821946169,1.3581055900621117,1.3189544513457556,1.2669928245270712,1.3185040226136115,1.2749184605348989,1.2389087141706,1.2789685737308623,1.241406699666168,1.3053960659223818,1.3795986177565125,1.3041467304625198,1.3171793522460893,1.3962030968441532,1.3145959910060758,1.3157758620689655,1.3565900383141762,1.3149616858237547,1.3045152771155044,1.349732237831493,1.306606022814804
Swampert,Mud Shot or Water Gun,Earthquake,30,1.782559937331217,1.8268383186625163,1.6007544991651035,1.8212491159221373,1.808540234152537,1.5863170786203513,1.8948731896832514,1.852422877904146,1.580023303683258,1.757520809587953,1.829226677719062,1.4658377370220703,1.8403951066800337,1.8532598556277895,1.5457400767169571,1.844591510725696,1.9640042598509053,1.5277955271565495,1.8722207396379063,1.883702965012571,1.5356321193308708,1.9059550806357095,1.8966162581086838,1.585399067233941,1.7264207228173043,1.7292694780179618,1.4603999320407912,1.8862732852469448,1.9162902092597474,1.5490921570678007,1.8422832543137637,1.9156635000088127,1.5471914271110565,1.7201973824830241,1.7725230594695913,1.5462833560776708,1.9601671238718958,1.9507627918071715,1.6528962957340765,1.7705813577123533,1.7874123934023398,1.5541129687489679,1.6385366612365853,1.705111780548302,1.483744546042453,1.8076086956521737,1.8535817805383021,1.5256418219461696,1.7654055229397694,1.8115894759730375,1.460447923461622,1.7213767698860367,1.7527685046621388,1.5442154944169448,1.7954412546517808,1.8745481127060073,1.5427166400850612,1.8134637771292799,1.9343315951458324,1.5417802867212045,1.8129310344827585,1.8761302681992336,1.5896647509578543,1.7879818802039393,1.8378571690569636,1.5428511168983603
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,45,1.3229421344492776,1.414255086684945,1.3289575130388176,1.305181158263797,1.3952420231397407,1.3079060500325073,1.3471426124973558,1.4444707478333283,1.3466254990648305,1.359467067315995,1.4359755465754844,1.3585120712879495,1.3888659954445464,1.4575340275172368,1.3884662144015483,1.4213106648410163,1.5109729195192454,1.4244446980069985,1.40446788488279,1.4737980532887622,1.4040732053316853,1.3383425636370063,1.440920785577286,1.34269944060081,1.3174076986193481,1.3737374535579148,1.3175749625631685,1.421222329091774,1.5081224950914471,1.4209748761630656,1.400968503798227,1.4907247475192555,1.4015457285369337,1.3340971868269185,1.4171215534108286,1.334058137814242,1.332187609557577,1.4404892276665184,1.3404715177406472,1.2923930060044786,1.3786091276001242,1.2931625568906182,1.2606070776610812,1.3426988596828724,1.267010617310227,1.3761801242236025,1.4417287784679087,1.3761801242236025,1.282496194824962,1.357208088714938,1.281332898456186,1.2487970530678025,1.3121100494992517,1.275952572809946,1.3951488569909622,1.4762493354598618,1.3951488569909622,1.3592626257793938,1.4474397614377523,1.3592626257793938,1.3386494252873562,1.4059386973180077,1.3538122605363985,1.3209569746542933,1.3822580053552433,1.3293841470124343
Heracross,Counter,Close Combat,35,1.520789956502917,1.5331423034900742,1.5308705601022492,1.4943276220363442,1.4908467491974,1.492199115334152,1.5119053615260891,1.4806602934115047,1.5125567901358934,1.4397713535730323,1.4834749421476185,1.4428470279418368,1.5128965264152763,1.536444654927455,1.5127981187739228,1.496865966834018,1.5612239464475888,1.493979157158071,1.5762293355057095,1.5586625840976447,1.575416098992935,1.551859300034788,1.5132110852939589,1.5513644540602485,1.4391271192802646,1.465046445377786,1.438335578884705,1.4508341962272266,1.4879020557741225,1.4507193073674691,1.5164046389481292,1.547665103900453,1.5169972857218395,1.5071583005869684,1.538759227898259,1.5070637608720674,1.4362280026456462,1.482038882322964,1.4343232820468337,1.5557148235977991,1.51664277646033,1.5520388144292443,1.4556888972568538,1.5171088499414698,1.4594115046783291,1.4847308488612836,1.5260351966873704,1.4847308488612836,1.4486192650576213,1.5045227223309414,1.446912372254838,1.430286635202026,1.4666167836997812,1.4366294462990676,1.483080808080808,1.5492690058479532,1.483080808080808,1.4626209953914113,1.53724345787686,1.4626209953914113,1.4493103448275861,1.4944157088122605,1.4527394636015325,1.463017642959322,1.5041723214613212,1.4615046033085133
Shadow Nidoking,Double Kick,Earth Power,50,1.4469603578717352,1.3603496258426273,1.23976581665258,1.5074632131211434,1.3849186816362118,1.3073247845873939,1.495030338440668,1.387453955078289,1.2984751869499374,1.263962283701171,1.2901201947984666,1.0921268953130936,1.2870981431708173,1.3338499734504385,1.1130970319845337,1.2876920736345656,1.347839647040925,1.1205842081241442,1.287812688736885,1.3126704776886666,1.1220557045942947,1.40694198209997,1.346403344117007,1.218150801520256,1.259807001115532,1.2915357859232246,1.0909981706329295,1.3028190485729478,1.3378395297216006,1.1304047475611894,1.3112673387736398,1.3524089218675646,1.1247400285527964,1.273213610430608,1.3004759869124152,1.1044581641209452,1.3015169093649366,1.3487373545707873,1.129690871436781,1.4035419157523434,1.3560675619438922,1.2065104665526103,1.2974647795086733,1.2916240309760232,1.1360296826267406,1.3059834368530019,1.3295238095238093,1.1383333333333332,1.2729180256577517,1.3074581430745813,1.1176668841052402,1.3082537124438818,1.3171405548520778,1.1522850235984805,1.2715842636895267,1.332123870281765,1.1252658160552897,1.2963689422570923,1.362691160758424,1.121944218533225,1.2769731800766284,1.327662835249042,1.1691379310344827,1.2882019586986024,1.313941972636907,1.1039779187910355
Keldeo,Low Kick,Close Combat,50,1.3772908120142655,1.4327052711867903,1.3809622956564762,1.3557008532506347,1.3684063751043674,1.357115377830939,1.3521542475495876,1.357580580711669,1.3533563683862369,1.3105429489172107,1.372284391945567,1.310717369529928,1.29149778480299,1.3464769039315903,1.2923157983217397,1.3404419595314165,1.4360413814087936,1.342214361783052,1.2892930881919182,1.341327584027417,1.2906428641656251,1.3500495776136145,1.3533721148712377,1.3517647956155903,1.3688038257346773,1.3746369911455472,1.369274008631873,1.3166219140189448,1.3711293133033935,1.3151533987217878,1.3319835380792078,1.41223099564658,1.3325541533743415,1.2918543759556733,1.3425276631426646,1.294275414741619,1.333839331215371,1.3897448686393357,1.3334309186391549,1.3210282256732744,1.3999715959758765,1.3336944387563001,1.2747689486652642,1.3416489984364641,1.2745683903764766,1.3487474120082814,1.4048343685300206,1.3487474120082814,1.3118177864753207,1.3726679712981082,1.3035986083931288,1.2864049729480833,1.3537009324277656,1.2815701623115,1.3370281765018606,1.4267012227538542,1.3370281765018606,1.40181632620517,1.498700346042833,1.40181632620517,1.3577394636015325,1.4148467432950191,1.3575478927203064,1.325734511975938,1.3713549499321425,1.324569929941679
Mamoswine,Mud-Slap,High Horsepower,45,1.2940629573893505,1.3140674926302336,1.0788369168607888,1.2335309523849523,1.248984885418469,1.0340174682025962,1.2395410450392368,1.2593122391347418,1.0413774693005873,1.223546782716817,1.2394415086519532,1.0275757261769074,1.2249578179745657,1.2470605842543674,1.0284828616942105,1.227521679598357,1.283192606115929,1.0183135554541305,1.2970953832324397,1.3012739300813236,1.0649226793263762,1.2475141431072234,1.2581235663884243,1.030116772488052,1.2440762881628493,1.2629718456588421,1.0102083687287544,1.279842749555542,1.2772341832654064,1.08301309291121,1.2534457232493788,1.2958100534043042,1.052441528455858,1.2400651090906103,1.2749769816346328,1.0347351243813816,1.3550189568492235,1.2918631926297794,1.1406529541240635,1.3166024823795968,1.2781282408661245,1.0780846439918883,1.179702273266808,1.2161117887343544,0.9872911533329514,1.23583850931677,1.2740993788819874,1.0351242236024845,1.1758534464013917,1.2280821917808218,0.9950532724505327,1.176539656958674,1.217934845170945,1.0095314838264073,1.2324029771398193,1.29235778841042,1.0137692716640085,1.2648343937871758,1.3368336283468083,1.0444035146470205,1.220191570881226,1.257337164750958,1.0389750957854407,1.2214356453801856,1.2624344349484649,1.0390455929281444
Emboar,Ember or Low Kick,Focus Blast,35,1.8358799398049848,1.6025603496258427,1.836137623946072,1.69501371685653,1.5543709985501963,1.6902896751465344,1.6583911728065492,1.538219383694809,1.5661787667851998,1.5185041273788555,1.5223655579732671,1.4419403861430595,1.5461480583967346,1.5665286909528526,1.4677089676013344,1.5469001977787922,1.6270804807546022,1.4460216035295907,1.5685127182325098,1.5713246344649354,1.4925530570108292,1.8724339166686819,1.5995263617100834,1.8697773751211535,1.6310104717765144,1.5814068346418115,1.6326185763072598,1.5204701016471822,1.533800155247254,1.4592637980784102,1.5759358972099338,1.6377584292437035,1.578233780425472,1.536578648821953,1.557496588349419,1.503138307492478,1.5220958432273992,1.5800253721795137,1.471586411788305,1.5515665149583517,1.5662573404585598,1.531168462285401,1.618996553671854,1.5417324961730206,1.5541609705383967,1.5660662525879916,1.6044513457556935,1.5660662525879916,1.5640030441400303,1.569776038269189,1.5398456186127418,1.5324853228962818,1.5497870381029124,1.4865085760331531,1.5224481658692184,1.6094497607655502,1.5224481658692184,1.5683633928144287,1.6569073019821718,1.5683633928144287,1.5158429118773946,1.5511685823754788,1.4493965517241378,1.5679767450390638,1.6089113450463999,1.5951105894435682
Shadow Dugtrio (Alola),Mud-Slap,Earthquake,50,1.739254571316663,1.518580057308953,1.4689954441443858,1.4679590023065823,1.3896746425469506,1.2238023159900075,1.5256743461369278,1.4127774028145745,1.2814406645914973,1.5332038130763652,1.441689980312921,1.293453182744448,1.5132717055479359,1.3955146617134822,1.270674317860782,1.3438498402555912,1.3657348242811502,1.108344743648258,1.5179993539053613,1.4502015534362405,1.286557017851876,1.5113526224046165,1.371545612334687,1.2927460416972845,1.4852313839840163,1.3423550499882124,1.2559467600183858,1.572109698239991,1.4146427324695066,1.3403376259542772,1.4267893966899907,1.4191554893632023,1.1712771207501278,1.37954201673764,1.3753206129461866,1.1596734680455765,2.266715097892519,1.8807362992037762,1.857492925065328,1.940226043187328,1.6761280691208624,1.729445064635669,1.4270602247890045,1.3753939537815472,1.2021770806899206,1.341542443064182,1.365662525879917,1.1314182194616977,1.3638834529245487,1.3860513155033702,1.250815394651011,1.557430643490273,1.4755842062852538,1.5092552089328883,1.3361509835194045,1.393859649122807,1.1232057416267942,1.3059927602098584,1.3636240412062066,1.0944760720151814,1.3865038314176246,1.4082183908045975,1.17727969348659,1.3836885155705534,1.3958020027143014,1.1707900817958405
Mega Blaziken,Counter or Fire Spin,Focus Blast,40,1.1434599764992064,1.039635943845472,1.140427549526892,1.0188373683122975,1.0131473507903361,1.0188877670503131,1.008574345129564,1.0137908108271465,0.9402868300610798,1.0,1.0115169412496114,0.911551479984803,1.0,1.0022715763879066,0.9425832415887094,1.0,1.0306024646280239,0.9290658755514986,1.0,1.0041925923845105,0.9508153433431185,1.0123785906563405,1.0024184201763213,1.0107954556024563,1.0,1.001328892278069,1.0016094215696734,1.0,1.020868530321085,0.9255269789974326,1.0,1.026686729999824,1.0003480973615102,1.022432630177077,1.0238671675901416,0.9506173854425282,1.064746043277276,1.0426881498910299,0.9731423552755701,1.0111502308652658,1.018185181026112,1.0082173502348286,1.0452033824769358,1.010997961672902,0.9710234202964989,0.9999999999999999,1.0242753623188405,0.9999999999999999,1.0192324418351815,1.000880626223092,1.0105783866057838,1.0567169333486819,1.0118107516979395,0.9727869229883734,1.0,1.0527777777777778,1.0,1.0,1.0642969908625557,1.0,1.0,1.0124329501915708,0.9217049808429119,1.0,1.0115632909070902,1.007262590323882
Shadow Mamoswine,Mud-Slap,High Horsepower,45,1.2056443134263746,1.1114700364880745,1.0073800738007381,1.08348046964904,1.071729163901736,0.9027018763450163,1.0863260433770865,1.0694291940753575,0.9064679473618821,1.03505681621939,1.057781577038649,0.863863848305875,1.0462864441423878,1.0525763325522228,0.8750427970731928,1.0226494751255135,1.0856914650844365,0.8587555149855469,1.0873857044538393,1.075798137561976,0.9097883337781086,1.1046896887865296,1.0602874943492682,0.9292295843479846,1.010004227694958,1.0254833862124462,0.863577156750022,1.1077215624295753,1.0927683354519035,0.928228340135834,1.0733119481114617,1.0912059150113684,0.899217001251388,1.0347227931142204,1.0670245474424953,0.854784942700712,1.219874151098196,1.1264994705093592,1.035351180601487,1.0882836703283638,1.070134820030782,0.9252148467173535,0.9992284645421132,1.0277363927340597,0.854619798786827,1.041583850931677,1.070383022774327,0.8776604554865424,1.007208088714938,1.0409762991954772,0.8435855620787127,1.0055715436859676,1.0234142972257396,0.8756072291930471,1.0282429558745347,1.0766879319510898,0.8616161616161616,1.0402573793235421,1.1031670095201647,0.8646685483742367,1.0581226053639847,1.0759961685823753,0.883860153256705,1.0280600080695448,1.052974727652863,0.8564629717932729
Shadow Torterra,Razor Leaf,Earthquake,45,1.3526623925457133,1.3943618709930117,1.1256302954090993,1.3537336225100924,1.3568129854028455,1.1265193119564287,2.1031742034270517,2.082054820739607,1.7690819893420908,2.0114599523365455,2.08391876489483,1.6147083203813077,1.9135447867526914,2.019667177156306,1.6304096013055414,2.0249087174806024,2.1715692986459763,1.673398752472235,2.0894082615840555,2.090137224883071,1.7447687402559098,2.3154047784262035,2.4507935208663154,1.9149181178737993,1.2874727208312096,1.3210598475659145,1.088416774334599,2.033856863210083,2.1500949306027097,1.6954311057168991,1.9979620882316655,2.087189576466856,1.7051615348009237,1.926084329425692,1.9871323227174826,1.7065240624126536,2.0855208706054986,2.143305828734174,1.7144437095427587,2.3426119812137105,2.1895142911874865,1.9578629604919842,1.6386410334072807,1.7094422023755926,1.3254733584918017,1.9998861283643892,2.043022774327122,1.664472049689441,1.3043813872580996,1.34265057621222,1.0856055664274842,1.6119373776908024,1.6608034994819847,1.3672499136640959,2.008213716108453,2.1056618819776713,1.659635832004253,1.3468561131576011,1.4228739096461434,1.1314883031143856,1.6495210727969347,1.7141954022988506,1.395536398467433,1.280132413894289,1.333052121923486,1.1070131680299307
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,30,1.524063575831289,1.589115421880476,1.601719268589334,1.6742040779298886,1.6395448657965606,1.6790843557277326,1.7193736211707582,1.688874002290074,1.7221438717021427,1.504039305080648,1.5797326701896177,1.5028736227679342,1.5342058810866663,1.6478831081233458,1.5352863149823583,1.5809752015822305,1.6949262132968204,1.5830214513920584,1.638220711546835,1.6435481832099668,1.6374187114625618,1.748910315678246,1.6765697872348342,1.7538401721915164,1.5024582531585886,1.5425383818069511,1.5032484765152203,1.6088535122850067,1.6735418320648916,1.6083762816367833,1.5591038475774188,1.6631607240425121,1.558352574157957,1.5120024333700532,1.5794750168527318,1.5104815770868616,1.5068255500016265,1.6352008269451102,1.502799252568843,1.4464253865919796,1.5221452304359027,1.4461314379702352,1.4323995775996858,1.503943630841772,1.4666623007719448,1.541055900621118,1.621614906832298,1.541055900621118,1.4493259404218308,1.5165796912372254,1.4484018264840182,1.4574766893058593,1.5062276965580754,1.4840911707148614,1.571291866028708,1.6712918660287082,1.571291866028708,1.550327704157298,1.6394456936005997,1.550327704157298,1.5034770114942528,1.5698850574712644,1.5069540229885057,1.468528775263177,1.5274181124601107,1.469198180684444
Mega Blaziken,Counter or Fire Spin,Focus Blast,45,1.1354037395122556,1.0151435816034138,1.1299119750974047,1.0098428735344467,1.0007828603971756,1.0102914223027855,1.0139419154015856,1.0018501915670217,0.94310912772366,0.95627050737402,0.9646409698476842,0.8974683107104618,0.9923160033376592,0.9874817279561758,0.9124561522202199,0.9590902175566712,0.9951620264719306,0.889049901110604,0.986535949548436,0.9890613368540809,0.9151537283874321,0.982853400949881,0.9855248250831099,0.9823083262486024,0.9885667850684663,0.9847302506720191,0.9879359234220886,0.9862221744336936,1.00586964238633,0.9144431498990303,0.9826149602552128,1.0034919893543897,0.9834411407018349,0.9567974055013894,0.9678791042567535,0.9090281317308168,1.0184616941531945,0.998236235954041,0.9339311336882548,0.9577836934479182,0.9776599047474354,0.9593624287422302,0.9828154290719473,0.9564583862015898,0.9240845946676054,0.9590786749482401,0.9959523809523809,0.9590786749482401,0.9582626657969123,0.9646879756468797,0.9703522504892368,1.0326119488891448,0.978047657419132,0.9439967767929089,0.9771929824561403,1.0140350877192983,0.9771929824561403,0.9648455564592006,1.019845636192572,0.9648455564592006,0.9802681992337164,0.9969157088122605,0.8914272030651341,0.9642739243663573,0.9748652019220189,0.9643839636136888
Shadow Gallade,Confusion or Low Kick,Close Combat,35,1.315005462903791,1.337487888845369,1.4293883609227154,1.4065111809600288,1.4184624017014613,1.4069866090553094,1.4261501576524394,1.4192178155651143,1.4322379930626212,1.3574068317618209,1.4031430249024281,1.3572755845680933,1.3466983211246353,1.383513029786763,1.3447711714814656,1.400890004564126,1.470447284345048,1.3970219078046555,1.4498532241527031,1.3906203913086226,1.4422616121465792,1.4878362766747093,1.4029534491322522,1.518122338575104,1.3907009149469431,1.39778921845593,1.3903058032686273,1.3781993969807795,1.3917327154865764,1.3762875285196865,1.419177520841779,1.450662706875584,1.4210810405907963,1.3424125713158286,1.3959693198073035,1.3430147481955246,1.5495642996808598,1.445560049298651,1.5499980121511778,1.5310958008283406,1.477808530455059,1.4969845495319942,1.3502177489992553,1.3782774908111561,1.3833426108596174,1.3976190476190475,1.4475776397515527,1.4001242236024845,1.3452598390954555,1.3898891063274625,1.351685148945423,1.36112582019109,1.3969955105329803,1.3610567514677103,1.3904970760233917,1.4693115364167995,1.3924906964380648,1.4242851903235583,1.521496116984803,1.4242851903235583,1.4070977011494252,1.449243295019157,1.419750957854406,1.36726515790632,1.3999468143637896,1.3668800205406595
