Attacker,Fast Move,Charged Move,Level,Terrakion,Terrakion,Terrakion,Arceus (Rock),Arceus (Rock),Arceus (Rock),Arceus (Steel),Arceus (Steel),Arceus (Steel),Cobalion,Cobalion,Cobalion,Melmetal,Melmetal,Melmetal,Meltan,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Dialga,Dialga,Dialga,Regirock,Regirock,Regirock,Registeel,Registeel,Registeel,Stakataka,Stakataka,Stakataka,Mega Aggron,Mega Aggron,Mega Aggron,Mega Lucario,Mega Lucario,Mega Lucario,Mega Houndoom,Mega Houndoom,Mega Houndoom,Mega Steelix,Mega Steelix,Mega Steelix,Aggron,Aggron,Aggron,Boldore,Boldore,Boldore,Excadrill,Excadrill,Excadrill,Lairon,Lairon,Lairon,Nosepass,Nosepass,Nosepass,Stunfisk (Galarian),Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Sudowoodo
Keldeo,Low Kick,Close Combat,45,1.4212579109031314,1.4648024078006143,1.4217134964645737,1.380975820365458,1.3925994493097893,1.3852832325078581,1.3737857068504098,1.3807146910583028,1.3752883578962214,1.3342900562981383,1.3962370048008843,1.3351068973854179,1.3808601237886122,1.4499156359491314,1.3808006691719612,1.4040734824281151,1.510980526395862,1.404651605050966,1.4211385311178844,1.4760593845246288,1.4209250389763615,1.4418676900924765,1.4581957469290714,1.4423811392991417,1.3860359630649604,1.396299647428679,1.3853155427714976,1.453053907915106,1.5050116582733972,1.4531525944997694,1.354563600472355,1.4364964661508364,1.3545988508380775,1.3165251311224742,1.3695989049834763,1.3172917248976506,1.3685977714407567,1.417878350880617,1.3706109201571486,1.3509812599496656,1.4157325265709737,1.365305475371069,1.2952565918188592,1.3638986894129783,1.300659386537218,1.3789337474120082,1.4278571428571427,1.3789337474120082,1.3344422700587084,1.3947597303761687,1.3300500108719286,1.3043743524807183,1.3754921146540808,1.3094278807413378,1.36735778841042,1.4501329080276448,1.36735778841042,1.4242134302891134,1.5261924125723583,1.4242134302891134,1.3901436781609195,1.4452969348659004,1.389588122605364,1.3506950812456442,1.4026702857352455,1.3470912958955361
Chesnaught,Vine Whip,Superpower,35,1.676796058463378,1.7301119379908885,1.6079572862767735,1.635210574327219,1.6841628685617713,1.5562777508051198,2.0607473968039702,2.185591675145312,2.062592551551844,2.0552792456740234,2.1662522018443684,2.0569733706351676,2.153171493766491,2.289771550760917,2.033698466685938,2.173459607485167,2.322272934732999,2.106743496120493,2.2073696925432253,2.30703821790244,2.023315589139992,2.1884339985229033,2.3558221605421723,2.187081543547376,1.6602223951933348,1.7170947701701218,1.5452791398155354,2.0573634185032925,2.1558953450863654,2.0586949509292003,2.0764360117736222,2.202169660010223,2.0769691735551756,2.0856612025451735,2.190476973413788,1.90870135315105,2.0540586451545284,2.133626812104915,2.058637925986967,2.1949209641514793,2.2327709776929328,2.0673868958364987,1.8846933095392073,1.9922825989079807,1.7411467841092347,2.1380020703933744,2.215372670807453,2.0304140786749483,1.6278864970645792,1.6971841704718416,1.5153185475103284,1.8380108207666628,1.9229193047081847,1.7732128467825488,2.152977139819245,2.303442317916002,2.063104731525784,1.731210830981199,1.8276403706007114,1.6376596660766398,1.9289559386973179,2.0088218390804595,1.8367432950191571,1.698189854381396,1.7546858379488683,1.5482705498294391
Shadow Poliwrath,Bubble or Rock Smash,Dynamic Punch,40,1.36522088684574,1.4590117297821024,1.374928363808778,1.4000450228726273,1.484914817732964,1.3941735698938098,1.449346388768565,1.5298213272354244,1.4503537525981594,1.380363002106863,1.4623735018823611,1.3807895554864782,1.4197085903720426,1.4940801653248375,1.4196491357553915,1.4710786551042143,1.5616118971550281,1.4693214666058116,1.463049004873801,1.5023456044496257,1.4620082306838773,1.433953875146268,1.5053586610137646,1.4213650679669085,1.3508328295659435,1.4063065092014924,1.3508222932545217,1.4599280913572645,1.5481185476280606,1.4593094590354934,1.4278182667395176,1.5185681301443503,1.427589139362321,1.4270235609411224,1.5160429785764786,1.427693559790204,1.4023586729844117,1.5059581250609908,1.40585005837047,1.319882156327822,1.4037235693949943,1.3211702457938925,1.334866853854403,1.4138233777290254,1.348226491703436,1.4367701863354037,1.5002587991718426,1.4367701863354037,1.346031746031746,1.40367471189389,1.3411828658404001,1.3002187176240358,1.3801082076666282,1.3363186370438587,1.4425704412546518,1.5354864433811801,1.4425704412546518,1.4216061490376184,1.518545982235405,1.4216061490376184,1.3936685823754789,1.4493103448275861,1.4092241379310344,1.3583978285588527,1.4106756409786156,1.3599383780214942
Sneasler,Rock Smash,Close Combat,35,1.6864416912325548,1.587981611659692,1.6948339483394834,1.7316048806137894,1.6152341945357689,1.736317162618248,1.7118083188105049,1.6168709936301027,1.7105726191795358,1.4686750941180535,1.5103443511898595,1.468379787932166,1.4998636644135417,1.5505518003472971,1.5012844247355808,1.5270842841929104,1.6106914650844364,1.5270804807546021,1.536570361110721,1.576882452912342,1.5367740213773053,1.672871464688275,1.5617264543541793,1.673531879428732,1.5319954851905557,1.5513546403891059,1.5319349013998806,1.5723085443434175,1.6024580324251712,1.572368934641495,1.5320844422510884,1.5785995029698434,1.5320139415196434,1.465094293089558,1.5234581805626348,1.467741405106789,1.4710478854709936,1.524918588555051,1.4788077244190965,1.5594899165714362,1.5387780985157247,1.5828175470813215,1.5263918335939228,1.521950900056484,1.520352573285636,1.503064182194617,1.540414078674948,1.503064182194617,1.467873450750163,1.5170906718851924,1.4570015220700152,1.4963854034764592,1.549061816507425,1.516242661448141,1.515696438064859,1.5898591174906964,1.515696438064859,1.543933087754549,1.6237222727200245,1.543933087754549,1.4968295019157087,1.549463601532567,1.533764367816092,1.47814803946741,1.5283075963760406,1.4951399332428565
Groudon,Mud Shot,Earthquake,45,1.297913789193758,1.3345564740563607,1.093036343771259,1.2622363936007042,1.3089577036990994,1.069414181868886,1.2691743310264703,1.2989553637087108,1.0732706081455439,1.2461420232791076,1.281779090249715,1.0592874658929992,1.2635069613155463,1.3222501727259122,1.040867873390369,1.2758481667427355,1.3793739540544654,1.0559143465692986,1.2474711013104485,1.291068443895108,1.0512577777153531,1.302432744665058,1.341140489748689,1.0565277811366947,1.266833403794916,1.3132524408023927,1.061067143961574,1.2781694964185606,1.3125507241680499,1.075859051990155,1.3251669986076107,1.375575021590849,1.0920827678587166,1.2589360582693478,1.3142931717663309,1.050704115354894,1.3177449842959943,1.3205279726472003,1.125754930768647,1.2750731568760858,1.3220917251811584,1.0906649844438425,1.2392128291816404,1.298082826480243,1.0442067305724507,1.3126604554865424,1.3699378881987576,1.0642753623188406,1.251543813872581,1.3149597738638834,1.0645140247879974,1.2347876136756073,1.2617819730631978,1.0560722919304708,1.3169191919191918,1.3742025518341308,1.0952950558213717,1.31749031239535,1.403769793809501,1.1102553062558804,1.2659578544061303,1.3038888888888889,1.1052298850574713,1.3012140996955581,1.3490353225983933,1.0503704654660162
Buzzwole,Counter,Superpower,50,1.2479333731884805,1.3014286008781877,1.2540477024881982,1.2723161412038242,1.2956322773677746,1.275697896524671,1.2626163924958111,1.295357395897343,1.2639645810877516,1.2393948813594446,1.286816564777398,1.2405847407867925,1.2358728655280082,1.2916556470609943,1.2358708153688134,1.2940209949794614,1.3514034687357372,1.2945268522744562,1.2327499754203126,1.2776451254968608,1.2308805146284254,1.2565013645470764,1.3005240530489768,1.2519100868584907,1.2418834183481962,1.2775883436786741,1.2427473958847801,1.2783595049173904,1.3222352658719696,1.2760705653268367,1.2619080141706471,1.319361704002679,1.2639811763047042,1.2560279344305423,1.3009281333749858,1.2574316436757043,1.236853994311138,1.2833298997762768,1.2310494757500516,1.2756214205975414,1.2830560087722196,1.2891463599912807,1.2330487315711491,1.2873488650038065,1.233861197292054,1.2681055900621117,1.3040683229813663,1.2713250517598342,1.2186671015438137,1.2622526636225266,1.2207218960643618,1.1918383791872913,1.2364107286750317,1.1930010360308507,1.2550903774587985,1.330701754385965,1.2609649122807016,1.2992712369835273,1.3640147347270728,1.2992712369835273,1.2916666666666665,1.3409961685823755,1.2931609195402298,1.2524850530022373,1.2875600630891684,1.2505868759857681
Conkeldurr,Counter,Dynamic Punch,35,1.2393287843492962,1.2952379970727081,1.2320744604094087,1.2355452219476424,1.3046234122297578,1.2359836909683781,1.2445946535843684,1.3069958060085896,1.244339454747538,1.227520464200601,1.295879528891652,1.2286464269678445,1.2308089723167004,1.288728019730732,1.230384589363364,1.275543891678077,1.3529210406207213,1.2758025254830367,1.256915319465708,1.3067938255825386,1.2573015716954368,1.2553907515891811,1.3015137449980558,1.2523454024902285,1.2444318886733334,1.2995065055137835,1.2444516442572493,1.2697487321719738,1.3335135222715,1.2702009229405067,1.237129210215556,1.3128910587447347,1.2372415707562967,1.200292662073955,1.2606418835599547,1.2016223837161508,1.2214174446384103,1.2856032759748592,1.2217174290970467,1.196503002239294,1.2640616433379352,1.2410114474822806,1.1806702739871808,1.2470857652731278,1.1798741803714832,1.2365838509316769,1.2922049689440993,1.2365838509316769,1.2115025005435964,1.2769297673407263,1.2092302674494455,1.1805456429147,1.2407965926096467,1.1961897087602165,1.2579346092503987,1.320547581073897,1.2579346092503987,1.2913457398459554,1.3616227335789122,1.2929164872665806,1.259090038314176,1.3235344827586206,1.2687931034482758,1.234475296188974,1.2817921725415398,1.2366394013864945
Golem,Mud-Slap,Earthquake,35,1.9127089818384218,1.7144653569440724,1.6097569523181265,1.6682620667178494,1.6891909826577942,1.4080567422591739,1.6862162407196608,1.6811256955007774,1.4230726611530287,1.656303319172452,1.70582323075329,1.3583203813076365,1.6135101390622983,1.6455213247308653,1.3526314818345646,1.6367374106191999,1.6876388254982504,1.3712688270196258,1.7355885781704286,1.742146438754442,1.4338665955026195,1.8185050070599265,1.705542460947165,1.5446672904950505,1.6339250789235578,1.6440820831341312,1.3440843221003083,1.7198832847019592,1.7146882461331796,1.4305312726003325,1.690810229656133,1.7054721786488536,1.4283624442603593,1.665154716298647,1.7149976981634634,1.370301787211654,2.2344432758302886,1.9378670743563888,1.8356663449965847,1.6344930542252638,1.6801277520526863,1.3749727519536024,1.6677178922551759,1.6209714388624663,1.4495616368830788,1.6377639751552795,1.6763457556935817,1.371190476190476,1.6184822787562514,1.6427049358556207,1.353457273320287,1.616852768504662,1.6532634971796938,1.3894900425923795,1.6450026581605528,1.7045853269537479,1.3655369484316853,1.6221036852764357,1.694589293402861,1.3337160535170391,1.6833524904214558,1.7156896551724137,1.4105555555555556,1.5790356893958846,1.6266184939295014,1.3397278362615999
Buzzwole,Counter,Superpower,30,1.4605990640911997,1.5113381022078378,1.4773650250468986,1.47930207827596,1.5259024314031178,1.4784570594352318,1.4814896896312042,1.5259144345163143,1.4919142263277896,1.4094411632646013,1.4536559251200223,1.4101716575139018,1.4466189799637943,1.4978729598353313,1.4495445571348615,1.5067967442568082,1.5599459911760232,1.503297581013236,1.4799991572678626,1.5202185485343485,1.4833223309970927,1.4493833958711986,1.4786220958029248,1.4483397545489554,1.4146841938207166,1.448705943401569,1.4140849411086043,1.5065331991981346,1.5551812666349494,1.5042236385301884,1.4708479475474558,1.5153537374200259,1.4659349278248763,1.4572516071751533,1.499864356061229,1.4572968218214104,1.4455528207574788,1.4912552723172174,1.4472659850152343,1.5068136629961622,1.49270743194594,1.5017868112849848,1.4120940741165204,1.4661056491949018,1.4176339852159892,1.4583540372670807,1.4960248447204967,1.4618737060041407,1.4194063926940639,1.4739508588823658,1.4174603174603175,1.388177736848164,1.4307355819039944,1.3870496143662945,1.4799175970228602,1.550132908027645,1.4828548644338118,1.5138496866478497,1.5833532666762349,1.5138496866478497,1.47183908045977,1.5210057471264367,1.4824233716475095,1.44527381432711,1.4797160987418845,1.442678722077541
Shadow Mamoswine,Mud-Slap,High Horsepower,40,1.2971366138242388,1.1611309241584036,1.0912304933105197,1.128279907871107,1.1179800857786522,0.9374669258281773,1.1146463985064152,1.1050344686323694,0.9259184639716327,1.092239146202466,1.1087331191931753,0.9106880116050151,1.0806655636810198,1.0916872195125953,0.9163555550088465,1.058934276586034,1.126122014300928,0.8883690856534308,1.171852746604492,1.141411857241176,0.9775875388007922,1.1963068863584359,1.1011550746826753,1.013429673271434,1.080691023984596,1.0846105318334893,0.8959881677222733,1.1618504176504638,1.1381892042768114,0.9666115298335437,1.1107522428045191,1.1300055519326013,0.9262518286127219,1.0485194258562012,1.0870875191134641,0.8900893605826935,1.3939554938720042,1.1843458712379962,1.1772185296424402,1.126615891721218,1.109051635873622,0.9598248198326145,1.0524418994916462,1.0776160577607872,0.8973325747591254,1.0789233954451345,1.1081987577639751,0.9041925465838508,1.0361382909328114,1.0588714938030006,0.882202652750598,1.0670427074939566,1.0811902843329113,0.8994589616668586,1.0707868155236575,1.1217703349282295,0.9033094098883573,1.0811127589341243,1.1383294263981247,0.9013777926613405,1.092375478927203,1.1023850574712644,0.9259578544061302,1.074083923265965,1.104335546344863,0.8987272127058651
