Attacker,Fast Move,Charged Move,Level,Arceus (Bug),Arceus (Bug),Arceus (Grass),Arceus (Grass),Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Jirachi,Jirachi,Magearna,Magearna,Magearna (Original Color),Magearna (Original Color),Melmetal,Melmetal,Meltan,Meltan,Necrozma (Dusk Mane),Necrozma (Dusk Mane),Shaymin,Shaymin,Solgaleo,Solgaleo,Zacian (Crowned Sword),Zacian (Crowned Sword),Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Genesect,Genesect,Genesect (Burn),Genesect (Burn),Genesect (Chill),Genesect (Chill),Genesect (Douse),Genesect (Douse),Genesect (Shock),Genesect (Shock),Regice,Regice,Registeel,Registeel,Celesteela,Celesteela,Kartana,Kartana,Mega Glalie,Mega Glalie,Mega Lucario,Mega Lucario,Mega Mawile,Mega Mawile,Mega Metagross,Mega Metagross,Mega Abomasnow,Mega Abomasnow,Mega Aggron,Mega Aggron,Mega Beedrill,Mega Beedrill,Mega Scizor,Mega Scizor,Mega Steelix,Mega Steelix,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Ariados,Ariados,Bellossom,Bellossom,Cryogonal,Cryogonal,Durant,Durant,Excadrill,Excadrill,Forretress,Forretress,Galvantula,Galvantula,Glaceon,Glaceon,Glalie,Glalie,Gloom,Gloom,Grotle,Grotle,Jynx,Jynx,Mawile,Mawile,Meganium,Meganium,Metagross,Metagross,Metang,Metang,Parasect,Parasect,Piloswine,Piloswine,Pinsir,Pinsir,Skarmory,Skarmory,Stunfisk (Galarian),Stunfisk (Galarian),Tangela,Tangela,Venomoth,Venomoth,Venusaur,Venusaur,Vileplume,Vileplume
(Boss weights),,,,0.6944444444444445,0.0,0.6944444444444445,0.0,0.6944444444444445,0.0,0.6944444444444445,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,1.388888888888889,0.0,1.388888888888889,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,0.5555555555555557,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,2.777777777777778,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,3.5,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0,0.5769230769230769,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Charizard,Fire Spin,Blast Burn,30,1.5490615179911107,1.5586268153894063,1.5510723979492274,1.5564512409302986,1.5471819075364603,1.5624726602969956,1.551730983993051,1.5594756527750695,1.5635299126001583,1.5755290784151175,1.5955087700290593,1.6146449618282213,1.5635630284770141,1.5949335050377424,1.57238980101035,1.6077713005174965,1.57238980101035,1.6077713005174965,1.7101402420376601,1.6563218139717768,1.5679720143814984,1.6104039128040684,1.6123921578010258,1.6586852971729242,1.517632095013936,1.5696705471930767,1.537640319920552,1.5872976112362343,1.749054617410532,1.6450995028379083,1.5613496000656177,1.5907378660242604,1.8276032211165434,1.6476414134946402,1.5142460136363947,1.5762125969771068,1.530292450221239,1.6039857577433627,1.5313049583509428,1.584968166759826,1.5226415994655722,1.5815820148739936,1.7014126255991968,1.605936603783966,1.4997532714771815,1.5327176324360043,1.545147860369814,1.5802652811849973,1.5483870271390456,1.6084158672319557,1.5596797807291802,1.618608813518705,1.5992456235189876,1.613434892350964,1.5386951227127958,1.5659347092986948,1.5159115922296968,1.5759350757527606,1.5598496414356342,1.5634856832390518,1.5430641328786303,1.5805422740186026,1.638441300159516,1.55213275051273,1.5873862158647594,1.6259381385844325,1.5612802570543687,1.6192242864373174,1.5501330766693326,1.5872070166876786,1.5185747980185345,1.550133500954402,1.5347910592808554,1.5779275996112732,1.4893044531144894,1.5461590205838827,1.5566391454024144,1.6011814006117966,1.5128703837103203,1.5677135859386255,1.618894772653315,1.6215128834718813,1.7751114070583414,1.6083209547712953,1.533492529166951,1.5605785631438902,1.5283529180069586,1.5822228057506729,1.5887125399320523,1.594679106874229,1.5399995713948953,1.58034202687354,1.5083048211508554,1.54901399688958,1.494976549294098,1.5427350427350426,1.565914877317892,1.5772029831241692,1.5179400590966652,1.5684254959898691,1.5321869139128825,1.5580385837933979,1.5278936392075078,1.5399236336870514,1.5288816342681901,1.5893554929020133,1.5853141499990187,1.6188195575794453,1.5755639776213681,1.5875112795524273,1.5291449835741489,1.5750404589547538,1.5372564155074906,1.5642889774571118,1.5615384615384615,1.5735054070597836,1.5322021264480863,1.5811808309090722,1.5087473757872638,1.557815706135617,1.5372114975291047,1.5672509208017917,1.5305555267496966,1.570376746067136
Victini,Quick Attack or Confusion,V-Create,40,1.3778044758372732,1.4648228491351245,1.3806241018999805,1.4684596143270237,1.3797433831277506,1.4663360813239943,1.409485402300888,1.503830677326148,1.378227081024531,1.4936755330425175,1.3945062046069254,1.5183932641223974,1.4645859655943239,1.576422635824667,1.4475553690241498,1.5789278123459833,1.4475553690241498,1.5789278123459833,1.3896238367774914,1.5173314692647124,1.5021418391474752,1.6141774365950832,1.4594142476318082,1.6085739408186335,1.4142300055416617,1.5053013866423461,1.4505998510347764,1.5519538385146041,1.3919447065616946,1.5116385927355183,1.4440699437084383,1.5508674611685436,1.4378319234043195,1.5337667327060844,1.511661092682528,1.6405393255365668,1.5201742256637167,1.6808939435840708,1.4992297310193454,1.6480961404752492,1.4807224316457508,1.6410848063040646,1.4996526894218138,1.6546082267903688,1.4138788727438645,1.4786805101630698,1.4656583369867018,1.5562167893265677,1.4690659781886004,1.5940195663624355,1.4652315711038801,1.6175079661657936,1.4054448423166186,1.4831301746527876,1.4158574283394743,1.515971398238931,1.5004131360538984,1.6142480087511248,1.3827776015891395,1.4839574098795114,1.452212610456233,1.5528766550279736,1.3434525905823371,1.4405709432164238,1.2967536689578303,1.3976267880364108,1.4790284310675463,1.6139030381263262,1.4657818988617313,1.5738903122895964,1.2790544787695999,1.3599364500856366,1.299331875607386,1.3806486880466473,1.309578904883627,1.3927351002287098,1.4604969170430462,1.5529568577812298,1.3957562951223808,1.498775392594727,1.4950596100937787,1.641851314972044,1.4236925677406136,1.5382625621062338,1.5363307634577335,1.661622432967183,1.41144882820193,1.5493468128405437,1.3989402160133868,1.510783766881328,1.4313374622291752,1.5347170134796306,1.3212690513219285,1.3927340590979782,1.4194938456776895,1.5347713258576767,1.4219633643512155,1.509823581100872,1.5106193089308326,1.6206717722969306,1.4426834315098043,1.511996900617235,1.4581135373857572,1.5422928295405753,1.4904486323391206,1.569946084977989,1.5544781832100025,1.6187606728561055,1.3826866389941648,1.4728147747097395,1.455020302158134,1.5575195511236446,1.4946754044644686,1.5680146190078608,1.492695368292185,1.5919608243215668,1.4370710092863872,1.5135568830039445,1.2981224276784762,1.3933650413350571,1.3255196283477393,1.3889670362212885,1.3229459406207547,1.3848140120915473
Shadow Typhlosion,Shadow Claw or Incinerate or Ember,Blast Burn,30,1.4291945049967443,1.3630513404863687,1.4282034451560255,1.365771966861218,1.434651247221755,1.3656055467497852,1.4383776789037988,1.367376313970184,1.3671689586647524,1.3588908786002238,1.3231329105352563,1.4280946613681478,1.3575805066899924,1.3962686688048724,1.3600545989403647,1.4202058433957616,1.3600545989403647,1.4202058433957616,1.3378020009611604,1.3957730787714624,1.3130445696887247,1.3822028957341366,1.4211124469885932,1.4634099169961499,1.3354831981317852,1.3926788719548977,1.3325160935643479,1.38978790189576,1.430990591946819,1.43763115643001,1.346341959845555,1.3965684323726604,1.3405524712050563,1.400957822657798,1.4661780632505295,1.4097865992793552,1.3347587112831858,1.431426299778761,1.3166316750964542,1.4078676500661205,1.3179265025664797,1.4250778805581497,1.3752020247175092,1.4276768704909804,1.5167224726059825,1.3959899821068185,1.326802354323878,1.3627981381812755,1.3682897134123702,1.4193772612273448,1.3984655535876764,1.4496250004680473,1.341359422186635,1.3900890538184214,1.553768812839568,1.5082745269468558,1.3354832019215008,1.3992834514757486,1.4849678312325911,1.4112808258412188,1.3337012787070013,1.380701458806579,1.365391228688032,1.3322988958173645,1.4073193386587406,1.4475803455322311,1.368433760673839,1.430157455087457,1.3829264214802461,1.4000546766621027,1.3508595385422733,1.3849613914086512,1.321307094266278,1.3821671525753159,1.2849320597336205,1.3663392977263555,1.3243865251287361,1.3852689316571252,1.2996126078534953,1.3534473098656934,1.3256959441469693,1.3914593379285862,1.4621600163909236,1.4338856733084056,1.3463328102613086,1.3938322985604148,1.3199501083174687,1.3860171995010833,1.3032892179233644,1.3651944627554384,1.3106744101322247,1.380065576581017,1.319253499222395,1.365810264385692,1.3027402804561579,1.372794800371402,1.3307009440551563,1.3846067187887254,1.2928541277211603,1.3748417053609117,1.3842266071444294,1.3698391314684206,1.382084585659081,1.384591792921548,1.3044962160557947,1.3756244744521937,1.3777651284668382,1.4478183210002553,1.3012572941105698,1.3518618781206762,1.3502146505024664,1.4078650269887878,1.3058806849509286,1.3526205516785077,1.3961028361558865,1.4012956539481738,1.3309142484445042,1.3908978911515328,1.3037444698793752,1.3632503469298194,1.32982287290159,1.366525384515723,1.351349669712022,1.3809252211425787
