Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Fire),Victini,Victini,Victini,Volcanion,Volcanion,Volcanion,Entei,Entei,Entei,Reshiram,Reshiram,Reshiram,Blacephalon,Blacephalon,Blacephalon,Mega Charizard X,Mega Charizard X,Mega Charizard X,Mega Houndoom,Mega Houndoom,Mega Houndoom,Arcanine,Arcanine,Arcanine,Flareon,Flareon,Flareon,Lampent,Lampent,Lampent,Magmar,Magmar,Magmar,Marowak (Alola),Marowak (Alola),Marowak (Alola),Ninetales,Ninetales,Ninetales,Torracat,Torracat,Torracat,Typhlosion,Typhlosion,Typhlosion
(Boss weights),,,,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,8.333333333333334,0.0,0.0,17.5,0.0,0.0,17.5,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Aurorus,Rock Throw,Meteor Beam,30,1.4424345925268118,1.4612959294426606,1.440905951377978,1.6249398671447726,1.503882620666596,1.6363199033780165,1.5139288506522077,1.4305187590804205,1.5186198077403958,1.4591559665868694,1.508323790889288,1.4841019153363177,1.4776484264438305,1.4941994069681246,1.598343891097783,1.5451550969115986,1.4803119761573327,1.6280449148202212,1.4672422592006962,1.4820922119318325,1.598097532816304,1.4423094911214038,1.4824253579349156,1.4697373383823906,1.492329186705715,1.559606652516188,1.4970131742747879,1.4815383496440204,1.5162069773643763,1.5195768649539774,1.4870931675492376,1.5319138479684486,1.4685407477485226,1.4352711420452968,1.5030312005405255,1.4240348750034708,1.5007828446360796,1.5705830758006738,1.5053077686058807,1.4303699026734014,1.4823749538006652,1.4318559812738696,1.4817467558109452,1.5509606612290472,1.4740669126758261,1.4559121763177743,1.4706192910416493,1.4714237827872287
Shadow Golurk,Mud-Slap,Earth Power,35,1.1825397909693285,1.209789679015719,0.9866019992258123,1.2530151722443799,1.2202653692754375,1.1048188167218809,1.3305431317994347,1.182850785149734,1.110288136183359,1.2747857780634295,1.2023398140596302,1.0828026514096036,1.3172231956331288,1.193279533661298,1.1127535548217535,1.5958117403928807,1.2521619261842933,1.2757744693043709,1.35224645622959,1.219514371686648,1.1219202034652678,1.4582230737896595,1.3407299005778255,1.2087413062172805,1.2053610611067824,1.2145230482638796,1.0364419606473396,1.252014255351818,1.1978940222881296,1.059074048633054,1.2020002211546732,1.1980194370384931,1.008649604993181,1.1503012689392187,1.1781420360412058,0.9863943059707709,1.197039125837152,1.233951684960366,0.9934339418481691,1.1650933226561537,1.1789223235185413,0.9981520266108168,1.1993899699069976,1.2324514222688217,1.0060594507005813,1.2397972010391354,1.1831894745663287,1.0503058744657672
Tyranitar,Smack Down,Stone Edge,50,1.1581194829640762,1.2091035362160438,1.157430304134314,1.1551854139016926,1.1881911013609643,1.1577254939423611,1.113497738401593,1.1553839969360011,1.1202540460296209,1.1441129391473428,1.197885543553206,1.14511159066271,1.1443223936922973,1.174708538311207,1.1407372464451782,1.1000227868035077,1.152872378107522,1.1223425736453696,1.1574094989500456,1.2138142208167055,1.1531678504798,1.152370894497835,1.206659324411991,1.148430215892461,1.190565750467951,1.2535085126772167,1.1954646820172492,1.139733156623001,1.1672256208431993,1.1401048948223336,1.1686795837377597,1.2157118108881817,1.1637404627047216,1.152198661643975,1.209370343289246,1.1512731042270208,1.1841529293144577,1.242075235058324,1.187571214269905,1.1701059504743132,1.2150425033879513,1.167418689170876,1.1741989950843557,1.2149266738381514,1.1807486485382426,1.1457889885192325,1.176275873627755,1.1524679460320122
