Attacker,Fast Move,Charged Move,Level,"Arceus (Water), Tier 5","Arceus (Water), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Manaphy, Tier 5","Manaphy, Tier 5","Phione, Tier 5","Phione, Tier 5","Kyogre, Tier 5","Kyogre, Tier 5","Suicune, Tier 5","Suicune, Tier 5","Mega Blastoise, Mega Tier","Mega Blastoise, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Mega Slowbro, Mega Tier","Mega Slowbro, Mega Tier","Alomomola, Tier 3","Alomomola, Tier 3","Azumarill, Tier 3","Azumarill, Tier 3","Cloyster, Tier 3","Cloyster, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Dewgong, Tier 3","Dewgong, Tier 3","Floatzel, Tier 3","Floatzel, Tier 3","Lapras, Tier 3","Lapras, Tier 3","Lumineon, Tier 3","Lumineon, Tier 3","Octillery, Tier 3","Octillery, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Slowbro, Tier 3","Slowbro, Tier 3","Slowking, Tier 3","Slowking, Tier 3","Starmie, Tier 3","Starmie, Tier 3","Vaporeon, Tier 3","Vaporeon, Tier 3","Walrein, Tier 3","Walrein, Tier 3"
Shadow Raikou,Volt Switch,Thunder,40,1.305263158824218,1.3019275920676836,1.284607228312682,1.286625177259113,1.264997410221653,1.2766850183228506,1.2415152392526756,1.2802111738136845,1.276668043654971,1.2769709578587625,1.2510007845424682,1.2575273026017681,1.2881894261821365,1.253271504490492,1.274406040399426,1.285573688024452,1.2625619684429243,1.2769152124839693,1.2714069339891447,1.2872878742914677,1.2448367549214212,1.2481773515899257,1.2396014239504758,1.244124412886485,1.2346450421888717,1.3009723445976296,1.2490031937423018,1.2688426298257558,1.2368832735170883,1.2465527496649005,1.250712976123928,1.2686108339731141,1.2479898288723956,1.2495770689956816,1.2415900546590508,1.2543402795240346,1.2492426989537488,1.255094898802782,1.2465385428503475,1.2682898711880624,1.2697862652775083,1.285808515790579,1.2719606632108564,1.2932048689767677,1.2823062563030665,1.2895800976584824,1.2639097938091506,1.2699594909398877,1.2522373799063864,1.274399402457495,1.2441357069784351,1.2582149500631048
Shadow Magnezone,Spark,Wild Charge,40,1.0106367023538363,1.0149492311269892,1.1357749004738456,1.0408316499458419,1.0421287393182768,1.0318441809579633,1.0437190195204413,1.0445404919915073,1.0906838070373899,1.056812173322104,1.0374277448611458,1.0301893159514777,1.02216305309924,1.014322574270435,1.0550807035189382,1.036703591683814,1.0533429584259515,1.032080525769762,1.0,1.0045296882995143,1.048399338659261,1.0260390118927973,1.0360645487874345,1.04081449717159,1.022099753910224,1.0789874226875367,1.0531839613469571,1.0359506799952478,1.05517448570791,1.0401447618661641,1.05879622823739,1.0562404231346951,1.0345698883169998,1.0250861825229376,1.0531818058878344,1.0434625172250778,1.039114255505128,1.0380643058320325,1.0768506528779775,1.0625469536184897,1.0419289618948395,1.0544440848993188,1.0259358282779474,1.0572792429640996,1.0401628527868128,1.0570703555180787,1.0423460712885517,1.0528324646265672,1.0773737315347198,1.0614276940916585,1.0976620363574499,1.0481240774859435
Shadow Magnezone,Charge Beam,Wild Charge,40,1.0247728939101968,1.0405762215460423,1.1902404807746279,1.1031185945604505,1.0637879824622294,1.0675187537004949,1.0603259368538887,1.0725326259691426,1.1199299159805913,1.0915303735977802,1.0569643275603366,1.0476748671245297,1.0462782178663175,1.0465659902674747,1.1121367829792896,1.10502129614403,1.108986608155397,1.0858175329757198,1.0436010253454324,1.0644387663581378,1.07893374470926,1.0630682566703407,1.0688645241890156,1.0616325165319846,1.0273693046566734,1.0867900426730244,1.079101474363405,1.0794612896590279,1.0486988610521741,1.0527915337343603,1.0644111235521418,1.0756940322050959,1.0731844610330494,1.0566711695780109,1.0871299203595743,1.0910211767871332,1.0704946504162485,1.075312010986366,1.1124101136627231,1.1013402738640514,1.051327758261321,1.0745969082452744,1.0503153171655584,1.0905957006465001,1.0729339427412206,1.0938317837024103,1.0726963799409195,1.0813710123497755,1.1048646302819198,1.0876144156314678,1.1055760184459593,1.0725398682285057
Shadow Magnezone,Spark,Zap Cannon,40,1.1809419539011183,1.1447142281236842,1.424625026896953,1.1913224642673184,1.2034429176999717,1.1959803305273358,1.2098223403151587,1.2093080835363383,1.2903473241551557,1.2484840309160965,1.1924027096794414,1.1623299464945969,1.1973838770707355,1.164473789656061,1.2701634459264777,1.1889900035496752,1.2388800388751062,1.1960174770000969,1.1551844630742265,1.1423220185844813,1.1829290151810348,1.1472940573259216,1.157983650969493,1.1400266963761094,1.166314174649762,1.2150463442866521,1.2110748440440293,1.184681326086733,1.1783530991933413,1.1732559172135442,1.1904275279795806,1.1872880879865413,1.1448911284006869,1.1211920170914393,1.177489502987028,1.1871562842615597,1.1869373203604814,1.1618590165377445,1.2599605366313433,1.2226547662470264,1.2363596994562598,1.2027180468556349,1.1716359136400942,1.1940080575457237,1.1900725159921752,1.1913176968579748,1.1988177719816908,1.202861737068199,1.2268365164558568,1.2081608961599466,1.2553806812749873,1.1897702256662848
Shadow Magnezone,Charge Beam,Zap Cannon,40,1.2375762128862777,1.2064830086561626,1.5691251557700265,1.297922809352922,1.2633610568024718,1.2578847020864001,1.2574390765480083,1.2608236528271182,1.3593662008211185,1.3088059597832205,1.2409094111501175,1.2134218456335648,1.2601867208779887,1.2214177294425543,1.3865743451083417,1.2969334120680398,1.3423266211568603,1.2822256660713716,1.2405267277079641,1.229725250244065,1.2509051133218745,1.217189728618929,1.2324062968299612,1.2170648592147573,1.1959387256788225,1.2466554801147163,1.2709109187596663,1.2435913938600045,1.1862705267833706,1.2095001725413161,1.2586535667931278,1.2636717366220642,1.2462408497259136,1.2072684657480606,1.2729166984261242,1.2664632452046392,1.2224696831473798,1.2238687052037556,1.3272809621545119,1.294827318751167,1.2984071038451885,1.268895655956746,1.230149641411769,1.2492509555782036,1.2574508243129778,1.2484573179278422,1.2661196674641493,1.2655265109212905,1.264715172856191,1.2417881409281095,1.2732686399868716,1.2224793054179879
Shadow Electivire,Thunder Shock,Wild Charge,40,1.028184921269109,1.018552389041573,1.035367838758851,1.0,1.0163658226557422,1.0,1.000512604403243,1.0128660941634147,1.1077923086654062,1.0199980672150932,1.0012318939055558,1.0082011409689082,1.071570237474705,1.004047219780392,1.0895272998866028,1.022340697351581,1.1126326249044072,1.035597863103654,1.0255479861314587,1.0,1.0438511073905807,1.00057126124947,1.0175873144935637,1.0091310647206901,1.0091276006198922,1.0,1.0306043735030481,1.0138685786614703,1.0102101377822539,1.0014377400007988,1.0440203060789905,1.0112452068449598,1.041674527960724,1.0045030622967142,1.0367283578762225,1.0110952446212496,1.0502161018081326,1.0103040866077049,1.0184519142963686,1.0,1.0488286783833982,1.024646889779894,1.0303282372455285,1.0067872265528854,1.0212270173885067,1.0057303123445334,1.0292605606894325,1.0,1.0258991688008585,1.0,1.058571537185877,1.0055709562375432
Shadow Electivire,Low Kick,Wild Charge,40,1.1972520645476354,1.2087507059337945,1.2416282879178426,1.2073477479348915,1.1972576065362597,1.2080642270107607,1.2088173452351405,1.243046607129093,1.2567316199899272,1.1930437567829206,1.16854868467234,1.1961627668154473,1.2207120352982903,1.2030786258360175,1.1797095607453374,1.0974020217760052,1.237920316711827,1.1115477655351285,1.3183391066486254,1.3104593298113034,1.2332896646674767,1.1844323562978205,1.3340402274766383,1.3542362196931448,1.0822386282073022,1.08594705607961,1.1181273382022385,1.0923706258494645,1.097307258180526,1.0886865344465775,1.2460700704869287,1.2388098028117067,1.116004485176101,1.0838619310470379,1.2216915865713633,1.24164149961275,1.255215605592729,1.2225330610136944,1.220339050236516,1.1996905922764156,1.1130791459857106,1.108687157881503,1.3091492089998438,1.3001268402042008,1.3064712554759816,1.2906257696688526,1.320346402735196,1.3081663410752018,1.2423854253591082,1.2352022949636494,1.1492669868964733,1.0853229594891685
Shadow Electivire,Thunder Shock,Thunder Punch,40,1.2933904674184327,1.259385440300672,1.2999689743005318,1.230199971596148,1.2761024102864928,1.2435453246732082,1.2515810862843522,1.2573267771556171,1.39760665072573,1.2619871936570808,1.2485371805618217,1.243352719876968,1.3342226490786318,1.2518058486387798,1.3660941783118985,1.2468062567043947,1.4204946879775247,1.2625318785128439,1.2744671816024,1.241811280140264,1.2956115855643004,1.2209372078584413,1.2759320676047508,1.2521304148194938,1.255752623944613,1.2408002487820047,1.3072473868413943,1.2521339485263507,1.2586955227070302,1.2353425705020507,1.3143122713421838,1.2616148014357809,1.2762694894635846,1.2350207250155216,1.2838799484308367,1.2676199657510134,1.3034374940358726,1.2493389040128835,1.27613464525544,1.2334922298092619,1.309640885700352,1.2604947293303816,1.2970209880351098,1.2553197011697288,1.273726987876445,1.2484706210756642,1.280692998716669,1.2364764253788194,1.2865589428048727,1.2402717995900676,1.3202374849539416,1.241987046020143
Shadow Electivire,Thunder Shock,Thunder,40,1.2886152096984897,1.2429524238781153,1.288523446282618,1.2177738163118659,1.2516391377169622,1.2396252568433537,1.2074328030969785,1.2402054479655176,1.3843398734497245,1.276203650352819,1.2233208339340378,1.237044738422836,1.334144257863686,1.2459884463026427,1.3716006704445822,1.250109409106882,1.440135933588547,1.2624358345487192,1.2266684527942782,1.2113463953199048,1.2580300044736037,1.2023728404280734,1.2371506613950072,1.2165203497155066,1.2334103887375423,1.20924175477696,1.2613238585009119,1.2436342648304624,1.2425922573964794,1.20900311051167,1.289706460733523,1.2431809214881284,1.2679229338613842,1.2101212706633138,1.2623466264079684,1.2521705798187468,1.2595189382517185,1.216306695606477,1.2454290320023254,1.209962520909493,1.2850481852719327,1.2731163347541317,1.2729924772274255,1.233490901674435,1.2626742351033944,1.2260254906148893,1.2564727986833488,1.2124096895730194,1.25842533916471,1.227843646737699,1.2984695363894427,1.2319839556796495
Shadow Electivire,Low Kick,Thunder Punch,40,1.487129400305353,1.481278501094927,1.5425023720370876,1.476559403264747,1.5118751190319086,1.5077540644334237,1.509568550110613,1.5525181400626689,1.5580552538006063,1.4624039352112856,1.451237107797128,1.4708683595850907,1.5330684684926286,1.473021690438478,1.4240123493520451,1.3195782461755141,1.4658330056735958,1.3361693587967165,1.644068178301348,1.637843581856613,1.5411570098286398,1.468708978929466,1.6920368903937892,1.7043431567356038,1.3226228556824344,1.3127384160879028,1.3653952745880222,1.3277964519494483,1.3346822995195735,1.3153009281471209,1.579173790591613,1.5397828720067042,1.356994680036129,1.3146984053233077,1.5276040091500018,1.5354547420513183,1.5744328830496634,1.5370507288907682,1.5058142402861094,1.4900082181476795,1.3900870332334399,1.3486154679170264,1.6622714994238241,1.6601248817831893,1.6517113484262747,1.655420527366507,1.6770190063569244,1.6351799615810523,1.5510214206094368,1.5368897640181571,1.403118544497565,1.319798980508766
Shadow Electivire,Low Kick,Thunder,40,1.656302990078048,1.562914076746339,1.7213552920156876,1.5925591446625136,1.6611020377754198,1.6243210224649356,1.6685857495714231,1.660766806462275,1.8044360959077526,1.6015510801427417,1.5785272045420464,1.56332796412146,1.7004669434606052,1.5634377207664494,1.5069844517682347,1.3588305835750127,1.581160145933417,1.3880170693589535,1.874080197405738,1.8423377660431886,1.578196345802682,1.5255789528748447,1.8974209750268205,1.8618837956798309,1.3316876964372601,1.3091606630731487,1.3703156526245026,1.3487453751002592,1.3400012816372986,1.3217907464214813,1.667033410329749,1.6564231425795326,1.3445033961568034,1.3186094321425752,1.6348985213616158,1.6202478588096842,1.6388624452731666,1.5895918670827494,1.6150596501736798,1.5757342418101796,1.4385470849105237,1.3807434869352968,1.8502861461641924,1.82053932378141,1.8591222679488997,1.8003520057505271,1.8555413809086148,1.8073164078899753,1.6829327837467607,1.6438783144222986,1.4128877366437296,1.3221943320268188
Mega Manectric,Thunder Fang,Wild Charge,40,1.0184152434911677,1.0162421786126976,0.9999999999999999,1.0183259956715922,1.0219229250433983,1.0202060968846958,1.0002726563492492,1.0125083896361116,1.0233399973969262,1.0317949418739922,1.0,1.0061394820145064,1.0,1.0081505365852113,1.041880094155705,1.036039654447398,1.0557286679458278,1.0352881758897863,1.0325924132684223,1.035329361612077,1.0084932839260694,1.0,1.0,0.9999999999999999,1.0090573896175214,1.0292991560416018,1.020797737040675,1.0182176385018091,1.0,1.0,1.0,0.9999999999999999,1.0329188999093042,1.0171365287851968,0.9999999999999999,1.0,1.0152525163846509,1.0,1.0229329445721718,1.0164222127836007,1.0036352406668936,0.9999999999999999,1.008381547138501,0.9999999999999999,1.0,1.0,1.03371522408809,1.0215253474132777,1.0315710527547959,1.0185579428332927,1.0146963199166528,1.0126748978307383
Mega Manectric,Charge Beam,Wild Charge,40,1.092917546527957,1.0930247905093766,1.067044629520572,1.0914648014803916,1.0861733806384255,1.0810289239812807,1.073433459094548,1.0859644792643095,1.0930860827007127,1.0931452437444769,1.0738691014031365,1.0725536727640694,1.074241323946897,1.0814960750576428,1.1199644943332334,1.1098430973992661,1.1362508962044213,1.123136411146748,1.095016207203829,1.103889746296454,1.0677194013181548,1.062598798774853,1.0640257128692943,1.0721969083332812,1.070802729117416,1.100745266231298,1.0927993423500093,1.0768677041153067,1.0728219756618482,1.052915799241772,1.0744432844438305,1.071762224249518,1.0995896987780245,1.062294600899103,1.0851844220475382,1.0975257967541414,1.0883427550642597,1.082009788826531,1.0929371140649913,1.0804102689162867,1.0748639869159766,1.0684020838378274,1.0868742592425247,1.097624116774982,1.0899094300974315,1.0949941369534542,1.1044076840575627,1.0907563780125966,1.100988905409655,1.0953949848897035,1.0822561522288492,1.0677196933621125
