(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Skuntank,Poison Jab,Sludge Bomb,40,1.3921887286284664,1.4471730059341126,1.2780168414073019,1.3071392923344862,1.2754164332900446,1.3127898251724472,1.2904228529136583,1.301790298321937,1.3085634356733373,1.288884950827853,1.4564900752897576,1.3821287819343893,1.3146707185789435,1.2817092589372097,1.363056547606737,1.3733968294492132,1.3145920859018552,1.3274138577284684,1.2442040074931389,1.4617093057787938,1.3381774517718146,1.3412491932175674,1.308108189676505,1.2954648652992808,1.508871835569664,1.481585310309716,1.3395458871276198,1.3277236635123035,1.4723179731337765,1.528861212759876,1.3242890436242547,1.3259155199338148,1.3309525963856363,1.3077889354770853,1.3919332157678375,1.4303032808015483,1.3085134670256364,1.2949229993281042,1.330999926741088,1.320630239873734,1.3167383459540294,1.3014643203297849
Shadow Skuntank,Bite,Sludge Bomb,40,1.649717862982688,1.7449193946732366,1.6630401289793106,1.7285613463297747,1.5280461107506595,1.5917556610337569,1.5318561418866428,1.571129942755014,1.8903074990389532,1.9497573231392358,2.063879061395336,1.9606726809473,1.7455451195656517,1.752361191367002,1.799233906348194,1.864885380702342,1.715952257009934,1.7803975617603325,1.5231402298144805,1.8103501402524473,1.8164978917695347,1.8711748712298235,1.6202756004716508,1.6492865999621127,1.7696601101894267,1.7922282186197238,1.855183294815233,1.883206586012632,1.858208203800205,1.9683010345569913,1.6311678786409602,1.6640387882081105,1.6058228497128038,1.603512621056465,1.6689247615388423,1.7531603697614966,1.549828547180426,1.5746975442681315,1.8621833564487873,1.9296010993225625,1.783405086331641,1.8697775942004091
Mega Venusaur,Vine Whip,Sludge Bomb,40,1.466037739230484,1.5739486707178707,1.3485498596290852,1.3930978502989997,1.515580446769672,1.5889969328880884,1.5051695825091276,1.5637880463050435,1.640188001904928,1.649245734906834,1.475914962317084,1.4600671118937152,1.3576514106180964,1.3867129935543672,1.547536921236545,1.5971061208576922,1.3949493964324589,1.437950928573161,1.359137805830435,1.6120263415194436,1.2347607025105687,1.2379663412469182,1.6338686478575817,1.6494004052789595,1.587196533282806,1.62490837599869,1.4173769756031898,1.4661704103683075,1.638797384017304,1.671657390623464,1.3714275484474556,1.4176856618007008,1.609890907791056,1.6267032059891153,1.5722626400928754,1.5793368719208452,1.6344436723513447,1.6623576541596123,1.6412300470866354,1.6635883892168126,1.3738566257616989,1.4514986320305245
Mega Venusaur,Razor Leaf,Sludge Bomb,40,1.6133683683626605,1.743396340354581,1.4624085471199908,1.5008141597989777,1.664547667110555,1.7287572010005103,1.690725206960349,1.7482816692901397,1.927114372748825,1.9521530165259096,1.5853783259949807,1.5729265229149267,1.4684379037794768,1.4961523344887204,1.795176739583143,1.8502651527795488,1.503354690777153,1.5491520211037066,1.3905942581092958,1.6832172163935408,1.2899905667489853,1.290537334600851,1.8446595487272286,1.8650677952480181,1.7024092507629707,1.7487539598374648,1.5178398076316968,1.557192459436445,1.778680055850856,1.8141682707738083,1.5117051359231908,1.5569004985901427,1.814577594430779,1.8291035741258255,1.7235513923453665,1.7316389666436203,1.803630978600442,1.8124971668566279,1.8543765086250201,1.8806697207404046,1.5006921181346893,1.5647108860925147
Mega Beedrill,Poison Jab,Sludge Bomb,40,1.1418375610032405,1.1661405458817544,1.123135107991001,1.0129796595526235,1.1181690275956895,1.0188387831693893,1.0187913420711696,1.0178126470891344,1.0171636765437924,1.0,1.1318974874430396,1.0643838302241189,1.0244575223368766,1.0,1.0798992175319968,1.0611385334661707,1.0,1.0,1.1428569746495156,1.2037313569584225,1.0264714860220552,1.0208492881413833,1.002777477658093,1.0,1.2255315032525573,1.1896861980102211,1.03144854322624,1.0028631520630562,1.1575778067130043,1.154604267016458,1.0045902402641647,1.0,1.0,1.0,1.184232814044584,1.1692970054780936,1.0086807528955724,1.004617986890169,1.0637091698567158,1.0183636542113146,1.0,1.0
Mega Beedrill,Bug Bite,Sludge Bomb,40,1.31089998784049,1.355543457675768,1.3991610363968146,1.2615152703086117,1.1204394425917579,1.0337083731272318,1.009933909007901,1.0140133278238936,1.2865284595587925,1.264899919464022,1.3865118297320698,1.2946849355319767,1.2678914944714765,1.255073011363281,1.3261775837248433,1.3366380445300268,1.2516432581645192,1.2646447467962523,1.2602524355405322,1.3382731786606625,1.3006430424716957,1.2836291768929111,1.0,1.000899392081561,1.3907781862292732,1.3843075260733306,1.2696985945153938,1.2792588571319194,1.3413129036005538,1.3376089524152075,1.0276699962118698,1.0354108075593804,1.028175637786163,1.0329840824844625,1.3825398649823577,1.3469994570127541,1.0262717513954052,1.0240095582605473,1.343307455173845,1.3079297526651104,1.2150542259175976,1.2352435830848902
Mega Beedrill,Infestation,Sludge Bomb,40,1.3427951590704488,1.3952977781237939,1.4321669560924914,1.3094433121874411,1.1633065590607032,1.0836033225589048,1.0432680541396162,1.0489582168616145,1.2901855868133605,1.2527676034636885,1.4145710961004554,1.3411942519186992,1.2666563451094524,1.2530841646334347,1.336804870698618,1.3610847522314786,1.2445692388409078,1.2615781373068151,1.356106212226641,1.426423743279005,1.271919914824915,1.2788185835070571,1.0309023880084867,1.023374908869639,1.4255833432402927,1.415775455899753,1.2869120111108163,1.2638806732889063,1.3447652701654411,1.3699183696700121,1.0374883829644506,1.0371250171336817,1.03056265820381,1.0362879763483361,1.4068902306983395,1.3813832719991148,1.0218511734228226,1.0273929804063873,1.3520100710411764,1.3122691015305783,1.2426556118676464,1.2797379387624068
Shadow Drapion,Poison Sting,Sludge Bomb,40,1.5296677108421828,1.61851222182027,1.4152050271113452,1.4282053561234722,1.409111710985016,1.4358657817666003,1.4430950628595303,1.4497260636680187,1.4478283935729024,1.442697445235077,1.636314079634584,1.5028350310136187,1.5269519966627267,1.5030904649567083,1.5155827226076928,1.4902432403216288,1.4949223083896093,1.469976782810584,1.355583466530931,1.5788668568638835,1.459713214458434,1.460357406367736,1.4281998063545887,1.425025875282002,1.6833305375217984,1.668864768987253,1.455089065152434,1.4471502398549987,1.6448610434816318,1.6977320274278411,1.4395770934068557,1.4506372505825451,1.4696388317325846,1.4678018569682505,1.5689236358487273,1.6187578738745936,1.4570871838943835,1.4403633490393115,1.4596475684718104,1.440849422827035,1.4649532373156133,1.461686767025324
Shadow Drapion,Bite,Sludge Bomb,40,1.7028820753997147,1.811913522204093,1.7410441555323435,1.7906405945172144,1.5950650858602478,1.6411694235388605,1.6101793884947029,1.624325150737473,2.0117084437589043,2.04912282362743,2.227201296315854,2.0660679812115474,1.8670294861379724,1.8659159392101914,1.943606703617077,1.9440844298226523,1.8486791002631777,1.8564987306746532,1.586423508877388,1.8962749183417607,1.929424755572146,1.950538111632088,1.694218105962032,1.6971397982789993,1.8836249315805884,1.8772027149999397,1.9276348063405693,1.9759853448437135,1.9238726698834807,2.01451114230564,1.69439183152679,1.7301282945622587,1.651601558747372,1.649376540897784,1.7449294325603495,1.8177112086246177,1.7366313307158572,1.734295048451885,2.019516854354668,2.020114966352956,1.888991316389951,1.9532202151399525
Shadow Drapion,Infestation,Sludge Bomb,40,1.7210677385717308,1.8386424862292121,1.6305269822272106,1.674231147302081,1.3938919020117322,1.432534651470222,1.4479470792285147,1.4654541813756874,1.6839243920655658,1.7172121296894953,1.968907010293703,1.8497303878804259,1.7606656581211682,1.7380217002794125,1.796148304608941,1.806031915439244,1.7034778707745182,1.7112622361636214,1.5482176757209634,1.8328948983447437,1.7583752190518571,1.7442282679763728,1.4604295700857501,1.4455320290928297,1.8311690001163035,1.817036467354719,1.7083434185822708,1.7355653761859466,1.784337309664844,1.8314865130350921,1.4635529808119743,1.4742701969394347,1.4647051907605622,1.468825648747898,1.742925704156196,1.8018288098783977,1.4521862955268663,1.4259627282699938,1.8403839940134863,1.82519861919053,1.735051627606776,1.7122928040852323
