(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Drapion,Ice Fang,Sludge Bomb,40,1.742056280120787,1.8519972936162652,1.5515137966729036,1.5858412264850277,1.4464915112799561,1.4813967748231076,1.5006520027370296,1.5166619944929982,1.5811989312920418,1.615862167117194,1.8954157102579063,1.7614646874009783,1.6690242966833473,1.653166712273262,1.5763469013784825,1.5640138719867325,1.6177701009424523,1.6121186131562242,1.557585058796789,1.8506474461626847,1.7403982744322122,1.736156943509129,1.4889478495302764,1.4748938008392602,1.8596565918653805,1.8384807237286198,1.61047275170678,1.6246552790976456,1.8525079222433072,1.8951151154949304,1.622423095069665,1.6559593393252263,1.4863213048169919,1.4894383875180521,1.7520695664641512,1.8149300012675809,1.483496983880147,1.4570047585960377,1.5013821223543642,1.4925434323611337,1.6214106340016612,1.6430106779321372
Skuntank,Poison Jab,Sludge Bomb,40,1.6086225208570353,1.716378393267876,1.4542949432214485,1.4891238867930015,1.4498778361491533,1.4922756543594289,1.532611635879952,1.5415273491089194,1.5198766826302224,1.5286995317796437,1.647346362780035,1.6024164273799026,1.5551204399534364,1.5369644434777,1.5855040783030967,1.5760023962024907,1.537057239462353,1.5184025859729366,1.4626728523380996,1.7441848799662014,1.5736465307518466,1.5715852977289688,1.5461805351884965,1.5514849225894225,1.7775651099381844,1.7888429488296334,1.5331887340542507,1.538488226614554,1.7825779205430121,1.832205558601665,1.5619580912536355,1.5924177032544204,1.5666406670643405,1.5728168955111712,1.6586645404947762,1.718188398524212,1.5363203422768383,1.5267590769264388,1.586772435729033,1.5883964749757271,1.5481430508315286,1.5710726598315903
Skuntank,Bite,Sludge Bomb,40,1.9212686664634473,2.097668055665112,2.025896476401989,2.1680461716278647,1.6760501690110916,1.7654605922947004,1.842241360383568,1.9028811405714134,2.1393791258645924,2.2190775591704277,2.199295487232526,2.1954679308349796,2.1467536373199287,2.2068430089914997,2.07891090486401,2.1105117564804003,2.1820363544554984,2.246955884594138,1.679118875868677,2.0424013741371847,2.259176273075148,2.3189130453044213,1.9566547177073244,2.0047148121997003,2.1369838959235077,2.1849535889934635,2.0850375786083135,2.1755916518250333,2.1940111170938716,2.2917326536528724,1.8264400939158663,1.877135132125164,1.9268538470474952,1.9559358283029211,2.027323757660247,2.1357026016910825,1.8702673665224718,1.8890881613777062,2.1759945209322678,2.242103229195117,2.131865656273884,2.2354888224556926
Gengar,Lick,Sludge Bomb,40,1.3579980222195902,1.3832351468242856,1.3831989159684674,1.3319413857985902,1.3785883697125798,1.3459859999715176,1.3077250577598025,1.3015556509961979,1.3868840967617413,1.4045146264269788,1.3717944321393996,1.3424125269964615,1.3503488410433604,1.3369237728802272,1.3980400516836273,1.3851641795187866,1.4830106525953612,1.5090782734612376,1.4575296051030653,1.4243951731578488,1.343458785151732,1.3480076849089333,1.314472209371974,1.3319914925861505,1.4634862635766983,1.4034999983039729,1.345767932920906,1.3234325724367537,1.378129756061643,1.3623894639911982,1.3533562150442702,1.3475767772523446,1.3476202684074952,1.3015097695937148,1.4251916709595944,1.385890725945841,1.3462129879277422,1.3246632365969364,1.3410890954421348,1.3312744245670765,1.5043090220814959,1.5655427096837515
Gengar,Hex,Sludge Bomb,40,1.4130060920828449,1.4753684605382011,1.4151420300806081,1.394408939522772,1.4190226101116459,1.4025680546095254,1.3535114773602381,1.351040691276378,1.350927814310196,1.3540037253616255,1.3762899817295493,1.360478056339478,1.372060973898175,1.3512273834033577,1.4005260172099177,1.4051966571960421,1.4827994655831576,1.5143909503761752,1.5897650343790224,1.5436203486384799,1.3746076926047357,1.350340983707545,1.3392704117352128,1.348861372782016,1.530575715593959,1.4898966132808777,1.361035961624711,1.3639760893497892,1.411453555860808,1.3816418228008942,1.3479065776445767,1.3444217321173315,1.3906338317660962,1.3499893940701975,1.4900534910168446,1.462407572487751,1.3355616927188714,1.3350689024342521,1.3288243117749536,1.3284115808063837,1.4871278299820192,1.503244002949961
Gengar,Shadow Claw,Sludge Bomb,40,1.3687320618037644,1.360997206744407,1.4886842122158828,1.3926531443223167,1.4908411065369866,1.3960369380841617,1.376888871876469,1.3692295672317378,1.4795120796493206,1.483784231990039,1.410243327267749,1.3854046514364486,1.3973178967705875,1.3709888165240411,1.4078512946583195,1.382261156919873,1.705758103357962,1.7220274057113463,1.4285012797610066,1.3947912142112107,1.419999521901508,1.4054029221974724,1.3479482298292775,1.353743305147502,1.431555495092321,1.3563229272315012,1.3755834545720478,1.379878516467624,1.349176020349423,1.3293874362074407,1.3812801895677005,1.3833953511425716,1.441731986827613,1.3875158697553052,1.3849952024864718,1.368809197665059,1.393760007624047,1.3764560032303064,1.3732049226494467,1.366976709233236,1.6991994991341266,1.7638763361047154
Gengar,Sucker Punch,Sludge Bomb,40,1.6314586670885296,1.680962015080087,1.595827941923632,1.5552499107471878,1.445829203039896,1.4119662839072964,1.4238286362105292,1.4260856031144435,1.531532273806715,1.5356220526260014,1.5432923386836754,1.5281633273090727,1.5299759144065195,1.5274698116212277,1.5901112436910068,1.5850760580877132,1.495168631105079,1.515023530687834,1.7623223985998944,1.67255012741521,1.5740819129823969,1.5830207124326399,1.387491019587396,1.3742901160154075,1.749103473930403,1.7195670320731031,1.5480696671738416,1.531763269999066,,,1.4192936718388178,1.414069384068613,1.4845414072291743,1.4361819672029599,1.7032504598296003,,1.4072790629376728,1.3969996924513903,1.5111584118516195,1.5204761484811273,1.47641438634947,1.496247060603706
Gengar,Shadow Claw,Sludge Wave,40,1.6533854296920463,1.587986980408398,1.9336568013977242,1.7404027424581319,1.9464652510376017,1.7544114384245995,1.7158426834862948,1.6434485987676484,1.8462804196750522,1.8570315360810041,1.7113851219774427,1.6572155381946005,1.7411770474077446,1.6782214446560837,1.711162596098425,1.6761833898813179,2.266513675687114,2.2640384362790438,1.6811231631945165,1.6037603994162026,1.702534657543567,1.6541321261114699,1.624734205640681,1.5953573745271266,1.7126344140210863,1.561974212372794,1.7178533499098154,1.6726159690131497,1.5390134789039172,1.4971655712955003,1.6701084297983857,1.6588905757406645,1.745572946338608,1.632646430452298,1.6104205726385612,1.5921103409611692,1.6718364077142231,1.6439090768838205,1.665989874545049,1.642881380991219,2.2514603750689313,2.281655577048648
Muk (Alola),Poison Jab,Gunk Shot,40,1.69495368388891,1.7358849496959428,1.4917125079225662,1.508322799873426,1.4921502505338866,1.515225200672384,1.5769147068819416,1.5640384535257947,1.5158032814108604,1.4914830225454927,1.671362130724092,1.6296088655796848,1.5646537232891828,1.5822522395638496,1.5892866745367134,1.574382840308834,1.5734863000813668,1.557096757511033,1.5039303394153307,1.7950512040949764,1.613208114434713,1.6051327638371062,1.5985474378117968,1.5850540467620735,1.7254343246462989,1.753080370399951,1.5800175920179194,1.586076402986992,1.7832482166740538,1.8240995976888312,1.5159544754803824,1.5511428165814878,1.6196630998898578,1.6031989636781911,1.718999605119757,1.7662029925889988,1.5721964713812917,1.5626334870611454,1.621266837537567,1.6208739518777293,1.5429876428207152,1.5873415316077968
Muk (Alola),Poison Jab,Sludge Wave,40,1.8420624657759217,1.8929550347378985,1.6258801109626768,1.631647533318361,1.6265395120803992,1.6402703590849677,1.7230222492381306,1.7072609802046963,1.653075649050869,1.6173127767565287,1.816731408563737,1.7607642198481706,1.7201981431419064,1.7211053322897734,1.7333108988913566,1.7020791215436506,1.717028509268067,1.6875031750295992,1.6490721841725493,1.9558508575100448,1.7548709961549849,1.7413117757333847,1.7372414750318939,1.7156470112111872,1.8830657174657257,1.8953790358117633,1.722979029369755,1.7260288954361365,1.9143086075910172,1.9590534751334259,1.668125396405182,1.6855059147917522,1.7665371154795655,1.738467300072937,1.8730942881002408,1.9129649083047404,1.7216986173113327,1.6959155545440832,1.777552152670075,1.7649312290521963,1.6741524738544973,1.7084755489940278
Muk (Alola),Snarl,Gunk Shot,40,1.900879574092391,1.9963318614584493,1.8777095348246682,1.962059035083063,1.702807593825998,1.7869652468665063,1.7971755465675974,1.8074103232359617,2.1924336977526875,2.2161648871076163,2.1352089435048374,2.0877698841077827,2.0134822966523194,2.0677798161235015,2.078443282445051,2.1321585666403027,2.098965766128651,2.120433277696899,1.750168332225364,2.0929489682966307,2.1308697163220987,2.1134201344894064,1.8578665233569418,1.8586206451168477,2.0159325354642075,2.103802708277506,2.0739596472471153,2.0974205807611708,2.0805591876362137,2.133043091463192,1.7917721938853006,1.838740692739235,1.813280686233113,1.8214292699833263,1.9417668654299678,2.012929816580414,1.8367907467703197,1.8208233732604113,2.0380463982262107,2.052460704644307,1.9933134958751815,2.1034771098560596
Muk (Alola),Bite,Gunk Shot,40,2.1622453352475737,2.2257900059463274,2.0440250569612517,2.085266591751913,1.8113535534620715,1.8487227450707067,1.9976525815475377,2.0167126476196144,2.451407200006706,2.522210307933298,2.436756668987941,2.404669946153007,2.1240998093678036,2.1547916594801277,2.27213546461541,2.268591773863912,2.4822953101804583,2.533509319598594,1.8114431374614908,2.182299978389627,2.5401352650964197,2.5527817718272274,2.1331594634098225,2.1296911326571033,2.283201912058436,2.353238470948446,2.337316507794333,2.3879421129290663,2.314376105533296,2.378146910134513,1.929871699568426,1.9725256821653054,2.0769739032133385,2.059792476199891,2.195769360314743,2.2720487599698447,1.988813161887268,1.976376485371062,2.4133629122951046,2.441890659431557,2.3614037512421446,2.48403517596845
Muk (Alola),Snarl,Sludge Wave,40,2.1763288609254556,2.2656786866801464,2.1673777675550037,2.232263818627147,1.9386387532754388,2.008071926221081,2.053896911235792,2.0429804268799328,2.5630328121126618,2.564964085595971,2.4653834063701656,2.3640733487936747,2.3365674815676303,2.3800002895467713,2.3898625109376734,2.4319244036120735,2.431525989725929,2.433575451746644,1.9965146071378792,2.3720496491922933,2.443413733563066,2.4178686733206676,2.102206106561477,2.0902301077490946,2.290300418743819,2.3749187834367858,2.398657405280097,2.4204939261092173,2.3394788745165314,2.3803113219572776,2.0246694996010377,2.0772797893536192,2.03841532004924,2.037996270459248,2.1860234019125473,2.258016139519092,2.0729829300172735,2.0520225950981135,2.3414378240880045,2.340819263094043,2.3353581730005097,2.376407672625206
Muk (Alola),Bite,Sludge Wave,40,2.393125972143046,2.45570648225023,2.283390591544273,2.31279462986482,1.9995231036838605,2.026396470254764,2.22840288194336,2.2340538575355966,2.796744536404212,2.8637900530584584,2.7355032938340305,2.6662187395610926,2.3965798737685318,2.4169197370986804,2.54739179181914,2.5313614840695666,2.821249719182319,2.8640442028192887,2.025001085873682,2.4058950661296867,2.883115583988114,2.865921510044704,2.36499004811166,2.348887061497925,2.556610054604507,2.5960120855796696,2.6372664401962,2.684981498612305,2.570207551781921,2.6746887337036855,2.137069394698974,2.1710743063306506,2.2918680169703958,2.270242480060967,2.4293482817080987,2.490009554959445,2.2023572385078958,2.176332673835672,2.7191374368391488,2.7438407183716764,2.6641141487698796,2.777346643601352
Muk (Alola),Poison Jab,Acid Spray,40,2.4804404316794395,2.600786709724362,2.1900211065906747,2.237585792428612,2.1878252015119024,2.2527310774217164,2.357946973364443,2.3424455226524543,2.263800172529351,2.199443593205659,2.489741154646609,2.4292088238719245,2.3491099827957465,2.348797469361215,2.32782541047109,2.3238877977487298,2.319461409744137,2.3173855238787393,2.289150368822011,2.727666508641027,2.431432585354372,2.4136994807191248,2.3540684553578766,2.349827641632367,2.500475868209055,2.557929188099565,2.383655125582383,2.384206923949853,2.6356734983317724,2.709398502547626,2.226231498766533,2.2720463062229532,2.3950849022459635,2.393135582522409,2.5467398384990165,2.623329913103729,2.3423794923066996,2.321236498836871,2.436823080476101,2.4439568755354557,2.2822662522268766,2.3565552252071718
Slowbro (Galarian),Poison Jab,Sludge Bomb,40,1.631245128932351,1.7480277747938961,1.488323724418929,1.525864176513575,1.4876146210152768,1.5312019287228444,1.5622428852433983,1.549599763045343,1.5339111988793974,1.5193899453106652,1.6099657252975523,1.597690360267893,1.5055278452048657,1.5311476365029828,1.5994502737785496,1.6254083525923815,1.5415827087232028,1.5368595421824707,1.5223916311148424,1.7728246129352876,1.585150628607575,1.5731062663719084,1.5616920370436282,1.5596873726327634,1.7963816235651897,1.8099191673556132,1.5518425345320004,1.550524591206453,1.7899367053120625,1.8289944698089449,1.5697502624101558,1.6082651351602733,1.5817110810249262,1.5825378343790635,1.7531249009466756,1.7342415616872433,1.5323876405724546,1.5383260661510791,1.5940764865475046,1.5961873459355305,1.5415568028061757,1.5834382314410775
Slowbro (Galarian),Confusion,Sludge Bomb,40,2.123659066457017,2.321445511196367,1.7485379582748517,1.8283697925785418,1.7479135356377706,1.8370888111084882,1.8482698759924951,1.8797396403540454,1.997158974101037,2.045001730133924,1.8825767677200522,1.885404216255315,1.767809785912721,1.8206268919960156,1.8118752990740472,1.8888466096605148,1.8215569468900548,1.8486119800331255,1.9865365618465678,2.378756696170132,1.8783355184886206,1.872444897284871,1.858504952924525,1.8817582849696615,2.336917240958166,2.3792051060895694,1.8390411662603445,1.853596401712754,2.3420067137588996,2.430702806676619,1.8373030683853575,1.873606358554113,1.8644379059121585,1.897982002437229,2.2918316074232745,2.2973043085562743,1.8478351242283706,1.8577995652476114,1.8552353040063887,1.8778369718023018,1.799928518810803,1.8643189665866469
Shadow Victreebel,Acid,Sludge Bomb,40,1.401947780797109,1.4381671567525631,1.3487954704876364,1.211112106615219,1.3529843325634914,1.2199174653063827,1.197878984641522,1.19910701138673,1.2353563018521156,1.1998324534032025,1.3619235389270674,1.2859469045362875,1.2013715911214164,1.1921513700477449,1.3027632701607563,1.2978153158071812,1.2273524646460967,1.2397231786085157,1.313919452768507,1.42830464422375,1.2527297768935,1.2241644114093386,1.1931132459331546,1.1904671901998267,1.4977274038835975,1.4488485981412162,1.2402141265538025,1.1990674170661588,1.4052730742857233,1.4173516388390597,1.219550037106315,1.2030447623558322,1.2002169053826717,1.1976661342759647,1.4828261161291545,1.4337724870940614,1.2204054249174174,1.1884444634547557,1.2476816424772894,1.2162952370547047,1.235013343984565,1.2205217505101769
Shadow Victreebel,Razor Leaf,Sludge Bomb,40,1.70395791234628,1.7372279817795122,1.6985178418837439,1.5112657005719208,2.094886765491136,1.7967408924637724,1.6751237110332213,1.7134775892490322,1.8518363278472831,1.8732593676902607,1.686189718017187,1.572961279381472,1.4521519610031488,1.4580510624668563,1.7281767376662445,1.7757170288223343,1.4545927187173064,1.4839451281659335,1.6698233174496322,1.7644203173541122,1.2571972211444575,1.2351560782743467,1.739477259900094,1.763877790598217,1.8398862436016572,1.7740862808996838,1.5181200373294435,1.4838599247359816,1.7335185857083366,1.7411708777451635,1.5413318470141042,1.52922899043451,1.7224426556569103,1.7414130226937892,1.7793283007085627,1.747580951271451,1.7451796236358794,1.7308708677853253,1.726633464696006,1.7316469453622299,1.5130345368027232,1.5122644495609818
Shadow Victreebel,Acid,Acid Spray,40,2.4198043931837017,2.4563771421304654,2.096637272792181,1.9863633814043948,2.099490044144714,1.9994945008444285,2.0389030125003567,2.0329040856394753,2.199960001293371,2.0890372270457958,2.331778572905494,2.2065189785683734,2.0525067837552804,1.9997613473290472,2.355745899122898,2.271820637816292,2.1772899123764957,2.1740189902238836,2.2198352576991933,2.457406272044807,,,2.022605622669553,2.0073195618854083,2.6652211546503213,2.5202924998913003,2.135327443224363,2.0218102076517086,2.4558713583016094,2.4344554217619314,2.0043882789923697,1.9811326036832517,2.0192885771543088,2.012970776308924,2.5531180579357153,2.447883063317731,2.0980266241609478,2.022076085619859,2.177719755831915,2.102815243782963,2.1758079848302874,2.0972444037302553
Shadow Vileplume,Acid,Sludge Bomb,40,1.4077872781982377,1.4296539429264445,1.3641020253717742,1.273075062046009,1.3647341792999492,1.279123155503723,1.2058076821124084,1.2148006221347314,1.2388753896580589,1.2123487430798463,1.3518799914106712,1.2810625475399122,1.2546143172843975,1.2485121853614087,1.3234541749702857,1.3020675205965315,1.2406058942332385,1.243727674679259,1.3703056459675012,1.4431312949424868,1.2670417288041471,1.2455681918413122,1.2157281850011201,1.2091659921584836,1.481115729454325,1.458809518596627,1.2694819908734432,1.2321733581870196,1.4151644791574653,1.4272980490910878,1.2591007345004412,1.250550725489044,1.2331143613872113,1.2236986122911104,1.4654021513123028,1.4310145327639947,1.2368558884488954,1.2122339876935615,1.2667439358905892,1.2389563434176856,1.2247416684748884,1.2350172921701978
Shadow Vileplume,Razor Leaf,Sludge Bomb,40,1.715341635796772,1.76882747762593,1.7115509450998114,1.5915638378943506,1.9890173735356582,1.835065306063235,1.719447381201868,1.7580494050047348,1.8303631698935081,1.8732595203940492,1.6975414562002775,1.595381231148316,1.5336421478120268,1.5426749492533536,1.864135156297371,1.8913000209384163,1.5293799485014972,1.555094486592565,1.7156603568538513,1.7845113102304693,1.2785778776472407,1.2488646593593062,1.801557487748446,1.8228595128615797,1.7994041463255381,1.8022875086381738,1.5244406569930256,1.5036783075785403,1.7705963365470687,1.7845892510997745,1.5256209805366991,1.5531217568387865,1.798570384916991,1.8089221481377231,1.7897053861605878,1.8016430763254743,1.7917041882778835,1.775414816745119,1.7805948311656643,1.772173607117933,1.5285840449894754,1.5485640750904142
Drapion,Poison Sting,Sludge Bomb,40,1.8035406603097248,1.9229834741414669,1.569939695639886,1.6013075885068104,1.5652729053782009,1.6079220510896648,1.7264987627723307,1.7118744062034654,1.6597880866926058,1.634421556521933,1.7493532595617054,1.7274165796932994,1.666524553026141,1.6776818063285988,1.749748659255398,1.7454080123244644,1.682772549956889,1.663607501811197,1.5911409104697585,1.8855713343468676,1.721840881466512,1.7149359404248052,1.6920495559432163,1.6920867274011056,1.9518759418767335,1.976999407624042,1.763704154453808,1.7655949314502735,2.0045174902083427,2.0325934919947777,1.7015351846604911,1.7314163802894122,1.7550640578816497,1.7625312188380071,1.8746483329269985,1.9407621580704153,1.7187595288333632,1.7150932909072776,1.7235870421333594,1.7247829654334703,1.7212772632600233,1.765671122961848
Drapion,Infestation,Sludge Bomb,40,2.0228375582335443,2.180994092599465,1.9134431570078616,2.0132479594510895,1.6485687609188455,1.721628615883951,1.7439452139348617,1.7374850081423547,1.9703285442666325,2.017521919865328,2.1070648061050563,2.1245658995661127,2.0204294464348043,2.094069590600525,2.1031822235279556,2.1862019668182073,2.069880626681149,2.0658104117172438,1.7892751788813355,2.1520690012762507,2.101167847508647,2.109744286720326,1.7486811982281294,1.7362038679456488,2.0906811848059195,2.128409283989845,2.0567535114463804,2.07487401967306,2.135877644319863,2.1848705976686054,1.7468507681348202,1.784800343652705,1.7616714756156684,1.7677552272039028,2.0957620137055732,2.154060430489683,1.7093299669173614,1.7053972572615064,2.1377287515770322,2.1526828073854936,2.01630633531754,2.08834751741145
Drapion,Ice Fang,Sludge Bomb,40,2.0307598672739795,2.1930562102020437,1.7925490541978277,1.863052836471389,1.646950425132264,1.716497759526057,1.7489111254430318,1.74520545109017,1.8605122948120236,1.9169158537989497,2.0020865911556185,2.0153744272363507,1.9011028371301242,1.9386510266131018,1.8313018577876992,1.8762553038142293,1.913945672840097,1.904812269366994,1.8011827214035385,2.1592190557833235,2.0832544164348197,2.07782300348474,1.7586313529338595,1.7568452534715644,2.1091290336523647,2.155296707579976,1.9360800023427982,1.9339776764305612,2.188159311535299,2.2477154310533924,1.9324886712591285,1.969547328124694,1.7703291197780175,1.7796656680732046,2.089187094733044,2.16304147616261,1.7390747973015945,1.7284572814671082,1.7879494268894154,1.7860943803731244,1.8886315885491889,1.9498381202040977
Drapion,Bite,Sludge Bomb,40,2.041179139016544,2.1847637148233185,2.1394964968781784,2.268786948973559,1.7471962141240391,1.8187818801312168,1.954324137952254,1.9615608950240087,2.261467313831369,2.3300339643766494,2.3003291605274345,2.278100878816386,2.2668165961051185,2.338787864272627,2.138451295082055,2.179626438558484,2.3367760419984425,2.3714250082035897,1.8006358597180285,2.112799390937586,2.3730569433692335,2.409781073199143,2.0395635782911454,2.06148730489492,2.1954668437708236,2.2648349164460035,2.2376909671548795,2.275906550649768,2.257166899898932,2.3559261129723126,2.053384579520662,2.1077434757387064,1.9972717173477388,2.0148889118145235,2.1331075238461157,2.2202652862274674,1.912883495813866,1.930157717653019,2.2715345320920837,2.311847095405574,2.2517052796846646,2.3299141594042276
Muk,Poison Jab,Gunk Shot,40,1.7609653228045772,1.81892485744054,1.536819028274679,1.5404268496681193,1.5365138569840553,1.5500306853160393,1.5814855315886136,1.5619274001380175,1.5158032814108604,1.4914830225454927,1.659981507862249,1.6360653289275982,1.5478612462479762,1.5548865843507833,1.571706795597953,1.5693864238175206,1.550548370935914,1.5567140148438068,1.555828908870515,1.8369175397915964,1.619792358147258,1.60694347412766,1.589292696469765,1.5808791281335928,1.782366922077896,1.7798933229885967,1.553491027795809,1.5866553691064744,1.8361219300209537,1.8353348022601172,1.5159544754803824,1.5511428165814878,1.6196630998898578,1.6031989636781911,1.8469371008799047,1.7814126521986915,1.5817659120772973,1.564116291343456,1.625786550487434,1.6284594699304482,1.518851601900084,1.5932807956715729
Muk,Acid,Gunk Shot,40,1.7996125249143688,1.8641903468584404,1.5804468419894429,1.5969281562267434,1.5828791299925835,1.6029027736659696,1.6252260106668222,1.6162681361755873,1.5964186387585868,1.5556992413370379,1.6933311279544316,1.6638649898692732,1.5818951111776902,1.6040578371463845,1.6159751017040929,1.605364035183504,1.5958088884289043,1.604705679904843,1.631529567773432,1.8880332891878422,1.6191504189797745,1.6210528913262314,1.6128643904594833,1.6096398700351893,1.8363724268398964,1.8240920936465908,1.5589572866516823,1.595074328939926,1.8544347065221731,1.8643537628927644,1.5435102233012779,1.575340470735671,1.6604157311278074,1.6440539893538395,1.888729383207725,1.8457568297846163,1.5968572963876435,1.587753133853694,1.651227486144768,1.6516785107004648,1.5724315075592876,1.6191852163872789
Muk,Lick,Gunk Shot,40,1.8421310021831183,1.8552066437222978,1.8231155409926034,1.8427964151420684,1.8234377347734434,1.850256899959215,1.931639657682527,1.9397734067016532,2.128126236237471,2.1092991873409783,2.0889129845486583,2.0406566523557834,1.8388731645708978,1.8323663603130749,1.9264712929775019,1.962004709327873,,,1.7006940084717335,1.9634988412192427,1.9659523997786035,1.9643402164767025,1.9931038451143033,2.0179512459744777,1.9494650109846405,1.9305985772492478,1.9701656494048194,2.02472238554858,1.9569999665665005,2.0282009796643066,1.9877564660156373,2.041122672266933,1.964262555210756,1.9835521811949606,1.9063399163493753,1.8667663756463146,1.8782550004539522,1.8807504867969902,2.0302983634558087,2.056527783879519,2.201190523905151,2.3277150479368673
Muk,Poison Jab,Sludge Wave,40,1.9274962471972439,1.9773396868891644,1.6742704484936148,1.6704583291581832,1.6683398438104393,1.6764874614337284,1.7305150266227278,1.7093257324630093,1.653075649050869,1.6173127767565287,1.8094818890984052,1.7739974398584026,1.698585381282711,1.6907379975266985,1.7119318778556116,1.6955725423092562,1.6941944960619821,1.6874701318386705,1.7059509889823503,2.010835488143112,1.7591965003190388,1.7361638562870227,1.7259734569779197,1.7122259631115782,1.9486112691466917,1.9307567703083035,1.6963779381242474,1.7236228841395356,1.9815597338901594,1.9689869657703893,1.668125396405182,1.6855059147917522,1.7665371154795655,1.738467300072937,2.0149004341905266,1.9450174620059348,1.7291679153898096,1.6969841096785447,1.7740965347785764,1.7620834327027988,1.6572570959453914,1.7065927540558556
Muk,Acid,Sludge Wave,40,2.000827378893535,2.042562473252086,1.7448734011756488,1.7409306788646026,1.749637170268489,1.7495010336468384,1.797697253056799,1.784956593077399,1.7545481363676463,1.697376365668157,1.8687261482239281,1.819455532698553,1.762833094675592,1.7617742764860675,1.776624538948004,1.7556582351029437,1.7609254911996945,1.7562373599497303,1.8129563831143765,2.0907411477575217,1.785268866042319,1.7743938806340018,1.774218380931461,1.7634010424739237,2.0219531794796146,1.9919403257543542,1.7102004257161552,1.7482312703326859,2.023746305565793,2.0385612879727324,1.713443149839454,1.73001692563003,1.831192624937724,1.8017218543028404,2.077753786095772,2.0282762330549744,1.7689742133469062,1.7422772095476913,1.825328320360349,1.8182939227370898,1.713443632549095,1.7613805926913486
Muk,Lick,Sludge Wave,40,2.0751734142171556,2.0834561734898367,2.07241426812941,2.0765218715027363,2.084431020059559,2.0857518936142996,2.2213289716640467,2.2096385354772488,,,2.395777868261973,2.324214006298986,2.098366566078976,2.0827572931380454,2.195498859293877,2.206369606473687,,,1.9412505270194156,2.2107666031595365,,,,,2.1864768318664636,2.147363156065625,2.255771809539589,2.313300428791731,2.1944363534797704,2.267625435899816,,,2.2214213823410476,2.2355143459822786,2.130028168913949,2.0699758863203694,2.1310430819452377,2.1153642808286874,,,,
Muk,Infestation,Gunk Shot,40,2.199762881409587,2.2751242033559476,2.163131198900284,2.2589061311477305,1.6975339698369096,1.760234217270671,1.7357608781982747,1.7326691756488195,2.1924336977526875,2.2161648871076163,2.271769999029451,2.262471899628895,2.1956111490367283,2.250343658058846,2.150372539193771,2.2270878433963675,2.201110800813042,2.245266745964223,2.000744935511314,2.3756413116216817,2.199041780291677,2.179665022533906,1.7825622860403552,1.780260446266095,2.330141859938375,2.3265288218194176,2.1788332251461173,2.2525062264484537,2.3076022443895137,2.395698144483003,1.7317267673238752,1.7745215113376018,1.748006045535888,1.7555492923481548,2.2659420678394184,2.242775669648664,1.7771335909673867,1.752449172536165,2.3083695998228806,2.3392229097840125,2.135138975076947,2.2591589884523473
