Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latias, Tier 5","Latios, Tier 5","Latios, Tier 5","Palkia, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3","Druddigon, Tier 3"
(Boss weights),,,,6.25,0.0,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,0.0,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Dragonite,Dragon Breath,Outrage,40,1.0226032924467396,1.041139725758987,1.1888865882746913,1.014093771390716,1.097521679283224,1.0530916264512713,1.0834552925470824,1.0452888973461993,1.0865110687619637,1.090965050324024,1.036717947724046,1.061105767622485,1.0129494330414557,1.0521123547115974,1.042147339042775,1.0562219166929925,1.0717609399972243,1.0593226728935021,1.051923071482203,1.0593152772697934,1.0539741717949405,1.0489226770628903,1.0446425942787887,1.0637316207462473,1.0566021393315737,1.0515278279254858,1.1746641035481702,1.0351611597465542,1.0603312166841954,1.0292329830399405,1.0853011240530621,1.0755981697562453
Shadow Dragonite,Dragon Tail,Dragon Pulse,40,1.0921850632158476,1.1183771651151768,1.2165889897920004,1.0954620167851736,1.115798468387916,1.120888795224561,1.125034291808836,1.121131799775624,1.1220535416235313,1.1156266231851892,1.0881167927815665,1.1100601756749595,1.0815028548596828,1.1199446476698034,1.102196204638074,1.1268499390595665,1.145729167647273,1.141114814159278,1.0929587254973543,1.1194231263427543,1.0957463707463384,1.1135603582069566,1.0752082087660229,1.1096397038892296,1.1118679645337346,1.1150856008823893,1.200540402251704,1.1229349096384302,1.1339612548288969,1.1246712249961783,1.145130132126622,1.1283400989721808
Shadow Dragonite,Dragon Breath,Dragon Pulse,40,1.1084386175205458,1.1281724740596928,1.2597867505053668,1.1012965481156294,1.1601476385760199,1.1349950609578003,1.1617659822896016,1.1305820972142104,1.1889425941341267,1.187538810090437,1.1303728894909695,1.1502483019991752,1.103382174830501,1.1474389346763334,1.1371087494739893,1.1542242270443102,1.1626372987884617,1.1510032491403575,1.1308723717902296,1.150508405880479,1.1369200066593954,1.1441745549362208,1.1311342980164754,1.1625596850980717,1.144115726759267,1.1442147966317382,1.2421807628564412,1.1329750923873707,1.1468283753450248,1.121135837553893,1.1860165447112712,1.1689089353100164
Shadow Dragonite,Steel Wing,Dragon Claw,40,1.268566753831758,,1.1460319762118152,1.0656594597449742,1.059683964385076,1.1208605540492955,1.0743892195672469,1.1276081782025853,,,,,,,,,,,,,,,,,,,1.3855031073894404,,1.3030859651676832,,,
Shadow Dragonite,Steel Wing,Outrage,40,1.2170703643524998,1.2613773348468456,1.2116805089722706,1.0567995918690516,1.1080989398876169,1.0908444985672923,1.1112912828049364,1.0966698593221025,1.2429886924958908,1.2732644621091447,1.221310373191608,1.2820891293902827,1.2039707165064581,1.2652028701083475,1.2239950113433102,1.2735607948408245,,,,,,1.3890825138094933,1.3231164840173655,1.3746200897570073,1.336946031963497,1.3901039875783827,,1.2165504171614152,1.2409798871741662,1.2472256596588753,1.2790412027552869,1.290196608825701
Palkia,Dragon Tail,Draco Meteor,40,1.1259785218444665,1.1508984104024071,1.0367692798737038,1.08413034482334,1.0088923336510518,1.1161992071534494,1.1375997117825098,1.12139504289979,1.184927553378941,1.178557209440105,1.1447582820708018,1.1699818499009607,1.1371780590521616,1.193308009214907,1.198257527770954,1.1933812637537868,1.204630425080521,1.1781109374673426,1.2070011040544655,1.1575410287182695,1.0366927158972359,1.1667152325465169,1.133656196976157,1.181405855999584,1.1565313882604091,1.1406958799599431,1.1202564685444405,1.1809689693018177,1.221081981520495,1.1877757384677907,1.2013585894621428,1.2164986838950191
Palkia,Dragon Breath,Draco Meteor,40,1.1769944001566794,1.1861070102419387,1.0799868740408745,1.1158766114632042,1.0593379730433057,1.1577717126035358,1.1699638301211952,1.1701135082689402,1.2817739914728912,1.2772723857599213,1.203436097809565,1.217089098306277,1.15557861521914,1.2109092884537873,1.226476340719905,1.2358978440769757,1.2603836202372019,1.2103259220338598,1.261384038468726,1.1941858726739047,1.068927654561941,1.1989430948615323,1.1938997018433102,1.2409524209619434,1.1954049901706718,1.1853119670386467,1.1940960052638319,1.2533334157133982,1.253055260988248,1.226612473268212,1.285488132495313,1.2963041980108836
Salamence,Dragon Tail,Draco Meteor,40,1.1320978195428728,1.1634344902946554,1.3656907660571866,1.1738560716229633,1.1999355234958395,1.1813292241177105,1.2794969368845108,1.1774700611522055,1.218492903231259,1.1799132229085683,1.1535567308988581,1.1983973678655915,1.1751384620324177,1.2134712568510768,1.1622273347989012,1.1794271459508068,1.2791451603907362,1.2107213959371592,1.2388339382064046,1.1935905472470911,1.1155165586137272,1.1847569492688819,1.1653767794460177,1.17977124310488,1.198749702843898,1.1750583984703646,1.1774995255694924,1.1868444653140608,1.2746012359362515,1.1875719041477697,1.2229821932208633,1.2159372668221906
Salamence,Dragon Tail,Outrage,40,1.1311333517093303,1.1503970301055948,1.3048435735996797,1.1433790032267879,1.157212461732976,1.1770391537724516,1.1702323174160332,1.1738177106413403,1.1793812352898922,1.1741975633970554,1.129733997268975,1.1842096210622857,1.1226723662782299,1.1788726814988477,1.1516151244417023,1.1682406342577571,1.189301487494854,1.1598883423828281,1.158096995872912,1.1702450335262637,1.1113538637974196,1.1693927213262623,1.1135352271588825,1.1577563704392015,1.1705320960382872,1.1724647339082521,1.2061983120218014,1.1695482090012204,1.16970171838123,1.1451296236983066,1.1984036606505188,1.1829806948077195
Salamence,Bite,Outrage,40,1.3746336890055926,1.4271169260594148,1.7985502642259557,1.3653635583263564,1.4435488413335098,1.4375786050838026,1.4711798603093595,1.3831057671532712,1.2899964928144954,1.2935853952723868,1.21469566117051,1.2770117790619913,1.2247703447771499,1.3117027860242385,1.244535433713998,1.2891283104886877,1.4295940933039095,1.3999344933513131,1.4148202597047022,1.4168942136905687,1.3270643589351208,1.4068330471380732,1.3332008498429364,1.4166209612986393,1.3932662036169983,1.409323894614215,1.3465913915184136,1.2574745492406243,1.2396563310148336,1.2037109478218029,1.4261242336916728,1.440164187723696
Salamence,Fire Fang,Outrage,40,1.4219851426436771,1.5089937771090591,1.6965148684875073,1.3633826369143556,1.3757830280154788,1.4033068748223423,1.4873501446612762,1.381831443852744,1.4719190642998097,1.5136805519568632,1.406043995664334,1.5371137405219688,1.4031269676770308,1.5134156967671557,1.4148287599068454,1.49175237685964,1.5785710287371524,1.5625649609804195,1.5846130456123948,1.5954636866209524,1.4068400619424946,1.498525410637713,1.4123534341817572,1.4998310707370173,1.5377818254118334,1.579168120890428,1.5352366092206484,1.4722627444768848,1.4753567420859819,1.4909784422881431,1.5045359714113866,1.5227455964235477
Salamence,Bite,Draco Meteor,40,1.5809663809924486,1.6131084310894666,2.3012606950529233,1.6273256977646882,1.8501809661920157,1.6450163643518834,2.036247233186124,1.5918395751956878,1.4056907253958262,1.3668524405643498,1.3056849608088528,1.3597979598826861,1.3638322901486382,1.4017295403991625,1.3315548429103627,1.3936266163134623,1.8264065334742776,1.6183648789119125,1.8087345137412665,1.5933027013546948,1.484117489564394,1.5814281356258832,1.6030385845722286,1.6228773121220417,1.6154742600699517,1.5607489334855624,1.3544653037791234,1.3752908858815174,1.4263553948414074,1.290238364797213,1.635798151439749,1.6197109100020415
Salamence,Splash,Outrage,40,1.5244468159958215,1.6744218282740557,,1.7246208688812357,1.6488069836927668,1.751491346869388,1.9441019108034245,1.705667918892235,1.6103805824463253,1.6679123173244776,1.5330044436869346,1.7163770969492382,1.5342529204117563,1.6671742751477228,1.5556699499850224,1.652437343248618,1.6248556421120846,1.6444421338976007,1.6384993714339915,1.6708663462300706,1.538285440416948,1.6956641431302255,1.5260911990507786,1.6429013200821663,1.5839254057900676,1.6508977527562831,1.6971083347548286,1.6672708495519086,1.6603917174409542,1.6842319705086406,1.6070943132354596,1.6368088200331017
Salamence,Fire Fang,Draco Meteor,40,1.735734589550344,1.7698089770612557,2.1435066493148858,1.549961583799543,1.7356133111213676,1.5661091977539119,1.999273662742836,1.5733840473172824,1.8149374939258085,1.7528676348246857,1.7003284241200054,1.8345529217041259,,1.8057186365104338,1.7034133817168617,1.761790675979301,,2.002884514900249,2.491151010656808,1.9422448157791108,1.634285904608692,1.7656896970288967,1.7637071168097722,1.7828926669029452,1.9824530824645652,1.9290145505577119,,,,,1.8346407593078111,1.823419626128099
Dialga,Dragon Breath,Draco Meteor,40,1.129638956992913,1.1579283130054008,1.0,1.0876904729011052,1.1794732902570721,1.151239546019944,1.0407230049033667,1.178326270462422,1.2189927828038047,1.2599944629581297,1.1585228524531197,1.1814613212833964,1.1054710563070014,1.1513305737025525,1.1522559156883758,1.1750538811462157,1.2349473782664055,1.2569935887616412,1.1287052125933983,1.1817165830247467,1.052602830663014,1.1526544171175368,1.158937880598804,1.1952199909111612,1.2239735470823239,1.2026870719902087,1.1205341729391516,1.1876318315073042,1.1597214079014388,1.1411339947560861,1.2469383276750958,1.2790095043635699
Dialga,Metal Claw,Draco Meteor,40,1.3043368864290843,1.3411436902943124,1.0031345826914246,1.0630511763415398,1.1766315310763065,1.132141321831947,1.0015336766752079,1.1111547048530417,1.38721055155774,1.4347687271697436,1.3904389619369468,1.4191328864933483,1.347041728576958,1.4101964405049014,1.3445652839764086,1.4306058346528407,1.5678749557272111,1.5862367250485414,1.5233648014253087,1.5973012627675547,1.4030768067940722,1.548732907277874,1.531287284147752,1.5865158439533718,1.6478301713537402,1.6060543871797066,1.2985382742161746,1.3791668304906595,1.3879649600237574,1.4138357845505585,1.3927448059690217,1.4564132605276943
