Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Vileplume, Tier 3","Vileplume, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Mewtwo,Psycho Cut,Psystrike,40,1.1883855281739466,1.1822513584251253,1.1935703006135574,1.1813589193870866,1.192837927849888,1.1746911729074856,1.192701506926248,1.1875365148180637,1.1227124231943917,1.185685177694536,1.1759619110226285,1.1772185643690363,1.12738662245439,1.1944873897289974,1.1654234942523858,1.1726388890377273,1.1463027337928824,1.1977242152037744,1.2046418100300826,1.2372514299138218,1.2029543249391106,1.255627123860116,1.2563707818560477,1.2097012852335192,1.191102766197846,1.2163306952550286,1.2217461531058205,1.2263649560727623,1.2046027114928746,1.2338984351450446,1.1667537824819705,1.2030898813551525,1.2331955657002578,1.215394201872397,1.2319551049789845,1.2336499064657007,1.2061748263392773,1.22627994957065,1.2230636112967084,1.2561874668964372,1.2143635398282275,1.222457764560554,1.2324905967180748,1.2278104564866579,1.2178125034984515,1.228573513735479,1.233171156440657,1.2171812064100842,1.2260685172838648,1.2053132405316966,1.2038624640591657,1.2027211501011517,1.2084491228299892,1.250810544070886,1.2263133991797568,1.2439467945017055,1.2046619685497049,1.2128347820005165,1.2440645285716465,1.2319344755089552,1.2310763195233785,1.2329227284294413,1.1842465026844593,1.241486907602214,1.1680080508202522,1.196874880423315,1.1810816491096403,1.2503042621005183
Mewtwo,Confusion,Psychic,40,1.2528008462610476,1.278107644452237,1.2564944437554342,1.280768245729801,1.2692755219662575,1.2620606197710138,1.2821385931270124,1.2787671287852025,1.2166011744357719,1.2893539453526228,1.270307802578191,1.273060600730448,1.2159814723997784,1.2945501332002411,1.2428906816451466,1.263324655385187,1.2321985447967303,1.2813096060610611,1.243823603173841,1.2986814680278862,1.2654824029316485,1.2961869015417649,1.30184486017152,1.2705496622895194,1.2607545323579914,1.2708935494387315,1.2650499777922974,1.301018209112024,1.264290073710744,1.291614311494962,1.2381478850591618,1.2847029053369101,1.268023256114808,1.2579821247817282,1.2603344472533766,1.3067037881829449,1.2921578056835687,1.2999303878746191,1.2879835183206378,1.300051997107775,1.279705692216439,1.2887201685370302,1.2976912882500722,1.284275075683708,1.2826432787040616,1.2934200702073,1.285340248396219,1.2891602666134636,1.2621726896698833,1.249923682731061,1.2514665598038068,1.275498857889605,1.2780730513658336,1.2969235599159796,1.30296718920228,1.3056852154433376,1.2739728686883107,1.2912724437499685,1.2877838712384426,1.2838672467572105,1.2877552227693587,1.2643834124067288,1.2650067407583636,1.298532143186043,1.237435855170059,1.2692299534812528,1.2448696376641464,1.2960835082442037
Mewtwo,Psycho Cut,Psychic,40,1.2999022857351876,1.2862886168357857,1.3043470696840722,1.2854641748406894,1.293513408262624,1.2713100415386778,1.3064406295422517,1.2918179771259002,1.2275216607640844,1.2832401468936812,1.300203621225539,1.281830487531022,1.2221403133569413,1.3090290966366127,1.2721412008354078,1.273046987310116,1.2479905217373188,1.2968588314035627,1.3026515715897649,1.341212343812858,1.304017279469113,1.3559373215752857,1.3595445477009909,1.3139889407500989,1.2918565026537052,1.3116366227396723,1.3353291970615295,1.3331450200181567,1.3041152104380742,1.330649556811207,1.2813646867948483,1.3105958550209733,1.3381207887684279,1.312196043577014,1.3387559914240614,1.342397189704857,1.323118742516153,1.3239535960440454,1.3274012409906746,1.3583632826869927,1.3288695602650562,1.3201698925768144,1.3343814406270924,1.329651578180951,1.3315402228299515,1.3279201755564325,1.341572114739164,1.3129687972700324,1.3336053382600979,1.3091731287230923,1.2998972250861005,1.3061433189355607,1.3096690733969185,1.348320319954648,1.3291602022346627,1.3495660325759127,1.3092614977444175,1.3143389379214887,1.3512138110950453,1.3331321760087274,1.340815385954258,1.335223689974578,1.2861823413758975,1.347094258972862,1.2642822349200107,1.2993274551712701,1.2923621680764563,1.3585280574049337
Hoopa (Unbound),Confusion,Psychic,40,1.2521200925721516,1.2407820586861757,1.25383531582555,1.238149787844426,1.319106461500082,1.294110297839826,1.2906297779184528,1.2698398058231921,1.315123276957603,1.3730059931956715,1.3498984548251571,1.2943018215158708,1.1338275168205294,1.2594891073963403,1.2790810770119336,1.256619864077348,1.2455014037012981,1.2705918949914328,1.2728120327169457,1.2689870275644854,1.2272453658931368,1.266594211026439,1.3209242605017941,1.2565284581392275,1.2735288567836949,1.2613725903214983,1.2697248038219964,1.2675554608436972,1.2587711673296136,1.2655206551794096,1.2351578189081047,1.2383522328826981,1.2731460749161312,1.2440489203279461,1.3315723793765748,1.2800023610032392,1.2486228436995708,1.249679934842146,1.2700508419618226,1.2674196298226714,1.2999563975005004,1.2700256333839337,1.2673491470728715,1.249395254173781,1.3407973560630813,1.30322235574545,1.282041829539095,1.2513530783675828,1.2359009485290053,1.2529899504738367,1.2919089250072213,1.2810157364519446,1.2495348336201346,1.2639096585234006,1.2669214493731136,1.264729304752567,1.2761986434344155,1.2545472218623874,1.2715696868069477,1.243409662387881,1.2616219172154548,1.245601059815176,1.257581339685816,1.2973671335944044,1.2465061921286937,1.2522062604430304,1.2878087239467086,1.285906322175836
Hoopa (Unbound),Astonish,Psychic,40,1.4992165099000383,1.5005076699638114,1.5071189318998457,1.4984290410871393,1.5964261070695736,1.5742854902900305,1.5532310829326088,1.5484530953652635,1.5210793829821847,1.6393302062324813,1.6842377726208666,1.5759512381686904,1.2726659357341654,1.412435393021733,1.6932781524201252,1.6502572779752567,1.5239348154084487,1.5329529553635017,1.5319633409966216,1.5377840712278237,1.4819008252204755,1.5325544615935731,1.5832873619254109,1.5468263814895138,1.5209225629114935,1.487868598688455,1.5330187590825919,1.5792999406453687,1.5355859900702709,1.5678661564002152,1.3964451675859488,1.3881160602184577,1.544364472406197,1.532113066000172,1.5938453740886347,1.5833553946878594,1.389740629677548,1.3952116049658039,1.5091386616138416,1.5338962299799561,1.5544844433592626,1.5207409262139258,1.5292214956038503,1.5245340225411843,1.5710566364518845,1.5531887724552456,1.5738606604896335,1.5499338577244317,1.5232309551573053,1.5410434394120034,1.6018422259616816,1.5579462515513849,1.5149999560131193,1.5222684745063024,1.4860057147159114,1.5258757344984022,1.534586049039995,1.5007921904144867,1.5373583113660931,1.5321407199394168,1.5106939803819173,1.5079612394930006,1.5934833499663734,1.6023330428598843,1.5227305003453258,1.5121011969512272,1.5685471303903586,1.5517367659581303
Shadow Metagross,Zen Headbutt,Psychic,40,1.2665558814919327,1.2506067201469542,1.2695331346270649,1.2512915528542505,1.3394136602307052,1.294816510318375,1.4199031880646713,1.3172781254396038,1.1984523504030615,1.2497094004258558,1.380490630913341,1.3549939371382782,1.3940284966495458,1.293415954212822,1.2826010521455031,1.2848322204173193,1.2206639814251785,1.2578750856714835,1.2408591584502837,1.3150602981941308,1.296598517631312,1.3363310065865424,1.31554490241795,1.290842021983959,1.3518995118339985,1.329283803939174,1.337387608998573,1.329571114110023,1.2964249987508871,1.3137569652352863,1.2633386697971767,1.3025060036605878,1.3238270906673857,1.2915853156201467,1.3667169485047466,1.3401447692382316,1.3081070493536886,1.323449707367723,1.3148749551182586,1.3176854047430495,1.3379353257191533,1.3369011897631453,1.3182181805333277,1.3126963837877195,1.339521750376304,1.3345068827521427,1.342332717481002,1.3186068156823276,1.3531731901900126,1.312190963767471,1.311177630794055,1.3251330227113507,1.3209923194814213,1.3187239050954012,1.340912246077247,1.3276956629131071,1.3267949157421692,1.3147365842313592,1.3458330641867875,1.3165533301205932,1.319251898635801,1.2809274118482674,1.3096042160379584,1.3048302502263085,1.2625152611253667,1.3023286705259185,1.2824352912667663,1.3152539221039263
Shadow Metagross,Bullet Punch,Psychic,40,1.4000600540486439,1.384182835557355,1.398263528718788,1.385441792482216,1.5652120154219404,1.552970422761245,1.361813706455567,1.2907154742846265,1.3186973285568135,1.3893214846023156,1.6267823682781355,1.5824683220592766,1.45596201094594,1.408880404980587,1.41254374407208,1.4228178996911227,1.3201158432738112,1.3689570816689651,1.3561690701151874,1.4532191594054389,1.4172694299708364,1.4500219311046598,1.4405149112791216,1.4397961786732856,1.6094359719583495,1.5805925947990684,1.591449616012979,1.5542062297393047,1.44352464713343,1.4786981181165344,1.3863466052559887,1.4231161655285514,1.4341276835322054,1.4335218774052079,1.4988950148730629,1.4499135370224592,1.438567035855016,1.4548527593114182,1.4484808126930335,1.433606438040588,1.485859218656942,1.4657731291570495,1.4666556780111084,1.4613383178843475,1.4917588508182924,1.4830202190498307,1.4604074896176145,1.453635575826439,1.6135118690058443,1.5610896754394283,1.4336647889757617,1.454939599430742,1.4430081216149282,1.4341082642912966,1.4843628296452192,1.5024078881615903,1.5993024990645863,1.5833548450899708,1.4754264193427025,1.4329233800015118,1.4698484090453388,1.4242675582501876,1.5937868437287261,1.6641787714655638,1.3639863384137074,1.4288345168008658,1.254757623937314,1.2790091103405326
Shadow Metagross,Splash,Psychic,40,1.7189580493184171,1.7536597913012786,1.724627694077269,1.7547217526995273,1.8039228554883824,1.8102712038174986,1.9767268487247343,1.8436658152585716,1.6212734773141402,1.7545839559548677,1.974406778465582,1.8555698645838572,2.678269323521855,1.8414917130652908,1.7764107730844918,1.8192453519794805,1.6548372074596789,1.7508652480446067,1.747474337014749,1.8529213358846734,1.734347424400083,1.8044019785842105,1.849788734090348,1.8605291461437057,1.88824496344372,1.8581429715981639,1.8588415051502143,1.9051035476017957,1.7702550609721703,1.8041056758629352,1.714700096501759,1.8288606319209917,1.8156754193184823,1.839462045946849,1.9087230013607932,1.9432202097202034,1.784325377327159,1.8632748322787136,1.8161938749029158,1.857537646102941,1.8147782381722415,1.8344451719210553,1.830657165246123,1.824068909430765,1.8445139311544299,1.8890714853741735,1.8456063905077138,1.870701068192094,1.8173943170579512,1.7780170222517653,1.7839281938446414,1.798394804097051,1.8034136274630352,1.8128361851911834,1.8627265136032327,1.8573787699688349,1.8432086807960546,1.8685142523769944,1.8215177871308021,1.80750255037318,1.8404996267040998,1.8233104078982438,1.762275853048378,1.843328643654266,1.7127115606408645,1.8024093904823333,1.7840098640052726,1.8774359539030034
Shadow Exeggutor,Confusion,Psychic,40,1.42609558943825,1.386524121130013,1.4329792134513069,1.3849477260477454,1.4084537847607355,1.397905862961806,1.4208449127325713,1.3846116963730128,1.739140093701651,1.6892259023930012,1.5459554578474335,1.5178708227686124,1.6725901353266341,1.5046087283428073,1.5017425417004133,1.3929847239409563,1.3007809603115292,1.4040866426624898,1.3704088920412216,1.407590249515832,1.3990211612375827,1.4138973916651665,1.482652742675579,1.3877542061792192,1.4642789174283906,1.4494742637837168,1.4239109707246884,1.3957135578943607,1.4133476782595518,1.3867513472235196,1.5015916230343402,1.4360526676579393,1.4223179167091424,1.3825573805751263,1.399794495906962,1.3779581938792742,1.4486120014659336,1.4483336995614966,1.396328481770669,1.3677345058295887,1.3712957818671363,1.3659110850587988,1.3749381888124845,1.3661306571176748,1.4182409679928267,1.3838373300052031,1.3677713464954064,1.3660056520733965,1.393890153240444,1.3700990584147656,1.433669088997775,1.4008159732052567,1.4000371535700673,1.3832857466386899,1.3742597049362089,1.3971924869436714,1.352661693220388,1.3579882819366862,1.4125166838740597,1.3620384113401698,1.422301747647022,1.369827267262895,1.3990377760543957,1.441469749050285,1.3352599051558824,1.383544426041023,1.4290370397781031,1.3858344657785906
Shadow Exeggutor,Extrasensory,Psychic,40,1.445284422255,1.3941309104091884,1.4489584551510564,1.3939010141345514,1.4329069081460493,1.3994405116506625,1.435509625902468,1.3845415006176804,1.703890088766761,1.5936778938690326,1.5421995870240897,1.5267692513530298,1.7037564585660883,1.5053929569157176,1.5269143707033164,1.3916937165700483,1.321293933335442,1.4080222253535284,1.3733899809177146,1.3985492048513115,1.4148091433142547,1.4123745904788894,1.524821240433502,1.4105930530014061,1.4890364957304991,1.4676859639529614,1.4493978215528893,1.4042467310854934,1.44133559155946,1.4066825545332033,1.5209208602889805,1.4414626726948707,1.4408369344899121,1.388291120734013,1.4148149774418952,1.4047310355629035,1.442252263981299,1.4312800088061453,1.4098670789456498,1.3908424668580306,1.4252720006317214,1.3915550809851878,1.3890654865878918,1.3720917656977165,1.4331398643727045,1.4019784896856777,1.3920255616245387,1.3729067290764743,1.4168032515817122,1.3723869326327038,1.4685020535457172,1.420228943679101,1.4163014562112646,1.38913945980528,1.4078112921867174,1.4060625771127426,1.380626895830604,1.3869902724243848,1.4269046030046055,1.3798795896486864,1.4440227316021037,1.385467473297258,1.3998039052112397,1.4495414618809885,1.3433294526862933,1.38777648407193,1.4430343456429218,1.4018564839691317
