Attacker,Fast Move,Charged Move,Level,"Arceus (Fighting), Tier 5","Arceus (Fighting), Tier 5","Arceus (Poison), Tier 5","Arceus (Poison), Tier 5","Keldeo, Tier 5","Keldeo, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Mega Beedrill, Mega Tier","Mega Beedrill, Mega Tier","Mega Blaziken, Mega Tier","Mega Blaziken, Mega Tier","Mega Gengar, Mega Tier","Mega Gengar, Mega Tier","Mega Lopunny, Mega Tier","Mega Lopunny, Mega Tier","Mega Venusaur, Mega Tier","Mega Venusaur, Mega Tier","Vileplume, Tier 3","Vileplume, Tier 3","Amoonguss, Tier 3","Amoonguss, Tier 3","Ariados, Tier 3","Ariados, Tier 3","Blaziken, Tier 3","Blaziken, Tier 3","Combusken, Tier 3","Combusken, Tier 3","Garbodor, Tier 3","Garbodor, Tier 3","Gengar, Tier 3","Gengar, Tier 3","Gloom, Tier 3","Gloom, Tier 3","Hariyama, Tier 3","Hariyama, Tier 3","Haunter, Tier 3","Haunter, Tier 3","Hitmonchan, Tier 3","Hitmonchan, Tier 3","Hitmonlee, Tier 3","Hitmonlee, Tier 3","Hitmontop, Tier 3","Hitmontop, Tier 3","Machamp, Tier 3","Machamp, Tier 3","Machoke, Tier 3","Machoke, Tier 3","Monferno, Tier 3","Monferno, Tier 3","Nidoking, Tier 3","Nidoking, Tier 3","Nidoqueen, Tier 3","Nidoqueen, Tier 3","Nidorino, Tier 3","Nidorino, Tier 3","Poliwrath, Tier 3","Poliwrath, Tier 3","Primeape, Tier 3","Primeape, Tier 3","Seviper, Tier 3","Seviper, Tier 3","Toxicroak, Tier 3","Toxicroak, Tier 3","Venusaur, Tier 3","Venusaur, Tier 3","Weezing (Galarian), Tier 3","Weezing (Galarian), Tier 3"
Latios,Zen Headbutt,Psychic,40,1.5056739667345733,1.4886891109037976,1.5105086270684835,1.4865832812744342,1.4779585400282604,1.46951380484703,1.515138476018724,1.4961859836889568,1.4182597569583653,1.4778411878148843,1.4146989816360185,1.463989026981183,1.4410979813976639,1.5059230355395092,1.4563549156380529,1.4737836305686591,1.4236233099802313,1.4543137784126092,1.449163708276228,1.509710976503854,1.5005974210404294,1.5461562779041755,1.532002064380678,1.489695629245783,1.4621421915336579,1.4981149997884147,1.497854939166437,1.4998969998994338,1.4975432742775505,1.5163724797656515,1.4553966841894221,1.4793756201746466,1.5153888964496935,1.4941109332274143,1.517206809482818,1.516830914181623,1.5375183172902318,1.5021953150855067,1.5350703635313467,1.5301840718193398,1.501870747165888,1.5024086124451947,1.5399882735859565,1.5172018956054485,1.500390365373447,1.5120798313858497,1.5057890288443834,1.4998730925450157,1.5193762253326868,1.4828719329864364,1.4798927241038744,1.514769804676667,1.4979026441434742,1.5225320016442008,1.5182658178625967,1.5429022882082828,1.5031588352079521,1.5049930275586756,1.5165568934172997,1.4771029686391959,1.5363578893942307,1.5049685819916219,1.4860125710766365,1.5248301559396185,1.4366638947234665,1.4888523735858064,1.5076299999263505,1.5378670453702932
Latios,Dragon Breath,Psychic,40,1.7196949640105001,1.7027983353237388,1.7282509254313652,1.701475466212003,1.6911392010338342,1.6851697535984873,1.725980890682857,1.7197413698296815,1.6227680683342738,1.7333852088181125,1.5900356725821658,1.6437226534886618,1.57277486989737,1.6502291303417833,1.6999272641571288,1.727630665484672,1.598371032898976,1.643089205783721,1.634851296499474,1.7321616566975448,1.7065390502722613,1.7638001999867272,1.8156823946275686,1.7830530357010483,1.6579881441047453,1.7117402404223383,1.7496471575635013,1.782001962299386,1.7136512943220785,1.7623167040176666,1.6589946904738884,1.7102843122946538,1.766355451877664,1.752017234483725,1.7754927839577026,1.7933873792688717,1.7272855358182333,1.7384525462065141,1.7549588828052833,1.7808376989338188,1.7780676196205998,1.7907286042964239,1.8372191503210415,1.8362706134318887,1.7359008412154615,1.7717450502395609,1.8166351460655794,1.8122167358391046,1.7351673183006442,1.7281318299693866,1.7011428975856302,1.7548094149334406,1.752521624666697,1.8301709341143233,1.7854771659695678,1.8707529513064152,1.7439166732688178,1.7726518609377273,1.742537215066307,1.729891529102177,1.7762134237924567,1.7612582890713433,1.9020995119258384,2.0587165484438916,1.6527888047889252,1.7456078686469474,2.0440039684514217,2.1553176541823893
Latios,Splash,Psychic,40,2.0370443857756353,2.100935863776023,2.0393156988744323,2.0968981475151387,2.0019005115869417,2.0545533835626264,2.081997265539599,2.099276582400312,1.8842703611863068,2.0705115726817804,1.909671625224096,2.0330196342167413,2.031753105392993,2.141684869619326,1.983148187745129,2.046721985407961,1.921252340986448,2.018244112625731,2.0095475663621465,2.112286442543103,2.0087906949843806,2.1341806717632323,2.095303061301888,2.080969263241646,1.9466045348904073,2.0407014418295337,2.0766584192300175,2.1421714368379443,2.0270620022479493,2.1049494300194893,1.9769007224787798,2.02447424099775,2.1224384612319604,2.1192826461610683,2.0999510642276156,2.1668107229286724,2.0750218969701617,2.100070064577406,2.1079854230465473,2.1517350857079482,2.109344122679944,2.1108502006886565,2.1201035540289417,2.103308112527091,2.0862418157589637,2.138541832630601,2.0842675095937357,2.102902074693988,2.1169920824109565,2.1540335761888656,1.9937561925253247,2.070279796420104,2.063075550434437,2.1284289424903733,2.061238391885196,2.133743738843943,2.059705868279631,2.114414594127206,2.0821960446480587,2.096103212723991,2.0569984039987292,2.0625559564087146,2.050108397985909,2.1596874331204594,1.9851210671728567,2.0801432551461247,2.07442229589968,2.167473743465589
Shadow Alakazam,Confusion,Psychic,40,1.3620191780122675,1.2747940179272919,1.369344023393249,1.2735550481352842,1.416593488715463,1.306867965048604,1.397185630414219,1.282621136258762,1.3128910049546296,1.3850613004169154,1.4163359752496578,1.3542545901351752,1.409050559404,1.4013666798462525,1.3615884582749196,1.2658926127713535,1.352214978794163,1.3258815511845452,1.3078314536317706,1.2859624199599804,1.2778510043970148,1.2783494000641802,1.3213389597385,1.2396787588905716,1.2987966074005188,1.2970145199508365,1.2876313856112018,1.2364035858352498,1.2552215461529774,1.2309844100073999,1.4219791382887954,1.3141839297497164,1.2766624872379082,1.217125607912846,1.3062641042319483,1.2570120042988957,1.461083321984558,1.3376011862815833,1.2942180342367933,1.2391562365404865,1.2966520995138695,1.2386851082955765,1.2743348291177372,1.2150340417016168,1.3293369570509967,1.2821883253722712,1.2421309246865027,1.2106583362492545,1.2489491601241167,1.1959816507349166,1.3317660484390461,1.2748786196807762,1.3071131287336422,1.2536247771605693,1.2538723017739706,1.251590271211213,1.267386222709256,1.2387292840843522,1.2895631161882126,1.2200755411148079,1.3180216513389778,1.2451541414705236,1.2920546387643557,1.2884938619771285,1.3358321887508433,1.2722718750170823,1.2466923913045431,1.233809492295119
Shadow Alakazam,Psycho Cut,Psychic,40,1.4207945200033734,1.2558776922639894,1.431164826006401,1.2542484830149727,1.4289761480610712,1.322719276992019,1.4327474655844845,1.3066709624309785,1.3145641028608068,1.3232070707005772,1.4571209677229757,1.3523387459157663,1.4115872468822281,1.3639695616383305,1.3899562677502106,1.2713122591929276,1.409509653947986,1.3136044792035435,1.349495318908948,1.30905617205793,1.3354634863407442,1.2836912392813613,1.3837618858878244,1.2604372099624526,1.3520923943363756,1.3123900790856111,1.3350427983976978,1.26298205020655,1.3075214890126814,1.2771323563244137,1.4339614528779145,1.3268577039938625,1.3438445190405497,1.247165755377951,1.3619688436674333,1.2729756880951084,1.4608235792469744,1.3633309720497166,1.3239212244281657,1.2573926374855702,1.3200980056551979,1.2644810028875075,1.307426382135818,1.2328327379406367,1.3504286016224363,1.2814975682920977,1.279502941198546,1.251373149310647,1.3057064860393455,1.2565365877833676,1.3666192406415618,1.2833873840313361,1.3395195937003421,1.2634480095364924,1.2786718292961725,1.278103034808553,1.322015598856952,1.272015457630739,1.3422006778227717,1.252276560108649,1.3436299091828316,1.2710208094573774,1.3226923072961887,1.2796673679374697,1.371423840299058,1.2822096678091364,1.2799547396786044,1.2506757529567323
Shadow Alakazam,Psycho Cut,Future Sight,40,1.5539123871884224,1.3795041210805097,1.5601028078185322,1.3809923220927092,1.7143149706170189,1.4741507241912626,1.7340193051018968,1.4613211531141923,1.483319646103717,1.4698679463762463,1.7367413945213763,1.5437625678755078,1.6591596844565086,1.544532762073905,1.5784849268353593,1.424894921266516,1.604347247861362,1.4863015114253302,1.507956972299286,1.4072563296722185,1.505787612763657,1.4234483122209705,1.5247248524019583,1.4224533479938786,1.492891837090639,1.422894897910696,1.4750868132873198,1.382340009946654,1.4294645323594628,1.4005300325642414,1.7212740789969374,1.4956848039548607,1.4613136170549672,1.3709188496450155,1.501414357244153,1.4005377710843725,1.7242429225378362,1.51488111733742,1.46800930509125,1.3964399747576934,1.4328196357060645,1.3601330681884418,1.4266020285010332,1.3366712793633628,1.5143897915936722,1.3925629109614122,1.4065034243206762,1.4143583640264816,1.4188487571063957,1.3982164468554787,1.5027900122423385,1.3862393412408862,1.5055735469854563,1.3765431836212958,1.4125598045641752,1.3985983795380503,1.4621724189053187,1.4042399625328814,1.4716888153076062,1.3847609244795864,1.505193323438876,1.3950368471853727,1.4847475949035953,1.419900977842384,1.52945087598956,1.4003420120952386,1.4438493403967412,1.3764310235099118
Shadow Alakazam,Confusion,Future Sight,40,1.5595112569585248,1.3734026988735708,1.5584687032319462,1.3774629642630258,1.5807822577340855,1.406672372295852,1.5407097052315497,1.3868561299622661,1.4676060201574945,1.4910732936655595,1.6627854585823174,1.471734364695752,1.6154085499666637,1.5564096215298258,1.5144150784431336,1.356809663593611,1.555092698691444,1.428336139965026,1.4099576979925632,1.3796303783536505,1.3841398874083077,1.3704932944222294,1.453757855934048,1.321371587578248,1.4021259821679841,1.3787545688825908,1.37456204796266,1.3149924907571944,1.3448755333269062,1.3128541912839904,1.5873334302797668,1.4196831878280627,1.3683759374607045,1.301712085882371,1.4123857951187258,1.3432260245672905,1.620750041629163,1.4738940241862994,1.3938724331339234,1.316123061158132,1.38765213162502,1.3153767964137664,1.3469068937432283,1.2795873268642035,1.447977794965494,1.3733264760940775,1.3664284972192968,1.3129697555643962,1.3341540724437846,1.2942556445250595,1.4149589692338254,1.3615193295601797,1.398943005482402,1.3269072503247392,1.3704911469748906,1.3202642283821826,1.3810826403689256,1.3224251649386132,1.3835070285661222,1.304947844326858,1.436627460236813,1.3316861234301678,1.4421792475274444,1.3962476986122705,1.42389782117847,1.3728155958973125,1.3478294140714047,1.3241283666536556
Shadow Alakazam,Counter,Psychic,40,1.7058531291558408,1.537387033431617,1.8939389516360123,1.6850518361864137,1.7631186026703756,1.6000095859022405,1.4640008034426213,1.334767992819615,1.827899707378035,1.9371584903205334,1.7464059894323853,1.6257855127384213,,2.0957948262563275,1.4120970532078476,1.312348453984003,1.818258544647762,1.7393260770392556,1.8184024404309664,1.7288394840509682,1.7003243384543743,1.6761831224338388,1.9298304696015895,1.8267863252778596,1.5934624732144658,1.5568326322650285,1.539440341980688,1.5032222967241329,1.696220142065707,1.6798085137409982,2.144326412100326,1.9504824056170875,1.7232634111279748,1.67080692715486,1.57447860048982,1.5216237507575372,2.1089997327050014,1.9891743709026675,1.563221913104458,1.4896783763079529,1.5611673998712727,1.4994036563736148,1.5326464407248424,1.4670459296854708,1.6190227957642085,1.5282930976011986,1.53426309936193,1.5146662294004978,1.50468465872798,1.4664700215904507,1.7946152842702872,1.6973033124194785,1.7366147410062684,1.6694035904373776,1.7034723049385572,1.7058116344607053,1.5379348497101981,1.471033769478324,1.5496753308986553,1.5003393115653343,1.7893680166106218,1.6549576862999404,1.8537321555287094,1.8207339763631396,1.8178891518806697,1.7020423424457598,1.796313033431311,1.7813134057088886
Metagross,Zen Headbutt,Psychic,40,1.515494497339027,1.4946588883227967,1.5210331475718106,1.4913841133282693,1.5662621664613767,1.528917321036666,1.556271040062999,1.5449793559704905,1.4166503872016858,1.469713999960742,1.5981226561357078,1.5904119571050506,1.3275952586798814,1.5225098684850173,1.5256875364813516,1.5067732815182147,1.4071595189104857,1.467453701936213,1.5086224305717173,1.5679355284055823,1.5255733335695876,1.5836227271145924,1.562531974605327,1.5408385265624336,1.626765170027925,1.5734436129970568,1.5698263375582764,1.5845653447299113,1.5539726083313876,1.5962562253673616,1.4914949349530957,1.5293231030597862,1.57148442856618,1.5357190376068988,1.5828853787860797,1.5958153263005825,1.5755541937704673,1.5541710986624626,1.5627157200322344,1.5666261483877286,1.5760733354054113,1.5842893324882468,1.5774172008091907,1.567877747925351,1.580871701052914,1.5828451173367184,1.5946607019339616,1.5871103551824892,1.571735458738283,1.5645679407561246,1.5551920330596225,1.5832303575940714,1.549264856466716,1.5611136385997457,1.6055264355685466,1.60964834032168,1.5481568427963732,1.5630439364390107,1.5638984218582659,1.5625924645679867,1.5709608962306922,1.555876837944432,1.5741063010899534,1.6140285345661913,1.5045738715212866,1.544821186164271,1.5179901514431624,1.549587809356238
Metagross,Bullet Punch,Psychic,40,1.6411036678016089,1.6363840866490946,1.644137029833717,1.6333768533092627,1.8580261932224247,1.8536613242304827,1.519920917461861,1.4978312539102274,1.5652950621830184,1.646776635494232,1.860561665136101,1.8600376185564278,1.4575266091013939,1.6674839090219666,1.66051334557654,1.656424359670115,1.535213218270883,1.6098959075891097,1.658625139607707,1.7298769647601404,1.6661565883202123,1.7367958524534137,1.7342814922150207,1.6964020636968684,1.8929396911823566,1.858739996685558,1.8756533039860883,1.9183558263179488,1.723388429718117,1.781446774317214,1.6532153894341544,1.6763569468339914,1.7496298799315493,1.7447000557723609,1.7530692350411026,1.7481119279169346,1.704228055285485,1.715728619513506,1.745919592500918,1.7430437259469471,1.7318544229878678,1.734849492706095,1.7187797498568276,1.7203806539242694,1.721255699188332,1.718871978067942,1.7597696792415554,1.7672823397395756,1.884727023673295,1.8869616740581072,1.695467395061144,1.7434255805690655,1.7344285725684307,1.7516422144513428,1.735575748492222,1.7671129741352471,1.8862195716001338,1.9248283023397963,1.718931714065493,1.707386140701645,1.7508844529136613,1.7432253177873198,1.8820547520544124,1.947972238747229,1.6773022613757798,1.7350331899324174,1.4800344967142438,1.5063637890674066
Metagross,Splash,Psychic,40,2.0441678944657715,2.0775931188285033,2.04729709288141,2.074056249808262,2.106030155673415,2.119214398442548,2.123465056590858,2.1593833700693468,1.9401263399928257,2.076797746553628,2.230113295732661,2.1883733493021778,1.8328205930919128,2.1342133407657555,2.0890709251792163,2.1390978493443566,1.9310347470450056,2.0597745226846786,2.0911130895283034,2.204083687156105,2.124693363186301,2.2218075186706736,2.1768737259392856,2.191819236320305,2.226634655406746,2.165321622620286,2.185279491261284,2.274960672688875,2.1375653114189377,2.2142557401991403,2.0430326182118983,2.107378900945326,2.211810232545624,2.1871324852611433,2.1346840291707436,2.1665537592840316,2.1754250776277635,2.2402221396563426,2.1735899461905577,2.215496514724924,2.202076076768673,2.2212104681495957,2.2057246710443126,2.195394172673817,2.1923131359285724,2.223655297291087,2.1834623135675377,2.2266653658707987,2.1381366957102954,2.1448351991439316,2.1319848318039814,2.2065372118869875,2.1693807936092586,2.2251083922128063,2.212056277400124,2.241507106030416,2.144065280502527,2.205863280738107,2.183612775537331,2.2019215539391293,2.1798849926916968,2.196253104525375,2.075538102020786,2.169846011140623,2.073656478886472,2.1594882391205714,,
Lugia,Extrasensory,Future Sight,40,1.982416136920408,1.9691562075640552,1.9936199801293732,1.9667388731355744,1.9874302410285547,1.9777328116877329,2.0460259501814817,2.0155315677422836,1.8741363942357763,1.9484654088147355,1.9165198478934506,1.9575629806460413,1.7268858793165425,1.960519189261014,1.9384774398108027,1.953992733418766,1.8098686132994262,1.9068157458991974,1.9497190606540844,2.043375280742594,2.0271856188118296,2.1179042205658116,2.0879167727328896,2.0721188559393013,1.9605755924234687,2.033854518693145,2.0674277263317595,2.1031137242522657,2.0347529922660073,2.0657521897022404,1.9934872282628768,2.028768615857984,2.0384722023140203,1.9968102114836115,2.0655031449132264,2.073630749612684,2.023424667176144,2.050820215151654,2.0628847691343095,2.064604140151959,2.0584935912000097,2.0439617278879867,2.1183318575174335,2.06914565760733,2.0807987309404923,2.0890704787432526,2.079256690558667,2.074456810138861,2.026479870535233,1.996606484295081,1.9427304200801203,2.017850782629769,2.053376954679805,2.0920126419194456,2.1157638731174084,2.1361798471479156,2.025780746871953,2.0305631141778866,2.096033131926926,2.0682965625446825,2.0448890750540114,2.0625081088478354,1.9852180370128916,2.0699171569506807,1.9854487945443697,2.0481446253810507,2.003229621044505,2.049559872902642
Lugia,Dragon Tail,Future Sight,40,2.6350119337721223,2.627131478490698,2.64682894718762,2.6274437473767085,2.5326817721815487,2.563069219466171,2.63820449427529,2.6149451621183997,2.4386355777667204,2.575323812484694,2.488224225579161,2.5328580686272533,2.207499855676117,2.50273167443398,2.535741020523113,2.573277433386573,2.4015009947944255,2.5512007804894483,2.5718935053324907,2.6828136424065177,2.7234545320430805,2.819499553728088,2.6737834570003596,2.690759661938658,2.593844334871443,2.701082725587137,2.7425053337342478,2.83839138182667,2.679664979584057,2.727708477356523,2.5614534732640073,2.6089292800901265,2.6742619979187374,2.66236488154555,2.695423089784538,2.694309602328744,2.678720798663513,2.7107699834515673,2.8030706127548157,2.8197805718858726,2.742869254502276,2.732781122427342,2.7857461473492617,2.736405588033671,2.73136302639922,2.767077840686425,2.6826263446762915,2.7122466958476172,2.67034562552267,2.693165187343522,2.630152561709594,2.7274293299940484,2.731780480504503,2.786193280573602,2.718041741273574,2.754637294452516,2.694723913723872,2.7222872014103943,2.7098681431159712,2.6783600294057184,2.7342817266604333,2.740039389329048,3.0982628926659106,3.2850857639046653,2.570207510912817,2.6513473673085994,3.432899274228939,3.5570780843781837
Espeon,Confusion,Psychic,40,1.5403971682622468,1.5087596741218756,1.5486683807986783,1.5048384615322745,1.5122757297338651,1.520957126600065,1.566064265983015,1.5164670652358656,1.5479981873638224,1.579315019024297,1.5684197729413638,1.544155068358505,1.51970342049339,1.5694564393080068,1.6058208101195741,1.5005420276796266,1.53608786661691,1.5176245406681403,1.5154193403004814,1.4991499163438038,1.5446469571643688,1.518165737173081,1.540274273184726,1.475288688842324,1.5534962381247783,1.5110534748094135,1.4885105775018934,1.486117064009766,1.4704862446990532,1.4875647422393556,1.6094256408910796,1.5545810394452206,1.5337505517518673,1.4792770699061997,1.5098044110795843,1.4964551055818438,1.5494816794687172,1.5549783683282155,1.4874566875993174,1.4922137475485158,1.4968644370218545,1.4847950094200797,1.5032696033161108,1.4862622254203586,1.5622759445504477,1.523671576942876,1.4835198694909981,1.497460453387697,1.4768224686035902,1.439968659690978,1.5153307412391113,1.500650791868795,1.4910869281014998,1.488775328900326,1.5072100772491905,1.520010878894974,1.5039688407223826,1.4941566673817408,1.5101988683357708,1.4631809881534623,1.519503451344646,1.485648787895441,1.4888661622169421,1.52778291432518,1.5038478222828287,1.4799713744804677,1.482562525294567,1.4865549241695888
Espeon,Zen Headbutt,Psychic,40,1.6559015922791147,1.6075233125535653,1.6704477708410848,1.6032610912456828,1.6226863372673808,1.6123628782944497,1.6726323006412676,1.6046638425959108,1.61819546725241,1.62543765654469,1.6498009177630075,1.6031380571975402,1.6540640390811725,1.6187868731324417,1.6895246071708518,1.5612439587253344,1.6269112321255719,1.5916707453376124,1.6221125267876457,1.5906761293504064,1.6200403178321745,1.5913233416630275,1.6384846743592532,1.5663673442684187,1.630558081624524,1.5682591827418282,1.5852587481311755,1.583905164769235,1.5496434455470967,1.5616938013005548,1.7212010935469506,1.6232331494982535,1.6207608250740888,1.5639241134804662,1.6110809952562435,1.5986829225246135,1.6416560450895048,1.6110311613830295,1.5724002596264903,1.570312370970723,1.5868886334807013,1.5746252543344081,1.5852974658354748,1.5647911299971473,1.6468304557197082,1.603636536641192,1.5901893532884614,1.574641614544992,1.5734453750296242,1.5557203735266079,1.5868233021352112,1.5575964137774956,1.5669763070292468,1.575186669904563,1.5990665348674964,1.5951728814660757,1.5858644085479163,1.5649708759330354,1.6122836479303155,1.5507742109730316,1.6201333730777148,1.5795337230300515,1.5875399476187975,1.6013756265492785,1.6072147611051981,1.5678838434360824,1.5682154021973063,1.5646774039798144
Espeon,Confusion,Future Sight,40,1.696712705359618,1.6103512291000948,1.6957166220028712,1.6065607656329228,1.654878785911978,1.6086368283546815,1.7178531404055861,1.6323837732196929,1.7264759745727238,1.6982351106344147,1.7997229889797,1.6924439292473266,1.7260415122921722,1.7085896330673647,1.814373297829824,1.601935149447026,1.7370521549489335,1.6474040176012408,1.6249856031155554,1.596120259541466,1.65865194378598,1.6151001478217846,1.6735097667578445,1.5754058448196402,1.654240930238226,1.5990548875843889,1.612189846865486,1.581330734955113,1.557711839556258,1.5858144904455096,1.80014261930227,1.6891246462971112,1.6282555947509962,1.5646718006544325,1.631959812154505,1.602967208353276,1.6973803255593152,1.6928551157530045,1.5779940354761748,1.5727160419867554,1.5876875750648634,1.5774857478811355,1.621945289767798,1.5777865868457244,1.6811166297537408,1.6335166182616039,1.5994904277653974,1.5845405291302188,1.6016576186036615,1.5619657867278456,1.6155183801588913,1.584593484043969,1.59533284872748,1.5701761432643868,1.6137580024325877,1.6026507679158042,1.625149136713164,1.595886118609152,1.627551130263896,1.5694627294072108,1.6617760023087722,1.5876971253821548,1.6186196533530253,1.6513288774202315,1.6004019057539436,1.5605922075177063,1.5878364772395157,1.5678869506266189
Espeon,Zen Headbutt,Future Sight,40,1.8645773558129461,1.750779435575994,1.8713625485921868,1.7472425060750065,1.8139134678734348,1.7536496861938728,1.8819114828120924,1.7600202152510243,1.8637223297309768,1.7922595982289993,1.9209722278364452,1.7547228870113856,1.9291372624830905,1.8051478166179453,1.9748033122351247,1.6986293321791592,1.879339818343014,1.7366766263258266,1.7583687662926966,1.724966838358494,1.7909386712436262,1.715634358542231,1.8127901909957262,1.6946183434973157,1.764258334409134,1.6957425023753103,1.7396019829715041,1.7082926048161322,1.6822254719457879,1.6863114140379234,1.8943929203672512,1.79132185273778,1.7532568237410875,1.6918182859163604,1.757763183033442,1.7364292280512896,1.8359115080495179,1.7841557373208805,1.6979493885511752,1.6858370263295606,1.7158872038276491,1.689335973937876,1.7335736488930844,1.6770941373334638,1.832130592852265,1.7315686963122945,1.7309781736132472,1.7015658396808135,1.715477313313564,1.6689659463639677,1.7248600419620723,1.6843081344118092,1.6999703958062293,1.689873158680614,1.7429861553732888,1.725730000628786,1.7166558156062304,1.6840544957816592,1.7563451908381331,1.6807381952264333,1.8178520463750703,1.7300430658471218,1.7378651415765238,1.757822320471843,1.7641730750831857,1.6967056053905623,1.7151958888481522,1.6838824469575246
Espeon,Confusion,Psybeam,40,1.88265884654591,1.8205422510406817,1.8851742678272,1.8179096899411404,1.8457473814210794,1.8384814428271539,1.9032101085844,1.8449338449010355,1.8809035749705096,1.9165934435455954,1.9094186249602507,1.889530696573643,1.8101365228738027,1.9087915400022035,1.9073306891449522,1.8069016068944332,1.8451128126348337,1.8420351106106192,1.8304876141643178,1.8243809595030054,1.8813839263627676,1.829375079969841,1.8742950957004298,1.7841304960886892,1.8737440264498462,1.8147705198118285,1.8092274648607192,1.8076483287353158,1.7611139973013106,1.7799225971759003,1.9607696370826062,1.8841635381249036,1.8508633202603286,1.787024669163144,1.8472255168565384,1.8184009813358017,1.9157648951223343,1.8858849315675241,1.800061220659877,1.8050157952457462,1.8026598130565554,1.7914975864494926,1.8392132505250254,1.8069052495326983,1.9009193110164682,1.8408333411434006,1.8117952905270536,1.802037679868192,1.7810870308335673,1.7697737221895549,1.820671092149867,1.805267908140133,1.8006080009885796,1.8024297222177192,1.8293912044962746,1.814507921044976,1.828117908407114,1.8067174588539479,1.8330637242923937,1.7757011660705766,1.8567244906562896,1.7961617571704203,1.8358853463431517,1.8215023722449897,1.8286234442428244,1.7832726749281627,1.791608392236479,1.7995181281637767
Espeon,Zen Headbutt,Psybeam,40,2.0330871227112626,1.9578917423950384,2.0449979409303247,1.9533508217531248,1.9956803192586792,1.9617672758584062,2.0560310587133097,1.9630785112416707,1.989606440814332,2.0093200154254993,2.021663223431162,1.9716763123216183,1.9818752340563182,2.010619721413802,2.033391707756049,1.8974202609108246,1.9634379179947414,1.9402976771329437,1.9759077630709958,1.9399071253485831,1.9955448009039507,1.934588251184187,1.994777209165292,1.8963629941174032,1.9773124574677898,1.8978947383352092,1.9371202198891349,1.9150824447510555,1.8852282810932426,1.896616842784658,2.0881404046017877,1.9978942797877706,1.9646221618737778,1.8925497977319763,1.9815318772936648,1.9376658911589193,2.033746192299886,1.983899583988223,1.9313608256257107,1.9176627723149167,1.9254558824093702,1.9038505072358103,1.9465018679219803,1.9005135847465924,2.0204186605124193,1.9525153537248987,1.9260081329979188,1.9057296553108343,1.9175795625736236,1.8775072825609287,1.929155842933535,1.8853909247727532,1.9147444229238344,1.913551301741803,1.944229059305922,1.9235613217977736,1.9335612513599778,1.9006732161426731,1.95333612988799,1.8932629707960003,1.9891514690464902,1.9197459222607678,1.950885917942982,1.9513207573854723,1.9808828270361607,1.9250831342666233,1.9208741945931556,1.9078161363372863
Gallade,Confusion,Psychic,40,1.662836741081074,1.6351911672851822,1.6733711013242152,1.6294624109086193,1.620965600863559,1.6188659182010894,1.6197366985106942,1.6368063170265614,1.600064851262413,1.6494521830518885,1.794196343827662,1.6750483789096613,1.6909577356039676,1.683233622203929,1.6192686973995947,1.6176846829224751,1.6077938103287415,1.6374601688899464,1.6394373660617716,1.6350762348278522,1.5988848787623018,1.628867775172508,1.6054626580499256,1.5954309432652196,1.6548215770210488,1.6585978917595927,1.6065691759477727,1.6160320615803727,1.5925840894079049,1.6193607335887596,1.6237095108530577,1.648685570200738,1.6479318554749052,1.6121193467686765,1.6390016007741661,1.6441366179329882,1.6581851923218398,1.6590769823902696,1.6220617778576922,1.6296891085280276,1.6178914445191013,1.6238298487074574,1.625077845776312,1.601004636824648,1.6048612437119478,1.6168372862688254,1.6090816802582506,1.6195041651865234,1.5981900897014392,1.5852851720934626,1.597722760994992,1.6202214026831536,1.6281284236881832,1.6341718077363783,1.6245018994112297,1.6619699283996623,1.6119527437625358,1.6061811157673438,1.596180076947905,1.5809947490476117,1.6208011281779275,1.5934067499300886,1.6166439571598803,1.681482533024929,1.6127485433436342,1.6162596959609044,1.6507091999201713,1.6508745140709802
Gallade,Confusion,Synchronoise,40,1.710406051697997,1.6861212949863829,1.7202365061052316,1.6820293560487463,1.6780868990738929,1.670311118178801,1.6750386402966357,1.700649884553681,1.6481357006284667,1.6726500906835247,1.81016175256377,1.7273688246159369,1.707381388616727,1.7244446749071485,1.6669095881075684,1.6609488109904063,1.6566485742287416,1.6881608423541088,1.6968890415800084,1.6906528642067342,1.6562201270815045,1.6849188744027415,1.6779755204784899,1.661395351168513,1.696196682649448,1.69103798062068,1.6674102112391898,1.680048041514796,1.6557645573330735,1.676323432663809,1.6777686650090222,1.7014963710491915,1.7005117773473581,1.658439671064742,1.6987315834418473,1.7018518973057095,1.7231675662010701,1.7051427006897097,1.688030519022842,1.6906194439522144,1.6951965151929165,1.6976549239548107,1.686382634432719,1.6754223768303536,1.669042818709105,1.6758777734851331,1.6795101476809715,1.6842917851945918,1.6695316816816235,1.6572918395499892,1.6601703791579514,1.672485359223854,1.6721438244158284,1.691914104638511,1.6911724234410221,1.7078008837297043,1.6684432990256792,1.6677028658924191,1.6766164813062756,1.6516024142730388,1.6764017421614488,1.6536706975424857,1.6946671074679776,1.720755052689597,1.6806069650457003,1.6764815938456041,1.7159135225359432,1.7165228697547796
