Attacker,Fast Move,Charged Move,Level,"Arceus (Dark), Tier 5","Arceus (Dark), Tier 5","Darkrai, Tier 5","Darkrai, Tier 5","Mega Absol, Mega Tier","Mega Absol, Mega Tier","Mega Gyarados, Mega Tier","Mega Gyarados, Mega Tier","Mega Sharpedo, Mega Tier","Mega Sharpedo, Mega Tier","Absol, Tier 3","Absol, Tier 3","Crawdaunt, Tier 3","Crawdaunt, Tier 3","Sharpedo, Tier 3","Sharpedo, Tier 3","Umbreon, Tier 3","Umbreon, Tier 3"
(Boss weights),,,,25.0,0.0,25.0,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,3.75,0.0,3.75,0.0,3.75,0.0,3.75,0.0
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend,No Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Conkeldurr,Poison Jab,Dynamic Punch,40,1.3115589607209235,1.3517696960785326,1.3163607218111903,1.3990487025872271,1.3437742425554549,1.4185253321485038,1.3453566694687136,1.3825940261889187,1.339495665172928,1.3819341688031586,1.3578371042240824,1.4216560923253212,1.398807945901371,1.4592061036615964,1.365346868341722,1.4153317040319608,1.4465400662317132,1.4714338728608578
Conkeldurr,Poison Jab,Focus Blast,40,1.664913088842984,1.570176262642472,1.6662193741393108,1.6286520779500155,1.6412789589292152,1.6846374995710334,1.618279315478546,1.6048610285408422,1.6461472222317899,1.63617563214863,1.6290436756935585,1.6378670892036886,1.6720004420590553,1.6910779056085574,1.6276534211122595,1.6205892065142322,1.64189195869416,1.6353156700931943
Shadow Pinsir,Bug Bite,X-Scissor,40,1.1689332088116233,1.1044616984819222,1.2071098325652274,1.1809275881383803,1.2330551409649386,1.1946781104071105,1.227650787752861,1.1469858963305934,1.2928447970019596,1.1632748459974347,1.2498526014529474,1.1949615540288268,1.231829500319061,1.178504615776132,1.2358752990181887,1.1919224605295913,1.1853175619498149,1.1756875885305738
Shadow Pinsir,Fury Cutter,X-Scissor,40,1.2257734255063466,1.1664919582740203,1.2506763629680586,1.2162648805474594,1.299152622446375,1.2461499225139259,1.2945639179114115,1.2088636070808767,1.3141103529517122,1.1974662345309366,1.2605741173935436,1.2017747709968014,1.253191710438101,1.2045300479377337,1.295952717166319,1.251292501859086,1.2589620904890544,1.2485113249829372
Shadow Pinsir,Rock Smash,X-Scissor,40,1.334980972263042,1.2734517405847547,1.3461563771092073,1.3387867916032818,1.4035180606895954,1.384990665539688,1.389039150621546,1.3272573721843308,1.440069853232434,1.341303980130208,1.3800169494080055,1.3322862395653756,1.3704732087980032,1.3236544944663584,1.4015347289876647,1.3578019283776808,1.345692302187605,1.3342556137422972
Shadow Pinsir,Bug Bite,Superpower,40,1.3074430073171943,1.2094943253840909,1.345927770382462,1.2827689331493957,1.3932246953409857,1.3046146052367613,1.3694774196397106,1.2547004290799992,1.4208085477209864,1.2680710521882295,1.367221552270406,1.2968889990559334,1.3402219033653031,1.2717912599774963,1.3600102362006488,1.2882300371432263,1.288760241010368,1.2517115845352085
Shadow Pinsir,Bug Bite,Close Combat,40,1.3294569915880476,1.2333360685786967,1.3527744346412194,1.3169013035993635,1.4109406524801096,1.341519473865703,1.3923166290792486,1.2708705762647545,1.4605482169859085,1.3004014325199373,1.3905490057052368,1.3343379217428364,1.347674967634962,1.2993218590633482,1.3963621912665904,1.3355400201253322,1.2943436572824283,1.2662847786867364
Shadow Pinsir,Fury Cutter,Superpower,40,1.3781391134312495,1.2775413438752843,1.3892048411737155,1.3177822124993774,1.4802410518571343,1.382504474478728,1.4604864731115967,1.3413054438929326,1.467376129345591,1.3222784873470192,1.3863945304235878,1.3107185714985503,1.386518722522762,1.3142303799133317,1.438529155426822,1.3453150076361475,1.361214830291828,1.338070966527808
Shadow Pinsir,Bug Bite,Submission,40,1.3941499498516603,1.2973875505551384,1.4541310404592556,1.3875578163850697,1.4947819214595424,1.4071002369406371,1.4541774937037255,1.3443476985577327,1.5254195499495387,1.3783881648632286,1.4820020938298726,1.4032682700728538,1.4543225959000123,1.3759652240549345,1.488202830901077,1.4033759344813914,1.391476480397428,1.3579513055084296
Shadow Pinsir,Rock Smash,Superpower,40,1.4771032617894917,1.3861661248551496,1.500091202750632,1.4677676059845124,1.5731102769249625,1.526092571783277,1.5790793734634216,1.4615099456493146,1.660717063408686,1.479315633116098,1.4830974766593108,1.4433697112660662,1.4860863380988083,1.4362065711724512,1.503500782360128,1.4604563485302724,1.433198151839545,1.4136067968655945
