Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Ho-Oh,Incinerate,Sacred Fire+,30,1.3342831536933957,1.3573655375944944,1.3063554649255733,1.343571860637694,1.2633188986631945,1.3232380264755481,1.2775209024891558,1.3071273506791192,1.3275208210883394,1.3504305345748535,1.3159506329417578,1.386818147345152,1.4231472360312478,1.4350267916601824,1.319562593087395,1.4265884033626137,1.271218802811605,1.3236592654776997,1.3000955731050303,1.365346199544095
Victini,Quick Attack,V-Create,30,1.5413991577369373,1.5707686548310171,1.4997928398156635,1.5590385073491353,1.5495868680897174,1.6033044541564516,1.5713535439548425,1.591475299458635,1.5778518615404376,1.5740758047999044,1.6071326879377132,1.7076889173841852,1.573704437785918,1.6854817877538057,1.640354704960408,1.7079014429316381,1.509538353220374,1.6110372044531034,1.6077131428263396,1.657723128735603
Blaziken,Counter or Fire Spin,Blast Burn,45,1.4738150972895705,1.3216299049858788,1.5200645052663084,1.4276992996963065,1.2940582866887027,1.2536231218780394,1.3067728768079527,1.2613851215038403,1.3135148570767043,1.2757788285805733,1.294102889112156,1.299714114961039,1.347292434742973,1.3538242280660318,1.3345791227455805,1.363784148938242,1.361889329285254,1.3318299700108187,1.3311775993962502,1.3181775803965115
Entei,Fire Fang,Overheat,40,1.3907773343488763,1.3638207349396756,1.3503218154266365,1.3690295399696928,1.3221604811367267,1.3620546327181413,1.4292342341227309,1.3820040563164586,1.361612293218596,1.362197000241632,1.3917747594815357,1.451394253899946,1.37284290204672,1.4429655598994848,1.4175915948168778,1.496787756962947,1.3505733317574242,1.3957834846580628,1.4097915375163101,1.4155393120062003
Shadow Scizor,Bullet Punch or Fury Cutter,Iron Head,30,1.5482245231673057,1.5275748572190333,1.534640550265342,1.5010679787227408,1.5402745002759166,1.4932346568921424,1.5219077394286997,1.4952722377483316,1.5839353976230837,1.5272030833080703,1.5513798158636323,1.5747506607748354,1.6333499489287682,1.6168979815606388,1.6151727833225544,1.628709732683409,1.5381450945588047,1.512743403940138,1.5441673231886512,1.532680655482154
Shadow Aggron,Iron Tail or Smack Down,Heavy Slam,45,1.4163059947150782,1.416755961372523,1.4029576138539153,1.4137961448998808,1.4691378183657926,1.465216838648761,1.750018359040115,1.52209178364882,1.4370449000984609,1.4505424742687816,1.502342195168577,1.5496408445342347,1.482453694231439,1.5462539468622198,1.4900084705306225,1.557165746939022,1.4872077518163003,1.46631820361016,1.52050721349388,1.5254455770154418
Shadow Entei,Fire Fang,Overheat,30,1.3464495897101034,1.3144467397315227,1.3295096128062658,1.2935858168235022,1.3034244279386227,1.2865689148662676,1.3513170651609776,1.289469914690285,1.2739393496789864,1.2603022911826884,1.3098520302426944,1.32755553615253,1.292074408375524,1.3414476897081002,1.3018778264085784,1.3584097741417078,1.2989424402264376,1.280847434008615,1.338565404833622,1.3050622374004117
Shadow Typhlosion,Ember or Incinerate or Shadow Claw,Blast Burn,50,1.2107360233214692,1.2110139728231524,1.2134166962877044,1.181295268740763,1.1825778657388781,1.1790295840242182,1.1898232746421638,1.1883409368638798,1.1954634484141642,1.1835501015253338,1.171203150322904,1.2215731976406252,1.1898445270045557,1.2378548976639947,1.1803631953655744,1.2587571215459532,1.1442158557966366,1.1617901527755186,1.2039043137802456,1.2048640215200765
Metagross,Bullet Punch,Meteor Mash,40,1.1882358791975887,1.1816578789912093,1.1858552373112827,1.2048245748601576,1.1999132957990377,1.2176990237388954,1.2671025804146585,1.2310712520535307,1.2473379979960282,1.2106816815046835,1.2546550300166626,1.3079469246461153,1.2393923431860392,1.3131104947629275,1.2863486527642907,1.3264462606244343,1.164300253518399,1.222020729575908,1.256132828499962,1.2799383966606415
Mega Aggron,Iron Tail,Heavy Slam,50,1.289167307590997,1.3327285822857313,1.3169651095354795,1.3609246752598856,1.3033099407956654,1.3514390787954618,1.3581216267842304,1.356494809548681,1.300399690692333,1.3356646862553696,1.3935109892230264,1.4574044403890132,1.3866939257227586,1.459085173227457,1.4130339644031016,1.4833665966950222,1.304268140253749,1.3573771868727278,1.364228528859057,1.4056194599743992
Ho-Oh,Incinerate or Steel Wing,Sacred Fire++,50,1.2221874289407169,1.269347246643932,1.2013508190996451,1.2810439077320261,1.177715850889759,1.260304525963662,1.18366664273803,1.2378683875481975,1.17869961627721,1.2637522974406974,1.2391555670847936,1.342524755123305,1.2621876182478737,1.3576446090029142,1.2709617808545337,1.3710797163982078,1.1709238092360539,1.2590360617148895,1.216764044010465,1.2843837611441202
Shadow Charizard,Fire Spin,Blast Burn,35,1.339116142319667,1.2807396572097596,1.349145355109473,1.3193913157353188,1.2867260272939534,1.2587111053840216,1.2703387222273104,1.2463571951347305,1.3319395859100167,1.3065114054266918,1.3330810277795864,1.3056024199877252,1.4285314789170214,1.3778038817296123,1.3540101463521663,1.3343966744323132,1.298404048384575,1.265246602350014,1.3479296249672479,1.3166930601023603
Metagross,Bullet Punch,Meteor Mash,30,1.3091688042023522,1.2970411289707424,1.2803287623395008,1.2879029677161866,1.3609429871515368,1.3014628997718891,1.343897702603353,1.3073182021837768,1.3488728421903922,1.3213385423136503,1.3453328861366392,1.3796535437482185,1.3883817489665282,1.4264090011762578,1.3975503034644112,1.4217319591808666,1.2788525166912623,1.3143330738898154,1.3579507721184578,1.3834463228656557
Shadow Blaziken,Fire Spin,Overheat,50,1.433091225914105,1.1897258147967253,1.4676156873016168,1.2580074956815646,1.1377222949584451,1.136222486061805,1.2498858439011267,1.1521639738699287,1.1889127337683334,1.1553277729026101,1.1719413675666275,1.1641443809591354,1.2073435138745487,1.1910258405424214,1.1987754498503644,1.2110253237463833,1.2127831286180635,1.1973847588159077,1.1757816072807001,1.184494003814971
Shadow Blaziken,Fire Spin,Blast Burn,50,1.323477019408441,1.1136987859542506,1.3799303812071664,1.1648468748246121,1.078240896031575,1.0571587580915633,1.1294595346127727,1.0700029787026883,1.0929554192595918,1.0568058136315637,1.0831550432031043,1.0958000214261054,1.116424302796713,1.1027892871277587,1.106469978905159,1.1175257305782973,1.1042831704662326,1.1033355329359893,1.093466829327997,1.1009984141845865
Shadow Blaziken,Counter,Blast Burn,50,1.2811357520684235,1.0855800357427223,1.6516467176772118,1.3433229192000447,1.060186300911121,1.0378731666072645,1.1086558129671755,1.0470395738392342,1.0760463144319548,1.0384754832814884,1.066625950112934,1.069826157996817,1.0960344551098486,1.0909294332238706,1.088948223235647,1.1119910675849767,1.236836244473274,1.2354481404088664,1.0767923050173893,1.0731995206763556
Shadow Blaziken,Counter,Overheat,50,1.3861270751380665,1.166283405819624,1.904211425613779,1.5176232328712451,1.1103241827776582,1.1038888577396424,1.1958836144123002,1.1160930807459462,1.1642410326724422,1.1158607533139855,1.1434935190500874,1.137951637495327,1.1774221706814,1.1542194159157393,1.1716053583360395,1.1803046449591597,1.4580780317084199,1.431221907529341,1.141293325480108,1.1347088113277328
Shadow Blaziken,Counter,Blaze Kick,50,1.2118720921001793,1.1178468109602873,1.5617723732375481,1.3908774686796501,1.083441071472875,1.091444296567495,1.1281577755279357,1.1102482224736105,1.0969465965237406,1.0908769736503776,1.1147323249157146,1.1360878047166934,1.1466891227360592,1.14443718554459,1.1533588177985286,1.1864028307710408,1.3468416315493004,1.345898493609979,1.1105752767444523,1.1265166099693842
Shadow Blaziken,Fire Spin,Blaze Kick,50,1.2430889106170087,1.13842676959544,1.3096905817571822,1.1718913188533226,1.0996451281102932,1.113949736482839,1.1520398337537345,1.1355975599391717,1.1098243342852239,1.1120800001315003,1.1370918218879735,1.1615530886893257,1.171130100112254,1.1648560407432307,1.1670222885060344,1.207317528831007,1.1565515632496544,1.1450541216913972,1.132739245374558,1.150568799159063
Chandelure,Fire Spin or Incinerate,Overheat,45,1.3168931196967197,1.2602784649321501,1.3415067442426054,1.285454910544466,1.2853384103326315,1.2484035464674075,1.247145478684123,1.2269604773185405,1.2932528801517327,1.2839617916268544,1.3166803721228784,1.2877533417200095,1.2804543562220403,1.313507104549487,1.328119379230545,1.344720247907111,1.2625917252957117,1.2568191053735716,1.306832085168318,1.273160681675282
Metagross,Bullet Punch,Meteor Mash,35,1.2614500859930529,1.2586004696627253,1.2282565992554206,1.2442629849275686,1.2475829550885793,1.2570468612543704,1.2995491514822965,1.269913658878308,1.3151091817083918,1.2801714107383675,1.3034921422961603,1.354943850342676,1.2970221640456947,1.3415735627180798,1.3681495726376818,1.4081511864506489,1.2486153643702618,1.2910749844394083,1.2886101204981115,1.295945124335617
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,45,1.3043518580906075,1.2753221518042084,1.2848524622877417,1.2680365928946924,1.2263974781570006,1.230352612749616,1.275801134877473,1.2432581891632979,1.2574582433475487,1.2349155567995909,1.2628444212932577,1.2724537316065898,1.301081604165959,1.2794922105509294,1.2939792851603535,1.3120535929001769,1.2486801742675777,1.2258825626899092,1.2938397986204424,1.2910973409644535
Blaziken,Counter or Fire Spin,Blast Burn,50,1.2969258816163858,1.2723170265830674,1.4268199726862851,1.35171858143291,1.2534953006716543,1.226057404891787,1.255419423616904,1.2251196225546377,1.2594990821978314,1.2422640795220337,1.2567715656806238,1.2856740558917394,1.2711940082740927,1.2904571447981996,1.2518406808859752,1.3189427060622525,1.3008374587313014,1.3009287333278563,1.274731142648714,1.2596044784593776
Flareon,Fire Spin,Overheat,45,1.448909145237231,1.397236361197525,1.432257572072662,1.3856239063601044,1.4444407283939809,1.3747827066815352,1.3988214733934188,1.3369215974097663,1.3858601404283108,1.3683089497980883,1.4192169518340254,1.4191249298399342,1.3799187758071665,1.4396706162279334,1.3796332033670655,1.4417299240275683,1.3957334957817225,1.359891431975668,1.4262918386400785,1.3973192252171605
Mega Houndoom,Fire Fang,Flamethrower,45,1.1732931049169066,1.1652798171608745,1.1317784221652665,1.1438553745034579,1.1935616365442525,1.1780107304236003,1.1952089918865418,1.174473095548696,1.155995019892954,1.166648123548359,1.22582310589428,1.2582257396662624,1.2046361461087514,1.2603789145724038,1.2003672020736302,1.2605817835495219,1.149468516411656,1.1827047644924966,1.2216383607378793,1.2274689829263046
Chandelure,Fire Spin or Incinerate,Overheat,40,1.3912438092712693,1.3263656035240539,1.3594186543942028,1.3189782425682375,1.3439889440940973,1.3127107833991785,1.2712239580110187,1.2435669510873915,1.311111335496671,1.3268671937796563,1.386197281983789,1.3547857024402663,1.403284990113589,1.3791354465948167,1.3568357102625388,1.3836907902555904,1.2915475006913681,1.283106958848261,1.3670349670310349,1.311743075810284
Flareon,Fire Spin,Overheat,40,1.5234062874443934,1.4325380696632222,1.5153647503414214,1.4685008512150861,1.4560122362984027,1.404704836844072,1.4999733897059004,1.4293285459557716,1.4072544295079328,1.4042671401932538,1.4541926552561975,1.4456093544171376,1.475945852644684,1.4620563260785588,1.491849926523811,1.5046175919128095,1.465569850593649,1.4109229108966734,1.4905213395787982,1.4613861237395553
Mega Houndoom,Fire Fang,Flamethrower,40,1.205775315579548,1.193503619967528,1.1948240136194412,1.1978541647179142,1.2324902707787606,1.2013810810843304,1.2703401661967577,1.2479745234281978,1.1770330838505094,1.1919563803864373,1.2506723222843863,1.2761223934241224,1.2386088401814075,1.2821230623148028,1.2500439028675387,1.3229133815701763,1.1953890520966388,1.226028207343439,1.2832675485785767,1.2807718224151852
Shadow Arcanine,Fire Fang,Flamethrower,30,1.4892244499927394,1.4140865904554076,1.4307990945316447,1.3987932077401328,1.3971607625729017,1.392152182321677,1.5013961946866874,1.4022429383705588,1.4246865653346696,1.4031398767137022,1.439668005624427,1.4526958525585942,1.4759843555347707,1.4548020782397053,1.4744755207229883,1.508182687602776,1.4182044923165835,1.3807038161445047,1.4753237577595155,1.459412293891496
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,30,1.5171028212366047,1.501920909989384,1.687972661341116,1.658134311139381,1.512906717624648,1.5066805297208077,1.495036746959619,1.477763406843755,1.5773290301401206,1.5192622218444194,1.5676033113017938,1.5657889463049577,1.634251298899816,1.564248083742601,1.6222977278228907,1.601093258912441,1.6022988015319846,1.618507591076309,1.5035621196462163,1.5154125439810817
Shadow Aggron,Iron Tail or Smack Down,Heavy Slam,30,1.6175625997029341,1.6278132489848969,1.6360734601737352,1.6230734289936952,1.669816729855919,1.6643751750778923,2.0207044590601657,1.6946617274660316,1.6655749395978858,1.6544615141845462,1.7215991980259375,1.7479926436044488,1.7125570453416163,1.7508103065142877,1.6808667566851008,1.7468799152231451,1.65870748895533,1.6280011358704172,1.7308653850827307,1.7152346975882264
Shadow Mewtwo,Confusion or Psycho Cut,Flamethrower,35,1.433964145704534,1.4363641576277446,1.6014286444789503,1.5823311444945403,1.4296045062139466,1.392272407483732,1.449181475604755,1.4241833527650363,1.5088844940628756,1.4627162388638555,1.4572195322046433,1.4787755651209822,1.5424383215141415,1.5047655265629654,1.5430338332311118,1.5425688881504391,1.513442537747177,1.5594927721669831,1.450538377484161,1.4619178071296743
Flareon,Fire Spin,Overheat,30,1.643733322900524,1.591036457183512,1.6735542127351752,1.5974753646505653,1.5765558310897678,1.532647525290729,1.7031809409234966,1.5148654591781585,1.6665185721971105,1.577267741572646,1.5808202980016655,1.5711387677068955,1.692274696080747,1.6275157420258966,1.628902913250398,1.6244524066283987,1.574231419052764,1.524348322569279,1.6225815873088818,1.597413428573575
Flareon,Fire Spin,Overheat,35,1.6125720321839752,1.5383675364918041,1.5753539495756395,1.5072653733186163,1.5315188296102331,1.5002771189985376,1.5294000430715455,1.4649999546181032,1.5429115075273396,1.5057539632686578,1.5416462847982375,1.5415994990046098,1.6010432276702593,1.5349118833632598,1.5370829177897438,1.568595597152534,1.4979432231749932,1.4478185697051662,1.534409631718783,1.5084874705559281
Chandelure,Fire Spin,Overheat,50,1.257226609418695,1.2228018572470816,1.2871890695252526,1.2291735917535032,1.235400156882907,1.2184946957204978,1.223233427150091,1.1949742437106878,1.2410457050686114,1.2325941055426703,1.285624498710336,1.2694022846665223,1.2187814159173191,1.2429740441227006,1.3051609818183696,1.3273155334267965,1.1928481252089327,1.196159291281275,1.2883537344870448,1.2591075027317649
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,50,1.246347559317715,1.2147509472069826,1.2399254173448326,1.234429698364295,1.2145626771476776,1.2091259313761331,1.2185707672923591,1.1806422281026157,1.1928867455371472,1.1865737882651415,1.2258419692110738,1.2475821653150687,1.242061524047717,1.2312663374619532,1.2434221420703948,1.27174831593052,1.1917359960544114,1.1764323742172413,1.249192842489072,1.2372983431785858
Volcanion,Incinerate,Overheat,45,1.3783326900802508,1.39633668663287,1.3608239512593616,1.3994110215204634,1.289394479413572,1.3736969095247729,1.333320378864578,1.3456906588378768,1.280563798463465,1.3402028581136787,1.3402550481349824,1.420047623169934,1.3383608543944563,1.4277540428429574,1.3541110494116937,1.446715353999414,1.2863834307063888,1.377641726111756,1.3577868220462368,1.385985880984752
Mega Blaziken,Counter or Fire Spin,Blast Burn or Blaze Kick,35,1.1057660212711324,1.054367357229642,1.1569729419614738,1.1282619622222638,1.063941533847919,1.0185394850581435,1.070372593624916,1.0313391702704018,1.062832170533443,1.0307889341495438,1.0542957181015875,1.0662229068907576,1.0566436918536448,1.072478965209155,1.0595980731232169,1.0904697189461243,1.0839339876067453,1.0581737309027148,1.0593253590398328,1.0406666213029492
Shadow Scizor,Bullet Punch,Iron Head,45,1.3425905887157779,1.3445805850177197,1.3245623133095117,1.3358379635692414,1.3319040747476991,1.3221429938404277,1.3489234176363951,1.3148224701449003,1.3854534285552593,1.346159238030472,1.3535098806679162,1.4054719114633984,1.4144829798108667,1.4036271239194267,1.4117709967600518,1.4421041418152056,1.3228060404166284,1.337594182802552,1.3792311203350671,1.395310113295885
Flareon,Fire Spin,Overheat,50,1.402277488512266,1.329899924724382,1.4145788886186619,1.3653295418404954,1.3450300939974964,1.309498694955866,1.3693285624582796,1.311108498214016,1.3439578982764764,1.3289844672227098,1.3471783770961785,1.3564060553928894,1.3274976518292823,1.3661657393795141,1.355918182067517,1.4037114120823713,1.3102010482349635,1.3045629226642876,1.3921668495207427,1.3496817985594667
Mega Houndoom,Fire Fang,Flamethrower,50,1.1157066877724056,1.1064943514306351,1.1102125106791636,1.1235483384156797,1.1255487322311308,1.1176091718245993,1.1839233392494823,1.1521708636670058,1.1115568986857711,1.1203599447040924,1.1579688051996002,1.207238864869367,1.1597942615368453,1.208623889013089,1.1766637477586483,1.250622232221326,1.1088260995534887,1.140021408185265,1.175507436630348,1.1788005774153199
Chandelure,Fire Spin,Overheat,30,1.504140107248867,1.4493685821532512,1.4702172001571474,1.4444283139705285,1.4396817246496227,1.4243097900770305,1.601725873539631,1.3824936032153485,1.8441591408141234,1.493769113051107,1.5007201883232493,1.4688351186682913,1.5251249132026048,1.469870406255258,1.50088332410492,1.525250150947161,1.4142862367006255,1.3968760958502071,1.4929888754319682,1.4565785933035202
Volcanion,Incinerate,Overheat,40,1.4384644850295911,1.460787902743446,1.40698632443455,1.4618073697142036,1.3550898251368737,1.420141146526165,1.3750786138223354,1.3947880541645314,1.3484777540111723,1.3969883596337995,1.3942270800643497,1.476855857588812,1.3792461996762724,1.4722620408427662,1.399389772003207,1.5045619034407207,1.349817203132039,1.419124402104522,1.4104350763458113,1.4365532441170406
Mega Charizard X,Fire Spin,Blast Burn,45,1.1766430407002733,1.1495921009556473,1.138576967928211,1.1509919617857431,1.144869626194833,1.1401535209742086,1.1626536692913905,1.1353087660497203,1.1384468819500002,1.1434708420227293,1.1504510433604476,1.2027267177724479,1.2310483071446796,1.2084629573600636,1.171951572891281,1.217789684396217,1.1343346357215065,1.1345838893765312,1.1767212106456864,1.1804933215917894
Shadow Charizard,Fire Spin,Blast Burn,45,1.227457446712718,1.183209448896156,1.2392586134859906,1.2031677922661028,1.204236647274348,1.1642080074548342,1.1752222268979329,1.1523876653654437,1.2572817745411986,1.1961861134195428,1.2152089887131508,1.2142301673307319,1.336443372549825,1.249780745237104,1.2439168989669607,1.2405982476217126,1.191476874875435,1.1734883787111487,1.2070500961254234,1.207441579116901
Mega Houndoom,Fire Fang,Flamethrower,30,1.3479447520639731,1.2981834077550758,1.315818532168447,1.3073834583652928,1.3863517554349152,1.352691988927481,1.350206322605878,1.3187878577846868,1.3095246425831557,1.31471820291588,1.3447975910978256,1.3648925364590216,1.3959915600148196,1.4152054659252584,1.3748456244800322,1.4382466717095008,1.3474005281059351,1.3156367711543384,1.4117963634499815,1.3870495128776255
Excadrill,Metal Claw,Iron Head,30,1.5560323114872578,1.5573606834400988,1.6057928522876794,1.576502322912964,1.7093943067265214,1.6463400892223716,1.7652093301879552,1.6255118871690524,1.66708331934185,1.6189505424742687,1.7315227032533558,1.7260128565572896,1.7881453124666733,1.7107862599821941,1.7296490831276647,1.7320414614785626,1.6656082431558412,1.6061156782068609,1.684981347116834,1.6692302322077388
Shadow Ho-Oh,Incinerate,Sacred Fire+,50,1.0844068104303668,1.1441063889883354,1.084638841599162,1.1353423256568076,1.0872771831550558,1.1346500502377233,1.0534713438074752,1.1190246275177669,1.090919476450044,1.143182539192395,1.1071812319235859,1.205353129187347,1.1427507684383735,1.2146803920437894,1.121971725678825,1.2244007924378155,1.0749016508821478,1.147663016084084,1.1037672947332284,1.152147169326115
Metagross,Bullet Punch,Meteor Mash,45,1.1521155884906653,1.1543458602601766,1.1197110483352977,1.1490894305901134,1.143227077242153,1.1557571075749613,1.1902675634129496,1.1553087330447045,1.2142550867749837,1.1816723466218375,1.1875217222416832,1.2422082656193403,1.2311457888155186,1.2748987225477317,1.2555105154224473,1.3068670524183144,1.151304211362521,1.2090895367874417,1.2161138552723614,1.2231476690634324
Victini,Quick Attack,V-Create,35,1.473127183916665,1.4998356936012207,1.4547643225512756,1.5025303974207869,1.4187847881069773,1.488348870249617,1.509118254496727,1.5242040221562672,1.5191761595456474,1.5105743912882879,1.5208781604064343,1.621888390850308,1.5070094377108711,1.6200316143960047,1.5940033134839637,1.6532950801361483,1.4409517597870496,1.546025496537259,1.5308094021312408,1.5913687942102939
Shadow Charizard,Fire Spin,Blast Burn,40,1.3045720027899486,1.2378993641678744,1.2794241420812051,1.2461550396298304,1.2464752441636422,1.2202255008716871,1.2090564938606545,1.1700721654673467,1.2754269476673126,1.2389169253427756,1.2755010810647314,1.264575301958343,1.398512180074083,1.310368763523212,1.297952007746302,1.2944310335438578,1.236097285339565,1.198010162483978,1.2780951126927536,1.2639991622440727
Shadow Scizor,Bullet Punch,Iron Head,40,1.3657441806813557,1.3750736791292166,1.403904389526001,1.4077187809851646,1.359041571565831,1.3522737693069313,1.4415213827121376,1.4137736945072226,1.450137053917267,1.404974659173337,1.3885952029065598,1.442417088198224,1.4989808662597293,1.484220529766273,1.481979830517839,1.511924130121024,1.3989229163435464,1.4025493300711038,1.412954905666297,1.4312028292820442
Shadow Alakazam,Counter,Fire Punch,45,1.5174417840435355,1.3935274870891396,1.703957345705573,1.677801782251074,1.4555205153855963,1.3904372796805595,1.3949393409063342,1.361381738489707,1.7231151593397085,1.4357489169417803,1.5302067112581967,1.4295944580588453,1.5389022173525273,1.5075973296025922,1.542455146135534,1.4735600992296227,1.664720264675411,1.6220557553389277,1.4253058405639125,1.3842014520219037
Mega Charizard X,Fire Spin,Blast Burn,40,1.2376708359609419,1.201185034673049,1.1852876608110552,1.1871592115191538,1.212670333096927,1.2001272419396953,1.1904774753143108,1.1703137209277379,1.1936594276493158,1.1933520455235511,1.2046188604262065,1.2418239963143523,1.2754335919941797,1.2490301205723453,1.2239254927197558,1.268556245555555,1.1799198334725083,1.183032050526933,1.2224100594338345,1.2184678345467395
Shadow Moltres,Fire Spin,Overheat,45,1.165779619113445,1.123640228706227,1.2014620694816007,1.1328516640787232,1.116272268022544,1.1024714030790101,1.1022372862615795,1.0691415890429947,1.1180350298212323,1.120156753143035,1.1352079635976724,1.1481855977533282,1.2512812046017037,1.2110121109521526,1.135829708547763,1.188359002631787,1.1190265537635102,1.118858470360514,1.1404339186873038,1.141648797338623
Darmanitan,Fire Fang,Overheat,50,1.2579966501159665,1.2262819961483473,1.2357489882077088,1.1988096708011398,1.2131128163410916,1.2016626265547437,1.2310559872336597,1.1767320826082543,1.2001517890038917,1.1908356919256187,1.2287615219329266,1.24737437083165,1.2087105323652578,1.2594938378786598,1.2148764737471185,1.2903044819878995,1.1857486785461262,1.1844111356744482,1.2454166885752804,1.2158253243542632
Shadow Scizor,Bullet Punch,Iron Head,35,1.487251324206074,1.4838531573790341,1.4668070017897343,1.4541233108213445,1.4543196299600667,1.4438652324023427,1.476521675631654,1.4519199430333423,1.473360959370376,1.4425255304455067,1.4872380870927977,1.5298854686751977,1.5376652902844585,1.519941400402408,1.524421640834397,1.5485374124377278,1.4460931344669397,1.4316616043966373,1.478289705367073,1.48581521472577
Shadow Entei,Fire Fang,Overheat,50,1.0956939096508354,1.092894335615821,1.073621212404667,1.0912746524984565,1.0866419571169963,1.0945112950993272,1.10945354420238,1.0647287358996382,1.0626855710979082,1.0628061522450283,1.0792433634575236,1.1281624551754101,1.0931760460517947,1.143707889932608,1.1224757838619497,1.172000166151187,1.0672987434122683,1.0866887634735367,1.1072994787443737,1.125096489952894
Lucario,Counter,Flash Cannon,45,1.6090620335056713,1.5617487251634705,2.1476819885382175,2.0923023964978578,1.599578949623362,1.568980607572065,1.6549322695816695,1.5189415786464147,1.6353852714414294,1.5753743709996588,1.5807280674084947,1.6318801377767123,1.6707568416886607,1.6445489655804384,1.6062423557535412,1.627883428645021,2.087625467787241,1.9681913260793744,1.5783016796211013,1.5685978943870797
Entei,Fire Fang,Overheat,30,1.5683788894170843,1.5122786818683465,1.5150796400576205,1.4982752449192125,1.504065195263697,1.483529863219833,1.500522139352128,1.445114762566041,1.4683620665565664,1.4714942411054672,1.5279367062711886,1.5713041569773636,1.509403031411375,1.5684048791393173,1.537527372215626,1.6135937508074034,1.4617836027131192,1.48615125576182,1.5647833654193266,1.5701187572049884
Shadow Arcanine,Fire Fang,Flamethrower,45,1.2715171778588046,1.2369725208286175,1.2702739228855255,1.2595235440480421,1.2651843013480848,1.2502875840524166,1.2745631579859347,1.2414552076551832,1.2397703862565201,1.23769397185845,1.2473675913615543,1.2778124035694878,1.2787203832277807,1.3170388323054574,1.2658269936850624,1.3194369859697646,1.2319988487362457,1.234265320312754,1.3040875066112465,1.2777741938477079
Mega Charizard X,Fire Spin,Blast Burn,35,1.2998735125354657,1.2456810704642094,1.275223217904826,1.2544121128218557,1.2711542457133447,1.2351827132829896,1.269848845278261,1.2438618096485212,1.2544997197398267,1.2474544697564403,1.229444683919499,1.2843743346248098,1.333715939675119,1.3023751401200272,1.2718503717135952,1.3244477559851195,1.2286800057302687,1.2162856851849766,1.2903303701104947,1.2564880794312805
Shadow Metagross,Bullet Punch,Meteor Mash,45,0.9757887405767046,0.9695693681950629,0.9484122999020946,0.9614502460105138,0.9812479896440232,0.9838883527939617,1.0156933074904058,0.9950604693148241,1.0154741891769086,0.9905802289656345,1.000480001382714,1.0514741175476674,1.0091078847188397,1.0431466198586121,1.0413835703505192,1.064881939246699,0.9837268939345575,0.9990404227657751,1.018628757916374,1.0228222212108666
Shadow Moltres,Fire Spin,Overheat,40,1.2024613978287957,1.1635643031074765,1.223594709370849,1.1663146814335335,1.1563975798019106,1.15555698732794,1.1553557239361452,1.125975318849082,1.1975776691699487,1.1734427126836573,1.200988863938121,1.2065777547855234,1.2808025095605504,1.2107650099259093,1.203305514271711,1.2267176673963271,1.1675001731257078,1.1591017261397794,1.1915574660357577,1.1906369728732336
