Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Blaziken,Fire Spin,Blaze Kick,30,1.538947654517101,1.3501401960519475,1.5879482910220193,1.393515848814223,1.3475047103672015,1.3165944933159728,1.4655939211361646,1.3320034787286796,1.3511178588545423,1.3216629490414915,1.3592861381888444,1.3624161673822854,1.4037523333588755,1.3671929149626465,1.3786333150620025,1.3756975865546324,1.4144239675999457,1.3530611318961734,1.4332753473085988,1.3705100192692703
Mega Scizor,Bullet Punch or Fury Cutter,Iron Head,35,1.4498817356179117,1.440460691337156,1.4108064031329703,1.4338904083961612,1.4134330196658855,1.4264826412899767,1.4483027170554243,1.4224156453677046,1.4585402800911014,1.4537867763692887,1.4763841256696215,1.5488298411115708,1.4618634956421586,1.5331071927095716,1.5361678937872572,1.597617698042874,1.4311604920602647,1.4799371628180726,1.4529880182344472,1.5020420300734938
Shadow Blaziken,Fire Spin,Overheat,35,1.8012641397946787,1.3641920415258937,1.7059565100805067,1.446972056448344,1.2841444651778202,1.2796603398721613,1.5821860377230827,1.2818052836079763,1.3277293431110124,1.308547195601876,1.2946972027906385,1.304741799783921,1.380236341704065,1.3295793041831012,1.3596209288487353,1.3513863090626725,1.4023661888265568,1.3749437477128315,1.4459680565785713,1.3135430801404568
Shadow Blaziken,Fire Spin,Blast Burn,35,1.5616414990663774,1.262596194280854,1.644963313565188,1.3654106099439383,1.2390360390224644,1.1965529478717907,1.3919183917975935,1.2035436660486476,1.2448783539346673,1.201345741959163,1.242223240053288,1.2250247674157508,1.2537635113624603,1.2289542681409518,1.2385787952130969,1.2432526917088569,1.2858266852699756,1.2581192700645196,1.3016755560406137,1.2341157985479783
Shadow Blaziken,Counter,Blast Burn,35,1.5413438886868913,1.239811890649667,1.956570694504206,1.5688332803272655,1.215722358131303,1.1733851219613225,1.362181780076027,1.1786544185052523,1.2126027610851882,1.1706639219094417,1.2269563948953421,1.2171148393064437,1.2384554921915918,1.2143787834382276,1.2349932287428833,1.2413024027131137,1.4472832170606806,1.4246939089136363,1.28502060587958,1.2037248325261392
Shadow Blaziken,Counter,Overheat,35,1.7546216673099198,1.3326381232038207,2.1554006697472543,1.7564014243042172,1.258444096228657,1.2515398930586255,1.5335627181940974,1.2456496501055747,1.2717427063669429,1.252976193970567,1.283229200175998,1.2834697596148903,1.3571753698418254,1.30280635036998,1.3206862998011353,1.3281074545041878,1.680082914040861,1.6376881630741744,1.4202393171758967,1.2743137007116951
Shadow Blaziken,Counter,Blaze Kick,35,1.4395765935366056,1.2736768108143524,1.7911815364276404,1.5936504966980338,1.225884389954029,1.2329608429926053,1.3475863019282355,1.2271493485222416,1.233169889325997,1.2167712055508186,1.2580977641307622,1.2739256067141487,1.2899843823935777,1.2830689189093112,1.2940524831056437,1.3125041488110452,1.5224555341248287,1.5234849142234892,1.3250040098286093,1.2586430033019782
Shadow Blaziken,Fire Spin,Blaze Kick,35,1.4665713327303418,1.2821402204779697,1.508100100399728,1.348019181960476,1.2383885172291949,1.2447055297781877,1.3731716665140183,1.2488822438790135,1.2658227238752784,1.2536691539805986,1.2722498111060832,1.285868112635755,1.3073370203629258,1.3004155215466882,1.2995172274534228,1.3269536378563953,1.3005566289996309,1.2851757247148696,1.3470017307436544,1.285376387036169
Mega Alakazam,Counter,Fire Punch,45,1.237254092833581,1.2217992518392227,1.4624603545794124,1.4512168322326777,1.2246435569860166,1.1921722162054993,1.2434719378977621,1.208194939175881,1.2637619251466992,1.2336630157309671,1.2561608173746344,1.2620548290761489,1.3251532571438502,1.2822885915636486,1.2998726836715915,1.2803556827879692,1.3929119167777768,1.428456415531538,1.2302167428349997,1.2408053414893765
Blaziken,Counter or Fire Spin,Blast Burn,35,1.7200524290074743,1.4449683274188205,1.9003083331774329,1.5910361127220798,1.3994830755214027,1.3619689449662764,1.4677455593813868,1.378400238626265,1.4067499142312287,1.356567257862607,1.4139972813579917,1.4141447162076568,1.4774681308403095,1.4596486710025207,1.4317820191821147,1.4482835747626681,1.4841586079749762,1.4765715477485637,1.4402073799404294,1.4222477000374252
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,40,1.340556915374287,1.3055889947108348,1.3548517513828346,1.3313200506363845,1.2935610463480023,1.2917229129157781,1.3359896182722368,1.2813908643766134,1.3029120523146063,1.2854361221666657,1.320818679868803,1.329320582366911,1.3637797135429217,1.3373912672538213,1.348919003681163,1.3682480112537616,1.2890686602643673,1.2752468247640039,1.3474058065853096,1.3339885665757478
Primal Groudon,Mud Shot,Fire Punch,40,1.2578554759881335,1.2846208072241407,1.2494179684333275,1.2917923908230906,1.230977728944503,1.2698754325236825,1.2884340522650928,1.3065619747561135,1.2281873166479709,1.2911830407723957,1.300110900210819,1.3628609751202385,1.3027579413198258,1.38628857892421,1.3433188341910525,1.4519850098239868,1.2220879076789724,1.30637906018268,1.2834539448539208,1.3635993282045824
Mega Alakazam,Counter,Fire Punch,40,1.298389476441671,1.276016275182737,1.5264074732319357,1.5131243771787053,1.3191397146444848,1.257134407031467,1.2655192885438764,1.2238988495276568,1.324945644554957,1.27841728966926,1.2903209877941229,1.2842961099698589,1.3861103628387863,1.3149400535122235,1.3635101783501822,1.3390157370613736,1.4626551813687412,1.4993527002962803,1.2876339536821717,1.2859608720261546
Shadow Ho-Oh,Incinerate or Steel Wing,Sacred Fire+,45,1.1606400632095772,1.1797449902590886,1.1497447601943138,1.1976161487662058,1.1308524652552014,1.169338069767536,1.1002638338461486,1.156018010837197,1.1468556851486529,1.180708988966414,1.1635258399875197,1.237455186585172,1.2256481069675695,1.2575113419213053,1.159504742264927,1.2558274348999376,1.1093109896804842,1.1751744425288073,1.1424094496747732,1.1932943735587265
Dialga,Metal Claw,Iron Head,30,1.4998084730765724,1.4894596539557166,1.479328257222856,1.493377733709988,1.5533918851731663,1.4997046286359503,1.4981546070464058,1.462047532173702,1.5142080284266237,1.5119506836023495,1.528163632270218,1.5904645784607443,1.576889576333915,1.5689849819769504,1.5583573053457354,1.6255357680179634,1.5065321923133845,1.5011155531853324,1.5406419216424259,1.5561802394762436
