Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Calyrex (Ice Rider),Calyrex (Ice Rider),Glastrier,Glastrier,Regice,Regice,Mega Glalie,Mega Glalie,Cryogonal,Cryogonal,Glaceon,Glaceon,Glalie,Glalie,Jynx,Jynx,Piloswine,Piloswine
(Boss weights),,,,12.5,0.0,12.5,0.0,12.5,0.0,12.5,0.0,35.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Aggron,Iron Tail,Heavy Slam,35,1.5434957069027653,1.598007453009998,1.4529754321477553,1.5261951504772249,1.5408815648708865,1.6104252750596249,1.5317877002520404,1.566308889367292,1.5253877338177904,1.6007266855066613,1.576194754776476,1.646786580093919,1.569613225035149,1.6543383452586709,1.5550246195165622,1.633471351835273,1.5041709700484627,1.5565833229295531,1.5476699498612916,1.6147082028963378
Ho-Oh,Hidden Power Fire or Incinerate,Sacred Fire++,35,1.3981582965822412,1.5027735154354587,1.366627681126125,1.4590390760426892,1.375042939727345,1.4826700167832991,1.3576249913960636,1.4423990264005377,1.4145009083568834,1.506173462521868,1.3980707613541967,1.5115618695644804,1.397610753400736,1.5175745744042555,1.4034131602506714,1.5101499552372426,1.3360156170198276,1.4457773893699848,1.3770965361024154,1.4586546537374971
Entei,Fire Fang or Fire Spin,Overheat,35,1.4667048110182683,1.4810646732527595,1.4168546326657059,1.4697722826730157,1.4813450194823679,1.5365375366827956,1.4632974384434123,1.480637115989848,1.4640862602610685,1.5205305477055577,1.4812924881753606,1.5441877023750996,1.4866433234527658,1.5266909651015967,1.504610564010743,1.5593777976723366,1.4139077733262209,1.4600892076859344,1.508042554274516,1.522244279860528
