Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
(Boss weights),,,,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Keldeo,Low Kick,Sacred Sword,35,1.2591611462625347,1.3508171931949486,1.2527888648200212,1.3390736046458036,1.2276836102741273,1.3306270672411593,1.2291841855186607,1.321959467928252,1.318797011502007,1.416985698384322,1.2738558240031428,1.35730347672363,1.2763018497324383,1.3576664913854433,1.2367554299991066,1.3098632596543487,1.3077411836024813,1.388240805125886,1.2264349741148137,1.3080317355948046,1.2684510359313834,1.355121915734245,1.2275055510698425,1.3333964136724532,1.2412548145876368,1.3330499454271565,1.2667960737111568,1.356951531693424,1.2161116307676538,1.2954781338492882,1.2968110542953604,1.3948435974817985,1.3076880035810206,1.4133840644583706,1.295258456134993,1.3886386195311904,1.3320077191261608,1.419114432846801
Heatran,Fire Spin,Flamethrower,30,1.5304009243812997,1.5892113407615742,1.5129612388809512,1.5723390330460432,1.5194421270623337,1.6048229901753903,1.5442979127783363,1.6177984699632875,1.592340709009343,1.6611883158498328,1.5840974268316637,1.6541693184050286,1.5763594605462588,1.624953602029138,1.641975200160509,1.579628514982565,1.5575389782266549,1.6108142190496104,1.5895880947948395,1.6177983926230188,1.5328147235470362,1.5932019986633141,1.5340970259722784,1.6111727896649173,1.5556034132833008,1.5697720569000821,1.5643362096733178,1.633198840422466,1.5751188447394386,1.588137308919442,1.5438938988241826,1.6238011229817224,1.55661369740376,1.627047896150403,1.5660456593112928,1.6260721284772595,1.5991278666851472,1.6230209077436484
Mega Charizard Y,Fire Spin,Blast Burn,35,1.1113251570667984,1.1181409830096636,1.0934746739180532,1.1068184541641701,1.0459155731349437,1.0969682098795726,1.0888510595629575,1.1174144795163317,1.0930616925827232,1.1343517050629068,1.0926513455116873,1.1208359850716951,1.0738791023539236,1.1127045377215503,1.0810922825254419,1.0985344750573718,1.091764770717744,1.1276625058554461,1.0615421787919717,1.0752670709535332,1.2370048238893914,1.1735918198475086,1.0705364352038758,1.1147683689947518,1.0567422267524198,1.0957527895292303,1.0938681404377235,1.127943445165884,1.0575580128903297,1.0872724011122075,1.1036743173900974,1.139235405267447,1.0980752014324082,1.1323075201432409,1.0757043597770481,1.131696826245196,1.0995170215261267,1.1306920559103557
