Attacker,Fast Move,Charged Move,Level,Arceus (Ice),Arceus (Ice),Arceus (Steel),Arceus (Steel),Glastrier,Glastrier,Melmetal,Melmetal,Meltan,Meltan,Zamazenta (Crowned Shield),Zamazenta (Crowned Shield),Cobalion,Cobalion,Regice,Regice,Registeel,Registeel,Mega Lucario,Mega Lucario,Mega Aggron,Mega Aggron,Mega Glalie,Mega Glalie,Mega Steelix,Mega Steelix,Cryogonal,Cryogonal,Excadrill,Excadrill,Glaceon,Glaceon,Glalie,Glalie,Piloswine,Piloswine,Stunfisk (Galarian),Stunfisk (Galarian)
(Boss weights),,,,3.125,0.0,3.125,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,6.25,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Lopunny,Double Kick,Focus Blast,35,1.4956951735002249,1.4007558976742351,1.5036627353159202,1.3815275421546451,1.4229022813161682,1.3698754434532425,1.4841710879857237,1.3527774688401273,1.4205937672268667,1.4288085942487172,1.6434027976523322,1.464225802332698,1.43785349888981,1.4248505835681167,1.4714335811184902,1.357170133431028,1.411825268339896,1.3598742931017875,2.1588422487759154,1.6183882505369362,1.4157596527446263,1.3851961847433996,1.3989370308107725,1.3659448783304524,1.415893035068617,1.4082896345221465,1.4128871617547294,1.4225190752683587,1.41525139823284,1.3681131211076594,1.595481400670996,1.4535717236797512,1.4335627783181444,1.4551807172404911,1.3799714252764574,1.3578372597251047,1.3917008137479683,1.4094087979106258
Virizion,Double Kick,Sacred Sword,35,1.5216418767454245,1.5182302499445302,1.5089789024907774,1.5147005224644325,1.5805788928989444,1.582508124215326,1.4880546027637562,1.5185454007749841,1.5936888113842869,1.6628120041893928,1.5750903270972487,1.623163407728988,1.5303324656190664,1.55751729986825,1.5503663969331738,1.558609812226213,1.552530187875644,1.5831973790947291,1.5015727928790072,1.514320204330888,1.467756339528752,1.502596132263072,1.542487771052212,1.5662727839075479,1.4802210663365931,1.5170379139617058,1.641583719974211,1.6875220053404343,1.4593105811363711,1.536599536152352,1.7331947208224483,1.6834433622802811,1.6286417617431723,1.6913305848164049,1.5529488699352996,1.6028147892199902,1.584691425394847,1.6558559016473362
Darmanitan,Fire Fang,Overheat,50,1.2390717410597072,1.2078341924500653,1.235951065580953,1.1850973481343,1.2131128163410916,1.2016626265547437,1.2400684619876094,1.180933014172655,1.2279759254303662,1.2461910227364117,1.2107911711481647,1.204154870354308,1.2334083481276104,1.1989194427595875,1.2310559872336597,1.1767320826082543,1.2092663345275025,1.196812485275976,1.2380378379205093,1.2192920301776968,1.3489723656298114,1.2664344043324725,1.2001517890038917,1.1908356919256187,1.2973961115334045,1.2190218228695868,1.2287615219329266,1.24737437083165,1.294297885970675,1.2582974249374734,1.2087105323652578,1.2594938378786598,1.2148764737471185,1.2903044819878995,1.2454166885752804,1.2158253243542632,1.2712897903407627,1.2664680889337003
Mega Lopunny,Double Kick,Focus Blast,50,1.2679616426963676,1.1927512564101166,1.2513644948819047,1.1928245782714133,1.2125345879594063,1.189130137070893,1.2356875014218152,1.1895767034611409,1.2552878555457239,1.2715961450052296,1.3223968932586003,1.2998426815898274,1.2788499290381214,1.2609731125853134,1.2518028577393048,1.194745683975322,1.2631847527002265,1.2204180868459198,1.3929032596370023,1.3314470087767019,1.2265702841209072,1.2190602859861719,1.2269003741420481,1.2055975482694432,1.220716061303312,1.2286981777467336,1.2210085348313529,1.2363863546997893,1.2121382626062092,1.206504901493243,1.3544030669597964,1.3184016797814009,1.2308391708181277,1.3204096461496448,1.2082283008621906,1.245906550447179,1.211075747377984,1.2573798698562555
Volcanion,Incinerate,Overheat,35,1.49913554824703,1.513018155602131,1.4711989381932895,1.4834912814999992,1.3960741456991252,1.4708933243230038,1.4765473142224503,1.5160361810925105,1.4695504769695515,1.539070707092479,1.4675375904261645,1.5106956265217795,1.4544270828369306,1.4953337370454884,1.4531388182719067,1.471062728508165,1.438714521630244,1.4909392853785655,1.5249810460815094,1.5234159003165904,1.5710790397996897,1.5730014005292297,1.3988319479220943,1.4605362679207419,1.468596305160654,1.4578311180047663,1.4594591413257274,1.5339425717793158,1.6325625695095782,1.5927980091585676,1.4313450811649455,1.526468643527541,1.4551510246718613,1.5835534571570418,1.476025422534309,1.511853406852013,1.4663129012667833,1.543101848685128
Terrakion,Double Kick,Sacred Sword,35,1.1472413211149124,1.1671492736581703,1.1475321007919028,1.1538031108257212,1.1835944241318568,1.1928046552057112,1.1684581329100325,1.1747551318054401,1.2311956996817075,1.2610682878101227,1.1987927033845693,1.2090160664673588,1.1917623658541647,1.197682817857831,1.194730501667991,1.1961076772142447,1.1986007448180138,1.2248237236954949,1.3503243468818344,1.2191910882717303,1.1457476707902716,1.159377633895969,1.1852478652910161,1.1863828778997887,1.171835452789876,1.161160851857178,1.2263249952804458,1.252121638891451,1.2034346973497962,1.183202733319321,1.2493294698782427,1.2555737633691686,1.2324251395491101,1.2822061022004696,1.1878188255598627,1.2038562621150952,1.2308621087761056,1.2699465185471275
Shadow Magmortar,Fire Spin,Fire Blast or Fire Punch,35,1.4134154940112778,1.348000970294146,1.4087299137954934,1.3419695858795977,1.354867681826076,1.3596402382250656,1.3793180847326103,1.3754352650642914,1.3897639787048384,1.3579919307369992,1.3878696190102988,1.3994926888547417,1.369335079109737,1.38527243245251,1.4611046201246434,1.3558038907963037,1.4037183339193928,1.3620082466139096,1.4472653920019927,1.409645960466605,1.526855701228862,1.4595497440793657,1.3505796466068325,1.3329135105598322,1.3673523656422055,1.3443153453447285,1.386479114240627,1.38548820901151,1.454134791008334,1.4139626942833894,1.4068306686500054,1.374522999433595,1.4012596883433015,1.4030762216584034,1.4044910522276313,1.392460815247865,1.4473403067323067,1.4048603046462578
Darmanitan,Fire Fang,Overheat,35,1.381166619169691,1.3556314091289916,1.380844889969197,1.3527743919776403,1.3220552294721273,1.3252715804439128,1.3572535330530988,1.3528291597261013,1.3842692614504575,1.3873500359005255,1.3821019817804765,1.352061254232363,1.4017819140694379,1.377543445122823,1.43940402842722,1.3289744846473042,1.381708021590206,1.3396352503867412,1.4099000631433132,1.3928142253801161,1.6027049499065789,1.4626256603511125,1.3636462048169995,1.3604292594908634,1.4654610331580247,1.3783063008464131,1.373005178174159,1.3676869446328872,1.4281896338560984,1.4298397485224714,1.3967309671777477,1.3642844853260068,1.3831209870811487,1.4367335630565616,1.4051660510898563,1.3874981276420133,1.4640016008156753,1.4086471255797572
Mega Charizard Y,Fire Spin,Blast Burn,40,1.0297422476499956,1.0074054504780185,1.0160693177566065,0.9996742312738381,1.005470354169119,1.0118985749930132,1.0439859107580234,1.0238523738628638,1.0401690688261251,1.0629946731969548,1.024462770618046,1.016929098842457,1.0293980257462627,1.027164247434559,1.0144407671355853,0.9975896024298293,1.0099317733701447,1.0312815674369,0.9999999999999999,0.9913555274433073,1.2054723703720096,1.11323617095941,1.037923299118971,1.0400277043110753,1.0,1.002912112745501,1.0533287570668524,1.0765374310933913,1.0,1.0424723486179392,1.1024482592728055,1.0832455550648996,1.0482635412223877,1.1037912282507896,1.0420798262982014,1.0591160526142538,1.0568283896119308,1.0686204226440592
Reshiram,Fire Fang,Fusion Flare,35,1.182151725643876,1.1499200282096862,1.1719724453994615,1.139818682560713,1.2207048167336811,1.1909698006415432,1.1740240027703281,1.1488068757725196,1.164507146567624,1.2092382011182123,1.2354960175062413,1.1981614043739186,1.2079861918025594,1.1992212737824683,1.2332066765846739,1.1882769071329615,1.1992665550252004,1.2127115298246347,1.2038467168754328,1.1817268931523368,1.1971948316361534,1.1913321467299383,1.1800772001128084,1.181931707628642,1.1859986826156628,1.1648945322130002,1.2104414567427342,1.2450610964355036,1.2813081191654674,1.2063994714200739,1.292498651134903,1.2745737941778004,1.2288613357044988,1.2903661924467988,1.2401622224215478,1.2422776003241445,1.2392193416021988,1.2564167728901336
