Attacker,Fast Move,Charged Move,Level,"Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Ground), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Arceus (Rock), Tier 5","Groudon, Tier 5","Groudon, Tier 5","Groudon, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Regirock, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Terrakion, Tier 5","Boldore, Tier 3","Boldore, Tier 3","Boldore, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Claydol, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Donphan, Tier 3","Golem, Tier 3","Golem, Tier 3","Golem, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Golurk, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Graveler, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Hippowdon, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Marowak, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Nosepass, Tier 3","Onix, Tier 3","Onix, Tier 3","Onix, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Piloswine, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Rhydon, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Stunfisk, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3","Sudowoodo, Tier 3"
Shadow Cacturne,Sucker Punch,Grass Knot,45,1.422993570874073,1.2867039418475363,1.2410539660606847,1.4318008424871662,1.2872999841369936,1.245952434758353,1.4101364920879838,1.1471821256820829,1.317683709463497,1.3740616823407548,1.2300968590226262,1.1958566898477951,1.5531652932067246,1.4140270976225022,1.3884914046158179,1.3001130284355973,1.3160978255136155,1.1291713979547928,1.1322096171275633,1.1439170915146273,0.9939362113222874,1.385686346905831,1.3317062877343868,1.2369141228957343,1.4551213756696126,1.4055566383313385,1.265617066499889,1.2098905221388918,1.1364569741003785,1.0609534953017346,1.3856700366092145,1.4080251305712117,1.1868445764008848,1.2973085201745267,1.2951595708409318,1.138038067811712,1.2670479482478985,1.2777573584404087,1.110706418610217,1.2589115658153676,1.3475751099140079,1.0978768438535955,1.3726753288641114,1.4234593635481954,1.173965923115345,1.39081705807253,1.3234721723147407,1.1932306652126756,1.3779770099978652,1.3569993569776269,1.220940974019073,1.233465690385748,1.3107445463888125,1.0851817364142768,1.3309295701316577,1.3167362597799765,1.1452449721720597
Xurkitree,Spark or Thunder Shock,Power Whip,40,1.3634994883705869,1.3782803986751233,1.1620507334112473,1.234803284745988,1.2286367481869211,1.068944017796882,1.478100528871585,1.2044309157453283,1.3747474764335237,1.131431197977187,1.133258444168145,0.9774424764180956,1.3112712246394376,1.1773224634529496,1.1415464792642134,1.229342613694885,1.1971296440113313,1.0580072603894939,1.353748982357916,1.3698180111501133,1.167893546926113,1.357963240230953,1.3253559156075516,1.1614923143411686,1.4272275952722793,1.4169808219070184,1.2250638629606778,1.2990867511518613,1.3382604150256023,1.2124952400138957,1.4043774713753638,1.41338184155789,1.1485622960995707,1.3671764890895957,1.3582726518344335,1.1766738463798374,1.346571627757794,1.3463901636774196,1.1670659356097886,1.1982460006515543,1.2861751777386061,1.0474330819040447,1.3854750623641972,1.4597033315136352,1.1911747966991315,1.3402110017841775,1.3567080567493772,1.1237101992848846,1.3865670603652833,1.3541504530720019,1.1640632999430898,1.4116617081991059,1.4890685449780539,1.1918754819951096,1.2045128303944819,1.2108585993527896,1.0642828532958455
Shadow Cacturne,Sucker Punch,Grass Knot,30,1.9837359514971908,1.5025654384719944,1.74446795370393,1.9934775996964387,1.5093019315590608,1.751585696731051,1.709486137841306,1.3513279098412385,1.464963889253043,1.6190128585008003,1.4734777800267265,1.4038836950133935,2.0232446085755056,1.671426588632,1.772685812482838,1.5311729282816693,1.5120795514882925,1.3662748672835023,1.3125104988396286,1.3003067609377712,1.1650539461408254,1.7424800086212993,1.5863325740318905,1.531314463007478,1.7453867621656045,1.6543330947806392,1.498992897808195,1.4562160904140884,1.276487595401325,1.2949418125387373,1.622168117733457,1.625867801628152,1.3954221068418031,1.5230405712931498,1.502870060041209,1.3639948116825629,1.5009446205102124,1.4781215741175875,1.326674651793075,1.4087575169289812,1.4651826420124172,1.2281225700690992,1.6109947300700804,1.6461291233622972,1.3678816698027783,1.6607395446238598,1.5395349036932533,1.4429460380464494,1.6443695332245443,1.5664985149660946,1.4014986442302284,1.4372242144218,1.4827985332161076,1.2621086452836618,1.5407691967805694,1.5249677822461074,1.3415255782406896
Roserade,Razor Leaf,Grass Knot,50,1.2869037453015415,1.2594615457893648,1.0780211181834591,1.2897578738701991,1.2633458495880996,1.0765811862658479,1.1938348233834095,1.055790989559399,1.077625340947742,1.137356395830513,1.1434339771027693,0.9640742719778767,1.170163656289343,1.1636282029712108,0.9843104618462999,1.2137260493605526,1.2332531417052952,1.0208163871677056,1.2045846059642795,1.2093558314093813,1.0186975261864433,1.1635138312973166,1.1926010882538867,0.9802479660510411,1.2451677688459024,1.2281377591674638,1.0411976556907152,1.161173514505669,1.1766072506335494,0.9818190996950309,1.1970160789205517,1.219570403218911,1.0088261114605181,1.211490855685429,1.2286180125379957,1.0117315374267188,1.1801613409559355,1.229499637033971,0.989843085828496,1.1877817099267056,1.2475874835044896,0.9976057660768226,1.2019066716811873,1.2491782342385194,1.026864323484633,1.2229620782731052,1.2197972271761024,1.020906555822936,1.1636635754672873,1.1613645170485811,0.9737222264609647,1.2188603568409133,1.2998877805696696,1.0180919659325434,1.1863981500253866,1.2219754671315104,1.0031650683140803
Sceptile,Bullet Seed or Fury Cutter,Frenzy Plant,50,1.322201582178214,1.2981071321500046,1.1042279925964773,1.3276584284028246,1.301785528457187,1.106627776328103,1.2878958902489064,1.111768928198414,1.0950895864012693,1.187943020295696,1.1825547297670456,1.0050681569959945,1.231871542206318,1.2199453051993325,1.0546561341863228,1.2542595807648125,1.2708927133443897,1.0770936451787656,1.198564038832368,1.2538427277993938,1.0220219502213774,1.2245764805174555,1.2478230293127883,1.0417588635883046,1.2759115971804895,1.3028915379537231,1.0857994573456218,1.1882121817972242,1.2169080798937426,1.0210560072221986,1.2447562338258447,1.2798491844414128,1.0400653257700383,1.2210057205536482,1.255840222835401,1.0333827604821695,1.2235792729546193,1.2801399454623188,1.0266293993773723,1.2444521006546239,1.3005946323239204,1.0430133840958318,1.267661778866565,1.3276591602931418,1.0403134061796298,1.2676883121243072,1.2888488024188771,1.0520175298714576,1.1910845969003478,1.1966298584822082,0.9970373776095407,1.2421469180156905,1.325308535932999,1.0499508765771892,1.2343275123108588,1.2724829994421811,1.0338132884058038
Zarude,Vine Whip,Power Whip,50,1.11151561052076,1.1440530348440179,0.9125185670437176,1.1128763988540555,1.1480105189400938,0.9144415551468258,0.9629979921377811,0.9633623887641207,0.8230835975251675,1.0333466903544326,1.0513988131135736,0.8767665593339283,1.077378663465002,1.0853818614938295,0.8989502514002965,1.1131191203536357,1.1681992665848706,0.9118216848401788,1.089638697504775,1.1476488089065664,0.9360209582669834,1.1007702508879604,1.155953307220079,0.9176584284126624,1.1142595580212111,1.169877003184553,0.9276172700682747,1.0641373402359458,1.1105854627633909,0.8779988293239277,1.1185243940847756,1.1610370910764325,0.933361994539617,1.096674830542269,1.1539142432396874,0.9130970847035312,1.123851128262008,1.1854168315508173,0.9397024095112626,1.1504656928653683,1.211858911217187,0.9457994111609024,1.164985132570879,1.236010963799953,0.9732280799849972,1.1101677431393289,1.1593088454101197,0.9202755647699785,1.0164669410493947,1.0819020705592033,0.8603054387799484,1.1732333033519016,1.2363630948262623,0.9654129084407573,1.1068793099570444,1.1597439105294751,0.9230717720155449
Mega Abomasnow,Razor Leaf,Energy Ball,45,1.4721232043019674,1.4466090607741504,1.2274897735668175,1.4644118019442298,1.4485558530112692,1.2208097825631314,1.4794691348053948,1.2600954321979816,1.268110189191356,1.3939578084754347,1.3581365098014733,1.1834215040528677,1.4879350490379872,1.4497942468748457,1.2690449188344755,1.4860151466017728,1.4664747041393011,1.2688313014966386,1.4099418468541625,1.4482377298550315,1.1648559635761877,1.4163753583412737,1.4210099733769237,1.1858508478166594,1.4974659991114423,1.463107915258967,1.246177123100682,1.351102075239707,1.3638312439996167,1.1395394464137643,1.4480884616118643,1.4681973824621883,1.1913844726598617,1.4184279012677734,1.4375508782043502,1.2032616661577933,1.399110477619367,1.4508027475600618,1.1661279268751257,1.4345450000902895,1.4951049144562185,1.190029451760061,1.4345090918050256,1.4773469982413203,1.2101329017641977,1.3905315818556112,1.4288275937181178,1.178293618905841,1.377711691118768,1.371669138529971,1.158874981986691,1.4137517571200275,1.4899674141774484,1.2034361083314067,1.4754711991065963,1.4676944338855322,1.2285047245527598
Leafeon,Razor Leaf,Leaf Blade,35,1.5196098094215948,1.5081678420980766,1.2869205060652187,1.5255861674583093,1.5103057676214962,1.2915870220428531,1.4626955052741855,1.3233403315119068,1.2123836131770171,1.4102710346252991,1.4162103869515583,1.1821790122966003,1.4768790532656677,1.4702047496508972,1.2390048807569902,1.465413801977915,1.5026236534965611,1.2563868788050958,1.4714583559534804,1.5090144185433578,1.2394396953996416,1.4547262904081746,1.4711556429700672,1.2258994500218308,1.4877082742355416,1.5191862298322385,1.246758585390295,1.4258675139725405,1.4550027498381126,1.2018434991879106,1.4620456100804349,1.5412249643940805,1.2153618207286023,1.4603257694463705,1.5171087293601497,1.2241429938367192,1.473681611576742,1.5415172169347793,1.2318609421666553,1.4774959034100588,1.553165325413582,1.2498074031439705,1.5127634277736974,1.5722328184626122,1.2503356192569808,1.4873152021648257,1.5178030315598974,1.2378611417604315,1.4110822095154796,1.4185136846093853,1.181931895893528,1.4831707304725534,1.5734247513875552,1.2511184817807957,1.4825864615407192,1.533423676503922,1.2443906493781602
Mega Abomasnow,Razor Leaf,Energy Ball,30,1.7608744686979958,1.685897228299972,1.4509423336929796,1.757641395919944,1.6914388978445591,1.4476941635077623,1.6403975817999594,1.4063415712907503,1.3890261831858735,1.5998203558505804,1.5431546526626045,1.3457151575972208,1.8776913765839827,1.7089603979429868,1.5834422384674764,1.6815052616943862,1.6694062901067792,1.4306217432195714,1.5720172907096859,1.5990198020657362,1.3489983469003592,1.6447438033484563,1.618566160881298,1.351553555934198,1.7200224898477794,1.6767699794709183,1.4341290931838702,1.6116748968880519,1.5787766890290609,1.3542981051967888,1.654775932048088,1.6450054779581862,1.3963446422269548,1.6216260495238128,1.633226170602075,1.382029120986709,1.6255403876863443,1.6476182650110216,1.3318304734690198,1.618820936550881,1.685416074440697,1.3357775736666464,1.6326654613627047,1.6718898993722549,1.3735628134881375,1.6298000397785128,1.6167189987681934,1.3489102580743257,1.561935515289279,1.5631056831061378,1.3360496667240795,1.5851230279333568,1.6590952076396963,1.3405568783760753,1.7098019016889137,1.671969429542775,1.409435865893111
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,35,1.4522152994902267,1.3624536924719932,1.2033708452481533,1.45686050875395,1.3634561043515843,1.2095361536581095,1.3058412899041376,1.1918005965507468,1.2618236839916848,1.4134177130072583,1.3107603479804082,1.1917466159667947,1.4891976814291,1.398363846131402,1.2848112991201328,1.3636014437796962,1.3715050400248057,1.1572307906500616,1.2653851959682565,1.3072786004325692,1.1132700029799465,1.3859382458692384,1.395370347396149,1.1489450795822225,1.379611741174454,1.3685536366595836,1.1589288083963607,1.258131823094521,1.291847155202481,1.1007279484975638,1.3424299642425888,1.3539752422814484,1.1248031822079627,1.3527860922954538,1.3487131346113719,1.1436561751154968,1.3408344545455577,1.3558601499653695,1.1151252507343576,1.3264228069758288,1.4148621938002783,1.1027504260962864,1.3383331252999602,1.4068007569021095,1.098654448286331,1.403125755728311,1.4003451635047175,1.1710952305016484,1.3381627594055905,1.3258098373740783,1.1300631463782687,1.3072738440976797,1.3944374600271014,1.1139366407408844,1.3808633799745702,1.3709083771583581,1.1480945545415986
