Attacker,Fast Move,Charged Move,Level,Arceus (Fire),Arceus (Fire),Arceus (Ground),Arceus (Ground),Arceus (Rock),Arceus (Rock),Victini,Victini,Entei,Entei,Groudon,Groudon,Regirock,Regirock,Terrakion,Terrakion,Blacephalon,Blacephalon,Mega Blaziken,Mega Blaziken,Mega Camerupt,Mega Camerupt,Mega Houndoom,Mega Houndoom,Mega Aerodactyl,Mega Aerodactyl,Mega Steelix,Mega Steelix,Aerodactyl,Aerodactyl,Arcanine,Arcanine,Blaziken,Blaziken,Boldore,Boldore,Camerupt,Camerupt,Claydol,Claydol,Combusken,Combusken,Donphan,Donphan,Excadrill,Excadrill,Flareon,Flareon,Golem,Golem,Golurk,Golurk,Graveler,Graveler,Hippowdon,Hippowdon,Lampent,Lampent,Magcargo,Magcargo,Magmar,Magmar,Marowak,Marowak,Marowak (Alola),Marowak (Alola),Monferno,Monferno,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Ninetales,Ninetales,Nosepass,Nosepass,Onix,Onix,Piloswine,Piloswine,Rhydon,Rhydon,Shuckle,Shuckle,Stunfisk,Stunfisk,Stunfisk (Galarian),Stunfisk (Galarian),Sudowoodo,Sudowoodo,Torracat,Torracat,Typhlosion,Typhlosion
(Boss weights),,,,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.142857142857143,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0,0.45454545454545453,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyogre,Waterfall,Surf,40,1.122867747442167,1.103558567657982,1.1197549975380885,1.1011167484454618,1.1219354721906132,1.1032601856284312,1.1402250007771362,1.1506163613980092,1.1232395503369803,1.138400500704799,1.203364856090917,1.0750871397217294,1.156579929866016,1.1362893484924959,1.1503132310863957,1.1563810010140405,1.1624909726000276,1.144059893213838,1.162623650743299,1.1565659331107,1.0988454286761022,1.0742030604691222,1.1573146427650154,1.1758636149357868,1.147192167951842,1.1520830199778729,1.1338293234421604,1.1375783650820828,1.1336887051987543,1.1882511784143226,1.1435890042275803,1.1824471788146682,1.1391691949262404,1.1569100763625315,1.164935261139332,1.2111625733697116,1.1348861438570639,1.1659688829967716,1.1026703179271733,1.1546517618437948,1.1432074041171425,1.2039907342669944,1.1463204704576373,1.186722968411414,1.1725408704273232,1.1830024783953657,1.12969907335668,1.1691622566890434,1.1192772812790417,1.1540908867141346,1.1269880140043955,1.1603877359137258,1.1020993388194538,1.1520041434358756,1.1444767766763528,1.1899888879212164,1.1356195826903868,1.1848740704872311,1.1419741833152406,1.177400470153012,1.125617568550905,1.1808451670706503,1.1364764377940773,1.1823589921763273,1.1380018348400054,1.1954952517673523,1.1473440475595431,1.2013754245886359,1.1366051719437298,1.1799569217023063,1.1151937945043835,1.1541154468010812,1.136101021459574,1.1815996462990213,1.1338454173501757,1.2011283805779136,1.138725447448445,1.1838816496658489,1.141927198234512,1.1940175420191539,1.1291966030200904,1.154594508840849,1.117632212339192,1.1680111108643674,1.111340979207283,1.1734229248987504,1.1073429446535261,1.149996983638426,1.1406063128909978,1.1848926004698384,1.130292602835757,1.1824120077560865,1.112170379796743,1.132435492261545
Kyogre,Waterfall,Hydro Pump,40,1.1561247916107078,1.1361833958963683,1.1530136069864956,1.1285526876019318,1.156506020738939,1.1345653479277302,1.1591724132894974,1.1764487171627076,1.1425662820726072,1.1623563235835117,1.2827167112494466,1.1016345393846585,1.185418406714157,1.1675746178265547,1.2003300063070028,1.1917457623818228,1.202858819494784,1.191742582753472,1.1981393388238124,1.2003147904505271,1.1383178737511077,1.1046482561965711,1.1833756583020612,1.2116375229728285,1.177149952704216,1.1870188949164553,1.1613805652878688,1.1692439562478207,1.1503919054582674,1.2043166864689556,1.1728811994501496,1.2115489711923453,1.15560006959653,1.174146486236519,1.1885831007341456,1.23503998312721,1.1505120527188297,1.1965914654244747,1.1193126430660059,1.1709797800201391,1.1489448110453593,1.217599441749497,1.1661545647382836,1.2184763959729095,1.205694808533377,1.2232049703692316,1.1616890774913884,1.1957331170485288,1.1355584556105405,1.1723126230442527,1.151403697776544,1.1783806253908797,1.1290237774394583,1.177108807245517,1.1608672883796594,1.2125378609901447,1.146432810144891,1.1919687769634784,1.1484055581199122,1.1810185870162102,1.1369478791328462,1.1877522646976282,1.1605713189908382,1.208465025147467,1.1525734711172875,1.2163841543064293,1.1686284014614343,1.2351513716923033,1.1507370108995227,1.2071493666929678,1.131545614948591,1.1713196480171886,1.152971075289196,1.205785976710279,1.1437576515794647,1.2183010334020565,1.1366870408275265,1.1940618725461165,1.1521123858744289,1.2158893926419565,1.143705048470846,1.1830180113581164,1.1248781466215012,1.1656474257904386,1.1205513014297777,1.19023794813689,1.1187173294654318,1.158525488869319,1.162924027491543,1.2047041275185413,1.146474300638917,1.2182787518408664,1.136190352221837,1.148510522190167
Kyogre,Waterfall,Origin Pulse,40,1.0760637454798114,1.0430048903500497,1.0719711118033652,1.0354948787020453,1.0746458120005828,1.0401033077544446,1.0778497577288015,1.0806895369298832,1.052755090519026,1.068467799606381,1.2260228187532514,1.0097767304135161,1.1002045340344857,1.0693331875721546,1.1105089134484252,1.0906227362247511,1.1158369781467752,1.0871050466118184,1.1196720681290067,1.1037173966487137,1.0576183235800989,1.013964008650622,1.109913109021155,1.1126950532319653,1.106433145821426,1.0882437387400938,1.07653596706047,1.0682090705095357,1.0729979473112918,1.1115585692782188,1.0813781173914647,1.1114453175350227,1.0705508081412005,1.0804670595543497,1.0967616359426324,1.1310385104976275,1.0810817696871577,1.1077272639140676,1.0361257262628039,1.0721631913801475,1.0711494590484154,1.1103376577625292,1.0841315546767145,1.1187534625998172,1.126115982967519,1.1229764534689257,1.0767081372118459,1.09444540106293,1.0636806708139157,1.0847806442618892,1.0712265863481685,1.0832915576716549,1.0432311583381966,1.0811198167325662,1.077909003755377,1.1189319127914255,1.072279172469595,1.090144725630386,1.0583122446892885,1.079031398743716,1.050847230149235,1.0925329460228783,1.069668071630409,1.1070768268722462,1.0667291897534046,1.1211988826373964,1.0884548395821863,1.139746106452585,1.0793675168232133,1.1098123393163357,1.053718962201002,1.0743895457159667,1.0817046961793944,1.113703111019662,1.0613482098974256,1.1234766734538864,1.040991269463107,1.1067271685410065,1.0666509998663083,1.1267969321349809,1.0834892022938432,1.092584112779209,1.028933486845814,1.0687410353779079,1.0408835067818276,1.0872056762889337,1.038561841782702,1.060202493801876,1.0727625861401282,1.1038495826303876,1.0733105241168854,1.121351656367425,1.0572957436574473,1.0563982394413463
