Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,4.166666666666667,0.0,2.0833333333333335,0.0,2.0833333333333335,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,1.3888888888888888,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,4.166666666666667,0.0,8.75,0.0,8.75,0.0,8.75,0.0,8.75,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Dragon Tail,Outrage,35,1.0530258546114366,1.0638037093948953,1.0397701288977923,1.0757664056334608,1.0689234368080698,1.1020938337710982,1.0486002085184238,1.0394197183784244,1.088612098213568,1.0373667411683363,1.0834095438584384,1.0238121942591907,1.0867284043416818,1.1394745997860942,1.1564839438175472,1.137047811070803,1.0934495965605462,1.157969632287267,1.0934495965605462,1.157969632287267,1.0640762665929793,1.1086458853662944,1.0374447036376349,1.0590780781369453,1.067416594854118,1.1027079742705899,1.110823599545446,1.0820674751765123,1.0932319055838786,1.0502424996624347,1.0301055663937864,1.0607398763833937,1.057656089798748,1.0816764307373106,1.0774455054911622,1.0865663634014127,1.092927954695268,1.1361382521699317,1.0918249637547657,1.1022782189749125,1.0839453021812806,1.0929851677411015,1.08973744634122,1.132534691025257
Zekrom,Dragon Breath,Outrage,50,1.102389620442858,1.1247012354173938,1.0868269289139805,1.1211011958963153,1.129423705551668,1.1764884845903436,1.1318757327556481,1.095796771615531,1.0991180395877218,1.1029710890643343,1.0341178703615832,1.0872617702123255,1.1554767130701462,1.2029225172133857,1.186663287346843,1.216233596743748,1.1295245015668287,1.2105681456923567,1.1295245015668287,1.2105681456923567,1.118893411697187,1.1783379919439692,1.0878207515731284,1.134923124170963,1.122493613812631,1.176176058722147,1.1739861025727008,1.140194489465154,1.1201148817061466,1.1081559442524478,1.0684558863748246,1.1144875745254983,1.104375774116689,1.1280688954763711,1.1221795840653248,1.1660434516623974,1.146288954049078,1.1854077977912645,1.0966845099996112,1.1340925544974643,1.120358806899614,1.1585764628519077,1.1520115803134672,1.2039632624538286
Tyrantrum,Rock Throw or Dragon Tail,Outrage,40,1.3522568821300323,1.375610554887499,1.3750318703332727,1.4076043626945103,1.36032685306317,1.4077381254204402,1.605770361986361,1.392426399892901,1.5082266726696791,1.385833561126208,1.6049915018074838,1.3908521487054277,1.4228780179800955,1.477688101609446,1.4910403891765935,1.4787764844734126,1.4634179572187658,1.5203763416443374,1.4634179572187658,1.5203763416443374,1.3905198159228833,1.4626457365741676,1.3657809447265075,1.40857722541313,1.437344192416595,1.4714314292748987,1.4628048212522589,1.436362450865329,1.4035019213855873,1.3741592797632298,1.3878443670574507,1.3999252465950736,1.3680614300222753,1.413908528796535,1.438255913999601,1.4168081577371898,1.424364931695453,1.4625258557145595,1.5100995980158165,1.4220806153265033,1.502941159939974,1.4680597786683003,1.4457921533393232,1.4870919436957173
