Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Mega Latias,Dragon Breath,Outrage,35,1.1353221979720678,1.0866808275904511,1.1823711887243378,1.1611896824822856,1.184710994191107,1.1698463130957346,1.1240725605063797,1.057003406914058,1.1066874700316551,1.0620717916785092,1.0412460467017928,1.0534890155944827,1.1690136353152751,1.190151222793722,1.2174096743931797,1.1640886163482593,1.2044700767134047,1.2357196220106637,1.2044700767134047,1.2357196220106637,1.1664836578166253,1.1487466086688667,1.114165109410956,1.0993925337826558,1.1331339494025152,1.13229239136914,1.1762225543963454,1.105950982056399,1.1006616163110416,1.0611463262858254,1.123718877279321,1.1083496881993276,1.1985732782961718,1.1501596396939566,1.1473841323383462,1.1472569296848438,1.1685552052086217,1.1492147110439712,1.202450761687169,1.1999617327293837,1.1317190398935115,1.1252147561984835,1.2212040602653498,1.2348887336838592
Shadow Dialga,Dragon Breath,Outrage,35,0.9886553623638306,0.9563836608763453,1.0054027432995165,0.9913782031100334,1.0031935124795635,0.9904435022862487,0.9889627846535473,0.9378975293099361,1.0934997711015115,0.9523161597993504,0.9271404363292848,0.9343405533593188,1.0127826533969333,1.0218528433983538,1.046141247332334,1.0208420114895878,1.055041365889224,1.0794132763552229,1.055041365889224,1.0794132763552229,1.0326117441899674,1.0132799036347049,0.9846730058363191,0.9719197237403457,1.0079287053251538,0.997271071829487,1.0292890400734356,0.9768099107588627,1.0111345645414205,0.9504357180654088,0.998305836120821,0.9783391364275904,0.9925662411178259,0.9763894580493419,1.1214670950071128,1.0353609649831228,1.1338730781013655,1.0469602094399793,1.065941034395951,1.0534632539866764,0.9910339344125862,0.9905301186962473,1.0383208003151596,1.0628583592962513
Shadow Dialga,Dragon Breath,Draco Meteor,35,1.0219756932298627,0.9651757120547805,1.0505002811243704,1.0302235282530967,1.0098980032180236,0.9948042376850028,1.0058395859561493,0.9666906360319617,1.1568562691065147,0.9845140409153335,0.9925128477683358,0.9754969809078887,1.0369993332231835,1.0388571944706353,1.1053001914246288,1.05445953624481,1.0891282562909348,1.1106311130627655,1.0891282562909348,1.1106311130627655,1.0588990602242083,1.05173841889467,1.0067424346639526,0.9952202937679848,1.053403685660489,1.0294320736415123,1.0981464064111741,1.0138620380362033,1.1186896786206408,0.9761245803967371,1.0253493452604094,0.9985076961018771,0.9873641145773637,0.9958773156979949,1.1808174738010577,1.0602618452895438,1.186493266092052,1.080361699598578,1.0865340073128118,1.099185033433912,1.0456211134379005,1.0272147419730988,1.0640071987994084,1.0904798676601484
Guzzlord,Snarl or Dragon Tail,Dragon Claw,30,1.6407884382422777,1.6486359853690566,1.6483178385062833,1.6892372875080846,1.6844676980337157,1.7248989329897382,1.7320886864382463,1.5512556661894128,1.8091019151535137,1.5837959397096568,1.8313115933310191,1.5811223284129359,1.6550226417200458,1.7750558542707677,1.8075597829493368,1.782679102246234,1.700406709600167,1.807653504385877,1.700406709600167,1.807653504385877,1.6315662185598427,1.6880914039495736,1.6273915872122418,1.6507343125599494,1.6382154467766,1.6882360701850334,1.7160535574788867,1.6574892235023324,1.6717376194908353,1.569786188462432,1.6407237050380594,1.6548039203012999,1.6617187651285465,1.6602753873038751,1.7872099104593984,1.730821340212648,1.690696082907438,1.735976088858769,1.7498891980574016,1.7501677266428017,1.6697560778109104,1.7084833204626022,1.781717441186411,1.8346542299095359
Shadow Haxorus,Dragon Tail,Outrage,50,1.0191819125120993,0.8767298674065102,0.9645884619253937,0.9030604447738844,0.9749310448772172,0.9280600625457079,1.0678561317519313,0.8648656360799645,1.1582887288648587,0.8817454540326273,1.163498978728291,0.8670140635130302,0.9228262141702034,0.9186670795635206,0.9658763045490836,0.9036938891052364,0.9098032476792886,0.9070795424054148,0.9098032476792886,0.9070795424054148,0.9421858353770176,0.8963819042124958,0.9725402393115454,0.8800886998055216,0.9322968099265811,0.9038321815210092,0.9314992842993943,0.8779535521403738,0.908143104295389,0.8295868256822175,1.0555078955792818,0.8739903008864451,1.017150701650539,0.9166168814822141,0.8834747738378002,0.8841212195531527,0.9350883249781817,0.9190304727854882,1.1038170916599996,0.9451816560483575,0.9513661749648181,0.9292347891880023,0.9250321541567595,0.9326106885378541
Zekrom,Dragon Breath,Outrage,40,1.1417643020729584,1.1067530320109582,1.1640691264756802,1.1763772463574225,1.1886468392357536,1.1830706364894272,1.278009968781155,1.0688437080042745,1.2135880543194553,1.0780546557518609,1.2652771946954462,1.1068339365169773,1.1715527647318422,1.22083587635233,1.2470342540142147,1.193072031351306,1.207617884374732,1.2416974213041567,1.207617884374732,1.2416974213041567,1.1647539308455523,1.1418575472325736,1.124075860959761,1.1233134403780123,1.1557370070442643,1.1556596301834159,1.2418929086356543,1.1506044416025696,1.1597219184108405,1.059820862569958,1.1123143966670292,1.1001148452503975,1.1631705168081585,1.158951271491368,1.136710914582503,1.1429539110011535,1.1694624636042463,1.1598800572442762,1.2302175408669267,1.2203610141453027,1.1730860337298468,1.1502707048197975,1.2226385618345743,1.2431763430217742
Shadow Zekrom,Dragon Breath,Outrage,35,1.0316655029307593,0.9896749398258786,1.073519743370946,1.0048664941783956,1.0392185486746688,1.0119914861664345,1.253045933496372,0.9827802458294691,1.1570594571959827,0.9776382991649002,1.2949821064655918,0.9551168468138601,1.084691073169633,1.0666619681317115,1.1272321313894262,1.054196905353211,1.0820255321945187,1.0784015220123064,1.0820255321945187,1.0784015220123064,1.0443712447016857,1.0260270709561707,1.0213750743200083,0.9915760513747153,1.0712690388762192,1.0290034006218494,1.0678026101928004,1.0051509649411674,1.0644188558466054,0.9512292599219407,1.2130192083813969,0.9881029850893809,1.0548771424638708,1.0030624757616151,1.0199872888859198,1.0211564551457364,1.0577185895736125,1.0392312023739276,1.2884319303907323,1.0805955925659423,1.0835691515111099,1.0379025350791002,1.087909299198404,1.071114520533074
Guzzlord,Snarl or Dragon Tail,Dragon Claw,50,1.389833639313669,1.4113807941490708,1.3968432230153314,1.4311214671624521,1.4714171205735973,1.5057129227898243,1.3361918428207005,1.3253037559686065,1.3961073154221169,1.3610707676018599,1.343412804689973,1.361947869121412,1.4221644714983321,1.4945050711295533,1.4928919093039767,1.5122517927435373,1.4557559565081228,1.5624001837846548,1.4557559565081228,1.5624001837846548,1.3837886397583852,1.451492003430291,1.387547282651063,1.4254682753470944,1.3814668818698668,1.4389020322446313,1.4578486433679578,1.4286201364299909,1.3456046724924082,1.3396290273061628,1.3765544346463106,1.4098297497103525,1.424974315816799,1.4429964217471105,1.4394768401945743,1.4804692222198326,1.4144281782029482,1.4636539592197113,1.481400168012625,1.5036143884833995,1.3804267031874045,1.4333123985111493,1.4765485624240142,1.5551707827803833
Giratina (Origin),Dragon Tail or Shadow Claw,Dragon Pulse,45,1.3448581954234635,1.326402037797358,1.3876067327546941,1.3720084639619377,1.352665215955684,1.3854189405221853,1.302201746744828,1.29708124174753,1.2929480823513841,1.2965158070136231,1.2660624154410394,1.28498804164261,1.3414028246265233,1.4060167979802431,1.381906108428746,1.4089532884860603,1.3907809883014601,1.4532000772896874,1.3907809883014601,1.4532000772896874,1.3569479682998824,1.393264830039288,1.3290135019641605,1.3275356492147519,1.3414116686598807,1.373967110092527,1.3615498722056036,1.3276162261194033,1.2789235845528768,1.2775237187095159,1.3547374869750382,1.3404202307094324,1.3298756508709595,1.3457798911294185,1.3563354471241904,1.3836471380089306,1.3692499946958228,1.3895534965978251,1.423844935201471,1.4177762367806652,1.3389493714294818,1.3592641025997987,1.401354693955612,1.465137854718763
Mega Charizard X,Dragon Breath,Dragon Claw,45,1.1508736617225614,1.1465595878791062,1.1526853571086775,1.1772810532752256,1.1982130942496272,1.2142083966045538,1.129184691693372,1.108256992984987,1.1201754490641198,1.1092485837584047,1.2213829106719791,1.1024488880848362,1.2340621746538563,1.2842079582434875,1.2617089092084186,1.2187316654148201,1.2570480815390557,1.2979367773485935,1.2570480815390557,1.2979367773485935,1.179191580476504,1.1855758154459697,1.1561885039130608,1.1641627510400772,1.179037759074404,1.203158393195755,1.2116744275044975,1.1619253875870184,1.1848131386202818,1.1101961470950432,1.138144819581939,1.1571846970668205,1.194888912963722,1.2023887467950378,1.225378027526105,1.2191727343400034,1.2054634887529696,1.2136811015146687,1.1832383195083134,1.200122788609977,1.1847952277116336,1.1905523139442755,1.2175989951534472,1.254000494450996
Guzzlord,Snarl or Dragon Tail,Dragon Claw,40,1.5143177075956282,1.5137288406339473,1.5013507275801576,1.5487248745267805,1.5321770539882729,1.5586016610507198,1.5118793966504334,1.4205906235085817,1.5953609002328037,1.4547151461370396,1.5083296472912133,1.4509148165043508,1.5250043052120974,1.6327592099966357,1.6040792043804697,1.6297228093285343,1.570693857477712,1.6807793011750172,1.570693857477712,1.6807793011750172,1.5004844921501563,1.5508676886455,1.477584870697282,1.5165782732554387,1.4920830705472719,1.5400353609648798,1.5928889711326426,1.5353025147193995,1.5174917267647348,1.4381973441253604,1.4755025271784799,1.5102356748229355,1.5285198452511606,1.5377509735914785,1.5493818545872342,1.5782100024296621,1.5260125274452323,1.575510663526357,1.5476352853221518,1.5763108151262504,1.5006986548561119,1.5449813054733021,1.5784599166048603,1.637924985083779
Haxorus,Dragon Tail,Dragon Claw,50,1.0652671667638836,1.0625337977416434,1.0566395318598618,1.0714605400649968,1.105339953527912,1.115162302317453,1.187663755994208,1.026655971657479,1.0977371052043488,1.025581358767463,1.1979376630406398,1.0229603347243634,1.1113986943000274,1.150463132573005,1.154332433579353,1.1042158628647525,1.1273940050426046,1.1438657829635694,1.1273940050426046,1.1438657829635694,1.0683690989471266,1.0763688583528588,1.0560193635226882,1.0662319149425574,1.075553684847641,1.0888379110561062,1.1127293436048717,1.0665688539172988,1.0740374891658573,1.0007802037958666,1.0569575158751825,1.0485946728127,1.0818535161555214,1.0763443700741453,1.055788796008582,1.0625990796567724,1.0931678027666407,1.099676715958968,1.1724204266063072,1.121398813932009,1.1150599590856045,1.1037476776603157,1.1337067583309268,1.1404099193824366
Salamence,Dragon Tail,Draco Meteor or Outrage,50,1.032025891502405,1.0176270014485231,1.0498735065598377,1.0491028154693396,1.0714484193527327,1.071517710324614,1.1837229981953106,1.0399776371262108,1.1416469408964574,1.0283121936719872,1.3116969730020136,1.0095572796518644,1.056074027183566,1.0930011946345215,1.1238228618341624,1.0613659272380909,1.0756952356018623,1.0966905984813777,1.0756952356018623,1.0966905984813777,1.0498797370414013,1.0436831245904656,1.0484272888302633,1.0448299005984711,1.051083474053272,1.0546420280678441,1.088417666838019,1.0225764601981888,1.090033364552479,0.9948005814424409,1.047045744705928,1.0463814621364258,1.0330147735735793,1.0329392126168873,1.077423313501006,1.0699662180866616,1.0745732667525216,1.0653984164878856,1.1297855731043978,1.09867777081787,1.083098437171247,1.052361088660198,1.087313413658297,1.0940667152636514
Mega Latios,Dragon Breath,Dragon Claw,45,0.9429266502461495,0.9269474626409097,0.9484394688483633,0.9671556321106107,0.9819037435272452,0.9913315580075029,0.9395735181075915,0.9134214151504737,0.9451743642371605,0.9157405137306548,0.9094102130633333,0.9204396589855607,1.0109206600770393,1.043763535810897,1.0279128550423384,1.0168644789664099,1.0166991618866925,1.049068521062874,1.0166991618866925,1.049068521062874,0.9855281180880411,0.9883460442748133,0.9729687736480381,0.9849830846184365,0.950455100995301,0.9698269321914003,1.024120679978558,0.9881124118820498,0.9497804555214479,0.9050190394753244,0.9412101308161162,0.9483972484791433,0.9689549141182671,0.9711345369703079,0.975680408366274,0.9929646866216211,0.9815538033967506,0.9939631807556112,0.9786275507836522,0.9976427040379113,0.9805527437454357,1.0038062023529395,1.022632200972703,1.048184716036284
Palkia,Dragon Tail,Draco Meteor,45,1.0451829705086846,1.022633931823931,1.094962637655322,1.0779763120635841,1.1319391078480983,1.0997047591820555,1.0289958916059858,1.0231992947651631,1.025754008978028,1.0096950985348325,1.2308026165561141,1.0019772766684065,1.1719802887340909,1.1662375810126266,1.145984449702999,1.1080861749906754,1.118261670442927,1.1182780984129277,1.118261670442927,1.1182780984129277,1.129795765996557,1.105545413079397,1.0897009719978588,1.0873792968331508,1.1255052682960585,1.1126578435855679,1.2093380784113548,1.0808589227041348,1.165141390718359,1.0026740144021955,1.0633711580005523,1.0581936674668577,1.1138014082730547,1.088066589417855,1.1160801083876422,1.0939220467364512,1.103732924433809,1.0913819596017897,1.1685446555315449,1.1448130469394167,1.1582846422926654,1.1423041245044598,1.1549537332110351,1.1464462246376534
Shadow Zekrom,Dragon Breath,Outrage,40,0.9910734140119837,0.9521314920512237,1.0125035902580148,0.9741809855258946,0.9858410733784323,0.9778353736067862,1.1770557917645657,0.9043746065109203,1.0444291965988506,0.9095507623079041,1.3056294735639367,0.9345139055397966,0.9903308340890856,1.0235231318362157,1.0747714052910466,1.0018470473033583,1.0184449596510803,1.0169636782798508,1.0184449596510803,1.0169636782798508,1.0024598827285212,0.9836874352377646,0.9861823184477319,0.9687925329055388,1.0054157028861934,0.9984499096071527,1.025041523431572,0.9683513673090679,1.0274049129655165,0.9110792722172076,0.9901788174259609,0.9574097238011016,0.9839772173575358,0.9707087787831638,0.9551549332895293,0.9566382626496862,1.0139977009610635,1.004387597475904,1.1174787350205801,0.9975425455519888,1.0432212484453145,1.005132597913355,1.049698092292713,1.0395033269427874
Druddigon,Dragon Tail,Dragon Claw,50,1.366951318128894,1.3630625245210395,1.3946697215941766,1.4146764569989392,1.4227530340136183,1.4332319029775558,1.5472806664400938,1.3330193954514316,1.4248321772694035,1.338485321206414,1.5809932375914548,1.344640754439769,1.4313966270998422,1.4815622562768365,1.5016327092595885,1.4385126213871557,1.4409896626346868,1.4507596110795444,1.4409896626346868,1.4507596110795444,1.3738130341033261,1.3831141328171495,1.3873627300608693,1.4048093939595454,1.4354730128267388,1.445832758434547,1.4554748047194053,1.3909526305971158,1.4151124592522248,1.3291583586716067,1.405007567214634,1.3979479427340167,1.387128416729078,1.3832108918731214,1.3981448545382749,1.4113006288295207,1.44058624871468,1.4570728737107852,1.513767767358391,1.4553000312147675,1.4385256373352402,1.4116730955477161,1.474332522959531,1.4811165093625527
Latias,Dragon Breath,Outrage,40,1.3259242197501444,1.284494557743399,1.3722944597816222,1.3734029232369294,1.4593181862640312,1.4557482399739619,1.4829095331936775,1.3065096721242577,1.4682037218243318,1.3038338869566914,1.3761569195017451,1.2946356329331057,1.4149097162540774,1.4241441997837239,1.4635042728895256,1.403607475732844,1.433973354875704,1.4608895146004235,1.433973354875704,1.4608895146004235,1.4572192178316807,1.4093718302388718,1.38176833423029,1.3833819611209806,1.3906742593601513,1.3872532121036794,1.4625985200523137,1.3669863076146986,1.4426572520975918,1.3162411501967484,1.3839127429562554,1.3690528675954152,1.4234822649602843,1.3915029708867233,1.3461523713914827,1.341099680666432,1.4303907771413849,1.426850960260218,1.4553032404272364,1.4533519098424554,1.336910490777604,1.3378060821058821,1.439233032719001,1.4422471313573104
Dragonite,Dragon Breath or Dragon Tail,Draco Meteor or Outrage or Dragon Claw,50,1.0858809043381934,1.0623702110155637,1.093185310314929,1.0888800070772413,1.091868987270023,1.0950976166026827,1.1391370452460972,1.063496523428641,1.153405109101047,1.0507164739652377,1.1864866089191541,1.0573367530571065,1.0977154237053273,1.1440771019110487,1.146544132984118,1.1095331109122313,1.1095148976915574,1.1444544258124612,1.1095148976915574,1.1444544258124612,1.0857426935439627,1.0787622131209542,1.1012782012154874,1.0937532080780332,1.1020723242820991,1.0965899782948787,1.1323608742604312,1.0710350096463128,1.1317197513397477,1.0228720094249162,1.085990324205278,1.0897410063444968,1.092398358410412,1.0823817232242063,1.109821188759129,1.1081183204308052,1.1210509958226165,1.1074790493885014,1.1317462983998738,1.1235333025542251,1.0907850388100722,1.0880756197146084,1.1397053055100752,1.1531548814738202
Shadow Dialga,Dragon Breath,Outrage,50,0.8632088249042804,0.850359822919066,0.8745853492085789,0.884346341438701,0.8976155892431188,0.9112904689325444,0.8391634254153783,0.8289197486022137,0.9828032145592456,0.8473543240117768,0.8379769962118162,0.8239140025454609,0.9100046261751891,0.9175885504579298,0.9088398516690317,0.9173837812066842,0.9299925969830425,0.9623069354977923,0.9299925969830425,0.9623069354977923,0.8825102548749958,0.8897243805836781,0.8936257038976306,0.8966183736155311,0.8862075042111771,0.8930645530399884,0.8883986921243743,0.8807158325690464,0.8374246581455052,0.8496834999459203,0.8883354890580181,0.8644785490819605,0.8603842212498083,0.8684960006992168,0.9295536147745425,0.92330759843678,0.926464487713706,0.933124225956343,0.9303336393041362,0.9244369443193614,0.8790987878209063,0.8795107160614992,0.9261961070677232,0.9575090186419898
Shadow Dialga,Dragon Breath,Draco Meteor,50,0.9044599217046326,0.8722068641261777,0.905538202989778,0.9067773883030994,0.9361757087064106,0.9244519590843882,0.8634891843439402,0.8703824303165643,1.0533801038396364,0.880872927709301,0.8895575220217572,0.8547361241072348,0.9320590681501544,0.9421984755446203,0.9742204044474632,0.9426156639393196,0.9618570177289089,0.9871824805869637,0.9618570177289089,0.9871824805869637,0.9389981891635978,0.9180737785967704,0.9307033664379389,0.9309680678373077,0.9187525766234135,0.917259489790006,0.9299055283198102,0.9074641804793185,0.8902777178238688,0.8781565248095203,0.9013840487525819,0.8867189363367991,0.9059566370389212,0.8928515540566355,0.998758813244999,0.9536394829715454,0.9953542511136774,0.9644784369446981,0.9539680139346076,0.954833983686279,0.9292174633986621,0.9003826689338932,0.9592446010064578,0.9988019189448093
Salamence,Dragon Tail,Draco Meteor or Outrage,45,1.0921186494750519,1.065809016683131,1.0690557144019133,1.077159690166927,1.0995617699553877,1.1040756289746563,1.291652772541924,1.0846528218247313,1.183125842096927,1.0582150691143255,1.3539970402019517,1.064493878284725,1.106103588960988,1.146911645408124,1.1883444698010437,1.110364980903775,1.130311508210204,1.1408481474073926,1.130311508210204,1.1408481474073926,1.0770604529551628,1.083389039108416,1.081644562272492,1.0713369152526808,1.0818995774441813,1.0784505494642918,1.13519203549891,1.0687937340656894,1.112808951924294,1.0139632519452957,1.0915538428042013,1.0706885062741602,1.071162916488068,1.0781285245424606,1.1254827638116687,1.1131301049787943,1.1271765879041504,1.1135118738552188,1.2185904346886054,1.1330071565696862,1.144330968292164,1.1041841051749581,1.1384116588661295,1.1341262359684687
Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,30,1.856672007935427,1.4641354995866211,1.7319464790863677,1.6247273867470193,1.7582199950647859,1.6990233508218404,1.8183371724853448,1.4580543574428666,1.975916027884392,1.4628297060335904,1.9128904138956428,1.52599650814233,1.5932529309633707,1.5733651499031498,1.5462576639208243,1.548144989514287,1.6074873993558672,1.5767646442966392,1.6074873993558672,1.5767646442966392,1.5929161506193024,1.5326773608084696,1.6640769636212116,1.5316829003433017,1.6886074270114755,1.572540259936231,1.6474742636701416,1.5124515809895365,1.753050705486405,1.4504568649543184,1.7720095434856942,1.484606655651053,1.9309753604552027,1.6602037515916865,1.47856658166662,1.4496868206611884,1.9424550500958433,1.6598603940608485,1.8854786836731807,1.6247871341015758,1.607778537748366,1.5602521650093588,1.6023098409742125,1.5665640023560632
Mega Charizard X,Dragon Breath,Dragon Claw,35,1.3018770162686208,1.288788901624871,1.2838572813494593,1.2961449133079697,1.2707843101671303,1.2777537328154265,1.3594496475852598,1.223304986118676,1.2327008068942922,1.2225331034946616,1.3167947043332562,1.2011026675980594,1.3128403103570514,1.3667429043731936,1.3839332777794333,1.3156680493491255,1.3335108944821057,1.35453342870248,1.3335108944821057,1.35453342870248,1.2835787349298222,1.303615555421892,1.2790655785522325,1.3006292777916555,1.3029873616751835,1.3347051529967198,1.3465994373967414,1.3003648683476785,1.3043099881703528,1.2259883139187757,1.2730071586281329,1.2785074629135516,1.265198808400442,1.2546719568495255,1.269950386389499,1.2717376294275562,1.3175886421191423,1.3333059617085468,1.4052729897176057,1.3622177811437701,1.348548740211461,1.3255564754772906,1.3576923132376744,1.3685985113038874
Dialga,Dragon Breath or Metal Claw,Draco Meteor,50,1.0874695735477324,1.053417107234606,1.0640384001582024,1.0720076455584828,1.1239012136997208,1.1213596019964285,1.0107422118763885,0.9689750328178693,1.0293936576676654,0.9795967372744373,1.0323867923412267,0.9581924053394086,1.0981335195986235,1.130284418693938,1.148068953966641,1.1332747996617447,1.096003439964766,1.1408416805239638,1.096003439964766,1.1408416805239638,1.1049304851164194,1.0948714916753473,1.057364037681307,1.0680897920847703,1.07226248482163,1.1005021732216245,1.1107265515827291,1.0694642972467872,1.0563579140049153,1.0189167651662236,1.0665407449707998,1.0665049556321193,1.0396764368619187,1.047492710820957,1.1328594195623953,1.1412644950397828,1.1668065578625346,1.1477746380798008,1.1008550403127553,1.091833969943603,1.0880074108176272,1.093631179660715,1.1176507556067816,1.1830429599889067
Reshiram,Dragon Breath,Draco Meteor,50,1.0932258804608666,1.0662822642574996,1.1033723734050944,1.1063712931682073,1.1642138526793806,1.1694632330083337,1.0449099180689332,1.0415510600817155,1.0936058129367783,1.0502773360121327,1.0989048631807528,1.0420599478847024,1.1106030666612117,1.1456489771869445,1.1800925578666481,1.147101041995255,1.1486429323352778,1.138960808339568,1.1486429323352778,1.138960808339568,1.127808129261093,1.105612738464006,1.1065789418334449,1.0830000213909161,1.1378034996642314,1.129297307639561,1.2617662219305703,1.0983933376161403,1.1792655239262984,1.0400329037831104,1.0776698098932176,1.0835884337576602,1.126344854187634,1.0934093051322835,1.1519647090422327,1.1448541722241565,1.1390056572265927,1.1446544503998195,1.1238667242012899,1.129101881444807,1.1312495413985146,1.123252504169284,1.1771441511239005,1.188453424285177
Mega Ampharos,Charge Beam or Volt Switch,Dragon Pulse,30,1.598318201749722,1.591641148193283,1.5842969198912737,1.6113138654637138,1.6145402155137771,1.6546492003138362,2.0950207190468233,1.5859712435887015,1.6832817859723193,1.5851488816518875,2.036542454981956,1.5793064585517187,1.6070894956258523,1.6861451785611088,1.7264719814144462,1.674514528440891,1.640291082767503,1.683447047046316,1.640291082767503,1.683447047046316,1.5791723169865932,1.6384327242835257,1.5744817379304887,1.5796894862394206,1.588642306520332,1.6183056770543063,1.5683370612947234,1.5042538148871727,1.6466187531192873,1.4833122915321746,1.6093897841715314,1.6244302284054306,1.5915433747368122,1.6239299129276097,1.598022776595993,1.645704462479564,1.6004317733253068,1.6343881824889006,1.7614341069873278,1.648549670184835,1.6659441609871009,1.6665723272371076,1.6443812938077857,1.6808039111667474
Dragonite,Dragon Breath or Dragon Tail,Outrage or Dragon Claw,45,1.127832052771313,1.111060091762424,1.1343517278696051,1.1404189368315572,1.1641350636593129,1.1730594815856887,1.1899012167733074,1.0895136320298138,1.1926735668893453,1.0904321516674875,1.312158976183407,1.0948322410818698,1.130275863558037,1.1912257362232777,1.1832558421502033,1.1476427438968628,1.1799192317551095,1.195456388563734,1.1799192317551095,1.195456388563734,1.1382255079136376,1.1329731026544656,1.1378814597769777,1.125487303417257,1.1330493298590687,1.124915432562184,1.1873903430504262,1.1163054972884554,1.1551433744517452,1.05078444772426,1.1095713922534334,1.1145887432391228,1.1244842882929844,1.111983169598301,1.1649995950563008,1.1620720122590413,1.1644268244171818,1.1545209298386545,1.2065067403943548,1.1862939297513226,1.1570907434265196,1.146384043932852,1.1726369970625539,1.1784659042961685
Latias,Dragon Breath,Outrage,45,1.2973349618094006,1.2641169009297972,1.3568136068315197,1.337350024087228,1.296647518947192,1.270978749118838,1.3255075009072517,1.2083730422618206,1.2567516917876427,1.2151982087337247,1.2572902411205336,1.2600668767782808,1.3543860290324068,1.3678940648366398,1.440526638643115,1.3697144248681452,1.3859116858408893,1.423323597370795,1.3859116858408893,1.423323597370795,1.3974674263612943,1.3735230564949972,1.2876050739253055,1.2765293229631842,1.350582415892134,1.357850213403819,1.4242281100485406,1.330588498044445,1.283952033423725,1.2170918274549671,1.2888093682902912,1.270490803128475,1.3415459915664814,1.3052308069936343,1.3142827074398453,1.315791111279901,1.3962586865330806,1.3934682899430937,1.3248938637088357,1.320079915601853,1.306042925281409,1.3022935636759538,1.3907854010587017,1.4188072705499304
Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,45,1.32739690755472,1.282406575688614,1.3710050567869003,1.3803896947750396,1.4335602102014695,1.404612445459874,1.6365621252453206,1.282285305637676,1.4349929920178432,1.2656788955593692,1.7010928285345537,1.2904732762667648,1.4489314547962042,1.4231590787946058,1.3807470800808443,1.3552663350557783,1.371283751981461,1.3724289118712423,1.371283751981461,1.3724289118712423,1.3280421390835364,1.3347442615077423,1.308287762775993,1.283690983782553,1.352221137961953,1.335390029400081,1.4449665323240946,1.2951935590744421,1.4602971525908093,1.2481755230581117,1.3201979870271252,1.2758617892793696,1.5420552004517694,1.3835844443083694,1.288006574272394,1.2723050996824967,1.4852559414106374,1.4086111605033311,1.5464522764354542,1.4183761524663718,1.450804637013467,1.3802030789204294,1.399024752657886,1.3858687940781222
Mega Ampharos,Charge Beam or Volt Switch,Dragon Pulse,50,1.3223309230499807,1.3157036016683585,1.3269583601332628,1.3504718708329972,1.3415277528018652,1.3513443509121075,1.3348331520963435,1.2965239833394244,1.313811908362497,1.3036434998253428,1.250547279874037,1.3085787112096363,1.3288435359342772,1.41117583591971,1.3871827699339006,1.4033661142444378,1.36092469131714,1.4276983918581938,1.36092469131714,1.4276983918581938,1.323423401255647,1.3516665140168944,1.303053656204301,1.3300684589867668,1.3328143438879887,1.3662650121531172,1.3182478361528478,1.2549172800457795,1.3933952833707366,1.2698640827367178,1.340288935543452,1.3801444703063817,1.344482205296568,1.3591566664520864,1.3324410234963433,1.3748847969493325,1.3599784708115354,1.369851430667482,1.3808023305507995,1.3937788329300294,1.2989451269150547,1.3490322513185382,1.3616140135723829,1.404900221400399
Shadow Latias,Dragon Breath,Outrage,30,1.3427529270258396,1.2575654222460753,1.3173564833504168,1.2503027953599977,1.2993176017687582,1.2579109903258963,1.5670257911223957,1.2380915883635397,1.4782365269915794,1.213010383963654,1.5994477428870926,1.2101554716301712,1.356884594301197,1.3260269756820555,1.3982751233265758,1.3401342335668174,1.3353625613865,1.3161162297130868,1.3353625613865,1.3161162297130868,1.3588615015451804,1.2827957782996728,1.279922333969124,1.254799866499203,1.3127028732711874,1.291943625459728,1.363913813611528,1.2721634752557938,1.3636193482393033,1.2023662689661159,1.5661065837935637,1.2476543662359527,1.3458048818527573,1.29436605731171,1.3122608258380617,1.2962620264846907,1.3473568375990603,1.3208412788721446,1.5506953470534242,1.3149620240171767,1.3313806155542913,1.293356891138175,1.3790051696844716,1.3468926553672316
