Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Kyurem (Black),Kyurem (Black),Kyurem (White),Kyurem (White),Kyurem,Kyurem,Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Palkia,Palkia,Reshiram,Reshiram,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Charizard X,Mega Charizard X,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
Reshiram,Dragon Breath,Draco Meteor,35,1.205451261789897,1.1518845960131903,1.258654853151975,1.2589885613363605,1.2474991969082085,1.2232016105672976,1.2519641118758125,1.224004279283748,1.2563360403382056,1.1984158271914047,1.4423499261493165,1.171749192172491,1.2968321379325356,1.3110582813686424,1.3502895002101252,1.2598019582236042,1.3322736858080333,1.303083269207752,1.3322736858080333,1.303083269207752,1.285370205316222,1.2699716595445296,1.2592362440522735,1.272064841863401,1.295285367947034,1.2839112820361047,1.4420563930888857,1.2639883528448976,1.3840913312791103,1.172461851933946,1.233092059455926,1.2232379770507205,1.2059019060463942,1.214643360134903,1.2796820299713243,1.2211033777795266,1.2901354646862984,1.2998152548486168,1.315030633874071,1.309390960575006,1.3614620461562679,1.322187338957548,1.3173132228324407,1.3289772455008564
Tyrantrum,Rock Throw or Dragon Tail,Outrage,30,1.6156257678733772,1.4608527687788737,1.5657338593162233,1.4903023922823775,1.5508615766712852,1.5312105156356022,1.8402397533896864,1.4832526460707203,1.810274396131073,1.4753406356652048,1.8186423996696843,1.4661806573244613,1.4538585146968797,1.5149524861137633,1.6090130894167765,1.5331272495990151,1.5634440117832875,1.5540172775307353,1.5634440117832875,1.5540172775307353,1.546785332498544,1.5146037986554062,1.5713964786613974,1.4968371427213558,1.6535575848498503,1.5476243375811234,1.6139407061192754,1.5127486482266042,1.507070384703621,1.385319402901101,1.7911371200582769,1.4963839334257472,1.5377473754506834,1.4871731514322692,1.5583538512433601,1.4786710891704329,1.5354476596683782,1.4838733044721002,1.8470198696578357,1.5863042509927143,1.672753439366759,1.57804596343456,1.5836005107348023,1.5849707251933807
Exeggutor (Alola),Dragon Tail,Draco Meteor or Dragon Pulse,40,1.3828219004388107,1.3248953655857876,1.4592634669541211,1.4643794906757956,1.5123299042158374,1.4578005725696839,1.693166842783365,1.3549462444047478,1.5558726022612133,1.3331246487872719,1.7846618521618673,1.3554797668747873,1.4887437981812015,1.4470213315620906,1.4247657026249732,1.4080157907337327,1.3915833512172215,1.3973865968104184,1.3915833512172215,1.3973865968104184,1.3596784626208551,1.3537805424853935,1.3857159875259633,1.3727132640774826,1.4089609387016861,1.3862876947760563,1.534713278880504,1.3941885790618735,1.5298285113414742,1.2988392492078404,1.5746240915477092,1.3248893812880056,1.6343641941289855,1.4662821497151057,1.3497660249033512,1.3362957214609636,1.6149159494339265,1.4430623006883356,1.7244366751596059,1.4693376700491163,1.4888906734789646,1.4019694376723575,1.4906158035189134,1.4493778441003642
Shadow Flygon,Dragon Tail,Dragon Claw,45,1.4312492278842286,1.2366676818244966,1.3279062606249785,1.2844200868275961,1.320069517228116,1.286687860905209,1.3856242584910972,1.2302293271958105,1.4901100665432856,1.2209394926915207,1.4248812315391324,1.231375648231262,1.3467122467236015,1.3303356214732982,1.3120820485209546,1.2979175507511593,1.3202693769861873,1.3377674597377838,1.3202693769861873,1.3377674597377838,1.280408347254081,1.2617054465438724,1.320341991522932,1.2567792422549893,1.374607905132738,1.2904510075769924,1.3793147229181952,1.2929965711552762,1.2354560573953726,1.1734575017860875,1.3782681153744867,1.2169270391748783,1.3071443636890807,1.2722489400531425,1.2179917629418404,1.250583553612029,1.3315486146244193,1.3285544843731842,1.4786869082739529,1.3415410063722795,1.3704725204774113,1.3215929731948155,1.349158394365803,1.356931452384072
Latios,Dragon Breath,Dragon Claw,45,1.166420645504623,1.1616280748308587,1.2107981822090113,1.2412023716330005,1.2253641723723698,1.2366637858277338,1.2307189017486435,1.1282445314751794,1.1926925513611324,1.1248193763112844,1.216315013920399,1.114928860108426,1.2347696902127092,1.2866320880101167,1.2994488450303063,1.2680652754901467,1.2681932336059945,1.3137963917398081,1.2681932336059945,1.3137963917398081,1.2130553375929454,1.2109568019371484,1.1536122857966018,1.1712878951490682,1.184448668242619,1.2042394287055336,1.2096547901754573,1.1615821332176857,1.1967271794269874,1.1227980438157719,1.1510647201524646,1.1763732574558798,1.2193823732446962,1.2211429108252485,1.209298239432914,1.2205268477672502,1.2147211640746625,1.222818045777844,1.2550030134246275,1.2824680748708235,1.1637943648873244,1.1884173511518643,1.3019488408601412,1.3118169971558464
Giratina,Dragon Breath or Shadow Claw,Dragon Claw,45,1.4934331808183137,1.53023078172734,1.528327699432813,1.5993165718738338,1.5369051022430715,1.609825601222915,1.4654690731184048,1.5070195465000353,1.4817116616728465,1.5269866978518254,1.4539452480641424,1.4611141455436976,1.5484772701969738,1.653512281945154,1.6208227457258262,1.6823358120236862,1.5907230471120282,1.6639822494480334,1.5907230471120282,1.6639822494480334,1.5236633348005937,1.5669333367052984,1.4880752802724648,1.542144803613937,1.5309618949442116,1.5933274884711084,1.5785245730539472,1.614752330000862,1.5159433476786197,1.5422306281644549,1.606196320744459,1.6318481518177665,1.536547297364486,1.6046538876406613,1.544590341109015,1.6175130600062504,1.656653297773302,1.7182747851320055,1.5430545744955655,1.5774684608821459,1.5256200702430056,1.5916287743548168,1.6151634465863587,1.735799142640631
Latias,Dragon Breath,Outrage,30,1.4894957410885963,1.4621068431744062,1.5341930355424827,1.5306627659442391,1.5515720212482889,1.5632203521254064,1.6918886899797811,1.3883363063026737,1.5651917540133173,1.3916041987142629,1.7799544517722865,1.4320829066613345,1.5717351928202508,1.6262773850918668,1.678838382333449,1.5386658227405885,1.6099094036568662,1.6407594102932446,1.6099094036568662,1.6407594102932446,1.5632046381835862,1.4971569549514572,1.4719958002202995,1.4715705326973578,1.4837498692148683,1.4885959012460748,1.558002090617554,1.460967974322354,1.5575388901472473,1.4006355222141762,1.484448695906962,1.4584386672881644,1.5117197987762656,1.4898431681642783,1.5152547553430833,1.4999590480665883,1.5400313563415362,1.5239575250381567,1.6560458987778672,1.562917373933529,1.5513501136541388,1.5130023057889963,1.6263418556160685,1.5960812002183047
Zekrom,Dragon Breath,Outrage,45,1.115844336030214,1.074592107924702,1.0925349300997156,1.0962126236673038,1.1443816452457791,1.149614433450853,1.18993860556964,1.030684894478256,1.192503086332699,1.051291703460381,1.080056275980826,1.0440273566360443,1.1718537076416744,1.2016994340981295,1.175981192504539,1.137490765277237,1.1813304204543351,1.2112874235023756,1.1813304204543351,1.2112874235023756,1.113159333098207,1.100996620744147,1.0995563219689093,1.0934186058188482,1.1148539395816461,1.1132265244335806,1.1631449478175382,1.0855945533574347,1.135435153016657,1.0368242029053691,1.0796202781581874,1.0732752745095506,1.1453555329461471,1.1192535074676468,1.1130774851760865,1.1200627411073678,1.1406871923077981,1.1270862171559366,1.1446450808997173,1.1316085610711708,1.1191323098797064,1.1150769809137282,1.1627669070648396,1.16683317706816
Shadow Rayquaza,Dragon Tail,Outrage,45,0.9252118142650342,0.8806537314743124,0.9696574970405251,0.9057439173276667,0.9533878453736611,0.9266921786283546,1.1763336706325458,0.9206749483117225,1.066382297359748,0.887166388589356,1.1590411039140718,0.898081440323483,0.9573558484334879,0.9495676484567787,0.9799046575882964,0.927038292118299,0.9282174896340813,0.9315236316348464,0.9282174896340813,0.9315236316348464,0.9093694379663223,0.8986682902223035,0.9466713720715365,0.8882636545870044,0.940672373136338,0.9094068586849456,0.9419511724033686,0.8936171382652794,0.9387568151427246,0.8602278916794268,1.118339476071456,0.9002196786107249,0.9406366301723601,0.9106517528310171,0.9501090145043055,0.9241750473235052,0.9520096705577872,0.9277612813187239,1.1403593846935525,0.9605548190039107,0.9595953473750852,0.928808939523694,0.9369811773616078,0.9432170101320049
Shadow Zekrom,Dragon Breath,Outrage,50,0.8947659488007487,0.8729314877070119,0.9034901900984205,0.9009660000130276,0.9274703822339835,0.9343274073840137,1.04802129529298,0.8519246322937221,0.982364781743664,0.8705583929807356,1.027375390857519,0.8507272106658911,0.9136832764145205,0.9542855440143992,1.0053062537182924,0.9373326318882812,0.9530599701741079,0.9732449908381472,0.9530599701741079,0.9732449908381472,0.9108958787295529,0.9120307272599685,0.9228189790590091,0.9219822720321288,0.9092364732741887,0.913927074210506,0.9388743296117703,0.8855575836571932,0.9353044400221364,0.8409450331244674,0.8844409905535917,0.8726246790809035,0.9177029312155854,0.9006956318309067,0.9102444990571904,0.9145096589367414,0.9308266073853495,0.9223241225892513,0.9921913131639334,0.9397513579821383,0.9256218453765098,0.9044672997611414,0.9522029572919011,0.9654078521023285
