Attacker,Fast Move,Charged Move,Level,Arceus (Grass),Arceus (Grass),Arceus (Grass),Shaymin,Shaymin,Shaymin,Mega Venusaur,Mega Venusaur,Mega Venusaur,Amoonguss,Amoonguss,Amoonguss,Bellossom,Bellossom,Bellossom,Gloom,Gloom,Gloom,Grotle,Grotle,Grotle,Meganium,Meganium,Meganium,Tangela,Tangela,Tangela,Venusaur,Venusaur,Venusaur,Vileplume,Vileplume,Vileplume
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0,1.875,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Arcanine,Fire Fang,Flamethrower,45,1.2269715740017226,1.1898898252752368,1.0280354005999357,1.2570022291924405,1.267324644783708,1.0600480509087156,1.2295784191186208,1.255096638541387,1.0597626998659602,1.2387590487049431,1.2877669323558245,1.037785003125755,1.242272371847049,1.2927099446101054,1.0317227553850903,1.2682184868962194,1.299178347692074,1.0567956717199245,1.237533030547712,1.2993977472409828,1.050144514472737,1.2548126878055699,1.2801713279285172,1.0837064919750667,1.258951297444693,1.2937870472653208,1.066703550582079,1.233864617147253,1.2422253814443773,1.0405758018484563,1.2235233900218108,1.2405089433248495,1.0383241368426945
Mega Blaziken,Fire Spin,Blast Burn,50,0.9168002466091244,0.9132551405212366,0.7657370195468707,0.9437259133296164,0.9419673275160176,0.7939672078712809,0.9427323251672484,0.9349823710036445,0.7862210598045141,0.9361118363099045,0.9776004592728359,0.7811392221843343,0.9411775746606429,0.9662896002790933,0.7975231847355527,0.9596936766354248,0.9774440154625953,0.7905558507137055,0.9251012954140491,0.9637053781376038,0.7894725180553118,0.9539462661231513,0.9690139294247596,0.7939749214042288,0.9525830943226639,0.9755939383857223,0.7849095524618,0.9209211098215174,0.9294829807791152,0.7758370167091008,0.9225527169922302,0.9380899328770155,0.7698203823447122
Victini,Quick Attack or Confusion,V-Create,45,1.2927658991940238,1.3136384438444644,1.1032184589128013,1.39565003866575,1.442140111059807,1.1896617836308858,1.2694941270755844,1.3071206129038422,1.1152399061887346,1.2878573750053282,1.3940538508943923,1.13212885213759,1.4164410197581456,1.4923579096035955,1.1969997814848252,1.3226805849424736,1.3847963215898074,1.1525921295395078,1.3861941047599629,1.4995358097489013,1.1905404396406982,1.4508543771628815,1.5062992563037314,1.2225256672113927,1.4135185740582716,1.524199485721332,1.1889816706961056,1.2696490110015148,1.3286226456330457,1.107904773881252,1.2679209004256007,1.3311249817508348,1.0999538498174755
Mega Alakazam,Psycho Cut or Confusion,Fire Punch,35,1.482219012484337,1.4515490010731693,1.3104846848539229,1.6194678170943677,1.5327600895848958,1.518446179319767,1.366571256574213,1.2993974734509226,1.2516909188965613,1.3113799452637713,1.2976152577682112,1.1796257619027324,1.5558227750669538,1.5565237111349925,1.3935424891478545,1.2734910719083548,1.2736514770275236,1.1657629938744722,1.5065730258787093,1.5369053688412244,1.347922549712432,1.5323017113925417,1.5384070846350923,1.4021999365731634,1.584688693036465,1.5660116055441182,1.4431201647368659,1.291260139974564,1.2523795134845246,1.1974750670205243,1.2868297052026594,1.2420062142845465,1.1845196695864906
Darmanitan (Galarian Standard),Ice Fang,Avalanche,40,1.3828734559450984,1.34016121521942,1.387139753830535,1.528650448730702,1.4223794281065507,1.5642482345358129,1.4850875014287213,1.4067089400580606,1.5208489403329115,1.346846095648097,1.399418982566813,1.3427003857465585,1.3772167710138328,1.399215859414672,1.3869596204964822,1.3890759072542185,1.4039250674360308,1.392441550379639,1.3528471592840088,1.3935101472322762,1.3903010752147336,1.4067850460121933,1.411351836299805,1.470672344786555,1.416966303790431,1.4125222454585997,1.498894865543339,1.3953366569108239,1.3710909749410214,1.4568010072056388,1.3774531377858257,1.3566981238821498,1.4099576325802199
Reshiram,Fire Fang,Overheat,45,1.1835780605811101,1.1459713681610433,0.9875376458621027,1.135572771903004,1.1792827226106914,0.9557660341180514,1.1249205195216123,1.1488679834700717,0.9536011653673264,1.1593793067928337,1.2227805142932244,0.9661529817214386,1.1792203261472434,1.2329485411400019,0.9733762764153248,1.1827870183220457,1.2347282582604913,0.9782911148969266,1.1472230188413848,1.2000966754083273,0.9532522845722333,1.15848176871923,1.1807069631449314,0.9954951013524791,1.1561754582269526,1.2111241188912993,0.9719175140775399,1.1228136044901251,1.1694432644270583,0.9665543523294909,1.1296480694928948,1.1733737757647162,0.9566235805030057
Kyurem (White),Steel Wing,Blizzard,35,1.5599258673786487,1.5603380483505767,1.5593052976995805,1.5653262360107518,1.6214349420055705,1.596989712051204,1.5699766745535435,1.56646176875865,1.5918948514749935,1.566772826890016,1.6931560399883496,1.5600692594447525,1.5963866303152008,1.6701445420195729,1.6019870933125229,1.6125427408033157,1.6892519747875234,1.6167124260460792,1.5945538912935848,1.6761684278478246,1.5897808248472793,1.5973321187649938,1.6804992923421465,1.6142594339517669,1.57184168020554,1.6498490350486952,1.572466572987317,1.5059017902362108,1.5771181740184164,1.5184064403973536,1.525739657450165,1.594778609484891,1.532862267419584
