Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem,Ice Shard,Frenzy Plant,40,1.3625278568244934,1.4039342407515343,1.3599435569433311,1.4013303927022112,1.4309895732692322,1.5049273838876478,1.3397823244637619,1.3946782571822325,1.385548517534709,1.448600341983288,1.4210911361912832,1.476656109202837,1.3674319245017712,1.4350792749429888,1.4032259663523976,1.4887428248520358
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,45,1.2810419309493606,1.3003222820310625,1.313639279817875,1.2856416754488698,1.263752231815055,1.3347374767156956,1.242888441287678,1.3152054842927312,1.2275801993827093,1.301526019766204,1.28388276754249,1.353062407993933,1.2701206926079158,1.3405712843532265,1.281632612596536,1.3651964429111025
Kyurem,Steel Wing,Glaciate,35,1.54871087187575,1.5930417938080708,1.6136440781885617,1.5887423114995618,1.6264849782422184,1.6991165490535556,1.565779709530372,1.6069825788897134,1.642347855076516,1.719014485895878,1.5913280099924163,1.662060043716822,1.5810190818708707,1.6515688236301524,1.8062437418830364,1.961078230179738
Kyurem,Dragon Breath,Glaciate,35,1.5731357355915934,1.5949189152123977,1.504367405911948,1.4812197102850408,1.5155859915442227,1.5798699943576622,1.5174829499275593,1.5900120145588181,1.5632185144159936,1.6481443642659728,1.5706294330195834,1.6440826158718829,1.5535905825514003,1.6338389984045862,1.4900018836312445,1.6377182285935223
Kyurem,Steel Wing,Blizzard,35,1.8099187437857853,1.8711214728974526,1.8594486138928825,1.855369998809293,1.8908091730497218,1.9801204213975991,1.8343581045266617,1.903724513233683,1.9211502683170767,2.0038177379633715,1.8748449837177141,1.95561404291386,1.8503375607293835,1.9307301947847093,2.1483310035788996,2.332024705310849
Kyurem,Dragon Breath,Blizzard,35,1.8495697192032092,1.9138906983920185,1.7326330081696704,1.7226026362603986,1.7627126504301314,1.8443642322169747,1.8010442065090637,1.8764443973285274,1.813479303558562,1.931280716659318,1.8444662532899139,1.9394655841548825,1.833725426570401,1.9267732078634976,1.7731711427693344,1.9291952929046585
Kyurem,Ice Shard,Frenzy Plant,35,1.4356018788356706,1.4838567559227895,1.4025601973374373,1.4451021964097523,1.5078026573091459,1.5800864127872374,1.4102353440050883,1.474115693134033,1.4537731080688698,1.5311495155236754,1.4672079225587722,1.513155194718294,1.4393877937319164,1.5004281477876027,1.45971507598965,1.5533811180838513
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.9968748928583674,1.0704289093838928,0.9955712815737233,1.0428796621947036,1.1373329520246716,1.2383385247992331,0.9866956429555814,1.0594720661507473,1.0381236086764816,1.08445266542635,1.016300129366106,1.0897354686175669,1.020893612035009,1.0869906168032233,1.0659072658596793,1.1435525285270995
Shadow Exeggutor,Bullet Seed,Seed Bomb or Solar Beam,40,1.3539170980903077,1.3355230225940276,1.4061820786186379,1.3214268577247548,1.3006283863687305,1.3643095092712108,1.2450969998939891,1.2818650835718575,1.3229806317012056,1.3383483712777056,1.2571798188874515,1.3138778605522594,1.2156693076624934,1.2959898326167492,1.225163330656594,1.2882054942549248
Mega Latios,Dragon Breath or Zen Headbutt,Solar Beam,35,1.3773888298419448,1.4307796482325916,1.395801603366679,1.442798978480196,1.4425138546441074,1.5025931565400874,1.394192374288844,1.4269143785999505,1.480174648069085,1.5054685063503501,1.4359726992907167,1.4940714636213588,1.3792758443525053,1.4236770233363079,1.381712914770643,1.4940863892771814
Shadow Abomasnow,Razor Leaf,Weather Ball Ice,30,1.6202557685055028,1.6230071656323928,1.6293223101133658,1.5868265175735883,1.6744757650005022,1.7499516923148268,1.5546485741545637,1.617795681826213,1.6128598621312658,1.667996601675503,1.5914172279966097,1.6693223892581521,1.592475415303354,1.6729311448221158,1.6254250562610912,1.719963517036949
Roserade,Razor Leaf,Grass Knot,40,1.42240888675558,1.3751362841567525,1.4555377640658904,1.368067020798271,1.3847687800956878,1.4466026171171518,1.3148344464468709,1.3543853139686914,1.3726219794164776,1.4097669566713626,1.37463532140786,1.4235892403086943,1.3344690516751845,1.3732457207755333,1.361924872854891,1.4316192289008516
Mega Glalie,Frost Breath,Avalanche,35,1.3785322453457676,1.4019405492508656,1.4930965663214801,1.3762917835899275,1.4354879849125437,1.500923642940508,1.3288190395420332,1.3805081451641399,1.3842042436039446,1.4417284136492199,1.4013739572645758,1.458080920729803,1.3495578810740652,1.403711815977574,1.3647998889648951,1.4413546282802447
Mega Glalie,Ice Shard,Avalanche,35,1.4200911989577263,1.4357373058593617,1.5266762752558687,1.4239555990765802,1.4189010581315358,1.4834478547523167,1.3485635534824552,1.3918689706350047,1.4123694710013228,1.460182606170755,1.405825935673819,1.4650756122585538,1.3862614135186537,1.4422090623112769,1.3735736450247351,1.461896122693791
Mega Glalie,Ice Fang,Avalanche,35,1.3991120101484555,1.4300665135255597,1.6159401874208046,1.4257967516807626,1.4068202722234673,1.4853028698629607,1.3250026502703274,1.3993250644899111,1.406454665705959,1.4697860991321368,1.3916581166079314,1.4621135745193379,1.3718936751304724,1.4325103882173729,1.3663067939604834,1.4476102667816673
Mega Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,45,0.9742122947166318,0.9949823430589365,0.9448809382058714,0.9636958828202334,0.9864429312330439,1.0134643180114238,0.940722287006608,0.9728082264390967,0.9827502769204297,1.0169055889532945,0.9844136146674398,1.0286835883481287,0.9468736197867373,0.9832887158270464,0.9609890055418414,1.0170518196869207
Leafeon,Razor Leaf,Leaf Blade,35,1.5046765179826518,1.5558747900024,1.644911683321752,1.5844504354965692,1.6056933505437512,1.6677358767651627,1.4975352485953566,1.561698293225909,1.5693484035402798,1.6366158710357361,1.5734576437525092,1.6499888477494757,1.560945710860532,1.6328024300767061,1.5509819667092963,1.645361805906671
Shadow Tangrowth,Vine Whip,Power Whip,45,1.1172335173312304,1.179300236568725,1.1978261603615483,1.1863829348612294,1.1910742856259515,1.261943592082177,1.1542192303614969,1.2230467507685783,1.170851839504447,1.2502715433340144,1.1952982111790158,1.2607842262568585,1.1886644493118088,1.2555907087423273,1.2094597943867789,1.2874123863625098
Shadow Exeggutor,Bullet Seed,Seed Bomb or Solar Beam,45,1.2894641204100525,1.2735763019851203,1.372246934818577,1.2869301268369318,1.264409216333408,1.3253619211773162,1.2204318173787059,1.2609102795151772,1.2569391420306064,1.2619613494359427,1.2427889548110809,1.2915555159031091,1.2186077535310926,1.2678762968371147,1.1994368933963855,1.2919231875006196
Tangrowth,Vine Whip,Power Whip,45,1.375830561936435,1.444476634552748,1.3894233247021899,1.4544945627351422,1.4842826115521064,1.5686239652493834,1.3436782218452947,1.421189794692392,1.431748523987224,1.5092109649735985,1.3952357585760806,1.4752464647365837,1.3876224728013484,1.46496849733647,1.4477788022088056,1.5686385311641833
Torterra,Razor Leaf,Frenzy Plant,50,1.356985634449892,1.3957074776288272,1.3198167377832593,1.3655896397845353,1.43259725303179,1.512702988893097,1.3360631117707338,1.400871055514329,1.3806338520438342,1.4395022960198738,1.3680153454967212,1.4371236115448096,1.3746248073334957,1.434168897541981,1.4019867352704993,1.492906641287214
Shadow Mamoswine,Powder Snow or Mud-Slap,Avalanche,35,1.192030376795694,1.208531902492543,1.4275934749267358,1.2362095715054977,1.1987107644981023,1.26787191120661,1.1376373723453124,1.2045390296476906,1.1841547743232925,1.2234290814845086,1.1687736985323638,1.228969085961547,1.158405667775344,1.2099907159532373,1.1118976097710893,1.178776432798977
Shadow Shiftry,Snarl or Razor Leaf,Leaf Blade,30,1.5087016148386876,1.4851630267082663,1.567858735966987,1.464923021693967,1.417749402917011,1.4897394476692507,1.4112071097918653,1.4752111382027633,1.4161549463903558,1.4879069117188424,1.4467948431993576,1.5215595307132979,1.3984929197876388,1.467988065943773,1.4379442643428606,1.533583162319444
Kartana,Razor Leaf,Leaf Blade,30,1.1268694072067749,1.161288442417801,1.235916337741318,1.1581845097931192,1.1666731076913563,1.2104669227618081,1.1118502420580232,1.1409590444892046,1.160861195651005,1.1885855011990925,1.1485747423830128,1.1894098229022616,1.118078653001992,1.154421639941231,1.1407469093576819,1.2013006969435605
Torterra,Razor Leaf,Frenzy Plant,30,1.5957537628141394,1.640818390646964,1.7304613011404126,1.6077776257306406,1.6489152026217546,1.7014816933196266,1.5483939361814905,1.6250397540549135,1.5874477077440934,1.6523277447385118,1.5970558058616229,1.6693045456573135,1.5942511019172008,1.6661168347710085,1.621271153674568,1.7045673100754444
Zarude,Vine Whip,Power Whip,35,1.2611650152569684,1.3145095484623033,1.2709124546154105,1.3277464896364077,1.3443294506836503,1.4323421884540766,1.2358387222163327,1.30939255804092,1.3041070257132719,1.3922483788056395,1.3232279073917115,1.405005130035241,1.3193081131752342,1.400629151906835,1.3367436972707174,1.4182652747623155
Mega Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,50,0.947432029348236,0.9684146466897522,0.9207380249550818,0.9435373944136302,0.9445814235695127,0.9873549803291105,0.9125499134245025,0.9610056892469698,0.9447879811156399,0.9665974813683633,0.9299638667083017,0.9731632243386715,0.9331368360329179,0.9758795056921122,0.9494988549504804,0.9858727656663594
Weavile,Snarl or Ice Shard,Avalanche,40,1.41469983200192,1.4322899166866665,1.5506236993305382,1.4282012685470356,1.3117893939511047,1.3556373136289506,1.3718064242552739,1.4078501007102724,1.3280566100637723,1.357006893436717,1.3952268367756613,1.4597939064103136,1.3617713600677825,1.41736747699269,1.3906155508630005,1.4625702644023437
Breloom,Bullet Seed,Grass Knot,50,1.4686906435355025,1.3915246682895053,1.435958634490333,1.3693377004430496,1.3689006716700545,1.435843529475417,1.2939679847344427,1.3536432382769708,1.3383161087033673,1.3926462838891458,1.3476111879377257,1.4021947629031537,1.2986037875305336,1.3590312142271257,1.328584599827499,1.3896142521488266
Glaceon,Frost Breath or Ice Shard,Avalanche,50,1.2677563684986457,1.3080879075667706,1.3124023664853355,1.3348605184728384,1.3442908045355118,1.4026001128467525,1.2977667055372981,1.3419378776635216,1.321442782324411,1.3741705829847184,1.3277869474059865,1.373207833340768,1.3055352748708797,1.3690453656382107,1.300924962079529,1.3796409204017093
Frosmoth,Powder Snow,Ice Beam,40,1.5847207460486166,1.6669832344773203,1.6976439999928912,1.7015164628543906,1.6462331599409485,1.7404679275616597,1.5623961977455032,1.6716756775857804,1.5749943540494908,1.6668459031907685,1.6571262880849356,1.7393317571485924,1.5880947874133564,1.660420215786485,1.590954604487008,1.6955159662532593
Tangrowth,Vine Whip,Power Whip,30,1.4910463880412796,1.5548513731271643,1.6050318913933224,1.5726979816631153,1.6025707417741673,1.6825914561095694,1.5134103678575215,1.609933213187745,1.5933947756137956,1.6870422747265748,1.5600838649239415,1.6521657670517909,1.5642807567850157,1.6504150780130338,1.5659717058759381,1.6788111312692702
Glaceon,Frost Breath or Ice Shard,Avalanche,30,1.5407378201391984,1.5519834059039326,1.6822518931349533,1.5218530241286958,1.6040238369441715,1.6630133174626482,1.4782412806106222,1.530398600657267,1.5464527299514985,1.5935775968683794,1.5512869697104874,1.619021278494,1.4881605869680827,1.5433871447500067,1.5058045583876116,1.592709355698976
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam,40,1.21189700689135,1.2919120924332295,1.2323833151765355,1.262122550387335,1.355575479791929,1.4556844619296794,1.1846796706597404,1.2711668256828863,1.2676718250938304,1.3021497628700787,1.2427621894098229,1.32205915153678,1.2147679438991195,1.2910954273816284,1.2428892920520676,1.3377747375308569
Frosmoth,Powder Snow,Ice Beam,45,1.54977543113793,1.626538553845099,1.645590563915186,1.6462872162519038,1.6040470246330547,1.694819097380564,1.5082511749531784,1.6150482349199617,1.5365051028638412,1.6334218761762398,1.6216799750189588,1.7023687380113306,1.5477677726400043,1.6339201211432899,1.5442108080778039,1.6387790103996274
Mega Abomasnow,Razor Leaf,Weather Ball Ice,35,1.3570747762882711,1.403978811670724,1.4902370928271467,1.4262179419965841,1.449060512138755,1.5226041320461587,1.3477596381497579,1.4128061062228345,1.40063664813361,1.4691838644111543,1.3908283891689341,1.4572333496899674,1.3899750322237545,1.4545577458695005,1.4329575984693017,1.5292408966084725
Mega Abomasnow,Powder Snow,Weather Ball Ice,35,1.4138495560050743,1.4641786951006275,1.5529962270589008,1.474866312061149,1.4924446780389398,1.5676191653977847,1.4049613060532173,1.472967242658751,1.4389323238732297,1.5098777248432578,1.4563947004505509,1.5266449569523128,1.4475000676022822,1.5133627177920193,1.4697280631313883,1.5561074264640276
Mega Abomasnow,Razor Leaf,Blizzard,35,1.4990794390921247,1.5131707066204958,1.6864033723660055,1.521072844598545,1.5287797865186776,1.5965960472719682,1.4478691826566308,1.5097264921021942,1.509340015270952,1.5665630679557359,1.4826426372842039,1.5393496007494312,1.4526829092416826,1.5113977447878642,1.5081739682162012,1.5985882679515016
Mega Abomasnow,Razor Leaf,Energy Ball,35,1.6266414098124593,1.6363767271231187,1.8072139060336845,1.6354588930691978,1.672527999134326,1.7170483617897803,1.5899590091522668,1.6281405703381744,1.636045898889092,1.6736748147590523,1.6287638845519026,1.6831244145068474,1.5998665981630207,1.6441956680457532,1.6153426721787665,1.697578046773538
Mega Abomasnow,Powder Snow,Blizzard,35,1.612707854767374,1.692275516851236,1.7659017115965956,1.6910506832346703,1.6578579213009839,1.7702795662356332,1.581009929679494,1.6893618149051202,1.6459074924451806,1.7141105745964489,1.6211357451933799,1.7291341392693045,1.5878153646467106,1.6934912522646766,1.5650695456483161,1.7410007038832545
Mega Abomasnow,Powder Snow,Energy Ball,35,1.789697260602736,1.8130524222580313,1.9413710189073576,1.7998457412682982,1.8155110180168341,1.8765410151570192,1.7556804127354322,1.7967419343439697,1.7819480142385495,1.8264918752083625,1.8016951420796716,1.873988490877459,1.7504484284722786,1.8113625916010925,1.7427554550952224,1.853859956973897
Mega Abomasnow,Powder Snow,Avalanche,35,1.4107570199197723,1.4728031679637947,1.5503589003556124,1.4807985199692193,1.4795291353310813,1.5532582567495496,1.414184246793173,1.4774550337467753,1.435738329013733,1.5079419703829569,1.4513628050140517,1.5238345898202257,1.4252453962845786,1.4795074948396925,1.4335127739939921,1.5444784819914938
Darmanitan (Galarian Standard),Ice Fang,Avalanche,50,1.147180032228203,1.2005519936915008,1.3326283875164167,1.2110376743185869,1.1838165390055573,1.258944650986636,1.1274956712251316,1.199892222340012,1.1877574284577415,1.2352479378837902,1.1803898826783243,1.2466610161930678,1.1597126452322364,1.2104954796607268,1.1648177338924743,1.2626674201191646
Roserade,Razor Leaf,Grass Knot,50,1.269678060822162,1.3043268076936263,1.335601600167765,1.2619235068625585,1.2929764490373243,1.3374195193965017,1.219318703841125,1.2653008940245238,1.2755223848494952,1.3250131738845214,1.2901280278360172,1.3381808448944996,1.2511469853888935,1.3000549831895658,1.275357146397803,1.3587127858906105
Shadow Articuno,Frost Breath,Ice Beam,40,1.4505159941029246,1.5201666266671239,1.475737127482046,1.5235591114839226,1.5449957102775564,1.6195982346439528,1.4553429449803879,1.5346655358846601,1.478884145095551,1.552421306204093,1.497845385198733,1.589061872685908,1.4933254013322157,1.5630819429797285,1.5307874569986815,1.6288651617444407
Shadow Exeggutor,Bullet Seed,Seed Bomb or Solar Beam,30,1.4979240237254432,1.4455017656941065,1.5504033297138216,1.485694635243855,1.4646503682977916,1.4878071402623299,1.3896515777942682,1.3987861761899714,1.4446965704883479,1.4718293955068988,1.3903466119462906,1.448124191461837,1.3700639066908233,1.407623734710617,1.339856645748446,1.4321050074849557
Calyrex (Ice Rider),Confusion,Glaciate,40,1.2803202249117154,1.3365515822676313,1.394769065081901,1.3364279862304533,1.560832901784679,1.6157258906004837,1.2677038057881904,1.3042333651365772,1.320603955391614,1.3941948874573866,1.3256992461078645,1.3824418967747691,1.278845893837376,1.3106279801339427,1.3135750329635467,1.4000138793881174
Calyrex (Ice Rider),Confusion,Avalanche,40,1.3337847567456373,1.410559879315665,1.3425201398280762,1.4092903565189419,1.5837346091715037,1.6802649579916369,1.317767412276052,1.3882292660518039,1.366266252271823,1.4654198974050137,1.3787482714011687,1.4579560155239326,1.3541818771801737,1.4201797319344167,1.3758835717613935,1.4999851292270172
Roserade,Razor Leaf,Grass Knot,30,1.6250317139232695,1.544576061987863,1.6509718477814643,1.4745339804617454,1.5136382256780465,1.5598976649997294,1.4270292236474786,1.4563500477048659,1.4897028616903438,1.5111359652424532,1.5035018066645849,1.5417852522639068,1.4274897920553797,1.4768124171872044,1.455898244257403,1.529211155062507
Calyrex (Ice Rider),Confusion,Glaciate,35,1.3515188397846882,1.378660815304968,1.4734961106539823,1.4157308362849237,1.60533007675125,1.6618925791666344,1.3350825117495317,1.380905685713276,1.3611365029520255,1.4211233828384613,1.3885354864611679,1.4274613016906812,1.3574898821917563,1.4073803664945062,1.3489773865112176,1.4702237555641475
Calyrex (Ice Rider),Confusion,Avalanche,35,1.3816127815682107,1.4516851235985875,1.4121907050228277,1.4740612520904013,1.6266550212940274,1.7311310181714186,1.3839093254178592,1.4511731863316724,1.4503855377633432,1.5145127813565338,1.4293705669804166,1.5122273274746842,1.4085791802997936,1.4741804349981522,1.4238467715551855,1.5153714223398667
Shadow Articuno,Frost Breath,Ice Beam,45,1.4053965097541743,1.48401103987383,1.3862137478651693,1.4456726693691564,1.5150681331591678,1.5881557285185384,1.391595109367822,1.4637354676843704,1.4512028563132482,1.526127308118339,1.46591426149797,1.5469242093054378,1.4236319551481391,1.487457523232651,1.4578810139884404,1.5456879715274268
Kyurem (White),Dragon Breath,Blizzard,35,1.4694483491617238,1.5140998388589846,1.4192318697117956,1.4190683696735864,1.4269858323220923,1.5102141769529829,1.3653662673592706,1.4358016184317466,1.4148751976082679,1.506759009323884,1.4848552437881963,1.578427086586073,1.3972490377941826,1.4759110534238302,1.467011668599867,1.5675975770553887
Kyurem (White),Steel Wing,Blizzard,35,1.4833321904892516,1.549072582027634,1.5559107929574134,1.5504619764666574,1.5787106099135098,1.6538387218945887,1.4587176225308314,1.5232605392416692,1.5022314947250692,1.5626377880779034,1.4813668198242405,1.5505107730740062,1.4842937364232083,1.547434268047556,1.7356373117607986,1.9324371214149045
Kartana,Razor Leaf,Leaf Blade,40,1.0196934892172662,1.0569153495388623,1.1281858071303787,1.0581171548860742,1.0814428925868957,1.131396903670611,1.023075020318739,1.0596929220113784,1.0469205372794046,1.0894211018744555,1.047990364455547,1.0875763929160904,1.035063050395248,1.0768683017405334,1.045792066938306,1.109121732147637
Mamoswine,Powder Snow or Mud-Slap,Avalanche,50,1.2214574690574964,1.297773168306648,1.375925685678285,1.295862205011276,1.2720766121240694,1.3572295349322532,1.2180377398494646,1.280257252906463,1.2377321561078432,1.3255723918397195,1.2538876745327205,1.3290895302672079,1.240141333838097,1.3023805016990708,1.187877345864438,1.2626178508758885
Tapu Bulu,Bullet Seed,Grass Knot,40,1.3517228374532864,1.400203997668598,1.4015205503553458,1.369428336333796,1.4168605415098277,1.4829995594339112,1.3321583801547756,1.3951111346690694,1.3783324550743652,1.4242205899749427,1.3799884016594548,1.4329035999464692,1.3491162128300118,1.417845199787278,1.363887814888618,1.4594672297732703
Shadow Vileplume,Razor Leaf,Solar Beam,50,1.381962491857236,1.3146432612198717,1.5526407921932286,1.3462930809271874,1.3453033336167384,1.3748676369426258,1.2845418566027067,1.2919626135199123,1.3116779764913375,1.3198941787561702,1.3117633938528794,1.325601106303252,1.275655066115032,1.3179470538925395,1.2736222228831455,1.3223388751747316
Shaymin (Sky),Hidden Power Grass,Grass Knot,40,1.2292333801899407,1.28581959063325,1.2902676602255945,1.3012186084369572,1.3114261201586037,1.3835089156663753,1.2125251775681118,1.2805487826424962,1.2664028305031887,1.325905771774549,1.2755498059508408,1.344345808984253,1.250263648900787,1.3100601209630172,1.2533484023832893,1.3375863744064083
Avalugg (Hisuian),Powder Snow,Glaciate,45,1.3348253162820998,1.407661055302225,1.3789077842012756,1.392442743886076,1.3569280949767735,1.4532884007450977,1.307077988621506,1.3760468567793913,1.3995397206061062,1.438319334960801,1.3621894098229022,1.4370522371414551,1.3213001270922906,1.3920842234300497,1.3600808970050264,1.4971993377549098
Avalugg (Hisuian),Powder Snow,Avalanche,45,1.4476325984845888,1.534441320670621,1.4594759823775392,1.5136158211167408,1.5147048593666668,1.6039620031071502,1.427585780416269,1.5132425174034416,1.5031133384236506,1.5684665598416982,1.4897800776196635,1.5577195878128205,1.4747573078067115,1.5325076841260827,1.5194658418344587,1.6088689290069298
Avalugg (Hisuian),Powder Snow,Blizzard,45,1.6388881269928344,1.7466228957383345,1.68648512238511,1.7162012543296408,1.67892007203642,1.807758600700268,1.5978921516661364,1.7125781829746634,1.7092496800628045,1.8010904750126362,1.6906365704599187,1.7663023598162109,1.6239420242827398,1.7348368080906411,1.658378689190931,1.850935371620617
Shadow Torterra,Razor Leaf,Frenzy Plant,40,1.189309836459012,1.236495011485583,1.3605069212054217,1.250604683565225,1.2696264463320939,1.3269309547917358,1.196932753807555,1.242464398035266,1.2349038037575144,1.2890081409229248,1.2229914796805994,1.2799393317571486,1.2222041949469549,1.278187898290113,1.2546173750111531,1.3439708929403484
Crabominable,Frost Breath,Avalanche,40,1.407530771076902,1.4337693283505333,1.549082889187849,1.4412119618049692,1.4385796767636168,1.5188631849063603,1.375887840559737,1.433469380543482,1.394807876369815,1.4606127738285997,1.4057010304679483,1.4807601373957264,1.3935804872772506,1.4646530200192893,1.4190583826547305,1.512833477084139
Crabominable,Frost Breath,Glaciate,40,1.3707837624712862,1.3307076490554395,1.6498131301193728,1.3484612336077881,1.3476298317346709,1.4022522975135068,1.30920703911799,1.3438019011272482,1.3258627550087647,1.3600933463817524,1.313922469554356,1.359602087701298,1.2962241871952265,1.34862947639779,1.3283962367030506,1.4018975106326028
Shadow Glaceon,Frost Breath,Avalanche,35,1.2238900126855694,1.2434137895566908,1.458436335395448,1.2542034615801567,1.2610470014453659,1.3012158078204343,1.2196985759214105,1.2293278914449273,1.2554443094195964,1.3001064664953166,1.2590801623767676,1.3011018423517866,1.1998774145281812,1.2391137791478508,1.225738333878595,1.283268397624642
Mewtwo,Psycho Cut,Ice Beam,45,1.3736140158398191,1.4624901429697947,1.3856681553463623,1.467908674565614,1.6051059290920473,1.7286808523794432,1.3880790840665747,1.4665800911692992,1.4239839977631281,1.5217073354339854,1.4421376633804701,1.5192666280055314,1.408876630341707,1.5033485663809343,1.4580991186588546,1.5660906720598005
Shadow Venusaur,Vine Whip,Frenzy Plant,40,1.2480097370315768,1.239577261974149,1.305903239966518,1.2328418261532528,1.2629329334745205,1.3208866972228877,1.179750167850454,1.2323403653839358,1.21207265531741,1.2471205652403023,1.2190569656956773,1.26340723558014,1.2001117691066583,1.2452971345645962,1.24407895389069,1.340441562819102
Avalugg (Hisuian),Powder Snow,Glaciate,50,1.241500668563788,1.318793499502863,1.3458008036382312,1.3757390823738072,1.310583634129186,1.4207483440125521,1.2763790239937807,1.3390137460687657,1.3258089840515341,1.3913127641498275,1.344952491412767,1.3835303564259267,1.276556429878406,1.3424371073434107,1.26747563671693,1.4107704051789947
Avalugg (Hisuian),Powder Snow,Avalanche,50,1.3747385744162923,1.4482840196112046,1.4055014208508754,1.4782233943674237,1.4729206439994125,1.5602300218737197,1.3999964663062299,1.4803879995759566,1.4612257627410283,1.5401722821469668,1.4474015256278716,1.5143417941740642,1.4307256879658925,1.4964351063158559,1.443287828768006,1.5189800632503545
Avalugg (Hisuian),Powder Snow,Blizzard,50,1.532517914080982,1.6316350670278055,1.6369037357981555,1.6856996113319742,1.6361155983583116,1.762720379659759,1.5794727728895013,1.6756775857804163,1.6470689451213611,1.7355866949143428,1.6304590266315742,1.7219431681313289,1.583569941321219,1.697078680042905,1.5861761294352081,1.7385024140221477
Breloom,Bullet Seed,Grass Knot,40,1.6126752837110434,1.5153958240477252,1.5676721326625092,1.4863895104062441,1.4823271164563026,1.5439290765889362,1.4049083006466658,1.4711473903671506,1.472969339800187,1.5017045393442094,1.4202078779497702,1.482865682294687,1.4021073884787685,1.447509081239916,1.4256015227671535,1.50331618237516
Mega Venusaur,Vine Whip,Frenzy Plant,40,1.209747317173518,1.229320807762197,1.195597583753783,1.2303377875245916,1.253796984054599,1.308543117507478,1.1621965440474928,1.216103042510336,1.1947046361319325,1.2508630238635507,1.195494490788241,1.2538609091314628,1.1909268723578774,1.2427102205637128,1.198564474714729,1.2735726536398695
Shadow Cacturne,Sucker Punch,Grass Knot,40,1.4446892035519594,1.358170192340659,1.6237508685939528,1.3757213106305235,1.2393278661915765,1.2879369913200749,1.38574684617831,1.377478002756281,1.2852871906825685,1.2706292277415123,1.3708257126288084,1.426908150064683,1.339056993230758,1.3982495515715276,1.3698063825357643,1.4558486750141273
Breloom,Bullet Seed,Grass Knot,35,1.7082610484451606,1.5958360475880276,1.6464684880333966,1.5416898439818656,1.5459618639810169,1.6006693512857573,1.455855330577052,1.5230043464433372,1.5385483992386033,1.5524535687784313,1.4936521390016504,1.5610384975688094,1.4498345997494209,1.4990490612296405,1.4453697369855951,1.52566199724395
Shadow Tangela,Vine Whip,Power Whip,45,1.3230517365515824,1.3514965543250934,1.3765867945284356,1.3670718031743887,1.3825814081110535,1.4523686224194032,1.3276529205979009,1.3960210608148698,1.3664920902921913,1.4194027122070827,1.3651603693625374,1.435482000267654,1.352505340580298,1.4108596306211298,1.3640860918617217,1.4482249253982888
Frosmoth,Powder Snow,Ice Beam,30,1.8619621490040115,1.8834281893921212,1.8982070088201162,1.8696673662809604,1.8122029077361856,1.914630658762241,1.6717110145234813,1.7970688010177036,1.7863572327314572,1.8552808457096153,1.8321363251104072,1.9367176696257304,1.710941654723597,1.7993654399105847,1.7367080074155588,1.8681458128860204
Mewtwo,Psycho Cut,Ice Beam,50,1.3410995302910824,1.4239345836047588,1.3461597928525602,1.417483130172688,1.5628425014878766,1.680357708747169,1.3447206615074736,1.4189989045549312,1.3814834331680772,1.4587738070913139,1.394611232546728,1.4862024356515144,1.3939320191449664,1.459740587508901,1.411385063795616,1.5416728628220762
