Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Sceptile,Fury Cutter or Bullet Seed,Frenzy Plant,30,1.1071296328041966,1.104025096856036,1.0914338420198653,1.0978387782992796,1.0846273351935012,1.106477867350961,1.088086151454115,1.1182285593130499,1.0938088119844709,1.1322012754471056,1.1126288084935538,1.1399919703796226,1.07789585643078,1.120296007859892,1.1024298843053861,1.15580604546491
Darmanitan (Galarian Zen),Ice Fang,Avalanche,50,0.942548085164741,0.9848253162820997,1.0519237023517347,0.9946062759134231,0.9937702409200874,1.0491733588913192,0.9529842043888476,0.9851408176967383,0.9820620086678783,1.0255196963016335,1.0053530802515946,1.039907213275639,0.951353397690706,1.0025869140008834,0.9635269507975691,1.044037315726338
Shadow Latios,Dragon Breath or Zen Headbutt,Solar Beam,35,1.4420046628038536,1.4342013234134467,1.497349344489249,1.4794158783417541,1.5139628533224092,1.5400412740862117,1.4277801335736244,1.4665094172938973,1.4860464365986643,1.5631754976502092,1.4665031003256457,1.5131195075166168,1.4589654146723994,1.497057047312584,1.4711655711863902,1.5617583201974838
Shaymin (Land),Hidden Power Grass,Grass Knot,35,1.5711163300990847,1.6439400692563515,1.5562768908690559,1.6167079267306568,1.6602926286337039,1.7489391632336004,1.563685995971589,1.6478232446376195,1.592416144192199,1.6521341692924818,1.6080474639782307,1.689762234018825,1.5995150662953048,1.6870104468060176,1.5946623838840477,1.7109716563066948
Shadow Vileplume,Razor Leaf,Solar Beam,45,1.582156203929098,1.40513079850516,1.7146551126639664,1.3858352097332283,1.4136992865921052,1.4489986783017335,1.3104968373440757,1.3214512880313791,1.403228408272124,1.3916031273188725,1.381728152741223,1.401043850649061,1.2961881326446913,1.3415988390434728,1.3361587802000614,1.387016823801168
Avalugg (Hisuian),Powder Snow,Glaciate,35,1.4496794322350601,1.5117084376178558,1.7169707708138213,1.5349703478463312,1.5029100549548224,1.601164021981929,1.4360136400579524,1.5246033428743064,1.4852076096658673,1.5388495165990945,1.4790560735156353,1.5553285453004415,1.435908529605293,1.5260449059426913,1.4610336178607897,1.5518940407855735
Avalugg (Hisuian),Powder Snow,Avalanche,35,1.564883258477046,1.6387424143724072,1.820798626599679,1.6689515204614966,1.660509047063279,1.7431499702424658,1.563359129297855,1.6568783349234955,1.6124081860905288,1.67307258003807,1.6119195253602177,1.6973100771735736,1.5972616568868698,1.6916344429121262,1.6051908911558557,1.7240381088342305
Avalugg (Hisuian),Powder Snow,Blizzard,35,1.7858847327459115,1.8678043679500806,2.0943075329088257,1.900021503809373,1.8563599965991389,1.9754983420802446,1.7494434432312094,1.890835365207251,1.83272930624711,1.8915117166915805,1.8511308382031493,1.936681982424053,1.7665557989237717,1.9049061229640447,1.7795953166978953,1.9592243404812182
Darmanitan (Galarian Zen),Ice Fang,Avalanche,30,1.1297288030993933,1.1612387287002435,1.260725691365243,1.1627998315238737,1.1865913324418953,1.2364680512293338,1.1232552387010142,1.140906039082653,1.169184939830299,1.192435501736802,1.2197707097292232,1.2323415265200517,1.156747158450736,1.1841486168573052,1.1369201637767798,1.2266603218035275
Mewtwo,Psycho Cut,Ice Beam,40,1.4051479411663867,1.509711317584942,1.4221268866926962,1.504091943891052,1.6556782785459772,1.771330741464998,1.414405102653804,1.5075886073712852,1.4664415455923947,1.5490122275156744,1.5071775884373466,1.600740509434804,1.4574601371875648,1.5235481283181453,1.4873449721916545,1.6108814402839327
