Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Thundurus,Thundurus,Thundurus (Therian),Thundurus (Therian),Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Zapdos,Zapdos,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Glalie,Ice Fang,Avalanche,50,1.0930975190683259,1.0945171161626552,1.1275406361636016,1.148767401352291,1.1228343267817897,1.1348969298650218,1.137605947162745,1.1653475372154423,1.117018604476418,1.1561201342822438,1.163497648193363,1.0679370669562052,1.091080808336035,1.1047088718833673,1.1445482748003817,1.1278126474589338,1.1407202331412734,1.1216723370021018,1.1394691765949667,1.1684266181044178,1.1183901154118103,1.1302608799795477,1.1152360846311289,1.1507368143894514,1.1312929383041261,1.1346119264310428,1.1526447991572681,1.1725096331211395,1.1797581303873497,1.2173732762401206,1.0847886033779868,1.1710641859070983,1.0773848395140901,1.139480632775812,1.155527279509908,1.206767801249903,1.087812317279056,1.1640752916596537,1.1010925775653932,1.1407540448211262,1.0902702597594582,1.0986873686437393,1.1063125508167362,1.1719333773551246,1.0588825916947884,1.1320735637499462,1.1304999667685152,1.1811954962341933
Rampardos,Smack Down,Rock Slide,35,1.1455331370573885,1.1179672766615152,1.1725053154733498,1.1449038163173855,1.1248601279695545,1.1196765660736043,1.266454799208816,1.2241609433221057,1.1568519968873379,1.1775078749522048,1.2356390686577967,1.100993233795293,1.2223669071584167,1.1208033608345431,1.2073623487827616,1.1193722633214036,1.1631468946972532,1.0926369809080616,1.1916290220429737,1.1470240737361537,1.226408982974205,1.1039446379533115,1.0946861660363565,1.1278432397670455,1.1529655427886623,1.1439230534103686,1.2106124863942165,1.181256948924527,1.2383559912356121,1.2207946591775332,1.0952787361981389,1.132265325533932,1.1314689449245385,1.1354595467721043,1.1498535899867812,1.190364871466131,1.1247137044750328,1.1415838897556085,1.1014065458479847,1.1268894699405925,1.089622952037145,1.0882837067984177,1.136144966429258,1.1638431803958689,1.0682644147688258,1.1159865154740094,1.1419608632254514,1.1849932490514337
Rampardos,Smack Down,Rock Slide,45,1.020690395592582,1.0144033178213117,1.0390937605614545,1.0507222344526193,1.0502066504899592,1.0417202796278948,1.0952980842799878,1.1070238386176248,1.0545845484447307,1.0784505320815168,1.0879153054163337,0.9959643168912298,1.0304086888780781,1.0232502840217887,1.1114500408797574,1.021441415376708,1.074081984882546,1.0073213790953337,1.0718641856710647,1.0537377945766162,1.111269790941328,1.007370602194306,1.001352775875639,1.0335379119156607,1.028402136721048,1.046128166251243,1.0978067418015296,1.0878693016725898,1.0915196274920518,1.1190341816868377,1.0259824131061064,1.068240715995824,1.028608006870602,1.0450900750361858,1.0773792064453918,1.12166476001297,1.0155619998660663,1.0592127682563075,0.9959815666356104,1.0213783948947595,1.0158735643790051,1.0124391787274487,1.0405065896900485,1.0773499781916585,0.9870080882002551,1.0417366086742512,1.0476781106597421,1.0818933941316502
Shadow Sudowoodo,Rock Throw,Meteor Beam,50,1.26808196593323,1.2109562056436838,1.2672783258371563,1.2532372485243692,1.2441409090981566,1.2500908032161173,1.2814476585067138,1.2614826022003809,1.2789249077177107,1.28184444203471,1.3634266600560334,1.1741750672950462,1.2592259185882102,1.2151480620384014,1.3640859784492474,1.2166746488828348,1.381243850760117,1.2037709821540583,1.2740176720695409,1.2475966451252118,1.2631208096714681,1.1860366526352477,1.220858964851316,1.22732468988823,1.2814467600126094,1.2439785868440163,1.3019016569040662,1.262316271263181,1.3453753807358426,1.3636746464715341,1.2181218040834787,1.2535767849994375,1.2405357985606962,1.2349602087675442,1.2758297257898712,1.331275988628942,1.2323861996241883,1.2938350117879278,1.221763592101704,1.2331600196355403,1.1831527095673393,1.1913244131533491,1.2733878369321223,1.3012119796287436,1.178727199113216,1.2240777272133052,1.2764611663479992,1.3080073190049941
Kyurem,Dragon Breath,Glaciate,30,1.4858123364949918,1.4400793801159093,1.4582928404717603,1.4461885295823314,1.4592725766087362,1.4761104289196343,1.5494635750396333,1.5439707548251955,1.3888344744040335,1.448462837224433,1.6114833439278888,1.33069265771923,1.4069493372983095,1.3814238539867618,1.4893346834865313,1.4459731338351933,1.539911669822587,1.4356467198626521,1.4478578883967541,1.4478686683401834,1.352242787817463,1.3655138792816874,1.3841091691931176,1.3979474896029567,1.4561119959874262,1.4206034622487516,1.4740146516826191,1.4915195198541218,1.5177553121359642,1.6234710282873197,1.417826618717281,1.5002883550323534,1.384903568452737,1.467005153704126,1.5057253928894245,1.6127603834371729,1.427204739717105,1.528841571387601,1.4082545407187008,1.4522384315611254,1.7771398932024256,1.796938653829529,1.9288341382239231,2.0333032202675487,1.400992959011624,1.4587630784660075,1.4936109257777543,1.5748190352881646
Kyurem,Steel Wing,Glaciate,30,1.5668972150330387,1.5070250834622045,1.5489725853331846,1.551924339430323,1.5179874189769498,1.5409508724192604,1.5559820226116623,1.5582976548992855,1.668571222501436,1.74212953986958,2.1218261920490518,1.6059864085011266,1.471116790162911,1.4453095686249666,1.5260532524868362,1.4794817441123596,1.5832583724420097,1.455849752215328,1.7239512301954147,1.729497539017112,1.1997496455038679,1.2085089052038571,1.5029529402962034,1.546296417317577,1.2453486561579097,1.2379756795148156,1.56543902856599,1.5713756652958422,1.5902162515198208,1.7014033617576272,1.4754428719940176,1.5638719106831065,1.4614756476754138,1.5467584239766545,1.5767153300665202,1.6764586361101246,1.4804110586269577,1.5955687882050953,1.4527874252396837,1.4931750468347709,1.2661894285254431,1.2547111374646858,1.3022247508995284,1.3269720794714863,1.448132031772196,1.5010409235310331,1.5719567028638928,1.633403737568946
Kyurem,Dragon Breath,Blizzard,30,1.7471899030377847,1.6951978005294213,1.699903532131199,1.6948036724212514,1.7219034486088876,1.7391905678543633,1.8137838298508933,1.8286677856501155,1.628795001948241,1.7017626272215192,1.8192180502602016,1.5541433713398582,1.6428726575245873,1.6257146215970915,1.7407272363544644,1.6961851857025263,1.7989007040896352,1.6985767128852836,1.7080831534674639,1.7033475187335032,1.577464410277355,1.6002285511606817,1.6199941467794503,1.6417327048224666,1.705904603101066,1.680164593375935,1.728009946744367,1.7363110777097204,1.7571168760288745,1.8603586512309052,1.6390253887266775,1.7480526364536022,1.601275705482406,1.716362239087613,1.758518341345698,1.8935113195940108,1.6703620591770356,1.7905553817023283,1.6640827898496278,1.7296801210190442,2.156932412686669,2.1928469802497346,2.3411711326878906,2.4993675055863713,1.63927727611375,1.7243946253431042,1.7552163332930637,1.8726398760924616
Kyurem,Steel Wing,Blizzard,30,1.8280246683446,1.771173816446473,1.8078172392159113,1.830885644877522,1.7971831300311623,1.8160666001102896,1.8061265526002825,1.8363822372375311,1.9864606988713016,2.1010747555337645,2.3927243564442366,1.9150156240839404,1.7103394133035723,1.705323701800669,1.774150859978763,1.7204466808564405,1.8369210639125904,1.7248780295099453,2.0562962717202597,2.0912809304085394,1.371356482231433,1.3878731997853444,1.7572517898258146,1.8098058492426332,1.434723089018132,1.4212422323387408,1.8296888499112975,1.8313819358576853,1.874153979609323,1.9729644807905935,1.698951156923715,1.815769759835294,1.696014441210364,1.8228833646078195,1.837424399017415,1.9685401219411374,1.7389782641594116,1.8556180210625237,1.708903715725463,1.7627669281399332,1.4640668074047505,1.441051538861071,1.4996027686015698,1.5322431113173662,1.7059350352487872,1.789629948598235,1.8471742772886484,1.9443205556744871
Kyurem,Ice Shard,Glaciate,30,1.2345483979062881,1.1781363143812693,1.2570759640297489,1.2472381998874966,1.224711458060713,1.219097899146361,1.2858925691345562,1.2752051953273809,1.1753262973833758,1.2274668431496993,1.3451405498181845,1.1429172050501175,1.208596017158629,1.1787314092807064,1.252921242258682,1.2211170746266835,1.2878684539122645,1.202566518559961,1.1961243701622561,1.202115281832126,1.2161800709836756,1.2269746413389704,1.2520895902650901,1.25073122636336,1.2463337723681205,1.2377872710542068,1.2889842348150742,1.2846358638920476,1.302829057794168,1.3795674886855296,1.1656092911992364,1.22575469110202,1.1816377744609008,1.2162877222614878,1.2414882320523677,1.3018903951238274,1.226309965677214,1.278723445970703,1.202242979793426,1.234174656127591,1.2300009909922782,1.2185402707165998,1.2365216423218959,1.2947519993230185,1.1664628664967542,1.2428428041048027,1.2261761466973593,1.2961217205022837
Kyurem (Black),Ice Shard,Avalanche,45,0.9007210263043165,0.9174582256651186,0.9130613059290461,0.9258723259491728,0.8978359155248786,0.9301761648447942,0.9210555313985624,0.9521998900791134,0.9057782654209149,0.9368609081579968,0.8272995147739804,0.8483568283178847,0.8801390683610818,0.8983484920361797,0.90398445579134,0.9221288385883503,0.8849746343020684,0.9073475375547393,0.9115261556895285,0.9217973751563862,0.8938731091940213,0.9013521138871122,0.8972154013576062,0.9174916582135934,0.9093914837461409,0.9323624155591886,0.9414726504677026,0.9708706183079172,0.9781148115367759,1.0132781257472396,0.9066729930147126,0.9524756865535483,0.8818264751508966,0.9578075757267838,0.9587114188026067,1.0356869228597927,0.9334620894011858,0.9846228588786814,0.8831442911670123,0.9301684649215078,0.8839876029911566,0.9059145371070382,0.9404869644334235,0.9867327563687934,0.9012865037165291,0.9601915719289525,0.9366584034713498,1.013165910298492
Kyurem (Black),Dragon Tail,Ice Beam,45,1.0442061255150505,1.0710333868315405,1.0779008479836019,1.100867858500874,1.0523463400711985,1.1034383589320276,1.0821681912798247,1.128770434362321,1.0581851189570444,1.1091628142677332,0.9794091123332166,1.0148675772906284,1.021023306453727,1.0679942883654212,1.0351821194932675,1.0816275393575705,1.0198617979189613,1.0767324774356597,1.0708357343842048,1.1022976974655236,1.029999470271075,1.0665497680324714,1.055794167426733,1.089753643819217,1.0668582019738697,1.1110340034995156,1.1036879526706913,1.155146288311057,1.1555296139686548,1.2248705034615028,1.0821798137330383,1.1340991264909304,1.037691871418582,1.135100322981516,1.1379660507006009,1.248199174329647,1.085246701973159,1.1535394465899544,1.042339434376221,1.1144197798014406,1.2408141692685093,1.3390398948189377,1.3411129170948437,1.4746632385484453,1.0440070138734805,1.1533789255878422,1.099877006786934,1.1825264080143323
Kyurem (Black),Shadow Claw,Ice Beam,45,1.0889631698200601,1.1195646359811937,0.9836871947880512,0.9998469487703754,1.1853908068833234,1.2690846994815574,0.990371282835211,1.014467256622712,1.102095116128608,1.1612481357890676,1.0076208090916519,1.053777928425123,1.0595812883586595,1.1023937547354263,1.0675790529736042,1.119263514657281,1.1394196772473186,1.2204191866427432,1.1131380756035973,1.155410143613981,1.0477683441671855,1.0859334706534014,1.2537010254501442,1.3219437996114902,1.1053806967635222,1.1647245120523981,1.0122535485203845,1.0502012360214286,1.041794528926563,1.1226670640652985,1.3866853141412006,1.4631158656718692,1.2579887306472652,1.4159133128449697,1.2118658857396114,1.3061848310645905,1.379138138964718,1.4783802265987966,1.2910558110179424,1.3795355593624459,1.0648309257062694,1.1108144902281836,1.1542742623611735,1.2405648352911327,1.314719361408442,1.4065225515739734,1.0061950096958823,1.0817782773312434
Kyurem (Black),Dragon Tail,Blizzard,45,1.0976196476679791,1.1162698466184107,1.1582909286266783,1.1593513031918434,1.1021970209985141,1.1477763405062522,1.131758223342591,1.1855616028044371,1.1269974182194271,1.1660790321143748,1.0758593823212648,1.0658860741378826,1.1092933163032956,1.1267921072014544,1.1208783145798082,1.138855185901078,1.1153629699780965,1.1331668445263958,1.1313150151374425,1.1483868149785807,1.1230455113918587,1.1392275016832327,1.1257029310617535,1.1373005477212694,1.1360741419996758,1.168441870007415,1.1631921520786677,1.1945437435619524,1.2138090749370265,1.3008974025494797,1.1122948219659117,1.199226580741509,1.0881857712002252,1.1893228678590864,1.2021927530219678,1.2966499790737622,1.1060532411857475,1.2238584739104303,1.1221979783407967,1.1708913132770313,1.4984105467817468,1.5487087932876789,1.5545375828915773,1.6849334594271075,1.1245009388099882,1.2166910527652406,1.164051263145255,1.2200224652180185
Kyurem (Black),Dragon Tail,Avalanche,45,0.9745094733194328,0.9942580342888669,1.0107537400016071,1.0312259740267815,0.9891039329534472,1.0323727302897345,1.0142205758688045,1.048428311155351,0.9946713943814011,1.0355428643804372,0.9270993030675277,0.9484566802710914,0.9642391745200456,0.9914391319093631,0.9772841594565821,1.0137232037163786,0.9660883333804898,1.0079054601246318,1.0126711811729239,1.031710460326485,0.9724315248592571,0.9874093415008832,0.9946199621340198,1.0100639402782081,1.0044703696187927,1.0456838668754633,1.0373619581170763,1.0825468397993223,1.0947351740740732,1.140325030603289,1.0125953124457745,1.0668436585213277,0.9723775910591852,1.0584324821103164,1.068206278018649,1.1695875938435432,1.0241059028418764,1.0838677304277409,0.9864091405443852,1.0363067151544296,1.1764095108082586,1.2462335850797326,1.258182794261443,1.3719868366742032,0.9893359308249401,1.0816413811612398,1.0329531480130325,1.1145357818633939
Kyurem (Black),Shadow Claw,Avalanche,45,1.0270945404278518,1.0458416312350187,0.915266352402166,0.9317480113572923,1.1130945913718608,1.1802023705641325,0.9239600665199765,0.9443987455749895,1.0331881377567849,1.0823005855026493,0.9478832124538422,0.981835646362513,0.992706123541797,1.0283054981896984,1.0066892202405027,1.0414717205039452,1.0849257873829743,1.1382530633424426,1.0442602693902279,1.0767302409641315,0.9962855254258367,1.0177033103451452,1.185861820427361,1.2414634377347091,1.0377906531535843,1.0874222755275118,0.9478564804704039,0.9777541372750729,0.985223044248843,1.0526350712515733,1.2971796468430041,1.3739046321821016,1.179832529078498,1.3214403726142385,1.1330916090481626,1.2426075510115022,1.284767087742295,1.3905107032619082,1.2089708372153596,1.295318125807712,1.0017167242715093,1.0402231583415895,1.0850661849776462,1.1571062709146644,1.240661451145362,1.3139863592460583,0.9398101252110933,1.0176398595685192
Kyurem (Black),Ice Shard,Glaciate,45,0.8567783228757097,0.8531802696306251,0.8730084623237249,0.86189090182976,0.8312677850962459,0.8583267107232528,0.8494188816169533,0.8776686999379751,0.8401770769499278,0.875835038960422,0.7988819281813788,0.7939262614330025,0.8381161807779557,0.8336766980896724,0.8576743830587135,0.8653734352595174,0.8414302484679951,0.8439570488773483,0.8465990032518007,0.8511468547225006,0.8594732805498124,0.8538196910221694,0.8608188447182262,0.8583770193847678,0.8539912601447027,0.8614710441242723,0.8846800751965106,0.8949548843388057,0.8720140314195749,0.9531034187789523,0.8561207196298268,0.8935420630304975,0.8106157122115013,0.8740487249719433,0.8987691174025466,0.9709534980880986,0.8493340289725765,0.913588620034563,0.8250209879882587,0.8963828730001302,0.840472265218584,0.8462809324885925,0.8703126132334547,0.9302610654263744,0.8189892190021649,0.8488750260620298,0.8963756567808201,0.9548332715827476
Kyurem (Black),Shadow Claw,Blizzard,45,1.190063549359789,1.2032892030343851,1.020329545099519,1.0117293509203047,1.3314026972871558,1.40113214174185,0.9907368618496786,1.0262082717795713,1.1958285653469936,1.2403155584980563,1.1365661845797748,1.120467076784444,1.1681584557471099,1.1816020548977906,1.1809295195733414,1.1952732114845224,1.344575776519206,1.3562696755657035,1.1960834845737056,1.2227458035160377,1.1656073879527358,1.186057841792234,1.5212408448716601,1.5583426861736134,1.1945594145522165,1.2511572523058898,1.039330537038726,1.0617519054756372,1.0465099140072078,1.1141991736187509,1.6133889574501146,1.7747081800652837,1.4953965160749352,1.6498416705618644,1.3049577967590016,1.403619235640854,1.5697770041662815,1.672906116116924,1.489123713922199,1.5706789288612388,1.1657511311485742,1.1945213589292034,1.2190243156629503,1.3236108191579115,1.4318097877388287,1.5898240912500463,1.0035543000623135,1.095976016048053
Kyurem (Black),Shadow Claw,Glaciate,45,1.0032384598450224,1.0063078463669834,0.8771265973556333,0.8678142538361379,1.1076196118546884,1.1563120933757272,0.8441611711596884,0.8772185415944375,1.0005957810184656,1.0378681255081854,0.9598481354736644,0.9439203524870893,0.9864915120872817,0.985492557306445,1.0097151839305438,1.0043802377774556,1.1263380986216627,1.1204867181756983,1.006967474006233,1.0238048519687557,0.9906677885659929,0.986121409263193,1.2600086756472877,1.255839345196997,0.9972450248041892,1.0555751355711345,0.8866152616068278,0.9258543355105251,0.938897503760974,0.9898702137132162,1.322882767819269,1.381837921261945,1.1741386155978017,1.2595385300916255,1.1175926411821364,1.192344550643797,1.3287159387365557,1.4143298628607832,1.2381434396257225,1.3134116751319889,0.9866857258924728,0.9968097311224755,1.0406536890906228,1.1298169614731306,1.2137918589083911,1.3274038249079274,0.8648836292159462,0.9208724017477189
Kyurem (Black),Dragon Tail,Glaciate,45,0.939237149982406,0.9554367394084612,0.9897987262345092,0.9859629121742408,0.9433600674948175,0.9816795941382099,0.9532767450693047,1.005016797289965,0.9653615190173075,0.9874484526593772,0.9248065281849797,0.9088212137621197,0.9535892916223152,0.9522744934613598,0.9609619054821047,0.9767165470886264,0.9561625326513628,0.9671689980616048,0.9700163413888556,0.9796207682927124,0.9589904595052945,0.9619084981570807,0.9612836927191809,0.9718710132038427,0.9685256567335045,1.000875836112398,1.0008085744510489,1.0242366081854386,1.0136712318118948,1.115482496061634,0.9638472640092025,1.0012635012379705,0.9211864132492422,0.9915420391567104,1.0278645791616652,1.1209893755842637,0.951811993394313,1.031670852299815,0.9414533305282561,1.0210525050341117,1.2311204842789498,1.2599364546700687,1.2860275524799318,1.3548181880516694,0.9424123464849806,0.9690294355844119,1.0021398505721506,1.0697987126747084
Kyurem (Black),Ice Shard,Ice Beam,45,0.9658860556850979,0.9938545301435823,0.9758946903917143,0.9978702356652162,0.9650098866514376,1.006741828450824,0.9938655089078406,1.0279766281628318,0.9710828513201233,1.0127466855714944,0.8851820255404955,0.9152135506902157,0.9385224650944132,0.97301315533646,0.9672158634758995,0.997366109495669,0.9458160611873058,0.9812451853753926,0.9739787804912516,0.9937027256891471,0.9583431154049008,0.9813824850121261,0.9719317237923946,0.995925950130182,0.9689423249955013,1.0010864196585483,1.0123368870956762,1.0523111290067066,1.0551878557998413,1.0968497806019766,0.9806219671052006,1.0198351568556325,0.9476064856735755,1.0269844997474709,1.0248737751061916,1.1126822207626947,0.9903292055852463,1.0583629951835725,0.9488992075656939,1.008153457758543,0.9496291627239777,0.9849814300229427,1.0078696678905443,1.0670285035846852,0.9526899764769627,1.0363063373972214,1.0038612781967309,1.0862089522314848
Weavile,Ice Shard or Snarl,Avalanche,45,1.1647784622372255,1.1648024096996292,1.1438198156991704,1.114046533065827,1.218069578064002,1.228361581071567,1.1579269459568537,1.1574298588030316,1.2733470704951622,1.2801079253890921,1.2630283024660156,1.1591116407619402,1.1819624425743354,1.1989964543689056,1.2982342738433719,1.2207053603190574,1.2534628194868778,1.2006836967134833,1.2611909357543858,1.2625011736453955,1.2614325098479675,1.2352504658159782,1.2207060991884104,1.2586190566843685,1.2407731702523301,1.2252928706621384,1.1704616352010269,1.1798938494875648,1.1483885405315444,1.1964360728005952,1.1996902255712225,1.2648379055676504,1.1926946789717279,1.2183299725492056,1.2383626457172288,1.3064839482958972,1.198736543951185,1.2547762772079947,1.2315934641701478,1.2375464590909546,1.2470144307686468,1.2333793844087162,1.282520078002893,1.2924606755919572,1.1913552405535452,1.21802833633501,1.1317786996097778,1.1722985281573488
Shadow Glaceon,Frost Breath,Avalanche,35,1.1364527679324745,1.0900109242813452,1.2280246231139376,1.1608847687447212,1.144409252930861,1.1390523984554002,1.171636714263944,1.1707230712276886,1.1365079881650484,1.1563992083394012,1.1758695036993232,1.0745863622451595,1.1422238292175233,1.0976428178520254,1.2110651551672715,1.1187968373191164,1.225370609315935,1.101232330361056,1.219396201404867,1.1406649124961832,1.2710902358675615,1.1338303316640475,1.2750770247833694,1.1718965855266337,1.1646141152236589,1.139961259008828,1.1984288052821586,1.1667023804807812,1.1907814171248658,1.219367251285876,1.0868899589008423,1.151330577768877,1.1344979033674831,1.1138211400472242,1.1631876451050003,1.192741421853621,1.1488220687051545,1.1453125873951968,1.1469770284214427,1.1531644276139812,1.1267914059650237,1.1013452895887943,1.168988418547908,1.1590431997210453,1.12416409104005,1.1149842797066467,1.1720368256257707,1.1787048790796237
