Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Mega Manectric,Thunder Fang,Wild Charge,35,1.080548756195617,1.0534260618836568,1.069868491888526,1.0709536266450441,1.0672204420027025,1.078017135506511,1.072228382673425,1.0899599500218917,1.0979630062719385,1.0719525941551888,1.0635601676533737,1.0566681374077118,1.096189790778874,1.073354222674146,1.1243330167849688,1.0749516366143357,1.0692254948550786,1.068923748453938,1.0725519393076683,1.0712611209734522,1.0857931817400843,1.0829427360861017,1.1033679404756427,1.1224300419505353,1.0635196226395032,1.1124906352193422,1.0565628673024563,1.073638333854066,1.0834773547062253,1.129677114755794,1.0399829299376144,1.076250283260483,1.0454270247777124,1.0823977951527706,1.0644134878324627,1.0494010796600286,1.0587489406527228,1.0966009540388397,1.0408601049498691,1.1024317666427914,1.087063749845015,1.1133645527195868
Weavile,Ice Shard or Snarl,Avalanche,30,1.4571392793133746,1.414525536840022,1.3122249556607757,1.3055634825568125,1.4296567873484864,1.4371632813795197,1.3184484461226091,1.3165391600144183,1.5361446186090413,1.4592485914285365,1.5498138104027852,1.4882167655372611,1.5322532290795374,1.439431092898792,1.8569461614146319,1.5595064810066042,1.6770102914463363,1.5920799536767662,1.48488600653457,1.4658727786633452,1.3179369691708538,1.3362217950771407,1.2975833337923277,1.341716432648056,1.4047612498147848,1.4670970208612986,1.4759743898749746,1.448304544259791,1.4294109984371877,1.4924955168085945,1.3955566996730242,1.4325748641242013,1.513223265437921,1.514985516794052,1.592217387154744,1.522300631347465,1.496556884581097,1.4786237925579593,1.4778839967787298,1.4777610763766917,1.3111083670532468,1.3388031816783326
Shadow Glaceon,Frost Breath,Avalanche,50,1.0281972871250027,1.0082064837759295,1.0334509792799114,1.024118682538576,1.056990423446986,1.0447923530348295,1.0411547037964548,1.042888669601186,1.0132964320023836,1.0224935704925886,1.118080275363592,1.037263850832431,1.1039349338266364,1.0237834683379041,1.075610014391257,1.050774472960149,1.0676782804122993,1.093796530928555,1.0593077976791943,1.028021805901732,1.0314851615286154,1.0365899346713094,1.0561967642473213,1.0954434993814695,1.0067256519748158,1.0868252763664952,1.037518535600752,1.0429863270498267,1.0507113460653938,1.0880308279402364,1.01545646790218,1.0650253765699464,1.074341788953314,1.0728966476779829,1.0399778901402168,1.019214574648721,1.0052120038787233,1.0479151862282103,1.0581375961150732,1.0619589214686818,1.039093480878235,1.0610649264008876
Shadow Golem,Rock Throw,Stone Edge,30,1.426561542130638,1.3708320741312126,1.3600085245819944,1.3508960221002966,1.4298120053746297,1.4049232058228598,1.5761541030360362,1.4894602549158644,1.705907557502355,1.4484266265970775,1.5216081215112702,1.377638824276356,1.5683856291668763,1.4129805305635357,1.5526552346921199,1.3788726530211595,1.4377021455361676,1.4415268387940645,1.4047031984102545,1.41215779627717,1.4440314681893804,1.396067834860389,1.5077700508982106,1.4687168691711106,1.4109058866415984,1.4547408039067518,1.4055618208779055,1.4078304296291888,1.4585608566595716,1.502227614504696,1.3798030552869618,1.4186055322567854,1.4216603790397633,1.4395642731870255,1.355335408835867,1.3696269285053224,1.4108561786754537,1.4491400880228225,1.3818350022920693,1.4498819042916609,1.3899824265111966,1.4315307018845513
Shadow Electivire,Thunder Shock,Wild Charge,45,0.9985512821583868,0.9772838390319993,0.977651228496702,0.9643976240378367,0.9762476969730841,0.9648005436622907,0.9668529274729208,0.9891179253654232,1.025017674542239,0.9865469055063242,0.9928386053643439,0.9762983213673205,1.03953852347208,0.9802519186589354,1.150950089776542,0.9793781586898784,0.9657242745409216,0.9638498591683103,0.9781003497510389,0.9826549088739523,0.9935506978426002,0.9897163052150882,1.0134095145062525,1.0595701790390994,0.9797597530679841,1.0358968657081786,0.9962017268484769,0.9992602621516671,0.9986177781756657,1.0540799127693512,0.9864532061517344,1.0293714242036736,0.9828966455151805,1.030120656254792,0.9715579300588513,0.9602691001962036,0.9820966491325726,1.0335728308508811,0.9697996402386321,1.0037780796988027,0.9903915601745379,1.0339730414590549
Shadow Aggron,Iron Tail or Smack Down,Meteor Beam,50,1.0508692019737218,1.0521500409331856,1.072199604571784,1.0903477928728027,1.071522540897954,1.1121209545274586,1.0875561918767878,1.104045327928854,1.0997931317438405,1.100036690030383,1.2516171025453742,1.0931665402673387,1.2675548669529941,1.1106652229026461,1.260552490537312,1.1108566536588678,1.0620725718634458,1.0929686574580064,1.085314068164222,1.137625641681563,1.0750048319249303,1.141726304169741,1.16955291386832,1.222704877445008,1.094192691761004,1.1537721833479002,1.1720542157023195,1.1735644394189617,1.154102230068731,1.2091704857511671,1.1054059811555497,1.1718395856383388,1.123533647040605,1.1674424278235007,1.0671263405409694,1.1043993497480393,1.1177805215746346,1.1629519601667093,1.126448862186076,1.1959791074338886,1.1104055734572167,1.1554367730707849
Mamoswine,Powder Snow,Avalanche,45,1.1800704339872434,1.1968212809954344,1.157784870404353,1.1911532015292292,1.1932905423144065,1.2178242424726302,1.1800168026634932,1.212787047591044,1.2325405248543544,1.2293454477324606,1.2379076711491137,1.2258490753155273,1.2347022411565365,1.2256676040754129,1.1739030578044982,1.2097605596548733,1.1903463599723327,1.2343120432590695,1.1774357095271688,1.221844911137797,1.188554858492431,1.2086112189628975,1.2148449800120227,1.2823437634183128,1.1948799008055617,1.2949404872667878,1.1683881987115587,1.2408571754472102,1.2217545035430684,1.309269098297669,1.1885396573817006,1.2730091304114288,1.2369716571240221,1.28122572930236,1.1691248266628675,1.2011661715471689,1.1944380219977624,1.2722143672847896,1.1982960224098935,1.2859927521665617,1.2036677795133246,1.2462856511343052
Calyrex (Ice Rider),Confusion,Glaciate,30,1.2933996857155274,1.3134361054433203,1.506024435544644,1.5029023604026803,1.7797926324742412,1.7184105486264496,1.492496763882384,1.5364440901259562,1.3908812302644178,1.3516737224176962,1.3749962102412665,1.3385311239419355,1.7807833068479688,1.735993229944803,1.3993237854968148,1.4056521999781941,1.3482272724630704,1.4002584336164932,1.3483994085090056,1.3513986357225236,1.5337688477893985,1.5679686777863158,1.4268607186321232,1.4338959777016131,1.2629663695441267,1.3777610933209494,1.2859366888349972,1.3402586404415813,1.1347858144359777,1.177950038414469,1.3212648421746154,1.3747238237496906,1.3519389847502967,1.4088755568945703,1.3409454359039015,1.3344214378109558,1.3138802447237325,1.3894282793633956,1.3539119177146084,1.4138879110661877,1.4971487288552179,1.5480889986412234
Calyrex (Ice Rider),Confusion,Avalanche,30,1.3271212842707965,1.3856876755285767,1.4960661015596857,1.5217865360907104,1.6808650692751437,1.7013522049648164,1.5160324936515353,1.5654294011217493,1.401924560571402,1.4132643993365663,1.3852291696258252,1.4000568713684256,1.6815377293905875,1.6974162569205038,1.3906682793834126,1.4186825625990038,1.3811162271818689,1.4255019101920134,1.386593810425201,1.4115866507057357,1.509046725808134,1.5963290993912211,1.436687439330316,1.471389819742432,1.375510078595966,1.4853983392236196,1.351321202743517,1.45550025540694,1.232467032748551,1.2841940827811698,1.3728946770708617,1.4566207213738023,1.3946619875158721,1.4664220825580587,1.3731638986972747,1.398300828939734,1.3557173132936702,1.4346579018599908,1.3857609470595882,1.4731584149091852,1.528735537761968,1.6317280195632071
Tyrantrum,Rock Throw,Meteor Beam,35,1.2791473520863506,1.2585750283124333,1.2686624331797087,1.2697484161533406,1.1774657240556943,1.2199597701176417,1.2445970072602095,1.2335142492705078,1.2475197345664786,1.245101718404986,1.2730350975525544,1.2425477795567588,1.3992479634246449,1.2796397065339236,1.2577869744794823,1.248414870065296,1.266954770509385,1.2732190899344575,1.2891146399625877,1.2686439828444995,1.2741621457392278,1.253460881690922,1.3230303962631702,1.3615418094624059,1.2519844319840112,1.3001727442292033,1.2783052088137712,1.2988774988965428,1.2773461709294662,1.3586646332292034,1.2159281929125987,1.2629673928552805,1.2703552684026904,1.321827001332935,1.2280637498099816,1.2648372679004134,1.2927788412833514,1.32077241768253,1.2434928688014018,1.3091984545074853,1.2684848255991132,1.300406921867042
