Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Groudon,Groudon,Claydol,Claydol,Donphan,Donphan,Golurk,Golurk,Hippowdon,Hippowdon,Marowak,Marowak,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,25.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0,2.5,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Weavile,Snarl or Ice Shard,Avalanche,30,1.3762297782455055,1.2713922770923973,1.6011713391291804,1.3138339744121295,1.2416179860308842,1.2336140581860706,1.3725505018288426,1.362657771631442,1.3646346355711316,1.2864414834995201,1.395879495508423,1.3557057367061187,1.3860125125304998,1.361800056860553,1.3241650970744308,1.3359394431948197
Roserade,Razor Leaf,Grass Knot,45,1.365036908879028,1.291729154155049,1.434807166661321,1.2457625561205696,1.3947074548143694,1.3951112476347702,1.2453695527254363,1.273699398477329,1.339044212716512,1.3249875102677762,1.327107484881975,1.3410529538031029,1.3137192770110087,1.3508604169688319,1.3010485702586014,1.3806280657120853
Shadow Vileplume,Razor Leaf,Solar Beam,40,1.6974048473849386,1.3943501928750144,1.8827049243611766,1.4200711490793598,1.5232658926079017,1.4740883488653862,1.3985049330851997,1.355779313655474,1.4937387615798996,1.439564384335724,1.4466902121396983,1.4107542180838326,1.3899056795092792,1.4009589923745247,1.383482863335052,1.4479858735375264
Shadow Latios,Dragon Breath or Zen Headbutt,Solar Beam,35,1.4475672238611526,1.386111963522242,1.5276390124543655,1.4239935964547552,1.5205215391866147,1.5182996613932027,1.44472476255465,1.4260639544799871,1.530800334556423,1.5360544421346496,1.4714028848109122,1.4835399673583323,1.4609401372611182,1.4970557336102341,1.4711631046841775,1.561757912716878
Mega Mewtwo Y,Psycho Cut,Ice Beam,35,1.026564226720861,1.041740732303788,1.079543779919618,1.066766892043198,1.1962276174567463,1.2813571404805801,1.02986244446089,1.0955878803177672,1.0793031571423493,1.117058747583915,1.096333246450818,1.1589053176770419,1.0939674547137141,1.1668590095738793,1.1279110660377536,1.1803374790214922
Torterra,Razor Leaf,Frenzy Plant,40,1.4104719648777326,1.424577209308455,1.4222065181772185,1.404987382648929,1.4926431511671598,1.5457533684181413,1.3731516915564512,1.4387786064535617,1.442388822671998,1.5081464863155571,1.4355230529830751,1.504658241865352,1.4606495130914041,1.5275367122791839,1.4954184729807936,1.583881164919638
Shadow Victreebel,Razor Leaf,Leaf Blade,30,1.6276253687593305,1.428719645012077,1.622979251790121,1.4333718281158936,1.5868093459170747,1.5586195342108073,1.4677943154768256,1.4111469882778218,1.5282168217514067,1.504908885766196,1.5137586559430598,1.4878286626974748,1.4887049014310119,1.4562221874241912,1.4484995662904971,1.5133654966289245
Shadow Tangrowth,Vine Whip,Power Whip or Solar Beam,40,1.191794293008116,1.1913354970979322,1.266102907545958,1.1592316258115969,1.2626554699000256,1.3290807452309144,1.1624409347172275,1.2030391975702401,1.1960895443633417,1.2515280509094584,1.202454555617733,1.2631611284512834,1.2170521653859137,1.2830778886893706,1.234814674883751,1.3196907290810715
Mamoswine,Powder Snow or Mud-Slap,Avalanche,30,1.4362540076396955,1.4218586035058256,1.862280222407511,1.4875631994608662,1.5053210521177982,1.5590637470044966,1.4575168087199675,1.4459153981903925,1.5266211859538694,1.5329365933249632,1.46349315045031,1.4965105770898592,1.4353946834741154,1.517552390646118,1.383413053354607,1.4789921986993921
Venusaur,Vine Whip,Frenzy Plant,40,1.408993021106118,1.38338192076781,1.5712828232318896,1.3895640954881485,1.5072370673616624,1.538953996468569,1.383140596976481,1.428196698685222,1.4521230673659669,1.473718684452295,1.4612677902849154,1.5045526126568827,1.4560432948829352,1.5064749954755428,1.4534585454271773,1.5342426689153152
