Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Shadow Magnezone,Spark,Wild Charge,45,1.0026545146750339,1.0429810567816529,0.9960694096022011,1.0441401448152814,0.9822236318589714,1.024951677504633,1.010866120752208,1.0508202297910978,0.9982368744469015,1.035020335921816,1.068757885078564,1.0435236562244168,1.0738234861124742,1.0652828213432786,1.11976712032317,1.0693078532268923,0.9969263531499556,1.0432333629103814,1.026839859965948,1.0454058500564345,1.0209436209634728,1.056213605082054,1.0375864753315804,1.0958095266072294,0.9853245115753078,1.0645643498719632,1.0275835320153774,1.08429061954575,1.0700592353257943,1.11223478729133,1.0110095185433865,1.072613452348039,1.0065047174399377,1.0643541484291412,1.007853040133706,1.05882481735843,1.0216385731085849,1.0760834531120693,0.994976478261473,1.0418395526012685,1.0295449667310583,1.0942691564713458
Mewtwo,Confusion,Thunderbolt,30,1.4409150475300532,1.5135965873725745,1.6692254039452337,1.7807096642428026,1.8281960930183128,1.9640586910747853,1.7186591768341186,1.7869187479062572,1.4957121420277981,1.5628263423179556,1.4601741737228644,1.5235000059323476,1.8595217064154153,1.9701250531619066,1.4874513080696354,1.556948518803501,1.4685714285714284,1.5567950310559004,1.4648767049911045,1.5488780058538825,1.7034034762661021,1.788490382918652,1.5242865326146027,1.6170115887960284,1.4591127113907267,1.5676255345699392,1.4866474258792393,1.577120954586418,1.2916639741518576,1.3681960150780828,1.4683241834195664,1.5536849796595442,1.491793113510359,1.5674788444703824,1.4618842917302233,1.5655137683645095,1.4801951304499326,1.5781000914673984,1.4704625248053733,1.539223713242947,1.7313586606567934,1.8390319811118268
Shadow Mamoswine,Powder Snow,Avalanche,35,1.115917007614729,1.1291207780176102,1.0804903989549253,1.1460927233981881,1.063196192652324,1.135821083885195,1.1037073636367163,1.1755070576107467,1.1297696620185638,1.1687394897120833,1.1354809749615387,1.1364103760712831,1.1703777766872772,1.1520675892302155,1.1368453640473213,1.1590633115321727,1.145969831410825,1.1755989352262644,1.0634361907677004,1.147026189428577,1.0896859008293631,1.145502470442915,1.1001718490665804,1.194791651366714,1.066735126281993,1.1482107342943677,1.0790545396470494,1.1379632904028016,1.12958535271944,1.2070220786214323,1.0746573719341206,1.1256566215095383,1.0841114677560548,1.1475537399085693,1.072545742499106,1.1390119474225826,1.078017335249793,1.1545537697634916,1.0903817598978645,1.1237007535282608,1.1217643271088218,1.1666881305001073
Mega Ampharos,Volt Switch or Charge Beam,Zap Cannon,40,1.209821864304538,1.2132044104305306,1.2043078500055875,1.2313595603904386,1.1606199892395268,1.2214100205246063,1.1844640729909446,1.2354162328280756,1.1940796099848585,1.232879688748362,1.1841321568829073,1.2012430245480539,1.2572709130761932,1.2374497006575718,1.229528349523901,1.2635315475617968,1.1616220053238686,1.2284826974267968,1.1829433933388174,1.226608382912785,1.1756220222339864,1.2326076407270161,1.2041185024161685,1.2770295081004068,1.1395536259765244,1.2020121927441474,1.1790533988889016,1.2531228254297806,1.2143672590199246,1.2981260096930531,1.142175836328449,1.219637426438643,1.1636878708296858,1.2133060986285382,1.2007561105556246,1.2597779837538408,1.1918027788666754,1.2482860751774902,1.1605861700503741,1.2301661092685365,1.2224404378622022,1.267922300922945
Weavile,Snarl or Ice Shard,Avalanche,30,1.4266232301235413,1.464330459075832,1.3063914482684207,1.3481982867250089,1.3944327835750012,1.4410963726577706,1.3226310472788134,1.3597357260097498,1.4813061161671146,1.4884582044184516,1.4737572720693215,1.4816611364004888,1.4908173029737952,1.4721942781430954,1.6954409925940175,1.5565247186688467,1.5481384205856255,1.5529511978704524,1.4187247718707556,1.4617871558930997,1.3116397564849127,1.3568356273160402,1.3009268099231819,1.3566675969037791,1.4054022435689124,1.4684717474100168,1.4119049520311198,1.4736655981565348,1.4555304254173398,1.5225740441572428,1.38327935542478,1.4460977921718867,1.4120221768310477,1.4880969750024318,1.5171548056080633,1.5171621039724998,1.4231281850254802,1.489559649810532,1.4141213693953734,1.4764019372476098,1.3134363597338485,1.366806181584031
Thundurus (Therian),Volt Switch,Thunderbolt,40,1.1038860878789964,1.1322905149502458,1.1329811216055306,1.1659923006670443,1.1059059720626234,1.1514603024888577,1.1177656741301993,1.163921788764475,1.0904716530603469,1.1501101104726037,1.0834898813925988,1.1316447235723806,1.1138114633428207,1.1629126181830078,1.1403559921131095,1.1891952005386168,1.0974658385093168,1.1473646850044366,1.1104489889617968,1.1626269775983777,1.106901799894124,1.1524947061937534,1.1250091799715054,1.1824097058002732,1.0773290351093838,1.1166369863904018,1.0834578660978085,1.1548921413171194,1.1434571890145395,1.2061281637049004,1.102028121173822,1.1513487894466607,1.096403559964984,1.145936679311351,1.1122196515760818,1.1611916769451966,1.0952567620540965,1.166200618493837,1.1051470282122091,1.1637779103814825,1.129373256063533,1.1732131358660658
Deoxys,Zen Headbutt or Charge Beam,Thunderbolt,45,1.272942991137217,1.2348757466322544,1.3225473308593734,1.2687579719694955,1.4119650483889181,1.2936861927187464,1.2312681969689718,1.2505157559397622,1.505969504038893,1.333305419064842,1.248721579111809,1.2540666242174245,1.3857939117348774,1.2994180815912586,1.3300200779070885,1.2989143502933538,1.3523371783496005,1.3205039929015083,1.2159336559983165,1.2525586823025272,1.2611500794070938,1.2724104464443269,1.4013777301235257,1.323223124715421,1.1850489399591841,1.2207432634438653,1.223748303122255,1.2427305187027298,1.1366505115778136,1.1782014001077006,1.1942316047237254,1.2264504917255816,1.302548390234413,1.280031125376909,1.2343285869636615,1.248939912565594,1.2016202796289037,1.2269175486737227,1.1982625830893272,1.222533686737625,1.2526185876797598,1.2891607641124705
Calyrex (Ice Rider),Confusion,Glaciate,35,1.2640530070899063,1.286556379235583,1.4822082981699634,1.5250632940659645,1.5936792183379718,1.68179885885846,1.481168279360579,1.5552379461854755,1.312184125532729,1.336646078007555,1.2672799395691534,1.3049918726839127,1.6801554781300094,1.6682042725815422,1.318288929498894,1.3628330287582957,1.2857994676131321,1.3686672582076307,1.2627455856752052,1.3028140722744055,1.4470067937180167,1.4856846656079055,1.2949047486156602,1.3451081767842192,1.2285034641431933,1.3496249886261715,1.272378822965743,1.3373449994866589,1.0734087237479806,1.149951534733441,1.229076977763735,1.3235317350606264,1.271872872288688,1.325989689718899,1.2450060941343046,1.3155958749644205,1.2559954701859837,1.3282372925650072,1.2767238867070954,1.3341474584032973,1.4715067611075339,1.554893754024469
Calyrex (Ice Rider),Confusion,Avalanche,35,1.2893613004081776,1.353124054959174,1.4814510814903874,1.5629722970447355,1.5771300090999063,1.687727082516888,1.5121395043827937,1.5935131807170009,1.2981651272324815,1.3907394037059586,1.3011121174130218,1.3576038852921286,1.5767330781561815,1.648865606700036,1.308962320861787,1.3823789314225257,1.323829636202307,1.3989600709849157,1.308878388460582,1.3941805521014674,1.4849788247750133,1.5509859714134464,1.343830324750672,1.4385676306860742,1.2978643199750426,1.401710623805748,1.3094762779343152,1.3981360011863884,1.174711900915455,1.2554981152396336,1.3174789683636796,1.392304198428058,1.3185001459002044,1.3962041630191617,1.307888802119445,1.413029040192093,1.3161200400714317,1.4037806524674419,1.3155798559553713,1.3819541777105508,1.5171174071689204,1.5941189096372614
Kyurem (Black),Ice Shard,Glaciate,40,0.9240815203216779,0.947684139954846,0.9401741020335025,0.958555392423209,0.9099358356968735,0.9637531467741829,0.9195045638741904,0.9793943376141615,0.9292644892028364,0.9510353553071438,0.9181336043756995,0.9429367493108589,0.9517024078254326,0.9707241469558674,0.9326368183129748,0.9782479320957969,0.9259911268855368,0.9668748890860691,0.922369100682953,0.960084556080577,0.9350736721369332,0.9816922533968591,0.9089053067579278,0.9665995916748674,0.9439497731733631,0.986637376350236,0.9233182373005099,0.9758615575911751,0.9549273021001615,1.0340764674205707,0.9137505430704215,0.9554484774280185,0.9059673183542457,0.9828567259994164,0.9461745622805929,0.9885707612923944,0.9433860359771767,0.9910971732218302,0.9134622056313402,0.9422017457431898,0.9190706160120198,1.0096265292981328
Kyurem (Black),Shadow Claw,Glaciate,40,1.1022876188251332,1.1197859747541092,0.9294728769994952,0.9579176348635661,1.166317394105652,1.27387563018512,0.9373151200886776,1.0036487711750957,1.1420413779991807,1.178623404077143,1.1195091180181214,1.1520539764525353,1.2551914646514215,1.286814620342199,1.0878588775608349,1.1497066461479273,1.3456965394853593,1.420968944099379,1.0618483729650108,1.1405888317104433,0.9280262925710253,0.976332274572084,0.9788346576972224,1.0503943715758706,1.4373009580013258,1.5628160299489153,1.3768494541472263,1.4471429712186719,1.193096392030156,1.2846742057081313,1.390418262964572,1.4887633792803825,1.3303910125474177,1.4176271763447137,1.1351219191779123,1.2060474247721087,1.099594930092774,1.193187856613964,1.3086412900181792,1.432494691997058,0.9618694998926809,1.0084889461257782
Kyurem (Black),Ice Shard,Blizzard,40,1.0852516828727001,1.1224852913645869,1.1079390218995542,1.131114091166576,1.0704810994281009,1.1337769260914905,1.0851517906916885,1.1570627198025705,1.088638364616175,1.1227126331680357,1.079843465123729,1.1117970662564118,1.1177638466319888,1.1388343638564464,1.095658603443301,1.1595141627392518,1.0886069210292812,1.1498385093167702,1.0753735197903316,1.1316836607809004,1.0929062996294336,1.1450502911593436,1.0971901943216367,1.2101405637236902,1.0679699990900937,1.108434831212385,1.0762824973477372,1.1511732697550792,1.1262574044157243,1.230813139472267,1.0747758600260675,1.142896638887792,1.0858622702071783,1.1528426223130046,1.1004911799265784,1.157367333980455,1.100718672416046,1.1704168300013067,1.0779200954746673,1.167191684822581,1.0940545181369394,1.1659368963296846
Kyurem (Black),Shadow Claw,Avalanche,40,1.1175010760464852,1.1703097573815189,0.9718712307757521,1.0276702003445046,1.1919150321153629,1.3016519319034745,1.0042683250187223,1.0680797840486227,1.1352106810553404,1.222998037702369,1.1063432614464646,1.1867680966260763,1.204855317826414,1.292028576569503,1.0997974175242857,1.1820507117437722,1.2800780834072758,1.4079680567879325,1.1040403267461214,1.1830677405161365,0.9915850538203635,1.0635697900123522,1.028406503826212,1.0933860141298122,1.4204806904888796,1.564323874640912,1.3429461219926764,1.4356555366696706,1.223941841680129,1.304501884760366,1.3667700146135313,1.5149788696236028,1.3316433226339852,1.477434101741076,1.1359393359948036,1.2250158739426495,1.1396140946905353,1.236891850690361,1.357544302743509,1.5057798254256811,1.0338270015024684,1.09243399871217
Kyurem (Black),Dragon Tail,Blizzard,40,1.2412200207048945,1.2674803551513425,1.2399914451856047,1.2775883130445504,1.1641204641616463,1.2578411966708956,1.2405809061007298,1.3216570931154503,1.25618734849908,1.3101788248394741,1.2211935092208455,1.2834337218361802,1.2472805640069355,1.2735180096182157,1.2283200682889295,1.3149766759642205,1.2441313220940549,1.3077834960070984,1.2110554205804145,1.2655768752510856,1.2350008823010412,1.2964972648667725,1.2483733090492486,1.3517177562680844,1.2081215634789617,1.275324641561919,1.219892540582471,1.3065331219128231,1.2783737210554658,1.3719224555735055,1.2216418499940758,1.300673407322564,1.2334038517653925,1.3185974127030446,1.6330966230467752,1.7772028288460557,1.6685047258155843,1.800688183283244,1.2173020080209822,1.3413496898461026,1.2612255848894613,1.3447735565572012
Kyurem (Black),Ice Shard,Avalanche,40,0.9715507709933069,1.0163879079576237,0.9845435312886556,1.0333753367013099,0.9790652337081787,1.0372813863740526,0.990918815164712,1.051183684133601,0.9741438429799765,1.0246045415760396,0.9664011611581524,1.0127842088819108,0.9869671541204567,1.0362748225210194,0.9871657689718187,1.0384876647109742,0.9804152617568767,1.0390665483584738,0.974537524152048,1.0286189811183595,0.9941437268395977,1.0509087700723487,1.0217675484335296,1.0884802373573432,1.017379209941376,1.0573240956181513,0.9934520482312544,1.0506724769281663,1.0443080236941302,1.1036618201400108,0.9913997393261977,1.0634108772068407,0.990249003015271,1.0467974905164867,0.9894976535758336,1.044498127969522,1.0010017857920641,1.067093514525894,0.9891064514786084,1.0392445289407586,1.0019210130929386,1.0669242326679547
Kyurem (Black),Dragon Tail,Avalanche,40,1.0818435356407397,1.1335561696265277,1.06723236340235,1.1355880278840706,1.0529621191489926,1.128717178896188,1.0954112919185086,1.1641119232425818,1.0909673199359935,1.1545824289487563,1.0577593127968645,1.1251428707025086,1.0774957470474695,1.1254191611869009,1.074162017889776,1.1391807732999903,1.0736184560780833,1.145902395740905,1.065817917471735,1.1385992768733382,1.0930937886006706,1.1720817893065114,1.120191530925488,1.1936019270596183,1.1284527693647555,1.1758198905512733,1.0949909309727244,1.1615313537376941,1.1491760904684976,1.2235648896068927,1.0925984438563925,1.180516608080888,1.0951877249294817,1.1652198229744188,1.2912558295685936,1.4217943758803653,1.3392395139161113,1.4588353151269655,1.1007618545399038,1.1722429608248568,1.1286542176432712,1.1905451813693926
Kyurem (Black),Dragon Tail,Glaciate,40,1.0648412011398891,1.0825203648797628,1.0650647584035637,1.0876290447509278,0.9927433228606918,1.0705259347330804,1.0477134065501974,1.12592852237055,1.0825545629644049,1.1181905216724117,1.0458570462446262,1.0910239627290381,1.074453250237184,1.0894551313508032,1.054504905261133,1.1170770414542657,1.056276841171251,1.1131925465838508,1.0340137355805101,1.0879995408719607,1.0628198341274044,1.119088583024528,1.0471336456971636,1.1195746368403272,1.082489503581131,1.1273478831680337,1.0463033732218432,1.0972952624314118,1.0866558966074313,1.1894345718901453,1.0374619850705005,1.0908803665231646,1.0344081315047176,1.0991999805466395,1.3483801280133123,1.4592568805330726,1.384267607474193,1.4962062807613572,1.062807898863463,1.1025103731560761,1.0737068040352007,1.1478750804893756
Kyurem (Black),Shadow Claw,Ice Beam,40,1.179639760437651,1.2584015629475194,1.0385082253384355,1.105310921261026,1.2663117481783581,1.389198676860333,1.0757769968323854,1.147932384557976,1.2030808299138356,1.3059509448225446,1.1718818592768072,1.2761784608326643,1.2727778323028103,1.3841356691857232,1.1622222756564393,1.2550044483985765,1.3463425022182784,1.490977817213842,1.1707095441241178,1.2667342605169016,1.06583068643021,1.1413887418387154,1.0928278718622857,1.1638588193822246,1.5021122824349091,1.6622947836372854,1.414642771585996,1.5380385804405607,1.3020893914916531,1.389628432956381,1.4409336861645405,1.6135412141079823,1.3971281976461434,1.5747495379826866,1.203091587175314,1.3210623499273813,1.204704037632301,1.3206672764493228,1.4348538044157035,1.5892924050457253,1.096115046147242,1.165754453745439
Kyurem (Black),Shadow Claw,Blizzard,40,1.3061332249553181,1.327806161226165,1.0819951985140828,1.1182760892937653,1.3923072580055929,1.5396958505755525,1.092287654063898,1.1718983828221905,1.3511516899071814,1.4078659390850308,1.3181082930263277,1.3805996416862105,1.5142208100238819,1.5541045081296823,1.2805647061652399,1.369171996729826,1.654860692102928,1.7637338065661046,1.2726072733533564,1.354332064354447,1.0903807128992413,1.1530461443444504,1.1125391066786128,1.153503811524169,1.6950904056882141,1.8671666818317714,1.6428286239034462,1.7936368510512086,1.4009908454496498,1.5070866989768443,1.7149670208144083,1.8135194912911254,1.7052572706935125,1.785137632526019,1.3364910923462052,1.4286110482640841,1.2950999607996865,1.3856265516790802,1.6181290850806955,1.7228181679410501,1.1067933032839665,1.1817128139085642
Kyurem (Black),Ice Shard,Ice Beam,40,1.0483316879289184,1.1042477035007912,1.0537508236898996,1.1149582085756233,1.0496243797782812,1.1184714814248993,1.0656856417426666,1.1313803375081,1.0417876599317837,1.111930181133425,1.0301679645324717,1.087893660693452,1.0647246213236496,1.1213584093957536,1.0527285515052418,1.1258085264980282,1.0478225377107364,1.1224205856255545,1.0415797830620015,1.1107646394888375,1.067132080465855,1.1397123698605964,1.0869380021444413,1.1695577456927573,1.08503724116416,1.1375128361778737,1.069860028975257,1.13442694014442,1.1183952611739363,1.1905438879913839,1.0646944982029307,1.138058375133299,1.0611200272347048,1.127978795836981,1.0613792449112154,1.1273929512396272,1.07624896554728,1.1559736922339823,1.0623499535116083,1.1150969317661426,1.081047435071904,1.1436252414681263
Kyurem (Black),Dragon Tail,Ice Beam,40,1.145878301942644,1.2128859966750563,1.136460850163582,1.2108646142819157,1.1217594037900778,1.2061211815265258,1.1660003337054106,1.2498586925732438,1.1490418238730369,1.2368404971154,1.1228727590557284,1.2095700630015305,1.1410160467170478,1.2161338207871233,1.1356671395594884,1.2261379484466672,1.1420408163265305,1.2259733806566104,1.1343236470070592,1.214355403363113,1.1618801835186165,1.2486875772013413,1.1835113023809174,1.2800699146629848,1.1936020589879242,1.2599992200803318,1.1551202929466924,1.2402208507774266,1.2257512116316638,1.304728056004308,1.1669299735376595,1.2602097239227459,1.1542773076548976,1.2513860519404727,1.3671442229796302,1.5242926060269895,1.4111938673287165,1.572577202839845,1.174740844562246,1.2522307489488074,1.1986048508263576,1.2690813479287402
Shadow Mamoswine,Powder Snow,Avalanche,50,0.9575229649920877,1.0054562357093826,0.9635746022203983,1.0242540548664176,0.9514931817125094,1.0132513234717804,0.9789287021575735,1.0403576597679325,0.9788719165106863,1.034440926240695,0.994304946391353,1.0063397020379592,1.0233932836065036,1.0308932018189552,0.97012058766952,1.0261072905645858,0.9537746228926353,1.0274818101153504,0.9592141258393435,1.0159642645342721,0.9525101464619729,1.0202488088935946,0.9966952102580673,1.0815622108308975,0.9596651544890876,1.0419076835085985,0.9634501089424031,1.0358426210059204,1.0145934302638664,1.0743349488422185,0.9559125557881434,1.0384592598443858,0.9601935609376521,1.046992024122167,0.9606034287716123,1.0403745520628827,0.9669672024042859,1.040184677032972,0.9437143531174977,1.01668031251301,0.9865851040995922,1.0534986048508264
Calyrex (Ice Rider),Confusion,Glaciate,50,1.0971209956270112,1.1562771511729306,1.2731008890070634,1.36185708835736,1.3876859004589808,1.4818732522533893,1.3202964028367545,1.3859328941701146,1.1221581199966504,1.1770209741777928,1.1040771046980238,1.1588840858845724,1.408201655379985,1.5172939771649163,1.1817862123689526,1.2240159420986823,1.1479006211180123,1.2021224489795919,1.1350888604059457,1.1776251602165555,1.2892734250926416,1.337678665960826,1.1875358018888709,1.2625912489167632,1.1087987937242465,1.1570628225292796,1.120087610225756,1.199906457831875,0.9948734518039849,1.0512654819601508,1.1253110312413603,1.1826493937359297,1.157572220601109,1.2189718898939792,1.1255464650371851,1.190596787259975,1.142079358857093,1.2200705605644846,1.1019136564854777,1.1810410624332164,1.340749087787079,1.3901802962009016
Calyrex (Ice Rider),Confusion,Avalanche,50,1.1432749894795455,1.2283074628823965,1.293701806915527,1.4031687494942255,1.388320236996101,1.4937795165757783,1.3382970935293486,1.4184898666083758,1.1662498387385165,1.2405070740037436,1.1500013842144188,1.2170566855578977,1.3759078417901658,1.4941092518075048,1.170355631432144,1.2544093248052322,1.182676131322094,1.2464986690328304,1.1665008704302413,1.2366709391081439,1.311033174519146,1.3987118404799719,1.197655802476389,1.3006771146982359,1.2037670119977641,1.2664725533270074,1.1950924584478844,1.283352916348205,1.0685191168551427,1.1361873990306945,1.1964335084324027,1.2765117105730874,1.1861200272347048,1.2722984145511138,1.1883561893779604,1.2760825299050482,1.1957053878653252,1.3103793719238643,1.1937108838345292,1.2520642233663146,1.3694462330972312,1.4454818630607427
Shadow Manectric,Thunder Fang,Wild Charge,35,1.3261052877484307,1.2377526709153834,1.298626605472769,1.279501585723479,1.1863521331641769,1.229071875975583,1.256979034763567,1.2705587754822236,1.2582854452740766,1.2469869564922176,1.2305448663442107,1.220533041198176,1.289660827035692,1.2597020479602186,1.335860103876118,1.2772795037029911,1.1830913930789706,1.2417533274179235,1.235303120157634,1.2212614542880647,1.184555320275278,1.2370301746956063,1.212799083471645,1.2496658490372046,1.1628082307522325,1.22678764087299,1.16731499754737,1.2368099839153102,1.227409800753904,1.2630263866451266,1.1580433666416525,1.2203187329673368,1.1727580001945337,1.2262304250559284,1.18837808447127,1.2266288124831226,1.1896946731129405,1.2386253756696721,1.1586572487198346,1.2112377013918765,1.2210774844387209,1.2478858124060959
Mega Aerodactyl,Rock Throw,Rock Slide,45,1.031671768220387,1.0750512422136635,1.0459378118942748,1.093573099347599,1.0230270805242077,1.0706106236424866,1.04754655384492,1.0904859035332677,1.0346921546571186,1.0726095389845394,1.0237689390194225,1.061712233687033,1.0294660090947754,1.067693509340138,1.057699937481966,1.1056073867461769,1.0158473824312333,1.0689902395740905,1.0345589501272168,1.0804621888929276,1.0442473972119288,1.0872044291512264,1.072778814094561,1.120764361147423,1.034238473437236,1.0805787003938594,1.0325572375400691,1.10872565907302,1.1031556273559504,1.162617124394184,1.0253169556459576,1.090603894308622,1.0376300943487988,1.0906040268456376,1.030777202828846,1.0749250093054146,1.037484210984799,1.0947515135676642,1.0531632922107659,1.099512912671209,1.0608070401373686,1.115518351577592
Shadow Manectric,Thunder Fang,Wild Charge,50,1.12305491597237,1.0929464152851402,1.1105825366180737,1.1159813181350504,1.0329240589567654,1.0769357227783276,1.070087190239246,1.1252029071173673,1.129000133535825,1.1021888558695785,1.0746131120699542,1.0717616303672914,1.1518447181601073,1.10044124382504,1.1664151918822736,1.1209423391362894,1.0292635314995562,1.09455900621118,1.0549231917050867,1.0811700112868976,1.051757984824422,1.0905571731074644,1.07664174610402,1.108059280583993,1.0305728509963474,1.082099543746994,1.0570036846488176,1.0906902727552732,1.0767259019924609,1.1419816908993,1.0477112050238953,1.08373158497571,1.0454965470284991,1.0832360665304932,1.0586569549763898,1.1041257654159704,1.047702426063853,1.1005967158848382,1.0337630618503768,1.0966819777688348,1.0705086928525436,1.1195106245975532
Shadow Magnezone,Spark,Wild Charge,35,1.0734911748187521,1.101505185023993,1.0946116229870175,1.1324897978058057,1.082189756295209,1.1217909545602487,1.1175005206063091,1.1580069250339848,1.0900665189473757,1.1229163318840547,1.1128213849263004,1.1018900459163696,1.1415026826315962,1.12313524389047,1.1830876695200538,1.1295566028662114,1.0842910381543922,1.1308429458740017,1.1535496336540854,1.1213628450634172,1.0696025233809776,1.1256286394917947,1.1270067417710734,1.1919421882114478,1.0775890083321418,1.151798364768429,1.1038089914557214,1.1669613625215318,1.1288852988691438,1.1759181475498115,1.0942375291283226,1.1596528298905961,1.0995525727069353,1.1490978504036573,1.1102563915426553,1.1640891276264989,1.0821203014068557,1.141216951957838,1.0947946878339185,1.1338310597965613,1.1088752951277099,1.1709487014380768
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam or Thunderbolt,45,1.0615626595068908,1.110033553449509,1.1726242085833305,1.2563226629364592,1.1878798546671892,1.2732396330811486,1.1863214410900007,1.2554476114841224,1.0896545948772036,1.14128769274991,1.0644312262953282,1.1244507634931244,1.2086155003762227,1.2959175745084568,1.092166009425796,1.160211479272867,1.0853984028393966,1.1610115350488022,1.079352629464542,1.1317888776232472,1.1533990647608965,1.2436805187930122,1.124451037703979,1.1996533642759573,1.0862721139722609,1.174377039164966,1.088340310970671,1.16587764228106,0.9508346795907376,1.014582660204631,1.0959358584462262,1.1642936134918442,1.1041362707907791,1.1772809065266026,1.0919812869935848,1.152959121860791,1.1100222135110414,1.1867590051831527,1.088092033138591,1.1715352270992632,1.2144129641553982,1.3073084352865423
Shadow Magnezone,Charge Beam or Spark,Wild Charge,50,0.9459176636430694,0.9857225832155949,0.9748673425740743,1.0212810641880825,0.9560281897828643,1.0050215541577272,0.9810719186897018,1.0211320891381475,0.9654526977631618,1.009958603894267,0.9919656240236344,0.9882381323388082,1.0229904799293355,1.00851408381588,1.058959315187073,1.0130867077041454,0.9744809228039041,1.014505767524401,0.9814531402444857,1.029269412507413,0.9799717663666844,1.0321378154226222,1.016421133028803,1.068915882085102,0.9853245115753078,1.0462102403452445,0.9929501146461939,1.0274124182931976,1.0284760366182013,1.0940980075390414,0.9918934397093093,1.0250799794620642,0.9913675712479332,1.0232224491780957,0.9794186122889861,1.040666486640344,0.9770111938673287,1.0203493183501025,0.9692482757663646,1.0326806455641748,1.0147134578235673,1.0533268941833012
Shadow Manectric,Thunder Fang,Wild Charge,30,1.4418222867227863,1.2988305094780095,1.3506703198036245,1.3296667090553866,1.258259659517373,1.2845730018399082,1.379745116324791,1.3759618282400143,1.3005348222955035,1.308949842586159,1.3039715089123634,1.282688223499215,1.350406484116858,1.3149290901953086,1.4213234586900068,1.347864768683274,1.3119574090505768,1.3112688553682341,1.285864595489067,1.2691159872209363,1.2602567496029646,1.3204517381330512,1.2453475904410791,1.315276941380374,1.203156074924283,1.249405311252941,1.2231322937224078,1.2883038067099393,1.274022617124394,1.3314916532040926,1.2358110509893756,1.2795430309253921,1.2334646435171677,1.2883109619686801,1.3034222030842888,1.298904515498077,1.2354632170390696,1.2757088723376453,1.218884001054662,1.2529523598062753,1.2884631895256493,1.3154432281605495
Shadow Glaceon,Frost Breath,Avalanche,35,1.1441006251470063,1.1596132952943567,1.204562182325445,1.2041151740056955,1.138301970760739,1.1775743767892608,1.160435989999185,1.2006953489485046,1.1538106371469505,1.182584212444181,1.1781563054921673,1.1597086821883242,1.2294999509274707,1.1841957830339909,1.2679288496681735,1.2232434836972204,1.243960958296362,1.217309671694765,1.1506896485757465,1.1860807682742525,1.156079054173284,1.1752470442915124,1.1657976293641583,1.232363438743886,1.1371488736660125,1.205131871417244,1.1441119768197945,1.1978873159101537,1.1869359181475496,1.2418309100700053,1.1419289861368933,1.1858288242031676,1.163736504231106,1.2266681256687093,1.1503390090280767,1.1909617054818016,1.1529944684001916,1.1978047824382596,1.1492901847046253,1.1914211570752558,1.173481433784074,1.2248229233741148
Electivire,Thunder Shock,Wild Charge,45,1.1606357394639448,1.188976163770275,1.1586937337911314,1.2083251446033378,1.152079693924318,1.2093310572497027,1.1737958473077863,1.2122521622946514,1.132266102949331,1.186431854857875,1.1219947716243954,1.1704185468912522,1.1404701148297183,1.1891827788137534,1.1587386986630759,1.2041875060113494,1.154899733806566,1.204053238686779,1.1333575650909649,1.1824747001319993,1.1602589553555673,1.201021263455091,1.1842016362381211,1.261533716199345,1.1617423405389244,1.2230960211098256,1.1550746626207777,1.2284938570173738,1.207711362412493,1.2965212708669898,1.15338283502508,1.2031675816580434,1.1425809746133646,1.2134033654313783,1.1530904924206486,1.199617565703526,1.1562872947428025,1.2280325798161942,1.1647909410083124,1.1997335590680118,1.2049044859411893,1.255065464691994
Shadow Latias,Zen Headbutt,Thunder,50,1.7386351090367103,1.7479779126458261,2.024462144946301,2.118886872213423,2.428175501989359,2.525876613240696,2.0615583007927443,2.1915003421127173,1.7776311649982235,1.8025480446054922,1.6394141213600104,1.6912905228771093,2.4723517191742728,2.5104381358981906,1.7378721025295758,1.809046479753775,1.740393966282165,1.813692990239574,1.7108545520632068,1.767805559275343,2.0803445385565555,2.1826583730368805,1.7713966775847128,1.8426038805575546,1.679180044455421,1.7822464286178523,1.6955430579162911,1.7588551351228026,1.3849649973074851,1.4499407646742055,1.6482384770330583,1.7411528891346422,1.689706740589437,1.7533678630483418,1.7088463475335178,1.7780932293073122,1.6896816063417397,1.789746940197744,1.6888330719806832,1.791593233510498,2.0662373899978537,2.16545396007727
