Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Glaceon,Frost Breath,Avalanche,45,1.2588847838226611,1.304645160670941,1.2346523932285947,1.2873627665190768,1.244387284043281,1.2823827141633068,1.2693597641815098,1.3145031216977068,1.2477564849749565,1.3051633097872708,1.2551601536082515,1.2827257950334388,1.2879821375993719,1.3165464389701311,1.2548150908916034,1.3178651293642396,1.2621508429458739,1.3117586512866015,1.2629847148623572,1.2966923650833126,1.2684731780483502,1.313801394035645,1.2895583332109337,1.3527606010310944,1.2466365964305677,1.3290221107225957,1.2514116882079829,1.3263480909412395,1.320495422724825,1.3737102854065697,1.2572870176547257,1.3326454441328648,1.268334792335376,1.3297587783289564,1.2654488129210244,1.3316303816314765,1.2783483601202144,1.344640446012457,1.268147819208726,1.3124991326792579,1.297402876153681,1.3578450311225585
Tyranitar,Smack Down,Stone Edge,45,1.2465610514374221,1.2875564224374492,1.2746114688462176,1.332240860413945,1.266092553354013,1.3233688251821643,1.2826407221488558,1.322724174370131,1.2866584130964696,1.3318252083951032,1.3675741840056002,1.3058481081743794,1.3576405927961526,1.3099257369058135,1.2776041165720882,1.342163003751082,1.2505803016858916,1.3114640638864241,1.2529699845044286,1.3110496814799228,1.2530770248808893,1.3102170460561144,1.2859450964264207,1.337132617540355,1.2642627809335638,1.3481171439341748,1.2739188464653608,1.3518098128015879,1.3404846526655896,1.3984921917070543,1.2736679963663653,1.343181010308464,1.281125376908861,1.3367741464838052,1.2953137201953042,1.3547953903530219,1.273356853521495,1.341826734613877,1.2778063029932973,1.32766683781796,1.284996780424984,1.3526507834299206
Mega Aerodactyl,Rock Throw,Rock Slide,40,1.054143138983604,1.1007387519140825,1.063689051764334,1.110549781698092,1.0741310253668193,1.1176627853684133,1.1094864170257017,1.1572476805533818,1.0739245273623959,1.117889500236517,1.0462584684260692,1.081170333516577,1.0745350377858474,1.1132491739457584,1.0737412234298356,1.1231454987015486,1.0645465838509316,1.1124755989352262,1.0615040269355116,1.1043081514357318,1.0725692606317276,1.1140374095641434,1.0982477270390552,1.1645050893762026,1.0774460230596248,1.1232403062484564,1.0808455299391975,1.143507375001426,1.1201400107700592,1.1770382337102854,1.0720012638729808,1.12770054109562,1.079491294621146,1.1242461822779886,1.07339965113818,1.126495252413934,1.0846029879350145,1.1368874950999608,1.0802792078933128,1.1172340100747977,1.1005687915861773,1.1702511268512557
Vikavolt,Spark,Discharge,40,1.2993761330489477,1.3261532898221202,1.307458873307823,1.3429208910879642,1.3074107777430903,1.3560371568438603,1.3120818173234496,1.3575032626817756,1.2855358068392977,1.3513553886232004,1.267353105188431,1.322533824268047,1.3082572709130762,1.346484771158439,1.3221722612292006,1.362376166201789,1.34826264418811,1.382047914818101,1.3014175578214375,1.3482486178332984,1.2843325392623963,1.337502205752603,1.3176123261313397,1.3980876283360015,1.3041686706269255,1.3874250952151927,1.302780027606347,1.375742918743797,1.342950996230479,1.417458266020463,1.2988862119357005,1.3659307239622418,1.3291265441104951,1.3625620075868108,1.3121948371369976,1.3565032076311698,1.3194302887756435,1.3861579337079142,1.308821692732546,1.3842855358654473,1.332796737497317,1.3967160334835802
Mega Abomasnow,Powder Snow,Weather Ball Ice,30,1.4074672025831516,1.4562789112489658,1.4952543901226576,1.4909191801250852,1.3954938857928543,1.4608006589129265,1.4452548513394132,1.4856797695621862,1.4633240461807624,1.4883857782083114,1.525325191515952,1.477733922349526,1.5070500866948016,1.4876459907743644,1.4276504039626816,1.514364119457536,1.6167027506654834,1.5401739130434782,1.4042335431293402,1.4665984351385994,1.4522344273866243,1.4989743250397036,1.4302101846275868,1.5384604086188916,1.4193108109864685,1.4978357229205392,1.437047261610066,1.5126110813246483,1.4903392568659126,1.582552504038772,1.410985820924997,1.5024092578695842,1.4370197451609767,1.5083284699931914,1.4175686228716144,1.4878810658531423,1.4254453591184286,1.5115031142471362,1.4147735945934694,1.4873648714283734,1.444172569220863,1.5144558918222795
Mega Abomasnow,Powder Snow,Blizzard,30,1.6471351562387495,1.6841191539474505,1.9018951611349386,1.7279491951923485,1.581148580879569,1.6453809672469795,1.6083979941459274,1.6999380446156371,1.7633948880675556,1.7564080221081007,1.9214557189807435,1.7289213805759123,1.789307095887722,1.7220082114698858,1.6587296816389343,1.7578898961238818,2.0307258207630876,1.8738101153504878,1.5923612572456145,1.6770799456698489,1.6215590259396506,1.7088737427210166,1.5862256363556246,1.7389362983417298,1.5447218936449545,1.6500240475231052,1.6184163995391336,1.7357890053729708,1.6679267635971997,1.7642003231017769,1.596913385204787,1.705122635175165,1.6323558019647895,1.7292943293453946,1.6177043724501339,1.736689607858879,1.5975608693758439,1.702156017248138,1.6105660482091562,1.6718058311708137,1.610785576303928,1.7079738141232026
Mega Abomasnow,Razor Leaf,Weather Ball Ice,30,1.7521076910522535,1.84672937870916,2.04519600929469,2.0011772503593406,1.7987060863096227,1.9070082563383837,1.911472352248049,1.9864668228270022,1.8759791684113085,1.9233821229480184,1.9970318487963266,1.876413381794021,1.9430104360912095,1.911775771256584,1.553476964508993,1.6638693853996345,2.1206495119787045,1.9580550133096717,1.5980142712298893,1.6835555640579267,1.8928886536086114,1.953800511734604,1.9150008078374925,2.0750260711190753,1.885000844912974,2.040932783923256,1.8420049965206875,1.9738652308324112,2.15571351642434,2.363435648896069,1.8602432955487975,2.0043445633713812,1.8725075381772203,1.9904800116720165,1.7841946619762512,1.9261551486311919,1.8596977220262207,2.0262293653904786,1.8332801376611483,1.9575637307281333,1.9141446662373902,2.0620304786434858
Mega Abomasnow,Razor Leaf,Blizzard,30,2.1653991452430743,2.1885745464204054,2.893764233939492,2.5286836761039373,2.184963899276657,2.2710211157680784,2.399961455731649,2.440582975591648,2.406928924991343,2.3780195505501,2.8103606471795644,2.405855622481224,2.6464630974580428,2.389235122844898,1.8088150428008078,1.8981647350197173,3.18610115350488,2.6679609582963617,1.8218487555717102,1.9155682666003482,2.218402593965061,2.3051989588847714,2.2967848067799594,2.455708473480898,2.2041179758484875,2.4024775448128843,2.274078552606062,2.3826559131198595,2.6894345718901453,2.8475713516424337,2.2079860973972116,2.3380564003317668,2.3362148623674743,2.4436095710533996,2.2696526708364657,2.3344256552106675,2.210906398362298,2.340955616533821,2.2292918499604504,2.323156769958785,2.2699077055162054,2.4280317664734925
Mega Abomasnow,Powder Snow,Avalanche,30,1.4200613466501752,1.4746125032601407,1.5354639445401401,1.4984200568008847,1.399495851904006,1.4570527595299931,1.4487264223546408,1.4823724643885883,1.4669679898784371,1.4996503172041673,1.5340358551083444,1.5061221826292954,1.5228759773612064,1.5204284849674485,1.443802899874964,1.511764210830047,1.625639751552795,1.58629636202307,1.4027987680064278,1.4670097373405009,1.4675754367390155,1.5156056996647256,1.426479444207805,1.5106707988778403,1.4040113868271569,1.4894645851477297,1.4339672146108302,1.500370746398056,1.477684437264405,1.5780829294561118,1.3960069513013942,1.4659939176112802,1.4422478358136368,1.5144562785721234,1.411430698380493,1.499324901289621,1.4101398144518489,1.4904481902521887,1.413025075977297,1.4928185842550064,1.427141017385705,1.5015668598411678
Kyurem,Dragon Breath,Glaciate,40,1.3010338046603613,1.313165528750842,1.403199577654208,1.4493223585083794,1.2841678235282397,1.3734930355826265,1.268687179633105,1.3678610647272087,1.3911603810523983,1.439629358869608,1.2978058224013351,1.3471412017354094,1.3831399057807439,1.3759426014983478,1.3441076752909493,1.437241511974608,1.3334267968056788,1.42603371783496,1.3659537428500375,1.4529298108009872,1.3718126874889713,1.4354376213163933,1.4320168030198435,1.5161347179178355,1.3583080942662906,1.4587877448622792,1.3732218432370153,1.4698326507797081,1.4177382875605815,1.526677436725902,1.3961945574469767,1.4718195821319957,1.3602640793697112,1.4383206886489641,1.6991614179262429,1.8448294737149404,1.6528507339169825,1.803188292173004,1.3750017346414845,1.4854914586253314,1.3718931101094656,1.4791264219789655
