Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Tyranitar,Smack Down,Stone Edge,45,1.1986151144461523,1.1975889180869992,1.2045577439055812,1.2348587131303053,1.2261079087916045,1.2557698334458898,1.230197108702523,1.2434065321879422,1.2624322045272645,1.2516283760049645,1.370403113398181,1.2448931530227745,1.34472524330018,1.2261417395508012,1.2554206865285178,1.2595167745438716,1.223496754238305,1.2622865565012567,1.234761163284542,1.2686712665251638,1.2304706316562475,1.2697369842894486,1.2720149680537782,1.3226500508056374,1.2633649071497477,1.3471617160296854,1.2535130096426457,1.320519316581806,1.314003244615969,1.3708626495391936,1.261848836912479,1.3307127200516442,1.2802292163594504,1.3358404318699226,1.2476012100379719,1.278412194314751,1.2618394302639782,1.3220184178047456,1.277796414708943,1.327656121473566,1.2583820293914236,1.3246370407812222
Glaceon,Frost Breath,Avalanche,45,1.2718981039476496,1.2574300125597349,1.2387210228695642,1.2418327225890837,1.2581947464178993,1.2472882494204787,1.258877033973299,1.273510521434193,1.2617403014004536,1.2617738713298987,1.2963994076431047,1.2644879310418513,1.3155949453610871,1.2751789107555866,1.2827583124519053,1.2765511307660706,1.3009585087158682,1.3063173788986784,1.3011582957512735,1.2606150612387261,1.2814217307099618,1.2740804438069073,1.2965468847032064,1.338109260658303,1.2457634489988691,1.3280806181788771,1.2544573694728989,1.2956370913042827,1.29572746503713,1.346578204246189,1.2459195149056201,1.3202752145427459,1.3154487106455426,1.3302077540077113,1.2851583261982134,1.25545761677568,1.2600034428201892,1.3247926562457701,1.2741759839589502,1.3124905009080967,1.2813266229831677,1.3297233056213056
Mega Aerodactyl,Rock Throw,Rock Slide,40,1.0428427146245998,1.052256902749432,1.048908029146931,1.061324239566685,1.0602288540085092,1.0713476911321749,1.0827434674733962,1.0999809238429135,1.0537388305749416,1.0601276820076242,1.0372201208857867,1.0349875430437556,1.0566817052515223,1.0602024615393988,1.0716754493091,1.0744060923424046,1.058370597815916,1.076189705507661,1.0662036273518203,1.0695185042458268,1.058513338178276,1.0796240349749064,1.1023468452027962,1.151892757291807,1.0766887811472885,1.122448318043068,1.055824182058135,1.117039228620073,1.0980109861426373,1.1537866412248885,1.06205193351314,1.1172312868713103,1.0791647191810014,1.1234688177808274,1.0453760933629976,1.0617069410666644,1.0685977034055016,1.120107096517698,1.0802786612720594,1.1172329416070241,1.079036503663873,1.1460090433710286
Vikavolt,Spark,Discharge,40,1.3091570445933787,1.2795869085647953,1.3336422043113931,1.308460110211753,1.3471816003946653,1.3356913324000137,1.318804299449723,1.3233829355227682,1.3004093593463404,1.3083471785849605,1.298978661131549,1.3003705810580224,1.3335130719811539,1.3051317414897896,1.35483979829705,1.315795924209696,1.4133748280413971,1.3712145745234954,1.3258164820226417,1.3124651563107792,1.3229545653439465,1.3042305102029168,1.3327726450893327,1.3829485620818873,1.3032475496061378,1.3864435547107385,1.317797711618373,1.3438887016103607,1.3269404413963088,1.3894563323286537,1.316161671705919,1.353255122853088,1.391876114911213,1.3620844502450176,1.3406719464717243,1.2816570668541447,1.3206426646572753,1.3656994433862928,1.331852308656332,1.3842772673432329,1.338032349385183,1.3678004210212824
Mega Abomasnow,Powder Snow,Weather Ball Ice,30,1.4226604433412238,1.4055763224647595,1.5413822081410469,1.457025071509136,1.4471324268917456,1.4442450331803753,1.4514755136935307,1.4370053006487293,1.5117760749425857,1.4567561483450804,1.6300501847132913,1.4991426077412793,1.5728310760788113,1.4642348580484974,1.4642684144318538,1.4707314164205523,1.7785472325907496,1.5845169488361934,1.4347558252124066,1.4329437639043185,1.494930502973552,1.478927809083887,1.4414238581494085,1.521790150101817,1.4339822199076382,1.4967783414874787,1.4815498251962382,1.4914010394305435,1.4969954510356331,1.5512948678654295,1.4281192517879302,1.4884655555388007,1.5538567482746422,1.5432780407442115,1.4525545443336738,1.4334040172408493,1.4233045806313194,1.4891928199905515,1.5132049388336908,1.4941330224362221,1.461719202038771,1.4843551851223433
Mega Abomasnow,Powder Snow,Blizzard,30,1.6645338512209302,1.6282010904667734,1.9741534418854283,1.696576223787494,1.6424580139896552,1.629051378703497,1.6134286111464606,1.6552126701233587,1.8241441434007362,1.7198767552243903,2.057649118399835,1.7525688326827105,1.8704467972192074,1.6981776272546525,1.6996770062900681,1.708680185359424,2.244256751763053,1.9272626695691586,1.626786050563076,1.6397513875280556,1.6657681961212554,1.6863671299801763,1.593813771316004,1.7201037251700395,1.55288213096972,1.6488638924306678,1.6700356768075755,1.705333947038293,1.6579438124820187,1.7293449825808136,1.6145717623254012,1.689296782329819,1.7642364554264325,1.7572967670570114,1.6560498776408052,1.6760628634977794,1.593230886313543,1.677030926290344,1.6845871443016949,1.6747628015153493,1.630674391688225,1.6732188485687127
Mega Abomasnow,Razor Leaf,Weather Ball Ice,30,1.7705135189293653,1.7811224243107815,2.1122909196703614,1.953411816496393,1.8641804558616628,1.8866359172619187,1.9155920007434077,1.9182066849835526,1.9392416784239561,1.8746810153422078,2.1371319755777387,1.897199292595189,2.032009049891691,1.8808732748319577,1.5927864271690382,1.6128735064905348,2.3379927360877946,2.007439284301467,1.6323728043677292,1.647567132435428,1.9487592126841107,1.9279378807306986,1.9304494861675248,2.0525411831342613,1.8995368227165745,2.039486715427379,1.8996786776502794,1.9414600048933746,2.166558769624186,2.316743560143879,1.8814165060677368,1.9857435024950627,2.028966475737378,2.025152496453867,1.8245262506907074,1.849353039610047,1.8571298673450949,1.996314306384476,1.9635240799154574,1.9604679690188747,1.9346700531449108,2.0196998525695933
Mega Abomasnow,Razor Leaf,Blizzard,30,2.189272524499615,2.1124190841143355,3.0131917895276574,2.485647280405087,2.261954838326144,2.24787474393105,2.4111473063143802,2.3648710506611916,2.4947905658371017,2.330161318826873,3.0202079265726995,2.4389986013641347,2.7762865938945165,2.359441528439692,1.852710802143985,1.8449205471360846,3.5330846222973595,2.751669655090689,1.8639079927250641,1.8705047954505127,2.282489336686744,2.265895851486015,2.3071914357607706,2.4291065006725336,2.211225405252956,2.400779054174628,2.346032801082136,2.3418475474760987,2.64898990515897,2.791317786512688,2.229889861736275,2.316355926209338,2.53474569621888,2.4777794156409763,2.320451549321952,2.242072364502206,2.19702219885727,2.3064039999777566,2.3697301360016776,2.3233579931179458,2.294863805994231,2.380321249003615
Mega Abomasnow,Powder Snow,Avalanche,30,1.4355050239380995,1.4230910047319325,1.5845713088530953,1.4694281877361595,1.4516528016359114,1.4415059300746402,1.4542330809663708,1.4407297205273104,1.5161585448379544,1.4648466888828333,1.6384624807423231,1.5271336412415473,1.5916931972983692,1.5015419104999697,1.481199224340989,1.4662148875728211,1.7907375974974904,1.6312877848575216,1.4322157925546084,1.4353304917435346,1.5178997172937823,1.4944243713306216,1.4352593218472154,1.4943114521733283,1.4154510592435297,1.488415111316674,1.4722780008094796,1.4833434146373392,1.4794777946007382,1.5469045826207275,1.4116118328365124,1.4523902166912814,1.5522867352890977,1.552374020709915,1.4460990821132,1.4450233349948276,1.4060717806621665,1.468444343915127,1.4945233975987582,1.4975007615946723,1.4448318262607207,1.4717453114942027
Kyurem,Dragon Breath,Glaciate,40,1.3041798220953218,1.2588695337111184,1.4017370427396574,1.378002996714683,1.2893681740186032,1.317327245435791,1.2410073013695593,1.292664516982421,1.3776460152837575,1.3573464602384815,1.3070655394028285,1.3028793449417686,1.3931736660653378,1.3172917436380784,1.356012884190363,1.369672354937007,1.3565531666814064,1.3883537395468837,1.3709592729809361,1.4063370165481883,1.3737442212642257,1.391089617490497,1.4178654866990243,1.4997132897104744,1.3573507792784503,1.4577617489449923,1.3454094759893884,1.4358014329237236,1.3897333254908315,1.4965241492373011,1.3832400188515321,1.4581563854620876,1.3628564590822123,1.437322493331835,1.6886883831432653,1.7387243372909218,1.6456038870992076,1.7765732829698155,1.3749981999120495,1.4854785206836465,1.3434788001211468,1.4484907417782902
