Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Zapdos (Galarian),Zapdos (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Kyurem (Black),Dragon Tail,Ice Beam,35,1.1797436492121696,1.2066009552122747,1.1870762459712998,1.2178512062840163,1.191492925016778,1.2284258919635573,1.2722050992084932,1.3468413037045557,1.1953895345600598,1.2372963531442411,1.1716599553730702,1.2146963170123652,1.1822424177339164,1.2197155520926075,1.206379117563263,1.23477359455106,1.1969364805026301,1.2425511492418486,1.197962976287804,1.2521516592845192,1.198211053446331,1.2367625964946627,1.2116706960297008,1.2395672185925546,1.2055902051063603,1.3212988884293773,1.2132153380602022,1.311387827553502,1.182024905896181,1.2793035077539563,1.2485169406643217,1.3429510069506847,1.2115952107366583,1.2966962795569201,1.230052960541185,1.2947840128245527,1.4093896786742666,1.4926770977653387,1.4810830363291194,1.6034790583769851,1.2152153476778997,1.2823693294011649,1.222836811760379,1.3093867774176569
Kyurem (Black),Dragon Tail,Blizzard,35,1.2772789370393636,1.2554131325576163,1.3052296561089258,1.286152245959637,1.2993210796411716,1.3041317582656533,1.3967839099668073,1.431888995373594,1.276899755260881,1.304006624198601,1.2746405999285706,1.2699764212323064,1.2699942950943253,1.2805498698377515,1.3422680756621244,1.3038995222368484,1.3163494924520838,1.3288636934836824,1.308659209759146,1.325005226195556,1.2933142174497096,1.2986985177101698,1.3082107675950851,1.298310354148227,1.2626125644942061,1.3914641059796573,1.2831790855813237,1.3464993114964716,1.2715002554069401,1.3292076632000753,1.3016038689131895,1.3857107345759008,1.2861185517922042,1.340104365219243,1.3012332731569625,1.3649578437379626,1.6897741616857767,1.7187582388788163,1.703895251252428,1.8192990313579014,1.2471482256796849,1.3485637564810753,1.2851573161637062,1.3556282899300431
Kyurem (Black),Shadow Claw,Avalanche,35,1.1332088430532687,1.1599088344294748,1.0273024654755754,1.032725541593254,1.300668682074502,1.3541634828576836,1.258297120014044,1.3070296155505672,1.0240857640845002,1.0556876965770843,1.1553621175967674,1.185424624430434,1.167228976167665,1.193729745613625,1.3085240118838093,1.3386016957063702,1.1751735333945348,1.1930245059819735,1.3543442763087086,1.414707987450717,1.1767575287666756,1.2159057357096608,1.038204001187746,1.0544010435664009,1.0685587889188772,1.1126692871496544,1.4222843985354767,1.5680757199005373,1.3456683677264816,1.4858081025991996,1.2160371143679285,1.3340683609924275,1.4136819057251655,1.5147245219437968,1.3910890380309326,1.4872862907961295,1.1665940145265585,1.1940004639058952,1.2032590318711538,1.3001911254957623,1.4748396854433075,1.5486849381657524,1.0405144945074285,1.1049354007653263
Kyurem (Black),Shadow Claw,Glaciate,35,1.1387925176585556,1.0926926141646018,0.9928650627057753,0.970533732666882,1.3316222091869347,1.3401677951478985,1.2681014633687608,1.2954433423831078,0.9666755294053418,0.9902166327023881,1.1772558570422886,1.1475894449990565,1.1645926922790315,1.1530781003474808,1.4031739230812663,1.3321563689616909,1.1668185176511123,1.1763219682259227,1.4254698414944493,1.4469593763760729,1.163418056089637,1.1737153424121307,0.988908092278407,0.9750063426744461,1.0075591849987084,1.058628684583894,1.4363498887784212,1.5871297343141515,1.3867158634986287,1.505000976993538,1.1703542452216436,1.2802834815678574,1.3850630163709108,1.4677503532975351,1.381746943041086,1.4350957072482644,1.1607896191663718,1.1566605211748355,1.1870628569473323,1.225872544712551,1.5012604342491065,1.5683023131584575,0.9794105342056917,1.0258612504628024
Kyurem (Black),Ice Shard,Avalanche,35,1.018886241636058,1.0318124293404725,1.0221575515576844,1.0347899960213316,1.0175128671282034,1.03358767798999,1.1173326462513986,1.157291301995006,1.011418316894995,1.0431022852467786,1.0012203545460974,1.0172983897208903,1.0185375007315762,1.0384173812050845,1.0524295718023569,1.049149007829639,1.041576783071481,1.047138119505078,1.0410690781792757,1.0753658487211304,1.026571910165018,1.0466434231228285,1.0477293339645755,1.0527886894864429,1.0430970903453776,1.1084583562927497,1.0262710385388607,1.0922008511692771,1.0117904968780842,1.0813751308030688,1.0541057704688686,1.1414787492179737,1.023219550618942,1.085395146088411,1.0450524057823818,1.101891911357113,1.0294268229839976,1.0389653277243383,1.0442943112669334,1.0958857609672612,1.038439558467545,1.0859307955419781,1.040167193836401,1.0976360987311435
Kyurem (Black),Dragon Tail,Glaciate,35,1.1003320315426652,1.0687962620029756,1.1212132473488574,1.0990281287349715,1.1123951339031393,1.1058485494746304,1.195662194607405,1.2331794459948406,1.0903152835098395,1.1117492474015949,1.0921381123020004,1.0821537854277752,1.0905224825146362,1.0951747514667893,1.1593737574849852,1.1118990443665255,1.116987843027586,1.1285024956594005,1.1190129495405057,1.133632868330538,1.0994961895027608,1.1158145637521484,1.133813706014309,1.1320702554083786,1.0802201424992675,1.1259251225780063,1.1263137333858215,1.1988740765534556,1.0855755087061532,1.144693238907156,1.1086868265018266,1.1830615380926381,1.1015034939739843,1.1570216780564297,1.1112776949544632,1.1447732312548295,1.396583407289612,1.4154181041883853,1.3945227697799305,1.4928628863982558,1.103829507698233,1.1483049345712508,1.103818275223282,1.1444924980996702
Deoxys,Charge Beam,Thunderbolt,40,1.443074936438748,1.2759552222200565,1.4965985168393627,1.3255201227582216,1.5501625679871391,1.36962394969527,1.5157508023994801,1.4227687106658073,1.375946054365343,1.331330941898479,1.7343572408672052,1.4299117582576482,1.427395718888635,1.356062575607769,1.6381906268263156,1.4392335032220995,1.5114486913310876,1.3415162403145588,1.5403206749498777,1.4322025643333147,1.3298042327546042,1.2970633998289514,1.3719158781182088,1.3330733854758823,1.6080573503528968,1.38922654067413,1.2947765963815943,1.2654088060491224,1.3605440812541225,1.3121926611419417,1.3854433253723188,1.323366486812836,1.3436177963583693,1.2838512665476138,1.4718272284271818,1.3894724730412094,1.3747635193044438,1.302742263783867,1.3251858554912834,1.2611927257440787,1.3572133813960257,1.3046813211396888,1.368107910809445,1.3635336840296668
Shadow Magneton,Spark or Thunder Shock,Discharge or Zap Cannon,45,1.202237341930076,1.1599571913270712,1.1912064271531262,1.191956940258213,1.1921022907926357,1.1946345754376044,1.415298962091372,1.397550790787668,1.2258845561297589,1.2283070499754574,1.2254324488029043,1.211593637002255,1.3810161795211766,1.2160488980492155,1.284842807343748,1.2292425501556548,1.3684491205324603,1.2269566131103726,1.1975367632542433,1.1896219080514276,1.3106395928686705,1.2207423481337905,1.2179112712074316,1.1987327437300375,1.295584186978849,1.2723228687009454,1.1846269656215174,1.2435379257146648,1.3036680404088494,1.2626973948492108,1.2512407373623688,1.2946053773040507,1.2171871013078777,1.2561223048031664,1.1886305373417558,1.2308177274527312,1.2353645980240235,1.2207955968958029,1.205103686192466,1.2526087285938527,1.22380873595322,1.2513085268255315,1.2414168924276963,1.2569088226832845
Vikavolt,Spark,Discharge,45,1.2681505780748854,1.2377312163620648,1.2839350064239192,1.2722642811267184,1.275479919577807,1.2576513563613325,1.3508247041837191,1.3718468575041514,1.2719518465985318,1.281098486664086,1.2547588419753704,1.2673652963574846,1.2677414292871,1.2619766093314577,1.2746299649623811,1.2657722730185066,1.3104795131281928,1.2860889840180958,1.2982848858825375,1.29314507538048,1.2994301089146103,1.2744015462785094,1.2778562517649987,1.2728774378388412,1.2906221344366369,1.3517286387956482,1.2574411431770653,1.3172798088972177,1.2764943289740576,1.2966199395950189,1.2935586666477243,1.3602745381112047,1.2484488904067694,1.2981597884245513,1.3370136154896444,1.332796669976475,1.2892147365333142,1.253585064120871,1.2607033027194443,1.3225782725505781,1.279170904481512,1.3131790058671091,1.2981589172272847,1.322549865808335
Deoxys (Attack),Poison Jab,Zap Cannon,45,2.18867827117284,1.7229614329872633,2.38920426366935,1.5938207383252854,2.4006952170774585,1.9290981433481913,2.619808211770809,1.8622298485983213,2.2585211435067976,1.5516952369980148,2.3432332650107335,1.8744672084338185,2.133096215671866,1.5282247348584839,2.6415904327563635,2.380638039233537,3.9720790178502314,2.715580306277836,2.5026866553530973,1.8042481604092286,2.7547877229105073,1.7629903966867853,2.287866127956983,1.4775354781638281,3.2482029335456035,2.104569316258949,1.5597553333307135,1.3898874007206112,2.3755412395419535,1.5341493461086397,2.169346170779131,1.7823234962075247,2.0470398267503587,1.4480317150755169,2.143661204797701,1.5592585134929668,1.7364211705176953,1.1780767140474218,1.3290391452877603,1.0617534542206166,1.9916412150799054,1.5519780046326443,2.5680352845505876,1.6092898887638614
Raikou,Thunder Shock or Volt Switch,Wild Charge,50,1.1040470700913783,1.0930885749403507,1.1109022670987978,1.1263619252301915,1.1071111459692862,1.134913207058029,1.1670650345606548,1.193574097233829,1.1035664391228368,1.1191487027837956,1.08924085645246,1.086730693239026,1.0822355434169753,1.0876554259183517,1.0994577198422057,1.092359157001102,1.1030465391974824,1.1056457932501085,1.0919373481872867,1.1338724816301482,1.0941460785203092,1.1383475069101,1.0961182984607059,1.1467062597202176,1.1532113690866426,1.2321900804615864,1.1211590067518884,1.206978584847282,1.1062788448663206,1.1831006898467065,1.1667685565262464,1.2409627340187577,1.1250217532733509,1.1777770213524648,1.1247514129047063,1.2021525074124642,1.071626291400056,1.1194411469540582,1.120596094025434,1.199811379665787,1.1377879173319916,1.1876572702577057,1.1293985789040364,1.2004258138259574
Golem (Alola),Rock Throw or Rollout,Wild Charge,50,1.1904060357187738,1.1935525492063481,1.220490592874605,1.230358008587668,1.2179618487711477,1.2434015901276638,1.4888239293070977,1.5571701835161555,1.2182543614597396,1.255019931847904,1.248815232095231,1.2208819223050318,1.214136416433016,1.2349729819354278,1.2160848149879808,1.2299019344892357,1.404848723809411,1.2490917762974778,1.1911911697237823,1.2274503441271893,1.2204634269265093,1.2548991512734278,1.2194429505021758,1.2734650699300074,1.2697806345588327,1.3574356069018998,1.2440523674142387,1.33708210424801,1.2762552879155322,1.3060088574134965,1.293549458600658,1.3593783508365154,1.2460513510447708,1.3157610703158946,1.237766919548727,1.306979947145436,1.2081676189815638,1.2521806356784289,1.2501403806990132,1.3201411627982287,1.2397617888062513,1.2921595183278718,1.261437765647121,1.3351767713634728
Jolteon,Thunder Shock,Thunderbolt,35,1.507461747771218,1.4526439443174304,1.5158912150948718,1.4824384863671627,1.4225491167601185,1.418008014979831,1.5628116982382447,1.5460122227150312,1.495710026093135,1.5033520425245235,1.4911684177419713,1.426704553233396,1.4438638725326172,1.4177662334662404,1.4968534281132038,1.442848553858473,1.6068157210895984,1.4433913693961304,1.4829606984081298,1.4595252950871358,1.4403787868684752,1.4234219599974567,1.4675968773834975,1.4399483917310323,1.4979350295128218,1.5455764745802314,1.4255955029635587,1.488205057316734,1.4544894588844421,1.4850191877563368,1.5008483430138095,1.5513482798353315,1.4235767787604827,1.4709725800370288,1.4518344132565941,1.5331674824396668,1.444280339346354,1.4084731081893351,1.4475578035476753,1.484200618224989,1.4173855978929117,1.4817083599481813,1.4794989124960614,1.5248963870737833
Frosmoth,Powder Snow,Ice Beam,30,1.8213444251856694,1.7270180639533677,2.315319940868664,1.8579851291635863,1.8875172301401941,1.844463600785812,2.340878823223409,1.9951201747953626,1.6763964778029234,1.7963108008412223,1.9463339070331271,1.8116233566145301,1.893934842358808,1.8111453000717084,1.8897130346970972,1.7995720939750717,2.2084782258534705,1.9447035957720207,1.9718907844384241,2.013486891619227,1.9941115644936138,1.8164031484929197,1.8059298592868114,1.7846980063091487,1.7019776607044717,1.7268619055528158,1.6991518126586176,1.7291282414970335,1.7306056863999524,1.8077185465113397,1.7542877365124472,1.7701376794714143,1.6878815702611794,1.7382162115622164,1.9449494563904426,1.951053619979622,1.8906927796067148,1.8141703486839849,1.7427649712425781,1.7333507574447595,1.8890697336060254,1.8839949264029838,1.763221555036509,1.7902515021970322
Mega Glalie,Frost Breath,Avalanche,45,1.1703570626464495,1.162291803996499,1.1775947690450586,1.1921054842802836,1.1997473304143265,1.2028665317530056,1.367630027382037,1.3324783992550302,1.2218522607972266,1.2301489162203236,1.168795832452654,1.1790777930543506,1.225118554203434,1.1835075030559614,1.2618410112124105,1.19229457794862,1.2333461303197666,1.2218818750862601,1.2068489117387267,1.228885217913815,1.2107797507753293,1.1942614829940568,1.2073010147860517,1.214108216167478,1.2123525499930865,1.2438252648972963,1.1742391267412828,1.2292173759474292,1.171074841672494,1.2105297090344627,1.2079467550879721,1.2640915254321374,1.1734981883952305,1.232752233285281,1.2399370538003571,1.2459985452991382,1.1789634913995566,1.1575995007978757,1.1816803340541273,1.2314092572440412,1.1910278133774395,1.2433785184977175,1.197520913170229,1.235561058807472
Mega Glalie,Ice Shard,Avalanche,45,1.191941610328008,1.1908227271937666,1.1867082257710093,1.2072845415876874,1.1886130083507769,1.2015753807772924,1.3862884668869726,1.3573490985062948,1.235227724022199,1.2364004069265204,1.1906046765816645,1.208738328691285,1.2509513266154562,1.2041473897974255,1.2693953896907826,1.2136281712000894,1.2501628857089118,1.2392226975388612,1.221510319406232,1.2585557781880343,1.2218366028465162,1.2253224585493332,1.2115458213562673,1.2200261873397136,1.2164866542404602,1.2513290344048487,1.1875341680133535,1.251039227711013,1.1777374416655508,1.2176596789311591,1.2215721466272877,1.301537232719521,1.1752933655802666,1.2343782768656517,1.2581737167174456,1.2704675178447415,1.2210192596868155,1.1958801375122678,1.1883041339442668,1.2426568215854494,1.1987570294873375,1.2587349739564095,1.207428488153398,1.2420423143203554
Mega Glalie,Ice Fang,Avalanche,45,1.1898609818757553,1.1982024583073152,1.1915448127680002,1.2161796354203802,1.1888881270185974,1.2086696194880577,1.3825988225765846,1.396782060192029,1.2125371427203995,1.2349681826248624,1.1936347142075439,1.2090640941510316,1.249065997995898,1.2177015104951052,1.2722223378542057,1.2174038092785249,1.2568648338483421,1.242177862629868,1.2204905348236992,1.274385889452385,1.2175612946249823,1.220352880495302,1.2015769104502654,1.2251447931637405,1.2097049152247712,1.272055669321516,1.1567281600370223,1.2457308273669576,1.1662495846537626,1.2130794142006258,1.2005889617239147,1.273236506772124,1.1644058207101957,1.2161080518930594,1.2402505736292535,1.255735373346186,1.198481483329181,1.2004065874833036,1.168107032721687,1.2382601103126503,1.2019025272577906,1.2381871381989116,1.1920894188450957,1.2441601186331188
Zekrom,Charge Beam,Wild Charge,40,1.1155942905797802,1.1061858682668821,1.088295001430041,1.094465462852199,1.0837952380706377,1.1056788193849232,1.1424794989759706,1.1805118231338443,1.0880033768682236,1.1165946291517042,1.0766537817081352,1.0852278335859251,1.062006338808762,1.0630580870897108,1.0874026061418407,1.0975399210961192,1.1011039335992867,1.1068307085511868,1.0713808119754138,1.1093382243441903,1.092511356272009,1.1236316108261848,1.1015276189175827,1.116733674306074,1.143839350206691,1.1927407930445515,1.103814126931988,1.1808638783333245,1.0984980088177387,1.1531947688691178,1.1401606830521795,1.1931851281245252,1.0800909602406314,1.1679955134499433,1.1215517847336867,1.1782373204090033,1.0776722278800195,1.1039659227298142,1.113530408078596,1.1616023196573915,1.1194576130468215,1.15323484042835,1.1041464893272595,1.1697697557477043
Shadow Walrein,Waterfall,Icicle Spear,35,1.6674784348790614,1.7180532078812198,1.6762651622122455,1.7394051188312416,1.7351433336323414,1.7855711107552237,1.987311440075323,1.9591465902952343,1.6962390893202854,1.761227502919438,1.6970146168104856,1.7832615692842995,1.8127743132873884,1.763388509629208,1.7893504522818113,1.7152062093359686,1.470420432884006,1.4705384385568425,1.7207980936762735,1.8137882972904555,1.482030196253874,1.4978711734487187,1.7341781429402694,1.7794557245172231,1.784596624226882,1.8938973321875798,1.7425197218062023,1.8599102784087744,1.735239809759025,1.8289971682065473,1.771708872971871,1.9152995347643613,1.7185875550644016,1.8583797700608273,1.7806385284638848,1.827697322731853,1.691728165056258,1.7026096996497098,1.7038150555320992,1.844830751896743,1.750130508767223,1.8471149282543224,1.7465459582266902,1.8508478720891626
Shadow Manectric,Thunder Fang,Wild Charge,30,1.5660552790062596,1.2887691370543657,1.466202921630835,1.3507132313122527,1.338721895792112,1.3030623271995991,1.632331067677471,1.5381849902472116,1.4584776394249581,1.3910007450575546,1.3885894318083998,1.3211820503794316,1.4048862733661533,1.3093045601153463,1.4482663917220135,1.335896189328251,1.5482317101088947,1.3570083346756172,1.4161617015971615,1.338282869563178,1.3744136575912156,1.2809682284842085,1.3282024550478766,1.346195139290915,1.323885134314816,1.3135202394673267,1.225830451758637,1.248348643300157,1.2755681986123717,1.2853603717534803,1.3183629467885376,1.3058733208750335,1.3182866873797585,1.2753913478080057,1.3056279793954146,1.301829363113103,1.3634585377187551,1.290879992648823,1.282983659625533,1.2602071585296777,1.2667256645080145,1.2532911832680464,1.364338257680107,1.3191360835928763
Xurkitree,Spark or Thunder Shock,Discharge,45,0.9703472321400275,0.9565688314688303,0.9786810701001081,0.9811457769788043,0.9695556631566885,0.9773068427902049,1.0459618312698697,1.0476236450623513,0.9892416598010892,1.00538047765791,0.974286533946155,0.9838311931023995,0.9590682179893656,0.9689012120675691,0.9715177555166469,0.9827618659707991,1.001672007802703,0.9716610982482458,0.9902544230250041,0.9896743804578167,0.9803843056179891,0.9857963496368328,0.9766552287326139,0.9814282839023322,0.9905590931739725,1.0444070473920366,0.9725151055847957,1.0211765053978816,0.9705952122357282,1.0139162166049227,1.0032530526931056,1.049743918573503,0.9797381806924605,1.0246286665093265,0.9850708890912792,1.0294948493943394,0.9726783134916948,0.9712780974773997,0.982039977490207,1.0257361050603653,0.973770831173829,1.0110336682117789,0.9936680126688399,1.0354432684915245
Shadow Latias,Zen Headbutt,Thunder,30,1.9839796338781708,1.9717825568006797,2.345290102181005,2.3669387234703527,2.841175843472601,2.8391574925220606,1.6555951480288231,1.6790485021090713,2.2654801845427106,2.303823422720895,2.098859095717344,2.0958659419182255,1.9042228851230565,1.9657478551631395,2.791162038820872,2.8378006480918834,2.067656777906571,1.9969343229669512,2.0596826521774947,2.0792484660640027,1.952399326547053,1.9409258070742559,2.4981276409813753,2.4239730527951395,2.2098973049840818,2.150621425387282,1.9334586825068325,2.0290389683519536,1.9818904081055748,2.008562034130302,1.6140682347106392,1.6448886957579316,1.9631771383739756,2.024848397422532,2.04239626821431,2.0185916652950895,1.9279877081346666,1.9488473094474452,2.0161540148879915,2.085601370140063,1.9696345855778286,2.0222369601569707,2.3966708461258555,2.472754393344132
Shadow Mewtwo,Psycho Cut or Confusion,Ice Beam or Thunderbolt,30,1.2481642833213835,1.2230123314951085,1.3140166022595972,1.3356904049945142,1.4146251543374397,1.4717923525651835,1.1194160296827989,1.1405673688869196,1.3027410150852123,1.34329177016977,1.3354392122964929,1.269864957057536,1.250374950122333,1.2501171354732412,1.4549913222427033,1.4306478002650964,1.307192894559749,1.229772526566511,1.3616905134178439,1.2920674669276526,1.2566299628667186,1.2428255226026486,1.3577233377731102,1.3828358381902788,1.323133831617638,1.3421665574518618,1.238998448699957,1.324688717118091,1.2825332400974019,1.3046210306537922,1.0976252747286614,1.1118737503834495,1.2644256086803112,1.2934972098788025,1.3172517443541667,1.3017100629353855,1.2602093522909255,1.2554978003900268,1.2315485075652823,1.2966622999460473,1.2580841404353122,1.3132346991575643,1.376653827644482,1.4249495787164268
Weavile,Snarl or Ice Shard,Avalanche,45,1.2147121838562842,1.214737157939595,1.170356932412205,1.1398928966853,1.2557504169282985,1.2663608018361283,1.6589661537161648,1.5521051421531034,1.1579269459568537,1.1574298588030316,1.2457631266882558,1.2637166106813937,1.3468875835954144,1.266541811006037,1.3264095722073508,1.2686348696762684,1.3588491572929153,1.3160438141146316,1.2916238165397915,1.344448477528562,1.284000754801669,1.2646381500943262,1.1704616352010269,1.1798938494875648,1.1483885405315444,1.1964360728005952,1.2545680827933292,1.3226958363162322,1.2573482312449475,1.2843731619379188,1.2638559497626993,1.3333796178637916,1.2295421770615031,1.2870220428236747,1.323227134691328,1.335861901609363,1.3036038522851334,1.2833328888242006,1.2990598464763679,1.3165613785965107,1.2750509593607664,1.3035979075820847,1.1535010583501428,1.1947985886269583
Thundurus,Thunder Shock,Thunder,35,1.4707552821401757,1.4074301566608776,1.5021385408916192,1.4518507169687689,1.4761083060195006,1.4522709500893032,1.5162421861187292,1.503601959018896,1.4120905882229033,1.43266081124079,1.4786546730464436,1.457473416607012,1.400394090486223,1.3696281349911505,1.466021372513285,1.3978463909763283,1.4943135759062227,1.4382494348409403,1.457853914655976,1.4353856832105736,1.4291929254965683,1.406292373418855,1.4335859862113853,1.422288471949929,1.4888513366834493,1.4984961663108103,1.4072823724372978,1.4813798919059862,1.3809062730920112,1.4526461646804438,1.4475912538135407,1.5364293643944438,1.377699419079869,1.4538261341714913,1.3845259277827318,1.4748822732609932,1.3942244475271908,1.3758480970980362,1.4081302879530446,1.4527427852874917,1.4213869694050205,1.4990956817398395,1.4606049700746955,1.5170624740389942
Shadow Mamoswine,Powder Snow,Avalanche,35,1.1475553267664313,1.1022179947508457,1.1055408457625855,1.1232875623008842,1.083433234879862,1.12110763207739,1.3331712294146174,1.2893948175397076,1.1193265307336062,1.1550396777717427,1.1801311076256937,1.152894026951825,1.19902008222305,1.1370381200309045,1.218177077014116,1.1273239560871469,1.1833568521192106,1.130855856523548,1.2297698128931798,1.1987505634570377,1.1026686215108947,1.1208594274535584,1.1095513351734034,1.1281777731300981,1.110931392182723,1.1819017505321814,1.0806673710815573,1.1470197632990287,1.1188506191758538,1.1145526411061353,1.124147569740809,1.1831906386708961,1.0852909393122196,1.1150889409622908,1.1470238433819653,1.1603302685703074,1.0967070763429374,1.0899891718554844,1.083562871306185,1.137486565307423,1.130306270864454,1.1237569127907532,1.12628026423144,1.144079142936793
Shadow Latias,Zen Headbutt,Thunder,35,1.9100872886203537,1.9038135336811763,2.2309620982134692,2.281365014595961,2.7315582903568045,2.6886049304383723,1.5577778046956472,1.568957366092566,2.2186283948247625,2.247997948888579,1.9548211256306278,1.9168239074213451,1.873622846098259,1.914751029231839,2.670599282213054,2.7200692393034354,1.9902463741048286,1.943714835050633,2.006464047282088,1.9733234535020923,1.882098489089425,1.896421224960949,2.3118139812979863,2.271453185392521,2.07412606757892,2.0309725791065185,1.880403019013423,1.9799321274446962,1.8785085226568274,1.936404961341804,1.537583564906321,1.5728191905623004,1.9123162223833545,1.974827577831449,1.9096312616642632,1.9600619080545139,1.8634956781099483,1.8841513930022311,1.8801946205016309,1.9468995876259683,1.9198852881221375,1.9941744571206983,2.302138821991303,2.414452041688206
Shadow Luxray,Spark or Snarl,Wild Charge,45,1.0573547282989915,1.035098046261992,1.0409993694035893,1.0351887640920008,1.0500213923784896,1.0560035091954352,1.125910469588002,1.135020192678508,1.0510070671922407,1.0774241900893375,1.0963746261527214,1.0546637067083118,1.0501896212029254,1.0391296892642161,1.1043047305495584,1.049930567224515,1.2230233102789942,1.0513910999512166,1.030491218287816,1.0343046875015658,1.0505056246390159,1.0545720716491873,1.067161111770082,1.0581368949881056,1.0642927528768797,1.0885448266975546,1.0488463491745008,1.0899433177941351,1.0473650434687733,1.0695565837957934,1.0856439705970895,1.1341568484455424,1.0244981163994042,1.0624832361592813,1.053068789442756,1.0903015400666705,1.0293828618879266,1.0171504113840186,1.0499147328550713,1.100665899435483,1.048429477611507,1.1129596014701746,1.05197635226737,1.0775330784241217
Shadow Manectric,Thunder Fang,Wild Charge,50,1.1697398270723751,1.0700439053224988,1.160754372492955,1.1082759218463352,1.0642611081862596,1.0653409653950687,1.1919375239165435,1.2162041225274105,1.092474617782752,1.1065714950394099,1.184362120159881,1.0815048801366278,1.1340135316320195,1.0634197383517254,1.2125479992592785,1.0863493961951662,1.2386630558413056,1.1012560316298026,1.0569734485214226,1.0907973059888894,1.0950295597959014,1.0619167330189778,1.0926051969707227,1.0806216996830127,1.1120517780834809,1.0976487928564027,1.034084311111594,1.0811789233085431,1.0746489320022417,1.074331572761222,1.0748239515360563,1.1197558386723092,1.0746043037137398,1.073756720444734,1.0859191834296464,1.0847007470968162,1.0755242568878773,1.0638719948886592,1.0600616147538129,1.0845614225895917,1.04634919120129,1.0963243243323344,1.089327454121787,1.102329653979626
Deoxys (Attack),Poison Jab,Zap Cannon,35,2.7430240202501364,2.2699367333536578,2.6307315952127683,2.037080023188135,2.6265640270835497,2.2217051627722832,2.821902431302199,2.0881087109056815,2.583816825461581,1.8457460753006079,3.1194949091254407,2.8632405842623214,2.694611746019865,2.094899889844346,3.0112798717601823,2.828109164940225,4.184459748125003,3.4602002193110315,3.134798565486986,2.654610306197937,2.9178153552487704,1.9880231035777036,2.5463420511191206,1.716287843371579,4.454959423991267,2.538313166412978,1.887547274661013,1.5622772650055514,2.693843353716295,1.6024279033321926,3.0282355931083513,2.008794662128941,2.4403367454595837,1.5493411250170523,2.588080450191635,1.694466751347588,1.8541198416705003,1.375359504414686,1.418610310511719,1.1774818360512298,2.2691342326107953,1.6486471087143157,2.6357959657958236,1.8678965925724884
Thundurus (Therian),Volt Switch,Thunderbolt,35,1.1744719075377221,1.1575417775527017,1.1934755669735002,1.1858010575677003,1.1893010868079708,1.1926606999698957,1.2707915132571865,1.2664414993510573,1.1719409992368874,1.1927603031844745,1.1655076705544096,1.1613624285461817,1.156652967267257,1.1630026039112975,1.185166176415261,1.1653903433982233,1.2635572295397268,1.2185372006913338,1.1662149656995215,1.1676248860308553,1.1713332366120746,1.1971356572360363,1.1721118531542336,1.1615407734740697,1.218143300736457,1.2248016672331046,1.1401409923928276,1.1985372796285942,1.1163679050183744,1.177853093895526,1.1909853444722889,1.2342492596542238,1.133313896491592,1.185441764909339,1.1450200070031538,1.2102590583028792,1.1667625116524456,1.1507065478791318,1.1670169819402292,1.201000720386699,1.1286431037369409,1.2000638830443864,1.1637263311130914,1.200929156538779
Magnezone,Spark,Wild Charge,45,1.1454933515233066,1.139525252842703,1.1558572439994603,1.1658847606927705,1.1645732349643985,1.2009629623019797,1.3072242595933345,1.3199032126231973,1.1373844145193872,1.1627823582923673,1.1672162044279224,1.1613526136973655,1.1847355514684774,1.164773434618638,1.1835946531545336,1.1690451601556555,1.3212975781909049,1.1645953500659285,1.1544286169833016,1.1848209233820692,1.1626020302265856,1.2052719471055933,1.1664136827175622,1.23315785425925,1.2480358854481375,1.29063366747866,1.2049682285152108,1.2639875322725194,1.2570857820163759,1.273657377789019,1.2557580737096274,1.3105595403222634,1.1983485010634403,1.271223372752862,1.2173477944066038,1.2650159582371516,1.1407992597490222,1.1782821556376113,1.1916249088823863,1.2437613839734427,1.229635810089288,1.2684488964170741,1.2082131893193218,1.2658997185030758
Vikavolt,Spark,Discharge,35,1.3745372998542709,1.3329304770584758,1.453579065365466,1.4136534858144965,1.3991583003133008,1.3869859195411745,1.4903445635149108,1.4708334971776313,1.3576522727049645,1.3689097061747784,1.4111625213308863,1.3581510225165763,1.368099848842766,1.341421113437224,1.4211871298331138,1.3610587241821281,1.468381314621076,1.381256565249314,1.5171477338755082,1.4424978188274924,1.375391909435405,1.3692125518565543,1.398253094077797,1.3869216355199208,1.4109770563058368,1.459958739119926,1.3424209943068144,1.4351937298907154,1.4080607422175275,1.412482426514712,1.426936965317834,1.4603132983517746,1.3857895909357343,1.4031934284090308,1.457540750981209,1.4304779079472387,1.440547564718142,1.3771777059591432,1.3865039615158306,1.3961593734896471,1.4179008904924935,1.416150861590022,1.3871681683366353,1.4080092212819115
