Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Kyurem (Black),Shadow Claw,Ice Beam,50,1.1966583054039053,1.3136299122418724,1.1964440041314475,1.0713703936695032,1.1477882991755786,1.075144853160282,1.147639107198994,1.2433888714240804,1.147950330084879,1.1573099941052463,1.2713385087272329,1.155291790306627,1.0411960475356001,1.1070213674584357,1.0397749863784294,1.1734286444607018,1.2587679479608296,1.1709254052338856,1.0682960596379127,1.1341107561235357,1.0707774227902023,1.1930138942994417,1.2859715188503658,1.1916547634506343,1.178903305368836,1.2572299515397842,1.1721987737307418,1.2263979550879862,1.307708557787777,1.231225045947145,1.2293968199594645,1.32026871437679,1.2265422054751505,1.2026299549014954,1.3129836221220033,1.2022691668644672
Kyurem (Black),Dragon Tail,Avalanche,50,1.0853727085572957,1.1586391517885375,1.0844909115181665,0.9811343244048605,1.0346207330397643,0.9809555342184552,1.0418138950015718,1.1117038667085821,1.041200880226344,1.0484568733826893,1.1248488844928015,1.045769265353835,1.0843285670107647,1.1643497724829546,1.0820975746241184,1.0676932297955983,1.1321868967766389,1.0634095175975955,1.0966134185303513,1.1658998935037272,1.0987113951011713,1.0730554473445009,1.151305025321387,1.071324070467039,1.0628245879144738,1.125136782866969,1.0576659197887899,1.1039461731837674,1.1566427952764222,1.109121828590743,1.0999495684774439,1.1670425242404345,1.093736024283254,1.078044149062426,1.166256824115832,1.0819748397816282
Kyurem (Black),Shadow Claw,Avalanche,50,1.1348604933847657,1.2262793083338603,1.134691862875291,1.0154934940237725,1.0686603979737113,1.0097705525941132,1.0795567431625275,1.1701320339515875,1.0780603583778685,1.0946557563768247,1.1910299833148499,1.090889108693263,0.9745534333721119,1.0402830341496458,0.9742515499138528,1.0968066071412832,1.183185988911708,1.0965598089076534,1.0050905218317359,1.062353567625133,1.0073375931842385,1.119482318313639,1.2089685322252521,1.116876596113059,1.1113108575200181,1.178130373612631,1.1024525385163184,1.1635190231742611,1.2215497391047172,1.1660012252571983,1.1540349975735777,1.2468956067483086,1.1504762448497996,1.1295323997151674,1.23531924994066,1.129323522430572
Kyurem (Black),Dragon Tail,Ice Beam,50,1.1549204977410539,1.2426452505919634,1.1545568882049986,1.0353623812204087,1.101951792868258,1.046624507499255,1.1057874882112544,1.190546997799434,1.104970135177617,1.1118004975571742,1.2024098552288465,1.1077141344203658,1.1596079932849337,1.245173546173443,1.1580912129824612,1.1328479634738615,1.2093377874538356,1.132451323455528,1.1655058572949946,1.2338658146964856,1.1671458998935036,1.1417131974202486,1.2286456304376057,1.1442150370081807,1.135836242683202,1.1985652997064595,1.1309294287252705,1.164099964087289,1.23322137017555,1.1737647083676617,1.1651299325359443,1.235829217930785,1.1616568182466958,1.1455684785188702,1.236439591739853,1.148777593164016
Kyurem (Black),Shadow Claw,Blizzard,50,1.3479690563015114,1.4199391524911646,1.3476774660455444,1.1991275701089297,1.2077243982385857,1.2301758103499654,1.296491669286388,1.358811694435712,1.30178874567746,1.2681013897631108,1.3676827623415162,1.2625763070866929,1.0441412520064206,1.1063660594636782,1.0425655676145316,1.260839290278794,1.3642918212828221,1.2591998448696817,1.0933546325878594,1.1533865814696485,1.0963152289669862,1.2589447257931872,1.3400683893866598,1.2649958879799161,1.254555086585726,1.3317527313150261,1.2553453875948795,1.3363647886431334,1.4118554196505904,1.337558358155354,1.3346750021409608,1.3863530396886568,1.330944972548124,1.2479278423925944,1.3743460716828864,1.2440541182055542
Kyurem (Black),Dragon Tail,Glaciate,50,1.0793828123353217,1.1233865924692426,1.079386325470936,0.9773499321259478,0.9755736185147171,1.0119921862066683,1.0360987110971391,1.080267211568689,1.0380352090537566,1.0182437630508847,1.0762221622755748,1.0146669464176883,1.0495236131768448,1.1082289012914721,1.0471306345443032,1.0200170995919016,1.0776180444765675,1.021118877420606,1.0566134185303515,1.1266347177848774,1.045835995740149,1.0250010821105484,1.080708133142882,1.0269315673289183,1.0015545481388846,1.0737498480190366,1.00459416740486,1.0571645858419418,1.1146143608593702,1.0696812218771785,1.0496322305006043,1.1020144062877641,1.0523916911687743,1.001262758129599,1.0601376691193924,1.0044433895086637
Frosmoth,Powder Snow,Ice Beam,35,1.7629950886364116,1.831926322519902,1.763592321690802,1.6239562295136245,1.6180677416150715,1.6735605734529684,1.993797547940899,1.8562684690348945,2.009732788431311,1.8372248698658196,1.7666576746695442,1.8402621666716623,1.6104009895887021,1.7036756151795838,1.6153194810549723,1.6135756656941642,1.7205891426405648,1.612685429208571,1.6706389776357826,1.7550372736954205,1.6694994675186368,1.6682162489719952,1.746457170064494,1.6620265766350693,1.598483664217602,1.672242196863113,1.6010977367863408,1.650685510277373,1.7171029004795404,1.6582799923949554,1.677628386286432,1.7460915570018936,1.6811110159572948,1.6161310230239734,1.7289247567054356,1.6156373130785664
Glaceon,Ice Shard or Frost Breath,Avalanche,45,1.3793308179282338,1.4194806882935296,1.3758211954497868,1.3216716882428898,1.2725656391749165,1.3841307154918385,1.3181483810122603,1.3804181075133606,1.3206067274442,1.3192258889588266,1.358051334312462,1.3179170538220983,1.3117057151692757,1.3635854919227768,1.3173825967867818,1.3079953813473422,1.3648294888632297,1.3126228482279005,1.3512353567625133,1.3863152289669862,1.3557082002129925,1.3153876119984418,1.3678743020386963,1.3167380859628621,1.3020078856408386,1.3420526983134455,1.3025289632292913,1.357183598453641,1.4025075522318693,1.3658765870249487,1.3381956933382813,1.3732598745872702,1.331896510709562,1.3052456681699502,1.3815903156895324,1.3104296225967245
Mega Glalie,Frost Breath,Avalanche,45,1.2702409308404123,1.3204928226639405,1.269239687190405,1.2802685163725458,1.2205559050425454,1.3725192861636262,1.2519302106255894,1.3145991826469663,1.2553348003772398,1.2278971715173497,1.2791615462238608,1.2255592522654837,1.2571752543920363,1.3151736934336666,1.2552314194412948,1.2185662785470637,1.2797369835967318,1.221501414682732,1.2757507987220447,1.3270607028753993,1.2903727369542066,1.2516210016015237,1.3079773189629054,1.2521923559710861,1.2091692286314766,1.2532871311204905,1.2079881194309832,1.2652576208885227,1.3145319728753406,1.2715000950630584,1.2487320753998838,1.2796190041201603,1.2410341316738507,1.2235081889389983,1.283199620223119,1.2259197721338715
Mega Glalie,Ice Shard,Avalanche,45,1.2954336263288435,1.3537165461661151,1.2940916085242724,1.2543753931728636,1.2236019600701917,1.364541601827633,1.2690066016975794,1.3289971707010373,1.2736340773341717,1.2389273546543578,1.308315599116786,1.2408256651580094,1.2505927223997526,1.3154903029142797,1.2552903235307111,1.2304037795386638,1.2948974465197043,1.2338148836963325,1.2813418530351437,1.3305963791267306,1.2957188498402556,1.2581915768514913,1.3108946890014286,1.2563476604769943,1.2208934743716673,1.2699876678304065,1.2172459312524968,1.2727781650717198,1.3163804212349748,1.2723556625895178,1.2636426783896169,1.3064618956543252,1.2570009420227797,1.2408260147163541,1.3117493472584856,1.2383859482554
Mega Glalie,Ice Fang,Avalanche,45,1.2896299262944149,1.3539870576083979,1.28992854282161,1.294990563851273,1.2285666986723174,1.438780915803066,1.2747406475950958,1.3336183590066018,1.281505815781201,1.2323731878628021,1.3010920280949956,1.2313740770714066,1.2398427260812581,1.3002783218224925,1.239371493365927,1.226093624672772,1.3009351890210044,1.2266401064758095,1.2633226837060703,1.3323961661341852,1.2805963791267305,1.24770808985846,1.304462623901658,1.246980911569926,1.2157087523665606,1.263673944383652,1.2078752192868185,1.2640218011280817,1.3115005175655408,1.2752075543443817,1.2542129352097666,1.2873264632278076,1.2557924885577536,1.2124187040113934,1.292048421552338,1.2164348445288393
Shadow Weavile,Snarl or Ice Shard,Avalanche,45,1.148997351095747,1.1550785888436865,1.1485564525761824,1.2389315630897593,1.0867645598119393,1.2444144621395226,1.2439138635649167,1.204944985853505,1.237953473750393,1.1015795941611966,1.149107294507888,1.1037276823626971,1.0180320143725978,1.0514011810269928,1.0164268779360006,1.1308823918274529,1.161317902567583,1.1345226657734921,1.1286368477103301,1.1085197018104367,1.1359850905218316,1.1015452538631347,1.1491061766870103,1.112028740856166,1.0796380247685546,1.126031299393813,1.08904347524013,1.1538331537697784,1.1644802163212709,1.1661702262500793,1.107276412320516,1.142312047424662,1.113489956514706,1.073895086636601,1.1371374317588416,1.0806741039639212
Calyrex (Ice Rider),Confusion,Glaciate,50,1.2044469270602784,1.264800840342039,1.2061806594858175,1.222951362447439,1.1572211369731484,1.2177134721716387,1.2360421251178875,1.2802106255894372,1.2405281358063502,1.1856347850413134,1.2300652419346783,1.184805523084455,1.3704699073733193,1.4344912895577775,1.3600291575242611,1.2022158955690903,1.2467717909618963,1.2044106370038696,1.1834398296059638,1.229052183173589,1.1935250266240682,1.2105527420681297,1.2542786651084277,1.2141886335107996,1.1717819116599795,1.2306463099022111,1.1752644468761397,1.0106787502376577,1.0511333629085071,1.011756131567273,0.9859362659739469,1.0252062458964917,0.9850418201021952,1.1469451697127937,1.2809684310467602,1.1603987657251364
Calyrex (Ice Rider),Confusion,Avalanche,50,1.2553452358367938,1.3464724605299214,1.255123908293108,1.187067509850015,1.2276628149521571,1.1746564910770454,1.2240867651681862,1.3119993712668971,1.228487896887771,1.2184455834307466,1.291740351087532,1.2211032181358592,1.3978823979854802,1.4893530858379842,1.395680857643542,1.2434576432531534,1.3098022969864174,1.2479969679074154,1.260937167199148,1.3394142705005325,1.2625133120340788,1.2543912046054626,1.3303640219884865,1.252746396571874,1.2228475153283658,1.2879301061261355,1.2284143608983378,1.093066734267064,1.1440627838688553,1.0936793628662569,1.0726404232441742,1.1362126878098446,1.0752476378065141,1.2278566342273916,1.3461761215286019,1.2303156895323997
Samurott,Fury Cutter or Waterfall,Hydro Cannon,35,1.4069124456342263,1.480755043106174,1.4066436907597508,1.374371751150548,1.3387494619739762,1.472363672482866,1.366746306193021,1.430546997799434,1.3596353348003771,1.3560830860534125,1.4478614033510175,1.35620297934838,1.30527780641171,1.4018731500434418,1.2989677058329774,1.3514583131340732,1.413801309793483,1.3617533251654872,1.3838232161874333,1.4592332268370607,1.3927476038338658,1.37461801497641,1.4527983378781977,1.384279097952647,1.3391867715769543,1.4024716446945615,1.3344015423896618,1.399180345184528,1.4627775313179965,1.4084014618585885,1.3813574643411073,1.4479841664049937,1.379720818703434,1.3614621409921672,1.458134346071683,1.365953002610966
Kyurem,Dragon Breath,Glaciate,35,1.6119548491810882,1.6342755563050246,1.6165026032334902,1.40134092639804,1.3797784988246202,1.4573618514717082,1.4459352404904118,1.5559069475007858,1.4305438541339202,1.4830700676398005,1.5444554346631498,1.485048307006764,1.4437760466520388,1.507370374188228,1.4382832403139587,1.5140454637603238,1.5864102315496287,1.5162313909724734,1.5480191693290735,1.632119275825346,1.5470713525026623,1.523992555079427,1.5952646842401421,1.5249015279400944,1.4968822190957567,1.5742014485956959,1.4803380056623765,1.5430741280605023,1.5990240192661132,1.5391976677862982,1.459697601172295,1.5056188328432911,1.4610583007431512,1.423128412057916,1.5684310467600284,1.423460716828863
Kyurem,Dragon Breath,Blizzard,35,1.8952101909037893,1.9611183715913802,1.8985564525761824,1.6139737774393272,1.6046303347349602,1.682059729165977,1.6972555800062872,1.8260075447972335,1.6765702609242377,1.732647943330436,1.8186713824696021,1.7266732607978899,1.6791936030158894,1.7589571030968825,1.6730233996495207,1.7969643817263539,1.8721937718702901,1.8014948921579863,1.795846645367412,1.9125026624068158,1.8006389776357827,1.7896983075791024,1.8818768125351688,1.7899839847638837,1.7667917252878953,1.8564431243812203,1.7420492244628558,1.7886114455922428,1.8760166465977988,1.7955721739865222,1.7128257828780222,1.7911278581827523,1.7181639119636893,1.6978874910989794,1.8475765487775933,1.6982577735580346
Kyurem,Steel Wing,Glaciate,35,1.5869272710665179,1.6323521145563262,1.5893337689621496,1.50313379465616,1.4799374234347582,1.5823130152633844,1.2901508959446715,1.3698113800691605,1.2757843445457402,1.2835076781664319,1.330895503002328,1.2822388074613595,1.5494205310203661,1.6166227340333101,1.5445167655764502,1.5622328188765393,1.6033423532211577,1.5634579958220585,1.6263791267305643,1.7023003194888178,1.620010649627263,1.544076526857984,1.6127083062805698,1.5415227459637277,1.523309537456794,1.5912841088704774,1.5064353082173936,1.6041679869869236,1.6660962883156938,1.6000802754716184,1.5993929186530025,1.6719572188442617,1.6009153797113034,1.7360170899596488,1.8781106100166154,1.7312983622122005
Kyurem,Steel Wing,Blizzard,35,1.8545807775271743,1.9172937613737766,1.8575564033922838,1.7321044267125782,1.7283051352514651,1.8129523557262524,1.482914177931468,1.572596667714555,1.4734611757309022,1.4731488974812417,1.5291590484468824,1.47589645215758,1.801220787253155,1.8914839412726228,1.7997187329730366,1.8302028152627081,1.8994120913506034,1.8321331300185981,1.9024707135250265,1.9843343982960595,1.8944728434504792,1.8191749989178896,1.897545773276198,1.8126217374366966,1.7827974918798741,1.8602556754034008,1.7659666857728449,1.8780340959503137,1.9482011956820247,1.8826816232545367,1.8704385639386067,1.9569714443397752,1.877337215609032,2.0597958699264183,2.233363399003086,2.054868264894375
Kyurem,Ice Shard,Frenzy Plant,35,1.4710271705908393,1.5204727977909405,1.2875817682314175,1.306505976227527,1.3461344899513294,1.1804390292355065,1.9053568060358377,1.9622508645080163,1.7295913234831812,1.8413711796501115,1.918362657235061,1.6618409615442258,1.4363614943967484,1.5052203749245292,1.2595903220581088,1.4070408010365527,1.4707764448714447,1.2412100164825963,1.4396379126730563,1.516261980830671,1.2675718849840256,1.423641951261741,1.4682249058563823,1.2598969830757911,1.3868480016674483,1.4456602921508346,1.223220954266757,1.9207385343388892,1.9806916365633649,1.7387561526923971,1.9130103812813413,1.9607300200774551,1.7250911097789576,1.3979586992641824,1.4876619985758368,1.2428578210301449
Palkia,Dragon Tail,Aqua Tail,45,1.4857893664411235,1.5391925409104643,1.485991371738932,1.3074810449293117,1.3632139191471047,1.3077310200973413,1.3854259666771456,1.4713171958503615,1.3865702609242376,1.3735475426870085,1.4585418977110371,1.3765248928453677,1.4221803348697484,1.503026197593768,1.4248015668487786,1.4072435281570344,1.4813094409138587,1.4009061020863265,1.4427156549520765,1.514898828541001,1.4314376996805112,1.4182746829416095,1.4955114054451804,1.4208717482578022,1.3971740225452902,1.4756222534868775,1.3973737689541972,1.4386209518980924,1.5059572849990495,1.4341741132729156,1.428544241766816,1.4969312894293625,1.4359852701892608,1.4199477806788512,1.5113505815333492,1.4187514835034418
Weavile,Snarl or Ice Shard,Avalanche,30,1.5687608468062084,1.6045034885436649,1.564580215425476,1.6402145482236865,1.4481905770949905,1.6444277058570342,1.7732788431310909,1.6279849104055328,1.765221628418736,1.478823846776369,1.5274205956698539,1.4814315259419117,1.3551916591809385,1.4054589364866656,1.3620834376426583,1.525953478532961,1.5754894097115106,1.5573056684265731,1.509574014909478,1.4835995740149095,1.5138019169329073,1.4868891485954205,1.555988399774921,1.5097519802623036,1.4590172476681778,1.5110815833810987,1.4732079273270455,1.568561590299343,1.5770961404398252,1.5868876354648584,1.500604226732513,1.5438230900250254,1.5032685335845393,1.4315689532399716,1.5180916211725612,1.4462283408497507
Shadow Gyarados,Waterfall,Hydro Pump,45,1.2182816551084505,1.2489934866465715,1.2179180455723952,1.069445088236268,1.1128960699268284,1.1281462106413271,1.1224646337629676,1.203464319396416,1.1259006601697579,1.137147938334882,1.1921689696170408,1.139665697529199,1.1375999528767284,1.192285036888686,1.1374600556643646,1.1432399319542015,1.1915771288551207,1.1437952279798684,1.1631629392971246,1.210692225772098,1.162364217252396,1.1439986148984982,1.1934121109812579,1.145478942128728,1.1074288294860437,1.1610042902054782,1.1083928230246816,1.1554492257642013,1.1971185330713818,1.1548049094788433,1.1536543823090024,1.203743351127097,1.1559951661861398,1.1461951103726562,1.2195395205316877,1.1461571326845479
Swampert,Water Gun or Mud Shot,Hydro Cannon,50,1.2949453004784892,1.3856474357623154,1.2939247345826044,1.2136940039068966,1.1840446313280137,1.2078270370492998,1.2088714240804779,1.3200943099654197,1.203524049041182,1.1951962753149696,1.2967059317207685,1.1966849503941492,1.2243067724976806,1.3148497209418764,1.221626636429234,1.2090998034428355,1.2989079178161882,1.208385851409835,1.2443024494142705,1.339542066027689,1.2401810436634717,1.2791845214907156,1.385594944379518,1.2884041033631997,1.211079846455804,1.2862452885901376,1.2011880569016726,1.2606734689566301,1.3290660582630922,1.226588081204977,1.270436660862284,1.3484723054818113,1.226903789976497,1.2553145027296464,1.3629432708283884,1.206418229290292
Kingler,Bubble,Crabhammer,40,1.305997625120325,1.3167847080232993,1.305251083802337,1.3332549746713902,1.1835463364566434,1.332592788795815,1.2939327255580007,1.2865262496070418,1.2853630933668656,1.208234671142683,1.2520756526691246,1.215628090999011,1.216273727303518,1.26465607374792,1.2202571163503027,1.2378165407701869,1.2750301887125066,1.2553392153579015,1.2770607028753993,1.3115122470713525,1.2721405750798722,1.2438817469592693,1.2702765874561746,1.2525905726529023,1.2062685633890886,1.2440466885519252,1.2178017473468465,1.2788622008154298,1.305089042398124,1.2782706973403468,1.255050288791832,1.2945105763466644,1.2660976468461267,1.2089722288155709,1.2633467837645385,1.213320674103964
Mega Mewtwo Y,Psycho Cut,Ice Beam,35,1.0884308931093358,1.1584863303893258,1.0895709056160987,1.019926828460749,1.0613117902195146,1.0070406913220542,1.042933039924552,1.1150550141464948,1.0358063502043382,1.050395148317997,1.1456403800617452,1.0501054061884922,1.1558307685511067,1.2381271444770052,1.158061760937753,1.066300582620116,1.1358007280547893,1.0729553207054905,1.0712140575079871,1.1316826411075611,1.073450479233227,1.084828810111241,1.1469073280526338,1.0969138207159244,1.0540357459225678,1.1242683202195474,1.0573445886092439,0.9877474280161396,1.0524642457274436,0.995722162367704,0.9851274585367246,1.0283082603027793,0.9826153977905283,1.0801898884405412,1.1303963921196298,1.0787467362924281
Crabominable,Frost Breath,Avalanche,40,1.442263372750715,1.4691493996051237,1.440366279519122,1.4429940734364137,1.3425106777472438,1.5992666291428004,1.3939138635649166,1.4324017604526877,1.3845614586607984,1.3409165842400264,1.4161396357242055,1.345822218225779,1.37041836629508,1.4468979633911083,1.3692329214955747,1.3727711034525312,1.4302222065524932,1.3858602240575393,1.3812460063897762,1.4464110756123536,1.3754739084132055,1.3639613902956327,1.4367917586460635,1.3767908929576247,1.342712729925486,1.4111910096746738,1.3395428412623973,1.408929589961341,1.4652491708388786,1.4187738977966495,1.3877422854043562,1.438992130779405,1.388037262234402,1.359022074531213,1.448829812485165,1.3626014716354142
Crabominable,Frost Breath,Glaciate,40,1.4046095852392095,1.3635445430464508,1.4037839983699052,1.53682581200543,1.2561119756315597,1.799975168029666,1.3521251178874567,1.352640679031751,1.3504055328513045,1.2772632357202092,1.3291070946857297,1.2856557663679327,1.2837778137747213,1.3358122137629405,1.298025240402315,1.3062413510440447,1.340757846861696,1.3159810670497916,1.3129712460063898,1.3468690095846645,1.2926943556975505,1.274908020603385,1.319231268666407,1.28759901311518,1.2489100793774859,1.2994024976985739,1.2615288416445207,1.32860130553267,1.3711050552421995,1.3357310349198301,1.288534916692834,1.328366304130627,1.2981264213601287,1.2721955850937574,1.3425872300023736,1.2734488488013294
Darmanitan (Galarian Zen),Ice Fang,Avalanche,35,1.0981851141417762,1.1348552236813445,1.0996834664811732,1.1072989438135286,1.0443068569347416,1.1693258947786644,1.3749481295190191,1.163212826155297,1.4420999685633449,1.12519857326979,1.115037616521296,1.135559352176563,1.070360934807899,1.1122122903382567,1.0886506545716936,1.0709897490590818,1.0966567653565795,1.070645994376526,1.105356762513312,1.1297018104366348,1.15604898828541,1.1439639873609488,1.1399818205427867,1.1517898108470763,1.0590380907717158,1.0931773574418564,1.0672103242839526,1.0937216131144771,1.1375668082049981,1.140344762025477,1.143863054627806,1.128676505571256,1.1459659539645837,1.045943508188939,1.1084642772371232,1.0401898884405412
Kyogre,Waterfall,Surf,40,1.25824005958278,1.2901498703652958,1.2579186076740936,1.2606115286560937,1.2029550044697548,1.258709399728504,1.2194498585350517,1.272870166614272,1.2157466205595724,1.20156061105616,1.260717961014697,1.2024298374446742,1.2289601955615768,1.2881367163915354,1.2316403316300233,1.2262522806801055,1.2712929583175412,1.2269133473773282,1.2445899893503727,1.2997018104366347,1.245623003194888,1.2142578885858981,1.2677228065619184,1.2182573691728347,1.1988692616330572,1.2492487798099803,1.2008493564691782,1.2599446521748314,1.3055115448803263,1.267137756934322,1.2269989437926407,1.2701797455586956,1.2349538028222622,1.2185805839069548,1.2857156420602895,1.2155898409684311
Feraligatr,Water Gun or Waterfall,Hydro Cannon,40,1.3990922057573267,1.4796729973370433,1.3983807957954795,1.3534897195642817,1.327133066251697,1.368668675297156,1.290886513674945,1.4016127004086765,1.2951650424394845,1.3389683181968048,1.4126527390622348,1.3341725863981058,1.3856966144874607,1.4801125068107852,1.3865580867951757,1.3470864587097742,1.4162340352392622,1.3509999735573321,1.388349307774228,1.4750692225772097,1.3978274760383387,1.3692161191187293,1.4609271523178808,1.3643769207462235,1.3351744741458669,1.4098970003300157,1.3365640143817414,1.3994232841117942,1.4677947482941462,1.392092866045588,1.3489100130360727,1.4171448145927892,1.3430104764351574,1.3268359838594825,1.4483455969617849,1.3226489437455495
Glaceon,Ice Shard or Frost Breath,Avalanche,40,1.4314745332799337,1.4564248224109948,1.4328270904913472,1.3969092474257525,1.3499553024533988,1.555625269013012,1.3889091480666456,1.4569443571204024,1.3871141150581578,1.3604691824276394,1.3903525861982835,1.3569423213340128,1.3986996922261328,1.4554316933453104,1.3985229799578835,1.349580883713961,1.401620054119327,1.3467162613593295,1.4151118210862619,1.4467305644302448,1.4168583599574014,1.3859152491018483,1.437709388391118,1.3893606890879973,1.3210185329928958,1.3771820124016465,1.3259687700831986,1.3924308680313497,1.4330333565709699,1.4072607051566428,1.4061545488281808,1.4404860456928625,1.3980379283111148,1.3284785188701638,1.3964016140517446,1.3305293140280086
Mamoswine,Powder Snow or Mud-Slap,Avalanche,35,1.4064346591907142,1.4699082368977607,1.4066278816494875,1.5507333708571998,1.375174651524683,1.6589014336324206,1.3527601383212826,1.42702923608928,1.353222257151839,1.3176672761242494,1.3872953071766128,1.3221133191459602,1.3704846333956735,1.4530976188021854,1.3665454224159512,1.3481882365384785,1.4308392021365677,1.355812539113113,1.3917039403620872,1.465378061767838,1.3950585729499467,1.3687832748993638,1.4294507206856253,1.374306367138467,1.3207232556927726,1.405954179910722,1.3222778038316572,1.3106872002873018,1.3599087394638443,1.217028962545155,1.2893532395116705,1.337662831967876,1.1928577545602466,1.2688345596961785,1.3520816520294328,1.1765772608592453
Mega Glalie,Frost Breath,Avalanche,40,1.2949628661565595,1.3487173541873063,1.2947836962402424,1.328467370790981,1.2477369797702216,1.4801542893090092,1.2990317510216913,1.3488808550770197,1.3004495441685004,1.2797410304828702,1.3358710747434783,1.2780825065691535,1.2840796972329804,1.3429837866493881,1.2815320953657208,1.2876257128502553,1.3416392691246597,1.299516099177633,1.3087326943556976,1.3666986155484557,1.3136315228966986,1.2825607064017661,1.3374886378392417,1.2898584599402676,1.268997620412346,1.3154343181699755,1.2694057978566342,1.296163677461605,1.339934934617741,1.3067684897648775,1.3063381956933382,1.3508606662670206,1.29971549008973,1.270211250890102,1.354198908141467,1.2727082838832187
Mega Glalie,Ice Shard,Avalanche,40,1.3293441678435671,1.3925665563542085,1.328536146652333,1.3400754891898157,1.2776330165877563,1.5014534979968879,1.3309651053127947,1.3705092738132663,1.324963847846589,1.2819790386555965,1.3389883004126328,1.2813595899649313,1.3074793467536483,1.378053808885682,1.3106307155374262,1.2939014393625554,1.3598318246322267,1.30901783117238,1.3373908413205537,1.3914696485623004,1.3409158679446218,1.2882569363286154,1.3465610526771417,1.2968705362939879,1.272862279193372,1.3336199260069823,1.2687631354975422,1.322739083592116,1.3724676257473012,1.3313370091049286,1.320040345218045,1.3619841473742305,1.3158345465444892,1.2812247804414907,1.354540707334441,1.2813766911939235
