Attacker,Fast Move,Charged Move,Level,Arceus (Ground),Arceus (Ground),Arceus (Ground),Groudon,Groudon,Groudon,Mega Aerodactyl,Mega Aerodactyl,Mega Aerodactyl,Aerodactyl,Aerodactyl,Aerodactyl,Claydol,Claydol,Claydol,Donphan,Donphan,Donphan,Golurk,Golurk,Golurk,Hippowdon,Hippowdon,Hippowdon,Marowak,Marowak,Marowak,Nidoking,Nidoking,Nidoking,Nidoqueen,Nidoqueen,Nidoqueen,Stunfisk,Stunfisk,Stunfisk
(Boss weights),,,,25.0,0.0,0.0,25.0,0.0,0.0,35.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0,1.6666666666666667,0.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Mega Tier,Mega Tier,Mega Tier,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear,Extreme,Extreme,Clear
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging,No Dodging,Dodge Specials PRO,No Dodging
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Mega Abomasnow,Razor Leaf,Blizzard,45,1.41679489611658,1.4388257695523563,1.2646620714852836,1.442426249048108,1.3199996689070623,1.300643975763997,1.703803835271927,1.7643005344231373,1.57942470921094,1.713305158409016,1.782363696310284,1.5493011220014188,1.359447479641274,1.4181454047447244,1.2079608876846275,1.3534767701162598,1.402563175940698,1.200241509700052,1.3643556975505857,1.4140681576144833,1.233035143769968,1.3413755789291435,1.4015322685365539,1.2244470415097608,1.3158859187466347,1.382809650356938,1.173501467701874,1.7674018209856983,1.8534655766102626,1.6031856687158037,1.7284785856336768,1.8050107999581322,1.544945905055522,1.2985900783289817,1.3932684547828151,1.2011773083313553
Mega Abomasnow,Powder Snow,Blizzard,45,1.5580247043696382,1.625829978288822,1.5590154086128034,1.5426861570042711,1.483635731549846,1.5763119557659835,1.5010845646023263,1.6103835271927067,1.49762024520591,1.4451338308905075,1.5286195286195288,1.4460130483869358,1.4907888730175092,1.598539178582473,1.4955527412490612,1.439697495879351,1.516769058552881,1.435590068133941,1.517454739084132,1.6001384451544196,1.4920340788072417,1.5000043284421938,1.6009349435138296,1.4998831320607715,1.398494085769371,1.4861045976412555,1.4037222309068487,1.5025667025793776,1.5597524135454295,1.5105836871791622,1.4918405602656695,1.5524440257676533,1.500451980626683,1.4396392119629717,1.5448563968668407,1.4350344172798482
Mega Abomasnow,Powder Snow,Avalanche,45,1.35013490440758,1.4189045340528237,1.3507936173352164,1.3547727046982088,1.3058768996457306,1.3881601165447142,1.305561144294247,1.3742125117887456,1.3068374724929268,1.291770324411274,1.3496088481251687,1.2939383948286025,1.3219771157612616,1.4008055134227693,1.3243774574049803,1.2891417591425525,1.3466104906877738,1.2926674481944065,1.333748668796592,1.4094675186368477,1.3283599574014908,1.3254295978877202,1.3825217504220233,1.326650218586331,1.267260695117503,1.3195595157452278,1.270847445851354,1.33773792171029,1.3930329340684877,1.33568878467161,1.3285566117629146,1.3813479489594929,1.3336187947817646,1.3025492523142654,1.3911986707809163,1.3068787087586045
Shadow Feraligatr,Water Gun or Ice Fang or Waterfall,Hydro Cannon,30,1.2274245905440442,1.3057885935512883,1.2274983663919394,1.294593252325928,1.1911217428732246,1.2788067410522135,1.2453253693806978,1.2966771455517132,1.243200251493241,1.1899409525522286,1.2764040004396089,1.1943170578185416,1.2142120841739437,1.2969576037816426,1.2135052351009468,1.207081346460649,1.2868412470362178,1.2393237728398545,1.2482854100106495,1.3195740149094781,1.2601064962726305,1.2176340734969486,1.2979007055360776,1.2260745357745748,1.1975491984089763,1.2757455751828113,1.193658485748528,1.2625747301265395,1.3220419544964828,1.2676975727232398,1.248408552424995,1.319612153045398,1.2596271873483487,1.2392879183479706,1.3224400664609541,1.2432755755993354
Shadow Blastoise,Water Gun,Hydro Cannon,50,1.31936334956402,1.4021907913689284,1.3187520639671733,1.2176638082309705,1.209239148428964,1.2297586332483528,1.218795976108142,1.3290380383527192,1.2228607356177301,1.2191849254163796,1.302800507548282,1.214718900178841,1.2372583091581133,1.3259236897521611,1.2390548838853137,1.2226296351793255,1.3112566437203073,1.2257498699902163,1.2553141640042598,1.3488711395101172,1.254664536741214,1.2999783577890318,1.3905466822490586,1.2909405704886812,1.212252271029823,1.2882861758115782,1.2192781338474632,1.274256923759427,1.3439170205124955,1.2697995225721952,1.2816077188775656,1.3462742523288895,1.2788958351174673,1.2513268454782815,1.3756468075005934,1.2519154996439592
Gyarados,Waterfall,Hydro Pump,50,1.4009857858533057,1.439668922099731,1.4011140153032189,1.249281528325001,1.280185743138099,1.2408105155117042,1.3227004086765168,1.3681672430053442,1.3263344860106885,1.3160187433184467,1.3670832958666788,1.316168609937156,1.3126849956558233,1.3834435330672832,1.3137305432429647,1.2894590711572194,1.3580777943289293,1.2852811296307722,1.3345793397231096,1.3845473908413206,1.3363897763578274,1.3251006362810025,1.391845214907155,1.3193870925853786,1.26585378562868,1.3232678512497178,1.2661924860611744,1.3173416143819845,1.3770095274309737,1.3168029237171768,1.324931251367836,1.3763428582303292,1.328185511879954,1.335580346546404,1.4190553050083077,1.344713980536435
Frosmoth,Powder Snow,Ice Beam,50,1.5139857928795768,1.6048231838845444,1.5132146596122904,1.5000380756878455,1.4769923517531371,1.5011075058768997,1.7338352719270669,1.6337126689720214,1.7372775856648852,1.4783242913806713,1.5574638571671213,1.4772052872943082,1.4766518915575713,1.569042955807207,1.47515720028863,1.4365596326232009,1.538443231999154,1.4365772610684602,1.4579765708200212,1.5667092651757188,1.4630564430244941,1.4897978617495564,1.578227935765918,1.50300826732459,1.424834557865666,1.4815885918746634,1.4273009917843433,1.4817162050827049,1.5465280858525043,1.4872932378477723,1.4708972053324199,1.5292074638653383,1.4705831977391453,1.4212295276525042,1.5440493709945406,1.421523854735343
Avalugg (Hisuian),Powder Snow,Blizzard,50,1.5703347315613079,1.6718977255960035,1.5717645777562306,1.524800516504983,1.5702546104691588,1.6159057047313181,1.6004306821754164,1.7339484438855706,1.6097359320968248,1.54536462548332,1.6505909740331106,1.551808890087822,1.5585948429469716,1.6792009660270664,1.5631157318096809,1.575894863952474,1.671881748389201,1.5828052144941078,1.6310543130990416,1.7187113951011714,1.6603833865814697,1.5820456217807213,1.6708133142881878,1.5829805652945506,1.5257672867489969,1.6351327879387907,1.5311517551630103,1.6322960897395273,1.6937807634619853,1.6197583285801804,1.5844537695184264,1.6406230671881095,1.5815230319811975,1.5190695466413482,1.6649513410871113,1.5286494184666508
Avalugg (Hisuian),Powder Snow,Avalanche,50,1.4086619871700288,1.4840222592272507,1.4078803144959002,1.3092457702877198,1.3769873853590704,1.4532513326490746,1.3913392015089594,1.4972587236718014,1.3959949701351775,1.384048197104577,1.4610496657974403,1.3802216027735317,1.4031322249547176,1.4863047992106853,1.4058933541461116,1.3968251170088055,1.4770345429384857,1.400509462067993,1.447018104366347,1.5251970181043664,1.4575292864749734,1.404423667921915,1.4693762714798946,1.4002423927628447,1.3785020756257274,1.4418130026227571,1.3686363399510186,1.434290301455521,1.513182077444705,1.4346388660033378,1.4110454549779718,1.4555869563148829,1.4062497026443246,1.3822264419653454,1.4547163541419417,1.3811535722762878
Avalugg (Hisuian),Powder Snow,Glaciate,50,1.2721362675041983,1.3513363967875889,1.2749801507837806,1.2536337449922195,1.281521703142072,1.33779260338377,1.28702923608928,1.3870858220685318,1.2930116315624016,1.2601184945398596,1.3360209413621877,1.266942421245092,1.2484869012031161,1.3534318995096235,1.2596418631363482,1.2734876997523203,1.3359805381964338,1.2785558777643606,1.3129179978700745,1.3777848775292865,1.3287326943556974,1.3050166645024457,1.3424490325931697,1.301804960394754,1.2299602244107481,1.293436159310788,1.2478939780800027,1.314817162050827,1.3554513382766125,1.3122715845955595,1.2656694546734797,1.31244707068977,1.2656599392918653,1.2138523617374792,1.3510847377165915,1.2258912888677902
