Attacker,Fast Move,Charged Move,Level,Arceus (Dragon),Arceus (Dragon),Eternatus,Eternatus,Eternatus (Eternamax),Eternatus (Eternamax),Necrozma (Ultra),Necrozma (Ultra),Regidrago,Regidrago,Giratina,Giratina,Giratina (Altered),Giratina (Altered),Giratina (Origin),Giratina (Origin),Latias,Latias,Latios,Latios,Zekrom,Zekrom,Naganadel,Naganadel,Mega Ampharos,Mega Ampharos,Mega Latias,Mega Latias,Mega Latios,Mega Latios,Druddigon,Druddigon
(Boss weights),,,,5.555555555555555,0.0,2.7777777777777777,0.0,2.7777777777777777,0.0,5.555555555555555,0.0,5.555555555555555,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,1.8518518518518516,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,5.555555555555555,0.0,11.666666666666666,0.0,11.666666666666666,0.0,11.666666666666666,0.0,15.0,0.0
(Raid tier),,,,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Tier 5,Ultra Beast Tier,Ultra Beast Tier,Mega Tier,Mega Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Mega Legendary Tier,Tier 3,Tier 3
(Boss moveset),,,,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random,Random
(Weather),,,,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme,Extreme
(Friendship),,,,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Best Friend,Not Friend,Not Friend
(Attack Strategy),,,,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO,No Dodging,Dodge Specials PRO
(Dodge Strategy),,,,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging,Realistic Dodging
Shadow Salamence,Dragon Tail,Outrage or Draco Meteor,30,1.2942999174007797,1.0360790539677787,1.3161104518037017,1.0819063322315468,1.2392190709311677,1.1308975873640223,1.120559505432563,1.0942720737877702,1.14177759028245,1.0914618051660643,1.1212962129870498,1.1018362824952332,1.1212962129870498,1.1018362824952332,1.1329762820369573,1.0580638500271409,1.2351202565057446,1.0637806195600017,1.1157008756674818,1.0805869240481036,1.2919123565784003,1.068685849068825,1.4742563342124855,1.1054831097058306,1.1737005994088057,1.0918124206888475,1.2843135710225764,1.1493115251065487,1.143265423915025,1.0992094461883775,1.1159912267130208,1.1099461090701455
Latias,Dragon Breath,Outrage,40,1.3427428532309906,1.2935996127459812,1.3620487937899581,1.3674825470744933,1.4566282050375066,1.454946198524262,1.4186379937966582,1.439131370602281,1.4697774083517927,1.4056789450270457,1.4445517603554683,1.4680548017647492,1.4445517603554683,1.4680548017647492,1.446563343557024,1.3987969743608164,1.3784391414167818,1.3820602733448102,1.3882208809577075,1.386239124961317,1.3938149923277336,1.3766716866819562,1.4355074033407778,1.396166365076501,1.3441253875283845,1.3498899775474418,1.448447952758944,1.4544645627765609,1.3365452017144717,1.3283326903358386,1.4280603276398651,1.4345779515716446
Shadow Flygon,Dragon Tail,Dragon Claw,45,1.4564757656905902,1.2405831956793303,1.3179256694935886,1.2820920800924491,1.324568043597707,1.2892988239843983,1.3583655874047824,1.3377749230201788,1.3036859611112999,1.2886351853380242,1.3292401552589008,1.3466571778649306,1.3292401552589008,1.3466571778649306,1.2786388979798615,1.2531574967901873,1.311358540454644,1.2571148448043545,1.383882843844539,1.2895513623500658,1.3817203200380401,1.227261502494217,1.3039960074520225,1.2771435408008973,1.2234455742669312,1.2515009809219737,1.4909645725657565,1.3419558667940004,1.3801762560103106,1.3229796604852098,1.3390338800289747,1.3503252567723485
Kyurem (Black),Dragon Tail,Ice Beam,40,0.9976744394301249,1.0103080608629567,1.0101234919663662,1.0383186426593507,1.0601137341737825,1.0930790290973662,1.0319052917711273,1.0958544310892233,1.0529075304216422,1.0549701948012293,1.0503284050497705,1.1008461489428842,1.0503284050497705,1.1008461489428842,1.0118819784609474,1.022127638389671,1.0071595073827087,1.0272453792887357,1.0148926091960027,1.0419144381330698,0.9997856693084191,1.0305993004152754,1.019478610030353,1.027076022081406,1.021070105640133,1.0362544972963856,1.038285130284377,1.06725340022152,1.012517374559466,1.038728294292181,1.0584524626921263,1.08043275212161
Kyurem (Black),Shadow Claw,Glaciate,40,1.1202406182427318,1.108587677883678,1.0985109809993796,1.1677479345253803,1.081122343824798,1.1155955892929994,0.9331491503463631,1.0126722047221004,1.178176088945694,1.1763387937230858,1.0024811835015515,1.0367396575165135,1.0024811835015515,1.0367396575165135,0.9509743715654861,0.9535756563957374,0.973149769466025,0.9666444046391169,0.9499571143533231,0.969530118299946,1.1175466425800762,1.0994822585344282,1.1250164947478234,1.130280071972793,1.1550736461027318,1.1403624575451397,0.972395992639145,0.9821997815175547,0.9645087791869886,0.9427388422774587,1.1573053591273634,1.229396275296766
Kyurem (Black),Dragon Tail,Avalanche,40,0.9322929586289774,0.9411751817594229,0.9466105019051334,0.9688871776923736,0.9936514258629107,1.0082817721118995,0.9582167409211284,1.0146037319445054,0.9855287960202158,0.9788186721157284,0.9859232419594605,1.0259673842988313,0.9859232419594605,1.0259673842988313,0.9524484386265989,0.9469138983829445,0.9422844647421228,0.9528058421422952,0.95139004839933,0.9718160882625844,0.9392887868572969,0.9484596918342242,0.9553393646124859,0.948118235924886,0.9626330747109008,0.9629523684106513,0.9764225547816553,0.992812302585634,0.9357307853270596,0.9571373327575629,0.9858221653246181,1.0074405077908932
Kyurem (Black),Dragon Tail,Glaciate,40,0.8784756414121971,0.8729175698328429,0.8613304137710986,0.9042053951846352,0.9116191850662291,0.945186165132682,0.8703473839738791,0.9468464453711805,0.9139274817245289,0.9071709859440681,0.916870804438262,0.9483166863971138,0.916870804438262,0.9483166863971138,0.8749406053824152,0.879132328011602,0.886396676800313,0.8889922897956531,0.8949398574601148,0.9066825477374021,0.8847989043175265,0.8785981990430559,0.8858298093213705,0.8933037810351875,0.9001093394226813,0.8949306979672849,0.9114179058178146,0.9242891739711543,0.8936568852313066,0.8880340992574136,0.902850644126047,0.9272371325629911
Kyurem (Black),Ice Shard,Ice Beam,40,1.0708356385520668,1.0927111813324943,1.0785397495640174,1.1306515221326552,1.1385994401722401,1.1691554712905514,1.0900985420150926,1.1879738269485773,1.1226204964816093,1.1440428313827318,1.1250105384982425,1.1865576241411486,1.1250105384982425,1.1865576241411486,1.0763175931114406,1.1061629818290233,1.0790045486568294,1.109655097651298,1.0755367851277098,1.1147981594379472,1.0617456800478142,1.1025313018570162,1.0825045336805388,1.1122385852741445,1.1025302523039509,1.1281204675275758,1.1026835206823489,1.1440751578785435,1.06977380821878,1.1176193325625439,1.1357124149695978,1.1727090034728438
Kyurem (Black),Shadow Claw,Blizzard,40,1.3259996808036294,1.3155044750449305,1.3039878515427292,1.3947916086274108,1.269536078706029,1.3348592059123847,1.0898844742194647,1.1801325183264453,1.4105298500426338,1.4108552810611465,1.1763290771003614,1.2094003666636677,1.1763290771003614,1.2094003666636677,1.106310015153088,1.1197006268009673,1.1287658105303948,1.1311105176953626,1.1055216601747073,1.1355882271169802,1.3144938399611676,1.3195611681962518,1.326727113119703,1.3633391633339744,1.3516003754296486,1.3615028515131298,1.1246171301002679,1.145868905263679,1.1087664077920394,1.1015290520803744,1.368510917564877,1.4531973891819723
Kyurem (Black),Ice Shard,Glaciate,40,0.9414345572209497,0.942769027151556,0.9405177007079483,0.9846179151376276,1.0024758347305447,1.0168687140232844,0.9548191683223214,1.008642204323467,0.9900855457370351,0.9769800992901894,0.9646496667421259,1.02001278522475,0.9646496667421259,1.02001278522475,0.9466065936440758,0.9473531880179437,0.9615861162878591,0.9574150023544483,0.9460695259349681,0.9613221095320982,0.9481721056656914,0.9466167730149582,0.9741720095235138,0.9582254704590369,0.9803445858407359,0.9770524729051155,0.9811976158582282,0.9959642685582872,0.9812077673289844,0.9650193111225646,0.9756011747602498,1.033557199114312
