Attacker,Fast Move,Charged Move,Level,Arceus (Flying),Arceus (Flying),Articuno (Galarian),Articuno (Galarian),Moltres (Galarian),Moltres (Galarian),Lugia,Lugia,Tornadus,Tornadus,Tornadus (Therian),Tornadus (Therian),Yveltal,Yveltal,Mega Aerodactyl,Mega Aerodactyl,Mega Pidgeot,Mega Pidgeot,Aerodactyl,Aerodactyl,Braviary (Hisuian),Braviary (Hisuian),Drifblim,Drifblim,Farfetch'd,Farfetch'd,Fearow,Fearow,Golbat,Golbat,Noctowl,Noctowl,Swellow,Swellow,Togekiss,Togekiss,Togetic,Togetic,Tranquill,Tranquill,Xatu,Xatu
Raikou,Thunder Shock or Volt Switch,Wild Charge,35,1.233731214783971,1.2791757948960862,1.2380521099701123,1.3019418392456945,1.2279349625352192,1.2942508621133357,1.2406642171449271,1.2927859859756254,1.2455674200279738,1.305699775032704,1.2431237361807603,1.2953546798126927,1.2641330418833285,1.3142241370496617,1.2687880391638,1.3413090283624816,1.25310814646608,1.3170664206642066,1.2596873265848945,1.315103618515471,1.2645563337561352,1.3207632493244361,1.2877428449756971,1.3791538789115847,1.267345904430207,1.3272817060650561,1.2727677044132741,1.3394229672710685,1.339149165320409,1.4052880990845449,1.2682001797548617,1.3337316911771968,1.261870311151101,1.3132059871356832,1.2578441960246345,1.335994279209597,1.2698344947735192,1.3553048780487804,1.269817263531795,1.3256233436472369,1.280613614161648,1.3637993408693225
Shadow Magneton,Thunder Shock or Spark,Discharge or Zap Cannon,50,1.1545256547921003,1.1802292552484985,1.1482673367492644,1.1948102000034686,1.157021678601492,1.2031598923458282,1.2038424716019354,1.2475509095143218,1.188363713725721,1.2181752753246635,1.2803538990367793,1.1950397998051026,1.208510803620905,1.1976039210794827,1.2684091510500612,1.2170607904929154,1.1470550667045132,1.193645330684076,1.2131785912474404,1.1979084942306588,1.1651243589036564,1.216941487894998,1.203145420637601,1.24966592754666,1.1448491858243772,1.1989239626245956,1.181423195347246,1.2366518417151329,1.2112654819601507,1.273753365643511,1.1567225355312152,1.2094934270955762,1.1458969152389868,1.2117262259402015,1.175038673710633,1.2171784244476227,1.159677700348432,1.214294425087108,1.1872042846637345,1.2126097875705901,1.2013032323167263,1.252949448756347
Shadow Luxray,Snarl or Spark,Wild Charge,50,0.9996399383574468,1.0363422217883702,0.9885227800462866,1.0373317968709352,0.9795384020229155,1.0235746697238415,0.993141770383212,1.0383729655600693,1.0013307924552215,1.0325636766083803,0.9957739268284487,1.0266906763496058,1.0160433821559802,1.0522483432130523,1.0465100194856745,1.0610280497486106,0.9949616803860346,1.0399127164348567,0.9875619510514935,1.0260529286821407,1.0094192907957866,1.0437213919373518,1.0111602226170722,1.0820570052423677,0.9916828028954242,1.0467842337132387,0.9868400045615235,1.0646253848785494,1.0736995153473343,1.1157350565428108,0.9881085245286373,1.0634870467856472,0.9865520469827219,1.057852947971256,1.0016709961764105,1.0450658182773416,0.9981881533101046,1.06301393728223,1.0063132189091313,1.0364917928154183,1.0075145191244512,1.0695629770377766
Shadow Electivire,Thunder Shock,Wild Charge,30,1.1481613652257265,1.099569046220713,1.164488833990762,1.1372275460986894,1.0714329593773193,1.114233960209132,1.1482197842005848,1.179675007115688,1.1848466193797784,1.1494651934401892,1.1433385978055255,1.1293478840972748,1.2108561718764377,1.1498050297618438,1.251145685486781,1.1734736221703672,1.0695394550099346,1.130737297757593,1.1135689546298244,1.1443579096423582,1.0968069265979155,1.125572161252964,1.117152968472371,1.184099619671361,1.0714369257560201,1.1374156909121627,1.0850838179952105,1.155308473029992,1.1439203015616586,1.1862681744749595,1.1071516755721045,1.1467866349297278,1.1030239655654583,1.1509915737509575,1.104703598844167,1.1480254516797526,1.1119163763066202,1.1647735191637631,1.1071582189785074,1.1384190589835024,1.118804547357573,1.1569675694824644
Shadow Omastar,Rock Throw,Rock Slide,40,1.249789964041844,1.2724450425912917,1.2662576285165366,1.312422799509,1.2546808146784239,1.2967811668290998,1.263505576111988,1.3065231453929154,1.4201433996768076,1.3317520742708933,1.3090073867331347,1.280571330303791,1.3455584205263684,1.3136965825510327,1.2824189901128245,1.2907244581298563,1.2526433437411297,1.30413000283849,1.2257314529554717,1.2779138521594366,1.2632658688578833,1.3134395852864942,1.2671551711478877,1.3363632358771789,1.2446425554588103,1.3223953527661179,1.257532215760064,1.3157486600524575,1.2874851911685514,1.3606462035541194,1.240269039694219,1.2975041728807197,1.2621499702102306,1.3150663278333719,1.2418055515017075,1.2983421382913518,1.2685104529616724,1.3316289198606273,1.2389865549250045,1.292308973095975,1.284993505308471,1.3368007471579015
Mamoswine,Powder Snow,Avalanche,30,1.3349725473000977,1.3754866833201844,1.338998074925666,1.423722542639722,1.3264126289434317,1.3968211801779515,1.385960100395891,1.4572191890703028,1.3742536924964128,1.4455235129299615,1.4190434210240221,1.4045624986410545,1.443798065224548,1.4331467807929266,1.4074550746950854,1.4506002068849382,1.3505464093102468,1.4281045983536758,1.3225760156145352,1.4069442584052507,1.3524072133678928,1.4283571389179948,1.3748072658923038,1.4908735811098548,1.3602515952124135,1.43604205382786,1.3314060896339377,1.4379974911620481,1.400732364028002,1.4984275713516424,1.3470552795583166,1.4382660569487107,1.3537443916199554,1.451600744136279,1.3411823939756575,1.4409386766294037,1.3578135888501741,1.4552177700348432,1.359520472867034,1.4202522512522375,1.3786566186810945,1.4506457118933367
Deoxys,Zen Headbutt or Charge Beam,Thunderbolt,50,1.2401691169528224,1.1963088080679412,1.2899000079007055,1.2324040690560198,1.3698046983308956,1.260818962010563,1.178722798664838,1.2163427950423058,1.4461594868753989,1.271400183776101,1.2010171830000376,1.1966903007865082,1.34425998212858,1.261180372518909,1.255298419495297,1.2540895859895596,1.2970018450184502,1.2633196139653704,1.1685068600623816,1.1861210509194589,1.1993602823581315,1.21814371587713,1.316965006828294,1.2695340607057373,1.1457328880167383,1.1927380472780673,1.196499030676246,1.2153039115064432,1.0963058696822832,1.1463327948303714,1.1530286718881173,1.1998439490760402,1.2344150869982855,1.2297946329778826,1.1783733691369196,1.208619129622603,1.1678658536585367,1.18198606271777,1.1599117536873362,1.1971805580608013,1.1856193574012646,1.2308460275031399
Avalugg (Hisuian),Powder Snow,Avalanche,50,1.2846839378901669,1.3527131844971858,1.302986273969488,1.378162450066578,1.2944152323015645,1.367850519426398,1.3491836365047738,1.421046911791342,1.3049438487060987,1.3957319584828967,1.319904646506176,1.3798247503987886,1.362397224000049,1.4093066338955809,1.3308745699920614,1.432191055834877,1.3066633550950895,1.369351405052512,1.3253984959528502,1.3991369907575728,1.3416864280593392,1.3930623724700821,1.3787280283117227,1.4758072805768074,1.3095036972540253,1.4004730405853227,1.3364123617288175,1.4222830425362072,1.411276252019386,1.474981152396338,1.3390749538267044,1.4337030489190017,1.3434334837007404,1.4296414284498375,1.32419514900324,1.4096421587227461,1.3398257839721255,1.437343205574913,1.3194905024212236,1.386549374921952,1.353783560379161,1.429615793372194
Avalugg (Hisuian),Powder Snow,Glaciate,50,1.162344593394389,1.2359828002554036,1.1629144738997303,1.2518166805089597,1.1706776866639328,1.2558513296552045,1.238039175097679,1.3025357725049809,1.2214886769478683,1.2964770211976226,1.2185737694872774,1.2486741634332001,1.2588452281877685,1.2789781801005624,1.231097692992374,1.326806033342154,1.1772991768379222,1.2600730911155265,1.2067203735241776,1.2794064180332574,1.2066177687089836,1.3204985385760768,1.2750260649936123,1.35386716398185,1.194973293999922,1.2658644036959543,1.2144030106055423,1.2953358421712853,1.27223478729133,1.3600969305331179,1.1879524736046776,1.2740273978014598,1.1694733898325693,1.2673297423488927,1.202321882023292,1.2891334170047577,1.1904703832752612,1.3128048780487804,1.1977078159037617,1.2986499424178934,1.2328320075574593,1.292937425525748
Avalugg (Hisuian),Powder Snow,Blizzard,50,1.4316082913394772,1.52280630443932,1.4566434334538994,1.547595969484007,1.4498978082314598,1.5467965246497173,1.5204388438947394,1.6199135767329933,1.50704097844931,1.6035166416954478,1.4978306289495895,1.5594328601897185,1.5268245104273803,1.5855711799840098,1.5308793812696961,1.6585947460848227,1.4658778030087993,1.5580471189327278,1.4798790638933006,1.5806463958361239,1.5127667788010808,1.627474769756797,1.5288917605251178,1.7018017885725194,1.4494925210204161,1.626635823727404,1.4739651043448512,1.5662561295472688,1.5709316101238555,1.6410123855681205,1.4813677172120219,1.588756432162293,1.4898289216103497,1.6105322033486131,1.499343276611891,1.6063745950205774,1.502952961672474,1.6323170731707317,1.4732139140569718,1.5455176145745169,1.5100748231404248,1.6000236170601054
Xurkitree,Thunder Shock or Spark,Discharge,30,1.1078040560543965,1.1110958196043164,1.1179324817272098,1.154458792039943,1.084665589682201,1.12228643912741,1.0944458819572023,1.143908970942117,1.1719890820700614,1.1446105168816003,1.1112338829073327,1.1151733421360053,1.1393439103239142,1.1416013528296756,1.2386574129760157,1.1568867425244773,1.0925241271643484,1.1472963383479988,1.095361564515203,1.1341491417746226,1.1176308388021838,1.1477747752716043,1.1454206376011395,1.16876899807633,1.0941922572093203,1.1554406165122353,1.1197057817310982,1.1538031702588665,1.151513193322563,1.205955842757135,1.1002577803237563,1.1486236901105196,1.098391352455528,1.1530707780601388,1.0926563731356354,1.1383205393888094,1.093074912891986,1.154198606271777,1.092159120866923,1.1572199636469593,1.112309855828583,1.170536644015759
Terrakion,Smack Down,Rock Slide,35,1.2660567489154142,1.3281153733519178,1.304034562695952,1.3330725458192743,1.2551340779247517,1.3062366034145831,1.3201800915983128,1.3768248505705487,1.2738784452360798,1.3121251488088503,1.30517861978585,1.329501271972912,1.2934777496733456,1.3370398467229254,1.2746577978782265,1.3547204647694195,1.2671870564859495,1.345848708487085,1.269599494823858,1.3180791825331521,1.3173220095957645,1.3574808360447803,1.306832699452268,1.374440153306216,1.2772615628533184,1.3520513586921208,1.2928384080282815,1.35614095107766,1.3395476575121161,1.4196553581044695,1.286175665932503,1.3463046548607887,1.2853251948494095,1.3433970064321583,1.2874186392691398,1.3760617028107762,1.2854094076655052,1.352081881533101,1.271315785822314,1.3446046259938118,1.2989490408253088,1.3665367728360869
Raikou,Thunder Shock or Volt Switch,Wild Charge,40,1.1933290979415676,1.2381895780557632,1.203817004245184,1.2637968478112156,1.1986604659811821,1.2630969003767232,1.2062333428209175,1.26607239889254,1.2132527011918288,1.2727106069590488,1.197820943374968,1.2446121520358484,1.229447355990913,1.2770356344660758,1.1886802665447809,1.2452999831605283,1.180315072381493,1.244862333238717,1.2165368644635373,1.269915229912551,1.2171289913417527,1.2781999669111563,1.2562005315790248,1.3200487525514326,1.2164290634056323,1.2978466256871435,1.219192610331851,1.3014140723001484,1.2635541195476574,1.339041464728056,1.2165848551590632,1.2766743375243212,1.2107778169570662,1.294420193815887,1.2085680511368613,1.2899871574092994,1.2107229965156794,1.3031881533101046,1.2136920536692983,1.2754505973276353,1.2406793125288504,1.293871372902644
Shadow Mamoswine,Powder Snow,Avalanche,45,0.9933652641332196,1.0352076275458357,0.9901684391867284,1.0566904522864835,0.9824804623617174,1.0419442834871053,1.0052112712500323,1.0762672393717494,1.0017268616383233,1.0691265203398501,1.0416380876327072,1.039592257074917,1.0493304351915655,1.0607198869642918,1.0168424787702375,1.0647387476244317,0.998694294635254,1.076642776043145,0.982050938594309,1.0602097246407316,0.9928858986378426,1.0480119119836762,0.9944345731949075,1.1015139723050265,0.9824429167370595,1.0480837957608287,0.9924278709088836,1.067590375185312,1.0528809908454495,1.1211200861604738,1.0086716905845983,1.0508646998982707,0.9972885230353951,1.0603941976824776,1.0000072969265346,1.071203409124077,0.9996777003484321,1.077534843205575,1.0118494262602156,1.0604958998765108,1.0333322598306012,1.0696273872017004
Zapdos,Thunder Shock,Thunderbolt,35,1.2883565666442094,1.319998783791785,1.2990494102412413,1.3497276183612394,1.293764392768376,1.3494128331609383,1.2960824902321006,1.3351372680932543,1.3013611200383848,1.3607601812412582,1.2876576129604849,1.3406297995481382,1.311985097607806,1.3678772474741794,1.2784376578700474,1.335394163920229,1.292055776326994,1.3386105591825148,1.3135153753420463,1.3648462465795363,1.3172668615231897,1.368830309380687,1.333264805650597,1.4329285305217405,1.294155869471988,1.3687767222446034,1.279826662105143,1.3698825407686168,1.3408508346795907,1.42744211093161,1.3245167853509665,1.3822062440122864,1.3149082596695159,1.3683839354109164,1.3172119903096817,1.3924651936604302,1.335609756097561,1.397020905923345,1.281292059219381,1.3560932968877912,1.3292218178695265,1.4058699129389285
Kyurem (White),Steel Wing,Blizzard,40,1.35684509187973,1.3881752556037594,1.3418057158713612,1.393052389385306,1.313782689328722,1.435240636295262,1.284707739281186,1.3689044427769295,1.3655741192552995,1.4330416755310722,1.3316103552629237,1.3903958632713127,1.3940280012841249,1.4323227324869285,1.1030515528398566,1.1719640838124563,1.3344379789951746,1.4155158955435707,1.0934862894429667,1.144721483380853,1.3601610323719187,1.4375006893509072,1.3623988604825328,1.5225627395409624,1.3855800595199417,1.4643465152243693,1.3258752423309386,1.4052001368457065,1.4094668820678513,1.498255250403877,1.3410799119003645,1.4039052237552962,1.348041778631616,1.4463115401918702,1.080492396602551,1.1357155366159775,1.1136759581881532,1.1832839721254356,1.336806760000555,1.4312969155416189,1.3323886509291165,1.437892499436411
Kyurem (White),Dragon Breath,Blizzard,40,1.2396570292834133,1.267252153568691,1.2634075935414624,1.3181826065005464,1.2003556373163495,1.306279771342805,1.3040080730716483,1.4149882267705125,1.2657126303067614,1.3261482611431237,1.243135596068052,1.3088057686491785,1.2953221456336685,1.3432437240440118,1.2818867425244773,1.3833235103081623,1.3017882486517172,1.3718066988362192,1.2571136072255495,1.3225281769647332,1.277141123917719,1.3631500579054763,1.3085361018517159,1.4560272544383912,1.3298288476783324,1.4188618435587206,1.295381457406774,1.3778766107880032,1.35322563274098,1.462089391491653,1.283262056909204,1.3575146421199222,1.2619554247777927,1.364006663181061,1.6119859315256415,1.740214821517177,1.697534843205575,1.8475261324041812,1.2618945206809953,1.3661944471424012,1.3229632969415908,1.4149946861614762
Tyranitar,Smack Down,Stone Edge,45,1.2467206385733238,1.2877212578793489,1.2747711204163865,1.332407730358557,1.265892853881544,1.32316009158242,1.2829676300877169,1.3230612984190233,1.2866205566695788,1.3317860230580163,1.3670200254196918,1.3053189617854664,1.3577044427041052,1.3099873427816027,1.2781880728427433,1.3427764680410883,1.2501809537326143,1.3110452739142775,1.2533056507013145,1.3114009070208001,1.2531737715766833,1.310318204378757,1.2856429609832745,1.3368184554839277,1.2639670431064731,1.3478017907965016,1.2734975481810926,1.3513627551602236,1.3404846526655896,1.3984921917070543,1.274007644519946,1.3435391954488438,1.281203263499629,1.33685541626643,1.295058521350807,1.3545284726073379,1.273301393728223,1.3417682926829269,1.2776290047314454,1.3274826213039919,1.2853692312646936,1.3530428434940367
Mega Glalie,Frost Breath,Avalanche,50,1.1354439880107474,1.1818487325030045,1.115373423953783,1.1737866154341245,1.119417432205599,1.1730768272901002,1.1409708386161925,1.1852291251584857,1.1302660226958958,1.1901652626957149,1.1392350768026533,1.1724526444583687,1.1734693251596464,1.204298546771387,1.1389737544805023,1.1974067213548558,1.1343528242974736,1.1954406755606017,1.1531602212059167,1.1911919477984652,1.1387966690564164,1.189499806981746,1.1643783315467189,1.2271986372780805,1.1405086485854268,1.2005614108045588,1.1403466757897138,1.2089177785380318,1.2096607431340871,1.2657727517501345,1.1368112277652125,1.1886537150984207,1.140863052174653,1.194326568826526,1.1431656986077465,1.207210822801436,1.1313327526132404,1.1912282229965157,1.1373784185039753,1.2010517406446422,1.1569675694824644,1.2215280237888204
Mega Glalie,Ice Shard,Avalanche,50,1.1435605775708801,1.1861886755012458,1.1443381810263595,1.2160207037023476,1.1447570060717351,1.2011741676476302,1.156829766864181,1.2012433047843298,1.13731831740758,1.1974642519271594,1.1550601197453287,1.1881373454014275,1.189639483978088,1.2198532253414278,1.172658712020977,1.2383567081238422,1.1443336644904911,1.224808401930173,1.1534376853747679,1.2042518991943971,1.1447636905090166,1.1968896487067777,1.1813829865343104,1.2570375482753051,1.1265123653328828,1.2231607948121483,1.1422054966358763,1.228133196487627,1.2066558966074312,1.2666020463112546,1.1455816847573803,1.220288595442918,1.1609377089843511,1.2195202023272496,1.1476241207203526,1.2164049502349612,1.1461498257839722,1.2210191637630663,1.1564984529144873,1.2150518238958805,1.190106598821294,1.2489774886477085
Mega Glalie,Ice Fang,Avalanche,50,1.1323586598025581,1.1816374963393732,1.1495680626506675,1.211226324379843,1.1450990288876455,1.198841439218727,1.1462480917018139,1.2034983310476879,1.1372753156105577,1.2007776535503643,1.1479343041309964,1.1837195373853298,1.1817691069811,1.222351952462841,1.175894296230364,1.2502886766580865,1.1456287255180244,1.2197807266534204,1.1472186609005146,1.2001856139612315,1.1411900954061656,1.2065626206364086,1.1803110177829337,1.2305320195597587,1.1352064354312597,1.22550000649781,1.144052913673167,1.2291823469038659,1.202186322024771,1.2564243403338717,1.1262728520775513,1.2055822773558258,1.1497270284401104,1.2287975876366377,1.1316365546831675,1.21314322407402,1.143109756097561,1.2110801393728223,1.124918483162437,1.211610772710244,1.1665432138524792,1.2293431236782497
Frosmoth,Powder Snow,Ice Beam,40,1.4725961084537673,1.5554438919943094,1.6625705041613594,1.6481411181617949,1.5893700637059003,1.6243875550183546,1.5294757678474395,1.64224907496054,1.6214846030934136,1.6527808583158687,1.6233181197334687,1.6685537065112757,1.6130714918137037,1.6635449617522988,1.846772835526474,1.7127546970097909,1.620799034913426,1.713422509225092,1.5976673874356568,1.6236629097380355,1.5453372304637953,1.5945403408150884,1.529493825166302,1.601286362501652,1.4958219080169983,1.5727819724752758,1.4870224655034783,1.6195917436423766,1.5537318255250403,1.6544426494345719,1.49993580183508,1.5996404902764472,1.637257882129786,1.6897608307089964,1.5403009252502846,1.6557528968798343,1.546254355400697,1.6340505226480837,1.5373589932150242,1.6276865868379793,1.5262954494219187,1.6127553594623898
Mega Latias,Zen Headbutt,Thunder,40,1.7209474261993654,1.760931871536407,2.013109390084807,2.134103876933987,2.384566469477784,2.570210144795193,2.0895826325458637,2.199623515408699,1.7146672339886204,1.795793518950213,1.6974522985449894,1.7620531046219956,2.432862555694828,2.569053407736239,1.7716717986961437,1.8384854098005725,1.7511886176554072,1.825691881918819,1.712748043399223,1.7872710920606976,2.1188220371698008,2.1925880990459383,1.7784255275407863,1.8544325173644254,1.6946808925392143,1.7809718124991878,1.6976394115634623,1.794480556505873,1.417425955842757,1.4933010231556272,1.750950626672856,1.8351687424073324,1.7040112836350814,1.7761511618010042,1.7173316599048483,1.8034572837920668,1.704102787456446,1.803240418118467,1.7086345409387966,1.8116024475864079,2.113276008287441,2.2359666355350876
Mega Mewtwo Y,Psycho Cut,Ice Beam,45,0.9308521618901155,1.001222609310714,0.996028450247716,1.0696148502430913,1.0304964809836976,1.115688387329217,1.040401583564054,1.1122208709602297,0.9279267249378738,1.0016725435789264,0.9193646263048346,0.9771875067947271,1.0347715668573088,1.1289400448625801,0.930534172099401,0.9971433039043518,0.9486623616236162,1.0090370422934998,0.9347576494001033,1.0143228917507032,1.0103788672585894,1.1053769370760491,0.9627454147637998,1.0403089619524517,0.9537875735877009,1.0361278249230008,0.9645683658341886,1.043220435625499,0.9127302100161551,0.9499623047926763,0.9556143764382858,1.0048395539709034,0.9499167102367374,1.0414868134674076,0.946995125653075,1.0057937596684277,0.9706881533101045,1.0145644599303136,0.9615518030830709,0.9864577985597536,1.061393621246766,1.1496248107951434
Shadow Mamoswine,Powder Snow,Avalanche,35,1.1163799242430303,1.1290444924171017,1.0806411518843182,1.1463653864312129,1.062865785930244,1.1354443557103697,1.1042344813310216,1.17674075607421,1.1290800783990658,1.1680962878132908,1.1344100793228795,1.135679087263074,1.1686293193524575,1.151745530611452,1.1375724698693739,1.1599028121917776,1.1458629009367016,1.1755393130854386,1.063950707055244,1.1471134158709504,1.0893839960293388,1.1456791485137594,1.0996490403677,1.1946724621506923,1.0661736994632809,1.147825182913358,1.078697685026799,1.1377580111757328,1.12958535271944,1.2070328486806676,1.0747069106855376,1.1259172930103014,1.0836058995902387,1.1475019150566006,1.072706575990193,1.1378900207232714,1.0782578397212543,1.1545993031358885,1.0906883489891912,1.1232534583951936,1.1218318250619947,1.1668974697540604
Shadow Omastar,Rock Throw,Rock Slide,30,1.3421817815209964,1.3830687813753715,1.371678090572917,1.4239248777799403,1.3713969307603036,1.41106493618618,1.3736939477837864,1.4323142805392397,1.5449278248785765,1.4396707420299564,1.4009175599467887,1.369194338089807,1.440847440645007,1.4195530509212777,1.4989655753085231,1.4510151795809376,1.345674850979279,1.4071033210332102,1.364243479592032,1.4144549264241566,1.3835217559146307,1.4124193459438592,1.399903082277273,1.452517658115391,1.3885820478498745,1.4447361239262368,1.3899076291481356,1.4375527426160337,1.418255250403877,1.489294561120086,1.3750753093857717,1.4363006054380785,1.354668482424036,1.410357112459419,1.3510624325034297,1.4103937421558042,1.375897212543554,1.4367421602787456,1.3315619319837384,1.405211527521472,1.369070239283759,1.438944532113834
Tyranitar,Smack Down,Stone Edge,35,1.329699644579152,1.372108504976052,1.3500128145588806,1.4114745221518439,1.3549316867535892,1.4075782958298122,1.377672264341346,1.4216278106968199,1.3690866870962923,1.4011886601998,1.4406679488522594,1.3866995317321167,1.4689448296591956,1.427077859273815,1.370916428107484,1.424363708532801,1.368890150439966,1.4218315356230484,1.3637076867142501,1.4184638052775598,1.3471791760877958,1.4075332267137264,1.3938383823551006,1.4757338580595898,1.3747157208020897,1.4226695603581592,1.3861899874558103,1.4505644885391722,1.430748519116855,1.5304254173397953,1.376092603383737,1.4337228022005155,1.3721654122539304,1.4362924504213124,1.3741426111321913,1.443747993345203,1.392665505226481,1.4654616724738676,1.3806246617918443,1.4510690846526342,1.3829398945820317,1.4665764924371731
Luxray,Spark,Wild Charge,45,1.2163346364897671,1.2513502311595746,1.232259543955864,1.2801012061101358,1.2196533615363798,1.2833243953584517,1.2815354361269955,1.3237676921882682,1.2086130336183523,1.2646081630990265,1.224630218597489,1.2798953167281732,1.2121116697917795,1.2605219517880621,1.2332597608795015,1.2769852534340493,1.2262205506670452,1.2797402781720124,1.2165464321934976,1.2713982280564113,1.2271659405503776,1.2853692163458887,1.2779042276685415,1.3362017063393001,1.2398471715032033,1.3158585556667404,1.2388413730185883,1.32625156802372,1.2908669897684437,1.3734733441033924,1.2269158213908284,1.2802101749153079,1.2385248592585387,1.3116253054971243,1.2558667289337733,1.3216120370100115,1.2224738675958189,1.3045470383275262,1.2173134825380527,1.3042139001817652,1.2844030788058356,1.3311863278692044
Raikou,Thunder Shock or Volt Switch,Wild Charge,30,1.3321544648443813,1.3765140592069363,1.327434139911859,1.3930080683545913,1.2748551799023409,1.3422021288429833,1.3635883768468444,1.417596449918493,1.3306385540532588,1.4006930079078042,1.2767959328493181,1.3311280531797345,1.3092491754404978,1.3652333406263992,1.315824292140778,1.3890970434698935,1.3276220550667044,1.3821210615952313,1.3000440115578178,1.3440555693756098,1.303887939116528,1.3707715215353222,1.3762022937194378,1.4355570566381297,1.316274415521969,1.4012007953319732,1.3269586041737942,1.390010263427985,1.3865589660743134,1.4559827679052233,1.2941954982271429,1.3898507639581625,1.3266660992424886,1.394975864207288,1.3171171302647326,1.388473774846035,1.3149825783972124,1.3962891986062718,1.302174244841892,1.384454218756504,1.3589041684111085,1.433330112825137
Mega Mewtwo Y,Psycho Cut,Ice Beam,35,0.9916529709886333,1.0542476872040494,1.0614848316089884,1.135597302968931,1.1149478913297217,1.1931665169625054,1.1042435376613966,1.1843687737728672,1.0022293036877437,1.0829798887385085,1.0014271397707484,1.0609005212420464,1.1196710350087618,1.2143343509546078,0.9976093964252207,1.066597103610864,0.9996274481975589,1.0704690604598353,1.0058841539256396,1.0970933236380336,1.081597088181768,1.195621243037556,1.0496776751494148,1.1584604766589819,1.051904508180743,1.1232114777320044,1.0260348956551488,1.072551032044703,0.9719439956919762,1.0169843834141088,1.0114272733557863,1.0836749004928443,1.0377053366243936,1.1205573726639348,1.0238974344006304,1.1207933218528356,1.0083449477351916,1.081280487804878,1.0171913807217883,1.084735885446296,1.1329425783388618,1.1970736315523922
Shadow Raikou,Thunder Shock or Volt Switch,Wild Charge,50,0.944657725402589,0.9889933156556402,0.9315008835301123,0.9805257245043271,0.9197391993013437,0.9723642244134558,0.9540934613294693,0.9982754159443165,0.9473431679197541,0.9935406774367308,0.9355948820633041,0.9768415934153906,0.9494283803872413,0.9958347732026851,0.9444477856094686,1.000180422911304,0.9217392847005393,0.9838596366732898,0.9535199678524272,1.0043533171319772,0.9409143550432912,1.0053493630397616,0.9787955770275628,1.0455072761714563,0.9562697370985977,1.0299679008174245,0.9548295130573612,1.004333447371422,0.9902423263327947,1.064695745826602,0.9562366048059734,1.00766427322739,0.9636686404921999,1.0138127257030993,0.9461049006158606,1.0086103733107616,0.9609407665505226,1.0161933797909408,0.9462613256372189,0.985986041542368,0.9788412611510096,1.037873176387234
Shadow Aerodactyl,Rock Throw,Rock Slide,35,1.2224700868788736,1.2540706969033097,1.2560213974228285,1.2683580599721356,1.2031964190543236,1.2369255137398536,1.3258635857893237,1.3299479907884182,1.2423354954938644,1.2685620651726184,1.2383817579120273,1.2550310630214643,1.242163873149725,1.264145310592599,1.3462556231807357,1.3018174601265367,1.1988787964802725,1.2575255464093102,1.2224688570389788,1.2723645687824106,1.2357249214139965,1.2679975734848066,1.265686720803536,1.3031762580948325,1.2003924677383722,1.2716864416691573,1.2322727791082222,1.2943323069905348,1.2781044695745825,1.342714054927302,1.2344319450068642,1.2870744402413852,1.2308889510353465,1.2841822404338363,1.2304004553282157,1.288009690318438,1.2254703832752614,1.2760975609756098,1.2394860623551776,1.292711354081392,1.2313291037325689,1.291488196837461
Nihilego,Acid or Poison Jab,Rock Slide,40,1.3909277268268327,1.4685746199749397,1.4140740469533146,1.5014519955062329,1.4086110054972696,1.49650588827144,1.4662612880689314,1.5358565994773203,1.4272726449726374,1.5326157314153024,1.4039042748963741,1.4967513792060596,1.4356843588270296,1.5356559363172197,1.5402493444634222,1.6712664485554138,1.4083558047118931,1.4949403917116093,1.5665435618745096,1.680772689871601,1.410036949208625,1.5077041857387083,1.6425498171779322,1.7814505352501506,1.4764194466464802,1.5522099052619267,1.441623902383396,1.5585813661763028,1.7354442649434572,1.8691437802907915,1.4312536420112791,1.5331509447006884,1.4606714249237016,1.5380518706759236,1.2456437348588776,1.3232611424068184,1.2717682926829268,1.3461236933797909,1.481941418878606,1.546100373243052,1.5027105943984627,1.5933142249847025
Shadow Mewtwo,Confusion or Psycho Cut,Ice Beam or Thunderbolt,50,1.0272030571633863,1.0773188369848918,1.1411605558242652,1.2238886501548345,1.1615808759436759,1.2349563920909714,1.1445390327839158,1.2142650141020002,1.055080775480828,1.1065403470018695,1.034583431342124,1.081153255440229,1.1740909397626822,1.2531484575165268,1.0447839736341986,1.126873391229041,1.0605627306273062,1.1298786545557762,1.0436479840792972,1.1032740771924452,1.1275574918656592,1.2066729167815584,1.0850966974551757,1.1308829791920587,1.0508128760607676,1.111723349231309,1.0589576918690844,1.1304937849241647,0.9263435648896068,0.9939364566505116,1.0672401702732865,1.1341149048385664,1.0758119232031904,1.1354765755140255,1.0534791745716705,1.1267913954642306,1.0739285714285713,1.1448170731707317,1.0652828460823356,1.1406529672128873,1.1505909632540015,1.229761789743755
